<title>聖居山僧軸。次石洲韻。</title>,<text>玆山本不二。天聖名何異。我今脫俗來。坐弄姑潭水。</text>
<title>完平李公 元翼 挽 五首 其五</title>,<text>宿昔蒙深眷。平生仰典刑。從容前歲語。珍重寸心銘。一夕傳哀訃。台躔隕大星。寢門無限痛。題挽涕隨零。</text>
<title>玄軒申公 欽 挽</title>,<text>聖主開中否。明公躡上台。神功光玉燭。異數軼金臺。轉斡資匀軸。調和待鼎梅。安危歸宿德。經濟仗全才。久播輿人誦。爭稱大廈材。方瞻華岳峻。奄見泰山頹。盛業軒天壤。遐齡嗇耇鮐。空纏宸扆慟。無復衮衣來。琬琰平生惠。莩葭此日哀。淸秋東閤淚。回首想風裁。</text>
<title>李參判 命俊 挽</title>,<text>公非吾友乃吾師。出處行藏衆所推。凜凜危言朝野竦。堂堂直節聖明知。殊恩纔荷淸要地。宿疾終悲殄瘁詩。身後哀榮褒美極。千年箱篋照心期。</text>
<title>朴錦州 炡 挽 二首</title>,<text>吾友遽云歿。天心未可知。佇看勳業盛。已失少年期。臺閣危言絶。朝廷正氣衰。最哀雙鶴髮。揮淚撫諸兒。</text>
<title>朴錦州 炡 挽 二首 其二</title>,<text>我有無窮恨。君亡斂不憑。音容猶在眼。涕淚獨沾膺。末路親朋盡。殘年疾病仍。平生偲切語。泉下倘相承。</text>
<title>李察訪 敬培 挽</title>,<text>歷落名賢後有人。多君雅操出風塵。逍遙杖屨閑中趣。跌宕壺觴醉裏身。庭列雙珠能繼躅。年慳七耋未徵仁。應知泉下無窮恨。永訣高堂鶴髮親。</text>
<title>聞張谿谷 維 訃</title>,<text>最羨張丞相。遽然棄世緣。吾行亦不遠。唯許會重泉。</text>
<title>趙監司 廷虎 夫人沈氏挽</title>,<text>天性溫柔壼則全。鄕隣爭道女中賢。瑟琴和處貧何恨。茵鼎豐時病已纏。莊叟歌成悲不耐。子平哀毀孝無愆。通家此日雙行淚。忍洒西郊素幔邊。</text>
<title>趙僉知 沖 挽</title>,<text>恭惟卲德且高年。積善應知福祿延。有子最賢門戶重。如賓相敬瑟琴全。官聯貂玉恩猶厚。疾感膏肓痛遽纏。南極一星從此晦。人間無復地行仙。</text>
<title>宋監司 象仁 挽 二首</title>,<text>前宵連榻怳相親。夢罷方知永別人。幽顯茫茫追莫及。儀形邈邈見何因。平生不改簞瓢樂。聖代終無正直臣。仍想此翁身後事。應隨伯道共悲辛。</text>
<title>宋監司 象仁 挽 二首 其二</title>,<text>君今歸見李昌期。冥路相從似昔時。自號素心深意在。不敎淸節衆人知。幾年蠻海傷淪謫。當日鵷班荷寵慈。臨別一言猶戀國。哭亡非獨爲吾私。</text>
<title>次汝明韻。寄勉叔。此以下。追得手草於先生女壻菊堂鄭泰齊後孫家。蓋癸亥以前。屛居衿陽時作。</title>,<text>君謫南蠻後。蓮池一逕荒。年來無好況。書至攪愁腸。瘴海鯨波闊。雲山雁路長。何時沾雨露。重會舊梅堂。</text>
<title>有歸衿之計。往訪勉叔。勉叔以李天章短律示余。仍次其韻。</title>,<text>晩結香山社。靑雲始解官。行藏知不苟。歸去獨無難。世路年來險。生涯着處安。蓬廬一臥後。榮辱莫相干。</text>
<title>閑居卽事</title>,<text>雨後黃梅發。山童折得來。春光如許好。閑興未能裁。</text>
<title>菱谷新居八詠</title>,<text>獨上鵝峯望海門。漏雲殘照浪中翻。須臾風起汀沙亂。唯見漁帆返水村。</text>
<title>菱谷新居八詠 其二</title>,<text>山下孤村絶四隣。槐壇深夜月相親。停杯欲問平生事。還訝浮雲蔽玉輪。</text>
<title>菱谷新居八詠 其三</title>,<text>野人先務在明農。每向田翁願學傭。時臥栗亭看穡事。不知閑況孰如儂。</text>
<title>菱谷新居八詠 其四</title>,<text>明姿本不染淤泥。數朶紅房帶雨低。香艶滿池淸賞足。愛渠猶自想濂溪。</text>
<title>菱谷新居八詠 其五</title>,<text>獨把長鎌上峻崖。朗吟芝曲拾枯柴。塵中已厭奔忙事。黔堗猶甘處默齋。</text>
<title>菱谷新居八詠 其六</title>,<text>十年塵陌世情危。曾卜雲崖結晩期。多病自知須藥物。參苓芝朮斲隨時。</text>
<title>菱谷新居八詠 其七</title>,<text>每向前溪釣巨魚。散人幽趣問何如。靑雲已解浮名累。林下從今賦遂初。</text>
<title>菱谷新居八詠 其八</title>,<text>茂草晴川可放牛。牧童終日任優遊。黃昏弄笛還村路。山月初生暝靄收。</text>
<title>汝明見屈庭對。慨然書寄。</title>,<text>君爲擧子業。矻矻著文詞。得失何須歎。窮通自有期。世多他逕進。人少放心持。近怪科場事。無公摠是私。</text>
<title>天安途中</title>,<text>促駕向南士。歸期趁晦前。身疲知路遠。飢甚訪村煙。秣馬頻呼僕。聞鷄早着鞭。臨程爭進就。後我幾人先。</text>
<title>宿西原縣北</title>,<text>旅店睡初罷。隣鷄唱五更。呼童催秣馬。客子最貪程。</text>
<title>到懷德店舍。主人有問。漫成一律。</title>,<text>晩發黃山界。昏臨荊水湄。北風羈思苦。南國旅遊遲。衣薄身偏冷。囊空馬亦飢。主人休問我。窮達本無期。</text>
<title>過陽城記見</title>,<text>長橋橫臥素沙川。三路行人項背連。傍有數家成一店。酒旗飄拂夕陽邊。</text>
<title>下鄕後留意農桑。而未得其要。聞老僕言感吟。</title>,<text>老僕朝來告。田家春事忙。飯牛耕廢地。驅馬牧荒場。雨足先留稻。蠶眠必採桑。閑居多野趣。高臥夢羲皇。</text>
<title>鵝村卽事。次韓叔韻。</title>,<text>谷口春光動。山容似翠眉。農談聞野老。穡事付家兒。避世身如梗。傷時淚散絲。獨行方踽踽。深恐俗人知。</text>
<title>幽居謾興 三首</title>,<text>瀟洒鵝村一草亭。四圍靑嶂矗成屛。朝雲斂壑山如揖。夜雨添溪水不停。興到每吟林下景。閑來長對壁間銘。郊居樂道知何歲。事業難追文曲星。</text>
<title>幽居謾興 三首 其二</title>,<text>一區淸勝隔塵寰。野服逍遙水石間。雨破長堤危逕斷。嵐生幽壑小亭閑。籬邊松老龍形壯。砌上苔深鳥跡斑。好此雲山眞我所。回看世路漸多艱。</text>
<title>幽居謾興 三首 其三</title>,<text>菱谷幽深絶點埃。閑情詩思渺難裁。室中書籍堪消日。靜裏雲煙合擧杯。松逕苔深人不到。栗園風暖鳥空廻。於玆肥遯方知好。宦海浮榮念已灰。</text>
<title>訪汝明</title>,<text>獨穿芳草路。言訪故人家。溪柳含新雨。山花濕晩霞。鷗飛遠水靜。馬倦夕陽斜。處處供詩料。長吟意自賖。</text>
<title>偶吟</title>,<text>雨後狂風急。殘花一半無。空將惜春恨。林下獨踟蹰。</text>
<title>自楮子島順流下漢江</title>,<text>平湖流水膩如油。佳客相携上釣舟。晩雨濕衣人盡醉。荻花空映白鷗洲。</text>
<title>夏日村居</title>,<text>長夏孤村靜。深山好客稀。松濤聞左右。麥浪見依俙。輕燕銜泥去。閑鷗傍水飛。散人耽穡事。每日出荊扉。</text>
<title>與諸友乘舟龍江。順流而下。至玄石廻棹。夜已央矣。坐間。從弟而實。出示前日船遊時次工部古詩韻。要與續次。忘拙吟成。</title>,<text>江水西流去。煙波正渺然。九人乘小艇。芳樽酒如泉。沿洄十里間。蕩漾隨所便。淹留盡歡謔。西日忽不延。倚棹發長歌。浩氣悲壯年。夜深江路黑。醉客坐能堅。仍思太史公。放跡遊山川。且聞王子猷。寓興剡溪船。何如吾輩會。終夜酣歌眠。沙禽驚荻岸。明星映江天。微風動烏檣。廻帆不勞牽。興闌人自酌。傳杯無後先。蓬底小燈明。茶爐吐靑煙。山容與水態。自有天機全。江湖淸絶地。始擺塵慮纏。明朝還谷口。老我誰復憐。</text>
<title>客至。聞京報偶吟。</title>,<text>谷口畸人在。幽閑乃所安。山深天更小。林靜夏猶寒。老去唯高枕。朋來始整冠。一聞京洛事。回首意多酸。</text>
<title>寄汝明</title>,<text>一月音書斷。思君太瘦生。濃陰時獨坐。斜日聽蟬聲。詩興因痾少。閑情寓物成。安陽蓴膾約。更待熟香秔。</text>
<title>閑居卽事</title>,<text>晩覺郊居好。雲崖築數椽。亭高不受暑。地僻少觀天。幽趣山禽識。農談野老傳。平生閑靜意。於此獨周旋。</text>
<title>過光山府院君墓有感</title>,<text>路出王臺下。遙瞻議政墳。當年開相府。兩代策崇勳。龍虎山形壯。東西水派分。至今繁子姓。遺業在碑文。</text>
<title>排悶</title>,<text>五兒遘疾喚爺孃。後挈前提坐草堂。終日呻吟聞更苦。人間不願子孫昌。</text>
<title>病中謝人送魚</title>,<text>觸炎成疾臥踰旬。對案長愁惡草陳。何意漁翁遙念我。爲憑稚僕送銀鱗。</text>
<title>寄汝明</title>,<text>再失安陽約。堪嗟世故纏。鵑花紅已盡。蓴葉翠將圓。菱谷千峯靜。淸溪一逕連。相思不相見。中夜夢徒牽。</text>
<title>次韓叔韻 二首</title>,<text>散人無事只銜杯。幽興淸秋不自裁。雲合小溪風勢急。天陰遠壑雨聲來。逄冠已脫紅塵裏。陶逕新開白石堆。問我閑中何所得。傲寒松柏滿山栽。</text>
<title>次韓叔韻 二首 其二</title>,<text>鵝村閑靜有誰知。此日歸來托晩期。巖削東崖山影直。草遮南澗水聲遲。樵童執斧尋前壑。畸客探牋和古詩。遙想數帆亭上老。明朝聊訪慰相思。</text>
<title>寄鄭子容。兼敍別懷。</title>,<text>東國文章伯。人稱鄭子容。平生最坎軻。半世獨中庸。得路才何展。歸田意已濃。臨分無所贈。唯願保龍鍾。</text>
<title>謝李子明送玉蘭香</title>,<text>故人遺我玉蘭香。辭意慇懃不可忘。靜向明窓時一炷。靑煙嫋嫋繞書床。</text>
<title>訪汝明淸溪莊</title>,<text>爲有溪翁約。單驢渡漢津。秋聲霜後急。月色夜來親。世事堪流涕。幽居合養眞。聊將衰謝意。燈下話情人。</text>
<title>與沈遂之遊中興洞</title>,<text>秣馬石門路。傾杯閔漬巖。秋山看不厭。把筆倚枯杉。</text>
<title>遊山後還家作</title>,<text>昨日西郊雨。能令遊子忙。三山看不足。回首更彷徨。</text>
<title>謝張持國來訪</title>,<text>寥寥窮巷友朋疏。處獨惟能閱古書。賴有故人勞一訪。慇懃情話足醒余。</text>
<title>申澤甫挽</title>,<text>浮世光陰逝水空。高堂此日慟何窮。松京異績承家訓。柏府休聲屬殿中。夭比顏賢加數歲。庭聯蘇璧摠神童。丹旌永向新阡去。哭盡西門起夕風。</text>
<title>次汝明韻</title>,<text>雲翁結草廬。不用繩與尺。門臨水一派。舍背山萬曲。林壑靜無事。獨坐松下石。人生着處安。堪笑躬途哭。簪纓等浮雲。谷口甘潛伏。有時相識來。謂我忘世客。從此謝塵宂。終老鵝村屋。</text>
<title>鄭光城挽 二首</title>,<text>喬木人誰在。同朝失老成。烏臺留諫草。麟閣耀勳名。戚戚任孤慟。寥寥鄭履聲。幽明從此隔。攀紼一傷情。</text>
<title>鄭光城挽 二首 其二</title>,<text>一節觀周日。先君贈以詩。至今遺稿在。追昔寸心悲。零落人間事。慇懃地下期。忍將無限淚。臨挽寫哀詞。</text>
<title>鵝村卽事。次韓叔石壁韻。</title>,<text>春來山鳥語呢喃。雨後幽庭草似藍。晦迹深林人不識。桃源知在漢江南。</text>
<title>途中口號</title>,<text>匹馬衿陽路。西風吹客衣。天高飛鳥沒。村遠牧童稀。玉露凋山盡。殘霞隔水微。吟詩行十里。荒嶺隱斜暉。</text>
<title>偶吟</title>,<text>數畝荒田手自耕。明時甘作一廛氓。傍人休道吾名姓。晦迹雲林了半生。</text>
<title>訪淸風溪</title>,<text>仁王山麓丈人居。太古爲亭草作廬。左右奇巖披錦繡。後前文丌亂圖書。三塘活水天機靜。一谷淸風俗客疏。滿眼秋光看不足。菊花叢裏更躊躇。</text>
<title>與季明汝明，有遊山之約。而雨未果。翌日往訪。則季明已有二首詩。以失期爲恨。仍與諸友遊賞冠岳。遂次其韻。</title>,<text>九月深山白露飛。遊人初着碧荷衣。巖棲倘遂平生計。世上應知無是非。</text>
<title>與季明汝明，有遊山之約。而雨未果。翌日往訪。則季明已有二首詩。以失期爲恨。仍與諸友遊賞冠岳。遂次其韻。 其二</title>,<text>山帶新霜萬樹紅。仙禽爭喚醉吟中。行行忽陟靈臺上。巖畔寒松引夕風。</text>
<title>輓章昇平府院君金瑬</title>,<text>條暢由貞幹。川豐在羨源。虞時四岳後。周日太師孫。德媲儲宮盛。天生纘女尊。台階元屬望。晉錫豈專恩。名是淸脩得。心常恐懼存。謙虛山殺瘦。蘊藉玉無痕。卽事宜嘗膽。平居却少飧。力微張國步。痼積坐憂煩。蜀相當時恨。衡山未死魂。忠良天不憖。匡濟志空呑。揭厲懼無憾。幽明獨抱冤。阿丘難可擬。旄葛詎堪言。宅不增先業。經猶付後昆。揄揚史臣筆。節惠太常論。莫道過從闊。由來分誼敦。佐銓資藻鑑。入幕得璵璠。天上龍鸞遠。人間燕雀喧。凄涼餘日月。牢落此乾坤。宰木鳴秋咽。寒山帶雨昏。那將數行淚。尙忍過西門。</text>
<title>輓章益寧府院君洪瑞鳳</title>,<text>忠孝名家嶽降精。受來庭訓邁氷淸。平生素履全初服。終是沖襟遠世情。我忝追陪先府久。公推交義暮年傾。台星遽隕人休痛。周籙無疆相卜明。</text>
<title>輓章領議政沈悅</title>,<text>風儀峻整量休休。儒雅明時第一流。律已規模惟朴直。傳家淸白是箕裘。連姻王室心猶小。正位台司德益優。木稼今朝元老逝。秦舂嗚咽不成謳。</text>
<title>輓章永安尉洪柱元</title>,<text>仁憲流芳舊。雲仍復有公。謙恭由素性。孝友卽家風。濁世身名潔。淸朝雨露融。門連禁掖貴。心與布衣同。久識操存際。皆從禮學中。銓衡推地望。鼎軸代天工。政屬艱虞日。眞成密勿功。憂時添白髮。雪涕戀靑宮。耿耿孤衷在。沈沈一病癃。音容歸厚夜。星斗爛高穹。吾道終安放。明庭望若空。平生瓣香奠。那忍哭南豐。</text>
<title>輓章 二首 東陽尉申翊聖</title>,<text>耄耋誰云壽。全歸未是凶。存能加宋額。沒卽輟秦舂。有義名還易。無疆慶所鍾。徒悲香幣至。沙塞隔銅龍。</text>
<title>輓章 二首 東陽尉申翊聖 其二</title>,<text>每憶衿陽會。茅簷九日巵。時憂俱涕淚。心事不磷緇。視履常持士。通家幸得師。乾坤一蕭瑟。獨立萬端思。</text>
<title>輓章吏曹判書南以雄</title>,<text>文曲星輝再照東。慶膺千載契昭融。爭瞻大拜艱危際。共惜閑居藥餌中。霖雨正當思傳說。昊穹何遽奪楊公。講書將設回轅邈。遺恨重泉定不窮。</text>
<title>輓章工曹判書尹暉</title>,<text>芳名早歲動儒林。天上麒麟絶古今。曾在昏時甘蟄臥。逮遭淸世始龍吟。東銓藻鑑人皆仰。黃閣淸風世所欽。文靖久無旋馬地。敏中元有耐官心。家傳忠孝仁爲質。身佩安危旱作霖。陳榻日親三益友。戟門昏絶四知金。淸貧節苦家聲遠。經濟才多寵渥深。憂國一心空眷眷。經年二豎竟沈沈。孤雲逝水浮生盡。落木長風萬感侵。慟軫楓宸胡不整。悲纏鶴駕想難禁。爭看玉樹成行茂。更道庭槐滿地陰。後死那堪恒戀德。此生無路再承音。灰寒藥鼎秋山靜。客散虛堂曉月臨。耆舊摧傷人事急。不勝淸淚自盈襟。</text>
<title>輓章前判書李明漢</title>,<text>仁憲勳名震海東。降精奎壁又明公。松筠早保凌霜操。嶽瀆潛收潤物功。語到時艱惟有淚。望傾朝著若無躬。百年寧順知何憾。殄瘁興悲走卒同。</text>
<title>輓章前參贊李敬輿</title>,<text>異日聞名久。同朝托契親。离筵聯步武。銓署幷簪紳。宣室承前席。中書忝後塵。揚鑣扈聖蹕。鳴玉儐王人。共歷艱虞際。還沾雨露均。靑雲誰所致。白首笑如新。宮醞金華夜。綾衾玉漏晨。常將道義勉。更覺性情眞。卿月吾非分。台躔子秉匀。搏風溟海闊。臥病瘴江濱。世亂計安出。時危氣益振。主恩猶未報。臣節若爲伸。多少殘生事。支離未死身。安危方注意。禍福竟相因。縶跡纔歸洛。舂歌奄輟秦。悲號連委巷。殄瘁動楓宸。況我存無益。如今鬼與隣。那堪便永訣。伏枕獨傷神。祗幸徵餘慶。終期濟否屯。姬周配齊岳。殷夏啓塗莘。莫道東京馬。吁嗟公子麟。天心知有屬。不必浪沾巾。</text>
<title>輓章禮曹判書李景曾</title>,<text>家學師資結主知。蜚英華貫上台司。靑闈恩澤沾應洽。素節淸貧竟不移。二豎遽嬰憂國切。一邦咸抱輟舂悲。時艱未濟遼河隔。非獨攀輀哭我私。</text>
<title>輓章刑曹判書徐景雨</title>,<text>茂德淸規冠一時。九齡風度聖明知。華途敭歷仍銓席。黃閣登庸仰世儀。多難方期資啓沃。云亡誰復濟艱危。哲人從古關衰盛。天意如何不憖遺。</text>
<title>輓章知敦寧府事韓仁及</title>,<text>龍枕靑宮慶。台扉赤舃榮。謙恭元雅望。氷蘗自淸名。報主忠勤志。扶顚啓沃誠。佇期功業就。那意疾痾嬰。庾宅稠恩數。桓庭摠俊英。久要餘病弟。姻分愴亡兄。俗末無新契。官崇有舊情。公私殄瘁慟。頭白秪呑聲。</text>
<title>輓章大司憲李植</title>,<text>威鳳高翔早避時。虞庭旭日見來儀。門開震邸家逾窘。位極台階禮益卑。參朮縱乖攻病用。松筠終保傲寒姿。雲泥便作幽明別。悼舊何堪殄瘁詩。</text>
<title>輓章行江華留守元斗杓</title>,<text>早振儒風起後生。向來文雅冠群英。曾當汚世甘幽側。却躡亨衢際聖明。居洛已聞皆頌德。臨危且見獨全名。典刑一壞人誰鑑。今日朝廷哭老成。</text>
<title>輓章 二首 行都承旨金堉</title>,<text>大嶽神明後。金花將相門。黃扉扶聖主。靑邸翼元孫。痛結城南路。悲連塞北雲。寒塘印皓月。秋水想精魂。</text>
<title>輓章 二首 行都承旨金堉 其二</title>,<text>早歲深相結。情同骨肉親。山門把蘿帶。雲路共朝紳。密密金蘭契。哀哀玉樹塵。明年三月至。那忍賞餘春。</text>
<title>輓章 三首 京畿監司尹墀</title>,<text>聖主恢邦運。儒臣闡國猷。松筠看直節。山斗仰名流。神化元來寂。功言取次休。堂堂人物表。永作閟原丘。</text>
<title>輓章 三首 京畿監司尹墀 其二</title>,<text>名閥仍名相。元孫卽外孫。家貧門戶貴。心小廟堂尊。靑史遺芳滿。黃樞故事存。諄諄臨絶語。鶴馭未回轅。</text>
<title>輓章 三首 京畿監司尹墀 其三</title>,<text>國有艱危日。朝無耆舊臣。斯人又黃壤。時事奈蒼旻。名實歸華衮。哀榮軫紫宸。傷心具瞻地。不復展經綸。</text>
<title>輓章 二首 行大司諫李楘</title>,<text>雲霄平步上台司。手額爭稱燮理宜。忠孝佳聲傾後代。淵源禮學契先師。淸名可使朝紳重。苦節能扶社稷危。一疾沈綿驚木稼。國家多難更依誰。</text>
<title>輓章 二首 行大司諫李楘 其二</title>,<text>歲暮心期五十年。天曹玉署幾同筵。匡時淸議氷霜凜。嫉惡剛腸柏石堅。存沒何堪懷異域。精忠可惜閉重泉。只將知己平生淚。携手諸郞更泫然。</text>
<title>輓章 三首 司直金光炫</title>,<text>知舊日零落。相公今又亡。濟川方作楫。支廈忽摧樑。痛哭艱危事。悲吟殄瘁章。遼天回首望。存沒最心傷。</text>
<title>輓章 三首 司直金光炫 其二</title>,<text>昔死羨谿谷。題詩情見辭。如今公又逝。適願我何悲。疾痛渾無省。哀榮摠不知。高門容駟馬。餘慶後人垂。</text>
<title>輓章 三首 司直金光炫 其三</title>,<text>白首同衰疾。公先我着鞭。固知歸次第。何用涕潺湲。湖海違攀紼。峨洋已絶絃。分明昨夢語。相對各嗟憐。</text>
<title>輓章杞平君兪伯曾</title>,<text>中歲淸要互伯仲。暮年階級迥差池。鹽梅黃閣君爰立。魚鳥蒼江我已衰。只恨雲林朝市隔。那知彼此死生離。兩宮沙磧風霜苦。泉下人間涕共垂。</text>
<title>輓章延陽府院君李時白</title>,<text>崇班卿月照黃扉。相國平生似布衣。一病沈綿緣聖主。七年關塞隔春闈。艱危到此誰堪濟。德量如公古亦稀。不獨片碑傳事業。已令東史有光輝。</text>
<title>輓章完南君李厚源</title>,<text>國事艱虞甚。經綸賴有公。安危飄素髮。獻納罄丹衷。黃閣心如退。蒼生望更隆。回轅猶渺渺。易簀遽悤悤。星報三台晦。天悲一鑑空。已乖扶廈志。誰任濟川功。痛切秦舂輟。哀添楚些終。傳家惟孝悌。沒世是淸忠。密勿匡時策。雍容待士風。從今不可見。失涕萬人同。</text>
<title>輓章 二首 錦陽君朴瀰</title>,<text>承華昔賀詠關睢。萬事蒼黃百六初。謾說七年生馬角。那堪千里報哀書。宮官忍奉新芬苾。驛使還非舊起居。最是周文又聖德。懸知寶曆到千餘。</text>
<title>輓章 二首 錦陽君朴瀰 其二</title>,<text>廊廟儒林始得公。佇看澆俗返淳風。極知斷斷優天下。誰料諄諄似夢中。里比高陽餘慶大。代推楊綰易名同。傷心二世通家誼。亦爲吾私淚洒空。</text>
<title>輓章 二首 行大司成金蓍國</title>,<text>早卜芳隣步屧尋。如吾疏懶忝知音。平生契分非他道。末路交期只此心。地望超倫喬獄仰。天文告警輔星沈。西風別有懸河淚。瞻望行宮自不禁。</text>
<title>輓章 二首 行大司成金蓍國 其二</title>,<text>哀榮無憾返松楸。哭送江頭萬事休。花竹豈無君實樂。廟堂還有仲淹憂。凄涼曉月庭槐冷。蕭瑟霜風宰樹秋。顧我曾叨堂上客。他年那忍過西州。</text>
<title>輓章左副賓客任絖</title>,<text>簪笏傳家地望隆。聖朝恩遇冠諸公。台衡位極安危係。社稷憂深進退同。大廈樑摧今日慟。巨川舟濟向時功。西歸白首春坊客。靈幄長辭淚不窮。</text>
<title>輓章右副賓客李昭漢</title>,<text>世以斯文重。公將禮法持。爭推端冕望。粤自布衣時。進退寧諧俗。依歸早得師。危朝全素履。榮問際昌期。富貴身何與。升沈道未虧。人方仰山斗。國忽失蓍龜。厚德終無壽。儀刑更有誰。殊方承遠訃。同里抱深悲。尙記臨分誨。先題歎逝詩。通家兼世好。悽咽不成詞。</text>
<title>輓章行府使呂爾徵</title>,<text>相國門閭高。冠我昌善里。仁俗遠相承。令聞世載美。間氣生異人。夙德蘊弘軌。國器重瑚璉。卿材美杞梓。弱冠已老成。從容蹈義理。契托固忝竊。舊誼有所倚。從遊奉深眷。膠漆安足擬。騫飛何苦晩。出處道與比。遭逢會有時。盛際乘休否。歷敭盡華貫。遷擢殊恩被。天府獨持衡。南宮高曳履。淸規標世業。善慶叶嘉祉。婺彩耀前星。壼儀齊姙姒。席寵心轉小。飭躬類寒士。國步値陽九。席卷腥塵起。去國勢蒼黃。陪從聞意旨。天塹奄不守。禍迫圍城裏。周旋顚沛際。相誓同一死。生還豈自料。所幸不辱已。乘輿返城闕。墻壁泣相視。鶴駕出郊坰。鬱結腸如燬。憂虞損性靈。一疾歲旣累。公望合有歸。絶席陞端揆。雅量鎭浮俗。屹然喬嶽峙。世運無奈何。宗社竟若是。天胡不憖遺。一去如脫屣。巖廊永蕭條。樑木便傾圮。平生念分義。金石一終始。遙思日月遒。窀穸忽已邇。迢迢關外途。落落海隅吏。千里阻執紼。引領淚傾水。區區相楚挽。遠托西歸使。</text>
<title>輓章護軍洪茂績</title>,<text>儉節淸名世絶倫。擬令風俗再還淳。貌先年老因憂國。事與心違至殞身。儀範一時虛鼎席。精靈半夜返星辰。莫論平日交情厚。慟自宸闈及路人。</text>
<title>輓章工曹判書趙緯韓</title>,<text>平生自幸忝登龍。久識明公洒落胸。位至鼎台心轉小。門聯貴戚貌猶恭。淸朝苦節規氷蘗。歲暮寒姿看雪松。寇老方期重入相。秦童何意輟歌舂。碧梧餘慶鸞翔峙。黃閣遺哀馬鬣封。身病又違鷄絮奠。白頭題挽涕無從。</text>
<title>輓章行護軍李景憲</title>,<text>奕世簪纓舊。承家更有公。尋師曾學北。避汚久居東。遇主知無咎。匡君卽匪躬。頹波扶大義。嚴譴效孤忠。僉擧天工代。具瞻地位崇。閑門惟蔽席。湫宅不除蓬。素性持恭儉。丹心秉始終。廉隅自砥礪。濁俗可磨礱。國倚賢良重。人期事業隆。居然嬰二䝂。命矣蔑三功。未展經綸志。咸懷殄瘁恫。摧樑傾廈屋。亡鑑疚宸衷。街巷秦舂輟。閭廛鄭市空。先歸闃黃壤。速奪奈蒼穹。已失商宗雨。追思鄼相風。艱危靡所仗。休戚與誰同。厚夜千秋後。淸朝廿載中。典刑存沒式。恩渥死生蒙。花甲雖非壽。芝蘭幸茂叢。幽明無限慟。殊域滯嬪宮。</text>
