<title>船遊</title>,<text>一葉舟輕薄。隨風任去留。若將浮世比。安穩似唐虞。</text>
<title>次閔上舍希顏韻 同月 其2</title>,<text>春早征西幕。東風入涕危。二年爲客日。千里戀君時。夜壘驚聞柝。官場厭見旗。相逢俱白首。各喜舊吟詩。</text>
<title>次博川館壁上韻 同年七月</title>,<text>積雨今朝霽。蟬聲咽晩林。庭梧秋氣早。牙帳客愁深。西嶺烽初至。南樓角更吟。片雲何意緖。猶復弄晴陰。</text>
<title>遊七寶山</title>,<text>千巖萬壑碧層層。鬼斧神斤斲削能。蕙草自經春雨馥。石峯爭竝夏雲興。臺新好象濃眞氣。寺古開心見佛燈。可笑十年戎馬客。仙山今日蕩塵膺。</text>
<title>送奏請副使吳肅明赴皇都 甲子七月</title>,<text>藩封消息隔天淵。專奏須憑使价賢。一節千年吳季子。孤槎八月漢張騫。雲沈鶴野氛陰重。海接萊山暮景懸。多難足堪傷此別。況兼衰病死生前。</text>
<title>挽宜春君妾</title>,<text>夫死於君妾死夫。一家全節世眞無。廣陵南畔留雙塚。千古行人起悵吁。</text>
<title>挽人</title>,<text>人生有死無生可。聞說驚心不說宜。正字官高諸幼長。到看榮處摠堪悲。</text>
<title>挽尹同知旰</title>,<text>離亂朋交盡。君今又隔泉。牙絃從此絶。陳榻爲誰懸。蠻海三秋別。京樓半日筵。仍成生死訣。老淚灑江邊。</text>
<title>崔完城 鳴吉</title>,<text>麗朝副帥家聲遠。當代元功寵典新。年紀尙強憑妙略。凶奴未滅失斯人。御袍爲襚君恩重。擔石無儲後嗣貧。千古精神應不泯。鞍峯突兀揷秋旻。</text>
<title>李完豐 曙</title>,<text>湖海英豪出。鴻功社稷存。雪山三掌重。麟閣一身尊。君寵哀榮極。家聲後嗣蕃。凄涼朋舊意。何處可招魂。</text>
<title>具綾城 宏</title>,<text>嗟君意氣堪傾許。衮衮風埃白髮侵。戎馬功名儒士行。死生忠孝丈夫心。長身寂寞埋泉壤。往跡微茫隔古今。日暮江南芳草綠。鷓鴣聲裏水雲深。</text>
<title>張新豐 維</title>,<text>瑞石鍾靈秀。英才出等夷。遷喬刷勁翮。附驥軼高馳。獨達韜鈴祕。皆稱短少姿。曾充絶域使。贏得遠人知。大盜窺丹極。妖星隕玉墀。公能掃醜孼。一戰復京師。帶礪勳盟重。旌旐望實宜。酬恩期盡瘁。嬰疾遽長辭。寂寞淸霜閟。蕭條大樹萎。凶奴幾日滅。精爽萬人思。塚與祈連竝。名應汗簡垂。不知麟閣上。誰繼卽圖詞。</text>
<title>李延陽 時白</title>,<text>昔我錦南友。今朝逝安適。妙年投筆志。名終耀麟閣。位躋元戎亞。家業轉薄落。騏驥展餘才。如向天奪速。賜葬知異渥。斂衣自宸極。黽勉恭朝命。行行從所役。徒切望廬懷。依依想所歷。今還無髣髴。唯餘翰墨跡。邈彼瑞陵路。哀哀一長哭。此哭豈獨私。西羯方竢隙。</text>
<title>李知事 顯英</title>,<text>淮陰一遇蕭相國。始知天下無雙士。自從結髮擢行伍。精悍英明誰得似。南走釜山西虜窟。敵情了了方寸裏。無何狂賊稔凶計。辟易安戎老刺史。相持千里失期會。翠華蒼黃渡漢水。妙算先據北山高。俯視凶徒如穴蟻。掃淸氛祲不崇朝。園陵喜氣半天紫。整頓乾坤是誰力。克讓元功亦盛事。山河盟罷膺推轂。報答鴻私期一死。凶奴未滅失名將。勒石燕然嗟已矣。紫泥崇終錦袍新。地下忠魂應刻髓。塞上鼙鼓倘警秋。九原茫茫寧可起。</text>
<title>金右尹 大德</title>,<text>自古英雄寧有種。從知國士擅無雙。爭瞻八路副元帥。獨擁三軍大將幢。郊壘誓令妖祲豁。沙場擬見左賢降。堪嗟一疾緣憂憤。氣作山河壯我邦。</text>
<title>金右尹 大德 其2</title>,<text>間氣堂堂獨出群。曾隨元帥掃凶氛。書傳黃石持長算。形入雲臺樹大勳。十載干戈勞戰伐。一身南北盡忠勤。凶奴未滅英雄逝。謾像祈連數尺墳。</text>
<title>金右尹 大德 其3</title>,<text>敦詩說禮久聞風。一見英姿慰我衷。緩帶輕裘惟鎭靜。丹心白髮只精忠。襟期晩托腰間劍。音信時憑塞上鴻。交道敢言趨舍異。承凶不覺慟無窮。</text>
<title>兪司成 省曾</title>,<text>堂堂意氣聳人看。文武全才自弱冠。渭北聲名推管轄。安西風望屬登壇。繪形麟閣功無比。展略楡關力已殫。佇見煙塵淸海徼。忽聞邦國失屛翰。君王歎息三軍泣。部曲凄涼大樹殘。義忝同庚愆執紼。玉城回首淚汍瀾。</text>
<title>鄭畸翁 弘溟</title>,<text>墮地桑蓬志四方。登壇棨戟領戎行。孤忠奮袂能安社。暮境沈痾久在床。麟閣畫圖餘颯爽。龍驤墟壟望荒涼。平生許與如公少。暗結長悲寫短章。</text>
<title>鄭參議 廣成</title>,<text>憶昔壬辰看亂離。幼年奔問效揚奇。敦時說禮堪元帥。平賊收京荷聖私。西塞枕戈身半老。南州緩帶病初危。平生白羽今零落。誰識同庚不盡悲。</text>
<title>鄭 太和</title>,<text>早年忠勇起蓬蒿。晩歲恩榮擁節旄。曾賴出奇扶社稷。共嗟臨亂失英豪。悲涼畫照麒麟閣。寂寞胸藏虎豹韜。千載海東名不朽。炳然靑史記勳勞。</text>
<title>鄭 太和 其2</title>,<text>一見忘年不我遺。結交如水貴相知。臨戎西塞傳書札。分閫南州惜別離。洛下更逢靑眼日。枕邊唯對白眉時。三更積雨迷湖路。哭送丹旌獨抱悲。</text>
<title>羅 萬甲</title>,<text>相國之門早受知。終敎不世樹勳奇。平生元凱春秋癖。精悍司空短小姿。旌節西南邊塞靜。哀榮存沒聖恩垂。富城松柏長隣近。他日從遊地下期。</text>
<title>申察訪 易于</title>,<text>昭代副元帥。英才冠武臣。勳勞輸社稷。神彩畫麒麟。異域和親絶。中原戰伐頻。長城忽有圮。哀悼結重宸。去年松亭會。遽然一夢驚。勳名在畫閣。遺堞掃長城。雨暗將軍樹。天空細柳營。平生數掬淚。江上灑丹旌。</text>
<title>月沙題蟾江圖詩</title>,<text>聞君每說蟾江勝。邀我湘潭共卜居。我竟未成今老矣。君於何日得歸歟。淡粧濃抹詩難狀。競秀爭流畫不如。雨竹煙帆森在眼。臥遊終日亦吾廬。</text>
<title>擊賊歌 白洲</title>,<text>西關之西有名將。南斗以南無等人。壯年持節値時危。男兒有膽大於身。二萬狂賊擁城闕。一朝迅掃如掃塵。功成不居人所難。飄然返節淸江濱。大駕還都急召公。煙花三月朝紫宸。席前賜酒散黃金。命錄一等三功臣。其一元戎其二公。一時禮遇無比倫。馬鞍峯頭百丈石。大書特書詔千春。勖公此心西擊胡。然後初奠三韓民。</text>
<title>天坡謝帖 公病在新安館。作戒行詩。贈天坡。天坡次韻以謝。</title>,<text>遊方持戒遽臨淵。警策還憑鄭老賢。深愧此生長汩沒。誰敎宿計失高騫。望中溟渤天無極。病裏分携淚自懸。知我歸時君已健。笙歌爛漫百花前。</text>
<title>天坡寄思 公以副元帥駐安州時。天坡寄詩。</title>,<text>每到蒼黃日。看君獨出關。旌旗臨薩水。烽燧接龍灣。部曲徵前令。雲山識舊顏。近聞胡騎遠。笳鼓幾時還。</text>
<title>天坡寄思 公以平安節度住寧邊時。天坡寄詩。</title>,<text>摠爲酬天眷。忘身判遠遊。牙旗按北鎭。玉節領南樓。時序驚芳草。離懷欲白頭。音書憑戍卒。回雁候汀洲。</text>
<title>天坡贈別 公以元帥南還時。天坡次畸翁韻。以贈別。</title>,<text>麟閣圖形政黑頭。中興勳業動靑邱。無端十二金城略。辦得田間恣意遊。</text>
<title>白洲贈別 公出鎭晉陽時。白洲病吟奉別。</title>,<text>勳業麒麟第一人。至今髮鬢半成銀。從來厭飮淸川水。此去耽看燕谷春。到處江山歸節制。新開壁壘倍精神。平生謾擬搥黃鶴。離別推敲笑病身。</text>
<title>玄洲贈別 公赴慶尙右閫時。玄洲贈詩。</title>,<text>頟頟晉陽府。君其保障哉。臨江有勝地。矗石起高壘。燕寢淸香擁。戍樓好月來。應知按節久。西塞淨塵埃。</text>
<title>畸翁贈別 公放歸田里時。畸翁贈詩。</title>,<text>將軍夢罷大刀頭。匹馬南馳返首邱。長願廟謨終制敵。任渠漁釣作閑遊。</text>
<title>鞍峴歌 鞍峯勝戰碑文○三淵</title>,<text>鄭錦南眞英雄。骨聳精緊萬人中。氣候分明朱義封。胸襟沈靜王司空。亦有春秋癖經緯。六韜三略通平生。平生知遇李鼇城。一時服事張玉城。關西督府載草草。半繕營壘未練兵。蜂目將軍擧事速。卒銳已久輕朝廷。長驅萬騎蔽天塵。前第靑衣數千人。薩水猪灘一時潰。百官跣足千乘奔。元戎在左但袖手。王在賊前我在後。將軍於此試鷹揚。左提右挈南以興。決機先唱據北山。牙旗高盾雲以間。蜂攢蟻集仰萬弩。風自西來鼓天恕。漢城千街屋瓦震。黑雲三面飆沙舞。亂砲之下賊無餘。龍衣裹血禾川滸。凱歌淵淵鍾篪完。翠華徐渡錦水還。道左匍匐庶人服。功高心小王乃歎。漢水氷帶鼎岳礪。白馬朱血登銅盤。敦睦義重畫戟豎。鐵券所藏遺棟宇。功在山河不民泯。屋如傳舍幾易主。雪川鞍馬小儒過。軒前鞍峴猶此峴。不有將軍國如何。近者登來有風色。擊鼓興思在牧頗。兵家制勝貴用奇。焉用紛紛築城多。思公英偉不可作。</text>
