<title>冬夜吟</title>,<text>月釣前溪夜。風鍾古木冬。</text>
<title>正錄廳。與諸益會話。李希吉 周奭 首爲韻。仍口占以和。</title>,<text>爲吾孤負又今行。聽鑰西城趁未明。好事天公留勝客。梧桐踈雨更多情。</text>
<title>賀朴翰林聖韶 齊聞 讀近思錄</title>,<text>四子階梯一部存。多君如誦自家言。公餘已得冬三足。看透從探不貳門。仕學俱優培實地。明誠兩進㴑眞源。笙鏞黼黻無他道。須把玆書獻至尊。</text>
<title>送知禮倅李彜敍</title>,<text>居禮官於禮。斯須禮不離。海東夫子裔。三聖洞中宜。昨上摩尼頂。明朝向俗離。風流皆聖賜。山水兩相宜。</text>
<title>昨見邊日進 始暹，李愼可兩友詩。以愼可永平之遊。便成一爭。爲步其韻。聊以解紛。</title>,<text>止無常止理。遊不以遊高。靜須非木偶。曠豈愛禪逃。吾道本坦蕩。景物隨所遭。近日金水會。詩社忽風濤。觀者笑跛躄。若井蛙海鰲。聽者譏𥌒畫。若輿薪秋毫。以余觀其訟。兩段快一刀。塊坐膠於寂。恣游癖乎饕。必須心界濶。不爲形役勞。拋書去尋春。巨艦輕一毛。然後是大遊。餘外儘滔滔。吾言亦戲劇。識者更爬搔。</text>
<title>和儒瑞韻。兼呈沈君實 英錫，李景學 游夏。</title>,<text>盥薇西郭雨。炎燠濯淸風。勝友多都下。詩豪又嶺中。高吟環郢曲。人數叶商翁。盛會慙無分。誰憐臭味同。一見深相許。淳眞有古風。峨洋三疊裏。雲樹十年中。舊日靑襟友。今朝白髮翁。芹堂時得月。疑是與君同。</text>
<title>和鄭騎郞穉明 鴻慶 與李參知彜執 鼎秉 唱酬韻</title>,<text>心交仍識面。良友又隣曹。遲日萊衣永。陽春郢調高。亨衢欣發軔。塵匣笑看刀。吾輩將何報。惟當夙夜勞。</text>
<title>是歲賜祭陶山書院。又有大山李先生贈職恩典。謹和諸名勝韻。以寓感頌之忱。</title>,<text>吾東闕里廟。百世聞遺風。祝幣從天上。溪山入畫中。文謨猗聖祖。䟽語又龜翁。寶匣理餘韵。恩榮一體同。右陶山賜祭君子修辭以立誠。自來人爵是公卿。先朝虛佇曾殊眷。曠世遭逢又盛名。師道增輝今聖世。陶山宣侑老先生。龜翁酬答君師去。能使斯丈重棟楹。右湖上宣貤士生鄒魯幸。絃誦見遺風。是以巖廊上。猶稱嶺嶠中。漢儀尊孔廟。湖學奬胡翁。殊渥將何報。相看感涕同。</text>
<title>又和沈君實陶院賜祭韻</title>,<text>大東元氣我文純。列聖朝來先正臣。由是嫡傳無墜地。至今吾黨賴爲人。溪岑肹蠁遺芬在。圭幣馨香曠禮新。試士壇前齊感祝。休儀何幸見於身。</text>
<title>和鄭穉明藥名體</title>,<text>露點朱砂玉屑霏。人參對坐朗吟歸。朋情香附芝蘭臭。秋氣黃連稌黍肥。破古紙窓糊頖邸。天南星斗隔巖扉。木瓜携贈瓊琚案。神麴雲安且典衣。</text>
<title>和英寢令韓穉文 益相</title>,<text>我遊東泮𣿬。君去北城圍。楚櫟風霜重。喬松日月依。聽蟬勞遠想。隨鴈約同歸。漢水來詩舶。擎緘倚夕暉。十年書劒友。黯黯說荊圍。梧苑西風早。藜筇北斗依。山回仙寢靜。江送客航歸。幾日黃花酒。相看醉落暉。</text>
<title>次沈君實韻。兼贈太社令。</title>,<text>自笑前遊十載勞。泮橋詩酒洛陽豪。今年冉冉三庚過。往事依依一甲高。歐老傳中無二菊。劉郞去後有千桃。相逢每問伽倻勝。瑤窟多仙幾伐毛。</text>
<title>景慕宮蓮池韻</title>,<text>何年王在沼。花事舊猶新。草木昭光被。羹墻聖慕伸。芬芳皆造化。培護又昌辰。橋畔無窮淚。當時進士臣。</text>
<title>贈崔社令</title>,<text>菊田居士社壇令。興到時時寄惠風。窮者詩工鳴在下。簡兮庭舞日方中。瓊琚贈厚諸名勝。盃酒貧憐兩病翁。萬軸不如三字語。古來爲椽說無同。</text>
<title>謝宗人上舍 玄壽 借騾</title>,<text>由稱與友共。孔歎借乘無。之子莫如厚。以吾不可徒。僮愁遲午飯。吏告趁申呼。坐羡芳園裏。看書也自娛。</text>
<title>送朴上舍德章 章淳 榮覲</title>,<text>苦節孤松宅。敷華會有時。架鳴三世皷。庭壽百年巵。樂事君家最。風流此夕奇。溪山周甲日。京洛幾人知。德章大人公周甲在是月</text>
<title>呈省記。歸路過玉署。與李來卿，姜文擧 世綸 兩學士唱和。</title>,<text>瀛館羣仙座。時來俗客遊。追隨疑嶺會。談笑遣鄕愁。翠簡橫三晝。黃花度九秋。申呈公事了。斜日爲人留。</text>
<title>復用前韻。贈李上舍明瑞 載珩。</title>,<text>瀛海乘槎客。歸來詑勝遊。蓬心羞達觀。楓節倍羈愁。嶠下䟽頭望。鏡中白髮秋。江湖知滿地。回首笑遲留。</text>
<title>客中逢生朝有感 丙子十月十日</title>,<text>一年爲遠客。百感又生朝。孤露偏華髮。經霜弊黑貂。原楸懷更切。籬菊笑應饒。學語癡孫在。渠翁說此宵。</text>
<title>和五一翁懷先壠韵</title>,<text>昔人盖有云。寒食思先墓。少時不解愁。尋常朗吟度。今踐此境界。哀哀我孤露。寂歷卜蓮花。先楸已拱樹。㷀㷀白首兒。展拜時朝暮。居然作遠旅。久矣違看護。頏樵任童赭。弱兒惱冗務。日月又陽止。苦未尋鄕路。故人同此懷。相對感涕注。謹拙言敢佩。持此庶寓慕。</text>
<title>和姜擎廈 橒</title>,<text>太白山高處。男兒未大遊。千年東海躅。今歲下泉愁。聖主㫌褒日。書生慷慨秋。明春宣謚誥。佳約與君留。</text>
<title>國子直中。雪裏小酌。得朝字韻。</title>,<text>龍門留客雪。會事發今朝。酒跨江氷到。書敲泮戶招。噓爐松餠暖。堆案竹籤饒。多喜蘇司業。無錢不寂寥。</text>
<title>楚山歌。贈洪自天 命周 行軒。</title>,<text>楚山多白雲。藹藹膚寸發。崇朝雨祈祈。四野槁苗勃。西民甫經痍。如旱魚在轍。宸簡重分憂。征旆隨雲疾。去作車下霈。沛然慰焦渴。專而不能咸。爲君重惜別。楚山多奇珍。含輝蘊于璞。採之薦廊廟。懸黎又結綠。聖主曰嘉乃。雙玉侈殊渥。不但鬢生輝。最是心如玉。球琳北井膠。可救千丈濁。遙知壺隱吏。相對勉磋琢。</text>
<title>直廬步月。吟呈金尙書 履陽 閤下。</title>,<text>棠露垂垂洗藻淸。旅遊多得掃門榮。禽蟲自笑鳴東野。龍虎疑眞拜北平。春早向陽花幾發。夜深依斗月逾明。蕭然歸臥山南屋。遙憶今宵似玉京。</text>
<title>送金上舍穉功 養運 還鄕</title>,<text>瓢隱遺風百世淸。玉人相對挹家聲。傷心丙子回重甲。可意親朋同一庚。有事還仍無所事。大名元是不求名。君歸日盥陶淵水。浮送桃花鏡面晴。</text>
<title>和姜文擧望鄕臺觀燈韻</title>,<text>明時調玉燭。佳節又觀燈。撲地分排密。凌霄次第登。夜深星斗滴。春去錦花蒸。二十年前會。猶欣此日能。</text>
<title>夏日觀野。逢驟雨漫詠。</title>,<text>散步沿溪又陟山。無心來去揔無關。雷將遠勢緣何急。天露眞容自在閑。雲氣盡歸蒼嶠外。雨聲猶在碧松間。衣沾不足爲吾惜。收拾風烟滿袖還。</text>
<title>追次龜江書院立敎堂重修時韻 幷序</title>,<text>往歲壬戌。先君子董龜院立敎堂重修之役。功訖而落。先君子爲詩叙其事。當時同志老成多續和。不肖侍參斯會。嚴未敢次。到今孤露。復登斯堂。奉玩院藏。墨痕昭然如昨。自不禁泫然。遂以所寓感者書廁院蹟。前輩無非爲後生。百年黌舍永扶傾。不徒觀眺斯爲美。要使彜倫賴以明。尋尺皆曾經費思。寸毫何敢語殫誠。陪登末席今華鬢。往事傷心洛會英。</text>
<title>海上觀日出</title>,<text>萬幅紅羅暈碧琉。滿空星月忽焉收。雲邊怳惚知龍馭。波底玲瓏也蜃樓。天固有窮惟汝見。地如無海曷浮來。須臾轉夜爲淸晝。照破行人失路愁。</text>
<title>謹次九臯社登西樓韵</title>,<text>先生祠下儼斯樓。齋沐登臨凜似秋。虞夏舊山猶外服。夷齊高蹈本潛幽。地符鳴鶴重霄近。峽老啼鵑萬劫愁。鴨脚靈壇鄰北望。瑚纓毅魄護眞遊。</text>
<title>和鄭希仁冬夜韻</title>,<text>客久衣因弊。冬寒夜轉深。壁穿風力透。窓破雪華侵。有信惟孤燭。多情是短衾。猶趍公事急。晨起覓烏簪。</text>
<title>九月呈覲南歸。至月復入泮。吟示頖中諸友。</title>,<text>國子郞官苦被纏。南歸羸馬又西鞭。霜餘階菊携兒掇。雨後籬松課僕編。野稻稍登誇椀飯。市魚常貴覓囊錢。還鄕樂事渾如許。頖邸相逢此語傳。</text>
<title>辛未正月。承大人陞資恩帖。將歸。姜文擧諸友有賀章。聊此奉和。</title>,<text>客裏逢春到上苑。每時團坐笑開樽。臣愚猥竊臺端祿。親老偏蒙慶壽恩。弊屋蓮花山下里。離亭楊柳灞東門。雙擎華誥趨庭日。異聞云云說泮村。</text>
<title>贈族人 宗望</title>,<text>松樹歌傳萬葉芬。金陵官酒尙餘醺。人間白髮偏催我。夢裏靑眸却對君。妙歲前程鵬擧翼。此時相別鴈嘶羣。勞亭強把黃花語。音信須憑竹嶠雲。</text>
<title>丁丑四月。持被吏部以請直。同僚有風色。卽呈辭南歸。中路有吟。</title>,<text>孟子知天不怨臧。丈夫原自任行藏。明朝好返吾盤谷。卧聽農歌打麥塲。</text>
<title>內省直中。讀曾王考所編朱書纂彙有感。</title>,<text>家傳要訣紫陽書。自幸微駑辨魯魚。宮漏出花遲日轉。案籤披竹惠風噓。都緣聖世俱涵泳。偶向遺篇乍卷舒。仕學俱優吾豈敢。宿工還愧到今踈。</text>
<title>次朴弼成 周元 敬槐堂韻</title>,<text>丹華餘蔭自生槐。詩禮當年愛爾培。桑梓如今增遠慕。杞楠從古朽良材。春歸草有無窮感。易末花惟未盡開。會見他時枝葉茂。滿庭明月綠陰栽。</text>
<title>謹次永川朝陽閣壁上韻</title>,<text>雙分一水衆峯回。天敎名區畫棟開。魚鳥不知何意樂。鳳凰應待是時來。鈷潭勝賞稱玆郡。滁閣遊人且有盃。漫載風烟驢背重。夕陽凭檻獨徘徊。</text>
<title>謹次金丈 甲鍊 壽席韻</title>,<text>棲碧名亭水雲邊。世間淸福主人賢。龍山物色重陽月。洛社風流丙午年。磨劒猶應干北斗。獻圖皆是繡南躔。會看他日周牢讌。蘭玉盈階侈管絃。</text>
<title>伊山書院居齋時。謹次軸中韻。</title>,<text>門開志道最初頭。誠正爲齋又進修。遺澤百年私淑地。元符三字放心求。先師以是單傳訣。多士如今大有秋。自愧倥倥迷墒埴。攀躋分寸與君謀。</text>
<title>夜深。聞齋室讀書不輟。又和軸中韵。</title>,<text>夫子門墻靚且深。夜來明月滿溪岑。文章在昔韓膏晷。絃誦如今魯泮林。星斗透寒增氣色。衣冠入靜撿身心。琅然喚我酣昏夢。萬籟收歸獨此音。</text>
<title>和張度汝 成矩 投壺韻</title>,<text>黌堂靜掃設哨壺。慶馬多聞習鳥呼。揖而下飮爭猶禮。箭必中心聖有謨。此是殷周庠敎術。分明魯薛皷遺圖。士須志道游於藝。卷裏先師詔我徒。</text>
<title>和徐進士 成烈 冠子韻 幷序</title>,<text>徐友若先。以某日冠其子。自爲詩以警勉之。向余要一言。余復之曰。夫冠。成人也。成人之道。各在當人之身。固不必外求。况君之家梧山公所編輯冠禮考定一部書。旣經湖翁奬詡。允爲後學模範則君之家學。尤於是講明。顧何待知舊唱酬爲哉。孔子曰。後生可畏。孟子曰。歸而求之有餘師。余以是勖之。須知人所以爲人。孝悌仁端子諒春。又必文之詩禮樂。三加善頌已嘉賓。</text>
