<title>春吟</title>,<text>日動春浮木。霧收花滿原。急呼一壺酒。遊遍到黃昏。</text>
<title>送或人宥歸</title>,<text>萬事人間無不有。如君此謫復何言。冬雷告異天心見。夜榻疏寃聖意存。雪霽關河風肆好。春晴嶺樹氣初暄。靑城以北遲遲路。爲問前期且挽轅。</text>
<title>和李承旨季淵 德溥 韻</title>,<text>今年判送漢之陽。北望涪溪道路長。親意不能忘小子。臣身何以報明王。孤懷縱酒無斟酌。麤氣論時有抑揚。詩律尋常還細事。輸君詞翰早升堂。</text>
<title>拈唐韻。挽季淵行。</title>,<text>全家好住錦城春。岐社爭如寂寞濱。承相前年褒善吏。朝廷今日錄遐人。氣高終是功名骨。才逸元非草野身。聞道嶺頭氷路險。須君且莫理歸輪。</text>
<title>吳國子 尙顯 來話</title>,<text>迢迢關嶺夢依依。三月無書鴈獨飛。與子團欒今夜酒。離家破弊去年衣。坡陵水土渾堪瘦。紗糓雞豚也自肥。一笑人間非易事。錦城追逐莫相稀。</text>
<title>出直</title>,<text>飄然騎馬似乘鸞。九陌繁華且往觀。黃道日臨開玉殿。彤雲天覆集金冠。周王壽考魚爭躍。漢士賢良鵬欲摶。歌詠明時眞樂事。鄕朋促席亦深歡。</text>
<title>驪州陵幸時。江上祗迎。有作。</title>,<text>紅雲多處聖人行。日朗天開警蹕淸。漢水龍船鱗甲動。南城雉堞畵圖明。有嚴玄武兵千騎。無損靑郊糓一莖。此去驪江知幾許。二陵松栢望中生。</text>
<title>親臨大閱日。仰瞻有作。</title>,<text>浮天御幕漢之濱。十萬豼貅五校屯。畵戟千枝回白日。繡旗三匝蕩黃塵。淸秋大閱軍容壯。陰雨長圖國步新。絡野被山瞻仰地。歌堯戴舜太平民。</text>
<title>吳長鬐聖美 泰彥。以繡啓爽實。罷官歸。詩以餞之。</title>,<text>罷官羡子了塵緣。卽日尋鄕便浩然。蓬海慈航傳活佛。鰲山歸馬是神仙。名花叵耐泣香地。美玉尙餘論價年。踰嶺定多相識問。爲言華髮聖源顚。</text>
<title>送黃令 胤錫 由覲之行</title>,<text>泮西立馬覲行催。約束春郞與共廻。從古堪憐士負氣。如今誰惜子多才。淸秋路出芙蓉國。落日詩成鸚鵡杯。孝子榮親官養是。勸君須趁未寒來。</text>
<title>宋連山 煥昌 輓</title>,<text>光嶽吾東大老尊。潭翁後出賁高門。公爲其季宜詩禮。吾謂斯人顧行言。樂在壎箎官又近。風餘鄒魯政無煩。鈴軒幸與隣相接。誰識今朝遽九原。</text>
