<title>山月</title>,<text>靑山太古面。秋月聖賢心。山與月長對。百年托契深。</text>
<title>輓詞[姜世綸]</title>,<text>秋草迷荒逵。晨鳥鳴空桑。人事漭不極。惄焉懷感傷。夙昔奉嘉惠。周旋璧水傍。服佩修而潔。玉立何昂昂。霏談伏四座。利義分毫芒。吾黨期許重。輪蹄傾洛陽。曷以斯取斯。君家爛前光。詩禮世厥氊。孝友繩其綱。峩峩太白下。慵老恢門墻。善類視標準。時望擬巖廊。方當國有警。義旂屹壇塲。冦平事雖已。全嶺樹風長。東巖曁蘆厓。郁郁聯其芳。遙遙溯厥源。陶水流泱泱。嶠人以依歸。洞門闢康莊。鯉趨實在庭。式穀理固常。禔躳自髫齔。奉禮從溫凉。飾之爲簠簋。攻之成圭璋。矩行與尺步。士流所瞻望。孜孜洛閩書。茶飯而衣裳。時淸羽可儀。德輝備五章。斂之歸蔭塗。枳棘晩棲遑。循績任儒素。赫譽恥龔黃。公來海山重。生色二金剛。一萬二千峯。暇餘以徜徉。民馴邑自乂。政聲動明王。北符踰常格。君相有攸商。聖簡諒非偶。前路未詎量。慟哭涒灘事。倏焉變田滄。旁伺肆狺吠。卷歸江舟颺。翛然返初服。墳籍費星霜。芝蘭藹盈室。風雨耿聯牀。怡怡八十年。平地有仙鄕。天定亦勝人。孰奪緋袍煌。藐余覿德久。傾慕結中膓。每問東來客。符彩喜明揚。靈光何遽頹。夜途悲倀倀。未遂漬絮哭。居然墓草荒。葭露夐所懷。秋水渺中央。</text>
<title>輓詞[姜必孝]</title>,<text>箕福公兼五。尊榮復幾人。溫容春有煦。淸意玉無塵。湖塾淵源正。家庭踐履眞。夜朝原一理。猶自涕沾巾。</text>
<title>輓詞[姜橒]</title>,<text>薰然芬馥闇然輝。淨几朝牕日暖時。春到光華堂棣在。歲寒心事澗松知。家傳詩禮仍簪組。學有淵源更切偲。道貫精粗方合用。看看措置各成規。湖門落落曉星如。寥廓百年魯殿餘。鸞棘棲遑嗟末路。鵝岐盤礴更幽居。存心一訣傳鄒孟。寡過平生老衛蘧。小子倀倀迷所適。冥途空復失南車。</text>
<title>輓詞[金會運]</title>,<text>巖亭寥落一嗚呼。詩禮門庭愧俗儒。欲道微誠言拙澀。每承嘉誨色敷腴。崇深地望傾全嶺。端的淵源接素湖。吾黨卽今無限慟。倀倀迷向立冥途。</text>
<title>輓詞[李秉夏]</title>,<text>澗亭家業爛輝輝。沂水春風父子歸。鈍底工由勤切琢。敬時貌在整冠衣。山樑哭後無乎爾。矩矱傳來殆庶幾。耉造如今淪謝盡。更從那處聽瑤徽。</text>
<title>輓詞[金亨壽]</title>,<text>文獻岐山宅。淵源湖上門。工夫涵一敬。精力夯千斤。隆重經帷眷。從容丈席言。斯文百歲恫。無地更陶薰。</text>
<title>輓詞[李秉殷]</title>,<text>合下門庭又得師。百年吾道賴扶持。簪纓尙保山林氣。耄耋還同小學時。南國秪今無正敎。西林懷舊有深悲。人間八十難爲壽。慟哭龍門世好兒。</text>
<title>輓詞[李秀德]</title>,<text>歷歷中原拔。采采誰能當。伐檀湖水湄。析薪樂一堂。此道雖高遠。不曾離平常。大老南國在。儒冠賴扶將。七十今盡之。遺言竟茫茫。吾道日矜持。熟處是自然。步趨顔之與。規矩在周旋。物務皆綜理。斂若入定禪。造次凜淵冰。日用見天鳶。大業牛蠶積。經帷八十年。東泮悲吾祖。西河淚公家。世世篤其好。瞻望岐山嵯。小子甘㬥棄。求蒙歲月賖。世事悲舟壑。那堪異言譁。天欲斯文喪。如今大耋嗟。</text>
<title>輓詞[李蓍秀]</title>,<text>箕裘南澗宅。衣鉢大山門。講道兼三樂。竆經會一原。冰壺看瀅澈。繩尺驗操存。久大平生業。推來十六言。聖代求巖穴。先生玉珮華。肅雝淸廟瑟。陶鑄武城歌。蓬海秋風早。林泉歲月多。山南何運氣。憂道鎭頹波。先生觀化日。吾道失其宗。巾屨歸泉下。文章在篋中。秋深溪月冷。春寂巷瓢空。末學登門晩。山樑痛不竆。高秋沙月白。寂歷吊寒花。大嶺風猷盡。荒阡丈席多。殆將詔後學。重使見前和。夫子終無語。斯文柰若何。</text>
<title>輓詞[族子徽文]</title>,<text>大嶽門墻下。專心制養身。容顔曾氏奧。忠敬子張紳。直截千尋壁。恬和一座春。百年康濟事。回首付前塵。</text>
<title>輓詞[族孫致皜]</title>,<text>粹姿仍藉用工要。湖鉢傳來樂巷瓢。灑落輝光睟面背。端嚴節度貫冥昭。不差毫分吾家的。小試經綸海邑謠。一座春風難更襲。叵堪斯道日衰凋。力蹈師訣更家傳。偏仰眞工近裏專。托契深從三世舊。垂憐誤自十年前。長時慕德誠徒切。今日摧樑恨益纏。百載永違陪寂寞。講堂寥落鎖寒烟。</text>
