<title>謁箕聖墓。續守護所板上韻。</title>,<text>北兎山城外。一抔土幾春。焚香因四拜。我本化中人。</text>
<title>贈康寬汝</title>,<text>鐵衣何處客。來自洛城中。好擲毛錐子。長驅羽前風。胷呑葵日赤。頭戴御花紅。邊地方多事。第成不世功。</text>
<title>贈康大承</title>,<text>故人自遠方。日夕話頭長。以我情相近。知君義不忘。對罇傾夜色。抽筆弄秋光。預托明年會。春花爛妙香。</text>
<title>贈金潤起</title>,<text>君今最少年。才學邁羣賢。好道窮經籍。持心保性天。客懷甘苦積。閭望暮朝懸。欲慰雙親意。排寒渡滻川。</text>
<title>贈金公楫</title>,<text>陽剝歲將寒。夜長月未團。道則分明說。書宜仔細看。持身從小學。進德視湯盤。此外無方便。勸君着意寬。</text>
<title>贈禹良燮</title>,<text>禹雅子貞積年同講。其志也行也。俱爲同志所屬望。而因事徑還。情甚戀戀。贈之以五言一律。以爲永以爲好云爾。山齋積苦寒。心法秀而寬。書可平生讀。理宜動處看。所憂中道廢。初豈上天難。不須多說話。深造自居安。</text>
<title>贈朴鏞聲</title>,<text>山翁不出山。身與白雲閒。地僻無佳景。客來得好顔。詩成鈍亦可。禮飮醉何關。我有陽春闋。爲君一唱還。</text>
<title>和鄭參奉就奎</title>,<text>吾道一毛輕。有誰大講明。莫言前聖遠。何害後人鳴。此地曾無學。吾賢早有聲。若能循序進。去路砥如平。</text>
<title>和金進士基洙</title>,<text>客來要繫纜。學海本無津。易入蓬萊島。難尋泗水春。細分縷可析。頻掃鏡何塵。終有參三日。乾坤眇一身。</text>
<title>續金正中贈程少伯韻</title>,<text>一樹扶桑下。琴書自掩門。秋風隨上价。寒雪入中原。大地黃河走。深宮北極尊。從今誇有眼。長嘯倚乾坤。原韻十月皇華發。戎衣度柵門。單鞭驅左海。雙眼盡中原。日下雲南使。人間薊北尊。可憐程氏子。虛老此乾坤。</text>
<title>題嘉山天皇寺</title>,<text>一臥天皇寺。便成太古人。樓高雲與宿。松老鶴相親。市語隨風散。鍾聲到曉新。燧巢皆後進。此意向誰陳。</text>
<title>三月三日。登陽和寺。</title>,<text>三月陽和寺。登臨客意眞。春聲禽有語。雨跡路無塵。俗氣鍾俱落。仙緣月與新。山盃聊一醉。不必問歸津。</text>
<title>鶴峰亂題</title>,<text>何者謂之仙。心閒便是仙。五層壇上席。一片月中天。速友因開酒。呼童更拂絃。此時滋味大。肯尙別人傳。</text>
<title>過安州</title>,<text>策驢壯一遊。大野水東流。飛閣依天際。長城枕渡頭。雷從更鼓起。雲雜市烟浮。自恨詩工拙。風光未盡收。</text>
<title>和金琥鉉</title>,<text>日暮客過扉。雍容又細微。爲先修系牒。好古服深衣。筆下文詞足。口頭言語稀。一生無限事。不欲半分違。</text>
<title>金東潤老親回甲</title>,<text>居然六十春。花甲夢中新。風樹無窮恨。麟庭有跡仁。紅顔凭酒力。白髮豈仙眞。可笑百年事。回頭問故人。</text>
<title>輓通政大夫白公</title>,<text>一自趍風後。心心向慕深。鬂懸三品玉。手致十家金。孝子前司諫。東床是翰林。捨此今何去。令人淚滿襟。</text>
<title>輓金護軍</title>,<text>公去泉臺後。無人不淚漣。豪情驅駿馬。淸標蛻寒蟬。善積來來慶。身閒事事仙。百年何怱遽。抔土掩終天。</text>
<title>贈禹永冀歸覲</title>,<text>學問無窮易失時。立心須與古人期。江山阻我從遊路。別意長長更贈詩。</text>
<title>贈吳道斌赴京試</title>,<text>吾友道斌少年望士也。其執志也篤。下學也健。與之講。知其爲大器矣。今番得參發解。又赴京試。於其發也。殊戀戀搆一絶以送之。少年名姓脫然新。更欲看花洛水濱。得失在天非在我。惟君莫作自欺人。</text>
<title>贈別龜山齋儒</title>,<text>宇宙中間如許人。胡然千古嘆無人。勸君更進竿頭步。事到成章是曰人。</text>
<title>謝本倅贈扇</title>,<text>六月炎林等火山。多蠅足蝎困多般。淸風掃盡無窮惱。一臥東窓萬事閒。</text>
<title>謝康鉉見訪</title>,<text>吾友用玉自亂離之後。初不知何處下落。丁酉冬。訪我於鹿門書室。戊戌又再訪。隔年積濶之餘。慰洽甚多。况其言論風儀。優優有舊日氣象。蓋可賀可喜。於其歸也。奉贈一絶。以寓日後期望之萬一。向道誰能大眼開。學宜長進恐徘徊。惟君不負平生約。獨抱遺經理會來。</text>
<title>謝金進士龜選見訪</title>,<text>看今世態苦嫌眞。君獨何心遠訪人。竊喜斯文如有相。初筵非特片時親。</text>
<title>和表兄明軒崔晶岳</title>,<text>十年同學博陵春。表裏從兼又故人。中間契濶今如許。顔欲成疎意轉新。</text>
<title>續羣蒙讀書韻</title>,<text>千金難換一編書。天下經綸自有餘。却恨無人眞積力。到頭事業盡虛疎。</text>
<title>擬從節使。觀中州江山。</title>,<text>東方只是海中洲。千里江山泛似舟。陋眼要從江漢洗。適來節使向皇州。</text>
<title>議昏家遣人竊視</title>,<text>窺顔安得窺心眞。况復閨中婉孌人。若使心顔俱未見。不如且信老媒唇。</text>
<title>喜金東潤，白圭範先訪。</title>,<text>故人不見已遲遲。一念懸懸十二時。今夜山齋重會宿。慇懃情話七言詩。</text>
<title>金玉汝委訪相敍</title>,<text>靑山客到雨聲餘。向我慇懃問起居。呼月登亭相對語。今年此夜不爲虛。</text>
<title>聞寅兒見夭</title>,<text>一生一死知常理。生則胡歡死則悲。如死不生生不死。自無心事不平時。</text>
<title>題浿中客舘</title>,<text>一旬來食營厨饋。白飯珍羞反愧人。獨喜相公眞好學。庶幾餘澤及吾民。</text>
<title>題香山尋眞亭</title>,<text>五日間關遇一亭。亭邊山色織如靑。披雲欲訪眞仙跡。只有禪鍾一兩聽。</text>
<title>庚午除夕</title>,<text>村鷄一喔報淸晨。歲色居然已屬春。只恐前修無進就。百年長作去年人。</text>
<title>雪松</title>,<text>夜來寒雪壓千峰。依舊蒼蒼獨有松。也惜千林皆寂寞。故持寒節耐三冬。</text>
<title>雨後觀水</title>,<text>江天雨歇白鷗飛。野草溪苔一樣肥。有客來言觀水術。欣然相笑咏而歸。</text>
<title>見山花野草靑紅相間以成色。寓目良久。忽念子栗兄底意巖花一兩紅之句。因以續之。</title>,<text>後草先花理則同。君何玩物擇靑紅。莫須輕說誰優劣。待着秋成始見功。</text>
<title>望坪芸田</title>,<text>西疇春事已多時。暫捲詩書百畝治。田祖欲尊莘野老。農耕帝道兩兼知。</text>
<title>歸自浿上。和雙湖。</title>,<text>踏雪衝泥步步遲。徘徊浿上故多時。眞情欲對吾兄說。不向傍人謾寄詩。</text>
<title>過水洞。見兩崖絶壁屈曲盤回。間有一川淸冽。隨山轉注。緣江路出。恰爲十餘里。中有一村落。足以主張山水之景。古所謂山秀雅水澄淸。地平坦林茂盛。一擧而幷得。徘徊玩賞。不覺心爽而眼快。爲吟二絶。</title>,<text>名花雜樹別區天。九轉蒼崖挾一川。可惜當年書舍約。未能早定此山前。古洞雲深別有天。峰巒巧轉九回川。緩筇如踏武夷境。一曲棹歌感百年。</text>
<title>過肅川申彥鏞家</title>,<text>涯角相分晩一尋。庭梨結實又淸陰。相逢未易因相別。其奈吾人眷眷心。</text>
<title>過月林</title>,<text>月林江水近香山。泛泛仙舟喚客閒。此去梵宮知不遠。鍾聲隱隱白雲間。</text>
<title>訪敏求齋</title>,<text>靑山斷處有書樓。樓下片舟水上浮。一席淸風高會處。賦詩酌酒盡名流。</text>
<title>文谷塾。對白典籍。</title>,<text>吾人一面亦由天。笑語津津講古賢。從此山門非寂寞。靑衿朱紱雜相前。</text>
<title>戊寅春元對敍</title>,<text>聞道春光已入山。看花一念晝霄間。雖然肯逐殘梅柳。且待羣芳膾炙斑。</text>
<title>採藥</title>,<text>滿山蔘朮惹人行。步步雲深路且傾。益壽延年今有計。靈根多處客心輕。</text>
<title>百花酒</title>,<text>百花採採釀爲酒。一歃果然生眼精。最恨當年無此物。長令二老視思明。</text>
<title>菊花</title>,<text>九月淸霜一夜來。東籬花色燦然開。抗寒奇節能如此。應笑龍山落帽盃。</text>
<title>玉薥黍</title>,<text>最先登熟禦窮時。却恨當年早不知。大備饔飧能悅口。滿盤梁肉未全奇。</text>
<title>訪鳳凰臺主人李慶曾</title>,<text>客到名區步步閒。左看綠水右靑山。書樓新闢蒼林下。一脉斯文在此間。</text>
<title>登山頂</title>,<text>進進客筇住斷岡。羣山非不盡低望。登東舊約今猶晩。其奈窺觀局一方。</text>
<title>登山城山</title>,<text>武陵不必在秦時。惟恨當年早未知。願買此間田數頃。朱陳村結共棲遲。</text>
<title>園後裁菊一區。因旱未茁。殆不成樣。而中有一朶獨也亭亭。甚是出類。余看而異之。至六月望日。粲然開花。大抵菊者得秋始華。而今發於中伏之前。未知何故。雖艶香可掬。而先時之發。其亦可疑。故因搆一絶以記其異云耳。</title>,<text>鹿門六月菊花開。欲謝東風費力栽。起問芸窓多少益。有誰能事最先嵬。</text>
<title>春鴈</title>,<text>去去來來底處尋。隨陽高翮向天陰。憑欄爲問江南事。風月徘徊萬古心。</text>
<title>新秋</title>,<text>雨後江天霽日明。蟬從何處報新聲。書窓坐惜年光晩。白髮欺人種種生。</text>
<title>蟻</title>,<text>漆樣小腰妙汝眞。傍山開國壘黃塵。雖然自有君臣義。愧殺人間失節人。</text>
<title>淸溪濯纓</title>,<text>書樓日晏倦成眠。爲向前溪薄採蓮。纓濯淸流塵垢盡。一身自此覺飄然。</text>
<title>臨江洗身</title>,<text>乘閒濯足趁吾人。路熟前郊不問津。江水如天流汗赤。欣然一滌滿身塵。</text>
<title>江上閒行</title>,<text>亭亭午日近蒼林。雨後前溪水稍深。起問當年言志者。咏歸方識浴沂心。</text>
<title>春江新晴</title>,<text>黑雲捲盡露靑天。積雨餘聲尙在川。生來自有江湖癖。一曲漁歌向少年。</text>
<title>春雪</title>,<text>春日殊常冷若秋。忽焉新雪擁書樓。雖然終是陽長日。沒入東江曲曲流。</text>
<title>嘆秋雨</title>,<text>如注雨聲曉夜連。前郊水色也滔天。中霄不覺衣冠坐。憫我生靈又失年。</text>
<title>秋夜讀書</title>,<text>月入書窓意味眞。西風淅瀝喚惺人。朗然一誦秋聲賦。窓外窮炎掃地新。</text>
<title>屬羣蒙讀書有吟</title>,<text>莫言古聖不同時。自有遺經覺後知。詳細看來因體驗。內而心術外容儀。</text>
<title>和洪建五</title>,<text>干戈消息日相尋。人走靑山萬疊深。海內當今如鼎沸。皇天忘却下民心。</text>
<title>題白孝子旌閭</title>,<text>先生德學邁千秋。不向人間有所求。聖上猶知林下隱。煌煌棹楔降西垂。</text>
<title>贈松隱齋</title>,<text>此地來來幾作賓。從容書話更相新。主人欲識眞源處。試向滄洲起問津。</text>
<title>贈延谷講儒</title>,<text>如山積雪近來稀。難得凌風翰一飛。咫尺仙庄千里若。却嫌心事坐相違。</text>
<title>同門中金雅士恒。最以賢哲聞。士之來講者。不問親疎遠近。皆以此雅爲依仗而信任焉。蓋心法之淵塞。言事之忠篤。卽其性也。不幸丙寅七月四日以病卒。時年三十三。朋友爲之加麻而臨其葬。文友亨汝拾其稿而楷書之。置于本齋。辛未四月二十五日昧爽。余依枕假眠。忽有士恒悽然作揖曰。我有遺稿。願子之改正也。余曰諾。因怱怱而別。豈士恒雖已不世。一段精英。尙戀戀於經齋。而所稿欲修而傳之。以表其有意於經傳之志歟。信覺殊常。因記于玉洞書塾。續以一絶。</title>,<text>宿草寒山幾度秋。故人前事夢中愁。片時枕上丁寧約。只托遺篇一校讎。</text>
<title>同淸南諸儒。登滄浪亭。</title>,<text>滄浪一帶向南飛。欲問眞源知者稀。抽筆品題山水譜。任看漁子亂江歸。</text>
<title>登高有懷</title>,<text>恠爾長庚夜夜流。兵塵消息又今秋。此去西安知不遠。誰將尺劒上軍樓。</text>
<title>西孔庵</title>,<text>並馬登臨客意閒。禪庵果在白雲間。欣然一臥蒲團上。却恨此身晩入山。</text>
<title>過南松</title>,<text>剩水殘山次第論。朝過馬峴暮螺村。回頭更望香山寺。萬疊層峰却昧痕。</text>
<title>蟬</title>,<text>爲物最微羽族中。淸音那得碎鍾同。千林自足橫行地。獨飽秋聲嘯晩風。</text>
<title>臨事有感</title>,<text>人皆知得別人非。每不能看自己非。若把是非還易地。一生萬事庶無非。</text>
<title>感懷</title>,<text>萬事悽然風樹後。遺靈不復感靈虛。誰知當日手捫髮。已向鏡中白雪如。</text>
<title>戲贈串江漁夫</title>,<text>一葉方舟千頃上。問何心事度虛春。笑言八百蒼姬業。起自渭濱一釣人。</text>
<title>送故人白舜甫至杜陵峰上。口占而贈之。</title>,<text>携友登山眼界空。新凉初入萬林東。離亭欲說無窮意。童子何言夕日紅。</text>
<title>戲贈金學士尙運</title>,<text>一張紅紙大欺人。幾作人間奔走人。自有淸閒君信否。黃篇且對古之人。</text>
<title>聞元子誕生。喜咏一律。甲戌</title>,<text>春迥甲觀日初遲。元嗣篤生國鞏基。萬姓謳歌騰小海。八方慶賀動金巵。幅圓將大三千域。瑞運益昌五百期。文繼武承來後業。天心所在可推知。</text>
<title>白忠剛公延謚韻</title>,<text>七義士中最有名。臨難許國一身輕。特節非徒當世赫。公論第待後人明。民皆仰見誰孤竹。帝恨不聞奈杲卿。侍臣擎出忠剛字。朝眼瞠然野瞻驚。</text>
<title>題博陵朴孝子旌閭</title>,<text>身後流芳便是生。煌煌棹楔卽何榮。果然誠孝能通化。有若殊恩永樹聲。百世留爲人子鑑。四方傳誦我公名。吾王近日求忠切。豈認其門不再㫌。</text>
<title>聞江都有警 丙寅</title>,<text>江都消息聞來惡。有血男兒慷慨秋。西醜敢生東顧意。小臣尤切北望憂。早知戎事如今日。須向兵家學九流。遙看靑烽驚海戍。平明仗劒下書樓。</text>
<title>丙寅邊撓時。蔡濬錫適訪。爲贈一律。</title>,<text>書社深深午漏長。蕭蕭匹馬澗之邊。朋情月滿五更夜。國事烽愁千里烟。愧我經綸無此日。許君忠義屬英年。看今宇內方多撓。何獨眞工在蠧篇。</text>
<title>甲戌除夕吟</title>,<text>山窓日夕對羣賢。歲色中分此一筵。殘臘俄從窮雪去。新春欲向小梅傳。藏修失業謀來後。孤露傷心感往前。喔喔村鷄催曉色。東風掃盡舊年烟。</text>
<title>丙子大饑。見流民擁寒呼飢。爲吟一律。</title>,<text>行橐蕭然淚眼迷。堪憐傍戶向人啼。飢顔饒得癯仙骨。塵袖羞過浣婦溪。去路猶長風北起。誰家可宿日西低。千年願借鄒賢手。更使發棠一救齊。</text>
<title>丙子冬。自雲齋事干營邑。時監司金尙鉉，邑宰李晩綏也。文雅龍元訴而受屈。金雅華億忿遷東道。一時紛紜。果不害爲一番士林厄會。其後文雅累以詩誦嘆前事。故畧此效嚬以謝其意云爾。</title>,<text>浿中往事忍言哉。筆話長長下一回。時宰十分威欲殺。殘朋四散劫無來。轍飛空折螳雙臂。火烈謾傾水一盃。人事是非君莫訴。蒼天不語但嵬嵬。</text>
<title>丁丑秋病臥。至冬始起。</title>,<text>一病九旬何太險。精魂如見十王來。庭垂杞菊今皆老。塵滿牙籤昨始開。步劫蹣跚先倚杖。顔嫌凋謝强行盃。晴窓默數經過事。减却眞元太半廻。</text>
<title>己卯多雨。自四月直至六月。稼穡卒痒。</title>,<text>四月淫霏六月飛。吾民生事漸成微。有時雲向長天黑。無慮船從陸地歸。穀腹難欺前日量。禾心奈失往年輝。可憐赤子飢寒日。孰與其糧孰與衣。</text>
<title>辛巳再留文谷</title>,<text>十月重來文谷院。當年講會已多時。松量大小添三節。菊計衰蔓剩一籬。蒙士如今佳士作。傍人喚我老人宜。晴窓再闢春風裏。無數靑山面面知。</text>
<title>丙申臘暮。奉敍松隱金國鉉。</title>,<text>當年壯志志斯文。共對窓陰每惜分。事業至今餘白髮。榮名自少視浮雲。世多異敎言猶恠。客有同心臭已芬。我馬驕橫何所至。昌平消息使人聞。</text>
<title>上元日。宿箕子墓守護所。戊子</title>,<text>信宿箕林落日橫。上元燈火畫昇平。一抔尙記靑山土。千堞猶存古國城。歲久無徵前聖事。澤流自感後人情。至今麥秀歌悲壯。白馬何年過故京。</text>
<title>二月十一日。發守護所。登成川降仙樓。</title>,<text>南遊一路復東遊。曉發箕林向沸流。遲日風輕吹白髮。長程泥滑怨蒼頭。看山抽筆皆詩債。夾道開門或酒樓。十二峰前雲雨夕。人將嘲我伴仙留。</text>
<title>三月旣望。就齋途中吟。</title>,<text>年來病脚如山重。緩步登程路幸平。茅屋鮮明新蓋覆。石田膏潤半牟耕。春寒花似遲遲發。雨歇鳥將處處鳴。看看書庵知不遠。夕陽且倚短筇行。</text>
<title>九月渡龍江。訪金粲仲書塾。</title>,<text>蕭蕭霜菊襲征衣。傍岸呼舟踏晩輝。捲壑長風從虎急。滿江宿霧待龍飛。一生多事男兒步。十日再尋隱者扉。對坐欣然因數語。山窓夕日又催歸。</text>
<title>九月訪南州諸友</title>,<text>客步輕輕踏翠微。三秋垂晩葉初飛。荒江潮落新收網。野店酒香欲典衣。俗病難醫名利急。儒風不振大言稀。半千里遠今番路。只把冷談費日歸。</text>
<title>九日會仁賢書院</title>,<text>西風淅瀝撼池臺。黃菊丹楓面面開。古院絃聲何寂寞。雙川水色自縈迥。城邊暇日新修契。客裏名辰又把杯。臨別莫言歸路晩。蒼光山上月方來。</text>
<title>雪</title>,<text>滿地居然堆白玉。已堪詩步踏瓊塵。暝窓生月因無夜。寒樹着花別有春。三尺深尋程叔子。一舟興訪戴山人。看來色色多淸景。安得胷襟若許新。</text>
<title>春日晩起</title>,<text>三春永日漸姸姸。牢閉山門任自便。酒到巡頻忘劇醉。夜因更短買甘眠。禽傳曉色喧簷外。鍾報新晴撼枕前。每好此時成大夢。擁衾起坐又頹然。</text>
<title>春日江村</title>,<text>野客尋春春已半。接天水濶碧如苔。緣江白雪輕初散。依壁蒼松老可材。詩待興深忘拙搆。酒因景會欲頻開。浴鳧飛鷺悠悠處。不妨遊人着眼來。</text>
<title>餞春</title>,<text>領畧春光坐翠微。傍人嘲我主人非。何山綠葉輕將發。滿地幽花尙不飛。莫打疎鍾催曉色。纔經數刻便新輝。流行四序君何惜。一理循環知者稀。</text>
<title>首夏。渡龍江踰馬嶺。</title>,<text>生來多事向嘉平。滿路長風客袖輕。麥秀荒田纔數寸。鳥啼遙峽或三聲。酒香不必無量飮。日永且宜緩步行。馬嶺蒼蒼龍水白。白鷗飛處午天晴。</text>
<title>端陽翌日。奉諸丈遊陽和寺。</title>,<text>尋眞一路路橫斜。罇酒相逢滿酌霞。呼朋欲住雲間月。愛佛誰添錦上花。百道泉飛龍走海。千年巖老虎爲家。此中果有幽閒趣。無恠胡僧秘不誇。</text>
<title>端陽後再會講</title>,<text>疊水重山某某城。東風吹送故人㫌。留心進進竿頭步。何事紛紛海內兵。別意遲如三歲隔。高談還入一朝淸。有誰能作非常業。道一成時萬事平。</text>
<title>秋雨嘆</title>,<text>民事凄凉已不堪。胡然雨色又秋嵐。稼禾將熟旋加雹。杼柚屢空更失蠶。滿地潦生蛙語亂。隔江風惡鷺愁含。簷鈴滴滴傷人意。念我三農夢未酣。</text>
<title>卜居</title>,<text>才拙不堪歷世難。遷幽謀得百年閒。數株桑綠蠶三箔。萬樹松靑鶴一山。父老對樽無限醉。兒孫趍彩若干斑。此中果有眞滋味。饒取人間樂土還。</text>
<title>採藥</title>,<text>神仙何在査難期。也有眞方世莫知。獨愛靑山長不老。生憎白髮忽如絲。人多衰病身軀重。鬼護靈根歲月遲。一歃延年終未信。喜將輕健似兒時。</text>
<title>詠懷</title>,<text>頻頻回首問光陰。只恐斯文轉陸沉。案上詩書方有事。世間榮辱肯留心。滿山埋蔗生涯足。敎子硏經滋味深。往往泉林奇絶處。時乘暇日好相尋。</text>
<title>偶吟</title>,<text>泉林深處坐如僧。萬事人間一未能。年光欲盡寒何事。身勢將閒老可憎。世態看來眞夢境。古書閱去是良朋。笑對芳樽因大飮。會心霽月伴簷升。</text>
<title>儒者吟</title>,<text>觀於儒者孰爲儒。儒者不宜汗漫呼。志節要看霜裏竹。襟懷較若月邊梧。饒令文藝能依馬。第飽經綸又似蛛。更將窮達安心過。方是人間大丈夫。</text>
<title>酒</title>,<text>一樽美酒十分香。高會賓朋面面嘗。聖有明言休及亂。人無泥醉不爲狂。當初盃勺眞佳會。畢竟風波大鬨堂。借曰諸君多義氣。恠憑酒力始揚揚。</text>
<title>初月</title>,<text>如弓其細如鉤曲。斜倚傾輪苦未安。欲使圓光流海內。爭拕微暈接天端。寧隨白日同窺彩。肯雜羣星共鬬寒。第待關山羌笛歇。須看古魄十分團。</text>
<title>月夜會江壇</title>,<text>一會有緣又有時。江亭修契故遲遲。小溪水淺魚歸壑。綠樹春長鳥在枝。聖遠斯文憂不振。山深世事貴無知。今霄月色明於昔。樂與親朋面面期。</text>
<title>散步江壇</title>,<text>鹿門江水碧如天。從我二三盡少年。詩令方催樽有酒。仙風纔動洞收烟。松耶那得千尋直。鷺欲相忘一夢還。俯仰斯間成痼癖。炎凉世事摠悠然。</text>
<title>置酒江壇。高會南北多士。</title>,<text>堂前咫尺水縈回。松下明沙沙上臺。鷗鷺盟深無約會。金蘭契密有香來。吟奇絶唱招詩伯。醉愛眞情强酒盃。一席淸遊猶未足。更招修月向東開。</text>
<title>閒中敍懷</title>,<text>東風夜撼西樓月。喚起浮生無限心。滿池喧聒蛙何樂。薄海飛騰鴈有心。微宦浪稱朝士號。窮經不負丈夫心。醉來不覺眞情發。信筆題詩瀉寸心。</text>
<title>花園</title>,<text>花園新築有香來。勝似當年萬壑哀。燥濕異宜先揀土。靑紅殊質各分臺。種蘭剩取三春馥。栽菊留供九日杯。盡日摩挲猶未足。欲將詩繪奈無才。</text>
<title>劒潭閒適</title>,<text>詩成最好倩人書。歷歷風烟指點餘。何意長眠江上鷺。果然自得雨中魚。川合羣涔成大勢。樹生密葉補前疎。乘時尋景能如約。幸傍名區結小廬。</text>
<title>鹿郊五詠</title>,<text>臨水絶壁淸流絶壁兩相依。僻在孤村世莫知。棲鶻危巢峰斷處。津夫漁火夜深時。誰家人像䕺祠畫。野店酒香醉漢思。客到無心招隱者。滿山叢桂摠生枝。亭樹交翠一草堂前兩樹依。盤桓眞樂主人知。斷峰遙接風千里。綠葉長留春四時。琴欲成聲忘世味。客來無語動詩思。蒼林亦有生生意。廣借羣禽養子枝。西疇農談散步西疇短杖依。量田灌漑老農知。地如甬掘分渠日。水似盤平下種時。向我休言三夏苦。爲君每切九秋思。也當八月仙風起。醉算觥籌交錯枝。江樓聽講十載斯間樂所依。金公遺跡使人知。靑山綠水縈廻處。雜樹名花晻映時。弄月吟風從逸興。論詩講禮托幽思。我侯方有絃歌化。安得文林再拂枝。鼈巖觀魚蒼波老石錯相依。魚在其間任自知。大者應經平水日。小猶不遠化鵬時。戢鱗尙有呑舟氣。縱尾何妨入海思。愛汝深深安所止。呼兒愼伐蔭江枝。</text>
<title>浿江泛舟</title>,<text>大同江上上扁舟。看盡淸流復玉流。忽地聞鍾知有寺。隨山開酒摠名樓。遠峀粧成如畫界。輕風喚起未來秋。今日乘閒誰所賜。平生誇我一番遊。</text>
<title>天陽道中</title>,<text>塊坐林間又一春。親朋招我話心眞。年光將盡三冬雪。客步初輕十里塵。隨處江山皆有約。誰家子弟摠相新。洞天明月如前白。知否三陽舊禊人。</text>
