<title>吟雙檜洞鄭生幽居</title>,<text>茅屋隔山幽。淸溪抱岸流。閉門無客到。正合暮年休。</text>
<title>蕩春臺八景</title>,<text>春臺孤松山翠陰相合。孤松特地靑。堅貞君子節。風起德音聆。瀑巖鳴泉飛泉灑洞天。煙翠滿山室。忽聽空中音。幽人弄瑤瑟。旺洞茂林樹盖團成影。草茵綠如剪。盈盈車馬客。時到飮春餞。香峯晴嵐朝霞弄瑞色。閃鑠引輕紗。回光照峯頂。駕我靑鸞車。獐峴歸僧地僻無人行。山僧帶月去。孤筇鳴石根。寺在雲深處。雲寺暮鍾何處白雲裏。鍾鳴古寺幽。搖搖餘響遠。隱隱北山秋。曲城殘照日落海門遠。光搖白岳山。醉來枕石臥。時有淸風還。北壇霽月山壇千尺高。林月一輪暎。皛皛照霜髮。幽人夜看鏡。</text>
<title>鍊戎臺 幷小序</title>,<text>甲戌秋。蕩春改號鍊戎臺事實。以御筆書揭揔廳。而又命小公洞洪尙書亦書于春臺巖上。蓋有金湯深遠之聖筭矣。蕩春化改鍊戎臺。虎踞龍盤特地開。天筆慇懃倚仗重。金湯都付摠營來。</text>
<title>春日卽事</title>,<text>林下荊扉午不開。鶯啼燕語夢初回。朱簾捲却欄頭立。時有風花撲面來。</text>
<title>客中聞蟬</title>,<text>午眠初罷倚高樓。簷外蟬聲報早秋。遙想故園人不到。嶺雲江樹共含愁。</text>
<title>卽事</title>,<text>柳橋南畔晝扃關。憂國還嗟未入山。倦鳥孤雲相對看。詩壇白日有餘閒。</text>
<title>自述</title>,<text>少年志大學經綸。誤把荷衣染世塵。晩識人間廣居好。竿頭百尺可安身。</text>
<title>九日漫吟</title>,<text>門巷寥寥事事靜。忘機頓覺我心安。故山此日還佳節。黃菊淸罇醉意闌。</text>
<title>渡漢江○癸丑十月。陪實錄奉安使金尙書之嶺南太白山史庫。渡江口占。</title>,<text>江天寂歷北風寒。此日南行道路難。一曲驪歌搖櫓去。明波十里客懷寬。</text>
<title>柯興郵軒</title>,<text>古館軒楹壓水汀。南來孤客倚虛櫺。佳人笑把金杯勸。說道江風醉易醒。</text>
<title>咏花字。贈妓英花。</title>,<text>凝露妝霞一朶花。芳名傾國是英花。此身倘化尋香蝶。好向春風更賞花。</text>
<title>踰鳥嶺有感</title>,<text>惟天設險自崔嵬。疊嶂層巒一路開。昔日不遮還縱賊。昇平何事築城來。</text>
<title>覺華寺</title>,<text>招提勝景浩難收。疊石重峯一逕幽。淸淨靈源何處是。飛泉百道滌塵愁。</text>
<title>冬至</title>,<text>柴門終日斷來人。白雪蕭蕭厚作茵。倘得小齋淸意味。寒梅欲發向陽春。其二萬象竆陰回一陽。天根轉處日初長。臘前春意梅先綻。歲暮人情自感傷。</text>
<title>晩春感興</title>,<text>九十春光奈老何。滿山風雨落花多。人生如許須臾變。更把深杯一放歌。</text>
<title>寄示士安○余到士安家。對人圍碁。故無聊旋還。口占戲示。</title>,<text>歲月長消一局碁。商山故事憑君知。潛心不識客還去。唯喜戰餘得四陲。</text>
<title>春日直中。與汝厚賢老小酌。李士深春馨甫適來訪。抽蕉窓韻共賦。</title>,<text>詞客詩朋得得來。論心今日可銜杯。縈溪弱柳隨風健。夾岸濃花帶雨開。</text>
<title>駿馬吟</title>,<text>千金何日遇涓人。花柳章臺度幾春。若見人間慷慨士。北風嘶去踏腥塵。</text>
<title>直中述懷</title>,<text>病不離身身不平。蠶湖來往又春營。可憐形役終難免。鷗鷺初盟媿此生。</text>
<title>直中睡起。次僚員韻寫懷。</title>,<text>老去傷心獨醉眠。浮名猶患後人傳。生涯局束還多感。萬事從今不怨天。</text>
<title>直廬</title>,<text>酒醒初罷小窻眠。燕語鶯歌白日邊。捲箔孤吟兀然坐。山花亂落午風天。其二遶庭松竹釀烟雲。瀟灑閒情絶世氛。岸幘夕陽淸嘯立。數聲山鳥隔林聞。</text>
<title>閑居漫興</title>,<text>蒼巖洞裏掩柴門。牧笛遙聞細雨村。雲嶽近瞻供隱几。北窓閒日醉昬昬。</text>
<title>病起客至。次兒輩韻同述。</title>,<text>十步方塘四面臺。手栽花竹鏡中開。庭畔別成林壑趣。更敎來客坐忘廻。其二逢君詩意自然生。病起良辰體氣淸。可惜流光元不貸。共將幽賞罄歡情。</text>
<title>奉呈伯氏</title>,<text>採有藥田釣有川。閑中日月醉中眠。紛紜宦海無眞態。笑殺浮名莫浪傳。</text>
<title>春營脫直時。逢北山僧。</title>,<text>無定往來宦味闌。生涯今日愧漫漫。此間喜着雲中衲。添得公餘分外閒。</text>
<title>直中書懷</title>,<text>廿載宦情已白頭。浮生天地更堪愁。如今寸祿妻孥計。奔走公餘不蹔休。</text>
<title>出郭</title>,<text>出郭閒行有杖屨。北山宿霧未晴雨。幽禽亦解詩人心。隔樹啼迎勸咏句。</text>
<title>亡兒生日</title>,<text>去歲此辰撫爾弄。今年今日杳無形。中腸痛結何時已。垂淚每看跡在庭。</text>
<title>午睡</title>,<text>暮年筋力怯風寒。高枕南窓養性安。松籟鳥聲呼夢覺。多情山日下檐端。</text>
<title>白鬚唫</title>,<text>世間白髮惟公道。貴賤榮枯可奈何。三萬六千能幾許。且當高臥事酣歌。</text>
<title>戒子責己 幷小序</title>,<text>生子不敏。父亦不敏。生子無識。父亦無識。生子不敎。父亦不敎。生子衆衆。父亦懼懼。不敏無識摠不敎。父子到處必咆哮。一生氣質秉心篤。莫作世間白眼交。</text>
<title>鍊戎臺初夏。病愈後作。</title>,<text>扶藜緩步出西城。四面靑山笑似迎。松籟水聲喧洞壑。胷襟灑落滌塵情。</text>
<title>移盆</title>,<text>窓前小築數層臺。月桂金錢次第開。臥病三春花不見。移盆花色勝春廻。</text>
<title>種竹</title>,<text>檐外新成脩竹陰。弱梢勁節壓羣林。此君瘦色同吾瘦。病裏聊將日復吟。</text>
<title>怪石</title>,<text>何年斫取海金剛。突兀層巒積翠光。老去看山病未果。儼然長對踏靑忘。</text>
<title>閑中漫吟</title>,<text>垣屋不治師古儉。幽栖安分身俱安。平生雖謂一身小。天地中間若泰山。</text>
<title>偶吟</title>,<text>聞達不求身後計。深盟久負水中鷗。世間未逐功名路。物外長思放浪遊。</text>
<title>秋事</title>,<text>晩雨西風裏。蕭然木葉黃。天連秋水遠。雲入暮山蒼。閉戶神偏旺。開樽菊自香。俗塵都不染。高臥夢羲皇。</text>
<title>幽居書懷</title>,<text>晩學述多歧。空憐未遇師。世無知己友。案有寫懷詩。地僻溪山近。人閒歲月遲。平居得安分。聊此百年期。</text>
<title>過漱玉亭</title>,<text>煙霞名勝地。風景浩難收。山聳千尋碧。亭通一逕幽。詩篇供逸興。王事辦淸遊。獨傍寒溪立。悠然滌我愁。</text>
<title>靑巖亭</title>,<text>跋涉仍王事。登臨復客情。日斜遠峀盡。野帶暮煙平。酌酒詶佳境。題詩寄一生。高歌憑檻久。風景入雙淸。</text>
<title>太白山○此山下有史庫。實錄奉安處也。</title>,<text>太白山高大。登臨平海巒。霜楓靑嶂裏。淸磬白雲間。夢斷塵中累。身隨嶺外閑。幸今王事竣。遊子正催還。</text>
<title>賦得萬里一孤舟</title>,<text>天涯分手處。啼鳥亦添愁。灑淚秋山下。懸帆碧水頭。蒼茫雲樹迥。慘淡暮江流。黯黯孤臣恨。腸斷萬里舟。</text>
<title>見櫻桃花。擬思閨情。</title>,<text>寂寞深閨裏。紗窻五見花。鶯歌驚妾夢。鴈信斷天涯。衣帶添新恨。容顔減舊華。閉門人語少。西日半簾斜。</text>
<title>題岳王廟○載風謠續選</title>,<text>荒臺駐馬客。悵望暮煙斜。古廟丹靑落。殘碑歲月多。孤忠星日炳。高節水雲遐。往事憑誰問。惟聞樵子歌。</text>
<title>謹呈金生員北山寺做案</title>,<text>已厭寰中累。閒隨物外遊。道心眞界穩。淸趣碧山幽。雪夜雲光冷。寒潭月色浮。靑衫猶未拂。自覺世情羞。</text>
<title>詠陶靖節</title>,<text>肯遣長腰折。還拋五斗歸。田園曾有意。榮辱本無機。淸趣同雲鳥。閒身少是非。葛巾時漉酒。靖節古來稀。</text>
<title>贈別朴爾舜 弘禧 之沁都</title>,<text>朱門分手恨。今送木蘭舟。寂寂秋山色。悠悠海水流。功名看穴螘。蹤跡逐沙鷗。西笑向何日。芳罇靑入眸。</text>
<title>秋日得侵字。述懷示雲瑞，士安。</title>,<text>落木蕭蕭雨。寒聲四壁侵。丹楓霜後老。白髮鏡中深。對菊傾新釀。聽松撫古琴。憶君珍重意。永托百年心。</text>
<title>再疊</title>,<text>節序今將晩。寒威滿室侵。詩從歲月費。興引酒杯深。撫樂兩三子。排愁數尺琴。悠悠浮世事。聊得古人心。</text>
<title>送雲瑞之關西</title>,<text>馹騎明朝發。悠悠傷我心。南州頻作別。西谷又聯襟。歲暮山河遠。天寒雨雪深。臨分贈一語。珍重保千金。</text>
<title>重陽。與梁賢老 道煕 會飮。</title>,<text>自愛楓林晩。坐看木覓秋。一窻醒晝睡。九日作淸遊。得句閑拈筆。傾盃易滌愁。還將元亮興。吾輩任風流。</text>
<title>感懷。直中與僚員共賦。</title>,<text>薄宦無休日。蹉跎記往年。不才猶忝祿。竆命敢尤天。多病拋書卷。消憂合醉眠。羣僚同此會。閒趣轉蕭然。其二相知皆白首。擊劒歎流年。覓句消長日。畊田樂彼天。風烟留共賞。碁酒對閒眠。欲盡花經眼。春思正惘然。</text>
<title>蕩春營夜酌</title>,<text>山遶春營靜。溪臨劒閣淸。松壇霽月出。烟寺暮鍾鳴。勝會三人醉。新詩四韻成。夜深風打竹。時看宿禽驚。</text>
<title>淸風溪</title>,<text>地僻塵囂絶。淸風自古今。逍遙吾輩趣。寥落昔賢心。洞邃孤烟溼。亭空細草深。夕陽無限興。輸盡一篇吟。</text>
<title>謹呈具尙書回甲讌席</title>,<text>南極明星在。光輝弧夕連。三壬方祝壽。六癸俄回年。國賴謨猷壯。天敎福履全。曾玄皆綵舞。賀事重華筵。</text>
<title>憫旱親禱</title>,<text>親禱三壇日。居然季夏時。凄風迎旱魃。杲旭送䨓師。㵎涸微如帶。田乾坼似龜。金宮宵旰久。應有上天知。</text>
<title>小雨</title>,<text>久旱蒼生慍。今朝雨脚齊。池荷傾瀉玉。巢燕落銜泥。林濕堂仍靜。風淸醉不迷。前村舂野麥。明日饁南畦。</text>
<title>笑人拗論</title>,<text>路分迂直界。棊有高低枰。長短看交態。是非驗俗情。名流多拗論。末路歎浮生。養嬾仍緘舌。何妨任獨醒。</text>
<title>病中述懷</title>,<text>抱病甘長蟄。鬢毛半已秋。人情多薄俗。宦海少安流。對酒難成醉。題詩未遣愁。林泉何處好。歸意政悠悠。</text>
<title>寒食。病臥記感。</title>,<text>佳辰猶伏枕。終日感懷來。蕩漾花心醉。舒遲柳眼開。九原灑血淚。孤露闕香杯。無語夕陽立。林禽啼不廻。</text>
<title>餞春</title>,<text>病起芳菲歇。蹉跎節序分。洞深無轍跡。林靜可鶯聞。卜宅堪容膝。撫琴秖對雲。獨將山野趣。自酌餞東君。</text>
<title>奉呈伯氏幽居○伯氏晩築幽居于弼雲臺西峯之下。一日開小酌。聯牀談詠。余吟五律十首奉呈。</title>,<text>卜居習靜處。閉戶竹脩脩。地僻羣囂絶。身閑萬事幽。雨晴山一洗。溪漲水爭流。故舊隨年減。有誰入洞遊。其二西壑松篁裏。新開蒔藥田。碁樽小榻上。花石一堂前。風致全淸福。優閒且暮年。如何憂世事。歸臥洞中天。其三荊樹團圓處。聯牀笑語遲。功名何事業。榮辱少人知。宿霧收千嶂。長天照一池。吾兄投紱早。丘壑可伸眉。其四垂老身還健。看山眼更明。遙汀飛宿鷺。高柳語遲鶯。天地吾何拙。江湖夢亦淸。炎凉渾俗事。詩酒且歡情。其五莫嫌貧且病。高興此園林。撫弄兒孫長。團歡小弟心。徒將黃卷廢。但得玉壺斟。迭唱塤篪曲。酣歌成一吟。其六孔孟猶竆甚。升沈我欲諼。不才忝世祿。輕宦重君恩。兀坐杯兼咏。攲眠午到昬。相看嗟曰首。無復意騰鶱。其七閉門消永日。瀟灑一閒身。白髮誰相對。靑山與作隣。但聞鳥求友。還覺洞無人。暮境從憂樂。蕭然獨守貧。其八結屋西峯下。兄能謝世間。北連弼雲岸。南近社壇山。花竹聊相伴。榮枯摠不關。田園成小築。晩計獨長閒。其九高臥眞仙骨。隱居老更佳。雨庭鳴一鸖。風檻拂雙槐。城市嫌多事。山園寄遠懷。向來身且逸。是處足生涯。其十靜地怡神思。頹然一病翁。䒣䒣紅日曖。寂寂翠岑空。溽暑天風爽。晴窻午睡濃。竆年眞趣足。身在畫圖中。</text>
<title>病寓還第</title>,<text>歸病吾廬日。居然體氣淸。病蘇殘暑退。詩健晩晴生。檐外山唯在。樽前月復明。向來機已息。閉戶舌爲耕。</text>
<title>直夜寫懷。求和汝心。</title>,<text>白髮感年邁。靑燈坐不眠。百蟲唫戶外。孤鴈度天邊。病肺當秋咳。詩心對月圓。老懷同野鸖。無復氣騰然。</text>
<title>感秋</title>,<text>忽憶離騷客。秋來多苦吟。病蘇賴四子。雲脫對羣岑。節與黃花早。愁將白髮深。江湖違宿計。還羨季鷹心。</text>
<title>無眠</title>,<text>靑燈唯竟夜。白髮悄無眠。露菊明秋岸。星河耿曉天。家貧妨養病。歲暮可歸田。志士元多感。居然節序遷。</text>
<title>亡兒初朞述懷</title>,<text>觸物銜哀切。經年冀或忘。抽思轉五內。至痛結中腸。衰病不擧酒。寒花空自香。嗟汝今已矣。令我日何傷。</text>
<title>金汝厚 世寬 落職。口占寄示。</title>,<text>功名隨薄俗。廿載共艱難。朝夕同奔走。悲歡一肺肝。升沉元有分。離合豈無端。老境宜休退。江山拄笏看。</text>
<title>直夜。與春彥舒懷。得新字。</title>,<text>小燭寒窓下。聯襟覺語新。神交如水淡。宦味劇椒辛。歲色纔經臘。梅香故近人。莫言詩思苦。酬唱更相親。</text>
<title>雨中。與諸僚出往雙溪洞月課亭。</title>,<text>步入雙溪洞。煩襟一爽然。淸歌非俗客。白髮卽騷仙。籟肅千峯檜。風喧萬壑泉。勝遊今未了。更約月高懸。其二招呼竹林七。出郭興悠然。老石頑如我。長松儼若仙。三山行採藥。雙洞坐看泉。積雨聊無歇。淹留待月懸。其三身似樊籠鳥。出城方脫然。琴聲驚睡鶴。歌曲動詩仙。洞邃雲生石。林冥水湧泉。吟來無傑句。興在月初懸。</text>
<title>入景福宮</title>,<text>芳草高低逕。層臺寂寞宮。感懷兵火後。樹色上林中。沼帶新泉漲。荷留舊頰紅。不須談往事。景物歎詩翁。</text>
<title>先山修葺書感懷</title>,<text>世世墳塋萃一岡。東風寒食宿蕪荒。先人往蹟碑三尺。祖考前銜石四床。年代漸疎埋紙主。歲時追慕爇檀香。傳家厚蔭兒孫衆。何幸佳城老白楊。</text>
<title>述誡子姪詩 幷序</title>,<text>己巳春。兒子忠良預掖庭選。秋從子德良預焉。翌年秋。國良又預焉。皆受天點也。兩年之內。一門三子。次第膺選。歡忭之餘。還切滿盈之懼。占得三律。以示飭勉之意。忠也國也德也。亦各顧名而思義。常以願忠之誠報國之心酬德之意。日勉焉孜孜。則庶幾不負斯訓。須以此詩。造次必是。念玆在玆。無如伯魯之簡。是余之望也。微門寵祿一何新。雨露恩霑侍紫宸。須讀詩書敦本業。更將忠孝篤彝倫。耽嬉取友終招損。挾氣驕人反受嗔。萬事從謙能裕福。弟兄相率勉修身。右屬忠良聯翩楓掖帶新榮。佇見稱譽爾弟兄。喜溢門衰還得祿。懼深秊少驟居盈。先親積善應餘慶。聖代優恩倍感情。必欲純誠思報國。願從斯訓顧明名。右屬國良吾門福履問何如。三子同時近玉除。世胄新承先蔭慶。家聲能繼我兄譽。紫衣禁闥榮無比。華髮萱闈樂有餘。可勉平生酬盛德。良規今向爾曹攄。右屬德良附述誡詩和韻嚴道卿 漢朋 號晩香齋。洪聖擧 禹澤，金仲有 時彬 號易庵。田春彥 萬種 號奇巖。徐敬之 泰欽，崔聖涵 泰容，崔大叔 尙楫，張聖範 秀漢，金文孟 聖珪 號安谷。裵子安 廷柱，崔聖遇 麟祥，金汝心 得恒 凡十二人。次[道卿]令胤偏承雨露新。妙年榮達侍楓宸。豪奢太甚還招禍。忠孝如虧卽悖倫。我自秉心惟以敬。人雖唾面莫相嗔。今因致賀無陳戒。須把斯言日省身。次[聖擧]一篇詩語戒兒新。字字誠忠入紫宸。簡子竹書深有意。伏波餘訓此堪倫。言行有道終無悔。詩禮存心可免嗔。佇看君門恩渥重。勉修儉德益諸身。次[仲有]玉樹芳華歲歲新。爭聞恩渥下楓宸。如今福祿由餘慶。自古聲名在備倫操。行己知超俗套戒。辭能得遠他嗔求。詩可見慇懃意舊。誼推來有此身。次[春彥]垂訓詞章趣味新。感君誠意向楓宸。致知必也先勤學。居敬宜乎始正倫。衆理會來惟自省。己私偏處任羣嗔。縱然氣質殊淸濁。修爲分明在一身。其二人家有子足稱榮。况復承恩三弟兄。守拙莫嫌身佝佝。養眞方得氣盈盈。自欺可畏見肝肺。獨愼何難復性情。末路孰能存法誡。伏波千載共符名。次[敬之]積慶高門景福新。一家三子侍重宸。行先孝友承遺訓。心篤忠貞秉大倫。驕妄終知招世禍。溫恭曾不受人嗔。如非美質能超俗。安得靑年並立身。次[聖涵]毓德由來福祿新。聯翩恩數下楓宸。君家三胤皆英俊。斯世何人可比倫。蚤識詩書能襲訓。素持謙約豈逢嗔。誠深侍衛兼甘毳。忠國榮親備一身。次[太叔]多君慶福日昌新。獲覩兒曹侍紫宸。換帽將來非薄祿。賡詩以後著彝倫。至人處世魚相忘。蕩子看花鳥亦嗔。白髮如今何所贈。一言惟在敬吾身。次[聖範]君家玉樹正芳新。况復靑春陪紫宸。莊御七情閑佚慾。服膺五敎炳天倫。澄潭靜處方無累。霽月淸時可遠嗔。弊縕飯蔬自有樂。一生忠孝儘榮身。次[文孟]天酬遺德異恩新。戚眷旄倪感戴宸。五桂竇家稱大慶。三春君宅不凡倫。訓銘切琢人將慕。業繼忠純孰敢嗔。福祿方知歸作善。百年今日永安身。次[子安]自警自修宜自新。微蹤况復侍楓宸。一門慶福無如此。三子寵榮邁等倫。謙謹常從君子誡。荒嬉莫受父兄嗔。堂堂事業惟忠孝。忠孝勉來可立身。次[聖遇]多賀善門福祿新。聳觀恩點降嚴宸。寵光一代堪誇曜。近侍三兒孰比倫。餘暇飭令勤學業。驕奢恐或取人嗔。錫名又是平生戒。明德盡忠報國身。次[汝心]三從兄弟主恩新。萬歲千秋祝紫宸。白髮重闈綿厚福。丹誠尊府勉常倫。紆榮莫喜時人羨。持滿當憂造物嗔。報國由來無貴賤。倘遭艱險且忘身。</text>
<title>贈金郞壽完 幷序</title>,<text>猗我罕言。汝得除右職。於汝家能趾美。凡知舊莫不欣忭。况老舅之心。然而古聖云位不期驕。祿不期侈。位與祿驕侈之媒。可不愼旃。聞此報喜不寐。而旋切兢惕之心。無乃至情攸發。玆吟短律。庸賀且戒。唯我罕言。居寵思危。不畏入畏。雨露洪恩分外深。髫齡榮達耀纓簪。儉風須襲陳家譽。豐祿應兼石奮心。行己唯恭無白眼。將身報國有丹忱。尋常賀語非忠告。愛汝衷情付一箴。</text>
<title>病起卽事</title>,<text>幽軒悄坐病初瘳。一榻羣書散不收。烟落疎簾留霽月。霜輕新菊殿殘秋。松陰滿地疑陶令。山色當檐憶謝侯。自笑靑衫猶未拂。舊盟空負海中鷗。</text>
<title>閒居漫興</title>,<text>末路浮榮本不期。晩年形役更何爲。閒中吾自斟新釀。靜裏兒能誦古詩。老樹鳩鳴春雨際。疎簾燕語午風時。蕭然醉倒北窻下。誰識蒼翁放浪姿。</text>
<title>宿聞慶客舍</title>,<text>牕外寒聲送鴈行。客中愁思正茫茫。霜林月隱烟光溼。虛舘風多燭影煌。嶺樹遠遮千里眼。江波深似九回腸。乘醺欲做還家夢。喚起眠鬟更進觴。</text>
<title>春日登南山</title>,<text>登臨怳若坐三淸。兩闕連雲九陌平。萬縷垂楊爭裊娜。千門花樹自分明。忘機倦鳥猶眞趣。出峀浮雲遠世情。遊衍何妨山日暮。芳原到處可聽鶯。</text>
<title>江亭卽事</title>,<text>高亭長夏獨淹留。醉拍金樽戀舊遊。樵子放牛靑草岸。漁翁擧網白鷗洲。夕煙欲作孤村裏。風力先驅遠峀頭。倦鳥知還山日暮。客情詩思共悠悠。</text>
<title>黃僉知輓</title>,<text>人間萬事儘堪嗟。七十年光一夢過。白首孀閨孤影在。靑春玉樹九枝華。歸魂寂寞松楸月。征翣凄凉薤露歌。執紼幽明從此遠。悲風落日淚橫斜。</text>
<title>春日小酌</title>,<text>昨日長安小雨晴。漸看春事滿東城。風光淡蕩楊花落。和氣氛氳草樹生。碁局正觀浮世態。酒尊好對故人情。吾儕放浪眞天餉。何恨紅塵不取名。</text>
<title>俯城齋卽事</title>,<text>柴門前面柳條斜。木覓山光靑滿家。洞邃却欣人事少。竆居還覺市朝遐。春來竹葉醅新釀。雪後梅花返古楂。可笑功名同畫餠。紅塵軒駟莫須誇。</text>
<title>閒居雜詠</title>,<text>垂帷獨臥只耽閒。得失榮枯摠不關。宿約江湖欺白鳥。悲歌天地改朱顔。幽禽入室多新語。積翠生簾見舊山。盡日小齋無一事。時看雙鶴舞林間。</text>
<title>訪方士安 大鎭 幽居</title>,<text>偶因秋興叩閒廬。靑眼慇懃意不疎。牕下數藂陶令菊。牀頭七卷子輿書。愛君詩律天機靜。媿我江湖舊約虛。竆道結交眞樂事。一尊談笑兩心攄。</text>
<title>述懷示雲瑞</title>,<text>城市幽居結草廬。閉門終日故人疎。消憂自酌罇中酒。遣興時翻案上書。階竹風生凉意動。庭梧葉落雨聲虛。隔年詩債今猶在。佳句緣愁懶更攄。</text>
<title>謹呈李生員靜軒</title>,<text>市南岑寂晝扃關。隱几蕭然對碧山。心跡自超榮辱外。姓名不到是非間。楓林露重三秋晩。溪壑泉鳴四壁寒。他日欲尋分華約。松風竹月共君閒。</text>
<title>夜坐懷士安</title>,<text>一曲池臺屋數椽。凉生叢竹已蕭然。蒹葭秋遠汀洲夕。星斗夜深鴻鴈天。西谷故人正相憶。東林初月漸回圓。遙知玄度梧窓下。燭盡杯空不肯眠。</text>
<title>次柳下韻。與李聖伯 潤昌 小飮。</title>,<text>看君神骨一層高。守道平生意氣豪。壯志未成匣裏劒。流光虛老鬢邊毛。逢塲且喜傾肝肺。共醉何嫌倒酒醪。漸覺金蘭交誼重。相從日日却忘勞。</text>
<title>江亭早春</title>,<text>風和日暖柳眉橫。山鳥嚶嚶野客迎。愧我江湖朝市近。誰家樓閣晩雲晴。往來帆影當簷落。日夜灘聲入戶鳴。典却春衣沽酒飮。一年佳節近淸明。</text>
<title>閑中述懷。示雲瑞。</title>,<text>男兒竆達自相關。肆志貧寒足解顔。情斷俗緣忘處世。家無塵事似居山。心栖黃卷唐虞上。誼托千秋管鮑間。細筭浮生如過客。有時詶唱任閒閒。</text>
<title>詠鴈</title>,<text>雨後君山帶瘦容。賓鴻飛度洞庭風。寒聲幾落長門裏。一札曾傳上苑中。衡浦驚霜秋色暮。蒼梧叫月楚天空。去來南北隨凉暖。憐爾羈孤遠客同。</text>
<title>霽月</title>,<text>對月開樽興有餘。騷壇况是客來初。停杯欲問流光瀉。斗轉還看夜色虛。閒鸖刷毛松檻靜。宿禽驚夢竹林疎。煩心忽得淸凉味。世慮消來坐讀書。</text>
<title>閒中書懷</title>,<text>傍枕晴窓看戲兒。箇中幽致少人知。自憐生晩唐虞世。每欲身居孔孟時。琴有古音歌白雪。酒開新釀倒金巵。如今薄俗猜名甚。退臥江山是所期。</text>
<title>寒松</title>,<text>屋後小溪溪上峯。淸風偏在水邊松。曾聞商嶺同栖隱。何事秦家却受封。傲雪疎枝千古節。蔽雲蒼葉四時容。微吟緩步登臨處。撫汝盤桓久駐筇。</text>
<title>感秋直廬。與金汝徽 鑑 共吟。</title>,<text>悲秋遠客咏凉天。時序蹉跎倍黯然。落木寒聲千嶂下。騷人淸趣一樽前。霜餘黃菊懷佳節。老去紅顔憶少年。懶倚晴牕仍送目。閒雲倦鳥夕陽邊。</text>
<title>彈琴</title>,<text>手把泠泠一素琴。陽春從古少知音。閒中獨嘯迎山月。睡後時彈坐竹林。盡日橫床心自靜。淸宵抱膝興仍深。堪嗟古調從誰學。先覺師襄聖亦尋。</text>
<title>秋鷹</title>,<text>一點飄然萬丈升。看來方識白毛鷹。金眸閃閃驚山兔。劒翮飜飜傲海鵬。風急碧霄誇迅捷。草枯平野任飛騰。附颺亦是英雄物。媿逐韓盧作友朋。</text>
