<title>夏日訪愚山</title>,<text>盡日尋幽處。緣溪逕轉斜。暗香時撲面。風動野棠花。</text>
<title>輓順庵安公 鼎福</title>,<text>儒宗廣成子。邦國達三尊。博學無餘物。眞知不二門。陶匀關世運。優逸荷君恩。漢水分箕斗。文明此地存。冰壺貯秋月。遠有淵源尊。星老曾抽鍵。邵翁共得門。編分千古事。圖揭一家恩。縱有天資美。那無學力存。世道日澆薄。不識師儒尊。於是倡西學。居然榛聖門。深憂豈好辯。羣怨競忘恩。此禍甚洪水。先生功始存。兒時隨長老。耳熟順庵尊。頹墮馴流俗。衰遲媿及門。十年承厚誼。千里負深恩。尙有輸情地。編摩一事存。</text>
<title>輓趙承旨 錫龍</title>,<text>驅馬斜陽過洞門。甲山寥落勝溪奔。科聲一世三聯璧。位望同堂兩納言。周社春秋尊齒德。柳家晨夕謹凉暄。明時未效剸繁手。餘恨堪將滯淹論。</text>
<title>輓孫菊村 昌顯</title>,<text>澹如止水絶纖塵。晳面蒼眉露性眞。慣從前輩聞稱道。盡許天資近道人。少時詞藝擅科塲。華國承家屬望長。一臥漳濱成濩落。晩來康濟付籬黃。人世推遷劇海桑。兒喪未闋又翁喪。由來殃慶多乖舛。題罷哀詞欲問蒼。</text>
<title>仙遊洞雜詠 幷序○癸丑</title>,<text>仙遊洞。在聞喜西五十里屯德山下。山之東曰曦陽山。西曰淸華山。曦陽。石峯揷天。淸華。巖巒奇秀。兩山之間。壑谷深邃。異境羅絡。或以雄偉壯麗勝。或以奇詭幽峭勝。甲於嶠嶺。其窈窕幽閒。皓妙奇潔。又可占地卜築。爲久遠計。莫如仙遊洞之爲最。屯德山。無奇秀而山形敦厚。類有德者。亦可敬也。溪水出山北衆谷中。合流東行七八里。踞一大石。爲上下二龍湫。湫之形。上陷如甕。下圓如匜。甕東缺而匜東亦凹。甕傍石面瑩滑四低而入甕。觀者神𢥠足滑。不敢側窺。水自谷中來者。到甕上爲懸瀑十餘尺。直墜甕中。噴薄崩騰。久猶殷殷有聲。甕滿而溢於缺處。承之以匜。匜滿而溢。出於凹處。乃演迤徐去。又折東北行數矢。約北過仙掌壁下。壁高幾數仞。巖面深畫。如巨人掌痕。五指宛然參差。可異也。又東行一里。爲蜂巖村。是故李尙書縡別庄。舊有亭。今廢。又東一里餘。爲玉舃臺。是爲仙遊洞第一曲。洞凡九曲。而曲曲異趣。玉舃臺，鸞笙瀨，觀瀾臺，濯纓潭。尤奇勝。兩岸皆層巖古壁。長松掩映。楓薜交絡。水行其間。而全石以爲底。或刳而如槽。或窪而如釜。或累級如階戺。或平鋪如茵席。雖間有亂石沙礫之積。而以大水盪而滌之。則一壑皆全石也。水之爲湍爲瀨爲泓爲潭。縈流漣漪。曲折萬變者。因石之形也。石之瑩淨滑膩。玉磨砥平。上下數里。皓然一色者。得水之力也。自洞門入者望谷中。晶熒若有光。水淸石潔。相映射然也。玉舃臺東巖。大書仙遊洞三字。不知誰氏所刻。而九曲石刻標題。皆故處士鴻亭申公 弼貞 所刻也。第三曲北阜。稍平衍向陽。谿水彎回。有土田數畞。肅廟丁亥。申公始卜築於此。東爲僧寮。西爲亭舍。寮燬於火。亭亦頹圮僅存。歲丙午。余以貲獲之。擬修葺茅棟。讀書養性於其中。以終吾年數足矣。獨恨夫自融結以來。已有此奇勝。而託在荒山絶峽。一未遇文章之士爲之闡發而品藻之。雖非名區之所以損益。而名實顯晦之際。理宜有不然者。近世農巖金學士 昌協。 文章妙一世。尤工於摹寫景物。而嘗以淸風守來遊。有紀勝一篇。其詞平凡無奇致。豈簿領之暇。悤悤遊歷。未盡山水之妙耶。是又重可恨也。余忝爲林壑主人。而文詞拙陋。不足以發揮靈妙之趣。於是略敍水石勝槩。且步農巖詩韻。遍以乞靈於當世詞宗諸君子云爾。仙遊洞 用朱子雲谷第一絶韻何必羽衣客。爲仙遊此谷。每一入山門。飄然遺世獨。靈槎石不繫銀河渚。偃臥此深谷。無人來問津。也自嘯詠獨。洗心臺不息故無累。請看流水谷。所以川上訓。晦翁發謹獨。觀瀾臺涓涓山下水。艱難透壑谷。坎亨同物格。此理橫渠獨。濯纓潭不受微塵涴。終日湛空谷。濯纓猶不願。濯足子何獨。詠歸巖石澗淸且漪。盥濯堪此谷。詠歸同數子。妙趣誰覺獨。鸞笙瀨松影舞峭壁。灘聲韻遙谷。緱嶺誠有無。靈籟吾聞獨。玉舃臺琉璃瀉玉流。晶瑩滿一谷。石上偶成窪。奇勝渠豈獨。</text>
<title>次農巖向仙遊洞韻</title>,<text>西南望峽口。我行寧暫歇。晶光髣髴來。異境迤邐出。尖峯列左右。旂戟森未輟。澄灣戴盤石。空潭倒秋日。溪邊數茅屋。瀟灑更幽絶。所以鴻亭老。高臥謝簪紱。</text>
<title>又次</title>,<text>峽坼溪流駛。平鋪一白石。當中刳玉槽。高下舂黛色。仙子何時遊。舃留忘足適。繚繞八九曲。曲曲環巖壁。窈窕各成趣。摺疊還相隔。玆境信奇絶。每遊如新歷。朗然心自怡。豈惟耽靜寂。雲關何隈隩。永杜俗人迹。苟非尙平儔。誰肯竆探覓。而我有宿緣。採山漱泉液。</text>
<title>曦陽山 用雲谷第一絶韻</title>,<text>曦陽何處是。穹林蔽邃谷。忽見半空裏。突兀立於獨。</text>
<title>夜遊巖</title>,<text>邈邈崔仙翁。夜遊明月谷。石上字不滅。勝事千載獨。</text>
<title>白雲臺</title>,<text>削平白玉盤。橫截飛流谷。爽闊兼幽奧。許爾嶠嶺獨。</text>
<title>陽山寺</title>,<text>伽藍創羅代。糚點一山谷。誰爲好事者。無令智證獨。</text>
<title>外仙遊洞</title>,<text>矗立蒼玉屛。璀璨水晶谷。奔流瀉其間。奇壯三洞獨。又 用雲谷第二絶韻步隨流水洞。萬山穿積翠。山開得盤石。耳目始朗麗。</text>
<title>八仙亭</title>,<text>仙人去不歸。海外三山翠。借問蓬瀛中。還有此奇麗。</text>
<title>瀑布</title>,<text>噴薄嗽飛雪。逼窄束麤翠。巴串與玉霞。猶應遜巨麗。</text>
<title>鍊丹鑪</title>,<text>何人此鍊丹。石鑪苔紋翠。齊諧那足徵。但添一巨麗。</text>
<title>洞門</title>,<text>峽盡平野出。巖洞忽峭翠。化翁太多巧。種種作怪麗。</text>
<title>華陽洞鳴巖 用雲谷第三絶韻</title>,<text>淢汩如有聞。窈冥不可尋。物性有空洞。泉聲感虛陰。</text>
<title>巴串</title>,<text>巴串却平鋪。崎嶇經幾谷。向來頗費力。得處還自獨。</text>
<title>凌雲臺</title>,<text>高臺占形勝。九曲不待尋。只怕山氣險。當前攢積陰。</text>
<title>龍遊洞</title>,<text>吾聞東海上。奇詭萬物谷。世人蔽所見。遂疑龍遊獨。</text>
<title>雙龍</title>,<text>華翁昔去亂。高棲此山谷。我來撫遺跡。古木巖上獨。故北伯李公昌庭。光海朝。隱居于此。自號華陰。</text>
<title>大井村</title>,<text>桑麻蔭茅屋。窈窕開別谷。此中經濟足。何必離人獨。</text>
<title>龍湫</title>,<text>窞深不可測。積水沈黛翠。夕陽來照之。恍惚騰怪麗。</text>
<title>龍遊洞盤石</title>,<text>淸華山之陽。有洞名龍遊。大石亘一壑。皓瑩承溪流。澄灣與激湍。往往作奇麗。石壯尤詭怪。驚駭久乃諦。或陷如甕盎。或窪如釜錡。或如裂幅帛。快刀恣分披。又如耕肥壤。鐵杷疏溝塍。平處更成紋。鱗甲細相承。異哉鐫鑱巧。班倕莫能施。氓俗多好怪。相傳龍所爲。達士騁辯博。鋪衍駕奇說。龍者木之神。石乃爲土骨。其理有相克。龍行不見石。所以揮霍處。若蚓行泥跡。蟠屈成窪坎。挐攫卽分坼。神物逞技巧。幻變那可測。此言甚高妙。下士聞瞠若。嘗思天地內。奇詭無竆極。山經及地誌。試擧其萬一。端溪花草石。點染誰臻妙。零陵石屛障。剪裁何整巧。叢石千萬柱。一一如繩削。金剛萬二峯。箇箇如鏤玉。大塊本多般。豈盡龍倆伎。吾意融結初。萬有形於水。査滓凝作核。肌理間硬脆。洪流常蕩漾。齧去其脆理。谽谺成空隙。屈曲隨水勢。不見木假山。蕩蝕湍沙際。膚盡骨乃存。窈然生巖壑。人皆不之怪。爲是常目擊。以常觀其變。變非常理外。智者知之過。轉入幽且昧。爾來千萬年。不聞龍攫石。龍神有所憑。豈在爪與角。雖有大英雄。自用則自輕。使龍眞攫石。何以爲物靈。張華著博物。汗漫流荒虛。雄辯一以出。靡然世爭趨。循常雖近局。不隨流俗壞。爲詩述迷陋。敢附不語怪。</text>
<title>以陶山應製入格。因上敎再赴覆試。宿旅店有感。</title>,<text>偶然一初試。再度入京師。聖世優殊典。腐儒愧素期。荒郊霜落蚤。深店月生遲。寒夜那堪永。秋蟲四壁悲。</text>
<title>向淸溪寺 進退格</title>,<text>不識淸溪寺。緣溪路欲竆。野人云十里。店女指高峯。杉檜依微見。巖巒曲折通。暮投關壁裏。禪室歇遊筇。</text>
<title>向俗離山遇雨</title>,<text>仙山遙指有無間。玉筍瑤簪自在閒。應厭世人來指點。故敎雲霧鎖孱顔。</text>
<title>中獅子</title>,<text>縹緲奇庵曠奧兼。一山形勝滿虛簷。巖前絶壑開還擁。天際遙峯聳更尖。花待淸遊開樹晩。月憐遐眺掃雲纖。丹藜共向文臺去。會酌甘泉渴喉霑。</text>
<title>輓族大父 鼎㸁</title>,<text>吾門耆老日凋零。賴有公存尙典形。不憗遺公乘化去。曉天寥落沒長星。惇宗厚意極醲醇。每向宗中說懇諄。先事由來多未了。卽今收拾更何人。齒比先人共篠蔥。牀前納拜撫髧蒙。閒時故事津津聽。怳似身從樹穴中。中歲移居匪擇仁。南村卜宅幾勞神。桑鄕臯復知非偶。英爽分明返得眞。</text>
<title>輓李丈 坤宅</title>,<text>憶曾驅馬訪衡門。竟夕虛襟笑語溫。鄒魯鄕中薰德士。月蒼家裏襲休孫。有時筇屐風流社。半世耕農窈窕園。享得稀齡乘化去。更憐諸子典刑存。</text>
<title>輓李昌遠 世陽</title>,<text>芳草江郊春日遲。人亡室邇漭生悲。定巖詩債猶前日。西塾文遊又此時。緗篋遺書誰整頓。篠驂舊伴半凋萎。哀哀孝子纔離膝。我見猶傷况父慈。</text>
<title>夢見李士善 行裕。 得四句。覺而足成。以寄贈。</title>,<text>西疇二月節。種禾禾茁苗。持鋤日以耘。常恐稊稗驕。地澆時又晩。人功當百之。不有四體勤。焉得嘉實垂。若復悠悠過。奈此秋風吹。</text>
<title>陶淵 以下東遊錄○丙辰</title>,<text>久聞落淵勝。今訪陶墟來。特地驚三峽。晴天吼萬雷。雲深巢鶴樹。石老臥龍臺。敬拜穹碑下。淸風百世嵬。</text>
<title>珠樹嶺 英陽平海界</title>,<text>珠樹何崔崒。登臨陡覺愁。沈沈疑地陷。窅窅見天浮。崩磴身常撞。攀崖足暫留。但能存儆戒。險處亦平丘。</text>
<title>月松亭</title>,<text>傍海臨湖勢敞寬。老松疎竹更森寒。樓頭月上烽烟靜。閒臥人間萬戶官。</text>
<title>又次壁上韻</title>,<text>古戍平城北。飛樓出萬松。登臨水無際。徙倚日高舂。海渚憐馴鳥。仙坡憶化龍。浦官仍不罷。風景動天容。</text>
<title>望洋亭。次壁上韻。</title>,<text>欲竆東海大。試上望洋亭。倏忽坤輿失。冥濛野馬橫。雲霾江戶國。日出鬱陵城。底獨無潮汐。吾將問蜀平。</text>
<title>召公臺 黃翼成公喜按廉時布政處○進退格</title>,<text>迢遰高臺壓海墉。召公傳號爲黃公。東關惠澤同春雨。南國甘棠有古松。人去千年留勝蹟。客來斜日挹遺風。秖今使節經行處。幾箇登臨不愧儂。</text>
<title>東海碑</title>,<text>禹篆殷銘壓海東。魚龍猶識許眉翁。疑塚碑文人膾炙。不知世有數三公。</text>
<title>竹西樓次石川韻</title>,<text>江湖絶勝境。天地不羈人。會待蟠桃熟。重尋閬苑春。樓下多桃樹</text>
<title>又次李艮翁 獻慶 韻</title>,<text>第一眞珠關。曾於畫裏看。登玆消暇日。令我罷愁端。絶壁登城迥。澄江抱檻寒。蓬瀛知不遠。便欲學劉安。</text>
<title>海巖亭 在竹樓東十里海上。高麗禮儀判書沈公隱遯處。</title>,<text>不知海巖勝。奇怪更千般。簇簇筍皆逬。蹲蹲獸未頑。化工多戲劇。節士此盤桓。已占金剛意。翩然興莫刪。</text>
<title>鏡浦臺。次崔楊浦韻。</title>,<text>三島十洲說有無。六鼇成霜海波淺。春風一上鏡浦臺。眞箇蓬瀛許親見。</text>
<title>又次安謹齋 軸 韻</title>,<text>繫馬斜陽古濊城。鏡臺佳景最多情。澄湖碧海彎回幷。細麓長沙點綴成。神語誰賡楊浦後。仙遊今躡永郞行。一番吟賞猶餘恨。未趁中秋月色明。</text>
<title>洛山寺。伏賡御製韻。</title>,<text>海上蒼然三兩峯。蹇驢暮踏樹陰濃。襄陽城外洛山寺。永述仙應此處逢。</text>
<title>又次孟浩然峴山亭韻</title>,<text>名勝襄陽府。洛山稱古今。滄濤樓下撞。赤日檻前臨。物鉅詩成拙。神遙酒把深。歸來收灝氣。纖芥不容襟。</text>
<title>觀音窟</title>,<text>小庵留異蹟。古佛現金身。僧語徒誑俗。梵宮信駭人。浮空依蜃氣。駕海役龍神。日暮風濤起。𢥠然不可濱。</text>
<title>淸澗亭</title>,<text>澗亭何事澗爲名。畫者緣名畫澗淸。世事紛紛多可笑。浮名終古誤平生。</text>
<title>海山亭。次崔昆侖 昌大 韻。贈蓬萊主人柳天瑞 範休。</title>,<text>太守吟痾晝掩關。相逢喜氣上眉間。開簾直對扶桑日。倚檻常看削玉山。草沒空庭羣鹿下。雲深何處一僧還。朝朝爽籟盈襟抱。却怕吾曹太漫閒。</text>
<title>帶湖亭</title>,<text>南江江上小軒櫺。右抱金剛左七星。面面風光無限好。海山亭外又斯亭。</text>
<title>四仙亭。次李澤堂 植 韻。四絶。</title>,<text>寥朗四仙湖。蘭舟艤夕渚。微波鋪錦紋。蕩漾東西去。右三日浦仙人去不歸。淼茫東海水。塵緣猶未了。名字留巖裏。右丹書巖埋香古誰子。奉佛待千秋。留作一奇蹟。但供閒者遊。右埋香碑永郞南石昔曾經。騎鶴何年上翠冥。最愛夕陽氛翳淨。七星峯影入虛亭。右四仙亭</text>
<title>又次艮翁壁上韻</title>,<text>明湖開鏡面。三十六峯圍。舟似三山去。人疑白日飛。香埋計何左。丹刻字還非。向晩微風度。重洄錦浪歸。</text>
<title>夢泉寺。次崔簡易 岦 韻。</title>,<text>簷外屛城六六蛾。門前環以萬重波。携家一入藏扁艇。不識人間歲月多。</text>
<title>永郞湖</title>,<text>石峯高迥立湖心。十里烟波罨夕陰。水合扁舟供泛翫。巖宜小閣備登臨。風流不減丹書浦。淪落無端碧海潯。物理由來多不偶。騷人遺恨豈徒今。</text>
<title>次蓬萊主人韻</title>,<text>千里高城五月來。此行非但訪蓬萊。凌虛閣裏淸宵話。絶勝仙人石榻開。</text>
<title>通川途中</title>,<text>通川風土異。貊國近爲隣。五月猶思絮。長途不見人。眼玄瞻卵島。頭白問魚津。賴有名區在。能令客意新。卵島。在海中。遙望一點如黑雲。頭白。通川津名。</text>
<title>叢石亭</title>,<text>誰把頑然劚削加。六稜齊遫不攲斜。也知鍾得純陰氣。形色應如雪作花。張華志博物。此石未聞曾。箇箇稜如削。層層整若繩。海濤常戰退。天柱欲擎崩。推究茫難詰。高亭更一登。</text>
<title>九龍洞</title>,<text>步入深深洞。羣峯異態容。險途還忘倦。佳處屢欣逢。素瀑驚雙鳳。玄潭怕九龍。淸泉和秋露。道氣滿胷襟。洞中有飛鳳瀑，舞鳳瀑。</text>
<title>九龍淵瀑布</title>,<text>千尋鐵壁百重圍。瀑布遙遙落翠微。滿壑寒飀淸客骨。仙山五月雪花飛。</text>
<title>楡岾寺</title>,<text>余到楡岾寺。山僧出古蹟。五十三金佛。來自天竺國。鐵鐘跨大瀛。石船泛一葉。萬里驀一瞬。遂抵安昌泊。轉入金剛山。爰止古楡木。羅王大驚異。創寺以奉佛。寺名良以此。千載有遺䠱。此事誠誕妄。排闢詎不力。所以秋江老。六條明辨晳。石無浮於水。金又重於石。海濤千萬里。飛鳥不能越。金石自浮渡。其理萬無一。又况年與代。一一違史牒。種種皆破綻。歷歷見誣飾。其言信有徵。足以破迷惑。但聞浮屠人。善幻皆伎術。凝心感魑魅。往往驚愚俗。傳說雖多夸。作怪乃其法。假饒出奇詭。秖是魔鬼役。反常悖天理。不必論虛實。虛固無所憑。實宜尤嚴斥。正道久衰弊。邪魅肆其孼。人神互雜糅。禍福紛誘怵。不念厥類彰。妄希求冥漠。福田因果說。遂成膏肓疾。人情競好怪。高明先誤入。智蕩騖神奇。念切祈利益。陽抑內信篤。奉事遂崇極。金碧被土木。齊醮遍山嶽。愚者競慕效。體膚無所惜。同氣不相恤。萬僧飯不足。民生日困竆。異敎恣猖獗。佞佛詞人輩。張皇大敍述。堂堂禮義邦。將爲野魅窟。細究其禍源。都由一念錯。謂佛有神異。能作人禍福。欲知彼虛妄。何不務竆格。苟明死生理。百怪俱淨廓。先務盡人事。經正邪不作。存順沒惟寧。廟享郊則格。擧世壽而康。是謂眞福澤。孰如求渺茫。抵死不可得。大明一中天。陰燐自起滅。安得此世內。復見煕皥域。感歎作此詩。或備風人掇。</text>
<title>隱仙庵次金公 世鎬 韻</title>,<text>誰謂仙居不可登。吾今白日倏飛昇。水臨鵬擊三千里。壁對虹垂十二層。落照人烟渾點點。揷天瓊嶂競騰騰。此心縱得無量大。險處操存更上乘。</text>
<title>萬瀑洞</title>,<text>摩訶衍下衆香南。十里烟霞白玉函。誰抉銀河懸作瀑。忽開鏡面靜成潭。龍挐虎攫蓬萊筆。鬼護神扶普德庵。却恨名區多戲劇。比年風雨十埋三。</text>
