<title>孤松</title>,<text>生也本孤直。蒼髯看更奇。四時靑一色。高節歲寒知。</text>
<title>孟子</title>,<text>拒闢承三聖。是時當一治。捍邊功已大。社稷又安之。語類曰闢楊墨。是捍邊境之功。明四端。是安社稷之功。</text>
<title>月夜 辛未</title>,<text>松下玲瓏月。床頭爛熳花。風塵豈有此。佳興在山家。</text>
<title>書陶川靜舍</title>,<text>白髮陶川老。看書猶不休。一燈留客語。娓娓在沙尤。</text>
<title>訪大浦梁友</title>,<text>騎牛出洞門。路向象山去。冬日暖如春。水聲多處處。其二主人茅屋成。有客忘歸去。海月隔窓生。夜深奇絶處。</text>
<title>移家 甲子</title>,<text>大屋居然楸下。草堂依舊江潯。寥寥主人孤坐。時有學子來尋。</text>
<title>論未發前氣質本色自在</title>,<text>水不虗行器以傳。器之汚潔萬而千。汚流縱得風波靜。依舊泥沙在一邊。</text>
<title>聞冠峯有師友記語一段。搆虗捏無。其爲世道害極矣。聊成一絶。以寓辭闢之意。</title>,<text>潭溪寒水是淵源。冠嶽嵬巖莫謾喧。虗欲搆時應有泚。泉㙜何面拜師門。</text>
<title>十月二十五日曉。稚子告余曰今夜夢拜尤庵書院。感成一絶。庚戌</title>,<text>尤翁嶽峙而淵停。咸曰我東之考亭。孺子亦知尊道德。夢中相感拜其庭。</text>
<title>登坎止亭故址 申玄翁作坎止亭于象頭山。流觴曲水以爲樂。今餘故址。</title>,<text>玄翁甚愛此溪山。坎止亭墟松石間。曲水流觴當日事。至今猶聽舊潺湲。</text>
<title>余平生無他嗜好。只掃塵一事成癖。戶庭之間。雖纖芥落地。必吹噓去而後已。見人之不掃堂室。不整頓几案者。輒唾之。若將凂己。盖性然也。顚流亭閔丈 爀 聞之。寄惠茅秀篲一柄。盖推己及人。非夷所思也。何等奇幸。感成二絶。以謝厚意。</title>,<text>性癖平生凈掃塵。纖毫着地便眉顰。流亭一篲荷相贈。金玉非珍是乃珍。其二雉文則侈黍麤矣。茅秀獨精又儉哉。珍重老人寄一柄。靜窩從此凈無埃。</text>
<title>姜長文 奎煥 敎人以太極圖。人或疑之。詩以卞之。辛亥</title>,<text>太極玄玄未易窺。近思何事首題之。要人漸向這邊去。尤翁曰學者知此等名目。漸向這裡去。 先就源頭梗槩知。其二世人皆向暗中捫。朱書有暗中模象之語。 頭腦昏時觸處昏。莫笑需門先太極。寒泉一錄是淵源。近思錄首以太極啚說。需齋之敎。盖出於此。</text>
<title>余勸長文以敎人先以禮。答以理學明則禮學亦明云云。故詩以卞之。</title>,<text>經三百又曲三千。元聖儀章晦父傳。晦翁述儀禮通解。又折衷古今。作家禮一書。 學禮先從家禮始。冠婚喪祭始終全。冠婚喪祭。人道之終始。此乃掇拾序中言語。其二頭腦明時觸處明。大人之事自天成。中才以下須勤力。休說此明彼亦明。</text>
<title>余大病濱死。幸得回蘇。中間辛苦首尾四十餘日。忽驚春色已暮。感成四絶。</title>,<text>病卧幾時不出門。忽聞春意滿乾坤。應知岸柳方萌孽。默想生生造化原。其二病餘開戶已春深。草木欣欣鳥有音。知我故人消息斷。章齋何日細論襟。時章陵參奉姜長文病在洛中。其三一病支離枕席中。不知春色遍西東。兒童忽報花消息。階上杜鵑已綻紅。其四自我呻吟月再圓。風和日暖暮春天。書齋景物應新面。杖屨何時賞杜鵑。</text>
<title>聽林鳩喚晴有感</title>,<text>鳶何意思鳩何心。祈雨呼晴各異音。得氣之先機自爾。元來專智在微禽。朱書有農馬智專之語。</text>
<title>夜半萬籟俱寂。月色如晝。以人心言。則眞是未發前光景。感以賦之。</title>,<text>新秋爽氣向宵生。萬籟俱沉孤月明。本地風光從此得。鏡無塵垢水無聲。</text>
<title>昌陵沙溪碑</title>,<text>沙翁名姓路人知。盛德優爲百世師。一命微官猶愛物。至今陵外有遺碑。</text>
<title>冬至之夜。明燭靜坐。</title>,<text>重陰之下一陽新。可見天心欲放春。雪夜寒齋人靜坐。五更孤燭有精神。</text>
<title>至月十五夜。與玄甫同宿村舍。曉睡纔覺。雪月滿窓。擁衾起坐。不勝淸興。仍與語朱書。亦覺有味。口占得巒字。各賦一絶。</title>,<text>夜來微雪灑千巒。晨月透窓滿室寒。我有朱書誰與語。得君開口倍增歡。</text>
<title>靜坐窩。藏朱夫子眞像。每月朔望。揭于壁上。焚香瞻拜。</title>,<text>夫子仲尼後一人。七分之貌儼精神。春氷虎尾平生志。余平生所願學朱子。而大全有虎尾春氷寄此生之句故及之。 怳若摳衣侍几巾。</text>
<title>論一理五常 癸丑</title>,<text>一理元非無寸尺。朱子曰。苟但曰渾然一理。則譬如無星之秤無寸之尺。 五常不是遮墻壁。朱子曰。渾然一理之中。識得箇意思情狀。似有界限。而實非有墻壁遮欄分別之處也。 無分別處有分別。這裏要須看歷歷。</text>
<title>讀啓蒙。寓中只看啓蒙二番。</title>,<text>畫前之易仲尼知。仲尼曰。易有太極。是生兩儀云。此乃所謂畫前之易也。 加一倍圖康節爲。可惜伊川耳外聽。如非朱子到今疑。伊川與邵子同居洛中三十年。未嘗一言及於數字。盖外之也。故不知易從象數中出來。可勝歎哉。及夫朱夫子出。始知所謂先天之學。來自仲尼。作爲啓蒙。專用邵說。曰非某之說。乃康節之說。非康節之說。乃孔子之說。然後易學始明於世。</text>
<title>七月二十八日夜夢。見亡友長文冲淡精神。宛如平昔。謂余曰吾將遠行。贈君以言。卽取紙題曰勉以仁。遂草數行。文搆未訖。蘧蘧然覺之。不勝悵然。文則一字記不起。而勉以仁三字。森在目前。盖自渠云亡。耳中絶不聞警醒語矣。三淵祭農巖文曰。望高靈數賜警醒於寤寐感通之際。俾不退轉。吾之所望於長文之靈者。亦如是耳。此夢豈偶然哉。感成一絶。</title>,<text>漣上孤墳草已陳。幽明相接杳何因。秋風一夢今宵語。三字丁寧勉以仁。</text>
<title>靜坐窩春雨 癸丑</title>,<text>悠然靜坐雨聲中。春意冲融物我同。杜宇新移過幾日。從今花發滿園紅。</text>
<title>重陽翌日。携聖游，士登。訪杏湖。與主人兄弟。月夜泛舟。沿洄上下。甚樂事也。安士定亦來會。</title>,<text>秋月寒江鏡面開。滿江風露暫徘徊。蘆花一色迷南北。何處漁歌隱隱來。</text>
<title>論虛靈無分數 甲寅</title>,<text>心之爲軆自虗靈。聖凡皆同此鑑衡。本地風光何處覔。須從未發見惺惺。</text>
<title>論心純善之非</title>,<text>心之爲氣萬般容。銀自是銀銅自銅。性純善又心純善。聖凡何由有異同。</text>
<title>論心與虗靈所指不同</title>,<text>鏡卽是明明卽鏡。胡分明鏡差殊看。只爲鑄來兼美惡。一般明 缺 鉄千般。右說與詩錄。禀于南塘。答曰虛靈說甚好。益見造理之深。絶句亦好。</text>
<title>遊紫陽山後溪石</title>,<text>穿雲入谷坐巖間。手弄淸溪趁暮還。期以九秋携酒至。更看明月滿空山。</text>
<title>甲寅暮春。別杏湖主人。陪朱夫子眞像。携大全一帙。載之小舟。順流而下。時杏花初發。小雨霏微。吾乃幅巾簑笠。悠然獨坐。儘有遺世出塵之意。實平生奇事也。吟成二絶。以報聯棣主人。</title>,<text>晦翁遺像小舟陪。杏水春潮帶雨回。且有全書携一篋。怳如身自武夷來。其二吾生未及考亭陪。每把遺書歎幾回。今日少伸江漢慕。七分眞像載舟來。</text>
<title>讀遺墟碑</title>,<text>後栗遺墟數尺碑。南窓之筆月沙詞。豊功偉烈昭昭載。然後能令億世知。</text>
<title>壁上揭朱夫子眞像。朝夕瞻仰。且讀其書於其下。不覺千載之爲遠。感而賦之。</title>,<text>畫裡儀刑靜裡陪。仰瞻星斗鬂邊回。毫端莫狀靈㙜妙。秋月精神想像來。其二先生雖未杏壇陪。事業多於參與回。四子六經梳洗盡。不傳之妙獨傳來。</text>
<title>九日鷄鳴。泝東坡灘。</title>,<text>落月移舟泝碧灘。德山坡驛依俙看。鷄鳴纔到蘇亭下。滿舸風霜徹骨寒。</text>
<title>詠蝴蝶 戊午</title>,<text>問爾何心數往還。閑花無數滿靑山。幽人纔罷莊周夢。更覺前身在此間。</text>
<title>通津歸路</title>,<text>秣馬通津日已斜。鳥村螽驛炊烟多。春光何必吾籬落。處處靑山處處花。</text>
<title>年來眼昏特甚。有妨佔畢。求靉靆不得。權丈 敬仲 以寒水先生舊物見寄。奉玩手澤。一喜一愴。詩以識之。</title>,<text>寒齋舊鏡在人間。遠寄衰翁濟眼艱。吾心頓覺交悲喜。黃卷從今歷歷看。</text>
<title>論未發前氣禀本色自在</title>,<text>渾然一性是爲中。大本何曾干氣事。氣禀昏明當別論。不妨子思單言理。其二若言未發氣純善。已發惡從何處生。欲識昏明依舊在。須看陶栗畫心情。</text>
<title>齋居寫懷</title>,<text>梧桐樹下一官淸。盡日蟬聲滿耳聽。茅屋近來無恙否。故園松竹夢中靑。</text>
<title>次蔡伯心見示韻 戊辰</title>,<text>講說何關有異同。靜中須着自家工。黃江一脉眞源在。會得晦翁是晦翁。其二聖凡人獸揔言同。只爲看書無實工。栗谷華陽方正脉。如何獨信百淵翁。</text>
<title>寒泉作詩嘲南塘。其中偏全作本然氣質當心體一句。乃一篇骨子。聊以一語解之。</title>,<text>牛與牛同是本然。本然吾謂性之然。若將氣質看耕吠。莫是人倫非本然。右解偏全作本然之嘲。其二且莫譏吾錯認心。請看陶栗畫圖心。若令心軆元非氣。氣質胡爲着在心。右解氣質當心軆之嘲。</text>
<title>張君學行來訪。欲相從問字。余慚無以爲師。然其志意誠篤則可尙也。詩以勉之。</title>,<text>學問元非在別人。况君方是好精神。束脩虗禮須刪去。眞實工夫日日新。張欲行束脩禮。余辭不受故及之。</text>
<title>咏躑躅</title>,<text>一朶娟娟不染塵。今春幸得雨來頻。杜鵑花落渠猶在。滿院光華耀四隣。</text>
<title>題家禮</title>,<text>冠昏喪祭洗梳餘。後學於斯何太踈。不識畧浮敦本意。每言家禮未成書。</text>
<title>霧餘登松㙜。用三淵韵。</title>,<text>大霧眞如太始渾。崇朝不見萬形存。俄然一捲乾坤闢。松在山顚花在園。</text>
<title>題朱子言論同異攷後</title>,<text>南塘先生此書。實續成尤翁之志。而朱夫子微言精義。於是乎始大明於天下後世矣。猗歟盛哉。余每讀之。輒有良工獨苦之歎矣。嗚呼孰知其然乎。感成一絶。朱子之言或異同。尤翁拈出歎無終。天心有待先生筆。誰識蚕絲在此中。</text>
<title>大膺懸弧日志喜 辛未</title>,<text>淸秀吾孫似異禽。懸弧今日喜情深。只希安享无疆壽。傳得精明乃祖心。</text>
<title>程子冠新成。喜而賦之。因寓自警之意。癸酉</title>,<text>程子之冠最好看。布宜於暑帛宜寒。師人只貴師其德。須識在人不在冠。其二謂巾如釋取諸斯。金就礪製送深衣幅巾。退溪服深衣幅巾。則謂似僧巾。着之不便。着程子冠。 冠禮無巾可代之。草廬問冠禮初加。無幅巾則當用何冠。沙溪答曰當以程子冠代之。 陶事可疑沙語好。我言宜着燕居時。</text>
<title>謝李子野寄眼鏡</title>,<text>琉璃鏡子二輪淸。近視猶昏遠視明。暮歲看書惟賴此。慇懃相贈故人情。</text>
<title>聯棣堂挽 癸酉</title>,<text>命矣斯人遽止斯。天生英傑欲何爲。看今一世都蕭索。氣宇堂堂更有誰。其二碌碌餘人何足觀。靑山埋此範圍寬。平生志業歸虗筭。暮歲功名只一官。其三生死於人如晝夜。達觀應不滯胷襟。幽明只有無窮恨。鶴髮高堂莫慰心。其四人間萬事皆前定。客舘三臯豈偶然。一賞丹山曾有願。轝船故發島潭天。其五美玉良金四季昆。一堂湛樂秉彜敦。門楣不愧尤翁筆。餘慶分明在後孫。其六江湖滿地坐超然。烟月扁舟且泝沿。怊悵故園今寂寞。九秋黃菊爲誰姸。其七疇昔謂吾我死先。君來視斂庶無愆。尋常耿耿思其語。何意㐫音殯後傳。其八卄年追逐百年期。面識非奇心識奇。從此人間吾踽踽。白頭揮淚鳳汀磯。</text>
<title>尋隱溪</title>,<text>寒溪落木捴秋聲。斷續村烟處處生。數疊隱屛隨分界。一年三四有斯行。</text>
<title>大谷看花</title>,<text>六七冠童會洞天。春風花發繞長川。吾來每有流觴感。玄老遺風已百年。</text>
<title>道峯書院。奉和板上尤翁韻。甲戌</title>,<text>天生二老繼而開。一屋精禋歲幾廻。可愛枕流堂下水。淵源應自武夷來。</text>
<title>晬日有小酒。與親戚共飮。感成二絶。</title>,<text>昔年甲戌藍泉洞。夢感盤龍吾以生。甲戌重來孤露後。那堪今日倍悲情。其二秋日高山小酌開。人間花甲一周廻。眼前子女今餘幾。死者冥冥不復來。</text>
<title>奉和屛翁贈別韻</title>,<text>乙亥四月。陪屛翁登摩尼絶頂。歸路相送于牛渚。屛翁贈我二詩。以寓勉戒之意。此實君子之愛人也。別後追步以呈。人生聚散豈常期。意外摩尼辦此奇。歸到金陵還惜別。重峯花落草離離。其二頂門一針起衰懷。何但尋常別語裁。最是三軍難退却。擬將旗脚一麾來。</text>
<title>聞李厚而 敏坤 上一䟽言太廟用醴之無義。此實大臣以下之所未言也。雖未見用。可見其所存。令人敬歎。</title>,<text>肉食滔滔捴愛身。所當言處每逡廵。如無實見何能此。可信黎翁養得人。</text>
<title>次權亨叔 震應 山水軒題詠</title>,<text>亨叔新築小軒於寒水齋數步地。扁以山水。題以二絶。要余和之。步其韵。以寓勉戒之意。臨江茅屋對靑山。種得芝蘭歲未闌。隱几看書何所樂。舂扉依舊晝常關。其二人之爲學似爲山。努力工夫意易闌。只爲無誠一簣。請君先透鉄門關。</text>
<title>京書報泮䟽首請兩先正從享。繼請四忠㫌閭。而群少之最峻者。亦皆參入云。丙子</title>,<text>尼懷非是自分明。大矣王言又炳靈。何待百年公議定。從今同仰宋先生。王言卽肅廟書示。其二酉峯已作芭籬物。辛事如今又脫空。肯向賊邊言可恕。靡然同說四臣忠。</text>
<title>一種議論。以心爲氣外別物。而以感興詩人心妙不測。出入乘氣機之句。爲證。甚不是也。詩以卞之。</title>,<text>心之爲物氣之靈。離氣論心說不成。妙處氣機非二物。乘之一字着來輕。乘不過因字之意。非如人乘馬理乘氣之乘。</text>
<title>贈申四以</title>,<text>農巖以人物性同異。質諸尤翁。其說灑然。南塘所謂精到處十分。精到者。盖指此等處也。余每讀之。未甞不三復敬歎。一日申生四以來言其說之好。賦詩贈之。以志喜焉。農翁論性最精通。淵老如何見不同。三淵以農翁此說。爲初年未定之論。而曰與二三門人判捨之久矣。向來文集編輯時。欲刪去而未果云。 喜爾能知其說好。欣然來告寂寥中。</text>
<title>鄭生有升自屛溪來。傳其札翰。喜而賦之。</title>,<text>溪上春風和一團。再承淸誨是猶難。莫嘆伽洞好泉石。雪裡停驂無味看。其二江門舊友今餘幾。千里相思兩老翁。可喜新春消息至。數行情札又詩筒。</text>
<title>深衣新成 丙子</title>,<text>今人不見古人面。後世猶傳上世衣。平直方圓皆有意。重華制作可爲儀。其二家禮丁寧用細布。白綿岡老創開之。莫言此物違朱子。不儉不華乃分宜。</text>
<title>謁寒水齋先生 戊戌臘月初八日。始遂操篲之願。</title>,<text>久仰先生德。今來臘月中。千峯皆皓雪。一室獨春風。山岳傀偉像。江河浩大胷。循循猶不倦。片語啓愚衷。</text>
<title>挽洪丈道運 名以㯍。吾同門。謹厚長者。愛余甚篤。許以知己。客死于端川。○丙午</title>,<text>南服生名士。無華悃有餘。靑春莊馬業。白首洛閩書。安貧長淡泊。憂時獨欷歔。仁人嗟不壽。天意竟何如。其二遠客仍長逝。關山天一涯。傍無袒免戚。床闕飯含兒。北俗招魂否。南鄕返櫬遅。秋風磨嶺路。丹旐使人悲。其三人情方楚越。吾輩獨綢繆。凾丈曾同侍。斯文約共修。幾年嗟遠別。今日痛長休。手札森猶在。開箱涕自流。</text>
<title>遊紫陽山 丙午</title>,<text>紫陽山不老。千古一峯靑。地可成茅屋。名宜祭考亭。不曾遊客到。惟有好禽聽。石壁眠來久。松風自喚醒。</text>
<title>挽李汝楫 弘濟○庚戌</title>,<text>我愛公之德。謂公福履長。醇眞元近道。敦睦久聞鄕。賦與應天意。摧殘孰主張。衡門今寂寞。園樹但蒼蒼。其二孰非親誼好。惟爾獨綢繆。有酒曾同醉。無春不共遊。倥偬歧路別。倐忽死生殊。眼底音容在。縱橫涕泗流。</text>
<title>春來。三得南塘書。喜以賦之。</title>,<text>珍重南塘札。一春三度來。䂓模何海濶。氣象怳天開。大字看心畫。靜坐窩三字。請書而書來。 長牋劈道胎。別紙論鬼神而劈破原頭。勢如破竹。 十回猶不厭。可以起駑駘。</text>
<title>登重峯有感 辛亥</title>,<text>嶷嶷重峯秀。精靈孕大賢。潛心朱子學。殉義壬辰年。故地因祠宇。荒原卽祖先。悠悠千古恨。松檜但蒼然。先生父祖墳。在祠宇近處。長文曰此詩蒼健可喜。</text>
<title>杏湖兄來訪。甚慰寂寞。喜賦以贈。甲寅</title>,<text>不有君知我。誰開寂寞襟。靑燈半夜語。黃卷古人心。草屋光增倍。需齋感益深。先天太極說。留待上花岑。別時。有開花寺講太極啓蒙之約。故及之。</text>
<title>花潭次逝斯亭板上韵</title>,<text>灑落花潭洞。先生杖屨遊。白雲猶舊態。蒼壁至今留。水閣巖花晩。釣㙜春草幽。欲竆原理氣。臯比奈千秋。</text>
<title>淸潭之行。日昏投宿溪邊村舍。早起。丙辰</title>,<text>洞深村逕僻。日出見人稀。別有乾坤在。居多烏鵲飛。萋萋霜壓樹。淡淡水盈扉。早起徘徊久。寒風吹客衣。</text>
<title>龍堂寺</title>,<text>月出寺仍靜。宵深景更淸。重來吾髮白。依舊海山靑。流水悠然去。灘聲何爲鳴。却慚曾讀易。猶未見分明。</text>
<title>忠烈祠</title>,<text>痛哭丁年恨。祠因取義成。綱常萬古在。軀命片時輕。隔隴江波咽。暎階春草生。路人皆仰止。今古幾停行。</text>
<title>次藍泉壽席韻 丁巳</title>,<text>孝子壽賢母。生朝又甲年。春回南郭外。桃醉北堂前。厚德仁天報。休祥老宿懸。一觴復一祝。人世樂斯筵。</text>
<title>霜菊</title>,<text>歲寒知爾貴。群草已衰微。冷淡花生砌。氤氳香入幃。雪霜經歷久。蜂蝶往來稀。誰識天機妙。殘陽是處依。</text>
<title>九月卄八。卽我初度。尹童子携酒來。呼燈對酌。抽農巖集韻。與澄之同賦。乙丑</title>,<text>童子能携酒。深林何以經。草堂方夜靜。銀漢欲西橫。淡淡黃花色。蕭蕭落木聲。呼燈斟一盞。慰我倍悲情。</text>
<title>山齋與玄甫同宿。語及人物五常同異。恐未達。賦詩以示。</title>,<text>五常人物禀。同異說紛繽。因氣方言性。觀金可許仁。粹然自異物。蠢動或同人。孟子註曰告子徒知知覺運動之蠢然者。人與物同。而不知仁義禮智之粹然者。人與物異也。 千聖相傳旨。吾師獨得眞。</text>
<title>敬陵齋室。次玄甫韻。丁卯</title>,<text>園陵自肅穆。官况似山居。庭樹惟禽語。盤餐或野蔬。最宜韋帶士。能讀古人書。只以虗名得。深慚實不如。</text>
<title>宿老村曉寤。口占示玄甫。</title>,<text>夜宿紫陽下。一衾共弟兄。鷄聲衝雨至。虫語隔窓生。衰世多憂歎。疑文好講明。何時一壺酒。游泳後溪淸。</text>
<title>孟冬。行旅酬禮于象山之林下。申伯封爲主。余爲賓。會者數十人。喜賦以識之。己巳</title>,<text>古制今猶可。旅酬是處張。鄕隣來老少。林壑列壺觴。肅穆威儀在。雍容禮法塲。何曾有酒禍。百拜意偏長。</text>
<title>松㙜</title>,<text>植松今已大。其下可徘徊。斬竹通幽逕。移巖作小㙜。江光隨處在。禽語有時來。且喜前宵雨。杜鵑花欲開。</text>
<title>鄭孝伯挽</title>,<text>不易如尹好。齠齡已傑然。閨門敦孝友。鄕里聞仁賢。脩短莫非數。窮通奈在天。寂寥牛渚會。誰與講陳編。</text>
<title>李而獻 晩祚挽</title>,<text>子夏賢賢語。於公吾謂然。節文宗晦父。繩墨學伊川。不有天資好。那能德行全。九原歸葬處。無愧拜儒先。</text>
<title>集勝亭。次屛翁韻。乙亥</title>,<text>無官宜白髮。江閣已閑情。絶壁鰲頭擧。澄波鏡面平。不因此勝槩。何以枉先生。厚意看樽酒。臨分且屢傾。</text>
<title>聞兩宋先生從祀之請蒙允。喜賦。</title>,<text>尤春從祀議。三十又餘年。䟽起戊戌 不必爭單並。當知有後先。聖朝方允許。吾道倍光鮮。異世何須恨。今同列侍賢。</text>
<title>九日用杜子美韻</title>,<text>佳節一年重九最。靑山無伴獨登㙜。參差赤葉臨江好。多少黃花帶雨開。明月精神雲四霽。淸霜消息鴈先來。莫辭盞酒十分醉。人事天時日日催。</text>
<title>牛渚書院。設鄕飮酒禮。丁未</title>,<text>禮設重翁杖屨鄕。維尊及俎奠于堂。三終樂處群音協。一飮酒間百拝張。揖讓可知王道易。雍容將見士風良。依然矍圃威儀在。盛事千秋煥有章。</text>
<title>雨中漫興</title>,<text>江城秋雨細霏霏。幾日東窓掩皎暉。群峀入雲藏突兀。片帆衝霧見依俙。寒侵病骨人高臥。露重烟叢花不飛。從此啾喧聞未得。人間誰是又誰非。</text>
<title>詠菊。用花潭韻。</title>,<text>玉素金黃謂爾然。乾坤正氣禀來全。不隨秋葉同飄落。肯向春花競後先。屈子餐英何意思。濂翁題品倍光鮮。貞心自與幽人好。宜爾置之松竹邊。</text>
<title>和金達夫 顯行 輕字 庚戌</title>,<text>富貴君看草芥輕。不求名處自高名。磊嵬氣岸山同崒。飄灑胷襟月共明。放棹悲歌何意思。閉門閑臥是平生。神交豈待源源見。感爾慇懃托我情。</text>
<title>立春日。次玄甫韻。</title>,<text>纔聞冬至又冬深。忽見陽和闖衆陰。天運有終還有始。道機無古亦無今。寒崖已覺冲融意。枯樹猶看造化心。葉發花開朝暮事。滿腔佳興奈能禁。</text>
<title>除夜次玄甫韻</title>,<text>愛惜殘年坐五更。新年只是隔鷄鳴。泰來否往雲舒卷。寒盡春生月晦明。世道不關如水下。聖功端合法天行。願言今日同心子。勉學新心德業成。</text>
<title>壁上糊河洛先後天四圖。各以一律題之。</title>,<text>大聖之生神物呈。龍鱗背上有縱橫。生成合處同夫婦。奇偶求時若弟兄。天以十全明造化。人於八卦運權衡。靜觀萬類皆如此。看兔之言仰叔程。右河啚河馬天機已躍如。洛龜何事又呈書。五奇不易五方在。四偶移來四角居。試看縱橫爲十五。乃知造化有盈虛。聖人制作元非偶。洪範九疇儘偉歟。右洛書咫尺先天手可捫。庖羲初闢理之原。乾坤縱立分高下。男女橫羅對戶門。會待河圖方有畫。元來太極是爲根。要知萬事從中起。須觸邵翁朱子藩。右先天八卦文王作易最淵淵。除是先天別有天。父母旣居休老地。女男方當運行權。諸家假借皆支裔。二聖揄揚自嫡傳。異端僻術。無不憑此爲說。而渾是支流餘裔。周公六爻。孔子十翼。最是其嫡傳。 欲識箇中無限意。須將彖象細尋硏。右後天八卦</text>
<title>老村叔父來臨。月夜陪話。</title>,<text>烟籠野水月籠崗。瀟灑琴書靜坐堂。室不呼燈明自在。心無誘物樂偏長。茅簷露潤葡萄葉。石砌風傳躑躅香。知己百年惟叔父。一宵承誨詎能忘。</text>
<title>長文以余所見符合。喜賦一律以寄。步其韻。以塞其勤。辛亥</title>,<text>南塘析理信無疑。何但吾師百世師。已喜芝蘭同臭味。不關稊稗異參差。人間自有好田地。聖域元非曲路歧。最是能行眞不易。做時須似話言時。</text>
<title>病少間。妻兒呈我以一軸書。乃吾長文問病諸書。而其情念繾綣。溢於言外。其中一長牋。乃余在寓時所與書。而責勉之語。亦切中余實病。可見長文盖有古朋友風采也。感而賦之。</title>,<text>病裡書來病後看。長牋短幅捴心肝。䂓模優入南塘室。義理透過太極環。奚取於吾多亟許。責人之善不曾慳。此身早晩沉痾祛。十里喬山數往還。</text>
<title>病後起登山亭</title>,<text>靜坐窩中起病翁。三春和氣已冲融。新枝岸柳絲絲綠。古樹巖花點點紅。淡蕩一江沂水波。前江乃黃江下流故云云。 颼飀萬壑舞雩風。更乘薄暮登高望。白鷺黃鸝自在同。</text>
<title>海寺月夜。用濂雅韻。</title>,<text>古寺重來洞府疑。白雲深處一蹊危。偏憐海嶽秋容暮。更喜禪房月色奇。松壑寒聲眠鳥得。葛菴陳跡老僧知。舊有葛峴庵在山南。老僧言其跡甚詳。 壺乾莫酤江村酒。明日歸筇趁早暉。</text>
<title>西巖寺川石</title>,<text>巖寺蕭然隱洞門。洗心樓下聽雷喧。粼粼石白開平壑。潑潑川長活遠源。澈底深潭涵樹影。懸崖飛瀑濕苔痕。若將此界爲題品。道院楓溪伯仲論。長文評曰此詩圓活可誦。</text>
<title>挽冠峯 玄洗馬尙璧尙璧</title>,<text>剛方氣質蔚儒姿。早歲窮經自得師。晦父節文先據了。伊川繩墨又兼之。一簞陋巷貧猶樂。九品祠官命則奇。天靳遐年何意思。松堂馬鬣使人悲。其二往跡回頭五載前。章齋文會豈非緣。縱橫儀禮多開發。出入羲經到奧玄。將擬百秊依玉樹。那知一別隔重泉。公歸應侍先師側。座上春風倘復然。</text>
