<title>讀小學書自警 辛巳</title>,<text>言行必忠信。聖賢爲師法。歲去苟無學。悲歎復何及。</text>
<title>再到咸興。陪廵相賦詩。都事 呂善德 亦在座。</title>,<text>玉節廵關北。威名逈出羣。故都豐沛重。列鎭華夷分。雅韻賓題月。淸歌妓遏雲。那知舊游跡。復得此宵醺。</text>
<title>濬源殿</title>,<text>眞殿捲珠簾。祠官導相向。英邁盖世氣。勃欝興王相。堯眉與舜瞳。畫裏精神旺。誰謂千載遠。肅穆如在上。睠彼龍興江。長波何汪汪。發源固自玆。濬導豈不壯。允矣大聖人。綿綿洪業刱。臣家有喬木。國運萬年仰。</text>
<title>送趙仁卿及第榮覲咸營</title>,<text>天章寶墨動榮輝。荷寵如君古亦稀。萬歲橋邊楊柳路。少年頭上揷花歸。有御製詩恩賜。</text>
<title>立春日勉姪兒</title>,<text>嗟我五弟兄。得姓惟爾獨。今年年過七。古人已入學。善讀吾祖書。無貽父母辱。以玆替春帖。汝叔爲汝祝。</text>
<title>與敬命，仁卿及李注書士浩 普天 發向楓嶽。宿道峯書院。辛卯</title>,<text>萬丈峯高易夕陰。廟門銀杏洞天深。學惟溯洛差先後。厄甚圍陳奈古今。季世人無三代志。下泉吾有百年心。詠歸亭畔梧桐月。尙想先生灑落襟。</text>
<title>蒼玉屛</title>,<text>雨氣渾添壁色靑。江流如帶戛雲屛。夕陽飮罷窪樽酒。獨訪西林處士扃。李斯文和甫居屛南。</text>
<title>禾積淵</title>,<text>寒潭黝碧岳周遭。別有奇巖造化勞。始訝龜頭從地出。更看獅尾向天高。淵傳玉女投梳異。石想金仙拄杖豪。忽漏松間明月色。緩驅羸馬出東臯。玉女梳，金仙杖。皆有古談。</text>
<title>披襟亭對月</title>,<text>暝樾看漸淸。虛樓受全白。中有二三子。高歌且細酌。</text>
<title>楸池嶺</title>,<text>十里履平途。途窮卽嶺頭。嶺頭何所見。白雲生遠愁。下有無底谷。浩渤東南浮。側身宇宙濶。極目烟靄收。籃輿下絶磴。山風何颼颼。</text>
<title>叢石</title>,<text>曉發通州向叢石。海鷄三唱月未落。我馬行倦遂已曙。碧水漭漭紅濤作。上亭齊賓將出日。忽地何物來相薄。恨殺化翁秘全勝。故令天際雲靄錯。惘然顧視重嗟咄。且駕小舟揚風席。沿洄曲灣奇石多。臥者竪者狀千百。頭頭怳如砥柱屹。編篁束軸更堆積。箇箇六稜亦可恠。誰遣神工磨且削。是知瑰觀冠海東。令人歡叫兼駭愕。倚棹一笑問石丈。倘能記夫去年客。</text>
<title>三日浦</title>,<text>蓮峯秀出更澄湖。落落松寒島嶼孤。石上題名苔半蝕。今年吾是去年吾。</text>
<title>訪九龍淵</title>,<text>山中三夜雨。應泛九龍梯。選日初尋瀑。穿雲屢渡溪。指峯僧說號。臨磴客愁躋。行且源頭見。迤過玉洞西。</text>
<title>九龍淵</title>,<text>瑩石滑添霜。跬步不可失。慄慄走過崖。擧頭忽何物。廣張雲錦壁。上有銀漢落。合沓萬重峯。震疊千丈壑。高坐苔巖上。聽之還欲聾。正當初日暉。光彩亘長虹。驚瀾盪澗谷。噴沫撼楓林。深淵我存戒。可望不可臨。神物倘在此。霧雲噓尋常。裳巖舊有穴。佛說誠荒唐。逖矣廬山瀑。生平何由見。寒溪與朴淵。向來遊筇遍。欲將爾相較。終當誰先數。無因窮上源。餘恨寄洞府。</text>
<title>歸到神溪。晩向鉢淵。</title>,<text>冥搜又得溯靈源。澗道林霏滴翠痕。踏過巖崖平始怯。聽來洞瀑寂猶喧。無端雨作何天去。不盡川從此地奔。晩發溪寮疎磬歇。鉢淵東畔已黃昏。</text>
<title>楡岾寺</title>,<text>灰劫檀峯不記年。盧侯古蹟已茫然。嶺傳仙狗曾過路。井有神烏舊啄泉。何處浮來金佛坐。內家裝送玉燈懸。暮鍾初歇根塵靜。徙倚禪樓月上天。</text>
<title>隱仙臺</title>,<text>次第搜名勝。詎嫌山路崇。危臺臨絶壑。飛瀑掛長空。目極還生霧。身搖不耐風。丹邱知在此。鶴馭鴈門東。</text>
<title>摩訶衍</title>,<text>幾向招提結淨因。衆香城繞玉嶙峋。曇無隱現千峯面。彌勒森嚴十丈身。僧定白雲閒不掃。客來靑桂自相親。庭南七寶尤奇絶。萬瀑源頭拄杖頻。</text>
<title>毗盧絶頂</title>,<text>跨上毗盧萬丈危。白雲低向膝邊垂。天高只有蒼蒼燾。海遠何多拍拍吹。卓犖難名渾氣勢。盤紆如許自根枝。永郞東畔憑虛立。怳躡仙蹤鶴背騎。</text>
<title>普德窟</title>,<text>遍尋八潭勝。又有一庵奇。架鑿金龕穩。鉤聯鐵鎖支。倒聽雲瀑壯。俯視雪峯危。未敢窺銅柱。堂垂戒在斯。</text>
<title>白塔洞</title>,<text>努力穿山復渡溪。爲誰深處客來齊。楓林古壁淸霜滑。槲葉寒峯落日低。勝賞徒言窮白塔。冥搜愈覺杳丹梯。武陵桃水今千古。眞箇仙源著處迷。聞有眞白塔在於在處。而僧輩秘之。世無見者。吾輩所遊歷。只證明數塔而已。入林窮搜。終亦迷路而歸。可歎。</text>
<title>長安寺</title>,<text>金剛初氣脉。還我出山程。桂樹留人久。蘭林占地淸。斯遊應有分。將去豈無情。回見羣峯立。頭頭似送行。</text>
<title>水落洞天</title>,<text>纔返金剛路。仍尋水落時。烟霞元痼癖。山海好襟期。大觀難爲勝。玆遊亦自奇。空林人不見。梅老有遺祠。</text>
<title>和呈岳丈寄示韻 乙未</title>,<text>生平志業未全違。扶得陽春一脉微。世事忍言龍塞謫。聖恩終許鶴山歸。菟裘夙計身將退。軒冕浮榮夢已稀。且喜從容聞道地。暮年桑梓日瞻依。</text>
<title>直廬。遇洪工部太和 元爕。拈韻。</title>,<text>三月輕寒雨且仍。桃花尙未絳霞蒸。祠官淹直忘春駛。水部排供趁旭升。薄宦同憐營斗米。淸襟惟許挹壺氷。杏庭緣業消難盡。逢處詩情酒後乘。</text>
<title>洪僉樞 章漢 挽</title>,<text>磊落胷襟皓白鬚。先人攸執後生吾。嘗聞丈席推賢者。屢屈公車奈命乎。萬事不如傾一觶。十年聊且佩三符。素心埋沒丹旌字。天爵中樞下大夫。</text>
<title>李參奉 和甫 淑人挽 庚子</title>,<text>一區絃誦宅。山水玉屛幽。樂有賢夫子。嗟眞女士流。肯思鍾鼎貴。能忘米鹽愁。展矣吾文正。曾令結好逑。</text>
<title>趙奉朝賀 重晦 挽 壬寅</title>,<text>記昔我皇祖。寒泉講道日。賓朋自遠集。公時同立雪。慷慨說春秋。琅凾奮直筆。先生聞之喜。風稜一何烈。邦運履中厄。衹今猶涕咽。微臣敢自愛。見義不見鉞。干進乃所戒。一生守吾拙。宦妾昧其名。衮褒仍簡拔。寂寂吏部宅。雀羅眞可設。掩門淸晝永。紋枰伴丌帙。年至便角巾。相羊餘歲月。豈惟激懦頑。且喜保名節。小車日涉園。林花自怡悅。行藏及語默。盖亦信師說。我是故人子。姊爲賢胤匹。嗚呼嬴博慟。未亡誰所恤。拜床荷繾綣。知公莫余悉。敦重坐時象。忠愨生來質。一有所執守。寧爲賁育奪。出言去表襮。作事恥扃鐍。厚德如公少。何由覿彷彿。箕疇有五福。在公無一闕。合劒竹州山。淸秋卜其吉。詞繁不敢殺。非直爲相紼。</text>
<title>步金生履汝 德基 韻</title>,<text>最怕窮廬晩暮悲。培根方可達其枝。操存熟處全明德。格致由來在愼思。聞道敢期餘歲月。讀書須趁少年時。新工說與吾人勉。久久終當浩氣頤。</text>
<title>李應五 蓍演 與其弟 奎演。委訪山居。旣歸示以古體詠松詩。朗吟屢回。盖欲步韻而未及也。洪妙告往。走草二絶。以謝前慢。二首○癸卯</title>,<text>寒齋留客小燈靑。二陸詩談到五更。爲愛谷中三秀草。名賢故宅有餘馨。其二松翠吾廬自古今。郵筒珍重歲寒心。春來定有桃花水。四隱亭邊一往尋。</text>
<title>與李丈 行祥，鄭丈 錫休 會校王考遺集。臨別鄭丈有詩。謹次韻。甲辰</title>,<text>邈矣先生講道辰。祇今猶有及門人。自從少日觀於海。爲說當時坐了春。萬事悲歡壇月古。十年離合鬂霜新。趍庭詩禮嗟無地。獨把遺書感涕頻。</text>
<title>重陽</title>,<text>風雨重陽亦勝時。黃花自發傍松籬。小樓試倣龍山飮。明日登高尙未遲。</text>
<title>久欲掘井於新里而未及也。九月初六夜。宿泉食菴。夢得一絶。依俙若鑿後所成者。惟第三四句及第一句方成九仞功五字記得。餘則茫然。覺後足成。</title>,<text>有志方成九仞功。涓流纔到海門洪。寒泉一脉源源水。灌注兒孫義理胷。</text>
<title>旺林李丈周甲後三日。委往一宿。臨還草呈一律。乙巳</title>,<text>山門小雪客登茵。爲是先生六十春。靑眼相邀談古籍。白頭偕隱樂綦巾。已知名下無虛士。且喜鄕中有善人。從古遺賢非盛事。只緣肉食少經綸。</text>
<title>至日次先集韻</title>,<text>天道無終極。穉陽生於陰。卽此消長際。氣機同古今。欲知七日復。須從一元尋。地雷著至象。朋來皆知音。周孔及程朱。萬妙圓一心。遺緖在文正。惕若淵氷臨。傍花讀羲易。對酒憶回琴。唱歎當日詠。景仰猶不任。傍花對酒二句。全用文正公詩。</text>
<title>約窟菴遊伴。自沈氏溪亭。訪白蓮菴。丙午</title>,<text>沈氏溪亭近。蓮龕隔一林。玆遊隨處好。聯步入山深。老樹摩晴昊。歸雲遞暝岑。丁寧啖薺約。早晩遂初心。</text>
<title>稼村賞梅</title>,<text>歲暮襟期與爾親。氷姿玉骨更無塵。甁泉可敵生成雨。盆土猶能闢翕春。獨恨先萎由早發。誰憐剩馥尙天眞。開樽斟酌經年別。應記西林索笑人。</text>
<title>菊里金丈 樂源 歸後賜一絶。要借朱子大全書。三首</title>,<text>自道從前着力虛。詩來眞切歎窮廬。大全一部非難借。要約無如節酌書。其二志在朝聞計不虛。獨憐衰髮臥蓬廬。非知不重行爲重。且讀文公小學書。其三四十無聞歲月虛。邇來屛跡守先廬。朱文正好寒泉讀。况是先生手澤書。</text>
<title>敎兒不覺暴怒。詩以自警。丁未</title>,<text>天地自有冲和氣。一陰一陽相絪縕。風雨霜露無非敎。往往乖沴失其順。盖聞人於七情間。惟怒難制亦易發。方其靜時固爲中。迨其旣發何由節。昔者晦菴朱夫子。平生自言多忿懥。亦粤東萊呂成公。少時暴怒以爲戒。畢竟善變無渣滓。不然何用變化工。愚明柔强是有理。所以垂訓於中庸。我有暴怒常自悔。悔之數日還突兀。發時多在敎兒際。始由慨咄終咜叱。劇知匪怒亦非惡。愛之或恐不若人。己之不若最可恥。何不反省責諸身。從來牖蒙亦多術。要在誘掖而奬進。萬一摧傷食牛氣。宋人揠苗不幾近。就使可怒我無與。大抵不免爲氣使。試看此時果何象。威儀不重聲或厲。諒由氣質偏難克。是謂君子不性焉。矯之在我不在人。自修何難復本然。在天曰理人曰性。我生莫不有太極。隨其所感發爲情。於是有善兼有惡。愛惡哀樂等是用。厥初何嘗爲心病。曾傳四有亦其常。有之而後方不正。堯舜不過與人同。操舍之間中不中。存養盖資學問力。戒懼終致位育功。乃至不遷與不貳。顔子所爲亞聖者。若夫遽忘而觀理。程訓眞是我師也。苟於動靜必加察。可使躁暴變和緩。凡由血氣克將去。譬如一劒作兩段。從今作詩以自警。一切聲色不宜大。小子勖哉善讀書。毋令乃父重其過。</text>
<title>楓溪鄭丈冠其孫 禹采。備行三加之禮。有詩志喜。余猥當賓階之祝。遂敢追和于下。</title>,<text>尙記升階祝。楓溪十月時。故家猶有禮。令抱又能詩。三世團圓席。諸賓揖遜巵。周旋餘古意。歸語未冠兒。</text>
<title>入城偶値上元。陪仲氏出廣通橋。戊申</title>,<text>街塵雜遝萬人譁。只是淸光可意多。須識動中還有靜。橋頭點檢此心何。</text>
<title>十一月二十六日。仲氏回甲。志喜。</title>,<text>天時陽復又周星。和氣如春泛綠𨤍。五弟兄中初甲日。一門庭內最高齡。同床少弱還頭白。賀席親姻共眼靑。宅近南山齊得壽。年年此會祝康寧。</text>
<title>訪楓溪鄭丈。鄭丈圃翁後孫也。酒行。示以一古軸。盖其少時述懷之詩。我王父文正先生，皇考大諫公及其同學諸丈。次第步韻。而皆皇考手書也。詩中相勉之意。在繼述家學。余亦以文正爲祖。可作反身之戒。今去丁巳五十三年。獨此丈老白首在世。余不勝江漢風樹之感。謹追和題其下。己酉</title>,<text>先賢脚下固難人。東倒西來愧此身。奉讀遺詩多感慨。兩家相勖在明新。</text>
<title>谷口有築室之計。而患無井也。向在甲辰季秋。夢得一絶。依俙若鑿後所成。而意趣頗深遠。有言外之味。心異之。昨年入處新舍。今歲五月己未果鑿井。當日之夢。至是而始驗矣。豈非山裏一奇事歟。遂推演前詩之意。疊步其韻。以冀再驗也。</title>,<text>半畝方塘一體功。天光雲影照纖洪。試看活水淸如許。不獨湯盤洗滌胷。</text>
<title>贈鄭君子平 禹采</title>,<text>爾我宜無忝。乾乾夙夜中。陶翁曾此地。圃老况遺風。家學淵源在。吾鄕鄒魯同。苟無咬菜志。爲善鮮能終。</text>
<title>夢得上二句。足成下二句。</title>,<text>整頓兒孫新井臼。重修夫子舊門墻。昔我來時成此句。移題春帖却無妨。</text>
<title>次兒輩韻 庚戌</title>,<text>蒼苔門巷少經過。康濟年來只自家。白首尙存憂國意。淸明三月雪如花。</text>
<title>拜弘陵令</title>,<text>德配先王壼範彰。至今遺化頌無疆。微臣見職誠非偶。昔日祠官又寢郞。</text>
<title>伏覩壁間御製陵上虛右之地。謹述感懷。</title>,<text>咫尺明陵聖慕長。千秋歸侍白雲鄕。猶有當時虛右地。蒼梧何處葬先王。</text>
<title>海印寺東臺。聽伽倻琴。辛亥</title>,<text>怳訝瑤笙鶴背聆。松臺高處御風泠。孤雲一去無消息。曲罷伽倻山獨靑。</text>
<title>紅流洞</title>,<text>落花潭畔沉吟坐。攀桂巖前悵望廻。過客丹書多舊識。籃輿隨處拂蒼苔。</text>
<title>過山寺</title>,<text>籃輿十里曉穿雲。乍憇山門梵唄聞。去路村名僧說道。周公孔子伯夷云。</text>
<title>芳草亭。次李參奉 宜朝 韻。</title>,<text>李氏溪山倍覺新。一門誰是肯堂人。王風必偃亭前草。願覩烟花百里春。</text>
<title>病中聞兒子飮泣。偶吟。癸丑</title>,<text>飮泣窓前步。深知孝子誠。平生孤露恨。爲爾願長生。</text>
<title>丙辰二月二十九日。王考陶庵先生南遊到沈氏鸕鷀亭。有詩曰洛上雨初歇。千崖花發時。今采適莅玆土。善山 偶値是月是日。携諸友訪古蹟。崖花雨歇。又彷彿昔年。謹次其韻。以贈主人沈明仲 翼之。○甲寅</title>,<text>杖屨曾經地。崖花雨歇時。玆遊同日月。往跡問鸕鷀。榭挹三峯逈。船洄九曲遲。百年堂構責。宜念後昆垂。</text>
<title>爲迎候仲氏行。往商山滯雨。訪金進士 。謹步王考昔年留題之詩奉贈。</title>,<text>百里商山地。羇窓對落花。人烟江左近。客日雨中多。祇謁先生院。參尋上舍家。看雲一般意。從者幾時過。</text>
<title>海印寺。拈韻呈廵相李公 泰永。時居昌金使君 鍒，安義朴使君 趾源，李進士 道永 同會。</title>,<text>公視禪房似故鄕。同城親友曁同堂。相看白髮秋懷積。一宿靑山夜話長。五斗不妨歸栗里。二天何幸遇蘇章。追遊名刹今如許。盛事應難異日忘。</text>
<title>自俗離向華陽 丙辰</title>,<text>宦游自笑鬂添霜。五馬年年到處忙。獨有今行差可喜。俗離歸路又華陽。</text>
<title>巴串</title>,<text>華陽九曲溯源流。第一巴溪水石區。我祖遺墟增感慨。肯堂何日讀春秋。陶菴先祖舊置亭於此。今成荒墟。只有礎。</text>
<title>忠州衙軒偶吟</title>,<text>訟庭如水日如年。惟有西林嘒嘒蟬。疎雨纔過凉滿簟。使君無事晝高眠。</text>
<title>南窟</title>,<text>永春之水東流出。峽山四圍靑突兀。九月天高霜氣冷。舟下北壁尋南窟。主人送我至環碧。危欄一色楓林赤。吃飯復從木道去。石門呀然來咫尺。其高僅容人立竦。濶亦相當如螮蝀。試令胡笛臨穴吹。穹窿應響風雷動。誰將小舠浮在此。搖搖恰受人三四。縣吏牽纜逶迤入。回晝爲宵頃刻是。縱使松火前導明。不辨四到何由行。去去窣窣昏昏界。箇箇奇奇恠恠形。累累懸若石鍾乳。直直撑似金銅柱。疑人疑鬼復疑佛。水田歷歷痕如古。左通右達無限穴。千態萬狀難容說。往往匯爲衣帶水。源泉盖自巖竇泄。行看游客題名處。半成古跡還多事。出門笑指人間世。靑天白日眞可意。</text>
<title>石門</title>,<text>倦曳癯藤上石門。仙人耕處至今存。仰天方覩天圓體。夸斧何曾有鑿痕。</text>
