<title>山房偶吟</title>,<text>蕭蕭落葉聲。錯認飛疎雨。呼僧出門看。月掛溪南樹。</text>
<title>奉次藏谷令公壽席韻[李敬亭 民宬]</title>,<text>權公示我慶壽賦。淸陰傑筆吾所慕。揄揚孝理豈少補。播諸聲詩賡樂府。我公當日受異數。百里敢曰非賢路。民歌來暮今安作。板輿勉作三年駐。問安徒勤三日度。寸情只切西飛懼。有酒宜讌瑟宜鼓。風流肯數南樓庾。綃幕連雲綺筵鋪。縣陳雜沓崇牙樹。簾旌春襯碧洞霧。牧丹曉坼眞珠雨。滿城和氣映繡戶。海上仙桃阿母護。三牲備養列鼎釜。千壺旨多兼醑酤。寶箏煩促鳳皇柱。玉簫亂逐腰肢舞。我尹誠孝誰與伍。觀感風幾一變魯。使華先擁玉節赴。鳧舃多從鄰邑聚。壽星婺曜精氣注。南極崢嶸聳天姥。樂極何須歎日暮。蠟炬晴虹千丈吐。孝治方敦聖恩普。寸草含榮皆雨露。當時觀者盛於堵。繪事遺傳爭快覩。飮啄於人各有素。生我誰無復與顧。不待摩挲閱其故。三復淸晨悲感句。孤露餘生何所怙。拭涕還應千萬縷。惆悵銀臺違接武。對此不違於堂廡。安敢妄擬叔度甫。聯句儻布郊與愈。被之絃歌追舊譜。近別淸陰於省中。故及之。</text>
<title>奉贈月城尹守之令公歸覲永嘉壽席[崔訒齋 俔]</title>,<text>恭惟我主上殿下卽位之三年。推孝思以孚人心。人心悅而邦內乂安。朝紳之職居近密者。古例不許外補。而苟以親老乞郡歸養者。莫不優許之。由是人莫不感戴鴻恩。益自砥礪。吾友權守之令公。方在銀臺。控疏陳懇。以家有生養之親。願補薄縣。以伸反哺之情。上韙之。下其疏該曹。未及施。公又陳疏歸省。遞付西班。於其歸也。特命給馬。公以軍職乘馹。古無其例。上疏辭之不獲。亦異數也。于時慶州府闕令尹。觀察使以聞。上曰慶雄藩也。必得有文武全才。可以安民威衆。惟其廷臣。汝擇以擬。銓曹擧公爲首。而上可之。公九重之所眷注。銀臺玉堂之所倚重。方惜其暫時之去。而聖批特加焉。信乎我聖上之重屛翰之托而慰孝子之心也。公下車之明年春暮。余以備局郞官。奉命巡飭舟師于嶺海。得會公於月城。未及其境。而中牟之雉。武城之歌。五袴之頌。相屬于道路。是其緖餘。無足爲公之能事矣。公且受由榮覲于永嘉之鄕。爲四老大堂設壽席焉。余爲公言曰嗟乎孝哉。公之得於天厚矣。夫父母生子而願爲之立身揚名。人子生養於父母而願爲之榮養者。孰無是心哉。顧吾力之不能自勉。而時或有不容吾力者焉。故父母俱存。兄弟無故。爲人世之至樂而難得者也。俱存也無故也而能自立揚。以遂父母之志而慰悅親心者。千百而無一焉。今公爲後於司諫先生。而所生大堂處士公年皆七旬。蚤謝名韁。婆娑邱壑。以道德孝友。聞于鄕而達于邦。公之弟亦志學不怠。能順適其心。此一家之樂。古人之所難得者。而公能全有之。豈特人間之慶。乃天上之全福也。况公韶顔未落。何必老萊之斑衣。距鄕伊邇。無勞狄公之望雲。位躋二品之崇秩。而不待身後之追榮。想公搖琳琅之佩。戴貂蟬之冠。張絲竹之樂。極水陸之珍。酌流霞之觴而進南山之壽也。四堂怡怡。鶴髮相映。春顔載悅。萱日長和。一室之內。瑞氣融融。較之相州晝錦之榮。則韓魏公亦應讓一頭矣。詩云豈弟君子。求福不回。公之得於天者。顧不厚歟。公於是欣然起曰子之言然矣。我之志願畢矣。但福慶之全。聖人所難。而如我不肖者當之。我爲是懼。况天雖厚我。而能使我父母爲今日之父母者君也。顧我何以報此。思之至此。惕然汗下。知我者子也。盍爲我記焉。嗟余孤惸人也。不免爲令公罪人。何忍記爲。姑書顚末。遂賀公之行而悲余之志。因以詩尾之。煌煌旌節駐東城。知是毛公奉檄誠。千里彩雲迷紫極。一堂春色滿銀觥。人間至樂能全有。天上眞榮孰與爭。自恨繡衣還故里。邱園霜露若爲情。</text>
<title>戲贈藏谷令公 [金溪巖 坽]</title>,<text>瀟灑亭皋景物新。病中來寓暢形神。江山本是爲公物。閒適由來便主人。猿鶴喜跫如欲語。雲霞入眠轉相親。莫言假寄都無事。詩卷琴床淨拂塵。</text>
<title>奉餞權守之令公[金葛峯 得硏]</title>,<text>爲把山城酒。遠將驄馬行。九重方側席。一鶚卽蜚英。臺閣淸霜肅。朝陽彩鳳鳴。聖明應玉汝。朝野摠知名。</text>
<title>奉別權蘆川守之赴大司諫[柳陶軒 友潛]</title>,<text>聖主求賢佇九重。鴻儒是日又登崇。東山係望今安石。洛下傾心舊范公。千里淸裝寒似玉。一臺高議凜生風。五松猿鶴休相怨。報國歸來老此中。</text>
<title>題蘆川五松庵[李蒼石 埈]</title>,<text>是非叢裏抽身出。雲水鄕中得意遊。靈境今朝移畫舫。主人何處夢滄洲。金屛迥帶紅霞濕。玉鏡晴涵皓月流。千仞集仙臺一上。洞簫聲斷玉峯頭。</text>
<title>贈藏谷[金淸陰 尙憲]</title>,<text>佳邱泉石極淸幽。聞道蘆川更可遊。千里相思難縮地。雪中遙憶剡溪舟。</text>
<title>次金淸陰韻贈藏谷[金葛峯]</title>,<text>玉澗玲瓏小洞幽。巖亭瀟灑管淸遊。園林已痼烟霞癖。宦海誰撐濟世舟。</text>
<title>輓詞[權益昌]</title>,<text>丹旌遙自日邊迴。凶音偏驚故舊懷。千載名聲昭竹簡。一江風月供人哀。五松丹葉空明媚。涵玉游魚自去來。共賞情言猶在耳。不堪聞笛夕陽臺。</text>
<title>輓詞[金得硏]</title>,<text>玉立風儀雪月襟。蜚英鵷鷺世皆欽。使能專對平生學。國以殉身天日臨。千里羇魂何處託。孤旌返櫬故山尋。門庭賴有螟蛉子。式穀承家可慰心。</text>
<title>輓詞[權宏]</title>,<text>薇垣銀署退逶迤。光價當年獨步時。民墮襄陽羊石淚。人傳南國召棠詩。如何一拭西河玉。奄忽三呼左轂綏。塵世茫茫難再會。九重泉路盡交期。</text>
<title>輓詞[申悅道]</title>,<text>妙年簪笏上蓬瀛。足踏靑雲滿地平。剖竹垂仁留政績。坐棠敷惠藉聲名。島中儐接纔承命。客裏沈痾遽隔生。千里松楸旅櫬返。不堪南望涕沾纓。</text>
<title>輓詞[權寏]</title>,<text>鴈塔登名早立揚。兩朝勳業擅鵷行。恩深密地星辰近。儐接皇華漢日光。已許純忠憂杞國。卻驚靈櫬返桑鄕。莫言遺躅尋無處。明月蘆川萬古藏。函丈當年得力深。粹金溫玉斐儒林。葵忱未答君恩重。蘆浦空敎客夢尋。羊石嶺人爭墮淚。召棠湖路有餘陰。新阡一哭非私痛。殄瘁周詩更詠今。</text>
