<title>古別離</title>,<text>燈前裁一札。遠寄相思邊。相思不相見。朙月復嬋娟。</text>
<title>園中二古墓。墳宛不滅。有木生於兩墳之交。日翳以茂。剪厥枝榦。根已深矣。</title>,<text>寂寞雙枯骨。遺魂今若何。身邊一叢木。根老轉紛挐。秋露空團實。春風自放花。重疑古贒葬。埋沒使人嗟。</text>
<title>泛舟黃山。有懷世能。</title>,<text>茫茫不記處。處處見孤烟。落日凄霜渚。輕波靜鷺眠。四山天遠盡。中野水流偏。寄語朴夫子。扁舟似去年。</text>
<title>臯蘭寺</title>,<text>落日朙淸錦。扁舟徐復輕。寒潮收淡瀩。野峀强崢嶸。墟里更春事。江山閱客情。危樓不墮水。今古自亭亭。</text>
<title>釣龍臺</title>,<text>雲裏驚靈怪。人間謾畫圖。鱗虫唯作長。呑馬一何愚。神物終無賴。昏王竟莫扶。可憐風雨夕。猶是罷歌無。雲雨辭神用。江山永寂寥。幾人仍把釣。遊子晩停橈。零落珠宮遠。依微玉爪勞。終然多怪誕。回首更逍遙。</text>
<title>同尹長公從氏兩季，庶叔夜話。諸公就睡。獨坐賦燈。</title>,<text>殘燈行欲滅。寂寂頗愁生。他夜樽前用。征人去後朙。依然團會夕。渾得別離情。枕上諸君子。幽懷可共成。</text>
<title>春至無鶯。今日忽聞。</title>,<text>此地園林薄。春風鶯苦遲。今朝忽相訪。盡日語無歸。多愧頻頻至。能忘欵欵飛。朙年不相棄。滿意樹芳菲。</text>
<title>別鄭仲宣</title>,<text>高樓百餘尺。上列十二柱。獨鵠號其林。哀鴻翔其浦。與君攜手上。懷憂誰不歎。君當從此去。我當從此還。</text>
<title>別鄭兄</title>,<text>春去寧將恨。夏來常病來。親朋不相待。好月豈知開。菜疊淵朙菊。蓴調傅說梅。江城無限酒。莫受曉鷄催。</text>
<title>暮</title>,<text>漫野輕風外。危樓水氣邊。欲來成遠望。隨處得茫然。未有分朙樹。仍添斷續煙。高飛雙白鳥。何用羽毛鮮。</text>
<title>霧中日</title>,<text>朝日生滄海。艱難歷萬岑。民方瞻杲杲。何事復深深。翳翳只相亂。昏昏不自任。太陽莫有較。萬物孰無欽。苟亦思披拂。誰能禁照臨。惟應闇然裏。光曜未曾沉。</text>
<title>咬郊賦墨</title>,<text>玉女鬒如染。島夷齒似咬。磨楯幸不及。多壘靜邦郊。濡殘鼠鬚拂。磨急鳳咮咬。見絶同毛氏。哀傷在魯郊。</text>
<title>聯句</title>,<text>同守初呼韻賦詩。守初得一聯云隨發春難禁。交鳴鳥不分。余爲之閣筆。但餘句有不穪。其後余粗成結語作絶句。已而覺一句是思季詩。因幷列爲三人聯句。隨發春難禁。交鳴鳥不分。守初。 天機同萬物。思季。 吾亦得微醺。直心。</text>
<title>葛嶺</title>,<text>四野分天象。高丘竟地維。虛無舒日月。朙滅散山陂。氣大充能盡。襟虛濶不辭。鄒贒善養旨。細讀意何遲。</text>
<title>可憐江上月</title>,<text>可憐江上月。不與人意同。宛轉入房裏。偏流離別中。</text>
<title>翳翳雲間月</title>,<text>翳翳雲間月。漠漠水中泥。朙朙君子人。秉心平且夷。一心抱區區。君子諒無愧。子有心內言。何不相告謂。</text>
<title>瀛洲路</title>,<text>瀛洲生王母所居也。路迂回朢而不能進。嘆之而作急之也。瀛洲路幾遷延。轉轉回回不能前。去時如拘來如驅。山回路窮何須臾。瀛洲路迂不迂。</text>
<title>爲謁外王父。且哭舅氏。行有期而不遂。</title>,<text>此計又無遂。悲衷何日論。出雲還在峀。流水豈知源。永夜歸心轉。春風淚點繁。羊曇哀未甚。猶得近過門。</text>
<title>尹箕敍來卜東鄰。次杜韻。</title>,<text>荒年居不奠。勝地幸同期。密竹行相近。幽禽語罷遲。秋來當共菊。春晩許分葵。西徙豈非得。白魚已滿匙。來往亦無數。幽蹊不設門。家貧同酒醬。地接互雞豚。數子能相就。吾徒自作村。勉哉敦舊業。消長任乾坤。</text>
<title>贈尹長公</title>,<text>此地比東峽。君知無不如。次公先就食。盡室且移居。隨有分花樹。傾藏與古書。稻魚兼勝賞。樂土信非虛。</text>
<title>同尹長公季公次杜韻</title>,<text>偃臥乾坤內。長年穩竹牀。靜中居有術。身外物無常。幽樹高還獨。寒梅老更芳。寥寥窮海上。深處是吾堂。</text>
<title>簡箕敍</title>,<text>勝事來無已。淸江月復今。春風悟鳥性。好雨競花心。得句渾忘律。含盃不厭深。竹間通細路。倘有故人尋。</text>
<title>得醉</title>,<text>得醉無常處。叢花與竹間。短藜將倦乏。佳句記淸閑。病久浮名絶。才疎妄念刪。長空一萬里。高鳥恣回還。</text>
<title>晨步</title>,<text>晨步小階上。空亭穩自躋。雞聲互遠近。峀色來高低。垂柳光風轉。餘花浥露齊。無人共幽意。佳句偶然題。</text>
<title>雨中有懷箕敍</title>,<text>雲山萬重外。落日已應終。江漲來潮弱。郊平暝色同。生烟紛冄冄。下雨劇悤悤。徒憶君兄弟。懸燈脩竹東。</text>
<title>柴門</title>,<text>柴門政寂寞。皓月動乾坤。漸到臨深院。先來影短藩。鳥歸何處宿。雲欲七山屯。下土微臣在。恭瞻北極尊。</text>
<title>春祝</title>,<text>凡願直則輔。凡福可承是與。</text>
<title>春祝</title>,<text>康無已壽無極。隆孝養志常樂。徇義命一𥨪通。尙輔佑災莫逢。用苟充積無以。神眷竭朢靡侈。</text>
<title>高飛</title>,<text>日用是須。不棄不藏。乃畜于是用收當。</text>
<title>過沙田</title>,<text>沙田最深處。流水轉多鳴。羸馬艱難至。幽人偃息平。在𥨪心乃足。無慾眼長淸。嘆息閨門內。從容禮樂情。</text>
<title>牛谷</title>,<text>佳麗驪江別。緲茫牛谷過。騁望斜日後。驅馬二陵阿。列宿當空集。長天滿意多。龍門日在眼。登眺復如何。</text>
<title>壽春訪黃俊耉</title>,<text>黃子江西宅。常時擬卜隣。三旬病檜谷。今日出梅津。峽水偏知綠。貊花多後春。小扉開處僻。幽事坐來頻。襍卉勤相討。淸庭得再廵。老松不可慢。宛對一高人。灑掃勞賢主。淸齋共客之。急持高枕至。燃進火茶隨。曲解調將法。偏陳飮食宜。煮花添白蜜。調麪動銀絲。薯蕷仙經首。吉更氣劑奇。嘗來忘轉飽。莫反損脾爲。蘇息復蘓息。我行當復旋。君言日未午。已在華嶽巓。君言徒悠悠。宛宛聊屢申。似欲留我爲。珍羞果再陳。楊西板底坪。與爾終並居。眉眼秀如此。何不讀古書。</text>
<title>我行于山下</title>,<text>我行于山下。杜鵑花已發。折得三兩枝。歸心四五折。</text>
<title>歸夢</title>,<text>歸夢夜夜勤。常遺我客身。夢中雖得歸。父母寧我親。</text>
<title>自壽春訪鄭兄仲宣不遇。與甥恒胤兄弟。遊八瀑兩池。</title>,<text>徐步向八瀑。遲遲在中道。未到彼瀑上。已知彼瀑好。豈有其源塞。七瀑流漸殘。童子决其流。我當疏其源。童子相與還。水聲來有異。蒙密彼蘿裏。我幾一瀑棄。彼瀑之西邊。可坐彼盤石。我欲挽彼葛。誤觸幽花落。沿洄遂在此。春池淸且靜。童子勿撓水。幽人方鑑影。魚兮莫相驚。遊戲各自適。我來適見之。非爲思汝食。</text>
<title>又二解</title>,<text>我來西島上。幽興何綿緜。可憐東島上。合着鄭仲宣。不着鄭仲宣。使我心怦怦。兩島長亭亭。君更識此情。</text>
<title>又三解</title>,<text>我自八瀑歸。姊氏頗有言。八瀑夫何如。夫子實所勤。八瀑雖云好。一日已再過。三子方矯矯。不學當如何。丈夫有思量。焉知其所存。八瀑有妙理。愼勿重云云。</text>
<title>塘宇 幷係玉亭詩。玉亭鄭公所居地名。</title>,<text>塘宇面勢殊。無爲君所頗。吾聞古之訓。席不正不坐。</text>
<title>自壽春歸。行次東郊宿。</title>,<text>華嶽崔崒嵂。我行猶未卒。客夜轉無寐。小燈不可忽。</text>
<title>暮抵芙江</title>,<text>勞哉事行役。去矣足踟躕。流水芙蓉曲。尖峯笠帽孤。林公餘勝跡。元帥昔長驅。故老㙜仍葺。遺名山不渝。舍人亭寂寂。季子寺區區。野色團天宇。江光畵地隅。風煙依樹有。暮鳥入空無。疾病添浮世。文章誤壯圖。謀生忌拙直。爲客幾憂虞。多少關心事。低頭愧僕夫。</text>
<title>萬事</title>,<text>落日凄凄盡。幽懷稍自憐。蛛絲工曲折。草露結團圓。嶽色常高峙。天文每粲然。乾坤萬事後。唯有學長䄵。</text>
<title>黃昏</title>,<text>淸庭立每久。無事得黃昏。鴈去茫茫盡。風來切切存。應須理孤燭。早已揜柴門。寂寞陶元亮。艱難有酒尊。</text>
<title>遣興</title>,<text>白屋春光靜。晴窻日影更。燕飛忘親近。鶯語信分朙。砌蔭專專滿。庭茸種種生。繁花低露壓。脩竹任風傾。牢落乾坤事。從容丘壑情。胷中有短句。意遠覺難成。</text>
<title>入園</title>,<text>屐齒丁丁重。筇音冄冄輕。筍生每曲避。花發密相經。松偃徑微入。柳深門暗淸。更期最幽處。此意見丁寧。</text>
<title>物理</title>,<text>寂寞風塵際。幽居物理中。共窠親乳燕。懸屋亂屯蜂。花動潛潛蘂。草深卷卷茸。大江流不歇。盡日事朝宗。</text>
<title>初月</title>,<text>配日光初動。方星影獨淸。映江流水國。助雪上簷楹。淡淡不能照。娟娟空復情。鏡愁全已滿。輪愛漸當成。</text>
<title>怪犬聯句</title>,<text>隣有犬吠極恠。同朴叔世能，從兄敬輯，季弟思季聯句。各賦數句而罷。余追卒之。北鄰聞犬吠。怪怪而奇奇。直心。 緩緩方如抑。悤悤忽若追。世能。 阸吭節出納。吃口成參差。發困撞喉急。直心。 呑餘戰舌遲。情殊慢以劣。響卒碎而歧。思季。 不自丁寧絶。常存愛惜施。直心。 嗛嗛飮咽鯁。世能。 切切受頷羈。直心。 夢或諄諄囈。憂仍咄咄咨。欲朙艾吃吃。敬輯。 竟作昌期期。直心。 彌喙囀能苦。吐唇漫不治。徒然事呑炭。甚矣劇含飴。忍哭畜將發。久啼殘更支。呼惟慳咄啐。呻欲肆嚘咿。㗩㗩寒增盛。連連喘漸衰。𡁏𡁏深殷腹。呃呃劇爭㖇。㹠㹠㺌万學。狺狺獳有遺。難開𣭝𣬬睫。易戰猙獰頾。畏尾勤常護。憂顔多苦罷。形慚謾長喙。足遍舊生氂。不足與謀㕙。可堪輕狎麋。猶寃狗瘖瘂。宜服獸侏離。此物在羣畜。鳴聲儘恠規。形難入端的。狀必爭銖錙。旣惡分朙說。重難泯嘿持。不蒙盜媚悅。徒負主糠糜。掣若或牽在。頓如孰沮之。遑遑喪家泣。轉轉吠堯疑。始欲勉恇怯。終如懷忸怩。勞心見愈拙。處義覺全虧。無故端宜殺。戒哉凡犬知。直心追賦</text>
<title>咏水</title>,<text>激䠶非天性。方圓本地形。能從深處去。更向靜中朙。</text>
<title>晩歸</title>,<text>絶峽春還動。他鄕興更長。平郊踏細麥。落日入垂楊。暗藕生新節。繁梅已宿香。南方舊物色。幾處較先强。</text>
<title>春興</title>,<text>列峀浮光外。繁花旭日中。流離逢地勝。寂寞看春融。性命全諸葛。生涯老德公。他鄕見白髮。心事向誰同。駐眼看花蘂。潛心對物情。語鶯恰宛轉。細果結分朙。老厭衣冠累。𥨪知名利輕。柴門萬事靜。端坐百年淸。今年春又動。一氣日無停。生意看看足。天心箇箇平。賦詩忌太露。探理有微情。緬憶申屠子。兼無隱遁名。</text>
<title>遊義湖</title>,<text>四月空山道。啼鶯響晩林。幽花多拂面。暗澗細淸心。牢落浮生困。蒼茫興寄深。低頭傍俗客。佳句莫長吟。</text>
<title>荷葉復荷葉曲</title>,<text>荷葉復荷葉。可以書獨曲。獨曲夫何如。更向荷葉讀。</text>
<title>除夜</title>,<text>今日是何日。云是除夕日。朙日是元日。家家具酒食。歡樂基慶吉。上堂拜父母。下與兄弟歡。而我獨何爲。耿耿懷不寬。有姊在橫城。有妹在壽春。有弟在文山。一弟單侍親。不肖子在堤。空令父母呻。</text>
<title>登崐崘曲</title>,<text>登崐崘沒渤澥。嗚呼哀命之罷。蛛有網蠶有絲。絲在腹徒空悲。</text>
<title>日西入</title>,<text>日西入月東出。憂來無始無卒。經堂出戶及陳。天地四方靡因。千秋萬歲我辛。夜如何其方足。按節低聲獨曲。前曲幽深後毒。聲發斷絶氣促。</text>
<title>此夜吟。奉呈從氏。</title>,<text>小白蒼蒼檀嶺盤。深山草屋歲將闌。白日已沒天夢夢。饕風虐雪鳴窻縫。先生端居無所爲。去䄵白髮今年稀。晝讀離騷三四幅。夜彈玄琴十二曲。所好平調界面調。一彈心徘徊。再彈思要眇。鉤絃殷絃停復呈。往復百折幽且朙。持抱蘊懷不可陳。將吐將呑將復申。問君此夜何所彈。問君此夜何所關。只在東南大海濆。只在松山四尺墳。嗚呼過此以往不可聞。</text>
<title>同從兄及隣里諸公煮花。朙日鶴臯金公仲綏以詩遍寄求和。更期食蕨。</title>,<text>昨日煑花味正奇。今日蒸蔬更見期。鄙人夙抱虛勞病。飮食若遭脾不競。粘油蔬菜俱不利。不如美酒成一醉。兄弟愛酒酒理通。最能增氣澆煩胷。欲知煩胷其所藏。稍須微醺露猖狂。</text>
<title>贈尹德珪</title>,<text>客夜悲風滿四林。䆫間燈火情不任。忽見朱溪處士書。英姿颯爽來中心。江海殘生泣相向。四海今無一知音。嗚呼珪乎焉可忘。義利之訓何其深。</text>
<title>登水嶺</title>,<text>不到水嶺久。玆山何縹緲。左顧山逾綿。右眄水逾淼。恨無夫子襟。以觀東國小。年邁志猶在。氣銷情更悄。放歌天地間。斯人焉再少。東望有俗離。南望有地理。德裕蟠其間。三山橫千里。峯巒何峻秀。谿谷藏其裏。嗟我有苦心。悵朢不投趾。紛紛彼世人。是非欲何底。</text>
<title>望遼海</title>,<text>夫子苟乘桴。而浮於彼海。東人苦無祿。聖化終不迨。人綱日以頹。萬國同見罪。夫子苟不死。而今猶欲在。嗚呼五百士。英靈今在無。斯人不聞道。意氣良獨殊。今人多不義。皆爲生所驅。吾承勉齋意。幷與沮溺扶。嗚呼島名于彼渺茫外。中原無乃是。皇朙去已久。主之者誰氏。君子無奈何。匹夫守志已。嘆彼魯齋賢。徒然爲元士。</text>
<title>書木枕</title>,<text>平正勿欹。異溫公制。陳千日睡。恨不以世。又千日昏昏醉睡。萬緣寂寂都斷。不知何事眠長。只恐羲皇夢短。又大禹陰不足。周公夜繼日。常存司馬警。敢懷宰予佚。翰音司炯戒。君子視鴆毒。夜夢卜所學。晨起資宵得。動靜交相養。淸朙恒自壹。書枕追盤盂。乾惕永勿失。</text>
<title>矼硯銘</title>,<text>至哉夫子之訓。不重不威學不固。善觀於硯。德之聚。</text>
<title>𥐫硯銘</title>,<text>善乎唐子西之銘。尙其靜。質浮而才。可觀省。</text>
<title>鐩辭</title>,<text>東國以金擊石取火。古者金燧曰鐩。亦名鐩。鐩辭者。懷朴子也。朴子特愛此。凡燃茶多用此。不就火。觸石兮操金。措之兮火具。敏手兮工心。與燃兮微護。聞君子兮樂茲。心悅君兮贈之。路遠兮莫致之。心悅君兮空悲。出五兮毋二。用盈兮天地。以發兮舍藏。孰知兮其利。石壹兮金專。交勵之兮正不愆。有君子兮同心道。子與我兮我永保。擊無虛兮出無徒。不繁揚兮兩爪俱。無敦手兮與館技。究厥美兮將誰俟。兩鉤兮比孔。承柱兮竪內。聳晶兮法淬。罽襮兮羅裏匣。纖手爲兮好且恰。㻴瑚石英黃鐵貢石。五色襍而煌熒兮。四方奇怪兮畢來。萌蓁結櫟凝薇粉蔬兮朽柳蒲。黃紙耳之硝灰。選茶兮鎭産。何善切兮比縷。純辛兮旨烈。不褊苦兮迷苦。盛盞兮團團。含條兮脩脩。有捄兮承盞。白金兮間周。有斑兮間竹。促節兮薄齒。齊圍兮均節。厚肌兮貞理。輕匀兮盈盛。妙燃兮好咽。靜無爲兮相屬。聊與君兮永年。無不有兮無不宜。君何淹兮而若玆。</text>
<title>六歌</title>,<text>別諸兄弟。疾病垂死。言從心辭放言聲放辭。故所感發之言。多古楚人遺音。病甚多短言。雜而不章。就而追敍次之爲六歌。其有章無篇者曰蓮生蓮萎弱。其不章者不錄。嗟余之病兮何苦難除。夜不能寐兮攬衣循除。夏夜苦長兮晝日凉。有葛不御兮有飯不嘗。獨坐無人兮燃南草。人須保我兮常自保。其誰在旁兮錫也無知。心紛無緖兮反撓我爲。荷有葉兮露有漙。路曼曼兮心慱慱。心之愁兮常如揚簸。良獨爲君兮君何愁我。車與檀壯兮不可越。漢水湯湯兮波浪汩。北望漢京兮東堤川。雖有兩眼兮不可雙懸。小人循情兮君子循道。君子常安兮小人常苦。吾知君子之安是兮小人之苦非。知是所存兮曷不往依。援琴鳴絃兮歌聲夷。歌聲夷兮命無疑。心之衰兮浩莫閼。忽然長嘯兮天宇豁。</text>
<title>蓮生</title>,<text>蓮生濁池兮的皪光。璀璀璨璨兮成此芳香。處不易德兮孔嘉不忘。菱微尙而不同兮。葦紛出之無方。萍瑣弱而浮沉兮。蒲獵獵而徒揚。桂樹生於山阿兮。物莫得當。</text>
<title>蓮萎弱</title>,<text>屋瓦不密兮雨則冥冥而至之。枯禾困日兮莠則桀桀而萃之。蓮萎弱而不達兮。蟹潛淪而蝕根。鳥倦翮而西逝兮。遇回風使東奔。物有微而不達兮。命有閼而不成。何吾志之不遂兮。憂患紛而相嬰。</text>
<title>畫虎</title>,<text>動不動兮雄不雄。目䀮䀮兮兒可從。彼虎成兮眞虎傷。世俗薄兮君子妨。</text>
<title>卷蕉贈礐</title>,<text>卷蕉兮深深。中央兮抱心。羌隱約兮難尋。君須我兮酌斟。</text>
<title>釋魂</title>,<text>釋魂者。哀汝咸也。甲寅冬。將往哭汝咸嶺南。奏之靈筵。行不果。聞夫子之攸居兮。至洛東而見之。魂耿耿而在玆兮。欸幽朙之不離。終不與我交談兮。結微言而不詒。鬼神之德無微不知兮。知我所爲而不知其所爲兮。孔靜幽潛一不已兮。巫咸旣沒道在此兮。旣齊三日見夫子兮。乃爲之釋曰。魂魄營營日無定些。形槁獨留忽乃瞑些。遺體獨行不顧復些。南人三呼强臯復升屋些。魂兮翺翔不煩駕些。大海瀁瀁舟楫𧬄些。魂兮翺翔何迅逸些。招子與俱弱其恐失些。循海左轉霧雨平些。中有一人白髮朙些。島人服德重厚之兄些。厥昌在旁講聖經些。魂兮翺翔指故丘些。康津海陽叫天幽些。昔父子兄弟罹殃南海巨濟流些。時人以爲寬宜四囚些。考病以遷凶于此海臯些。婢與拿卒襲席斂藳而委之而婢逃些。魂兮翺翔洛東之曲見姊甥些。皇皇先稿葆藏平些。魂兮翺翔入故國些。寶文峨峨瞻塋域些。開壙直入見父母些。俯伏流涕啓叩首些。旣左右之安以定些。退廵窀穸省合贈些。衣衾孔備棺槨良些。其四會瀝靑光些。笣筲旣陳銘翣張些。周山四圍流水同些。靄靄芚芚靈氣蔥些。魂兮翺翔悲故宅些。松竹蔭蔭綠猗闢些。魂兮翺翔芚山之足拜廟祏些。烝嘗不愆塵埃辟些。降見丘嫂稱賢德些。魂兮翺翔指東溟些。大關參天白雪盈些。沿海千里風沙冥些。習坎幽幽傍魍魎些。文章氣槩尙倜儻些。魂兮翺翔見諸宗些。遐荒四裔泣衆窮些。魂兮翺翔懷先德些。禮樂文章耿無忒些。魂兮翺翔眷舊遊些。鏡浦星山路不憂些。歸來故址絃誦舊些。能輯旣沒直戾謬些。順隘思弱加籧篨些。魂兮翺翔增躕躇些。南陽堤川泣二幽宮些。綿城夫子尙鞠躬些。厥禍焉由吾道𥨪些。魂兮翺翔登九天些。茫茫下土多曲愆些。魂兮翺翔登降乍些。周流天地以再下些。魂兮翺翔觀無窮些。固結不解後天終些。綠猗道橋。尹公家堂名。習坎季尹公謫居堂名。</text>
<title>白蓮池</title>,<text>念此堂前之蓮池。握手送君之別時。君折靑荷向我辭。君應見此常嘆息。時復念我歸來遲。難及得見盛開時。會復不失秋荷期。君今不來荷已死。蓮子黝黑而零落。靑荷菸䓃而離披。我有良朋今便値。兩弟新從遠方至。君尙歸來莫相遲。君不見白蓮池。人生會合誠不易。</text>
<title>君帶歌</title>,<text>君帶長尺半。我帶長尺强。兩帶相接續。不能三尺長。</text>
<title>飮水曲</title>,<text>唾涎江水中。水多涎爲水。飮水水爲涎。唾涎涎爲水。</text>
<title>再遊西施浦</title>,<text>四月百花盡。牧丹猶未衰。風開應慰客。雨殺爲兼悲。自坐循頭髮。重來問物疑。西江終古地。還得暫時期。</text>
<title>暮</title>,<text>山擁雙眸遠。天圍萬象低。屯雲紛不滅。亂翼竟難齊。阮籍窮何已。楊朱路更迷。悄然下樓去。昏黑倍悽悽。</text>
<title>東峽道中</title>,<text>藤心抱太古。石勢見崩年。流水迷源處。仙家若箇邊。</text>
<title>發漢京</title>,<text>紫陌晨征發。靑門曙氣傳。終南殊氣色。華嶽儼神仙。鍾動千家月。城含萬樹烟。漢京佳麗地。惆悵獨歸船。</text>
<title>與從子矼聯句。賦硯滴。</title>,<text>佳哉沙硯滴。芐亭。 中含淸凈水。細細吐其有。矼。 泚筆書諸紙。芐亭。 與友硯墨輩。矼。 恭承君子使。韓公列四功。奈何遺此子。芐亭。</text>
<title>木枕</title>,<text>一枕高低倂。隨時占便宜。忽驚諸葛夢。仍作邵翁欹。</text>
