<title>送人作南郡。用李季眞 稹 韻。</title>,<text>小吏發長安。風光行正好。寒梅開未落。春早江南道。</text>
<title>大殿端午帖 丙午</title>,<text>諷蔑歐陽帖。恩慚杜甫衣。何須獻寶鏡。聖德自光輝。</text>
<title>江樓卽事</title>,<text>隔岸篙師曉語。江樓喚起春眠。約束乘潮早發。夜來知泊商船。西巖夜宿漁叟。濕霧朝來滿衣。一抹炊烟乍歇。持竿又向苔磯。細雨斜風蓑笠。廻灣曲渚帆檣。不是關渠風致。端宜輸我篇章。霽旭黃催楊柳。春江綠漲葡萄。暖回游鯉躍水。浴罷眠鳧曬毛。風吹一聲欸乃。斷續十里江天。驚飛幾羣旅鴈。散落蘆渚那邊。</text>
<title>次李兄汝言 綸 韻</title>,<text>老去江山有約。窮來田野無秋。自擬三公不換。那將百畒爲憂。</text>
<title>松溪。與姪輩約會不至。</title>,<text>繁霜落木夜來寒。客意蕭條强自寬。立馬小橋人不見。二陵秋色滿歸鞍。</text>
<title>冬日。看書記事。</title>,<text>窓前朝旭映書籤。茶鼎灰寒火更添。終日閉門無客到。晩風吹雪落松簷。</text>
<title>送春日。會一架亭。</title>,<text>乳鴨浮沉水滿池。隔簾垂柳長新枝。經年藥物憐吾病。斷送三春不把巵。</text>
<title>宮中進宴詞</title>,<text>蓬島朝元使者旋。麻姑消息曉來傳。瑤階跪進金光草。文母遐齡萬萬年。新殿崔嵬彩仗東。平明閶闔逈呼嵩。祥雲尙覆春暉閣。麗旭初昇萬壽宮。蟬衫鴉䯻簇如花。十二緗簾捲日華。粧㨾共稱新貴主。今年釐降相公家。象服頎頎命婦來。大家傳語內班催。華筵不許昭容進。聖子親行萬壽杯。吳歌楚舞妓分曹。仙樂風飄晩更高。絲絡八珍渾不管。玉盤新摘萬年桃。</text>
<title>立春日。遇李季眞。</title>,<text>春菜登盤蟻泛杯。忽逢湖外故人來。問君東閣題詩處。一樹寒梅開未開。</text>
<title>殤兒新塚未完。風雨終夜。</title>,<text>烏鳶螻蟻與何偏。此語曾看莊叟篇。尙有慈情終未斷。一作戀汝。 夜深風雨憶重泉。</text>
<title>亡兒晬日</title>,<text>亡兒生日恰周朞。正是踉蹌學步時。玉雪丰姿空在眼。膝前誰作晬盤嬉。</text>
<title>題芭蕉葉</title>,<text>吏部如何題啓事。橫渠於此起新知。病夫別有催詩興。攲枕高秋雨過時。</text>
<title>詠竹夫人</title>,<text>淚斑湘渚萬竿篁。夢熟邯鄲一枕粱。秋後却從團扇棄。世間隨處有炎凉。</text>
<title>出僧伽洞門</title>,<text>步下丹梯滿袖嵐。高僧笑別石臺南。回看一抹靑烟起。認是巖頭昨宿庵。</text>
<title>梨園月夜。贈伶工李蘭孫。</title>,<text>新翻偸得李龜年。絶代希聲爾獨傳。試聽落梅花一曲。夜凉虛閣月孤懸。</text>
<title>豆浦別席。次內兄李靑湖 一相 韻。贈內弟幼能 端相 之任淸風。</title>,<text>夾岸樓臺面面同。夕陽離思滿帆風。廣陵明日孤舟泊。回望靑山是洛中。</text>
<title>曉發驪江</title>,<text>鷄號漁店一燈殘。二月驪江水氣寒。自笑微官仍遠役。曉天霜露發征鞍。</text>
<title>自中原向陰城</title>,<text>陰陵峽路草芊芊。寒食東風雨滿天。來往異鄕俱是客。中原回首更依然。</text>
<title>新結魚網</title>,<text>波暖前江欲暮春。上灘魚隊政磨唇。催敎童子粧新網。擬試中旬穀雨辰。</text>
<title>乘舟向島潭。次季眞韻。</title>,<text>浪泛桃花引小舟。洞天何處挹浮丘。三春旅舘思歸客。除却玆遊揔是愁。</text>
<title>自中原乘舟向洛</title>,<text>孤舟萬轉下江干。歷幾深淵度幾灘。不待還家先有喜。終南一點帆前看。</text>
<title>答寄東州使君</title>,<text>應因地勝每題詩。且爲官閑間把巵。至後梅窓晴旭暖。知君方是讀書時。</text>
<title>哭李聖瑞 伯麟</title>,<text>童稚交情到白頭。對時傾倒阻時愁。黃壚隔若山河邈。淚盡中宵憶舊遊。年何短折信哀哉。草草浮名御史臺。獨有故情偏痛惜。未應人盡識君才。西關八月我車催。行過分司轉覺哀。報道靈輀前夜發。不敎留待巨卿來。冰塞長河雪滿山。北程迢遞度重關。吾行早晩猶當返。君向冥途幾日還。</text>
<title>吉州道中。誦奇服齋詩有感。</title>,<text>信馬雄城客路遲。服齋遷謫事堪悲。夕陽秋草依俙是。忍誦當年記夢詩。雄城。卽吉州號。</text>
<title>過富寧兄弟巖。有懷伯氏。</title>,<text>塞外重看病裏書。長公將攝近何如。誰敎地號添離恨。兄弟巖邊倍濕裾。</text>
<title>行營城外。有虎夜吼。戱奉李節度。</title>,<text>城頭昨夜吼山君。聲裂蒼崖處處聞。試向草間看射石。北門今有李將軍。</text>
<title>撫夷堡。次東岳韻。</title>,<text>戎衣歷遍豆江關。絶塞春還客未還。獨倚撫夷城上望。八池如鏡繞胡山。</text>
<title>和東岳擬古從軍五更轉</title>,<text>一更廵柝警重關。雪滿龍堆候騎還。向夜漸聞刁斗起。半輪寒月吐陰山。二更寒角殷危譙。壯士悲歌慘不驕。爭道邇來軍令肅。漢家新送霍嫖姚。三更邏騎掣鈴行。河漢初回月轉明。戰士不眠披鐵甲。將軍時復夜翻營。四更軍令問如何。浪報單于夜渡河。火照雲中知是獵。始敎陴卒枕金戈。五更無事旋開門。宿霧蒼茫滿塞垣。日出元戎臨玉帳。偏裨麾下拜櫜鞬。軍中每更。必報無事。</text>
<title>自玉連堡。轉向輸城。水石頗佳。略似漢京三淸洞。馬上口號。</title>,<text>白石離離澗水鳴。長松夾路草芽生。經年鞍馬邊州客。疑入三淸洞裏行。</text>
<title>輸城道中。次東岳韻。</title>,<text>斜陽稍稍馬前低。野色平連海氣迷。詩意不隨形役倦。短篇占得小橋西。</text>
<title>森森堡。次林錦湖韻。</title>,<text>束束喬林矗矗巒。緣厓細路劇虬盤。陰山古堡春猶到。滿地梨花自作團。</text>
<title>咸興七寶亭。雨中次板上韻。</title>,<text>芙蕖千柄整還斜。翻盖明珠瀉碧波。一㨾海山隨處雨。雨聲偏向此中多。</text>
<title>寄申接慰寅伯 晸。兼示萊伯鄭白也 晳。</title>,<text>蠻城秋雨早凉催。西掖詞臣幾日回。想得海雲臺上詠。一樽應共使君開。</text>
<title>移御日。走次申元瑞 命圭 韻。</title>,<text>春隨御氣閣輕寒。仙蹕徐回匝從官。報道龍輿移法殿。殿頭朝日正三竿。</text>
<title>贈金子公年丈</title>,<text>客自南來號栢洲。有詩千首傲公侯。天敎東野窮如許。吟作秋蟲到白頭。</text>
<title>太僕卿沈仲美自江居入城。走寄二絶。</title>,<text>君居春事近如何。江漢垂綸興轉多。只爲官曹似是馬。時時騎向禁城過。桃花春浪浸前扉。穀雨來時魚正肥。待得永嘉休浣日。可能携手共漁磯。</text>
<title>挹淸樓。醉次金尙書起之 壽興 韻。</title>,<text>晩來淸眺水西頭。落照歸帆漾碧流。明日禁中還儤直。秪應魂夢繞滄洲。</text>
<title>謝兪萬初寄餉苜蓿</title>,<text>多謝先生苜蓿盤。寄來風味佐朝餐。盈筐野採非無興。歸計今春又已闌。</text>
<title>江上。寒威斗緊。曉枕書懷。</title>,<text>霜凄江閣楚臣棲。睡覺前村第一鷄。玉宇瓊樓寒幾許。夜來歸夢掖門西。</text>
<title>飯後卽事</title>,<text>披書飯後午窓明。新茗催敎活水烹。一枕邯鄲成小睡。忽驚塲圃打租聲。</text>
<title>次寄次山</title>,<text>條風暄日媚江天。春色先催岸柳邊。疑有子猷乘興訪。櫓聲伊軋近窓前。</text>
<title>仲美兄弟。掉舟而至。示舟中所賦二絶。走次以謝。</title>,<text>閑趣深春日涉園。可人今雨又敲門。不須催返山陰棹。且待芳醪買別村。陸家兄弟是機雲。久別驚看白髮紛。二水洲邊他日約。桃花開後且尋君。</text>
<title>自杏洲將移竹里。書贈社中諸君。</title>,<text>扁舟强挈渾家移。棲息猶難保一枝。等是窮途何所戀。只愁孤負葦魚時。杏洲。卽葦魚漁所。</text>
<title>舟中示沈甥</title>,<text>竹里移家別杏洲。喜君多意共扁舟。江湖到底皆爲主。迎送吾行是白鷗。</text>
<title>金尙書 光煜 莊名曰栗里。具綾豐 仁墍 舘名曰竹里。以其地號適符於陶徵君，王右丞別業而名之也。余自栗里移居竹里。聞二亭主人。未嘗來住。戱題壁上。</title>,<text>栗里僑棲竹里移。徵君風致右丞詩。江山管領唯閑者。兩處樓臺主客誰。</text>
<title>次酬內弟李弼卿 翊相。兼示柳起之 之發。</title>,<text>南湖春水夜來肥。波沒漁翁昨上磯。向晩腥風吹入座。商帆知是販鮮歸。</text>
<title>伯姪萬容。來會江樓。臨還示一絶走次。</title>,<text>高樓淸讌不知休。一雨微凉過麥秋。落景漸低君欲起。滿江烟浪使人愁。</text>
<title>次寄洪九言 受疇</title>,<text>落景亭亭翳遠林。談間相照玉壺心。高樓客散樽仍在。悵望歸舟轉樹陰。</text>
<title>再疊酬九言</title>,<text>暗飛螢火巧穿林。凉雨高樓獨夜心。蕭瑟白頭江漢客。不堪時序又秋陰。</text>
<title>灘樓。次仲玉兄韻。</title>,<text>孤雲落景共依依。水檻傳杯爽滿衣。投紱歸來老刺史。可能同我上苔磯。</text>
<title>自灘樓夜歸。舟中口號。用灘翁韻。</title>,<text>扁舟容與夜深歸。缺月臨江星斗稀。八詠高樓回望失。玄亭竹舘見依微。</text>
<title>醉次仲玉兄韻</title>,<text>孤燈相對百年心。檻外滄波萬里深。少日歡娛渾似昨。白頭江海到如今。</text>
<title>洪九言來訪。醉後索紙畫梅。詩以報之。</title>,<text>醉墨摹成冷蘂開。鄭虔三絶自奇才。從今竹里王丞舘。添得孤山處士梅。</text>
<title>見鷄林尹權至叔 尙矩 書。走錄簡尾。</title>,<text>西湖凉雨倚高樓。嶺外書回碧樹秋。何日一樽重把臂。二年相憶雪渾頭。</text>
<title>保晩亭志感 保晩。卽外王考江榭。方爲隣生僑寓。</title>,<text>溪水潺湲野菊斑。偶尋隣友扣柴關。那堪人代蕭條感。保晩亭荒落照間。</text>
<title>八月十八日志感。用仲美韻。</title>,<text>天崩餘痛又玆辰。忍憶含香侍紫宸。八月頻傷工部詠。千秋相感有孤臣。</text>
<title>將向松楸。適醉社酒。灘翁訪余留詩。醒後走次。</title>,<text>離懷連夜醉昏昏。剡曲誰留雪棹痕。明日松楸還獨去。亂峯深處卧孤村。</text>
<title>再疊酬灘翁</title>,<text>室生虛白未曾昏。雲過長空不見痕。靜者自能知此趣。梧灘居士卧江村。</text>
<title>送春日。弼卿書報仲美蒙宥。仍示一絶。次韻却寄。</title>,<text>東村居士寄詩來。報道長沙賈傅回。老子喜心翻倒極。不妨兼把餞春杯。</text>
<title>灘樓。別弼卿，文仲。翌日次仲美示韻。</title>,<text>尋君輒至醉歸來。半是潯陽送客杯。別意閉門終日雨。小園鸎語夢初回。</text>
<title>次山替余移寓竹里舘。往訪口號。</title>,<text>竹舘重尋跡已陳。江心孤島看還新。飛來白鳥偏多意。故故相親舊主人。</text>
<title>贈豐德柳使君 以升</title>,<text>吳興三昧筆傳神。姿媚橫生妙逼眞。想有公餘揮洒興。待吾屛障一時新。</text>
<title>贈孟京兆休徵 胄瑞 出宰黃驪</title>,<text>牽江百丈溯蘭舟。穩向淸心縹緲樓。京尹老嫌金帶重。却 一作去 携琴鶴亦風流。</text>
<title>次酬灘翁</title>,<text>劈柳條風細細吹。仲春江畔雨如絲。花開酒熟佳辰約。一曲瑤琴待子期。</text>
<title>憶灘上春興。寄仲美。</title>,<text>蒲芽抽短杏花殘。三月河豚已上灘。細雨斜風蓑笠興。幾時同把釣魚竿。</text>
<title>秋七旣望夜。次迪兒韻。</title>,<text>雨洗長安暑氣收。高梧凉韻入書樓。此翁才退無佳句。稚子詩成旣望秋。</text>
<title>寄灘翁</title>,<text>新秋凉雨滿高樓。蘋蓼花交二水洲。颯颯亂帆欄外過。爲誰瞻竚上簾鉤。</text>
<title>將訪灘樓。歷權至叔舊宅。志感示仲美。</title>,<text>江樓興引菊花杯。秋日尋君已再回。依舊郭南聯騎地。若爲携得永嘉來。</text>
<title>走次李允迪 柙 寄示韻 允迪時在臺山別業。</title>,<text>浮榮朝列謝緋銀。高枕看書味最眞。仍想垂綸江漢興。釣臺烟雨白蘋春。</text>
<title>武擧族姪携酒至。醉後賦贈。</title>,<text>風欞午睡味偏長。覺後燒添小篆香。載酒何來投筆客。不知人世有炎凉。</text>
<title>雨中悄坐。痛念玉兄。錄奉鼎卿堂兄。</title>,<text>端居獨卧念人亡。落木寒聲助我傷。孤抱又逢終日雨。任他佳菊滿階荒。</text>
<title>再疊</title>,<text>浮生次第揔淪亡。畢竟同歸莫浪傷。最是酒杯難到處。伯倫墳上草萊荒。</text>
<title>仲玉兄靷日。次鼎兄韻。</title>,<text>薤歌凄斷露先晞。沙峴南頭痛哭歸。自此西城那忍過。小齋依舊主人非。</text>
<title>春帖</title>,<text>春盤細菜已知時。谷鳥喈喈淑景遲。但願今年三百日。鎭敎身健把深巵。</text>
<title>元日。自松楸還。望見三角。</title>,<text>來往松楸五十年。馬前三角故依然。幾經世事吾成老。羡爾靑蒼不白顚。</text>
<title>戲贈楊州牧任文仲 奎○文仲新卜小妾</title>,<text>古稱騎鶴上楊州。君有佳人字莫愁。東閣官梅渾不管。如花嬌艶坐壚頭。</text>
<title>贈兪水部晦伯 櫶 出宰春川</title>,<text>何遜詩情水部名。澄江又屬謝宣城。江流一帶連淸漢。雙鯉來時倘寄聲。</text>
<title>次奉鼎卿兄</title>,<text>有酒相邀無亦賖。散人頻醉惠連家。巴陵入地還今日。逝者如斯不飮何。</text>
<title>竹林七賢</title>,<text>傲世高情托竹林。七賢相照百年心。延之詠後仍成五。除却山王趣更深。</text>
<title>戲次次山留贈凝川妓韻</title>,<text>春滿高樓送客時。靈犀一點兩心知。裁成舞袖將安用。空唱新翻白紵辭。</text>
<title>大殿春帖字 丁未。居首。</title>,<text>天開閶闔繞祥雲。環珮珊珊仗外聞。寒退邇英宮漏永。法筵新講古今文。時進講書傳。</text>
<title>大殿迎祥詩 辛亥。居首。</title>,<text>寒排雙闕敞龍樓。杳浥金爐細細浮。寬大漢朝新詔降。問誰簪筆演詞頭。</text>
<title>踏靑日</title>,<text>好是踏靑節。春光知爲誰。經旬人卧病。終日雨催詩。次第花傳信。飛來燕似期。芳華空晼晩。攬鏡一回悲。</text>
<title>對菊獨坐。隣生携酒至。詩以謝之。</title>,<text>深巷閉門裏。佳辰吹帽餘。綠苔封逕合。黃葉點階踈。獨對無錢菊。閑披滿架書。勞君載酒至。似是子雲居。</text>
<title>送秋日書懷</title>,<text>一雨將秋去。殘樽意悄然。踈林懸落景。枯葉墮凉天。旅鴈今應盡。寒花亦可憐。長卿未獻賦。壯志惜流年。</text>
<title>伯氏渡江日有作</title>,<text>指屈東歸路。心懸北赴㫌。今朝渡鴨水。幾日抵燕京。消息憑來札。艱難想去程。慈闈幸無恙。遊子倘寬情。</text>
<title>與隣友遊中興洞</title>,<text>洞僻疑無地。溪回別有山。客尋紅葉晩。僧與白雲閑。峭壁烟蘿逈。重巖露菊斑。淸談忘夜永。缺月照禪關。</text>
<title>秋夕。宿高峯。</title>,<text>策馬晩投寺。紺園秋寂寥。樓迎天柱月。江送廣陵潮。霜露丘原感。風烟草樹凋。農談留野客。佛燭照丹寮。</text>
<title>夜坐。令姪輩擊鉢呼韻。響絶卽成。</title>,<text>桂影隱林莽。秋聲依樹枝。二更人不寐。八月夜偏遲。世事看看異。年光鼎鼎移。寒蛩啼作意。孤抱爾應知。</text>
<title>免制後書懷</title>,<text>歲序催人代。音容痛莫追。此身何怙恃。餘日但壎箎。萬計從今冷。孤懷到底悲。生前溫凊地。只在故山陲。</text>
<title>夜枕悼仲氏</title>,<text>獨卧無眠處。長懷泉下人。他生期可卜。斯世見何因。命已關脩短。吾猶怨鬼神。中宵撫枕泣。時有夢相親。人事俄千古。天時又一秋。百年懷未已。何日淚方收。志業銷沉盡。身名寂寞休。平生滿樽酒。無復弟兄酬。</text>
<title>元日。宿追遠堂。敬次伯氏壁上韻。</title>,<text>逝水催人代。流光換歲時。餘生偏易感。佳節益添悲。瘦影燈花吊。孤懷衲子知。元方同此慟。看取壁間詩。</text>
<title>寒食。自松楸還。路上口占。</title>,<text>野鴨羣飛去。春郊水蘸堤。馬蹄黏落絮。衣袖點晴泥。病數沿途憇。詩多對景題。呼兒尋別墅。花下路高低。</text>
<title>讀庸學</title>,<text>乍覺提要領。還驚失戶門。小儒難强智。大道詎窮原。散作千歧去。歸爲一理存。紛如白首歎。方信勉齋言。一貫傳心學。羣蒙入德門。智愚皆可曉。誠正卽爲原。節目彰明著。一作見 工夫次第存。世無推絜矩。千載作陳言。</text>
<title>除夜</title>,<text>爆竹通宵響。桃符幾處懸。年從殘燭盡。春逐曉鐘傳。早卧緣多病。孤吟爲少眠。松楸違省掃。佳節秪潛然。</text>
<title>自嘉興醉歸</title>,<text>醉卧江邊石。醒來已夕陽。晴沙看不厭。眠鷺坐相忘。跡散仍成懶。心閑未要忙。從今還往熟。吾道在滄浪。</text>
<title>驛亭漫賦</title>,<text>江接中原勝。山圍古驛平。春禽烟外語。早麥雨中耕。灌水添池面。栽花愜野情。可堪爲客地。佳節近淸明。野勢臨江盡。溪流遶驛澄。新春挑菜女。斜日返林僧。短律閑仍就。深杯病不勝。丹丘花事近。一棹興堪乘。</text>
<title>西原途中</title>,<text>薄宦催形役。羇愁助鬢斑。東風吹大野。西日下前山。佳節天涯度。新詩馬上刪。臨溪聊獨酌。忙裏暫偸閑。</text>
<title>夜坐。令禹生呼韻。</title>,<text>暝靄村邊合。踈星水面沉。新霜驚旅鬢。芳草杳歸心。江勢回巴字。鄕愁動越吟。趁花三島約。孤棹共君尋。</text>
<title>春日。驛亭書事。</title>,<text>亂絮侵書幌。微風動客袍。勾牽春睡重。纏縛旅愁牢。雨意催詩句。年華入鬢毛。大江流日夜。歸思共滔滔。</text>
<title>島潭途中。示同行。</title>,<text>峽束藤崖轉。村依柳岸回。人從三島去。江自五臺來。燕子參差度。梨花爛熳開。何由逢羽客。共把紫霞杯。</text>
<title>乘舟向洛</title>,<text>早發驪江渚。催橈到日昏。沙晴鷺曬翅。湍减石留痕。販舶齊懸席。漁村半掩門。京城欣漸近。何似客中原。</text>
<title>宿月溪村。淸曉登舟。</title>,<text>水店呼燈起。侵晨步上船。灘危寧變色。潭靜且安眠。孤嶼䨪沙出。羣帆帶雨懸。歸橈不須促。佳境每題篇。</text>
<title>中秋。夜坐呼韻。</title>,<text>池面荷珠散。庭心桂影移。客中仍令節。病後強深巵。遠札傳無使。新詩詠爲誰。觀濤枚叟作。異代不同時。</text>
<title>姪輩與隣友往賞蕩春臺。病未赴會。賦寄。</title>,<text>春服初成日。諸君出郭行。流觴拚勝會。理屐愜幽情。谷邃林鸎囀。山空紙杵鳴。新詩應滿軸。歸與病夫評。</text>
<title>次酬弼卿</title>,<text>悄坐思君夜。燈前見在身。雨凉生簟席。秋籟集叢筠。忍斷杯中物。猶尋卷裏人。傳筒休恠晩。懶慢是吾眞。</text>
<title>統軍亭</title>,<text>絶漠連遼塞。雄關睨渤溟。行窮箕子國。望遠統軍亭。江匯龍淵黑。山排鶻峀靑。邊愁與客恨。嗚咽暮笳聽。</text>
<title>龍灣</title>,<text>月暗臨關柝。霜淸出塞笳。邊人胡語慣。上妓楚腰誇。客舘秋將晩。王程鬢欲華。佳辰近重九。歸及泛黃花。</text>
<title>玉溜泉</title>,<text>玄牝千年竇。靈泉決決鳴。排成疊壁秀。瀉作一溪淸。地欲誇仙境。天敎傍客程。皇華留傑筆。問禮愧吾行。岩刻詔使朱公之蕃筆。卽今問禮之行。異於昔時。故感而及之。</text>
<title>抱川縣齋。與主人李季玄 知白 同賦。</title>,<text>歲暮遠爲客。故人相別難。心隨孤劒壯。愁賴急觴寬。夜燭宜頻剪。冬當一餐。前期又此地。花事未應闌。盤中味甚佳。第六及之。</text>
<title>冒雪踰鐵嶺。宿高山驛。</title>,<text>早發交州舘。行行鐵嶺登。藍關擁馬雪。楚驛伴人燈。客睡宵難着。鄕愁日轉增。防身有一劒。壯志尙飛騰。</text>
<title>宿定平。與主人洪國寶 錫龜 夜話。</title>,<text>塞路二千里。窮陰歲暮天。北關書記冷。南道主人賢。細話仍殘夜。相逢亦勝緣。幷州回望處。明日意茫然。</text>
<title>至日。踰咸關嶺。</title>,<text>節日政南至。羇人猶北歸。寒從塞外重。陽復地中微。雪嶺千盤度。滄溟一望圍。思鄕無限意。書信近來稀。</text>
<title>至日到洪原。次東岳韻。</title>,<text>七日新陽復。三冬積雪多。使君樽似海。書記劒生花。鯨浪兼天湧。郵程度嶺賖。未尋穿島勝。身倦任蹉跎。縣有穿島。</text>
<title>北靑府。敬次圃隱先生韻。</title>,<text>玉塞嫖姚幕。平臨海上開。文忠留傑句。襄烈奮雄材。暮燧依峯隱。陰雲度漠來。邊城多壯士。落日射鵰回。襄烈公李之蘭。起自本府。</text>
<title>城津堡</title>,<text>傍海城津堡。登臨亦快哉。鵶輪當曉浴。蜃市有時開。蕃將行軍禮。胡姬勸客杯。伊吾鳴劒志。更倚斬鯨臺。</text>
<title>臘日偶題</title>,<text>好是嘉平節。羇懷轉寂寥。窮陰連大漠。急景下危譙。歲律三邊暮。鄕書萬里遙。仍思洛城裏。梅動臘前條。</text>
<title>贈會寧諸生</title>,<text>苟有志于學。何嫌遐遠濱。陳良元楚産。趙德是潮人。化被遷鸎日。名彰附驥辰。嗟哉二三子。亦可勉諸身。</text>
<title>立春</title>,<text>斗柄移靑陸。疆封界黑河。春盤傳菜細。夜笛落梅多。節物思銀勝。朝班想玉珂。邊城逢此日。愁絶意如何。</text>
<title>除夕。與節度飮。曉枕口號。</title>,<text>爛醉愁州客。愁從醒後知。三韓地盡處。五夜歲除時。蠟燭憐殘跋。屠蘇憶舊巵。故鄕千里句。聊詠達夫詩。</text>
<title>戊申元日。夜坐書懷。</title>,<text>歲換未申曆。人留戊巳營。異鄕添一齒。孤舘坐三更。省掃違丘墓。團圓隔弟兄。羔兒數盞酒。斟酌此時情。</text>
<title>次節度犒士韻</title>,<text>雷動靈鼉皷。風翻赤羽旗。均分酒與胾。極樂士如貔。豫養知非偶。奇勳樹豈遲。休言書記拙。會待勒銘期。</text>
<title>從軍行。次東岳韻。</title>,<text>班超漢校尉。孫楚晉參軍。飮馬長城窟。提兵古塞雲。雕弓五石勁。寶劒七星文。絶勝尋章句。男兒要建勳。白羽騂弓客。經年出塞遊。驚沙迷虎帳。飛雪漲氊裘。獵罷陰山北。兵臨瀚海頭。何須語王朔。吾相且當侯。赤羽千夫膳。金鱗七札袍。塵隨鐵騅暗。箭逐皁鵰高。不斬名王首。寧知介子豪。書生膽如斗。誰贈呂虔刀。</text>
<title>自高嶺鎭向會寧</title>,<text>邊州寒食過。江水始流澌。鞍馬客將老。關山春較遲。夷村隔岸北。鄕國杳天涯。政想秦川柳。應垂裊娜絲。</text>
<title>發會寧。暮抵豐山堡。金生聲震。遠來同宿。曉起書贈。</title>,<text>疊嶂圍孤堡。殘笳報五更。歎吾長作客。憐爾遠隨行。夜雪疎疎下。風杉淅淅鳴。前期又何地。春晩鏡州城。</text>
<title>自富寧向玉連堡。馬上口號。</title>,<text>五里重踰嶺。千盤幾渡川。喬林多礙日。邃谷少看天。架木通厓逕。燒峯作粟田。夢魂難到處。玆役定前緣。</text>
