<title>與二三鄕人。訪甘露寺。</title>,<text>菊花臨水亞。楓葉滿山堆。甘露題名後。煙波短棹廻。</text>
<title>水月庵</title>,<text>山路窮時客杖輕。草庵開處佛燈明。芙蓉削立琉璃闊。斗覺胸襟水月淸。</text>
<title>白華庵</title>,<text>洞裏風煙盡日探。吟筇又擲白華庵。無端山雨催詩興。閒坐禪牕聽釋談。</text>
<title>金剛臺</title>,<text>金剛臺上鶴巢留。鶴去臺空今幾秋。僧言已近千年限。時見玄裳月下遊。</text>
<title>潭上泛紅葉</title>,<text>眞珠潭上點砂紅。疑是僊源句漏通。却恐隨波流洞外。漁舟逐水入山中。</text>
<title>船潭</title>,<text>船潭何事在金剛。有力潛移夜壑藏。觀像錫名思濟物。方知天竺秘慈航。</text>
<title>百川橋別老僧</title>,<text>秋風蠟屐共僧閒。遍踏金剛內外山。最是浮生難別處。百川橋下水潺潺。</text>
<title>入淸平山</title>,<text>新從萬瀑洞中還。又入淸平水石間。方覺此身多道氣。一年强半在僊山。</text>
<title>海印寺阻雨。戱贈陜川使君徐仲所 敬祖。</title>,<text>紅流洞裏住肩輿。身世依然羽化如。僧道使君多惠澤。再尋僊境雨隨車。</text>
<title>紅流洞。次石上韻。</title>,<text>藍輿緩步下重巒。盡日逍遙水石間。一片孤雲歸洞壑。應隨學士過前山。</text>
<title>武陵橋贈主倅</title>,<text>洞裏新成未雨龍。知君兼有濟川功。武陵太守曾如此。豈使樵夫去路窮。</text>
<title>次丹城宰崔擎天 柱岳 詠朝天曲韻</title>,<text>龍舟行處鳳笙吹。怪底僊槎座上移。一介朝天難再得。空留歌曲使人悲。</text>
<title>再疊示丹城宰</title>,<text>矗石城頭畵角吹。暮天雲影鏡中移。傷心忍泛南江月。巖上丹書字字悲。</text>
<title>章山</title>,<text>枯槁形容澤畔行。巴陵江接桂陽城。方憐賦鵩長沙舍。何事同隣有賈生。里中。有賈姓人。</text>
<title>次趙子直 相愚</title>,<text>獨閉江關雪滿山。新陽反復二儀間。箇中忽得東岡信。却喜天人捴一般。</text>
<title>奉次赤谷金丈 益廉○二首</title>,<text>湖海優游伯仲間。鴒原一樂兩衰顔。對床佳約今虗負。風雨前宵憶舊山。香山居士最風流。楊柳雙枝貯石樓。爲送三春開小閤。同携九老羽觴浮。</text>
<title>別季氏 三首</title>,<text>行吟澤畔又長歌。十里西湖動遠波。最是別來腸斷處。住龍山下夕陽多。昨夜東風度海來。滿山花木一時開。陰崖獨有經霜草。窮谷何時雨露回。前夜分明近玉階。九重春色五雲佳。曉來一罷莊生夢。依舊行吟楚水涯。</text>
<title>次李生 瑞英</title>,<text>讀易談玄亦已癡。簷前細雨坐忘時。今君欲解生生意。須見靑梅子滿枝。</text>
<title>重陽翌日。李生 瑞英，震英。持酒來覲其家庭。月下相訪。對酌口號。</title>,<text>幽人帶月訪隣扉。白酒新醲紫蟹肥。杖屨班荊環坐處。聯翩重有二班衣。</text>
<title>謝蔡生贈玄鶴</title>,<text>整襟危坐詠離騷。十月嚴風正怒號。羽客忽携玄鶴至。怳如蘇子遇臨臯。</text>
<title>以冬雷之警。疏决罪籍。得蒙放釋之恩。敬次季氏韻。</title>,<text>明時濟濟集羣龍。雷怒如何殷大冬。或恐陰崖枯草死。皇天雨露四方濃。</text>
<title>蒙放三日。赦書不至。次正明韻。</title>,<text>雨露風霜各有時。冬雷還作聖恩滋。雲間五色飛鳴鵲。來到湘江敢恨遲。</text>
<title>王大妃殿春帖子 丁未</title>,<text>玉琯灰初動。瑤墀日漸長。和風回紫籞。佳氣已靑陽。殿閣催春帖。宸闈奉壽觴。含飴延慶福。邦運屬其昌。</text>
<title>大殿春帖子 戊申</title>,<text>禁林寒欲盡。春意雪邊來。遍揭千門帖。催飛六琯灰。金壺宮漏永。玉殿講筵開。燕賀呼嵩處。香濃萬壽杯。</text>
<title>驪陽府院君閔公 維重 子婦挽</title>,<text>草草人間世。蘧蘧夢裏遊。忍看崑玉葬。猶幸掌珠留。丹旐悲風咽。香閨曉月愁。九原重有感。不見漢長秋。</text>
<title>沈衿川 之治 挽</title>,<text>有才竟無命。天意漠難詢。白璧遭三刖。靑雲付貳身。哀旌隨逝水。神劒會延津。泉下含餘恨。堂留鶴髮親。</text>
<title>李參奉 志道 挽</title>,<text>忽得家兄報。知君昨夜亡。居然醒醉裏。益覺死生忙。壽過聞官政。班纔拜寢郞。重泉無限恨。鶴髮在高堂。</text>
<title>金眞寶 世弼 挽</title>,<text>同隣又同學。契誼自髫垂。蓮榜名聲早。桐鄕惠澤遺。士安終抱病。伯道更無兒。薤露凄仍斷。春天鴈影悲。</text>
<title>李正字 國芳 慈堂挽</title>,<text>玉樹登龍日。庭闈舞彩時。賓筵聞截髮。壼範頌齊眉。不盡崩城痛。旋催合劒期。暮春江上路。風引薤歌悲。</text>
<title>明聖王大妃挽 三首</title>,<text>俔妹升坤極。思齊配紫宸。風行二南化。血灑九疑廵。密贊除羣枉。旁招引舊臣。女中堯舜聖。爭頌宋宣仁。武帳虗中禁。遺書降十行。容衣俱在笥。象設又同崗。省禮思從儉。憂民視若傷。遂令窮谷遠。號泣妣如喪。共喜王無疾。俄驚武帳空。璿霄移月御。黼翣別秋宮。補石神功遠。因山祭祀同。羣臣相向哭。雷動禁城東。</text>
<title>送趙祥甫 儀徵 赴湖南幕</title>,<text>自許鳴陽鳳。翻爲入幕賓。地窮溫祚界。天接漢拏津。草檄轅門靜。裁詩樂府新。須將倚樓詠。頻寄杏湖濱。</text>
<title>泛虗亭。次聯句韻。五首</title>,<text>自從相別後。誰與共啣杯。景物時千變。離腸日九回。歸鴻雲際遠。征馬雪中催。賴有寒梅樹。遙分一朶來。境僻頻垂釣。天寒數擧杯。海鷗容易下。霜鴈等閑回。物色終無競。年光半是催。欲知消長意。看取一陽來。方看王湛易。忽接阮咸杯。天地風威冷。盤筵暖氣回。浮生斯可樂。行色一何催。終老煙波裏。功名付倘來。擬待寒梅樹。將傾綠蟻杯。虗舟纔獨泛。健步又空回。歲晏江湖遠。花開日夜催。明朝帆影裏。宜揷一枝來。瑞雪深盈尺。乾坤酹一杯。園疑司馬至。棹似子猷回。滿樹梨花發。隨風柳絮催。寒江宜獨釣。何用灞橋來。</text>
<title>次尹生 志聖</title>,<text>屠釣風期遠。龍蛇已蟄身。宦情雲外散。詩意雪中新。問業勤吾子。爲師媿古人。三冬文史足。努力此江濱。</text>
<title>再疊</title>,<text>聖門親授旨。綱領本修身。篤學宜時習。躬行在日新。傳心堯以是。回首舜何人。濂洛羣賢出。淵源洙泗濱。</text>
<title>家兒以新字詠其兄弟。以及姪子。走次六首。</title>,<text>移家南渡後。久作未歸身。生理年來拙。離情歲暮新。近聞男學語。復道女從人。何日還鄕里。團圓寂寞濱。右詠第一徵獻不但宗傳重。將期道殉身。家庭聞禮早。塲屋綴文新。豈意先憂士。猶爲獨善人。天心庸玉汝。努力講河濱。右詠第二徵殷自期三語掾。今作二毛身。壯志窮猶固。奇圖老益新。聖朝頻選士。何日可治人。問舍求田計。重尋紫海濱。右詠第三徵遠嗟余無後嗣。以爾繼吾身。道德期深造。名聲忌太新。恐爲輕薄子。毋好議論人。所以文淵老。貽書浪泊濱。右詠第四徵五仲氏嗟無命。靑氊寄貳身。讀書文自足。爲善慶應新。已覺非由外。何憂不及人。必求詞賦進。宜學楚江濱。右詠第五徵奎吾宗少孫子。科慶已隨身。門黨恩榮洽。宮壺雨露新。冲年俱兩試。今世不多人。好運垂天翼。扶搖北海濱。右詠宗孫正明</text>
<title>重興月夜。示同席。季氏新有湖邑之命。不日當辭朝。</title>,<text>三角山中會。時維九月秋。一家團聚樂。千里別離愁。夜靜灘聲大。雲深樹影幽。風光無限好。聊付錦囊收。</text>
<title>奉呈季氏黃澗之行</title>,<text>本自窮經史。將期道澤施。那知黃澗縣。始及白鬚時。分手城隅恨。折腰里少悲。惟思芻牧義。努力亂繩治。</text>
<title>沈安東 楫 挽</title>,<text>聖朝求字牧。夫子合登庸。政化扶風尹。治聲渤海龔。竟遭鞶帶褫。終隔皁囊封。不遇容何病。庭看積慶鍾。</text>
<title>次質夫端陽感懷詩</title>,<text>覽爾端陽作。開懷寂寞中。詞鋒劘屈賈。聲韻叶商宮。展處飛瓊屑。吟來濯火烘。偏憐江海客。白髮照靑銅。</text>
<title>次家兒及正明與金生 時佐 泛月韻</title>,<text>暮年漁釣樂。勉爾繼箕弓。幽處生涯足。閒居世念空。興酣南浦月。夢引北牕風。詠罷滄浪曲。何人識此翁。</text>
<title>李政丞 尙眞 挽 二首</title>,<text>世仰三尊達。公膺五福殷。匪躬思謇謇。憂國愛元元。用舍行藏際。安危理亂分。不淫兼不屈。今日幾人存。正色當朝日。危言下令初。不忘踰嶺海。猶許返田廬。素節窮彌固。丹心老未除。忽聞髽蜀婦。無望更茅茹。</text>
<title>冬暖</title>,<text>節近陽生日。隆冬倍覺暄。遠山看藹藹。流水復源源。湖海蛟龍蟄。沙洲鴈喧。江南歸路遠。投宿暮雲村。</text>
<title>庚申秋。余自南郡承召上來。叔氏自唐津枉轡來迎。穩做郵亭一日之歡。今日居停。又是當日所寓之家。追念前事。愴然志感。</title>,<text>憶曾承召日。馹騎此淹留。經幄寧裨衮。風塵但弊裘。退休恩浹骨。衰落雪盈頭。重到前遊地。孤燈感百愁。</text>
<title>發深川</title>,<text>客程深水北。歸興冷泉西。馬蹴風前雪。人衝雨後泥。官梅魂欲動。嶺樹眼還迷。叱馭催行處。寒天落日低。</text>
<title>次正明</title>,<text>落日尋孤店。江邊有老翁。中心無好意。末路少淳風。偃蹇窮山裏。蒼茫暮靄中。所如多白眼。身世步兵同。</text>
<title>曉發</title>,<text>尋村經半夜。催駕又南歸。獵獵晨風大。依依曉逕微。宿雲開遠野。飛雪撲征衣。何日官梅下。重交棣萼輝。</text>
<title>李通川 星齡 挽</title>,<text>契誼仍三世。交情幾十春。澤宮曾並袂。湖邑更同隣。大手終無賴。高才恨莫伸。謝庭留寶樹。餘慶日應新。</text>
<title>李礪山 聖麟 挽</title>,<text>痛飮成都酒。高吟靖節辭。澤留虞縣柳。榮動謝家芝。病谻回庚日。神傷別子時。聖朝推孝理。雷雨趁襄期。</text>
<title>尹參判 飛卿 挽</title>,<text>曾赴元朝會。聞君昨日亡。班行誰不悼。世誼最堪傷。仁得中身壽。官登左侍郞。生平無限慟。臨暮斷猿腸。</text>
<title>勸稼亭。次竹所金公 光煜 韻。</title>,<text>勸稼亭中詠。偏能起後生。好登諸葛隴。甘作有莘耕。野接秋雲晩。畦連遠水橫。主翁今不在。懷舊恨難平。</text>
<title>歸路口號</title>,<text>獵罷濠梁上。聯鞭返舊廬。醉隨知道馬。詩就在橋驢。野色黃雲滿。天光碧水虗。登臨幽興足。催盡玉壺餘。</text>
<title>次最良 六首</title>,<text>翩翩九月雪。驚却逝川流。密灑琴書冷。斜侵鬢髮秋。隨風飄海口。帶雨上樓頭。携酒登臨處。幽人更攬裘。天地機緘動。江湖歲月流。梁園催賦雪。宋玉獨悲秋。少小誇爲韻。衰遲恨滿頭。平生行夏志。今日又冬裘。小堂多勝景。之子亦風流。自我開三逕。從渠度幾秋。煮花春澗畔。垂釣暮江頭。高會嗟難赴。携來更典裘。流光同逝水。秋盡又迎冬。天地回顓帝。宮商叶應鍾。園收霜後栗。庭對歲寒松。早起憑前檻。江天雪意濃。古人多篤學。文史在三冬。廬岳曾携笈。同安早聽鍾。琢磨思綠竹。孤直取寒松。諸子成章日。相看道氣濃。高卧江湖上。于今十見冬。莫嘆違禁闥。猶得聽樓鍾。洛北橋邊水。終南望裏松。偏憐鷗鷺性。煙雨夢方濃。</text>
<title>聞有淸州之命。漫詠。</title>,<text>忽奉中書誥。分符上黨城。幾年仍浪跡。今日又功名。刺史三刀夢。人生五馬榮。非無裂荷意。其奈白鷗盟。</text>
<title>次家兒韻 三首</title>,<text>久居湖上宅。頻見浪頭泡。世事同蛙闘。時謨付鳥咬。中年辭爵祿。晩計在書巢。懶惰仍成癖。由來萬事拋。擧世爭名利。浮榮等幻泡。性偏宜靜散。地僻遠哇咬。好遯辭新命。懷居戀故巢。緣詩多苦思。從此且相拋。要津多駭浪。宦海起浮泡。夢斷重茵坐。心甘苦菜咬。樓亭連棣萼。棟宇易橧巢。爭唱兒郞偉。脩樑不日拋。</text>
<title>金仲輔初度席上。次家兒韻。</title>,<text>勝日村中會。華筵雪裏開。酒添南極壽。歌詠北山萊。暖意生春酌。氷魂動臘梅。暮江雲月白。鴻鴈影聯回。</text>
<title>次守庵 二首</title>,<text>野處無人問。幽懷賴子安。詩聲傳白雪。琴曲奏高山。風雨三更急。田園一畆寬。昔年趨走地。時入夢中還。興倒三杯逸。眠高一枕安。檻前氷滿壑。牕外雪盈山。正合襟期瑩。方知眼界寬。忽看回棹客。疑自剡溪還。</text>
<title>初度日</title>,<text>孤露逢今日。偏深孺子悲。昊天恩罔極。風樹痛無涯。未報劬勞我。何安宴樂爲。鴒原團會處。相對淚空垂。</text>
<title>曉發瑞雲驛</title>,<text>瑞雲催曉駕。朝日過前阿。細路行人少。平沙落鴈多。乘軒開露網。躍馬動鳴珂。勝地方知險。山高水有波。</text>
<title>朗吟</title>,<text>古木藏天籟。寒花送晩香。朗吟紅樹裏。遙指白雲鄕。水落灘逾急。山回路更長。此行如有問。休道向金剛。</text>
<title>金幱窟</title>,<text>早入金幱窟。煙波短棹停。宿雲開翠壁。朝日照滄溟。彷彿登僊榻。依俙見佛形。瓊瑤光瀾漫。何事又丹靑。</text>
<title>走次最良</title>,<text>流涕辭丹禁。徐驅五馬歸。白鷗驚皁盖。朱紱換荷衣。嶺外三年別。人間萬事違。擧杯相屬處。離恨滿江扉。</text>
<title>最良携酒來訪。卽席走次。五首</title>,<text>伐木兼棠棣。登臺正望鄕。舟車宜並進。道路肯嫌長。旨酒看盈盎。嘉肴對滿床。濠梁他日會。携手更稱觴。鴒原相別後。歸卧瘴雲鄕。多病知寒早。少眠覺夜長。風聲掀草屋。雨脚滿筐床。被薄凉如水。呼兒更擧觴。泛虗亭上老。何事滯蠻鄕。湖海樓臺遠。江潭道路長。宿雲濃滿地。新月影侵床。永夜凉如水。無人勸酒觴。時宰思投裔。聖君許望鄕。身隨田社近。恩入海天長。世路同睽鬼。官災類剝床。杜門荒野外。誰與共啣觴。老作匏瓜繫。幽囚在此鄕。地從三宅近。天限一江長。問字孫攤冊。迎醫婦卧床。關心多少事。且覆掌中觴。</text>
<title>席上口號 三首</title>,<text>早知魚有樂。携客訪晴湖。原上鴻聯影。樽前鳳引雛。落霞迷遠渚。斜日下平蕪。誰謂行吟地。重逢舊酒徒。此遊非取樂。携酒慰行吟。人自江南北。魚從水淺深。悠悠朋友恨。脉脉弟兄心。罷釣歸來處。寒天古木森。直道逢三黜。歸心在五湖。賈生傷鵩鳥。莊叟戱鵷雛。雲樹重仍隔。田園久已蕪。聖朝多雨露。何日解還徒。</text>
<title>萬日寺</title>,<text>萬日寺安在。遺墟傍翠微。宿雲棲古塔。喬木翳殘暉。境僻僧來少。臺虗客到稀。猶餘舊花雨。寥落灑人衣。</text>
<title>季氏與最良。涉氷船。携酒來臨。走筆以謝。二首</title>,<text>河水氷將合。江天雪欲零。暮潮人競渡。荒野馬遲行。非爲山陰興。偏憐澤畔醒。那知初度夜。聯枕桂陽城。野店寒風急。賓筵湛露零。正思終永夕。何意遽催行。湖海誰同飮。湘潭不願醒。可憐酬唱地。唯有五言城。</text>
<title>次質夫父子韻 二首</title>,<text>歲暮湘江岸。天寒月正彎。山高疑桂嶺。雪擁似藍關。忽唱瓊琚報。如遊父子間。最憐琴字詠。難禁淚重潸。異地窮冬恨。孤燈半夜情。三江千里遠。一札萬金輕。痘並兒孫慶。詩同父子鳴。客居君莫問。風雪桂陽城。</text>
<title>至日</title>,<text>天行雷在地。山色雪堆鹽。氣逐飛灰動。愁隨弱線添。正逢南至節。爭獻北歸占。且覆杯中物。陶然卧短簷。</text>
<title>次李生 瑞英○二首</title>,<text>宿雪鳴茅宇。新春近藥欄。西山駸暮景。北地逗餘寒。佳客前宵至。淸詩此日看。慇懃相問處。棲息强移安。光陰代謝際。賓主去留時。天地回亨泰。湘潭惜別離。慇懃三訪意。珍重一篇詩。縱見靑陽逼。其如白髮垂。</text>
<title>再疊次李君弼 佑天○二首</title>,<text>地界分城邑。鄕隣共井欄。惟君憐放逐。與我問暄寒。厚意樽前露。深情句裏看。高堂新歲祝。萊子彩衣安。白首囚山日。靑陽逼歲時。惟期亨窞坎。誰復怨騷離。獨夜頻傾酒。佳辰自詠詩。小梅如有意。花發更垂垂。</text>
<title>壬申除夕</title>,<text>昨纔傳細菜。明又頌靈椒。令節連三日。殘年盡此宵。窮愁傾竹葉。生意上梅條。旅舘寒無寐。挑燈坐待朝。</text>
<title>癸酉元朝</title>,<text>瑞旭銷殘雪。祥風掃積陰。三元回令節。萬象動歡心。栢葉添隨酒。梅花着滿林。仁恩推四海。不復見行吟。</text>
<title>誰家</title>,<text>誰家花引蝶。幾處柳藏鶯。七七道人遠。三三天氣淸。欲尋蘭若路。期會桂陽城。點檢遊山具。奈無一笛聲。</text>
<title>嚴 縉 慈堂挽</title>,<text>少小因姻黨。恭聞婦德全。蘋蘩稱孝思。詩禮頌閨賢。早歲崩城痛。新阡合劒緣。謝庭留寶樹。餘慶定應綿。</text>
<title>重移次舍</title>,<text>一瞥經新歲。三遷返舊軒。壁留氷凍迹。簷帶火燒痕。暗室工夫大。卑宮德業尊。人心操舍異。疢疾戒恒存。</text>
<title>再疊軒字。和季氏。</title>,<text>買山成小築。槐影滿高軒。天地春無迹。江湖月有痕。家居貧不病。鄕黨齒爲尊。棣萼交輝處。郊扉晩計存。</text>
<title>昨日 桂陽山。一名安南。寺中。只有二衲。</title>,<text>昨日安南醉。携筇絶頂登。浮生知亦客。勝賞恨無朋。海色迷三島。山名問二僧。至今花雨夢。猶在古庵燈。</text>
<title>講學</title>,<text>講學思窮本。開蒙敎折枝。寧爲江上客。肯屈里中兒。種麥耕殘隴。栽葵護短籬。風前楊柳曲。知是牧童吹。</text>
<title>寄題李生汝聖 希顔 江亭</title>,<text>遠在西湖上。遙瞻北斗尊。潮嬴聲吼檻。嶽倒影侵軒。畵角隣江縣。漁簑傍水門。扁舟何日會。煙雨共琴樽。</text>
<title>落拓</title>,<text>落拓身方健。覊窮意自高。乘風登桂嶺。帶月步蘭臯。勝賞宜淸景。豪情在濁醪。人生行樂耳。暇日極遊遨。</text>
