<title>次韻崔相國娛賓亭</title>,<text>▦山▦▦▦▦亭。松▦寒▦獨也靑。▦▦月▦▦▦▦。▦▦▦▦▦忘形。草塘殘夢驚新句。▦▦▦▦▦▦▦。▦問▦歡何處在。賓來只▦▦▦▦。</text>
<title>▦▦▦▦▦▦▦▦▦▦▦▦</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦老▦▦▦▦</text>
<title>▦▦▦▦▦▦▦▦▦題</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦</text>
<title>▦▦▦▦</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦幾飄▦</text>
<title>▦▦▦▦▦▦▦▦▦▦▦▦▦天▦▦▦▦▦▦▦▦▦▦</title>,<text>霜▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦寒▦▦▦▦▦▦▦▦▦▦天▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦聖▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦一▦▦</text>
<title>次▦▦▦▦▦▦▦</title>,<text>多▦讀書古▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦何處▦▦▦</text>
<title>▦堂兄尙書▦▦▦▦▦▦▦</title>,<text>瘠馬▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦畢▦▦▦▦</text>
<title>▦遊興天寺。▦▦▦▦▦。</title>,<text>▦深難覓路。梯迥恐憑虛。白石▦▦▦。碧樓驚蜃虛。牛閑堤草遠。鷺去野雲舒。社叟詩堪詠。溪山畵不如。</text>
<title>追和先人百合花呈崔承制。幷序</title>,<text>昨日。司院洪承傳袖花牋一軸示予云。此乃聖考墨跡。其所書詩。則爾先君題趙承制家圖百合花之作也。驚喜奉閱。因知我先君厚承寵於先朝。不勝感慕。強依其韻和成一首。拜呈左右。伏望奏事餘暇。仰達天聰。則誠父子萬世一遇之榮幸也。猒隨群▦一時生。故殿餘春次第萠。隴上昔嫌多被賤。禁中今喜獨承榮。此花生於野▦▦入禁中。幸蒙宸賞。 風脣半卷▦痕膩。露臉初肥黑子明。苑譜▦宜題作狗。天敎百合換芳名。此花俗名狗▦。聖上賜百合之名。</text>
<title>次李翰林元胄醉題 六言</title>,<text>▦▦三盃綠潑。仙葩二朶紅▦。門外斜陽別路。▦▦▦北輪南。</text>
<title>▦▦▦▦▦▦▦ 三首</title>,<text>不覺▦▦過▦▦。一▦蓮影忽西移。返魂香▦尋無路。▦▦▦樓失舊期。▦▦三八下瑤池。步步金蓮緩▦移。何事一朝先▦▦。▦尋▦海伴安期。▦飛早學▦▦池。金石交心誓不移。今日▦▦難▦▦。伯牙徒自憶鍾期。</text>
<title>偶書興善寺上房</title>,<text>二▦寺前不白問。東國▦▦早▦▦。今來記得▦▦句。始覺空門氣味長。</text>
<title>和閔同院題金禪師房壁</title>,<text>數▦山光秋碧瘦。一叢楓色晩紅姸。▦將詩▦留佳客。及取黃花未落前。</text>
<title>冬夜會飮王輪寺西院。次李春卿韻。二首</title>,<text>隨處浮蹤亂不▦。一床風雨臥僧家。爲時悲早飄頭雪。入夜醒達落眼花。吟罷燈華棋上暗。談餘▦▦案前斜。箇中風物何煩問。數筆江山▦▦嘉。[落張][落張][落張][落張]</text>
<title>追和先君餞西京別留趙侍郞通</title>,<text>▦眞中自靜。▦▦外如癡。即此蕭條會。不宜離別隨。東都明月夜。西邑綠楊時。兩地三年夢。故人千▦▦。</text>
<title>西湖泛舟。到見佛寺。次諸賢韻。</title>,<text>▦▦一廻舡。層臺▦暮煙。磬搖雲外月。樓動水中天。妙說聞▦塵。仙遊見散錢。波濤今未恩。▦獨大平眠。</text>
<title>次韻寄東界營主李尙書實椿。二首</title>,<text>▦▦曺入白▦▦。▦▦▦▦▦一方。遙想轉籌▦▦▦。▦▦▦▦▦▦當。戰勝殊功重太山。人言黃▦拜高▦。一朝掃▦胡塵後。花下▦▦▦▦▦。▦▦</text>
<title>次韻▦▦▦贈柳枝 二首</title>,<text>▦▦王公愁。滿庭▦線垂。忍借佳人手。臨行折一枝。聞導關東路。高低十里垂。此時歌一曲。髣髴唱楊枝。</text>
<title>送▦照上人之漢山</title>,<text>歌罷陽關雨浥塵。杖頭行色曉來新。安君▦我▦當說。一榻淸風夢故人。</text>
<title>寄題安陽住華亭次李郞中韻</title>,<text>居民誰▦住華名。眞箇當年短▦亭。▦▦中▦▦▦▦▦ ▦水▦▦▦尺▦。壑松煙動十▦▦。遊人▦▦知▦▦。▦▦求鵝訝寫經。奉詔何時尋▦地。▦▦▦▦暫蘇醒。</text>
<title>冬十月二十有一日會飮西明房▦李處士韻醉題 二首 走筆</title>,<text>日尋簫寺旋忘家。樽酒▦將▦九霞。▦▦▦▦▦▦品。窓前六出雪分花。辭來新句▦▦▦。▦▦▦題覓碧紗。此日歡娛天所▦。揮▦▦▦▦▦▦。信步閑尋覺帝家。好將僧侶臥煙霞。▦▦▦▦▦生暈。吟苦樽前筆吐花。謝屐登山何▦▦。▦▦酒不須紗。從今莫嘆流年疾。已遣仙丹▦九▦。</text>
<title>二十二日餞金▦▦▦下山業有三首座兩三重▦饑因有是作</title>,<text>三▦座兩三重不▦▦聲▦▦東何待▦▦施須今▦將▦夜倒千鍾</text>
<title>過龍泉驛 三首</title>,<text>洞天行數里。形勢▦▦▦。草茂藏珠岸。虹▦▦▦▦。人▦▦柳折。鳥愛落花含。誤入神仙境。殊▦▦▦▦。欲去人心遠。驚▦罷黑▦。出門▦日▦。涉水喜風恬。樹色含煙重。溪聲激石▦。黃昏誰▦▦。▦碧淡虛▦。晨▦▦涉道送▦。野草山花露▦▦。南望▦勞恩▦▦。北行身▦逼龍▦。▦▦▦▦▦▦▦。輕▦飄風一▦▦。▦力▦民民不識。春耕秋▦謝坤乾。</text>
<title>蘇復西海日次韻谷城使孫舍人得之所贈 二首</title>,<text>▦承綸命▦孤郵。德乏蘇民有隱憂。昨被▦▦▦戰馬。今▦▦▦▦▦中。村家盡▦餘灰▦。公▦▦▦落▦▦。塞外胡▦無討▦。路傍遺骨有誰▦。▦▦▦客尋函谷。山險▦人▦不周。父老未知王事▦。少年緣▦書▦頭。一▦▦衣▦▦▦。不煩▦▦已忘憂。飛▦谷口山▦▦。▦臥▦頭水▦▦。絶▦松風▦▦急。短▦▦▦▦▦▦。洞雲▦路朝▦▦。野大連山盡不▦。笛▦▦▦▦▦▦。▦寒▦見夢中周。▦▦惜▦▦▦▦京。▦▦▦▦▦▦。</text>
<title>到▦▦▦▦▦忽覩先人所題三首因次其韻</title>,<text>▦栢庭▦一▦▦。危漢▦尺▦▦▦。▦▦▦▦▦▦▦。▦▦▦▦▦▦人。▦▦▦▦殘月曉。▦▦▦▦▦花春。誰▦▦▦▦▦歲。水水山山▦▦▦。登山▦▦▦。白日忽昇天。櫬竹心非▦。▦▦骨欲仙。▦▦▦靜室。▦▦▦▦▦。黃▦碑文▦。誰▦妙手▦。開西▦戰地。▦▦▦▦人。蔬▦充飢腹。煙霞養瘦▦。吟風誇草聖。▦▦▦▦神。一讀先翁句。紗▦更拂塵。</text>
<title>次韻諸公題慈悲嶺樓</title>,<text>俯視乾坤一切空。孃生▦眼卽神通。倚欄午夜▦山月。卷箔晴天萬里風。迥起樓臺應鬼設。▦▦嵓石不人工。窠中未曉鍾先動。始信鷄前日出東。</text>
<title>永膺公舍。次崔按部詩韻。</title>,<text>▦▦陰深駐鈿車。賞来風物一何▦。▦連雲影心無累。窓近山光眼不枯。▦▦今朝▦黑綬。玉堂何日▦流蘇。有御室故云 豊年瑞應憑誰驗。耕▦▦龍露地趨。南有池龍耕氷▦表▦▦</text>
<title>次韻答西海李按部 三首</title>,<text>訪來春色上肩分。別去愁煙▦洞門。品坐淸▦還記否。笑談三日會拪雲。醉後龍虵筆下分。而▦陰德▦于門。到頭題詠詩多態。髣髴春空藹謁雲。筆短未知書八分。感公容我上龍門。▦民二▦功雖輙。今日▦看稼若雲。</text>
<title>到續命寺。忽覩壁上先人所題數首。謹次其韻。留于板尾。</title>,<text>樓臺縹渺倚天關。對屋蕭條數朶山。雲影拂▦▦道眼。水光侵榻▦詩▦。▦来▦▦歌松下。▦▦名茶煎竹間。應是奇▦曾過此。滿山嵓石▦斑斑。昔年嚴文出陽關。無訪高僧過此山。月榻依俙垂雪鬢。風窓髣髴對氷顔。未追羽盖飄雲外。空看紗籠掛壁間。今日九原如可作。何妨再着舞衣斑。</text>
<title>因齋事。到正安寺有作。</title>,<text>日晩尋僧遠。林深覓路難。定肩高聳岳。談舌廣翻瀾。藥▦朝猶暖。▦▦夏更寒。視▦▦▦牘。瀝血又刳䏏。</text>
<title>次韻答堂頭禪老 二首</title>,<text>鹿馴窓外雲無事。▦▦▦前月有期。來往如▦師莫猒。不妨禪榻鬢▦垂。溪響初聞舌更長。嵓花幾見鳥▦香。這間自▦安排處。半夜西來大似忙。</text>
<title>次韻車同院題殷栗資福寺</title>,<text>旅▦偏▦一▦▦。▦兒何害喚鶯鶯。對軒初遣茶▦▦。▦▦從▦酒令行。花泛虎溪迷去路。月明▦▦放▦▦。▦▦未得陰詩▦。▦愧年來大▦生。</text>
<title>次韻題栖雲寺幽澗亭</title>,<text>入雲▦問▦亭長。泛出殘花帶異香。世上塵▦終可▦。▦▦▦▦▦▦▦。</text>
<title>又書▦▦▦▦</title>,<text>小軒▦▦▦▦▦。▦▦山蔬▦著香。何幸謙▦▦▦▦。▦▦▦▦▦▦▦。</text>
<title>次韻▦▦▦題浮山寺</title>,<text>訪▦滋味▦▦▦。馬事從他曰更加。遊鬢愧飄憂國雪。注▦▦▦對賓霞。▦▦飽喫飢來飯。▦▦漢▦▦後茶。一鉢生涯隨分足。是山何處不爲家。</text>
<title>次金郊館詩韻</title>,<text>山山與水水。萬萬復千千。征斾拂雲外。▦▦▦柳邊。風塵曾慠世。挑▦可尋仙。迎送▦▦急。歸来似夢然。</text>
<title>答金將軍所贈</title>,<text>酒聖何妨到處中。流年迅若百川東。天涯遠▦橫愁碧。林外殘暉曳慘紅。雲月高遊渾似夢。干戈往事▦成空。丈夫出▦行何晨。一▦▦▦虎血▦。時公出▦北方</text>
<title>次韻寄車同院</title>,<text>我愛車先生。多才蕭灑又風流。超然自有▦▦▦。關西勝地好與墨君相優遊。請君▦▦▦▦。天敎風月屬吾儔。世事何▦念。功▦▦▦利▦蠅頭。催鞭見訪莫辭勞。煙雲好處▦持公遲留。</text>
<title>車同院手掃風竹遺予。以一絶謝之。</title>,<text>政事堂深憶舊叢。貞姿宛見紙▦中。▦▦三界除勞熱。盡出瀟湘一葉風。</text>
<title>次韻霞居堂頭所贈</title>,<text>[落張][落張][落張][落張]如絲。▦裏元無物。箱中只有詩。靜思身世事不覺淚雙垂</text>
<title>到興義驛有作</title>,<text>倦投郵舍▦歸鞍。盡日遲留獨何欄。槐柳陰陰阡陌遠。輪蹄擾擾▦途寬。瑤華漂渺煙生島。王韻琤琮水下灘。未得居中臣子愧。度開能不涕沈瀾。</text>
<title>解歌</title>,<text>別後思君淚。盈衾已作淵。欲行行屢誤。將語語難▦。念此誰爲爾。非君孰使然。阿誰徑催喚。借見未魂前。</text>
<title>題古阜縣客舍 幷序</title>,<text>貞祐▦年壬午年有二日。途經是邑。有吾▦綠湖先生▦▦勸留。綢繆話舊。忽慨然歎曰。比邑▦之剌史官也。風物不減於他州。▦▦年年華使往返於此者多矣。奈何於樓館軒壁間。無一首詩。此乃邑中父老之所共恨也。請公不吝一句。留于板面。以雪林泉之恥。吾非公之望。將誰望焉。僕於先生。▦仰▦深。重違其懇。仍用先生所▦之韻。強成荒蕪一首。題于壁工。瀛州形勝地。半日駐征▦。▦▦短煙暗。鷺村疎雨殘。倚欄花氣暖。▦▦竹聲寒。早▦▦▦紱。隨君理針竿。</text>
<title>次韻南景福寺留題▦▦▦</title>,<text>▦▦飛一室。向此大乎▦。雲重朝▦澁。風泠▦▦凉。雪留侵戶▦。時有春雪 秋早滿階篁。數日隨僧[落張][落張][落張][落張][落張][落張][落張][落張]▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦</text>
<title>次韻▦▦▦▦▦▦</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦</text>
<title>次韻▦▦▦▦▦▦▦▦▦▦</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦</text>
<title>▦▦▦▦▦▦▦▦▦▦▦▦▦▦</title>,<text>▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦</text>
<title>▦▦▦▦▦▦▦▦</title>,<text>▦▦嵓深▦▦重。夜來▦▦▦▦龍。▦眼窓▦▦▦▦。人▦▦▦▦▦▦。▦▦▦呼看明月湧。▦▦▦▦碧苔封。因知▦▦尤淸勝。▦得吾師不▦▦。▦▦一▦▦陰深。▦▦▦▦▦▦▦▦。▦洞烟▦▦▦▦。▦▦▦▦己無心。雲▦往事參如昨。▦▦▦▦▦▦▦。▦▦▦▦▦▦▦▦。却▦生▦▦▦▦。▦▦▦▦▦山千古▦。▦樹四時靑。▦▦▦開▦。床▦▦▦▦。▦▦▦▦▦。▦▦▦▦▦▦。▦▦▦多味。幽▦▦▦▦。</text>
<title>▦▦▦▦▦▦▦▦▦▦▦▦▦ 二首</title>,<text>朝出▦▦山下▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦。▦▦▦▦▦▦▦。▦▦▦▦▦▦▦▦▦。▦▦▦▦▦▦▦▦▦。▦▦▦▦▦▦▦。▦聲更與水聲長。我来解帶閑欹杖。半日▦▦▦一床。</text>
<title>次韻題咸陽壁上</title>,<text>▦▦一外勝凉州。醉向花前好暗遊。▦詞▦歌▦月▦。笛聲人倚夕陽樓。▦軒野色▦▦▦。▦▦風光▦不流。莫愧歸程春雨急。▦心▦▦▦▦留。</text>
<title>歷謁白月寺堂頭。次韻▦▦▦。二首</title>,<text>▦▦▦兩聖。於此卜芳隣。白月山▦▦。▦▦▦▦新。▦▦▦訪道。一旦共歸眞。可惜▦年▦。▦▦▦▦人。行行▦▦禮金人。滿壑雲煙夜▦▦。踏▦蒼苔尋異跡。靑松側畔被僧嗔。</text>
<title>次韻題伽倻寺</title>,<text>▦▦軒窓省▦綠。檀▦無▦不▦▦。▦▦▦▦問前事。僧言靈蹤在塵篇。▦二▦▦▦何處。獵客願意感諸▦。▦▦▦▦▦▦▦▦▦▦▦▦▦▦▦司▦▦▦▦▦▦ ▦▦▦言成不▦。憑雲搨若登仙。▦壁▦▦▦▦艶。數月▦▦奪張▦。祝君餘外可繼吟。狂簡不知裁斐然</text>
<title>次韻仇知部曲留題</title>,<text>▦舍▦人載酒過。聞▦▦▦落銀河。江南到▦▦行樂。何用區區苦憶家。</text>
<title>宿邦先生草堂。次壁上韻。</title>,<text>▦▦歲序幾▦▦。野色秋來已着斑。漏月松▦▦▦暗。微風竹翠半庭閑。晴江碧遠寒鴉外。▦▦▦落雁間。明月東西分▦處。一盃多感▦於山。</text>
<title>邦先生餞至野外以詩贈別 二首</title>,<text>▦▦▦引去。江▦雁▦▦。欲別末能別。一盃▦一▦。▦香千里地。不遠訪君來。別▦邦▦▦。雨三▦▦▦。</text>
<title>次韻安君孝德贈會仙▦兒 二首</title>,<text>▦▦如蝶又如蜂。柳怨花愁夕照中。一日餘歡多日▦。翻思未若不相逢。誰知紅豆骨中思。摠是靑樓夢裏期。因憶江南花一朶。會仙亭山逞芳姿。</text>
<title>次韻長興府客舍留題</title>,<text>千里春風似我驅。江南此地足遊娛。一軒風月同詩叟。萬頃煙波問▦徒。別去柳枝誰贈客。賞来花艶信▦都。仙桃更愛紅如醉。摘取應先▦木奴。</text>
<title>次韻題拯淪寺</title>,<text>階前鬪雀靜中喧。滿畹香蔬養舊根。▦作拯淪知有稱。一憑▦榻滌塵痕。</text>
<title>次韻題五臺寺 三首</title>,<text>御扎題華榜。層臺聳翠巓。慈風三章地。法雨四花天。聖境輸檀▦。▦空締芥緣。勤勤更瞻仰。廣大自如蓮。幽栖山閴▦。道▦鶴飄然。暮聽三千偈。朝觀十二緣。竹聲風雨夜。松色雪霜天。賴有紗籠句。佳名壓八巓。▦年塵遂眞風▦。衆罪霜隨慧日消。若問吾家這介事。黃花翠竹兩蕭條。</text>
<title>次韻題穿堰寺</title>,<text>雲深水暗稱幽行。入夜從敎擁火城。嘯月澗援如許恨。罵花山鳥自呼名。沒絃琴瑟松鳴響。不雨雷霆梵動聲。▦具雖▦靈應速。吾今▦首又輸誠。</text>
<title>次韻題海印寺</title>,<text>石徑幽深鳥伴行。滿軒煙月放歡情。憧憧掩映溪涵影。鍾梵鏘洋谷答聲。坐欠洞雲生又滅。談餘籠燭暗還明。許多風物▦取拾。作記吾今愧李程。</text>
<title>次韻題鳳棲寺</title>,<text>滿院松杉似鄧林。枕寒方覺露華侵。茶煙已許烹圓玉。酒席何妨酌鬱金。萬壑淸流宜洗耳。一軒明月可傳心。此間道味誰▦遍。寶樹無風自妙音。</text>
<title>俠州南樓席上。贈別太守。</title>,<text>惜別重開宴。臨行一工樓。詩筵腸錦爛。伶席[落張][落張][落張][落張]無所動淨無緣</text>
<title>本淨</title>,<text>夢裏隨流與返流。覺時閑卧一如床。一如床上本來身。有底老病多悲凉。妄心所造大▦籍。幻化空身具足粧。虛妄虛妄亦虛妄。浮世千般事渺茫。</text>
<title>短歌</title>,<text>手裏扣摩蚤半生。仍遭九棒力應輕。起來擔取砂長鼓。三角營齋信步行。吾輩所唱無常歌者。是誰之作。懶庵居士演一爲三而唱之。杜撰禪和束三爲一以謝之。內外相資。殊途同歸者矣。益藏吾家曲子是無生。一唱能令萬病輕。多謝淨名成玉偈。泠泠千古許流行。</text>
<title>奉答 二首</title>,<text>落花嵓畔訪空生。流水聲中萬事輕。願沐餘冷除熱惱。禪河誰許借舡行。定骨年来大瘦生。片雲孤迹到頭輕。夜深一聽曹溪曲。始信嘶風木馬行。</text>
<title>吳先生見和。復次韻。二首</title>,<text>無常數曲悟浮生。聽罷方知病骨輕。一宿曹溪何處客。興來囉哩唱歌行。舊地凄凉百感生。滿朝朱紫一毫輕。誰知▦外安排處。好與先生任運行。</text>
<title>崔處士見和。復次韻。二首</title>,<text>向時心海惡風生。箇箇浮漚水上輕。莫道隨流難返▦。波頭亦有丈夫行。古寺▦房寄一生。經窓始覺衲衣輕。空門氣味▦▦取。江闊風舡載月行。</text>
<title>復次前韻。謹成三首。奉呈懶庵居士。</title>,<text>[落張][落張][落張][落張]</text>
