<title>贈萬德山白蓮社僧勝佑</title>,<text>萬德難磨地。白蓮無盡秋。長看法海上。明月滿虛舟。</text>
<title>思玄古</title>,<text>吾思食木衣薪世。無別無憂各得求。炎帝敎耕農始病。西陵開舘織方𢝲。官勤賦斂肥鷄鼠。民困絲麻被馬牛。富貴驕人從此出。至今長作聖君羞。</text>
<title>挽洪郞中內</title>,<text>主家閨範異凡門。宜室曾聞懿德存。珠墮忽沉驪穴彩。香銷未返桂宮魂。王孫長掩傷春泪。稚子能忘戀母言。看取大連顔色毁。也知慈愛一般恩。郞中有前室男。</text>
<title>同韓少尹遊玉紳洞 玉紳洞。在江都。</title>,<text>蒼松百丈轉淸陰。爽氣蕭森入翰林。騷客自耽仙境秘。世人那識洞門深。奇岩鬼擘開銀障。飛瀑天成響玉琴。流水高山非外物。與君同賞伯牙心。</text>
<title>久病遣悶</title>,<text>恩譴從來作廢癃。呻吟囚殺十年中。巫言邪鬼侵元氣。卜謂㐫星坐疾宮。遇釋皆云佛有力。問醫還道藥能功。從違取舍將焉定。淹速惟應聽上穹。</text>
<title>贈韓醫亨國</title>,<text>松都逢着白而長。志慮淸明技藝良。詩學四唐今沈約。藥無二價古韓康。閑酬黃牓堂前話。笑勸靑郊醉後觴。洛下未能拚勝會。病中還荷畀神方。</text>
<title>哀南宮生坽</title>,<text>茫茫神理儘堪疑。底事虛生才子爲。天上促成長吉記。人間未脫小連衰。門閭日暮添前淚。桃李春殘悴故枝。臥病經年遲一哭。曉風新月助深悲。</text>
<title>挽吳監司</title>,<text>去歲相逢喜雨堂。留歡連夜醉壺觴。自疑談笑猶懸耳。誰遣悲辛暗結膓。泉壤九重消息斷。湖山千里道路長。分曹永隔平生面。一曲哀詞淚萬行。</text>
<title>簡寄壺隱詞伯</title>,<text>江海風光爛不收。且將詩興付田疇。穿魚換酒誰家子。賣甕得䀋何處舟。已識鳳凰憔悴意。却從鴻鴈稻梁謀。勞歌欲唱無人和。書寄維楊乘鶴樓。</text>
<title>把酒謝杜康</title>,<text>病欲停盃簡吉良。無時無日不宜觴。柴桑忍頁秋花泛。河朔能忘夏日長。春色肻敎愁裡過。冬寒端合酒中藏。惟應閏月堪休飮。須挈壺公謝杜康。</text>
<title>別李少府歸上都</title>,<text>宮路迢迢接玉京。板輿東逐侍臣行。關人雨解從親好。卧轍心知愜衆氓。北極朝廷思直諫。西郊雲物報新晴。他年得意飛騰處。能記沙頭送別情。</text>
<title>次黃大諫韻</title>,<text>舊聞聲譽獨超羣。目擊風裁過舊聞。江海相逢嗟苦晩。壺觴拚會未窮曛。精通卦理斯爲貴。餘事文章豈足云。大器不應終小受。知將邃學輔吾君。元韻 大諫自號漫浪他鄕樂莫樂。異日聞所聞。會面猶朝暮。分携奈夕曛。十年書謾讀。千古事堪云。曾見包犧否。開門要待君。有一名宰過。稱某從事易學。詩意如此。</text>
<title>亂後答友問</title>,<text>上軆平安休問別。興言時事淚先流。君臣已屈難伸膝。宗社終包不雪羞。崇德卽加周統曆。朝鮮非復禹諸侯。惟堪盡醉忘深痛。忍對山河作楚囚。</text>
<title>曉吟回文 押四韻</title>,<text>驚魂客夢孤窓隔。早唱最鷄苦夜長。明月曉霜寒透壁。顥天秋氣爽侵牀。城殘過雨飛空碧。島小歸雲宿海洋。生目觸懷愁愴慽。艸堤烟靄暗蒼蒼。</text>
<title>自挽</title>,<text>間關巴蜀 明皇避胡地。 愁誰語。東望吳門 以東吳比東洛。 興渺然。魂去九江 京江不止九。 春艸外。夢歸三峽 三角是也。 暮帆前。甘貧厭就成都卜。平生不好卜。 飮酒休爲吏部眠。飮不▦盜。 萬里蓬萊如可到。欲將衰白問羣仙。</text>
<title>無題 二首</title>,<text>白日出東海。光輝照四方。和風動暘谷。瑞靄明扶桑。羣生各欣覩。百昌無夷傷。云胡朔方氣。掀簸紛騰驤。霜雹殺句尖。氷雪侵崑崗。見睍亦不消。當午猶方揚。羲和抱深憂。籌策還無良。陰虹又何事。助汝爲猖狂。我謂邪沴氣。終難勝太陽。何日卧茅茨。閑看春晝長。其二東野有良馬。胡爲顚且僵。鵜鶘飮長川。一夜虛石梁。問天獨何意。從敎陰道昌。羣動生天地。怙冒惟上皇。忍敎弱之肉。呑噬任豺狼。物情有固然。憐弱而凌強。人天本一理。玆說非端莊。我欲排雲霧。乘風游帝傍。恢張福善意。爲民丐恩光。九萬不可階。仰視但蒼蒼。</text>
<title>戱語紙帳</title>,<text>命汝戰隙風。風來善周防。休敎投點雪。勿許透微霜。窓裡吟詩客。殘年易受傷。汝能修汝職。吾亦免顚僵。有似微弱國。得靠柄臣良。汝不事汝事。吾病入膏盲。眞如國無人。莫禦外侮強。細大雖異體。物理巧相方。誰能當汝任。回首一霑裳。靠。音倚。</text>
<title>苦熱行</title>,<text>東皇謝政柄。守謙如縣丞。少昊與顓頊。微弱似邾鄫。咸遁大荒外。寂默無威稜。伊時炎帝氏。火德乃作興。旱魃張暴唐。祝融助驕騰。直欲爍乾坤。肎恤黎與烝。蒼烟起陰谷。烈焰生寒淩。六合烘爲窰。生類堪嗟矜。金烏爛欲死。玉免癡若凝。嚴威怯火鼠。毒氣消神螣。鳥獸竄深林。自疑親炰𦞪。昆虫翳密葉。不得飛薨薨。芝田憐喘鶴。竹院哀暍僧。祼壤欲離皮。北戶已忘繒。行旅糗粮。不敢帶囊滕。市人販粟米。不敢操斗升。獵夫捐彈丸。不敢理飛矰。陶公搏埴土。不敢制瓦㽅。宰相罷朝歸。流汗霑車鞃。將軍閱武還。露腹如射堋。舟子謝運柁。遊士休擔簦。春者不相杵。胥靡不相陾。人物盡困㾕。有若魚在罾。而我非楊粤。此酷那能勝。不耐加冠巾。寧堪束纏縢。猶嫌竹簟煖。矧能坐毾㲪。水閣薰難居。右床溫不凭。竹素停披閱。子墨閑傳謄。旬月廢梳櫛。頭髮任鬅鬙。淸風來北窓。惠我如良朋。些凉餐却盡。饕餮嫌寒𧕄。雷霆走火雲。虩虩殷丘陵。一雨慵不降。蛟龍亦可憎。夜臥患壁蝎。朝起困蒼蠅。居室若坐甑。古事想巢橧。臨風岳陽上。幾羡身姓滕。迎月竹樓中。空思王禹偁。謀淺腹熨局。計拙錦作棚。吾寧習胎息。直向大河馮。出沒恣淤泳。身同寒水菱。燥濕異所處。此事難可恒。吾將效列子。喚得冷風乘。周遊廣漠濱。快我心不憕。異術未暇學。虛無信難憑。願學河朔飮。鯨呑淥如澠。走入無何鄕。炰烋任狂僜。復恐旣醒後。趜生無功能。暫欲忘煩敲。甘眠枕色綾。得御周公遊。達曙撼不譍。神心不獲怡。如何能曲肱。何由入廬岳。披襟坐聖燈。落落陰長松。泠泠聽石砯。何由走北荒。逕尋白山登。朝餐太始雪。暮踏玄古氷。思浴王女盆。西嶽何崚嶒。思趍藐姑射。齊諧本無徵。我欲登瑤臺。于頭上上層。脫略人間世。俯看日月昇。追隨赤松子。服食常春藤。玄霜不易搗。甘露無由承。凡骨倘未蛻。羽人何時仍。我願生兩翼。遙望丹霄凌。排雲叩閶闔。翩然入凌兢。翺翔廣寒宮。鷦視天地鵬。徘佪月殿裡。以手捫玉繩。形軀難解化。九萬誰階陞。所願皆莫遂。烟火來塡膺。握火孰云苦。熱羹不足懲。豈若此薰爍。渾身遭炊蒸。寤寐懷鬱鬱。謾使煩憂增。十日燒九州。堯後聞未曾。再降湯之旱。彼蒼必不應。四時各平分。一絃難獨揯。盾日豈長酷。光陰屢環絙。秋至嚴霜下。天高夜氣澄。歲老陰沴作。雲頹雪翻崩。寒風驅暑氣。爽氣伸跛。吾身於此時。快若脫韝鷹。以玆思造化。天道見恢弘。先儒不畏暑。千載共嗟稱。</text>
<title>火城</title>,<text>有城有城非設險。不石不金地二生。成毁須臾不恒有。去就倐忽如神行。不去塞外千仞長。不向遼東萬里橫。金門之外玉道上。逶迤十里光輝呈。一陽佳節獻履韈。三朝會同鳴璜珩。是城於是自遠近。珂傘未到和鸞鳴。六百衛士分騈塡。半千樺焰相連縈。萬人爭觀盡加額。羣僚滅燭無譁聲。佳哉此城誰所築。不待經營頃刻成。旣欠玉帝靑雲號。亦異菜子不夜名。霞起殊非台嶺赤。飛文豈是吳城赬。但覺炙手手可熱。知是离宮無忌精。協和四行爾其職。變革百物爾其靈。宜爾能成一片郛。隨人夜行揚光明。借問城中居者誰。蕭曹魏丙難爲兄。斗南三星此其應。民之所瞻邦之楨。大臣不可以冥行。斯城遂設殊凡鄕。不顯其光復何加。大丈夫身吁亦榮。千雙趙壁莫與易。相公之城誰敢爭。噫噫此城雖信美。不戒城將生禍萌。俾此城作氷山消。俾此城爲玉燭淸。二者都在相公心。待漏壁上言甚京。相公相公愼所思。勉使城完毋使傾。不保民巖城不固。莫若衆心爲長城。</text>
<title>圖中劒化筑中鉛</title>,<text>燕丹腹裡一寸鐵。有氣直向秦雲射。自躍飛入大冶鑪。帝感精誠許變化。化作尺八七首劒。勇以爲鋩義爲欛。市門爰得委命人。擲蛙黃金非買價。一片心藏督亢圖。目下已無西戎覇。人謀天命奈不周。淬刃竟輸提夏。擿柱餘怒托阿誰。擊筑良工此其亞。能令雪鍔變潛鉛。越底中間重可借。矐目難攘脫臏灾。殿前兵威招未暇。人心本自捷孟勞。猛氣鬱結終須寫。氣從心動金石變。此理分明昧者訝。不化之中化者存。詩人作語非虗假。怨毒加人易招危。五步那能恃力詐。君不見此鐵又化滄海椎。博浪沙上驚車駕。</text>
<title>呈觀海老詞伯</title>,<text>天愛文章甚富貴。不輕以畀名利輩。畀則必先困其人。拂亂心性愁肝肺。人窮慮細入秋毫。然後使之鳴合喙。合喙之鳴動鬼神。五音六律含三昧。世無其耳亦何傷。有以自樂天地內。先生受才本不貧。子雲少作▦有悔。明時膴仕縱云美。達士見之均癰潰。天欲先生死不朽。奪彼榮華予窒礙。人間危辱備甞之。玄覽逖思無不逮。冥心忽覺衆妙門。眼前歷歷陰陽代。張說江山助淸麗。子美流離窮妙態。向使先生老要津。八斗那能假大塊。計較得失定誰優。淸者取舍知有在。先生莫恨失搖風。殷翼從他傳鳩背。一時雖遭瓦釜聒。千古騷壇鳴玉佩。却憶小子學迷方。灌耳先生片言誨。得窺藩垣見關鍵。霑丐餘華去榛穢。恒星本自受日光。太白終難與月配。欲從明師承印可。贄此荒詞聽進退。</text>
<title>奉別壺隱南侍郞西行</title>,<text>黑頭宰相文章伯。奉使直向天西去。三十年前說此行。榮觀壯遊皆豪擧。世事如今難重陳。人情不與疇昔侶。我不爲公賀精擇。亦不爲公愁羇旅。事有由外長才智。聊爲我公丁寧語。衣冠文物縱非古。城闕山河舊鍾簴。見之猶可壯心目。高才大筆追燕許。奸人賣國作監戒。感發不但悲禾黍。隨遇內得未爲細。異日見公才識巨。吾相徇國智且勇。要使吾東重大呂。公爲其副志不暇。忠信相將義爲所。此間含得不盡張。須會無言有意處。我且思見姬家禮。如或購來願借與。東回漢節亦不遲。一鴟春酒專相佇。</text>
<title>代人挽</title>,<text>癸丑年間邪議生。誰關其口奪之氣。堂堂布衣吾叔舅。借劒陳忠獨不畏。㐫徒骨寒義士奮。讜論朋興以其彙。大聖因之正倫紀。至今邦家藉經緯。節義生天有如許。詩禮從師耽道味。明時爵命匪爲報。曩日猶難繩以誹。歲未龍蛇夢告起。冥司解收魂魄毅。人間榮利且休論。得年有兒差可慰。秪恐正氣永消歇。遺美敢爲親者諱。哀哀送舅無回期。忍誦詩章曰至渭。在舅應無一毫憾。萬古不朽斯爲貴。請看西漢竹帛上。不死槐里南昌尉。</text>
<title>遣悶 江字八句</title>,<text>吾聞貢水章水分流俱北走至于贛縣。同波合流敀大江。無心之物尙如此。最靈吾人何事乖張相擊撞。蠻觸角上日日伏尸百萬無所成。猶且怒目睢盱兩不降。請問人間百年能幾許。胡乃苦心爲此不辨玉與玒。况復人有五常君親最爲大。忍能忘君後親不恤家與邦。傍人見此亦脅息有似萬夫角壯。互相推擠走石矼。跌墮碎骨疇相憐到死磨牙不知𢥠。安得聖賢君子援理爽。諭擧世人鋤除忿狼偕之大道。共醉九醞兼淸千萬釭。</text>
<title>對人問。因贈夢酒謌。二首</title>,<text>酒有那箇好。君獨嗜飮長昏醉。酒亦有何好。飮之引人着勝地。君今勸我勿飮酒。君亦未知其趣耳。君乎若知酒中意。君必勸我沉醉長無止。酒客夢酒欲烹飮。烹未熟時夢先覺。覺來深悔不飮冷。無限愁端見顔貌。人間得喪盡此類。昧者不知生計較。毫芒失利憂欲死。汲汲躁進如蜂閙。若將酒客比此輩。彼猶淸流此泥淖。人心躁靜故自別。莫以張毅倫單豹。吾言似戱實有激。存之亦或裨世敎。</text>
<title>夷齊太公</title>,<text>太公旣許夷齊義。未識鷹揚合義不。夷齊終是聖之淸。當置太公何地頭。休言天下有兩是。白黑分明那可侔。</text>
<title>毛延壽</title>,<text>國有賢士敵人憂。胡得美人華夏利。衆尤延壽誤粉繪。我謂良工有深意。齊女奚爲致季桓。漢畫何故遺閼氏。妲己女紂必有以。西子獻吳誰所爲。試將玆事爛思惟。延壽之忠方始知。</text>
<title>盛夏往正浦。要見雙松。松已枯死。其一和根殘滅已久。感歎記此云。</title>,<text>正浦雙松舊聞名。癸巳六月初來覿。後枯殘骨虎倒石。一樹已無龍蟠迹。造物豪縱用意工。爲向遊人辦此物。略因野老討故實。萬枝虬結蒼髯密。蹈海應羞大夫官。屈曲何傷本性直。交頭似議象外事。厭亂欲向羣僊窟。可惜結根不得所。好事反遭愚夫毒。想當初一竅時。地靈上訴天應泣。由來神物解感應。風雨隻影難獨立。幾年摧殘半死生。霜皮剝落臥荊棘。巢枝老鶴久無影。服旨飛仙何處息。我今盤桓不自由。強題詩篇遣愁寂。樗櫟休誇保天年。不材全生非爾德。此松根腐九泉下。至今猶爲人愛惜。</text>
<title>法駕導引</title>,<text>筴馬動昭容。雙袖垂玉星。下點黃金軛。仙樂轟轟引朝儀。羽旄何葳蕤。天路遙兩兩靑童掃。月佩星冠紛相迎。招搖太陰爲前導。上界光景好。</text>
