<title>江行</title>,<text>日暮江上遊。冠童人五六。愁連芳草生。極目烟波濶。</text>
<title>示兒輩</title>,<text>操存知有道。主敬最爲先。外累寧侵奪。此心可靜專。下功如不息。應事庶無愆。屋漏宜加警。勖哉更勉旃。</text>
<title>感興</title>,<text>鴻濛寰宇濶。萬品入牢籠。雲雨神功博。鳶魚玅用通。推前復推後。無始亦無終。何物主張是。微茫不可竆。</text>
<title>寄謝任進士兄弟</title>,<text>爲送生還客。聯鞭涉遠程。慇懃一斗酒。談笑十年情。肝膽元來照。冰霜此夜淸。相思嶺外夢。應到鳳凰城。</text>
<title>留贈同學諸君 庚戌自興陽還時</title>,<text>進學無他術。須看上水船。朝耕夜可讀。人百己當千。至寶寧求遠。明珠只在淵。臨分更一語。莫謂有來年。</text>
<title>蔣伯仁來訪山中</title>,<text>遠上荒山路。慇懃叩石扉。跫音驚午夢。談笑趁斜暉。殘雪留寒色。東風動客衣。相思無限意。臨別更依依。</text>
<title>下第後書懷</title>,<text>抱屈江鄕卧。蕭然萬事違。空將和氏淚。頻灑老萊衣。芳草愁中碧。垂楊望裏依。關河春色暮。惆悵欲何歸。</text>
<title>山寺贈秀彦來訪</title>,<text>久別龜山友。欣逢月寺秋。慇懃來訪意。珍重𨓏時遊。碧峀晴雲合。丹崖古木樛。臨分情忽忽。搔首夕陽樓。</text>
<title>憶西厓先生 乙未</title>,<text>喫緊眞工積。雍容一德修。夷淸兼惠和。杜斷又房謀。正氣今文相。純忠古武侯。艱虞何日定。顒望屬嘉猷。</text>
<title>寄謝郭藎卿 後儀</title>,<text>落葉前朝寺。荒凉石逕橫。殘燈一夜話。樽酒十年情。末路誰嵇呂。平生獨藎卿。從今期白首。聊復醉還醒。</text>
<title>次吉丈 詠 韻</title>,<text>天心無奈何。人事苦蹉跎。玉節迷關塞。金鎗耀海涯。瘡痍調發急。藜藿感傷多。爲問烏山主。坡平有幾家。</text>
<title>山城吟眎金行初 宗孝</title>,<text>海國春風動。山城暖氣晴。登臨驚節序。控制壯威形。樓堞連雲起。金鎗曜日明。天心今悔禍。應見楚氛淸。</text>
<title>送君實諸兄</title>,<text>恨別三君子。傷心萬事違。極知身有幾。還恨會將稀。遠樹春雲軟。荒村落照微。乾坤無限意。老淚欲霑衣。</text>
<title>踏靑日。登天城樓有感。</title>,<text>爲愛三春晩。登臨萬丈高。年華入危涕。民事又征徭。一嘯妖氛豁。三盃客思撩。乾坤無限意。東望更遙遙。</text>
<title>聞邊聲頗惡</title>,<text>東國三千里。西都十二朝。山河周顗淚。江水祖生橈。殺氣猶纏塞。妖氛欲犯遼。何年夷正首。指日漢庭梟。</text>
<title>郊行</title>,<text>郊行獨自歸。草路沿溪迷。遠水生澄綠。前山淡夕暉。田園今日意。書釰十年違。多少心中事。徘徊露滿衣。</text>
<title>成精甫 安義號芙蓉堂 抵書願見。有事未𨓏。時成公爲調度御使</title>,<text>精甫尊兄柬。風塵六載餘。驅馳靡盬事。調度不遑居。遠別江雲濶。相思海月舒。乾坤多少恨。遙望秪成歔。</text>
<title>星山途中作</title>,<text>擾擾成何事。悠悠笑此行。風塵違壯節。書釰負平生。塡海悲無力。擎天但有誠。關河日欲暮。傷遠不勝情。</text>
<title>花村贈郭藎卿</title>,<text>十里花村路。春來問幾經。溪翁欣遠客。山鳥怪頻行。主辱臣當死。親讐子敢生。慇懃將一語。聊復諭同盟。</text>
<title>夏日卽事書懷</title>,<text>悵望雲天遠。愁看歲月流。槐陰將半夏。麥穗已成秋。世事堪垂淚。人生欲白頭。孤吟思更苦。誰會我悠悠。</text>
<title>山城大雨。與諸君飮話。</title>,<text>秋雨連關海。凄風動遠林。寒城今夕話。浮世十年心。野色浸江濶。溪聲隱霧深。徘徊驚歲暮。萬事欲霑襟。</text>
<title>孝縣次申順夫 之悌號梧峯 韻 聞賊與天兵相持於公州錦江等處故云</title>,<text>古縣人稀夕。荒林葉落時。天心寧有極。世事本無期。樽酒班荊久。兵塵暗塞危。公城消息遠。西望獨支頤。</text>
<title>避賊將行。書眎子吉景順戚契。</title>,<text>朝社依墻壁。山河入戰場。西江持勝負。東海可遁藏。心事危途急。行裝歧路忙。深讐知未報。生死一毫芒。又草草行裝薄。怱怱道路危。分離何忍說。生死固難期。遼鶴悲城古。周烏歎屋誰。愁吟兼痛哭。留與故人知。</text>
<title>曉發 聞賊至。顚倒登程。路中口占。</title>,<text>半夜蒼黃出。危途性命輕。腥塵近石嶺。寒角動江城。天地含愁色。山河沸哭聲。杜陵無限意。今日更傷情。</text>
<title>眞城途中</title>,<text>峽裏寒雲合。林間細路分。蹇驢行草草。踈雨晩紛紛。關海連唐陣。家園隔楚氛。乾坤日欲暮。愁思轉糾棼。</text>
<title>踏靑日。愛日堂席上。次月川韻。</title>,<text>探勝臨江閣。芳洲草色靑。沙明天漠漠。春晩樹冥冥。盡日陪遊賞。傾心任醉醒。還驚佳節過。搔首倚風欞。</text>
<title>洛邸遣懷</title>,<text>殘年愁正苦。羈旅意如何。懶宦因才拙。思歸爲病多。紅塵新面目。明月舊山河。寂寂重門掩。空吟只自嗟。又才薄官仍薄。愁深病自深。三秋今夜夢。千里故鄕心。荒逕餘殘菊。靑山有舊林。人生貴適意。何苦漫浮沉。</text>
<title>寄慶源府伯士彬地主</title>,<text>黑水關防地。朱幡鎖鑰人。威風霜鉞曉。仁化雪山春。爭道蘓民瘼。行看掃女眞。歸來報聖主。何日繪麒麟。又京口春初動。邊頭鴈欲迴。相思千里外。孤負十年懷。旅枕離魂斷。胡笳客夢催。何時一樽酒。花月共徘徊。</text>
<title>寄李太古 民淳 諸友</title>,<text>苦憶同遊伴。東華歲月深。停雲愁望處。芳草未歸心。嶺路春將晩。江村夢獨尋。浮生能幾許。離思欲霑襟。</text>
<title>春日偶吟</title>,<text>疎慵爲衆棄。京洛強淹留。世事令人老。功名不我謀。東風孤枕夢。西日客魂愁。悵望鄕關路。春雲向南浮。</text>
<title>營樓夜吟</title>,<text>客病南來後。君恩北望中。秋高天宇濶。月落海樓空。畫角悲兼壯。殘燈翳復紅。時危身已老。誰信倚崆峒。</text>
<title>三月再到海營感懷 禮陟之初</title>,<text>海曲春將暮。天涯客又來。年光全似昔。節物盡生哀。雲暗蒼梧野。風悲金粟堆。孤懷無處托。西望秪傾摧。</text>
<title>題河東竹亭。憶李鶴洞 光俊。</title>,<text>念昔山雲老。曾臨此邑民。文風傳學子。遺愛在疲人。荒草埋殘壘。閑花艶暮春。客來無一事。興廢秪傷神。</text>
<title>河東竹亭。贈主倅權君。</title>,<text>僻縣依山頂。荒城壓海頭。民殘稀簿牒。俗朴絶奸偸。晩日花香動。虛簷竹影幽。天涯同作客。相對意悠悠。</text>
<title>海營夜懷</title>,<text>徙倚戍樓上。平生獨自尋。歸思春後切。愁病雨中深。離恨知多少。羈懷雜古今。三更耿不寐。何處響孤砧。</text>
<title>秋日洛中偶吟</title>,<text>三秋海上客。千里洛中來。世道將平泰。人心尙阻猜。端居恥聖主。疎野媿賢才。白首宜歸去。黃花正好開。</text>
<title>有感</title>,<text>世味從來喜誤人。恩榮醉骨揔忘身。磨天嶺北風霜苦。何似松雲早養眞。又天日昭昭難久欺。風霜何處泣圍籬。當年病國妨賢手。自誤如今悔可追。</text>
<title>感懷眎南溪同志諸君子</title>,<text>巖厓雲木帶遺芳。山仰彌高水益長。忍使荒凉誰任咎。人心天意兩茫茫。右感慕先師梅誰手種柳誰栽。苦憶當年用意培。滿目摧殘荊棘裏。偏傷今日老生懷。右憶松塢南溪二丈此去光陰有幾年。難將衰病苦牽連。從今擬謝經營事。弄月吟風夢寐邊。右自傷</text>
<title>次李見甫韻</title>,<text>強把盃樽挽落暉。江南芳草客中思。愁來一醉何須惜。正好沙頭踏月歸。</text>
<title>勸學者</title>,<text>爲學要須學聖賢。向來心法在陳編。如能反復求諸是。要領他年可怳然。</text>
<title>謝丁上舍 運煕</title>,<text>南荒何意得僊洲。遼鶴頻來訪白頭。鰲背月明眞界濶。遠遊淸興自難收。</text>
<title>謝任秀才</title>,<text>一盃相屬鳳凰洲。明月黃花映白頭。到處君恩深似海。相逢莫道淚難收。</text>
<title>卽事</title>,<text>風霜晩下杜蘅洲。一葉孤飛楚水頭。塞鴈數聲流月夕。鬢邊愁緖不堪收。</text>
<title>留贈同學諸公</title>,<text>江海相逢歲欲遒。陳編聊與對前脩。情交未洽還成別。嶺樹湖雲無限愁。</text>
<title>春日江行</title>,<text>散步沙汀雨歇時。綠蘋芳草滿江湄。采菱歌斷靑山暮。極目煙波惆悵歸。</text>
<title>春日過溪堂</title>,<text>晩向南溪溪上行。竹扉人靜夕陽明。山空桂老花如霰。招隱㙜前春草生。</text>
<title>贈西行諸君</title>,<text>江城秋晩鴈聲稀。山月矇矓雨歇時。莫向樽前論別恨。百年心事轉成悲。</text>
<title>金生來訪</title>,<text>野人來訪山中客。笑向禪窓坐一夕。日晩山晴忽告歸。相逢更約溪邊石。</text>
<title>辛卯春。自京泝還拜李南溪 輔 于驪寺。因次惠韻。</title>,<text>草綠花明晩日晴。蹔停孤棹踏沙行。春風無限相思意。只覺逢場兩眼靑。又溪堂遙在水雲隈。巖上閑花幾處開。日暮江南愁裏遠。東風客恨入深盃。</text>
<title>山寺秋夜</title>,<text>江南秋早鴈聲稀。湘岸靑楓客正悲。永夜思人人不見。滿庭明月下簾遲。</text>
<title>次南溪壁上韻</title>,<text>陳編牢落鬢如絲。三十無成秖自奇。歲暮南溪雲水上。美人遙望獨長思。</text>
<title>雨中</title>,<text>濛濛烟雨暗平湖。池館虗凉客枕孤。萬事秋來愁正苦。卧看淸露濕庭梧。</text>
<title>霽後 時將赴計偕</title>,<text>秋風江上雨初晴。潦盡烟收一望淸。塞鴈數聲雲外落。西征楚客意偏驚。</text>
<title>寫懷</title>,<text>萬事悠悠醉夢中。浮生得喪竟誰窮。鶴髮高堂愁遠別。一行悲淚灑秋風。</text>
<title>奉呈李南溪</title>,<text>參商嶺海思曾苦。咫尺溪山恨益深。夢罷竹窓魂欲斷。一庭風雨未歸心。</text>
<title>感事 時嚴冬築城。人多凍死。</title>,<text>地利人和孰重輕。召公曾不念蒼生。爭將億萬元元命。換却東南十二城。</text>
<title>秋雨感懷</title>,<text>歲暮愁人不自聊。嗒然終日聽寒潮。十年壯志憑欄久。山雨冥冥野色遙。</text>
<title>過李進士孝先 榮男 舊居</title>,<text>存亡忽忽幾經秋。十載悲歡一夢悠。春草江南人不見。夕陽門外水空流。</text>
<title>山城次金行初韻</title>,<text>涵育餘民有幾人。傷心關海鎖腥塵。孤城此夜相看處。誰是平生稷契身。</text>
<title>後臯獨步</title>,<text>悵望溪山眼欲迷。淡烟芳草暮天低。東風獨立傷前事。千古興亡入鳥啼。</text>
<title>江行有感</title>,<text>江山曾是太平餘。籬落如何盡舊墟。羸犢一鞭殘照裏。東風楚客鬢絲如。</text>
<title>春日有感</title>,<text>萬事看來一夢驚。春深無限感時情。如何杜宇千年怨。更遣愁人白髮生。</text>
<title>做時不如說時。人心不如我心。事多違衷。慨然以書。</title>,<text>誠微智淺竟何爲。臨事茫然却自悲。每恨平生忠孝願。到今無計濟艱危。</text>
<title>贈郭藎卿</title>,<text>人間憂患苦相仍。樽酒重逢感廢興。一篴斜陽今古恨。華峰無語獨千層。</text>
<title>題新曆後</title>,<text>星辰日月天行健。春夏秋冬歲運成。獨恨人間多變故。每逢新曆便傷情。</text>
<title>聞天兵渡江。喜抃醉草。</title>,<text>猾夏腥氛已六載。何人梟取月氏頭。王師再出遼關路。正是匈奴自滅秋。</text>
<title>密雲不雨。感懷偶書。</title>,<text>陰雲連月上天同。恠却甘霖尙未濛。周璧殷茅寧在物。感通元自一誠中。</text>
<title>題梅鶴亭</title>,<text>一點孤山大野頭。園亭無主幾經秋。興亡摠入灘聲冷。香斷梅梢鶴夢愁。</text>
<title>夏日病吟</title>,<text>一病侵來萬念灰。煩襟鬱鬱向誰開。幽牕獨卧閒消遣。萬樹蟬聲日暮哀。</text>
<title>奉次地主韻</title>,<text>山河文物舊新羅。痛哭長鯨沸海波。忠憤縱因弓馬勇。大端功力在如磋。</text>
<title>石本夜話。次地主韻。</title>,<text>百二山河賊勢掀。殘生無計定乾坤。相逢說盡平生舊。今夜寒燈是石村。</text>
<title>亂後還舊基</title>,<text>兵後歸來事若何。人民城郭感傷多。千年華表無窮恨。短日西風冷影斜。</text>
<title>將往宣城。次李景順 民悌 韻。</title>,<text>宣城今作遠遊人。臨別瓊章感歎頻。氷雪滿山行路澁。異鄕何處賦新春。</text>
<title>愛日堂席上。次月川韻。</title>,<text>疎枝風軟暗香生。虛閣春深暖日晴。沂詠千年無盡意。天機流動至今鳴。</text>
<title>臺巖次李器豪韻</title>,<text>勝日來登江上亭。山光水色一般靑。年來世事堪垂淚。莫厭淸笙咽玉甁。</text>
<title>次士彬地主韻</title>,<text>孤亭落日酒盃空。晩篴隨風繞碧松。水鳥山禽迎太守。臺巖從此換醉翁。</text>
<title>還舊基有感。次愛日堂踏靑韻。</title>,<text>故宅無人春草生。年華依舊澹新晴。歸來獨立斜陽畔。山自無言水自鳴。</text>
<title>諱日感懷</title>,<text>千里羈遊遇諱辰。非莪今日倍傷神。遙知少弟將迷子。泣向西堂奠薄禋。</text>
<title>宜春館。贈李養源 涵號雲岳。</title>,<text>宜春館裏數叢菊。佳色凌霜艶暮秋。雙眼靑兼雙鬢白。十年人事共悠悠。</text>
<title>憶黃直之 敬中號梧村。因寄亞幕。</title>,<text>章山館裏遇元賓。便憶金鑾鎖直臣。遙想頭龍滄海月。至今分照兩鄕人。</text>
<title>次李統相 雲龍號東溪 九日韻</title>,<text>獨上高樓望北宸。孤臣中夜感歎頻。江南何處無芳草。爲彼西方有美人。</text>
<title>湖南路上憶溪舍</title>,<text>自知於世少因緣。爲占溪巖結數椽。千里驛程塵滿面。不堪東望意悠然。</text>
<title>將還家路中作</title>,<text>驛程鞍馬去還來。多事風塵歲月催。白首從今歸蓽戶。且將榮辱付寒灰。</text>
<title>花園縣舍偶吟</title>,<text>六十衰翁始作宰。平生才拙負吾民。寧辭暗繡催歸急。羞作幽閨失行人。</text>
<title>謾吟</title>,<text>探道年來志業專。案頭長日對前賢。多端世慮都消遣。始覺胷中本體全。</text>
<title>題族譜卷末</title>,<text>子子孫孫八百春。兄兄弟弟幾千人。孝慈友愛成家法。億萬年來願益新。</text>
<title>晩興</title>,<text>雲開雨歇夕陽時。問柳尋花到水湄。剩得鳶魚無限趣。箇中眞樂有誰知。</text>
<title>贈裵翰林 龍吉</title>,<text>山外有山遮望眼。客中送客倍離憂。淸宵夢罷披衾坐。風雨蕭蕭白津頭。</text>
<title>將西行。病滯聞慶。</title>,<text>南來多病卧經冬。爲哭 缺 祥強起癃。冰雪塞天行路澀。玉京西望意無竆。</text>
<title>在理遣懷</title>,<text>圓扉深鎖夜如年。更盡春迴倍黯然。臣罪有無遮莫問。一心唯有四知天。</text>
<title>病中偶吟</title>,<text>一病沉緜萬計忙。九原歸路似康莊。已將六十餘年事。都付蒼蒼任主張。又每把南溪掛念頭。十年荒廢竟誰尤。今方就緖身將死。應被羣兒誣髑髏。</text>
<title>戲寄郭藎卿</title>,<text>達川不似臺巖好。村酌難同太守遊。只有一般情義厚。春雲西望興悠悠。</text>
<title>松栢吟。次丁上舍 運煕 韻。庚戌</title>,<text>松栢蒼蒼老更寒。屈蟠鰲背歲頻闌。春園桃李根難託。冬嶺風霜性所安。楚客來看殊脉脉。海蟾留照冷團團。他年會見支傾廈。不是尋常任作酸。</text>
<title>留別丁上舍之會</title>,<text>自歎疎愚病又纏。半生城市苦無緣。三秋瀛浦逢知己。十載煙簑理釣船。湖嶺去留山萬疊。海天愁望月孤懸。興陽南畔參差樹。夜夜遙應入客眠。</text>
<title>次申達夫 之孝 韻</title>,<text>人間離合猶關命。誰使傷心采艾秋。寸步尙違風雨夕。長安况隔樹雲悠。瓊章暫慰連宵夢。歸袂難謀一日留。寂寞離愁將歲暮。夜來霜月滿西樓。</text>
<title>又次前韻</title>,<text>光陰鼎鼎水東流。屈指如今卅二秋。朝露百年堪草草。浮雲萬事摠悠悠。胷中志業空牢落。分外榮枯任去留。惆悵美人思不見。夢魂飛繞玉京樓。</text>
<title>山寺秋懷</title>,<text>歲暮東南客路迷。西風隻影到招提。空庭露冷莎雞泣。衰草秋深鵜鴂啼。夢覺山窓寒夜永。愁生孤枕雨聲凄。十年壯志憑欄久。雙鬢蕭蕭雪滿笄。</text>
<title>秋日書懷。眎李景直 民悅。</title>,<text>悠悠人世事堪嗟。頭上崢嶸歲月過。萬軸縹箱愁白髮。百年勳業愧菱華。西風木落山容淡。南浦霜寒鴈影多。寂寂空齋思正苦。共君聊可對黃花。</text>
<title>奉送地主權士彬還京</title>,<text>一佩銅章任製錦。吾鄕㷀獨始知依。琴堂春靜蝗螟化。鈴閣機閒雀鼠稀。百里絃歌勞撫字。九天恩寵煥榮輝。遺民酌水來相送。烏鵲前頭挽落暉。又黃葉紛飛弄晩晴。郵亭來送使君行。水雲南北三盃酒。風雪關河萬里程。七載承宣留惠澤。一邦民物荷生成。鞭鐙今日攀何及。只有難忘去後情。</text>
<title>驪寺留別李南溪</title>,<text>東風桂棹驪江上。繫纜沙汀訪玉人。香火玄宮齋沐日。圖書梵殿靜居辰。魂迷漢樹晴川暮。夢入溪堂細雨春。千里相逢還作別。落花芳草摠傷神。</text>
<title>壬辰秋在吉安 時大駕駐義州</title>,<text>關防失守勢蒼黃。邠土遺民泣踰梁。鵠嶺雲腥塵漠漠。龍灣日暮海茫茫。百年禮樂誰男子。七廟衣冠是我王。憤極神人應見佑。會將收復舊封疆。</text>
<title>旅夜感懷 丙申</title>,<text>寒風淅淅小窓幽。殘夢初醒客倍愁。世變紛紛人易老。光陰冉冉歲將遒。親讎國辱身當死。事去時危命未謀。此夜知心唯一劒。五更星月獨登樓。</text>
<title>金堂谷有感 丙申</title>,<text>可惜伶俜吾叔父。金堂谷裏僅安躬。家園蕪沒干戈後。骨肉飄零喪亂中。破屋寒籬生事窘。衰顔白髮命途窮。相離不得相扶養。誠薄猶兒恨未同。</text>
<title>路中卽事 丙申</title>,<text>聞道皇華下邑臨。強鞭羸犢訪江潯。風沙淅淅迷汀樹。雲月微微映遠林。末路行裝悲草草。暮年心事苦欽欽。歸來一室空惆悵。靜對寒牕獨自吟。</text>
<title>次李蒼石叔平 埈 韻</title>,<text>謹問何如東海量。驚心雙鬢忽添霜。荒園未剪三春韭。茅店思聯一夜床。滿目風塵行路澀。搔頭天地去留忙。華山東望來何暮。缺</text>
<title>奉李五峯 好閔 書。仍憶有作。丙申</title>,<text>一書來自漢江邊。千里相思道路綿。家國興衰憂更重。朝廷風憲責方專。盤根利器時危日。松栢貞姿歲暮天。會見吾東淸泰後。文章勳業冠凌煙。</text>
<title>醉後偶吟</title>,<text>落魄江湖一病翁。年來萬事摠違衷。風塵未靜憂何極。書劒無成志自雄。短髮緣愁千丈白。衰顔借酒半邊紅。汀洲草綠春將老。悵望關河恨不窮。</text>
<title>過李進士孝先舊居</title>,<text>忽忽存亡已六載。當時遺迹摠成陳。榮華有數光陰老。天地無情賦命屯。萬古溪山空落照。一村烟樹向殘春。詩魂寂寞灘聲冷。日暮歸來鬢欲新。</text>
<title>送別柳地主 澈 遞赴一善 丁酉</title>,<text>鸞鳳飄飄下赤城。忽驚關海戰塵腥。苦心只爲安人術。素節端由報國誠。皁盖幾勞風井路。朱幡今向月波亭。桐鄕六載遺恩在。春草江南暗恨生。</text>
<title>次李進士 光彦 韻</title>,<text>南國干戈摠衋傷。連山土石獨呈祥。周民孰歎靡遺孑。漢吏爭稱共理良。百里謳歌來暮切。二天恩澤去思長。烏城隱隱江波濶。瞻望何年此意忘。</text>
<title>送君實諸兄</title>,<text>溫溫蘭玉數三兄。忠孝門中第一英。北學將騰雲路遠。南來忽覩海波驚。三秋黌序同懷抱。六載干戈共死生。白首如今成遠別。茫茫春草不勝情。又江南芳草滿西亭。強把離觴問客程。華表鶴歸城郭古。樓臺人去樹雲暝。天荒地老傷春色。水遠山長恨別情。欲說臨分多少思。不堪搔首壯心驚。</text>
<title>踏靑日。登天城樓有作。</title>,<text>春深芳草滿江南。來上高城恨不堪。厄會如今逢九九。佳辰况此屬三三。聞鵑漫作詩人拜。捫蝨慚無世務談。直待王師殲賊日。孤臣一死亦云甘。</text>
<title>竹峴</title>,<text>有峴崔嵬名以竹。林深谷邃翠氤氳。橫分千古商山界。直壓三灘洛水源。百代衣冠南北路。幾年夷夏戰爭紛。登臨絶頂雲天遠。杳杳烏城日欲昏。</text>
<title>山城。呈地主及玉屛兩倅。</title>,<text>風雲龍虎玅無窮。水澤山陵勢不同。萬丈孤城憑地利。百年文敎孰英雄。秋晴海嶠狼煙熄。霜晩湖天鴈影空。今日直須思戮力。新亭一慨倚王公。</text>
<title>將往宣城。次李景順韻。</title>,<text>懷土那堪更遠歸。前頭生死任艱危。魂傷瓦礫遺基在。夢入墳塋宿草悲。幸賴皇天扶宋祚。喜看釜浦豎唐旗。杜陵自是東西客。二字缺 嚴寒惜暫離。</text>
<title>暮春上巳。贈別金司諫道源 涌號雲川 赴闕。</title>,<text>臨分莫怪贈言頻。萬事如今白髮新。羈旅每驚佳節至。艱危端合善規陳。空庭日晩松陰轉。幽澗春深柳色均。芳草一樽愁更苦。蘭亭修稧是何人。</text>
<title>次丁上舍遊金塔韻</title>,<text>扶杖穿雲石逕寒。層陰夕起歲將闌。尋幽不是探禪梵。乘興端由訪戴安。孤磬數聲淸佛殿。高談三夜穩蒲團。醉臨滄海乾坤濶。剩寫從前世味酸。</text>
<title>郭藎卿席上有感</title>,<text>此日親朋有幾人。相逢談笑亦前因。溪山不改興亡異。憂患無窮鬢髮新。萬事莫論兵動後。一盃須盡客來辰。數聲長笛楊花老。回首人間秖損神。</text>
<title>海上風雨甚壯。卽事口占。</title>,<text>長風捲海雨翻盆。天地曚曨混不分。擬𥳽滄溟傾賊窟。獨將舟楫壯吾軍。角聲更助潮聲吼。雲氣仍兼水氣昏。變化看來渾莫測。客窻愁思轉糾棼。</text>
<title>次御使黃直之韻</title>,<text>襟懷塵念絶毫纖。聲彩如今冠斗南。瑞世鸞凰臨海窟。忘機魚鳥憶山菴。蠻煙瘴雨偏愁苦。池草堂萱思不堪。獨幸疎慵逢叔度。吝萌都盡酒中談。</text>
<title>次孫君新鸎韻 時在忠愍祠</title>,<text>海上初聞出谷鸎。天涯佳節却多情。流聲睍晥氷泉滑。餘韻緜蠻寶瑟鳴。丞相祠前音自好。遼西夢裏恨難平。金衣竟日閒來去。剩學人間送又迎。</text>
<title>寄贈黃亞幕還洛</title>,<text>瑞世英標照海陲。紅蓮綠水富淸奇。庭堅自是仙曹謫。叔度元非汎濫窺。歸省政收朝夕念。論思應結聖明知。疎慵病滯蠻煙外。其奈行塵遠莫追。</text>
<title>犒軍席上。次統相韻。</title>,<text>繡旗飄颺皷聲殷。濡首爭言願急君。重胤幕中誰數石。孔明麾下共稱雲。安危大計憑舟楫。湖海殘民廢耔耘。仁撫從今人浹骨。投醪小惠不須云。</text>
<title>次統相韻</title>,<text>早歲英韜玅莫窮。驅馳更許卧隆龍。愁憑長劒光橫斗。醉賦新詩氣吐虹。㫌旆喜看精彩異。戈矛爭詠澤仇同。應收宵旰憂南顧。愧乏微勞坐幕中。又時事糾紛未易竆。安危咸仰正中龍。紫微屢謝橫天彗。黃道頻驚貫日虹。符應如今眞可懼。寅恭從古孰能同。秋宵耿耿寒無寐。不是孤臣爲熱中。又地盡東南勢欲窮。山形屈曲作頭龍。營臨漢使乘槎海。序屬滕王霽雨虹。皓首靑衫安拙分。黃花白酒與誰同。多端楚客悲秋意。都入寒更皷角中。</text>
<title>又次統相重陽韻</title>,<text>天涯佳節意無窮。帽落斜陽想孟龍。排闥靑山光欲滴。盈樽綠酒味方濃。東臨洋海懷忠愍。西望長安祝華封。今日政當思報國。白頭從事愧疎慵。</text>
<title>送赴京使</title>,<text>病裏難爲遠別情。仙槎遙指海西程。賢勞不怕風濤險。忠信唯知性命輕。花落故園鸎喚夢。霜飛南國鴈回聲。好音佇待歸來日。還向窮山問耦耕。</text>
<title>在理遣懷</title>,<text>一拙欺人萬事休。浮名得喪摠悠悠。襄陽半載風霜苦。大理全生雨露優。歸夢已憑春信去。羈愁猶伴病形留。江南日暮頻回首。嶺樹連雲客路脩。</text>
<title>輓宋獻納 遠器</title>,<text>樂翁先去卧蓬瀛。公又修文白玉京。寂寞溪山人不見。琴湖芳草爲誰生。</text>
<title>輓郭藎卿</title>,<text>早年詞賦擅東庠。暮境光陰付醉鄕。萬事如今歸寂寞。忍聞鄰笛過山陽。又髫齔追隨到白頭。春風秋月共優遊。盃樽舊事今如夢。強疾題詞涕自流。</text>
<title>輓張仲順 悌元號深谷</title>,<text>天城南畔鶴山陰。晩卜幽居歲月深。詩酒琴歌今寂寞。令人却憶淚霑襟。</text>
<title>輓李方叔 鎭南</title>,<text>芳樽佳句幾春秋。物外淸遊興未遒。華鶴忽驚仙夢冷。巖松枝上月如鉤。又早同襟袍絶畦畛。晩托㛰姻契益親。未伸神明扶愷悌。還驚知舊易凋淪。前春情札憑人坼。此日哀詞拭淚陳。冰雪滿山衰病劇。傷心無路送靈輴。</text>
<title>輓鄭密陽子孚 士信</title>,<text>早年聲彩擅珠璣。詞賦人稱古陸機。再擢英名聯桂籍。獨專榮養奉慈闈。行藏任世能安命。詩禮傳家足繼輝。衰病辱知誠最厚。不堪東望哭斜暉。</text>
