<title>對庭梅 五言絶句</title>,<text>畵梅雖盡妙。不似活梅眞。一點生生意。猶含陋巷春。</text>
<title>自大芚向安寂。口號。</title>,<text>螺鬟憐矗矗。玉澗愛潺潺。安得幷州劒。剪取此溪山。</text>
<title>題銘巖畵梅</title>,<text>畫梅不畫香。香在主人腹。對月吐奇芬。淸香猶馥馥。</text>
<title>過忠州謁林將軍 慶業 廟。次卷中韻。</title>,<text>忠誠貫白日。烈烈死猶生。壯氣山河在。達川萬古鳴。</text>
<title>避暑松林</title>,<text>困卧蒲團上。松林日午時。僕夫猶愛睡。呼起故遲遲。</text>
<title>登鳥嶺關</title>,<text>杖策歷崎嶇。登登行一舍。不知步武高。但覺羣山下。</text>
<title>與河淵淵期遊月城。余有故後往。則河已返矣。偶吟一絶。</title>,<text>君來我不來。我來君已去。荒城半月明。正是相思處。</text>
<title>咏鷹</title>,<text>鷹與人同宿。人閒鷹亦閒。時時動霜翮。應夢獵前山。</text>
<title>久旱得雨。仍晴玩月。</title>,<text>雨喜枯苗潤。晴憐好月明。雨晴皆不惡。隨處卽詩情。</text>
<title>貧病</title>,<text>驅病病難去。逐貧貧亦來。庭花如欲慰。故故向人開。</text>
<title>崔老伯庭前舊有叢竹。竹死代種梧桐。戱吟以贈。</title>,<text>昔栽叢竹處。今見碧梧桐。孤直縱相似。歲寒應不同。</text>
<title>久陰不雨</title>,<text>移秧者欲雨。刈麥者祈晴。不晴不雨意。也應識此情。</text>
<title>新正</title>,<text>獻歲人相賀。逢春我獨悲。花溪此時會。地下知不知。</text>
<title>聞呼呼鳥 鳥聲若呼呼</title>,<text>呼呼呼底事。雖呼應者無。呼人留不去。莫是老人呼。</text>
<title>歸家復聞</title>,<text>書社呼呼鳥。來此復呼呼。欲呼去何處。山外皆網罟。</text>
<title>諸少年乘舟。余坐巖上戱吟。</title>,<text>層巖浮水上。登此若乘舟。把酒同淸興。安危却不侔。</text>
<title>途中偶吟</title>,<text>騎馬老無力。逢僧扶上之。問僧何處住。笑指南山眉。</text>
<title>濯足</title>,<text>流水出山去。不須問淸濁。難逢洗耳人。吾足猶堪濯。</text>
<title>醉中偶吟 二首</title>,<text>氣與高山聳。心同流水長。浩然歌一曲。忘却鬢堆霜。又儒作僧居室。僧爲儒炊飯。因儒以有僧。無僧儒亦散。</text>
<title>贈月明巷諸君</title>,<text>邇來數相見。多在汶陽時。自去汶陽後。晤言未易期。</text>
<title>山行</title>,<text>偶着遊山屐。崎嶇一逕微。松林殘雪滴。疑是落花飛。</text>
<title>與李聖極建中，李器彦渭贒。在玉山院齋。阻雨數日。甚無聊。共看蘇齋集。有玉山十四詠。各次其韻。以爲日後相思之資。</title>,<text>千秋紫玉山。名與武夷重。山出雲作霖。於焉驗軆用。右紫玉山先生獨樂地。今日更誰尋。棟宇依然在。悵無杖屨臨。右獨樂堂溪水流不息。溪舍寂無人。當年存養意。誰識箇中眞。右溪亭人樂自得意。魚樂自成行。江湖與道義。於此兩相忘。右觀魚臺流行上下間。一理無形像。千載此高臺。悠然沂水想。右詠歸臺一源有濁淸。觀物理分明。當日命名意。豈徒在濯纓。右濯纓臺楊柳光風夕。梧桐霽月初。靈臺一片地。溪水共澄虗。右澄心臺洗心如洗物。洗之塵不撲。湯盤卽此臺。銘字宜常目。右洗心㙜以蓮比君子。蓮以君子尊。君子不可見。問蓮蓮不言。右蓮塘垂綸者何人。終日磯上坐。其釣不在魚。時有明月過。右釣磯潡者喧不息。懸者忙不閒。誰能回急脚。勇退此中間。右瀑布凹凾水滀渟。陰鼉中藏靈。雷雨時時作。萬彙沾毒亭。右龍湫入院如承敎。登堂盍顧名。先生手錄在。一脉自朱程。右書院欲尋白鹿洞。先訪子眞山。佳境知不遠。遊人莫便還。右紫溪谷口</text>
<title>途中有感</title>,<text>昨哭崔見仲。今哭李漢老。凄凉一路風。處處生秋草。</text>
<title>三聲優劣 諺曰男子有三樂聲。室人剪刀聲。馬齕蒭聲。兒子讀書聲也。</title>,<text>妻老刀何用。家貧馬亦無。小兒讀書史。惟此慰窮途。</text>
<title>別內從弟潤卿</title>,<text>一夜聯衾宿。十年久別心。難期吾再到。君可早相尋。</text>
<title>偶吟二絶</title>,<text>思酒酒難得。戀朋朋不來。惟有門外吏。徵債日相催。又老去家逾窘。病來氣益衰。不堪愁思攪。長卧廢吟詩。</text>
<title>三客</title>,<text>春色四時存。榮華誰得比。旣能發好花。何事多芒刺。右月桂玉顔出自然。非假粉脂染。可愛亦堪憐。却嫌太妖艶。右玉梅亦有奇花在。其名是海棠。非無春色好。但恨欠淸香。右海棠</text>
<title>寓安溪菴 時燦兒在此菴染痘。故往留。</title>,<text>獨處無聊甚。要僧與共談。僧來亦不語。碁局代淸談。</text>
<title>途中索句不得。戱吟。</title>,<text>身病文隨病。家貧學亦貧。胷中無一句。羞道讀書人。</text>
<title>題儉巖閒居 二首</title>,<text>蕭灑數間屋。依然汾水居。壁空無一物。床上有詩書。又山鳥鳴庭樹。人閒鳥亦閒。吟詩和山鳥。意味知一般。</text>
<title>次陳德日韻</title>,<text>把酒一相別。秋風不盡情。慇懃林下鳥。啼送兩三聲。</text>
<title>偶感 三首</title>,<text>邯鄲有玉杯。人榮玉盃飮。飮者何其稠。玉盃光遂寢。又滄洲採明月。魚目亦騰揚。不妨魚目售。恐掩明月光。又山深獸往之。誰識山眞面。輪煥倐靑紅。海人心目眩。</text>
<title>無月夜</title>,<text>庭暗樹無影。天晴星不稀。悄然坐黑夜。但覺露侵衣。</text>
<title>終日</title>,<text>昨日坐終日。今日坐終日。日日坐終日。朝看復日出。</text>
<title>自城中醉歸汶上</title>,<text>大醉三盃酒。行過半月城。千年故國恨。滿眼春草生。</text>
<title>九日龍山飮 時與洞人會飮天龍寺</title>,<text>九日龍山飮。吾儕異逐臣。黃花笑何事。應爲白頭人。</text>
<title>花溪九絶</title>,<text>有花食其實。由溪至於海。爲學亦如斯。始終宜勿怠。右花溪爭吟棫樸詩。共入芝蘭室。如欲襲淸香。先令鮑臭絶。右蘭室濠上觀魚者。魚樂問何如。吾自樂吾樂。觀魚不在魚。右觀魚㙜升高必自下。一層又一層。休言進漸遲。躐登恐難登。右進漸臺進進高無盡。登天然後窮。欲爲天上事。先學上天工。右無盡臺高出丙丁位。上通奎壁輝。披卷日相對。信乎文在玆。右文山有芝輕萬鍾。祿輕芝自重。綺園今不存。高蹈孰追踵。右芝重山潭上松林密。潭中松影涵。决流灌畦稻。利澤亦旁覃。右松潭造物有深意。寒泉出石凾。汲之幷受福。往來井井咸。右石井</text>
<title>花溪雜詠</title>,<text>剪棘掃塵穢。巖臺眞面呈。所恨石無語。詩成誰與評。右巖臺修治巖間緣樹多。巖上淸陰散。不見俗人來。但聞幽鳥喚。右幽景高卧綠陰下。脫巾仍脫衣。客來恠相問。翁是老農非。右卧楡亭築巖者靑衿。守菴者緇衲。借問主人誰。白頭翁卧榻。右花溪主人溪水透沙去。涓涓斷復流。有源者如是。何不反身求。右溪水纖柯不盈握。已作老蒼姿。樹木猶如此。人生事可知。右臺樹山頭一片雲。含雨何時吐。不被老龍知。巖間空散聚。右山雲</text>
<title>喜月出</title>,<text>夜坐讀周易。無人問所思。忽看虗室白。明月上梅枝。</text>
<title>過五家里。逢僧少話。</title>,<text>五家村前路。白日亭午時。邂逅山人話。閒情勝賦詩。</text>
<title>送兒科行</title>,<text>無馬騎牛去。牛亦借於人。書外皆他物。光光只一身。</text>
<title>元朝吟</title>,<text>爆竹聲纔歇。屠蘇酒已斟。殘燈猶不滅。分作兩年心。</text>
<title>結草爲方席戱吟二絶</title>,<text>昨日成一席。今日成一席。苟能不輟工。何事做難得。又方席實圓席。正如觚不觚。世間多此類。擧一反三隅。</text>
<title>李景淳 憲洛，仲穆兩進士。在汶亭送酒肴。兼投二絶。忙步以謝。</title>,<text>白鷺來何處。翩然自汶溪。感君珍重意。忙手圻封題。又小亭淸夜話。遙憶月盈溪。相對一樽酒。新詩幾首題。</text>
<title>老樹 諺曰樹老傳果。人老傳子。</title>,<text>樹老能傳果。傳果樹何奇。果熟反傷樹。不如無果時。</text>
<title>元朝在花溪。曉坐有感。</title>,<text>燈花仍舊歲。僧語已新年。七十翁猶在。題幡又一篇。</text>
<title>效榮啓期三樂三絶</title>,<text>榮啓有三樂。皷琴歌復歌。我心實先獲。千載與同科。又筆硯代枯桐。詩文當歌曲。獨坐花溪菴。百年聊自樂。又一歌樂爲人。再歌樂爲男。三謌樂得壽。俯仰更何慚。</text>
<title>燦兒家牛隻。爲大虫所咬。</title>,<text>歲運竆於丑。來徵定在寅。失之必有得。犧象豈欺人。</text>
<title>花溪遣懷</title>,<text>悠然對山水。端坐欲題詩。投筆却惆悵。恨無鍾子期。</text>
<title>宿上禪菴 一名上臺</title>,<text>雨過山如洗。雲沉日欲昏。不妨留此宿。高枕獨關門。</text>
<title>無影軒 上禪庵丈室</title>,<text>有形元有影。無影卽無形。一物寥寥處。山空月自明。</text>
<title>悶風雨不止</title>,<text>狂風吹不停。欲折溪邊樹。樹折亦無妨。傷禾也可懼。</text>
<title>偶吟</title>,<text>元是無心客。眞成有髮僧。八旬餘七歲。天地一秋蠅。</text>
<title>宿佳巖歸口號</title>,<text>往事如春夢。伊溪無故人。相逢多感慨。回首淚沾巾。</text>
<title>憶弟有感 七言絶句</title>,<text>汝病危時我亦危。我生汝死不相知。他年地下重逢處。共拜雙親說此悲。</text>
<title>先集爲人借去三年。而至是覔還。不勝悲感。</title>,<text>一帙遺編手澤新。三年埋在富山塵。携歸此日悲難耐。不見當時借去人。</text>
<title>金天用 海龍 與李震邴輝遠甫。全州人 遊上書庄。唱和一絶。戱次。</title>,<text>學士當年棲息地。風松猶帶讀書聲。仙翁一去靑山在。惟有春風野鹿行。</text>
<title>花谷葬朱叔獻 文燦。歸路有感。</title>,<text>花谷山中戊戌春。與君相見始相親。如今花谷埋君日。却向春風淚滿巾。</text>
<title>訪南舜會不遇</title>,<text>湖上春風訪故人。柴門半掩寂無人。悠然落日空歸去。恰似山陰興盡人。</text>
<title>十六日夜。夢見先君及亡友。</title>,<text>綵服趍庭喜氣濃。更逢情友討心胷。覺來寂寞人蹤絶。星斗闌干月在峯。</text>
<title>十八日夜。夢至一處。見宋朝諸贒來會。約可十餘人。其中一人。乃文天祥也。皆東向而坐。座上西向二人。卽胡酋云。余自堂下望見。覺而異之。遂吟一絶。</title>,<text>千古英䧺一席同。後生何幸猥承風。文山大節宜居右。左袵胡爲亦在中。</text>
<title>春山偶吟</title>,<text>春到溪山好鳥啼。興來誰送一壺提。獨將詩句酬佳賞。竚立沉吟日欲低。</text>
<title>甲午春。余葬二親。伯舅氏貽我一書。一日披閱書軸。得此悲感難耐。因吟一絶寓懷。</title>,<text>舅氏在時如母在。舅亡還似母亡時。當年舅有書貽我。見此書如見舅儀。</text>
<title>次堂叔氏謫海南途中韻</title>,<text>淸夜沉吟愁不寐。相思千里月分明。湘江物色增悽切。况復雲間一鴈鳴。</text>
<title>留興倫累日。與諸益相話。獨不見鍊伯。歸路投一絶。</title>,<text>五日興倫三日雨。芝蘭欠了一枝薰。山陰興盡歸帆急。魂夢悠悠入暮雲。</text>
<title>贈震師</title>,<text>遊人乘興探眞境。花滿諸天物色閒。撞罷木魚僧入定。梵音猶在水雲間。</text>
<title>立春日。次李戚兄韻。</title>,<text>虗送人間歲月饒。驚看綵燕又新朝。試將墻角梅花嗅。春意分明已上條。</text>
<title>途中見童子折花來。取一枝把翫。</title>,<text>路逢童子折花嬉。爲愛春光借一枝。童子回頭相笑語。春光不與老人宜。</text>
<title>贈慧上人二絶 國慧時時來問句讀。故次絶及之。</title>,<text>世間儒釋幷無眞。山野茫茫蔽六塵。貝葉芸香相對處。紛紛說話揔波旬。東林雲影繞書床。日展蕉心喜漸長。但恨性空非性善。不如江海兩相忘。</text>
<title>小旱暴雨不止。且喜且憂。</title>,<text>農家一念在禾苗。旱恐其焦水恐漂。去歲飢腸今未飽。祝天惟願二儀調。</text>
<title>僧東隱餽紙。以詩答之。</title>,<text>卄葉雲孫雪色明。穿來檀樹異香生。管城見此開顔面。多謝山人不棄情。</text>
<title>哀南成仲國憲</title>,<text>只惜其才不惜年。文章奇麗也誰傳。溫溫風味人如玉。不惜其才更惜贒。</text>
<title>哀朱叔美文徽</title>,<text>凜然高義薄層雲。吾友雖亡幸有君。當日棘廬來慰處。誰知此別死生分。</text>
<title>題曲淵溪亭</title>,<text>有山無水徒幽靜。有水無巖亦不奇。山下層巖巖下水。碩人於此考槃宜。</text>
<title>詠東國地圖</title>,<text>別有中華東海東。壁圖荊益古人同。莫言滕國爲褊小。多少英雄在此中。</text>
<title>海舶</title>,<text>怒浪掀天萬丈深。隨風片舶泛還沉。鯨波逐利渾忘死。載得魚塩直幾金。</text>
<title>栗洞孫丈初度日。贈爾和。</title>,<text>高堂鶴髮醉顔酖。獻壽樽前樂事多。孤露此生偏感慨。羡君衣綵舞傞傞。</text>
<title>比安道中。見海棠花。</title>,<text>遺棄仙葩混草萊。幾年空被野人咍。不隨桃李爭春色。猶把芳心向日開。</text>
<title>延豐途中</title>,<text>時命元來有屈伸。㤪尤何敢及天人。不如歸老花溪上。漁父樵童與作隣。</text>
<title>九日</title>,<text>庭前霜菊吐新芳。摘取香葩可泛觴。花不負人人自負。只將詩句答重陽。</text>
<title>玉山書院庭中。枯梅復生。次金上舍韻。</title>,<text>曾聞廟檜死還生。今見庭梅枯復榮。不識天公有意否。斯文否泰關春情。</text>
<title>孫景三留酒而去</title>,<text>香生席上坐佳賓。分付兒童不掃塵。更惠芳醪潤枯肺。故人情味是陽春。</text>
<title>蝴蝶</title>,<text>綵趐翩翩繞野亭。滿身香粉逐風輕。飛來飛去花園裏。疑是莊周夢未醒。</text>
<title>往門巖省墓歸路。村嫗進酒。戱吟。</title>,<text>騎牛落日出山來。村嫗殷勤進一杯。恰似漂娥城下飯。愧無韓信濟時才。</text>
<title>蛙鳴</title>,<text>此土莫非官稅地。爾居官地爲官宜。卽今人世無公道。應爾羣鳴揔是私。</text>
<title>聞夜舂呼韻</title>,<text>村碓夜無暫歇時。急舂新麥供朝炊。看來日夕奔忙事。只爲吾人口腹資。</text>
<title>仇良火村。有銀杏樹。不知幾百年。有老人自言其八代祖所植云。少憇樹下。吟一絶以贈老人。</title>,<text>黛色參天幾百年。老枝病榦尙依然。當時手種人何在。閱盡滄桑爾獨全。</text>
<title>元朝</title>,<text>人生七十曰稀年。今去稀年十八年。前十八年如一夢。稀年雖得豈多年。</text>
<title>次府伯趙公 明謙 玉山韻</title>,<text>霽月光風空滿樓。溪山無主使人愁。洗心㙜下澄泓在。認是源頭活水流。</text>
<title>次韓思彦東都八景韻</title>,<text>暖日和風氛翳空。遊人何處逗閒筇。千年故國荒城在。芳草萋萋雨後濃。右月城春日一聲蕭瑟送凉風。老木扶踈大野中。故國繁華今寂寞。空林落日葉堆紅。右鷄林秋色翠紗爲帳翳仙顔。第一奇觀鰲背山。日晩風生無處覔。只應和露濕苔班。右鰲山晩烟靜影浮光暎岸頭。溶溶一帶向西流。淸波不與要津接。沙上閒眠有白𩿨。右蚊水晴川翠黛尖頭紫氣交。萬條金線射林梢。江村遠近炊烟起。飛錫孤僧渡石橋。右桃岑落照聲穿暮靄千萬重。認是城南報夜鍾。明月鳳凰臺下路。餘音嫋嫋遠隨風。右鳳㙜暮鍾蒼髯白甲倚金剛。萬古亭亭春色藏。石上老根無恙在。貞姿不怕北風凉。右金剛老松靄靄沉沉雲滿天。廉纖一陣五陵邊。前村老叟耕田罷。獨閉柴門盡日眠。右五陵踈雨</text>
<title>老梅</title>,<text>枯査撑出小墻濱。半死半生衰病身。身老還憐心不老。猶能吐出一枝春。</text>
<title>丹邱里社。次金天用 海龍 韻二絶。</title>,<text>滿目兵戈天地昬。一家同作釰頭魂。行人指點丹邱語。烈婦忠臣孝子門。鴻毛一擲辦熊掌。誰識無功是有功。祭社如今輿議協。千秋不泯秉彝公。</text>
<title>雪後寄朴參奉思兼</title>,<text>怪他寒氣未消磨。二月溪山欠物華。天意却嫌春色晩。故敎滕六作飛花。</text>
<title>雪後。簡月明巷諸益。</title>,<text>一夜江村雪滿坡。剡溪淸興問如何。故人鷄黍猶相待。莫效當年返棹麽。</text>
<title>月城</title>,<text>雉堞依然地不移。城頭片月幾盈。金宮粉黛今安在。芳草猶含故國悲。</text>
<title>瞻星臺</title>,<text>登高望祲屬司星。疊石撑霄對翠屛。故國無人誰管領。雨餘苔蘚上臺靑。</text>
<title>次李孟猷過杜陵憶韓處士 汝愈 韻</title>,<text>行人猶說杜陵韓。洞裏孱顔亦不頑。處士遺風何處見。至今松竹保淸寒。</text>
<title>遊內延山</title>,<text>絶磴難扳咫尺間。一層艱似一層艱。兩脚雖勞雙眼豁。不妨扶杖渡淸灣。</text>
<title>次蔡上舍天則書堂韻二首</title>,<text>北風雨雪怕天寒。好是詩書閉戶看。莫道此間滋味少。客來呼酒蟹臍團。也宜炎暑也宜寒。安樂窩今一㨾看。又是春來奇絶處。梅香月色合成團。</text>
<title>哀金秀才孟壽</title>,<text>花落空山無定數。老夫曾不動心曲。狂風吹斷一番春。却悔三宵桑下宿。</text>
<title>見捉魚有感</title>,<text>魚在水中魚自樂。遊人何事苦相侵。一自庖犧結網後。世間無處可安心。</text>
<title>自大芚向安寂口號</title>,<text>山似雕鎪石似礱。淸流㶁㶁繞西東。桃源不獨仙人境。安得移家老此中。</text>
<title>戱吟</title>,<text>我似禪房老大師。學童皆是少沙彌。書齋淡泊無滋味。戒律如今謹守之。</text>
<title>九日無酒</title>,<text>重陽佳節菊花開。花下無緣把酒杯。吟得新詩當一醉。多情明月入牎來。</text>
<title>吾友南君舜會國衡。有子五人。皆佳士。第四郞先題鴈塔。少年登科固可喜。况具慶乎。榮親之日。以一絶奉賀。</title>,<text>五箇芳蘭菀滿家。時來先發一枝花。生生春意應無盡。慰爾東湖老病査。</text>
<title>上府伯趙公 明澤 三絶</title>,<text>斛粟堪爲續命丹。延生不必報神丸。老妻忽解雙眉皺。催洗塵鐺供夕餐。閉門飢卧碧山阿。滿架詩書揔是魔。多感涸鱗霑斗水。其如斗水易乾何。白首心期四友知。難忘最是草玄時。毛公已禿松侯死。惟有陶泓對晩曦。</text>
<title>江亭盆梅</title>,<text>虐雪饕風撼九垠。忽看瓊萼數枝新。主人偸得神仙術。尺土能移閬苑春。</text>
<title>次韓思彦韻二絶</title>,<text>客中寒具只麁麻。觸冒風霜喫苦多。幸得煖炕能穩宿。一身安處卽吾家。愁緖紛紜若亂麻。學童隨處慰心多。今宵聽得詩書讀。如在花溪溪上家。</text>
<title>宿韓氏墳菴。贈主人。韓諰思彦</title>,<text>客筇來倚小齋菴。風響叢蘭露滴杉。晤語中宵忘寢寐。不知山月已西含。</text>
<title>正月十日午時立春</title>,<text>午前冬日午後春。冷暖中間妙理存。牎外寒梅花半吐。一枝香瓣兩年痕。</text>
<title>晨鵲</title>,<text>有鵲査査枝上語。謂聞喜報耳偏傾。寂寥終日無消息。鵲亦欺人也世情。</text>
<title>曉坐</title>,<text>晝夜閒齋坐卧時。眼中山水夢中詩。詩爲舊業難忘得。山水牙絃也自知。</text>
<title>禿筆</title>,<text>硯世墨月筆日計。硯破墨折壽如何。頭禿管城能耐久。但無鋒銳被人呵。</text>
<title>小旱秧種未畢。官祭羅王廟。是日雨。喜甚呈府伯。</title>,<text>水滿甌窶秧事了。惜乾一雨直千金。莫言羅廟神靈在。太守元來歲旱霖。</text>
<title>思家二絶</title>,<text>在家元是如過客。作客何須更戀家。只念小孫方學步。日隨阿媼弄階花。來時庭草始抽芽。今日山梨已落花。窓外葡萄蔓幾許。綠陰成幄覆簷牙。</text>
<title>讀放翁集有感二絶</title>,<text>豪士風流慕放翁。吾生恨不與翁同。朗吟遺韻時長嘯。氣作靑天萬丈虹。芝田居士是何人。不幸生逢帝醉辰。編次放翁詩集日。胸中叵耐氣輪囷。</text>
<title>歎時文句棘二絶</title>,<text>造書本欲代繩結。下筆何須較拙工。可笑癡兒多事在。還將一字費磨礱。造書契欲使人知。人不知如結繩時。堪笑世間癡子輩。故爲艱澁自誇奇。</text>
<title>歸家四絶</title>,<text>出遊時每憶歸家。也得歸家爲甚麽。四壁枵然無一物。入門惟見鳳仙花。鳳仙花發白兼紅。灼灼夭夭滿塢中。帶雨含風嬌欲語。嫣然如笑主人翁。主人翁是拙迂儒。常對詩書以自娛。妻子呼飢猶不恤。嗒然終夕據枯梧。據枯梧處便希夷。倦卽甘眠喜卽詩。終日寂寥人不到。索居還憶出遊時。</text>
<title>庭前種五色鳳仙花。花葉甚盛。有妨菊種。一夕使兒曹盡鋤去。只存十餘本。以供賞翫。偶吟二絶。</title>,<text>爛熳仙花五色繁。一朝鋤去盡莖根。餘葩尙得如干在。無乃其間有數存。吾非不愛鳳仙花。却恐繁陰損菊華。植物人猶嫌太盛。休將富貴自矜誇。</text>
<title>與韓思彦同行。韓先馳。中路有所觀落後。戱吟。</title>,<text>君馬如飛我馬遲。君先我後不相隨。我行不息君行息。我已水濱君谷陲。</text>
<title>値雨屋漏。遍室無乾處。憶夏亭公無傘家何以堪之語。偶吟二絶。</title>,<text>夏亭有傘能防雨。當日還憂無傘家。無傘家應皆有備。獨吾無備儘堪嗟。床床屋漏盡沾濡。束手無謀只擁爐。始識相公當日語。正憂如我拙迂儒。夏亭柳相公名寬。與黃喜幷相。値霖雨屋漏如麻。公手傘庇雨。顧夫人曰無傘之家。何以能堪。夫人曰無傘家有備。公笑。</text>
<title>題日新堂</title>,<text>一堂顔色一番新。不是堂新人自新。新揭日新堂額後。眼前山水亦新新。</text>
<title>女息醮日已近。値大雪戱吟。</title>,<text>貧家醮女問何如。環堵蕭然四壁虗。天意也應嫌太儉。故敎瓊玉滿庭除。</text>
<title>立春日。往天龍寺偶吟。</title>,<text>今日已爲甲子春。與春爭到雪山垠。山僧報道梅花發。春到山家不後人。</text>
<title>香檀一株。又移植敝庭。</title>,<text>檀香分得數枝靑。一植吾庭一汶亭。南北山蘭非異物。也應終古共芬馨。</text>
<title>兒輩携拙藁赴藝戰見失</title>,<text>蒙塵敝帚落何方。覆瓿糊牎兩不妨。但恐相傳登具眼。魏公藏拙竟難藏。</text>
<title>自山中暮歸</title>,<text>醉馱吟魂牛背歸。霏霏暮雨風更吹。靑山偃蹇當面立。錯認高人欲拜之。</text>
<title>有人剪去百日花。只存零根。不絶其種。自言俗謂此花妨家。初不信之。後來多驗。及遭喪變。不能無疑。故如是云云。余戱作二絶以贈之。</title>,<text>花開盛時來蜂蝶。蜂蝶來後花衰時。花盛乃是花衰漸。非因蜂蝶花始衰。花若妨家花可剪。家若妨花家奈何。花不負人人自負。非花妨子子妨花。</text>
<title>次金進士敬天韻 金以義城人。寓居蔚山。</title>,<text>南望歸雲峽路長。夢魂飛繞冷泉堂。翩然一札驚開眼。滿手天葩字字香。</text>
<title>觀梅湖集有感</title>,<text>昔日親炙梅湖老。今日三復梅湖詩。詩中氣像宛然在。如對梅湖凾丈時。</text>
<title>贈琴師 客中遇一琴客。示以所携詩軸。仍乞詩。次其韻以贈之。</title>,<text>一曲誰彈月下琴。碧天如水暮雲深。相逢共是窮途客。更聽尊前白雪音。</text>
<title>過渭陽。感舊居村落成墟。</title>,<text>依然物色至今存。翠竹靑松擁故原。寂寞重泉人不見。獨來無語暗消魂。</text>
<title>次朴善伯韻</title>,<text>詩興未闌懶病催。頹然閒卧竹牎開。儂家亦有梅花在。不必騎驢訪遠梅。</text>
<title>讀李斯傳一絶</title>,<text>斯被高誣就獄牢。三川先入楚兵鏖。子由在外猶爲幸。不死讒鋒死賊刀。</text>
<title>西面訓長。於諸生講席。以一絶勸諭諸生。有傳其韻者。聊步以寄。余時忝都訓長</title>,<text>吾曾未學敎人何。每對靑衿愧實多。君獨不忘桐子命。却將詩句頂針加。</text>
<title>苦無睡</title>,<text>平生愛睡老逾耽。何事今年睡未甘。牕暗不知天已曙。忽聽簷外鳥喃喃。</text>
<title>偶感</title>,<text>三忝玉山洞主名。每因衰病坐停行。遙憐多士藏修地。風雨經年久不晴。</text>
<title>夢覺</title>,<text>夢裏春遊樂事多。覺來愁緖更紛挐。忽驚白雪投牎隙。疑是前林送落花。</text>
<title>強赴玉山院任</title>,<text>興廢斯文運所關。愚蒙豈在有無間。儒林成囑難虗負。强策羸驂一往還。</text>
<title>入院喜見庭梅花開</title>,<text>何處東風消息來。梅花牕外一枝開。誰知虐雪饕風裡。已是溪山淑氣迴。</text>
<title>九月十三日。九月節也。至二十一日爲九日。是日菊花始開。二首</title>,<text>重陽恰過一旬奇。今日庭前菊始披。九節數來爲九日。乃知花發不違時。花開不負九秋時。人負花時欠一巵。白鷺衝烟無復見。東籬相對強吟詩。</text>
<title>南甥妻得首男。墮地卽夭。一惜一慰。</title>,<text>偶落初花莫㤪嗟。春風他日復開葩。此花若是琪花種。後發花應勝此花。</text>
<title>汶陽亭。種渭城柳。</title>,<text>司馬亭前蚊水濱。一枝移得渭城春。東風到處添佳賞。嫩葉柔條歲歲新。</text>
<title>績麻遺紛。取以綯繩。得百餘把。偶成一絶。</title>,<text>紛然亂緖寸餘長。收拾綯成百尺強。始信世間無棄物。莫將彝秉任拋荒。</text>
<title>詠路傍亭樹</title>,<text>往來西路幾番回。曾見新移此樹栽。此樹卽今成老大。吾生那得不衰頹。</text>
<title>金進士敬天寓居蔚山。將歸故土而未定。去留。欲以卦爻斷之。問於余。余以一絶贈之。</title>,<text>行止非人使尼爲。不煩休咎問蓍龜。譬如飮食從吾好。飢飽在君君自知。</text>
<title>立春日風雪。憶栗洞孫友。</title>,<text>相別居然隔歲華。思君夢幾到君家。不知春信先人至。見說寒梅已放花。</text>
