<title>謾成一絶</title>,<text>淡靄入眼明。晴嵐覺心洗。終年不厭對。蒼山是舊契。</text>
<title>雨中謾吟。擬呈石坡元兄。</title>,<text>雨中高閣望如仙。永日爐薰動篆烟。堅白奚關山外事。羲黃時遇案頭篇。傳家緖業遺箱在。臨老工夫秉燭然。隔水娟娟神獨往。也應淸眄亦東邊。弊居在東</text>
<title>重步仙字述懷</title>,<text>世間非是有眞仙。達士於名視若烟。塵表誰乘黃鶴背。竹牕閒檢白雲篇。參同寶養欽元晦。多病朋疎哂浩然。膠桼盆中如自拔。定看光霽入無邊。</text>
<title>無題二首</title>,<text>向前誰覓坦然程。白日還多擿埴行。欲識丈夫容足處。千尋坑上一條平。臨深履薄大英雄。四軆全歸是極功。試聽曾師寢疾語。了生猶在戰兢中。</text>
<title>家藏古硯行 庚辰</title>,<text>硯爲文房四友長。粤亦聖哲置諸側。想當繫易刪詩日。杏壇應有一片石。霽月亭上闡頭臘。紫陽堂裏張羽翼。漏洩天機多少活。嗟哉弘景與有力。遙望神州陸沉久。千載寂寞端溪色。於休東國我祖家。至今重器硯一匣。倘非靑海上品產。定是西湖精靈毓。外方內圓象天地。造化已備良工斲。蟠屈四面老草龍。分明神剜而鬼刻。墨池周圍深且廣。蟾輪翳翳三湘濯。吾祖於物無所玩。澹然書室惟爾蓄。用資修辭成大業。微言四七儀三百。十襲靑氊五世後。斯文復光河南嫡。詩禮庭前作元符。其重不啻衣鉢托。燕居發揮日孶孶。薦以棐几常尊閣。摛藻起鳳何足云。貴乎世守惟道學。衆人摩挲亦感歎。况我後昆擎手澤。不待子西養生銘。庶反三隅知所擇。樂山有象靜故壽。訥木同德鈍不泐。軆用歸趣仁而已。竊願儀形玆硯北。</text>
<title>鳳下書齋慶老宴詩 並序</title>,<text>吾外氏諸君子。以己卯重陽之越日己巳。設慶老宴于鳳下書齋。在老人位凡三。處士公七十五歲。掌憲公七十四歲。修撰公七十二歲。而俱甚矍鑠。自今以往。又不知其享有幾箇年壽。則闔族之相慶而上壽者固宜矣。竊惟念先王尙齒之典。始於鄕達於朝。而其敬養之義。必先行於家。故周誥之用酒洗腆。豳雅之爲酒介壽。班班可考。則今者外氏之擧。豈直爲一門之美事而已哉。推原其所由。盖莫非先王孝悌之敎。煕朝惇叙之化。有以致然也。吁亦盛矣。詎不爲衰世偉觀耶。惟余夙被親厚。因覩盛集。與有抃喜。遂賦南陵七章。以寓頌禱之忱。且以備外氏故事云爾。南陵有廈。設席孔將。且燕以几。三老羞芳。晉水洋洋。世引胡考。豈若今休。幷壽三老。有猷有守。于館于臺。亦翹于野。保家之材。皤皤其髮。燁燁其采。天錫難老。保玆無改。籩豆靜嘉。琴瑟偕鳴。笑言永夕。闔門之誠。濟濟衣冠。來相其歡。孰無耆老。惇親是難。維南有山。維北有斗。以介景福。以延厥後。</text>
<title>某年吟</title>,<text>彼蒼臨無語。今年是某年。啓緘神鬼證。斷鉞日星懸。鬱結還如昨。昭明只在天。萬人亡已半。秋雨健陵前。</text>
<title>秋日登合江亭。呈主人金丈 憲敬。</title>,<text>兩江交處小亭高。秋望蒼然萬頃濤。鷗鷺平沙分藥塢。魚龍深窟戴林皋。浦村歷歷搗砧急。商舶依依掛席豪。詩景不須囊底拾。枕流淸致卧拈毫。</text>
<title>紅白菊問</title>,<text>微紅輕白遜中黃。惟得貞心傲肅霜。我異時人專尙色。慇懃䕺下喚寒香。</text>
<title>紅白菊答</title>,<text>外華休說白兼紅。傑氣崢嶸九月中。縱使主人同俗眼。天香無損賦吾豐。</text>
<title>登自天臺 蔡處士雩潭築</title>,<text>落日來尋處士臺。大明年號此中嵬。太歲又丁涒灘暮。江流東下使人哀。</text>
<title>憫旱篇 壬午</title>,<text>屠維星火節。天公久不雨。溪澗欲生塵。草木同嬰痼。况玆農務殷。龜坼日所懼。圭璧走壇墠。備文恐無補。我聞上天仁。施澤以甘澍。興雲有峻嶽。引風有噫土。一氣遂薰蒸。千里始灌注。滋潤無不被。神功萬物普。使天孰如此。主張有聖主。玉燭明四海。陰陽不愆度。一年三百六。其應捷桴鼓。成湯責桑野。精誠斡氣數。宣王詠雲漢。赫業復文武。始知天人合。曾不間毫縷。寃氛苟上薄。至和柰得聚。南燕臣有哭。東海婦無訴。滌滌彼山川。降灾天所怒。嗚呼我邦旱。年年在月五。下民不敢言。往事痛心腑。天道問幾周。居然近壬午。監臨本明明。咫尺顯隆墓。哀心長結塞。遂以屯膏固。但遣赤魃肆。不念蒼生苦。熱炎亢連月。田畦化焦釜。二麥穗旣枯。三農事且誤。欲雨旋出杲。燥燥度朝暮。西郊雲何密。中谷蓷已賦。譬彼赤子渴。求母母不乳。民情極望霓。怨咨徹玉宇。但道不雨灾。誰陳不雨故。廢書我永歎。無心琴瑟拊。何時大伸雪。餘醜伏霜斧。庶慰在天靈。時雨作蘇煦。</text>
<title>賀內舅南厓公得螟嗣</title>,<text>氣自靈根一。無間遠近枝。流通慈孝理。當驗接梨詩。慕軒集有接梨詩。妙盡天機。有如今日之事。</text>
<title>贈蔡正言自軒丈 弘韻</title>,<text>匹馬南遊老。蒼然十載顔。遺芬尋丈席。端拜願陶山。眼盡浮雲變。心依秉燭殘。却憐相送後。湖月幾回圓。</text>
<title>書室感吟</title>,<text>夏木當軒蔭。溪湍入戶鳴。獨來無一事。惟有感時情。</text>
<title>聞朴烈婦奴萬石雪其主寃。歎賞賦一絶。並序○辛巳</title>,<text>烈婦榮川人嘯皋後也。適閔不幸孀居。隣富姓金者。闞其舅出而挑之。烈婦毅然自守。金乃誣以曾有所眄。構播閭里。烈婦抱狀自辨。榮倅尹彜鉉利金厚賂。勒使毁節。烈婦遂伏劒死於官門。獄事經年未白。烈婦奴萬石痛不欲生。以其妻與子爲金臧穫。卽屛絶而歸之。鳴寃輦路。事下本道。嚴訊金賊得情。幽鬱始决。嗚呼。奴以下賤。不顧私愛。判此大節。不亦義哉。至寃寧使九原埋。爲主精忱貫日回。莫以尋常皁肄視。倫綱扶得兩間來。</text>
<title>先祖別集編摩。感賦其事。</title>,<text>蒼翁賞音怳隔晨。復從巾衍收片隻。蒼石嘗曰愚伏文章本於倫理。雖片言隻字。不可棄也。 瑞錦煌煌𣌑秋陽。用月澗祭文語。 寸零猶辨七襄織。况昔玉堂諫巽箚。大關宗國奠盤石。萬曆乙未宣廟因中朝勅諭。欲使東宮代理。先祖以館職。上箚力爭。 及當邊聳撰書日。證以天心明順逆。通微理窟履安地。發揮諸說日星赫。筵對實感長陵眷。太史隨記瞑眩藥。七十一年春翁筆。祗謁大軆由心服。絶妙碑辭幽堂誌。形容終始業與德。羣哲瓣香見羹墻。就中雲漢先朝倬。誄辭正廟親製。 凡此豈止不可闕。一一合付文梓刻。修稧社中肆捐財。欲壽其傳布海域。我家文獻七世來。秋澗立齋後先作。恨不考校隻眼前。迄今未遑誰當責。谷口不幸餘不肖。凉凉盥手細細讀。篇第只依原集例。膚見何敢斷以臆。蠅頭弱腕擎一床。夜夜奎月連江閣。原集刊板藏在江院。 皓隣浦陽間奉質。分爲七卷合四冊。丁寧奉告吾黨士。今幸全書人得目。苟將原別虛心盡。益驗再傳師表百。</text>
<title>至日吟</title>,<text>圖揭十二辟。默觀消長理。誰破羣陰積。生出一陽始。小大旣不同。還恐彼蝕此。所以君子訓。惓惓扶其稚。至人取友善。百世誦顔氏。萬累雖坌集。惻隱豈終已。天地備吾身。靜敬卽一致。願言自今日。服事無悔旨。</text>
<title>孤坐敬次退陶靜室韻 二首</title>,<text>積翠浮屋角。邈然與世隔。終歲罕輪蹄。乘春閴筇屐。溪練鷗泛泛。林茂花寂寂。歸來一室靜。誰訪逃空跡。古書儲架穩。老眼喜牕明。功名已息機。毁譽復誰驚。隴雲依晩壁。山雨度殘更。埃氛滿世裏。屋漏媚幽情。</text>
<title>九月十三日庚申。奉藏王大妃簪珥。遷健陵合封。識哀一絶。</title>,<text>憶在庚申望羽衛。是年龍馭忽賓天。痛哭梓宮今復出。依然八域耿光宣。</text>
<title>熊耳山蓍草歌。寄呈姜啓好 世誾。</title>,<text>熊耳之山高且秀。下壓后土上摩蒼。外方桐柏旣齊名。安知不經神斧揚。靈氣昭朗此亭毒。有草曰蓍生其陽。根含一極統軆渾。莖應百物散殊當。檜南老師親見賞。荊江大龜猶遜長。一炷升香東海晩。紫陽筮儀空在床。如何從逆後箕子。又何掛扐違素王。萬古神明元一息。雖不遭聖妙用藏。天下物理極參差。千頭萬緖相礙妨。隨叩卽應無所拘。以呈屈伸兼柔剛。變而通之觸類伸。百慮一致惟貞常。湛然在櫝不容髮。鬼神惟測高明疆。地產豈獨神物爾。山下亦有居士姜。滿肚天香寶花氣。高吟宇宙聲琅琅。若際堯庭爲指佞。若入岐籠爲黃薑。不如三尺亹亹圓而神。何以措諸大業聲流芳。如山凡草乃與榮。如栢斯悅九丸岡。</text>
<title>寄從姪民勳山房</title>,<text>梵宮因作讀書樓。冬夜長懸繼晷油。熟路縱敎輕轍騁。明珠須向溥淵求。法家子最容辭謹。大丈夫非喫著謀。乃叔無成前鑑在。案頭須惜寸陰遒。</text>
<title>春日喜林翁曁平窩。聯參宗家冠禮賓席。</title>,<text>春風車轍自東西。爲是山家禮事齊。白髮延陵名德趾。靑衫華嶽雋才懷。醮樽旨酒花初動。賓席高談日欲低。秪有凉凉疇昔感。黃原迢遞入望迷。</text>
<title>有懷誠齋南丈 漢皜</title>,<text>杜陵花竹碩人庄。白髮眞襟靜裏床。卦數已周年德卲。經齋申闢敎方良。一瓢剩得前贒樂。醇酒閒排叔世傷。蘭契只須隣老重。明珠幾採閟淵光。</text>
<title>次姜兢庵 世揆 同字</title>,<text>一點靈犀對榻同。西城誰道隔山竆。夢遙末路浮名上。身在先民節度中。澹澹瓦盆梅吐雪。翛翛石砌竹含風。乾坤廓落俱回首。門館當年我適翁。</text>
<title>奉簡愁州使君姜令公 世綸</title>,<text>出自東僚鎭北門。時賢持贈白山雲。三千里外鄕關夢。四十年前內閣恩。江漢分飛鴻鴈影。田園正滿蕙芝芬。慇懃昨夜愚丘月。流照茫茫絶塞閽。</text>
<title>移寓述志亭。謁親墓。</title>,<text>荒塋來拜獨傷神。歲謁緣因歷痘隣。三十星霜如昨日。白頭孤露此何人。</text>
<title>山門十栗</title>,<text>靑靑桑梓樹。古人恭敬之。樹木何用敬。先澤乃攸滋。瞻彼谷口栗。先君種昔時。排列如繩直。十株當路歧。雨露七十載。菀菀繆榦枝。盛夏淸陰濃。高秋黃實垂。陰爲勞者息。實爲飢者資。東西南北人。無不利其爲。區區十年計。諒非當日思。平生愛物仁。嗚呼止如玆。恒居躳愛惜。而無柳子悲。但恐人視慢。斤斧或傷夷。當收莫恨少。蒙稚爾何知。</text>
<title>昔厓老悼夭詩。悲不能再讀。謹用其韻以識哀。</title>,<text>滿室頓絶兒寢偃。白日無光行路惻。老父在外獨何爲。世間空抱人理極。</text>
<title>哀到續賦</title>,<text>花謝今春明復紅。人亡今日永成空。欲寓此心無所寓。只看流水去無竆。</text>
<title>辛未春。我國通信日本使還。賫來退書節要十冊。盖彼中有所謂玉水先生者。尊信退陶書。手自節要。若先生之於朱子書。其亦異矣。作古軆一篇。以示來玆。</title>,<text>君不見兩曜之明明天下。貴賤無間有目者。又不見五穀之味味作甘。咀嚼於口無夷夏。君子之道本如此。凡厥尊親血氣類。至誠孚豚亦透石。况乃稟受均天理。苟使老蠻不學則無足評。學則當師李先生。先生之學得紫陽。若合符節極明誠。所以片言隻字皆型範。讀之使人自興感。洋溢聲名遠及蠻。若指其迷牖其暗。謙冲盎粹這氣象。無異捧袂天淵上。愛看全書珍拱璧。節約䂓模朱節倣。刻之信古堂。以俟來者從容商。有曰岡恕作弁卷。辭氣不放頗精詳。聞昔先王陳常敎。止于中夏舍夷獠。不但鴂舌難法語。盖其偏心忽軆貌。嗚呼天意不可測。神州陸沉于今年數百。柰何一脈文明氣。反以鍾之於齒黑。大抵道理至公共。運氣循環初不限雜種。思聖特贊配天功。以明吾道大一統。堂堂正脈朱氏門。寧有方外諸小藩。墨名儒行文暢輩。韓公取之尙贈言。何况玉水能善變。自謂戢戈惟經傳。篤信典訓寧不貴。此處安用華夷辨。想當鑽仰先生日。言必忠信心存一。天道至昭不可欺。矧我私淑尤親切。於止知止丘隅鳥。聖人若爲今日詔。兩曜五穀到此亦有驗。罔生不如九原早。</text>
<title>宗宅前。有老松偃爲門。因雪蹶拔。歎惜賦之。</title>,<text>覆道蒼柯偃盖然。丘園替作蓽門堅。樟樓隱處通眞境。竹逕開時引象贒。膏沐奇資添夜露。歲寒淸韻鎖巖泉。那知大雪銛於斧。蹶却盤根頓失前。</text>
<title>敬次退陶書院韻。寓慨近弊。</title>,<text>竹水當年廣廡墻。請經因作國家庠。誰知前輩勤勞意。只爲吾林奉德康。南康䂓制昉吾東。濟濟洋洋覬入宮。豈料風波多末路。無端孤負大師宗。殘篇束閣任生塵。敎拂誰能倡起新。黃濁淊淊愁極目。寸膠那得一淸臻。</text>
<title>湖齋卽事</title>,<text>寂歷楸陰一局回。滿湖春水鏡虛開。仍雲百世瞻依重。穹石千年絶妙裁。柳眼垂黃龍尾島。山容浮碧鴨頭隈。齋堂便作琴書會。盡日輸情好月催。</text>
<title>先祖別集刊役會席。次平窩韻三首。</title>,<text>追拾先書謹始終。付今剞劂卜無竆。遺箱隻字零金重。曠代淸飈聖鑑空。南院藏篇相與表。西林結社賴爲功。從知繡得班班訓。開發羣蒙燭照同。正軌陶山淑至終。溪齋當日溯源竆。淵冰凜履由居敬。鸚鵡能言戒騖空。百世羹墻存道地。千秋山斗作人功。遺文不盡開來意。思問篇中面命同。立爺求梓事要終。未及編摩恨豈竆。六世典型王所篤。千年隻眼更誰空。寒潭印月傳來訣。帶草天香啓牖功。今日始能遺意就。臨篇興愴士林同。</text>
<title>步內舅南厓翁容字。勉光愚。</title>,<text>突弁前冬正爾容。更將䂓步勵初蹤。秉心夷險分蘭棘。課學謾勤判豬龍。何必探紅天上桂。只須含翠澗邊松。吾家自有升高法。回首晴空大祖峯。</text>
<title>聞內舅南厓翁弄璋。喜賦。</title>,<text>贒螟已祝弄新璋。眼底欣成寶樹行。慈天雨露知無間。從古鳲鳩在彼桑。老樹根深不帶秋。一枝裁接一枝抽。有菀他年無限蔭。定知天意植仁優。</text>
<title>臨對亭韻 並序</title>,<text>亭之基。直所居洞壑之口。盖甑峯一枝。夾澗蹲蹲而北。遇溪水而止。如築臺然。高數丈。上衍數畞。澗外小砂橫遮其北。鰲柱一麓。正當其前。自成一局。書室及山水軒。相望於林木掩暎中。水之過臺下者野人堤堰之。演漾渟滀。可容小艇。田原阡陌。歷歷在西南指顧間。通一路亦在臺下。往來不絶。其爲地淺近平穩之中。有幽夐開爽之趣。故余甚愛之。每於花朝葉晨。步屣盤旋。久欲寘亭而無力。然竊取周先生終朝臨水對廬山之意。以錫玆名而待焉。噫余於山水動靜之理固矇然。獨其因境寓興。欲庶幾於古人祖述也。故旣名之以是。又拈題識之。陶靖節所云詩成屋未就者。正謂此也。天作亭基別一岡。對山臨水足修藏。鏡中纖影涵虛靜。畫裏羣鬟擁黛蒼。得氣洋洋魚鳥樂。當春拍拍朮薇香。欲知濂老終朝趣。太極微言請更詳。</text>
<title>寄申敬之達川僑居</title>,<text>大嶺何嶔。達川靑且綠。我有古桐琴。遠寄相思曲。深居芝下久。海內苦幽獨。逢君始黃嶽。一笑如舊識。天然圭蓽色。斂若芝蘭馥。往因蔦施松。聯榻於焉夕。小院桐花香。高岡蘿月白。澹澹愈相重。投瓜瓊瑤獲。瘦騎過剡溪。時君管西驛。對酒成惆悵。山月翳嘉木。何意墨子突。更向幷州築。晩擬烟雲社。飜成參商隔。生理間凭人。經年云愛褥。重爲針熨誤。空勞詩還索。漢渡多風浪。不妨門掩雀。玉佩終一鳴。前塗是館閣。贈君快腳方。習步萬金藥。自顧樵牧伴。蒲柳减前色。原濕每有懷。裘羊已絶迹。孤嘯或成韻。無人質淸濁。黃鳥流好音。年華良可惜。西望雲樹杳。相負雞黍約。但聞君子交。不在形骸覿。靈犀旣旁燭。蘭臭無南北。玄味隨處同。千里還一席。及此同衰暮。願言崇明德。</text>
<title>贈新恩族弟 象樞</title>,<text>專門經業少年生。一日金臚大唱名。拂帽天逵鴻羽漸。看花綺陌馬蹄輕。年回萬曆前光振。慶奉雙親晩福榮。更向芸牕勤學古。漢庭須用讀書卿。</text>
<title>六月十七日。齋罷感吟。辛巳</title>,<text>先祖歸眞二百年。典型追想兩遺篇。指原別集 心傳河老冰壺月。韻自溪翁寶匣絃。道院江山依奠夢。劒池松檟護崇阡。大風洪水無竆感。此日諸孫共薦虔。</text>
<title>效朱子十二辰軆。得二首。</title>,<text>陋室偏遺黠鼠穿。急雨頻移汗牛帙。擁峽却畏虎躨藩。避疾欲效兔三窟。愼痘故云 敢望晦養潛龍德。粗解慈仁埋蛇術。出無驢馬與人斷。優遊異彼羝羊觸。猿鳥時伴空谷陰。不知世味有雞肋。小技莫道狗監薦。旨哉理義豢豕悅。相鼠有軆可無禮。氣雖食牛徒麤厲。帝虎纔卞敢大言。取爵容易繫兔殪。不知蟄龍存身義。不念蝮蛇斷腕毅。一蹶飜爲馬革裹。三覆猶罪烹羊諱。何知醇默去狙詐。聞雞孶孶與善化。所以君子不狗苟。行如圈豚心愈下。</text>
<title>建除軆。閒居遣興。</title>,<text>計拙只建一茅齋。山色圍軒水繞除。滿壑風烟好管領。平居蔬糲常無餘。定知造物有分劑。男兒操執易壞了。浮世紛紛一笑破。時上危臺看紅蓼。無聊吟得七字成。每當良辰興未收。誰從竹下開三逕。我閉柴荊枕石頭。</text>
<title>演雅軆。擬呈皓隣翁。</title>,<text>竹樹淸幽老鳳棲。丹經烏几下簾低。風歸野郭蟬聲斷。雲入邊關鴈影迷。河朔蟻斟閒暫破。明珠蚌出喜堪提。自憐友鹿山居漢。悵望龍門日正西。</text>
<title>用建險軆自勉吟</title>,<text>洛建遺書榘度森。讀之可除纏繞習。嗟我恰滿知命年。平居數墨烏頭力。自知識淺欠定見。臨事茫然柄欛執。冦侵破屋苦無時。一箇天君危岌岌。苟要學成莫如敬。收視反聽常對越。開闔天機久自熟。萬善皆從閑邪出。</text>
<title>次紫極宮感秋韻</title>,<text>寒蛬朝近堂。疎雨夜鳴竹。昔贒有遺篇。芳馨如可掬。感此失路久。倀倀中情獨。川晴魚自跳。林暝鳥爰宿。萬類各有止。不疑焉用卜。泠泠玉溪琴。操縵歎三復。掘井期泉及。仞山由簣覆。請看嘉禾秀。不耨終不熟。流光不我住。迅駛迭寒燠。</text>
<title>送朴評事仲翼 光錫 之任二首</title>,<text>白頭奔走爲天恩。啣命遙遙六鎭軍。棨戟衙門蓮幕重。使臺風力繡衣薰。旆沾萬歲橋邊雨。路指重磨嶺上雲。聞道北民多困弊。口碑應頌撫摩勤。關北山川萬里垠。翩翩皁盖正蕭辰。朝廷欲重靑油幕。道路非難白髮臣。松老龍鱗豐沛郡。地分羶窟豆江津。匪躳一節神扶處。何日輕舟是洛濱。</text>
<title>贈別金新恩 揚壽</title>,<text>素冠何年面。靑衫此日行。搴蓮徵異夢。君嘗夢至愚山。折芙蓉一朵於枕塘。 發篋見先情。君先竹所公。爲作吾王考伯仲字辭。發而共讀焉。 笛破秋山僻。樽空老屋淸。歸驂維不得。相送遶溪程。</text>
<title>無忝齋府君奉安別廟日書事</title>,<text>松楸咫尺廟門開。祧主今辰敬奠盃。經畫蒸嘗宗子孝。蕫成終始幹孫才。澗宜滌濯循除潔。岸帶芬芳對牖嵬。更祝長房千萬壽。河南定禮敢踰哉。</text>
<title>北庵小會</title>,<text>獨無山月恨吳剛。淨界姿遊宿願償。談笑仙棊紅橘老。風流詩社白蓮香。巖泉汩㶁寒添響。岸檜參差翠滴光。朝市垢氛無一到。此間堪足振荷裳。</text>
<title>草山新居五章 乙酉</title>,<text>余旣作序而送兄。遂效斯干之詠。以替張老之頌云爾。崒彼天鳳。迤爲草山。山附地厚。洞朗成寰。含靈萃和。邈乎秘慳。卒叶元龜。碩人所安。能子其勤。作室以仁。維木維石。我籍我民。無已勞止。承之若神。遂致苟完。只可庇身。迺選吉日。迺此入處。挈我孫曾。偕我婦女。正于內外。儼其位序。念昔岐寓。不過里許。己亥春。先叔父寓岐山。列祖陟降。我依我將。蠲躬告移。怵焉履霜。待其有恤。權于淨廂。早夜密邇。其敢自荒。我登我堂。祝我多福。何以多福。曰維弘德。溫恭遜悌。人不我射。眉壽永年。子孫千億。</text>
<title>春來懷抱不佳。用杜詩感時花濺淚。恨別鳥驚心二句。分韻得十首。</title>,<text>帝德在震木。陽氣闢幽暗。萬物各自得。冲融無一欿。花木吐芳菲。禽鳥皷嘴顑。遲日麗大陸。浩蕩足遊覽。云何蓽門子。意想獨悽慘。早已識分劑。非是歎坎壈。西河戒失明。北岡抱嘗膽。骨肉且分離。老去不容暫。攝衣試步春。弸中只百感。宋德今幾曆。周道本如砥。玉燭調無象。化日聖代遲。四民遂業安。百工奏績煕。山川鬼神寧。庠序禮讓知。治亂互貞勝。綱維轉頹弛。紛紛川蜀議。截然根秉彜。滔滔濁浪勢。極目無津涯。陰雲蔽白日。百怪競魍魑。嘉言攸伏已。觀占括囊時。陰陽有雜糅。賦物或梟蛇。有道不敢逞。無道乃混邪。朱紫難分絢。雄雌誰辨鴉。狠腹各執私。騰口極紛挐。界限生咫尺。尊尙妄等差。我聞古哲人。中國視一家。廓然順應妙。反躳理不遐。姸媸於明鏡。豈淵墜膝加。請看造化公。惡木亦生花。藐余生此晩。所求在獨善。雖坐枝葉繁。不至舜跖舛。少時自待輕。從事功令選。竟失一夫目。空垂千丈線。古人有抑戒。服此收瞑眩。昏衢燭照微。竆巷雪消晛。煌煌朱退緖。家學僅如綫。端居無一事。聖師儼經傳。抱疑安所質。桑瀾已衣濺。幽人素好靜。終年對山翠。微吟數飛花。緩步隨流水。看書若干板。倦仍曲肱睡。如何今歲來。動懷奔走意。噫彼無賴髡。禍我父師隧。使臺靳一律。儒旙屢建議。沿道阻秦疾。隨衆縣邑邇。憤氣常滿腹。直欲籲聰四。世變至此極。中夜隕涕淚。六親樂無故。平生惟此願。不才亦何論。逝者頗謹愿。况付亞廟重。大慰能奠獻。一朝病攻內。所恃謬完健。宋法罪庸醫。後代胡無憲。弱孀與孤女。對爾將誰怨。三霜且將遒。孰謂忘日遠。重念生死際。不慈畏忌遁。詎不委命道。千哀復萬恨。宗族本鮮少。從行纔成列。邇來數十年。强半又夭折。壁壇殘月窺。谷口寒烟綴。存者誰最老。樵翁曁殘劣。樵翁我家主。於世不緇涅。謀身厭工媚。往往遭齒舌。寂寥林下趣。相期在晩節。懇懇眉宇色。不獨情話悅。長恨隔水居。柰作隔山別。竆居寡友生。幽獨自小少。未遇同心子。面雅或談笑。常愛浦陽老。眞醇徹裏表。先進已凋謝。擧眼無準標。周旋同門下。論討是久要。白門燭屢跋。修溪月欲曉。華山最嶷嶷。乍別魂夢繞。盍簪如有數。塊坐思悄悄。沉歎隱侯詩。不堪聞嚶鳥。我族將不大。椎鈍摠後生。詩成陶令責。書廢墨庄耕。歷問羣髡學。曾史數行零。文獻竟誰掌。南嶠替家聲。素望懋質行。保得舊典型。蒙昧但逸居。孝義弁髦輕。婉彼介子子。人器就妙齡。臈梅折數枝。寄余古意淸。勉哉爾勿怠。罏步念之驚。愚溪八九曲。淸澈無古今。巋然道存堂。芊芊鞠草深。徘徊一長嘯。殘日掛西林。賸馥丌縹帙。遺韻匣瑤琴。分明正路脈。底事苦難尋。志帥倦勿旗。强冦迭見侵。蹇步誰鞭策。離索費謾吟。嘗聞進修方。莫如受砭鍼。益友吾安得。嚴師在己心。</text>
<title>邨塢口占</title>,<text>午睡初醒倦步遲。偶尋林麓暢心期。黃梅洗雨天香動。翠麥臨風浪勢危。邨樹暫依晴後蔭。農歌剩得畫中奇。溪原咫尺漁樵宅。翹首寥寥不禁思。</text>
<title>人日 壬午</title>,<text>人事隨生赫日輪。此辰何獨屬之人。解惜光陰能兀兀。百年三萬摠吾辰。</text>
