<title>謁玉山書院 五言</title>,<text>冐雨謁賢院。齋庭靜且閒。衣沾何足惜。瞻拜怳承顔。</text>
<title>傳受感吟</title>,<text>稽古帝堯氏。初頭出聖人。亭午萬古日。蓂花一度春。垂衣五十載。蕩蕩廓無垠。昭光四表被。敦情九族親。開卷弁一欽。虞史贊聖神。帝欲官天下。禪杯揖讓辰。虞鱞耕歷坂。曆數在汝身。執中一言誡。示我心法眞。重華古濬哲。孝悌本天姿。及當廩井日。又在耕稼時。遂令父母志。烝烝復夔夔。玄德日以聞。天位允在玆。一點浮雲迹。五絃薰風詩。璇衡追曆象。溫恭纘文思。都兪吁咈際。百僚捴師師。大哉精一訓。微禹傳之誰。昔在唐虞世。懷襄九潦中。巢窟迷上下。鎭望錯西東。民生盡昏墊。聖人降塗宮。金簡玉字訣。疏若神工。謨貢百王法。平成萬世功。龜書天乃錫。九疇拔羣蒙。况復惡旨酒。其功大抑洪。傳受道在是。爲民導天衷。玄鳥降商簶。武湯濬發祥。盤銘工漸就。地統曆無疆。維時夏德替。民謠起曷喪。妖喜專寵肆。關龍底罪戕。遂令一局手。天命是奉將。縱慰雲霓望。深慚口實長。說性原有誥。立賢定無方。禮義制心事。千載法眼藏。甞讀文王詩。益歎文王聖。騶虞王化成。漢廣家道正。纔免羑里囚。誕膺舊邦命。豈無服事誠。猶有緝煕敬。稷劉已累功。周召矧爲政。鳶天作人才。獜趾振公姓。春風和氣中。所過相輝暎。終知丕顯謨。八百基餘慶。武王末受命。茀簶在蒼姬。繼志穪達孝。遵養頌王師。商罪貫盈久。民生炭塗危。諸侯八百國。皆懷爕伐思。如何牧野擧。不赴甲朝期。天下三分世。海內一戎時。丹書曾師尙。洪範亦訪箕。勛華這氣像。復見垂拱治。周公古聖人。武弟文王子。黃𧟌負冲王。白屋下賢士。胡爲管蔡言。凟擾于天紀。狼跋其尾顚。鶚惡我室毁。風雷動王心。陰譴帝所使。不有金縢書。能還赤舃几。禮樂賁人文。卦辭發睿旨。兼三坐待朝。吾道盡在是。周轍東遷久。夫子歲降庚。德合天地大。道與日月明。羲文聖王瑞。圖秘鳳不鳴。奏歌圍匡日。發歎去魯行。遂令三千弟。時雨育得英。春秋亂賊懼。雅頌禮樂聲。上紹三代緖。下啓百王程。生民未有盛。此謂集大成。三千聖門下。好學有子淵。點雪爐火上。時雨泗水邊。四勿麾旗脚。孤軍獨能全。文禮從博約。仰鑽歎高堅。如何在陋巷。至樂寓春絃。用舍行藏道。仲尼亟稱賢。舜是何人也。禹亦易地然。氣數誠難詰。天不假其年。千仞鳳翔門。誕生好箇質。孝養酒肉餘。歌聲金石出。大勇往千人。素貧飢三日。而守本約精。其學眞篤實。聖門獨得宗。見知最爲密。持身省必三。告道貫以一。請看大學書。綱條燦秩秩。心法喚敬來。後賢盍紹述。華晥易簀後。傳道有誰存。曾元旣莫繼。公明亦難言。尼岑復降彩。得我夫子孫。衡斗舊聲韻。洙泗古淵源。視作家庭學。功大聖人門。費惠曾師事。魯繆敢君尊。費工昭日月。至誠軆乾坤。中庸第一義。發明性命原。鄒孟亞聖人。吾道賴不墜。性必堯舜稱。功豈管晏比。治亂各有時。氣數丁周季。覇者多假仁。處士猶橫議。氣像瞻巖巖。喬泰聳平地。齊梁遊勸王。楊墨廓闢異。大匠定千門。手法不細膩。所以七篇書。嘉惠後人遺。道喪千載後。奎文聚五星。草庭無邊綠。蓮峰只麽靑。夫子生南服。通書繼六經。太極肇加圈。玄機不暫停。闡發千聖旨。探賾萬化精。不令倫空意。豈以疊床名。彼哉象山叟。逃禪妄加評。天欲傳斯道。太中託兩程。有美河南宅。奎運一淸期。瑞日涵至象。精金禀好姿。粤自孩提日。識解出凡兒。墜釵手以指。貪泉口能詩。光風龡玉色。極翁是吾師。石佛光莫現。泥塑坐如癡。同學聯棣萼。全書析蚕絲。直筆題墓道。潞公豈余欺。試向瑤琴聽。龍門理韻初。袍帽威可像。菽粟味有餘。當時馬呂輩。先覺拔茅茹。河南眞侍讀。崇政新說書。唐虞治庶幾。孔孟道卷舒。涪州一行力。盡在易傳於。簞瓢尋所樂。繩墨示廣居。游楊門雪立。師道復何如。尼岑降聖餘。夫子又庚戌。棹歌竆本源。荷珠驗天質。嗟吾道難行。立朝四十日。壽民抱金丹。憂國坐漆室。草䟽遂自焚。滄洲遯亦吉。註解羣聖書。輯成千卷怢。疾革猶整冠。誠意是絶筆。吾知大人工。然後能事畢。</text>
<title>知非吟 七言絶句○庚申</title>,<text>蘧瑗四十九年非。五十方能悟昨非。人病雖知每自餙。如何除得一生非。</text>
<title>觀漁</title>,<text>烟晴日暖錦江隈。一片漁舟兩兩來。遙擊鳴檣先劫逐。近遮流網小裵回。翻身直抵千層浪。倒眼深窺半沒苔。自是機心忘了久。夕陽鷗鷺伴魚臺。</text>
<title>松亭漁磯</title>,<text>雨笠風絲下釣磯。渚晴沙暖坐忘機。白鷗解我無心久。時與相親却不飛。</text>
<title>次從弟諧仲人字韻</title>,<text>人宜修道作眞人。人不行仁豈曰人。人道分明希則聖。人之精一是爲人。</text>
<title>奉和權松溪看花詩 乙酉。時先生十五歲。在松溪書堂。</title>,<text>無數林花意態濃。童冠先後賞春筇。離庭日久韶光晩。千億吾身散上峰。</text>
<title>奉和羅默軒君善 三首</title>,<text>職職芸芸萬物中。恭惟上帝降民衷。請看白黑椀中水。天賦初心一是公。又人於情性心爲統。萬化皆原百體從。爲問惺惺存養法。瑞菴和尙道家宗。又破屋吾家有冦至。主人無備病空吟。孤軍妄欲摧强敵。願借心籌下一針。</text>
<title>立春日。敬次樂齋先生春字韻拜呈案下。二首</title>,<text>葭管飛灰第一春。玉盤傳菜報新春。陽噓洞裏生生意。節換人間物物春。竹牖始開迎暖日。梅簷方掃賞初春。涵煕再値乾坤泰。惟願年年賦頌春。立春今日報新春。却喜臘前布德春。一點庭梅微圻日。千絲澗柳細舒春。生生造化求諸理。處處流行得萬春。箇裏最知回泰運。自今高卧太平春。</text>
<title>次小有亭韻</title>,<text>重結巖頭第一家。嘉賓賢客幾來過。琴歌取醉貧猶樂。畊釣偸閒興更多。畫壄長江軒外去。矗天羣岳望中羅。此間坐卧宜忘老。肯向風濤學弄 本字竹下弄 沙。</text>
<title>乙巳春。拜迎寒岡先生於浮江亭。奉和慕堂孫丈韻。是年三月。寒岡先生自漁牧亭舟行。宿仙査書齋。樂齋先生與一鄕士友七十餘員。迎候於浮江亭。勸孫丈共賦詩以記勝事。余亦賡和焉。</title>,<text>元氣蒼蒼聚斗南。先生門下幾奇男。天邊喬嶽爭瞻望。江上筍輿遞送探。梧几分明移洛浦。桂舟容易入仙潭。雲林到處增生色。歌咏羣篇滿玉凾。先生杖屨伴春遊。十二行窩洛水頭。浦鳥習飛風外疾。汀蘭沐化雨餘柔。催登江閣仍行酌。爲訪査齋更放舟。安得竆源伊泗去。百年容我免沉浮。</text>
<title>甲寅春。夢遇李茂伯。時李公宰鏡城</title>,<text>林下黃鸝喚午眠。故人來坐舊詩筵。北關此去幾千里。東洛相分已一年。念我厨貧魚餽及。微君情厚鴈書傳。武城古有絃歌理。爲贈潭翁簿牒前。</text>
<title>甲寅聞鄭桐溪 蘊 有大靜謫行感吟 時鄭公抗䟽昏朝有是行</title>,<text>扶桑一隅小華名。聖祖遺風禮義明。天下元無不是母。世間皆有莫如兄。奸㐫儻自朝廷討。夫子如何大靜行。寄語片須護去。海靈寧不感忠貞。</text>
<title>夜讀春秋有感 甲申</title>,<text>日暮人間漆室憂。誰將大義講春秋。中原敗局崇禎涕。南漢孤城丙子羞。環列星迷天北拱。朝宗江失海東流。從今謝却塵寰事。未死支離老白頭。</text>
<title>社燕</title>,<text>數間茅屋半簾開。三月江南社燕回。多謝年年尋舊主。主人門巷不全苔。</text>
<title>精舍新成</title>,<text>十載費心匠。搆成屋數間。軒開臨綠水。簾捲見靑山。村僻門厖睡。林深夕鳥還。枕書伸脚卧。贏得一身閒。</text>
<title>藏書樓</title>,<text>東榮添一架。聳築藏書樓。白石新庵近。蒼臺古篆留。讀須千卷破。遺豈萬籝謀。盥露閒舒捲。優焉可此遊。</text>
<title>石假山 幷序</title>,<text>一日夏雨驟至。急瀑中亂石轉下。堆積谿邊。杖屨偶及。遂有米元章素癖。愛翫而得三個石。其一廣可數尺。長亦倍之。而端圓直方。中立不倚。有君子嚴重之容焉。其一廣而不甚厚。其高廑一丈。嶄嶻奇詭。攢立尖凹。其中多窽𥦔。又有藤紋匝錯。有丈夫磊落之節焉。其一頭圓而略俯。腰直而端拱。絶去偸薄之習。而恰得貞固之心。有弟子侍立之像焉。予乃運置精舍下。使門童日日累石。聚以爲山。其上各樹其一。出入坐卧。視作几案前一物。匪以翫好。凝重也吾取以爲容。磊落也吾取以爲節。端拱也吾取以爲像。夫天地間一拳之大。莫非慳秘底物。而今此三者。獨爲翁家之寶藏。朝夕箴戒。則其將攻他山而庸玉成者耶。於是乎重有感焉。賦而序之。近眡分明石。遙看髣髴山。𡾓崚千劫骨。埋沒半苔顔。鬼匠疑剜刻。攢峰若擁環。方知人力巧。偸取化工還。</text>
<title>藥圃</title>,<text>老年多疾病。神力付靑囊。菊本延齡物。蘇爲取汗方。倚牆開竹牖。緣壠荷塘。歌頌春臺化。蔀廬盡壽鄕。</text>
<title>戱題古今法帖</title>,<text>我家傳筆派。神護若相持。竹葉留蒼篆。銀鉤訪禹碑。粧成錦繡帖。流及漢唐時。盤屈龍蛇勢。風雷動墨帷。</text>
<title>閒中卽事</title>,<text>南山桂樹下。矮屋若僧居。麥酒微醺後。布衾煖睡餘。荷鋤移野菊。引筧灌園蔬。西日欄干曲。竹風滿意噓。</text>
<title>李茂伯，徐精甫兩兄自査齋倂臨精舍。留一日講大學第五章。因賦詩。</title>,<text>竹下山厖吠。何人訪我居。謫仙今見李。孺子古稱徐。査上摳衣後。岡門立雪餘。三宵鼎坐話。勝讀十年書。</text>
<title>翌日兩兄旋駕。時菊花盛開。臨別設小酌泛黃。各賦一詩。以備異日山中故事。</title>,<text>風霜搖落節。黃菊向人開。愧我殘年廹。問君幾日來。廵杯無定數。別管莫深催。十載山居僻。無令石逕苔。</text>
<title>丁未八月初五日。迺我老慈晬辰也。略設酒杯。速親戚故舊。與同此慶。敬次朱晦菴壽母生朝韻。四首○七言</title>,<text>蓂花細數母齡歸。華甲秋高錦繡帷。㶑澦罇醅養老酒。斑斕身着舞兒衣。歡情永侍康寧頌。家道相傳孝友肥。聖代昇平逢壽域。從知此樂世間稀。北堂晨省下怡然。更勸厨妻斫海鮮。酒後韶顔斟斗祝。病餘衰骨得秋堅。難將寸草酬春色。願把長繩繫日邊。瑤海碧桃歸獻壽。麻姑何必獨爲仙。廣覆慈天一發房。免敎田地任全荒。此年此日秋將半。諸父諸姑樂未央。百世燕貽皆祖業。三年蠃負是孫郞。是年以母夫人命取從弟汝兪第二子愼與爲宗嗣。生三歲。 從今占得傳家計。要慰親心奉壽觴。堂宇曉開灑掃淸。竹風微動盡簾㫌。癡兒誠薄厨長匱。慈母恩深海可傾。却憶公山經㥘界。先考校尉公當壬辰亂。避地公山悟道菴。是冬十二月六日。校尉公遘癘以歿。 豈知今日保餘生。榠欞樹下萱春老。籌得長年樂太平。</text>
<title>樂齋先生用東坡梅花韻賦呈百梅園。敢忘拙奉次。拜進鄭先生几案下。</title>,<text>梅花不合烟塵村。瓊玉爲骨氷霜魂。瘦影至今凌白雪。暗香從古浮黃昏。先生抱道愛眞趣。斸取百本移名園。春風借得造化力。北枝猶冷南枝溫。淸艶素質藏夜月。的皪姸態爭朝暾。幽芳羞入賣花肆。十載不出山之門。及到妙境媚獨處。此意難詩亦難言。敢用蘇仙三疊曲。擎進凾筵醉霞罇。</text>
<title>百梅園。待李以直，裴子章不至。律詩○二首</title>,<text>記曾書托赴佳期。花事淵園梅發時。謂爾子章先講易。竢吾以直共論詩。迷茫樹色伽山路。寂寞車塵洛水湄。郊外烟生西日暮。故人此意復誰知。從容凾丈百梅前。瑞日和風二月天。誰悟蘧非行五十。敢言曾志列三千。一身已備聦明賦。萬物同歸造化甄。入室升堂階級在。願言隨子與周旋。</text>
<title>敬次孫慕堂丈五蒼臺韻</title>,<text>亭卽寒岡先生所築。取上蒼天下蒼波前蒼松後蒼巖而以蒼顔頹其間之義也。慕丈與其季梅丈幷拈韻來示樂齋先生。先生因賡和。余亦追次。庸寓景仰之忱。特地烟霞逈出塵。幾年慳秘待幽人。巉巖老石遙回日。薈蔚長松自在春。乾象仰觀行健體。溪流俯瞰濯淸辰。先生儼若蒼顔坐。四者蒼蒼護一身。</text>
<title>癸亥春。行嗣子愼與冠禮。請羅兄君善爲賓。蔡戚明甫爲贊。禮畢不勝感頌之私。賦古詩二百八十字。</title>,<text>我祖尙書初起世。東國古稱星山族。詵詵一室敦忠孝。繼繼百代傳昭穆。吾身自以大宗嗣。才蔑學膚心轉忸。螟蛉祝得式穀似。眞實天姿成就夙。字畫能從篆隷書。識解稍長經史讀。天啓皇明癸亥春。以月之令加元服。晨興告廟點茶酒。日晏入厨具脯鱐。之賓之贊尙德齒。前後三書敢請宿。隣朋旣有君善老。外黨且邀明甫叔。主人再拜謝慇懃。何至遠辱林下屋。冠禮之廢盖已久。老夫平生憂憤蓄。曾費心力妄抄選。略倣文公詳節目。兒年十九責成人。敬請行事先齋沐。盤揲已向堂北陳。冠巾且爲階西築。其東自是冠者位。櫛𢄼簪帽三加祝。第一讀畢棄幼志。次二頌罷受胡福。儀文秩秩盡有序。起聽戒辭仍俯伏。盤領袍圓體端正。平定巾高志卑牧。正由善禱天百祥。欲酬其惠珠千斛。不知何處昌胤笑。永作家範無墜覆。</text>
<title>送南澤之 銑 歸京第 尙書南公。乃仲父參判公女壻。贅居聖塘。</title>,<text>天然珠斗降精神。曾是伊齋講道身。旅寓十年齊贅壻。鄕思千里越吟人。馬蹄闘入長安路。鵬翮摶搖北海濱。餞罷沙頭仍佇立。江南三月可憐春。</text>
<title>癸酉春。男愼與中司馬。聞喜翌日。與羣從諸侄。酌酒稱慶。作詩志喜。得二百八十字。</title>,<text>崇禎六年癸酉春。嗣男採蓮歸歡侍。乃爺於今六十三。花陰日暖傾深觶。朗吟常棣八章詩。招招老從諸昆季。屈指平生賦命奇。此日此慶伊誰賜。憶昔皇祖宅島村。燕貽孫謨心力費。魁躔早入將才薦。王考虞侯公。以將薦拜慶尙左虞侯。未赴任早卒。 蓬矢元從男子志。高明反被造物猜。不大其享嗇報施。先君兄弟第四人。玉樹高風天篤卑。伯叔英姿講武略。先考校尉公，叔父參判公登虎榜。 仲季端容業文字。仲父右尹公，季父處士公有儒行。 顧吾罪逆不自滅。桐藪兵塵壬癸事。當亂中轉避公山。先考校尉公壬辰歿。仲父右尹公癸巳歿。 呼號舁櫬返故山。搖落荒墟淚相視。我曹時以弱冠齡。不圖生全今日至。追思先業各誓心。負笈聯翩講伊泗。樂齋先生在伊川。寒岡先生在泗水。 雙諧 諧甫諧仲 德器盡合䂓。兩甫 和甫來甫 文章幷立幟。天時剝極轉爲復。一堂箎塤恣盡醉。從知積善百年來。踰分科名敢取次。登龍雋望盖鮮雙。從侄愼修再捷大小科。 司馬高名合計四。諧來兩從中司馬。男愼與新榜進士。 別有天恩敢視私。雞舌郞中鳳山吏。從侄愼修以侍郞歸覲來。從新除鳳山。 我斟我酒歌我歌。滿園桑榟春色翠。與乎與乎益勉旃。百世宗祀於汝寄。</text>
<title>讀晦菴詩。敬次觀書有感。二首</title>,<text>盥讀遺詩意便開。凾筵當日宛徘徊。淸宵試向林塘月。恬淡無風鏡面來。慣住湖邊老我生。風波幾處小舟輕。春來日漲桃花浪。爲揭孤蓬任自行。</text>
<title>癸卯四月。遠近諸益。作仙査船遊。時余有制未赴。越七月望。與諧甫，諧仲兩從追躡往跡。戱賦近體一律。</title>,<text>東南衿佩德爲鄰。野麥黃雲第一辰。滿載烟霞幽賞趣。遍尋河洛本源眞。靑蓮學士應前謫。喩李君顯李子實諸人。 明復先生最後身。喩孫季進叔侄。 洗硯池邊 池世傳孤雲遺躅。喩崔鎭仲。 孺子宅。喩徐精甫 都輸佳景屬閒人。</text>
<title>聲氣之間。物各感遇。聊賦一律以示己意。</title>,<text>新卜吾居頓覺奢。滿園幽賞逐年加。如梅無雪難爲景。以菊凌霜始有華。鷗鷺浮沉溪客夢。牛羊來去野翁家。卧龍之下琴湖上。一半山水問幾多。時從弟諧仲亦搆小屋扁鋤齋。故末句及之。</text>
<title>辛亥五月。倻鄭仁弘沮斥晦退兩先生從祀。以卞誣事赴花山䟽會。孫慕堂丈 處訥 見川上層巖。拈韻要和奉次。蔡楨，孫處約，崔東岦，李景培，閔蓍國，徐思選，李之華，崔東嵂同行。</title>,<text>欲挽狂瀾障百川。有巖層立勢相連。雲開紫玉瞻何許。地近淸凉聳屹然。林氣陰深魑魅走。苔文錯落化工鐫。今行爲我師門擧。庶鑑前車戒後顚。</text>
<title>五經體用合一。各分兩圖吟。六首</title>,<text>宗於諸卦有乾坤。萬化皆從闔闢門。秦漢以來歸卜筮。伊川一傳發明原。唐虞心法典謨中。下逮商周一軌同。爐外殘篇猶口授。後人誰識伏生功。咨嗟咏歎勸懲辭。三百篇中六義推。如琢如磨繪後素。始知商賜可言詩。固人肌骨節人文。地緯天經上下分。奈彼漢儒剽竊語。名爲聚訟謾紛紛。春壇麟筆素王權。一字之嚴衮鉞然。終敎亂賊難逃罪。尊攘書中四百年。五經體用合分殊。分處曾何合處無。君子時中存大道。肯敎空櫝買還珠。</text>
<title>閒中偶吟 絶句○二首</title>,<text>槐柳垂垂小草屋。七旬容易老山翁。門厖枕石閒成夢。眞澹心機自在中。柴門常掩少囂塵。依舊溪山入眼新。靜處驗知還動處。終朝臨對偶如人。</text>
<title>辛未乃余回甲。見長孫爾益生喜吟。</title>,<text>瘦妻告我抱孫榮。能使山翁世念萌。白首塵寰已換甲。靑氊家業又添丁。三宵玉局香烟細。一朶蓮花陸地生。門戶從今懸碩果。錦江春色幾回靑。</text>
<title>勉贈精舍學徒</title>,<text>童冠六七好相隨。戒汝爲山仞簣。計一生多吟病日。選三春少不風時。須要康健當勤讀。如得淸明可放詩。苒苒光陰流水逝。及成枯落悔何追。</text>
<title>墳菴 三首</title>,<text>春雨秋霜節序移。不堪悽悵淚交頤。那緣再得歡顔侍。啼卧親前學小兒。奉護幽宮十載餘。半山松栢尙扶踈。樵童愼勿斧斤伐。孝子仁人不忍且。深樹慈烏盡夜啼。一聲高啞一聲低。知渠反哺猶餘恨。終使菴翁意轉悽。</text>
<title>次徐精甫韻</title>,<text>英聲馳冀北。壯志在圖南。富貴何須願。聦明是好男。天和親玉友。晩興對山嵐。君子欲無過。師曾日省三。</text>
<title>太極圖 二首</title>,<text>天地分陰陽。陰陽合動靜。圖成加一圈。推體發深省。兩儀從此立。五氣布其中。凝精生萬物。變化儘無竆。</text>
<title>總論無極太極 二首</title>,<text>而豈淪空寂。且能驗本原。如何陸氏子。信此葉枝繁。花開一榦茁。月落萬川圓。手授師門訣。程朱獨得傳。</text>
<title>名利</title>,<text>名利關頭少歇時。人生到此摠堪危。須知孔孟行藏道。可做唐虞吁咈治。腐鼠易譏蹲沼鳳。繡犧何似曳泥龜。顧吾性拙才兼鈍。隨分溪山占取宜。</text>
<title>與蔡靜應，孫季進兩老入硏院。以院誌修正事。文告鄕中。步出畵巖賞花。</title>,<text>畵巖高揷綠雲鄕。接袂聯筇好倘佯。此地前賢臨杖屨。後來諸子寓羹墻。花開時節春將暮。鬂白親朋樂且央。野酒催人豪興發。不知西日下蒼蒼。</text>
<title>與柳衛仲 時藩，徐立之 時立。過槐軒郭公 再謙 故里感吟。</title>,<text>記曾凾席侍周旋。夫子衰顔我少年。物外烟霞閒世界。卷中朝暮老經綸。寒爺愚老蘭交臭。畵塾査齋月講筵。壇杏庭槐相掩翳。至今行路式閭前。</text>
<title>玉山張正甫自査齋見訪。留一日講易學啓蒙。及歸與從弟諧仲出餞湖上。口占。</title>,<text>我欽子張子。受鉢旅翁門。尙友千古上。嘐嘐絶俗喧。出入南軒宅。來去橫渠村。天然德器就。南州士望尊。慇懃訪弊屋。知君友道存。度曲追點瑟。呼酒醉孔罇。處身團和氣。開口發藥言。自以籠罩子。感歎情莫諼。主人誠且薄。湖南啓北轅。歸去磻溪月。夜夜勞夢魂。</text>
<title>將向硏院。待朴君錫 宗祜 不來。</title>,<text>院有斯文會。與君約共行。樹陰已卓午。西望錦江汀。</text>
<title>硏院瞻拜後。敬次老先生畵巖韻。</title>,<text>畵裏奇巖學舍成。年年月朔講遺經。東方不有吾夫子。醉夢人間𠅩喚醒。</text>
<title>娥林館冬至夜。與李石村 景旭 共賦。</title>,<text>半夜靜聽隱隱雷。一陽微動地中開。試看萬物消長理。否泰人間自去來。</text>
<title>挽寒岡先生</title>,<text>宇宙精英鍾大賢。海東文獻更昭然。派源本自寒暄出。正脉元從退老傳。推重廟堂曾見試。養閒田里竟歸全。無依詎忍吾儒痛。追挽靈輀淚澈泉。</text>
<title>挽樂齋先生</title>,<text>天挺眞儒惠我東。端嚴氣像捴由中。操存旣篤追先緖。提警尤勤啓後蒙。鏟彩埋光名自大。安貧樂道德彌隆。樑摧無賴神明力。桐月悽凉鎖殯宮。</text>
<title>挽李石潭 潤雨</title>,<text>通經安素履。師友託知音。雅範人皆服。仁聲世共欽。澤民期白首。補闕擬丹忱。一疾嗟爲祟。偏傷未了心。</text>
<title>挽鄭和叔 天濡</title>,<text>早世功名擬可收。觀光千里洛陽遊。沉痾轉劇醫無效。玉樹先摧歲未秋。鏡裏孤鸞抱雛泣。天邊斷鴈失羣愁。眞純雅度今難見。將使親朋涕泗流。</text>
<title>挽從弟諧仲</title>,<text>羣從皆亡我獨存。忍看殘日照鴒原。此行先後同歸盡。禍福休將眼底論。同席無聞弟與昆。此間心事向誰論。升堂會有寬懷處。餘慶綿綿子若孫。無後由來不孝論。此身多罪愧乾坤。賴君借子承宗祀。之死難忘一體恩。痛哭復長思。君何遽至斯。問天天不語。質鬼鬼無辭。德宇人皆慕。眞醇我獨知。百年同老約。零落但哀詞。</text>
<title>挽郭進士 涌</title>,<text>曾聞必壽本乎仁。豈意君年未四旬。吾黨不惟從此厄。一家雙殯最悲辛。</text>
<title>挽趙東溪 亨道</title>,<text>少年文藝擅吾儒。晩掛桑弧挺百夫。任重專城猶可慰。權輕仗鉞是堪吁。謝家寶樹聯皆秀。充國䧺圖老益麁。痛矣垂楊還作祟。英靈應恨未平胡。</text>
