<title>獨坐巖</title>,<text>獨巖宜獨樂。埋沒幾千秋。遙對公山靜。無人奏水流。</text>
<title>貧無養歎</title>,<text>家貧親又老。何以供甘旨。遊身翰墨塲。未曾事耘耔。臨農昧菽麥。對卷無魚雉。羨彼耕樵者。供養優自己。辛苦作田功。秋來積又峙。負薪易所無。滋味狼藉市。水陸味盈盤。膏粱味滿簋。日日勤着力。隨意任滫瀡。余何坐此職。忠養不如彼。親病食無魚。此心那得喜。若進些美味。飯應加一匙。悲歎自不已。空然視釜錡。勞心雖無限。素習元如此。負薪應血肩。把犂恐傷指。多般食力事。摠不浹我髓。况是細民事。父母不願只。往釣琴湖水。餌不呑鱨鮪。旣匱曾聖肉。還慚王祥鯉。余讀內則篇。珍果亦具美。不預十年計。園中無桃李。古人爲貧者。往往從祿仕。自顧愚且魯。不與君子齒。所以年卄七。自坐在這裏。余聞古聖訓。能養非孝耳。悅志非三牲。盡歡在菽水。前訓也如此。不敢取非理。况又父母心。不欲違素履。時有外來物。辭受辨疑似。親年漸向衰。日月又迅駛。安得及此時。滋味日在視。安得金丹藥。以永親年紀。其易尙難供。此味那得底。悒悒廢書歎。眽眽坐移晷。借問兗公樂。樂中必憂是。傷哉貧也歎。宜發季路氏。</text>
<title>謹次退溪先生次李太白四十九歲紫極宮感秋韻</title>,<text>常恨鳳舞村。無桐亦無竹。琴湖流潑潑。眞源誰先掬。此地藏修好。有巖亦云獨。何當立心齋。晩計有歸宿。余年四十九。知非不待卜。欲非不再萌。要是不遠復。門路何處得。經訓須反覆。豈恨年光晩。夫仁亦在熟。</text>
<title>贈秋尙義</title>,<text>古今天下物。本善初無惡。氣以成形後。善惡方殊域。攀折木乃敗。搏激水方躍。爲善非爲福。爲惡孼自作。本分都是善。何須說禍福。譏此人禍福說。 透得誠意關。難易又何度。我觀老農稼。及時播百穀。稂莠勤耘去。禾苗乃培沃。如何南山竹。旣直且羽鏃。本末相須業。少偏便倚著。此意當先解。遑說自然得。</text>
<title>謹次奇高峯贈金而精勤學韻。贈李汝玉 鼎璧。○並小序</title>,<text>李君與余相從有年。其儀標端正。心志安詳。不爲塵累所拘。可與有爲於吾儒之業者也。欽服之至。思所以一言相贈。以寓相勉之意。近見退溪集。有奇高峯贈金而精勤學韻。勤學二字。合於友朋相規之義。故敢次以奉。余性狂愚甚。處世識太晩。百事強外求。一志徒內損。如食不知味。如行不知反。駸駸四十年。踐履空濁混。心意日頹敗。語言漸麤狠。倀倀久冥行。及此盍將返。安得三益友。相與窺扃梱。幸君天資魯。事行求其本。木訥是近仁。思近不馳遠。但以才不敏。尙未入堂楗。願與情耐久。一任此心懇。是君授昏陋。非我辭竆遁。舊習須共箴。新心幸相忖。讀書勿放浪。旨味極微婉。發言勿輕肆。人情如折坂。誠求無不中。新嫁識兒咺。力勤方有得。菑畬起新墾。辛苦不可避。歲月不可挽。春風古榻邊。有蘭靑幾畹。水石君家好。烏峀勢蜒蜿。於焉相追逐。終身此繾綣。君子反身工。更勉水山蹇。娓娓我忠告。唯唯子諤謇。心田旣相許。努力共耕蔉。</text>
<title>伏次漆室族兄元朝韻</title>,<text>人皆壹是本修身。得拜元朝誨誘新。去舊從今斯速可。書紳何敢待明春。</text>
<title>仰謝漆室族兄賜心經</title>,<text>古來心法此經全。拜受函筵手賜篇。縱不堪當傳授訣。退而時習敢遷延。</text>
<title>偶吟</title>,<text>欲求仁處莫求人。方見義時不見身。若有一毫私意雜。蹈鋒潤鑊摠非眞。</text>
<title>輓漆室族兄 二首</title>,<text>千尺臺巖淑氣晶。弗翁門內又先生。早從湖老抽金鍵。晩契立齋琢玉章。愚蒙自此失歸依。漆室冥冥隱少微。無復此生承緖訣。有誰他日闡遺徽。</text>
<title>除夕</title>,<text>一歲光陰此夕除。願將心病與同除。莫言世務專委我。此志立時次第除。</text>
<title>呈梅山洪公 直弼</title>,<text>踏盡長安萬戶春。芬華世道一般人。如何獨對終南坐。魚鳥山林絶點塵。</text>
<title>聽背巖鳥聲有感</title>,<text>此谷不曾有此禽。近年林茂始來吟。是知外物求難得。只在工夫積累深。</text>
<title>詠理氣互發</title>,<text>理氣何須局定說。分開只在渾淪中。欲知發處同而異。先溯原頭異者同。</text>
<title>詠梅</title>,<text>種梅君子每要多。驗得春心不在多。百卉未萌方雪裏。一枝花勝萬千多。</text>
<title>北溪精舍有感</title>,<text>先生遺躅此幽居。九曲澄潭一架書。後學於斯興想處。啼來山鳥躍來魚。</text>
<title>偶吟</title>,<text>幸得爲人名曰人。人而非學不成人。爲人由學學由志。志不若人豈若人。</text>
<title>夏夜吟</title>,<text>淸景無如夏夜中。蒸炎初退動凉風。少焉村巷農喧靜。雲捲西山月上桐。</text>
<title>和蔡敬沃 沁</title>,<text>幽懷耿耿步中庭。嶺上寒松戴雪靑。空守獨巖仍獨坐。那從硏院共硏經。</text>
<title>慈仁鄕校會講大學</title>,<text>夫子宮中夫子書。仁山秋月講筵初。吾儕此會誠非偶。更願同居是廣居。</text>
<title>次族弟禹瞻 宅鎭 伴雲齋韻 二首</title>,<text>仙庄奚取碧山苔。爲伴閒雲朝夕來。我亦無心塵世者。願成三伴石門開。溪上靑松石上苔。思君春日一筇來。白雲亦解伊人意。深鎖衡門半面開。</text>
<title>鳳舞亭十景</title>,<text>廟朝遙隔北槐林。靜夜那聞絲竹音。但願淸陰分四面。招凉隨處與人尋。獨巖槐林檻外春田一色靑。用天因地幾生靈。太平聲和康衢唱。占得豐年好雨星。藪野農歌日望烟波大舶頭。檣烏豈是肯盟鷗。問津人到江天暮。鼔枻中流暫不留。琴湖泛舟老釋耽看象鳥文。塢雲放出半間分。須臾一點騰天去。孤鶴應嫌俗客聞。公山片雲藹然如霧復如塵。太古精華雨後晨。初共林風踰鷺社。更隨江靄渡琴津。黔里朝烟莫言今日鳳臺空。一抹丹山不老東。夕照玲瓏樵唱起。分明伏火鍊砂紅。丹山落照山南湖北夕陽天。飛錫翩翩降列仙。借問念珠何事念。歸程遙指白雲邊。桐華歸僧何事巖頭獨釣魚。平沙垂柳是閒居。優遊暮日鷗盟好。多少江村酒債餘。花潭釣竿解倉財可解吾民。歸義路如歸市人。靜聽前呼後應語。省耕資給在明春。解倉糴路浦荻江楓滿眼秋。雝雝和瀨數聲悠。回翔何事不飛去。狎鷺亭連鳳舞樓。鷺亭鳴鴈</text>
<title>次李文彥 大升</title>,<text>與君夙契臭蘭同。今世上人太古風。幸得巖齋麗澤說。願成諸子及泉功。</text>
<title>登採薇亭。喜得竹杖。</title>,<text>冶隱先生手種竹。淸風百世賜田中。一竿幸得平生志。更奮殘年立懦功。</text>
<title>題啓蒙傳疑後</title>,<text>名曰傳疑實解疑。折衷諸說闡風羲。分明象數由辭得。須取先生錄訓資。</text>
<title>齋居有感</title>,<text>六十年來何事業。鳳亭之竹獨齋桐。雪中春色月中影。誰識自家意思同。</text>
<title>讀寒暄堂先生景賢錄</title>,<text>天以斯文眷我東。旣生圃老又生公。始知首倡五賢業。發軔從來小學中。</text>
<title>輓鄭參奉億一</title>,<text>負笈師門自妙齡。與君同志又同庚。倀倀中道無竆慟。樑月難從厚夜明。</text>
<title>愚山院拜謁先生位版。退登道存堂。</title>,<text>先生遺躅此堂存。道所存兮師所存。追慕十年陪講處。諄諄誨誘耳猶存。</text>
<title>讀雙峯鄭先生集有感</title>,<text>師傅功名同我祖。臺巖兄弟等雙峯。始看遺集輓三絶。叵耐雲孫俛仰悰。</text>
<title>詠陶山形勝</title>,<text>不甚高巍不甚卑。泛看無味切看奇。誰知淡淡平平地。不測神機允在玆。</text>
<title>謁退溪先生廟</title>,<text>摳衣趨進德祠前。如見威儀兢惕然。恨不並生夫子世。執經問難侍函筵。</text>
<title>登聾巖李先生愛日堂</title>,<text>山南鄒魯禮安鄕。繞出陶溪汾水長。汾水之源源百行。先生遺躅此名堂。</text>
<title>伏次立齋先生 宗魯 贈別韻</title>,<text>宮牆卓立仰彌遙。惟冀平生聞道朝。大意孰援曾氏瑟。希音先聽有虞簫。看來正鵠猶從彀。行到眞源未可橋。努力幾時遵誨誘。超然不作一耕樵。</text>
<title>謹次李晩覺齋 東汲 心經韻</title>,<text>眞氏遺書七六經。心該人道摭篇名。智愚合下雖均賦。理欲同行郤異情。欲識危微分處妙。須從性氣發時明。學兼千古單傳訣。只是元初二五精。</text>
<title>次贈崔華仲 舜朝</title>,<text>秋早公山水氣寒。蒼苔白石坐衣冠。三杯酒到寧辭醉。一點雲歸不厭看。老栢無妨編衆卉。淸流還恐激危湍。鳳凰門外明朝別。我獨何心過百安。</text>
<title>立齋先生小祥時追感</title>,<text>夕陽愚谷涕潸然。依舊松杉水石邊。納拜幾時還哭拜。函筵今日設靈筵。但看暮雪深門外。無復春風吹座前。退讀遺文探至訓。後生傳述此中全。</text>
<title>永陽別族孫繼善</title>,<text>路由漆洞古山嶔。何事僑庄白水潯。族誼離鄕逢倍喜。師恩沒世覺愈深。願君勤飭毋隳緖。顧我切偲不易心。杯酒臨江相別意。一雙啼鳥故途尋。</text>
<title>桐華三月。贈孫謙叟 益振，巨卿 海振。</title>,<text>十里桐華一樣春。與誰同樂此尋眞。紅花白石樓前色。去鳥來雲世外鄰。靜裏看書多意味。倦時臨水拔精神。公山到處渾沂舞。何以携來五六人。</text>
<title>別韓都事 鎭書</title>,<text>半世蓬蒿占小園。鶴橋登拜是龍門。誰隨劉犬雲中吠。將見虞鯤海上翻。顧我優遊難北學。知君早晩命南轅。慇懃他日相尋約。復有城東酒一樽。</text>
<title>次贈趙極老 亨逵</title>,<text>立馬公山積翠中。萬松陰處一樓空。詩人逸興樽邊月。道士精神木末風。塵後心將流水白。醒來顔帶夕陽紅。洞天春色皆公物。眞樂孰如與衆同。</text>
<title>翼宗代理時。謹次泮儒相賀韻。</title>,<text>四重歌溢八州中。爲是靑宮樂泮宮。繼體鶴齡春億萬。理儲鴻緖道興隆。統傳堯舜至湯武。思自西南又北東。天命人心元一物。謀宜龜筮庶民同。</text>
<title>獨巖書堂</title>,<text>公嶽之南錦水東。居然泉石鳳村中。一堂兩室規摸得。十里三峯舖置雄。聚族於斯情話足。有朋容與講論通。苟完苟美功成日。更問何人此樂同。</text>
<title>輓夏悅庵 時贊</title>,<text>達城從古聞人多。今日湖湄又悅窩。持志縱饒衣尙褧。有輝自著玉重磨。一身林下優康濟。萬事人間任蹉跎。珍重儀容難復見。後生問業更於何。</text>
<title>伏次退溪先生元朝韻</title>,<text>人性由來這箇天。凝冰焦火此胡然。有爲每每二三德。無聞匆匆四十年。本地虛靈明似鏡。盈科妙術逝斯川。後時憂歎今朝倍。更執前程近裏鞭。</text>
<title>別南煕則 守明</title>,<text>千里南來所望何。靑鳧從古聞人多。我無足道黔驢技。君早有聲玉豹歌。半月工夫談四子。一生行事問三科。離程不與山川阻。別後幾時更刮磨。</text>
<title>呈姜司諫 世揆</title>,<text>憶昔春風一座中。餘光薰得郭西翁。山樑已邈人誰仰。衣鉢有傳道見通。豈以聲容師有若。須將踐履識胡公。拜辭今日南歸路。願乞一言發鈍蒙。</text>
<title>次呈李容軒 文煥 新庄韻</title>,<text>環堵八公十畒爲。碩人心事世誰知。浮雲漠漠層峯合。山木蒼蒼好雨滋。罥掛羽儀棲枳棘。婆娑初服紉蘭芝。紛紛世故無時已。杖策衡門媿太遲。</text>
<title>輓柳晦用</title>,<text>漢陽行色子何愚。白髮偏親抱病軀。千里招魂人代淚。三孤在室夢無虞。孝慈至行違元料。方策工夫惜半塗。目睹耳聞皆涕泣。那堪平日許心吾。</text>
<title>贈沈聱山 錫賢</title>,<text>才器如君世孰儔。下嫌鵬鷃共羣遊。蘭心癸未春三月。萍會嶠南第一州。空負古人千里駕。幸消今夕十年愁。羽儀早晩移東閣。說到前期意更悠。</text>
<title>黌堂講會韻</title>,<text>奎宿曾輝達句東。十賢輩出剩餘風。千年大學規摸得。一體諸生講說同。進退聖賢廊廡裏。從容今古典墳中。何當此會終如始。毋負吾人一蕢功。</text>
<title>次南起汝 履遠 聖殿垣竹韻</title>,<text>願將脩竹墨成圖。愛此眞爲君子儒。養得叢竿賢范白。移來編𥳑慕程朱。有筠苦節宜霜雪。如蔶前工豈半塗。長見枝枝多結實。休言今世鳳凰無。</text>
<title>謹次退溪先生元朝韻呈鄭侯 始容○二首</title>,<text>上仁下義本彝天。新歲民情倍翕然。梅閣春風噓一境。樂軒椒酒祝千年。昨宵村火豐吳野。期月街謠頌穎川。三善十奇何足道。空衙將不用蒲鞭。四境人皆樂二天。新元瞻仰更油然。豐燈別爲添千炬。輿頌先要借一年。冬雪寒消山北雨。春風暖入達西川。我侯若可求多考。孰不延頸願執鞭。</text>
<title>鳳舞亭</title>,<text>鳳亭新築錦湖干。隨分幽居事事安。藪野春風觀稼穡。獨巖晴日會衣冠。擇仁幸有賢規洞。習禮端宜大樹壇。叢竹孤桐弦誦地。分明靈物此中看。</text>
<title>輓孫北厓謙叟</title>,<text>死生竆達摠由天。忍使我公若爾然。驥足竟違西省路。鳳毛孤蟄北山巓。家貧自匪原思病。心化奈催伯玉年。從此吾鄕知己少。那堪執紼到新阡。</text>
<title>次李竹隱金烏山堠望臺韻</title>,<text>此地宜遊識字仙。城臺何事可摩天。明時肯使氛祲望。幽處長留羽化緣。大禹斧痕長寂寞。麻姑桑海幾推遷。超然獨立塵襟爽。浩浩如登架壑船。</text>
<title>次李汝欽 時甲 無號齋韻</title>,<text>世間萬事本乎無。無極翁傳一字無。欲識無中含至有。須從有處溯原無。射糖盤轉中樁靜。照物鑑懸一膜無。借問龍潭無號子。無之一理倘知無。</text>
<title>讀啓蒙</title>,<text>萬象森然一卷中。羲文周孔繼天功。方圓自在兩三數。奇偶徒歸卅六宮。大衍機終神德顯。倍加法乃吉凶通。尙辭若使求諸遠。晦父何心作啓蒙。</text>
<title>輓李公 鼎淳</title>,<text>淡而不厭簡而文。覿德何人不沐薰。百代家聲東表海。一時領袖北排雲。享年七十仁浮福。有子三人慶剩芬。路遠病深違執紼。千秋餘恨涕盈帉。</text>
<title>輓朴松石 履坦</title>,<text>吾南禮學幾希存。達士從公窺戶門。晩節優優松石老。家聲藉藉菊潭孫。蓮齋座上心期合。鄕飮篇中道義尊。已矣百年南社約。慟哉千古北邙魂。</text>
<title>病瘧七日。讀啓蒙中庸。</title>,<text>逐瘧單方反掌如。扶吾正氣百邪除。良劑但飽三時飯。定力連吟五聖書。去穢通神薑最合。驚心餒體藥皆虛。賊魁廝殺餘兵在。捷後備防愼勿疎。</text>
<title>鳳舞亭講會韻</title>,<text>天作斯巖講樹深。幾年空對八公岑。亭成鳳舞應來鳳。水帶琴湖肯撤琴。林下風流今日事。書中至樂古人心。緇帷試闢雩壇上。秩秩初筵濟濟襟。</text>
<title>別孫舜五 星卨</title>,<text>幾年不得此行爲。人事凄凉異昔時。邱隴成行胷自塞。兒童爭拜面何知。相看白髮悲餘日。共翦靑燈說後期。立竹枝頭仍碩果。多君孝友世謨貽。</text>
<title>四七吟</title>,<text>分開妙自渾淪明。互發初非各有情。水在器時雖一本。人乘馬處亦殊名。落川這裏如無動。太極於儀豈曰生。欲識鄒書剔發意。須看退老二圖成。</text>
<title>呈梅山洪公</title>,<text>元氣洋洋漢水東。眞源直溯鷺湖通。浮雲萬戶長安外。時雨八州弟子中。束帛邱園堯舜世。五經鼔吹洛閩風。梅山門下高山仰。願蓄桑楡九仞功。</text>
<title>贈李樂汝 敎俊</title>,<text>眞源欲向鷺湖尋。先賀夫君樂處深。氣像分明磨後玉。工夫都是鍊來金。東岡早决從吾好。西席能傳密付心。家督亦蒙爐韛化。願言同服頂門針。</text>
<title>別洪監役 一純</title>,<text>幾年傾嚮此心銘。徒步洛陽千里程。北學敢言豪傑士。南車願借擿冥行。從欽詩禮鯉庭過。且驗臯陰鶴和鳴。請量漢江千尺水。較吾今日去留情。</text>
<title>別金南白 是珩</title>,<text>吾南學問大方家。實地工夫不以華。古宅當隨梧澗柳。僑居何傍洛陽花。同門厚意愚山裏。今日懽情漢水涯。千里離愁元叵耐。况於兩鬢雪霜加。</text>
<title>謝贈申公 義直</title>,<text>綱常不與世情翻。天地中間一㙮存。致命何年扶太祖。重修今日有曾孫。王山智水前朝色。丹廟幽碑烈士痕。石帶明公追遠孝。愀然如復格忠魂。</text>
<title>輓李宗瑞</title>,<text>同門同志又同庚。伯仲之間許死生。心事夙欽山玉韞。德音時襲室蘭馨。肝膓盡鑠分鴒淚。歲月隨催過鯉庭。日暮山雲雲樹邈。深慚白馬巨卿程。</text>
<title>呈定齋柳公 致明</title>,<text>未墜斯文又在玆。永嘉終古有宗師。幸持孤燭傳三昧。願作南車破兩歧。銀鐵不容同一器。朱藍惟冀染吾絲。函筵得遂平生志。豈恨桑楡覓道遲。</text>
<title>別柳東林 致皜</title>,<text>山南淑氣萃安東。湖上源流水谷通。斯道千年傳退老。於人今日見歐公。遺珠韞玉塵憃外。甘雨和風講席中。覿德聆音心得飽。願開蘭室嗅香同。</text>
<title>別琴梅村 詩述</title>,<text>憶昔初逢鳳舞岑。一言相許百年心。潘江陸海早時事。邵月濂風晩趣深。爲救頹波成砥柱。還嫌朝市做山林。呻吟莫恨河橋送。早晩南州惠好音。</text>
<title>讀聞灘孫先生集</title>,<text>金鳳山南洞壑開。靖平遺業世傳來。斥邪義理熊魚味。孝友家風花樹杯。到處函筵伊洛訣。晩年魚釣子陵臺。旣張尸祝仍刊集。多士依歸運一回。</text>
<title>喜聖上仁聲</title>,<text>冲王聲敎喜洋溢。有國禎祥隕自天。奎宿南輝生大德。歲星東徙屢豐年。三千里內寘郵化。四百年間統緖傳。草野須臾無死願。陰崖早晩太陽圓。</text>
<title>和李竹西陶山夜話韻</title>,<text>天機要自靜中尋。說到淸凉夜已深。檻外山容猶太古。燈前詩話樂斯今。光明室下月明塢。淨友塘邊鳥友林。歸槖都收泉石趣。何須復奏白頭吟。</text>
<title>登高山書堂</title>,<text>陶山歸路仰高山。白鹿淸凉在此間。千尺層崖爭崛嵂。一源流水自潺湲。詩書古閣羹牆寓。花鳥春林意思閒。償願平生深有得。暖風晴日朗吟還。</text>
<title>和李雲傖</title>,<text>憐君氣味出風塵。契合金蘭莫逆親。千里江山悲白髮。百年書劒負靑春。誰知半世淸狂客。歸作終身玩愒人。一片山雲文酒席。情談未盡別愁新。</text>
<title>贈別李芝圃 璣榮震榮 兄弟</title>,<text>幾向芝園詠室蘭。如今幸接弟兄難。官停試日三旬會。天淹輕霏半夜懽。講習旣欽飛鳥數。交情更指嶺松寒。分明別後相思苦。北月南雲一㨾看。</text>
<title>次呈孫謙叟太碩人回甲韻</title>,<text>南極星輝析木天。主人華斝北堂前。日長古甲烹葵夕。風靜今朝舞綵筵。厖福豈徒王母壽。熊丸能敎柳公賢。多君孝享宜純嘏。願酌前潭更計年。</text>
<title>次狎鷺亭韻</title>,<text>名勝吾南處士家。鷺將千古底心過。百年遺躅扁中得。一壑風流水上多。先誼朱門同季彥。淵源洛下有楊羅。主人何事樓頭立。烟捲秋江十里沙。</text>
<title>次李文汝 孚益 花潭韻</title>,<text>憐君日日渡琴湖。心與文章足範模。南寓幾年磨鐵杵。北溪淸晝對薰爐。三杯卯酒詩愈壯。半餉閒談病欲蘇。郤恨吾儕相見晩。空然生世坐迷途。</text>
<title>用前韻贈柳湖會中諸益</title>,<text>文會年年此柳湖。先生風韻後人模。私情愛子求莊嶽。高義擊蒙借韛爐。三夏詩樽多渭北。百年塲屋守姑蘇。何當撥出塵冗外。一日一懽五里途。</text>
<title>贈金上舍 揚壽</title>,<text>不徒同志又同年。逢拜居然十載前。半夜淸談情未盡。八公佳約恨無緣。追思北學經行處。誰復南征指路賢。歲晏竆廬離索意。買鄰何日渡甘川。</text>
<title>書堂感興</title>,<text>世事林間摠不關。淸齋終日自怡顔。遠山雨後看尤好。啼鳥春來聽倍閒。風打香飄花砌去。鷰銜泥過女牆還。遺經讀罷逍遙久。意思悠然驗一般。</text>
<title>講會韻</title>,<text>緇帷重闢鳳亭春。春水方生十里津。單袷成時宜勝地。初筵開處摠嘉賓。聖人世上求仁俗。多士心中識道眞。始覺經談誠好事。蕘兒猶願此來頻。</text>
