<title>爲屋</title>,<text>爲屋不加茅。雨暘俱可畏。今朝覆其半。天日有顯晦。</text>
<title>次石臯八詠</title>,<text>山光雲影一幷奇。雲似靑山山似眉。欲識神工粧點妙。請君看取半開時。右晴峯宿雲晨興紫旭漲西厓。垂柳門前鳥語喈。味得古人觀物興。一般心趣此時佳。右新厓曉旭人去亭空月自歸。碧天如海鏡光飛。停杯欲問當時事。淸影紛紛散入扉。右壺亭秋月江花春日照江樓。添得山家興味幽。解記昔時遊賞處。獨留文藻繪風流。右白雲春花草鋪平野雨濛濛。牛背兒童春色中。兩岸晴沙松樹裏。何人能畫篴邊風。右長臯牧篴滄浪之水白淸淸。一曲漁歌穿柳城。浮世卽今多混濁。且須從汝濯塵纓。右石灘漁歌大地蒼雲鬱不開。平看十里海濤回。主人自愛凌霜節。日向江邊數往來。右開湖晩翠樹色蒼蒼煙氣籠。溪村一帶杳茫中。詩人莫謾耽佳景。郤恐浮光翳太空。右溪村暮煙</text>
<title>臨河山水十五絶</title>,<text>我家山水發源深。重掩千厓又百潯。豈是上流無勝處。世人惟自不窮尋。右摠論山出磯頭隔路塵。萬松林外水粼粼。一簑煙雨孤舟裏。千古何人識季眞。右鏡浦臺寒亭松樹已無陰。壞埒崚嶒草自深。惟有勝觀天不改。滿山煙雨獨悲吟。右寒松亭孤臺百尺瞰郊原。桑梓春深雨露痕。檻外白雲猶北去。看來時復獨消魂。右白雲亭書社遺墟記小樓。眼中陳跡水空流。靑山不與絃歌盡。猶帶東南點點愁。右峩洋樓忘川水石玉嵯峨。獨上遺亭感慨多。當日碧山棲隱志。女娘猶唱夢仙歌。右夢仙閣臨江松樹碧森森。石上遺墟半面陰。白鳥不言前日事。靑山實係後人心。右松石草堂玉溆銀臺水亂鳴。沙村落照半邊明。江中石臼無年月。留與山翁寄遠情。右仙倉剗郤靑山掛玉龍。半天䨓雨自相從。奇巖不避懷襄勢。一任洪濤盡日舂。右落淵仙亭雲樹碧連空。束聳奇峯落鏡中。百世通泉人不到。等閒天地幾秋風。右仙遊亭松下遺墟十分淸。行人拭淚拜崇禎。苦心惟有山名在。猶記當年捧日誠。右卧龍庵孤臺高絶帶平川。靑鶴迢迢水自連。唱斷紫芝人不見。渡頭猶繫夕陽船。右超塵臺茅老村邊是玉潭。浦雲山樹碧𣰦𣯶。近聞諸弟攜家去。分我何時著小庵。右茅老浦雙鏡臺前雙鏡迴。靑山無數兩邊開。百年餘興無花柳。松柏蒼蒼夕吐哀。右雙鏡臺里有無懷名已好。居民風俗亦淳厖。野人得酒尋佳境。郤似陶翁卧北窻。右無懷里</text>
<title>廬江泛月</title>,<text>平湖解纜下中流。雨歇靑山樹影稠。明月一聲長篴晩。滿天風露更登樓。</text>
<title>送金天美 汝錂 奉疏入京</title>,<text>淫雨連朝嶺路艱。問君何日到秦關。男兒一出非閒事。不格君心正不還。</text>
<title>白雲亭。送金德三 尙鼎。</title>,<text>別意閒愁共未眠。遺經點撿轉依然。分明二十年前事。話到江樓月半天。</text>
<title>次權潤哉 德秀 喧字韻</title>,<text>花鳥多情不厭喧。春光浩蕩滿郊原。始知童冠歸來興。不獨曾狂在聖門。</text>
<title>爲兒病夜坐煎藥。病兒憫之。詩以示之。</title>,<text>百藥無如一念平。心官要使澹虛明。願從涵養加工力。勿負而翁此夜情。</text>
<title>從弟望之 南重 山庄。次喜雨韻七絶。</title>,<text>朝乘溽暑到山亭。爲愛微凉卧北欞。忽見西風吹雨過。野光山色一時靑。面面靑山擁小亭。詩情酒興在風欞。邇來別意知多少。雙鬢皤然兩眼靑。爽氣朝來忽滿亭。輕雲薄雨晩侵欞。牆頭小酌誰相送。瓮裏新醅竹葉靑。羡爾得閒爲此亭。一生無事卧前欞。門前種得先生柳。半掩郊南十里靑。因石爲臺樹作亭。登臨不必要窻欞。朝來盡納東南勝。重掩諸山各送靑。午醉連宵共一亭。淸晨起坐獨憑欞。要看宿霧千峯裏。一半霏微一半靑。食君村酒卧君亭。風送微凉月入欞。主人莫謾愁無饌。夜雨山園薤已靑。</text>
<title>聞繅車聲戲題</title>,<text>如雲如雪白盈筐。抽線纖纖共意長。昨夜西風霜露重。爲君明日織成章。</text>
<title>讀楚漢史</title>,<text>誰道斯人計策奇。風雲誤與項兒期。可憐白首彭城路。天下存亡晩始知。范增取義捐生判重輕。眞龍風雨夜跳城。後人莫道無㫌美。靑史千秋有大名。紀信</text>
<title>次申國叟 命耉 三藏寺立春韻</title>,<text>和風麗旭摠怡神。勝地佳山亦可人。自此窮陰應日退。乾坤已得一番春。</text>
<title>泛舟五老峯下。次再從弟振伯韻三絶。</title>,<text>石坐黃昏候月來。雲中人語隔江臺。船頭亂酌元無主。且可從心各喚杯。輕雲薄霧暗相欺。今日仙遊月不知。舟下廣灘呼素女。及時淸影散江湄。尋眞一路引花宮。燈影參差亂樹中。且待明朝竆絶頂。開襟萬里御長風。</text>
<title>過錦溪草堂</title>,<text>衰桃䕺竹已無顔。一架孤亭負碧山。羸馬不知人事變。誤尋前路入松間。</text>
<title>訪丹溪老人</title>,<text>春水滿塘煙柳垂。遠林紅日影參差。主人興味陶潛似。春到山園醉不知。</text>
<title>虎溪洞主柳山陰 聖和。邀李顧齋  及余與振伯同會。臨歸攜酒。強挽船遊。口占。</title>,<text>笑別廬山下晩洲。淸和佳節泛仙舟。三杯濁酒多情味。欲發重成半日遊。</text>
<title>悼從弟德甫 舜錫</title>,<text>柳君知汝古心長。盆竹來時伴菊黃。此日籬邊惟見菊。可憐人與竹偕亡。柳君七。贈君以花竹盆。君愛甚。爲築石以護之。居無何。竹自死。未數月君又亡。今其枯根病葉。對君之几席。悲夫。</text>
<title>石泉亭。次李天祥 光庭 韻。</title>,<text>平生夢想此溪隈。今日亭中一笑開。衰暮別離眞可惜。壺傾酒盡不須迴。</text>
<title>到陶淵。百花已盡。獨紅桃滿開。</title>,<text>花事悤悤不待人。綠陰鋪地草如茵。可憐牆角紅桃樹。別作山家第二春。</text>
<title>振伯草堂。詠晩梅。</title>,<text>開幷桃花未覺嫌。澹然相對月明簷。看渠亦一春風樹。淸豔疎香自不凡。</text>
<title>與權一甫 萬。向陶淵江上。卽事。</title>,<text>江浦歸雲點綴陰。隔江遙望一堂深。村翁指我尋仙路。纔度重岡又碧潯。</text>
<title>撤寓歸家。見梅花始開。</title>,<text>草屋依山晝不開。春風花著小庭梅。巡簷不語傷懷抱。惟見兒娘喜我來。</text>
<title>戊午春。寓泗上。有懷瀛州遷客。吟成一聯。暮年滄海別。春日遠江心。忽覺心思不樂。篇未圓而止。今年春。又在泗上。海囚移配于晞陽之蟾江。罪網稍寬。離思漸劇。遂以前得一聯。分韻叙懷。</title>,<text>去年送汝滄海渡。今年訪汝蟾江路。江深海闊俱茫茫。待汝不來春已暮。近聞臺章於汝偏。赦書終不到竆邊。他時縱有承恩日。柰我今非盛壯年。披肝無路訴蒼蒼。袖手終南意不揚。羡彼江頭一片石。頑然獨立閱桑滄。翡翠深居藏美彩。幽蘭在谷不求採。早知名譽終爲烖。恨不深山與碧海。老夫閉門坐終日。愁來掩面淚成血。同居同老有幾人。半是生離半死別。高堂八十二年親。日望兒歸暗傷神。怨懊何曾萌一分。只言看又過今春。慈顔慼慼帶愁疾。諸子寬心云卜吉。心焉將信亦將疑。惟自齎魚待歸日。蟾湖近接瀟湘坂。斑竹崇蘭滋九畹。臨江採採欲贈誰。美人迢迢川路遠。我今移屋避喧哤。卜近松楸白石矼。若使君歸尋舊計。不妨談笑對淸江。詩成每欲對君吟。酒進何曾獨自斟。自從君爲遷播客。吟詩進酒兩無心。</text>
<title>陶淵十絶</title>,<text>山到亭前忽斷橫。巨川飛出作䨓聲。百年天鼓終無驗。家祭何時告太平。先集中。有天鼓鳴西北。皇家業倘隆之句。○右斷山懸瀑。十畝重淵丈許深。小山前後石爲潯。淸霜夜洗靑銅出。想得先人未發心。右重淵止水。玄冬大雪壓羣巒。一夜溪山忽改觀。獨有千章庭樹色。凜然相對不知寒。右長松霽雪。絶壁撐天出萬尋。孤雲一片掛空林。看渠自是山中物。肯爲商家去作霖。右絶壁孤雲。西庵老釋禮金仙。淸磬隨雲落枕邊。昏夢似回塵慮散。喚惺消息此時傳。右西庵晨磬。漁父江邊宿不歸。沙頭燃竹待晨暉。灘魚欲下時猶早。山影蒼蒼上釣磯。右北渚夜燈。淸宵月出照金沙。束立千峯漏影斜。萬丈虹霓銀海界。怳疑身到玉皇家。右金沙夜月。南屛十里盛繁華。錦樹楓林勝百花。一陣明霞千步帳。紅光倒射羽人家。右錦繡秋光。巖頂高高鷺夢危。月明淸影落漣漪。人驚不去誰相待。正値騷仙覓句時。右巖巓宿鳥。巖逕岧嶤掛翠微。下方禪子上方歸。行行界破靑山色。木末分明見白衣。右木末歸僧。</text>
<title>挹淸樓八景</title>,<text>夜寂山空洲渚遙。平江月出綠煙消。晩來風起微瀾發。金柱銀輪影動搖。壺潭霽月白玉爲屛雪作臺。飛流百尺隱輕䨓。依然坐我廬山裏。領得靑蓮餘興來。盆巖淸瀑曙色微分萬國東。金鷄啼罷日輪紅。無端一唱榛苓句。望美誠心向此中。鷄岑曉日黃鶴岧嶤縹緲間。浮光遠翠鬱斑斑。天工却有丹靑手。畫出東南點點山。鶴峀暮雲怒浪驚濤走不休。潮聲十里動高丘。兒童錯認千峯雨。起看前江月正浮。萬壑松濤四月南郊麥已秋。長風吹送浪花浮。漁人莫謾求魚去。早晩芳醪上玉舟。長郊麥浪田舍今年驗歲豐。炊煙朝暮起西東。太平無象還成象。輸入騷人點染中。遠村炊煙淸夜沈沈露氣微。野天如海月無輝。疎燈一點西巖下。何處漁翁猶未歸。晩渚漁燈</text>
<title>次贈柳俊三 宅鉉 春字韻</title>,<text>壺中日月屬王春。却恨春非去歲春。獨立世間無與晤。不知誰與樂餘春。</text>
<title>泗濱流頭會。憶南州遷客三絶。</title>,<text>攜壺吹篴俯長流。仙侶相邀月下遊。霽色滿樓沙似雪。怳疑身上剡溪舟。聞君遷謫近頭流。天爲賢豪許遠遊。莫恨情親千里隔。秋來我欲理行舟。心存舍達是賢流。葛隱村邊憶舊遊。當日樵翁今在否。試從涪上更登舟。</text>
<title>問竹商 國俗喜煙茶。用竹通煙。竹商染素爲斑。倍價求售。</title>,<text>堯女啼痕染素筠。當時已恨失其眞。如何更把丹靑手。戕賊琅玕百箇身。</text>
<title>竹商答</title>,<text>爲質爲文本一筠。染成何必損天眞。渠心自有凌霜節。肯把人功作後身。</text>
<title>到宗家。歎階上梅花已衰。</title>,<text>晩過西園爲問梅。堂邊殘雪委蒼苔。留連不去緣何事。秖恐明朝盡落來。</text>
<title>贈花原君 權喜學 病席</title>,<text>盡瘁誠心死不渝。斯言堪喜亦堪吁。功名富貴渾閒事。忠義俱全是丈夫。公病中。有入侍英花堂語。故以喜吁及之。</text>
<title>鷰子</title>,<text>語愛多情性愛柔。任渠來往綠簾收。林間百鳥休相妒。海上歸期趁早秋。</text>
<title>喜雨</title>,<text>旱天甘雨注如膏。四野枯苗氣欲蘇。牛背一聲何處篴。夕陽佳色滿平蕪。</text>
<title>舟發蟾湖。次李太白韻。</title>,<text>瀟湘遙望白雲間。十里平沙醉裏還。帆急風高江海闊。扁舟一瞥到君山。</text>
<title>過岳陽</title>,<text>吹篴臺前初繫舟。岳陽原上更登樓。湘君哀怨無人弔。斑竹臨江自帶愁。</text>
<title>舟中望見騎驢客</title>,<text>雲水蒼茫日欲朝。風帆浪楫晩乘潮。一鞭何處騎驢客。疑是尋梅到灞橋。</text>
<title>上君山</title>,<text>一抹斜陽山似嚬。洞庭空闊水粼粼。淸歌妙舞能留客。誰信人間有洞賓。時客有歌舞者</text>
<title>上元日。與月會堂主人柳台彥 元鉉。次鏡城倅兄弟巖韻二絶。</title>,<text>行到君家脩竹傍。淸陰散地月如霜。孤輪一片同千里。此夜離情兩地望。右憶鏡城倅弟在兄邊兄在傍。弟兄相對閱風霜。猶勝怨婦山頭化。虛待歸人獨遠望。右兄弟巖</text>
<title>立春日。上枕澗亭。</title>,<text>晨輝初發已殘星。嗟耋流光夢裏經。感激眼前多少事。春風獨上枕澗亭。</text>
<title>次贈柳升卿 晉鉉</title>,<text>諸君詩律似陰何。篋裏璣珠得最多。物色雕鎪今已盡。老夫何必苦吟哦。</text>
<title>詠梅</title>,<text>自愛簷梅起一巡。老枝衰豔不勝春。花前一曲無誰和。三嗅餘香憶遠人。</text>
<title>伏次雲川先祖白雲亭八景韻</title>,<text>如煙如霧忽彌空。雲錦連延遠樹中。坐對軒窻看不足。琅然蘋末起微風。右長林微雨雨過煙消江水寒。淸霜洗出玉團團。成三意味知多少。千古心期想一般。右平沙霽月田家無事屬昇平。春及深憂只在耕。會待秋成公稅畢。招鄰飮社樂生生。右東郊稼穡緣山遷路若梯空。不戒冰霜不戒風。世人險巇君莫笑。看來俱是畏途中。右北遷行旅野色山容十里蒼。遙看一炷點輝芒。時平戎事供詩料。流到亭中作夜光。右藥山烽火峯頭曉色破金鉦。一洗昏衢萬國明。卧穩老夫慵不起。任他山鳥百般鳴。右岐峯曉日天外殘紅斜映輝。四郊人散役車歸。村深樹隱炊煙暮。一陣沙鷗帶影飛。右遙岑返照洋洋成隊戲淸淪。弄影磨腮出渚頻。自是江湖忘呴沫。肯移濠樂上要津。右別浦游魚</text>
<title>伊湖草堂感舊</title>,<text>不見伊湖過十霜。來尋無語坐空堂。昔時村落皆蕭瑟。惟有靑山帶夕陽。</text>
<title>用前韻。贈童子曾元。龍運幼名</title>,<text>蘭畦無柰閱秋霜。尙看孫枝護舊堂。自是汝家茶飯在。莫敎詩禮負靑陽。</text>
<title>丁丑上元日。次高達夫韻。</title>,<text>無朋無酒只甘眠。不覺東窻已曒然。歲歲送竆竆不去。不如延座樂餘年。</text>
<title>新歲</title>,<text>歲去方看臘氣微。晨興曙色漸依依。應知來歲如今歲。纔得迎歸又送歸。</text>
<title>南淵寺。訪行彥弟。見雜花盛開。</title>,<text>幽澗泠泠一逕斜。晩來風日轉淸嘉。若非此日尋君到。虛負山中萬樹花。</text>
<title>用前韻要次 二絶</title>,<text>鶯語送春煙柳斜。淸和節物十分嘉。客來漸覺僧多事。山逕時時掃落花。澗樹迎風飜又斜。霧消山日忽澄嘉。居僧莫怪開窻早。秖恐明朝落盡花。</text>
<title>次喧字韻二絶</title>,<text>梵閣深深靜不喧。靑山影裏獨閉門。佳朋爲有山中約。穿破江雲綠一痕。鳥語泉聲不厭喧。夜來僧定月臨門。東君不是須臾客。綠葉殘紅摠舊痕。</text>
<title>廬江書院。次金上舍國均 衡國 韻二絶。</title>,<text>沿洄一葉水溶天。背後靑山卻在前。白首風流能幾許。淸歌一曲和秋蟬。廬江物色古稱奇。明月淸風亦一時。莫把畫圖傳勝事。無聲不及有聲詩。</text>
<title>示兒輩</title>,<text>此道相傳百世今。聖人垂敎只言心。其精其一非由外。默識方能自得深。</text>
<title>次柳用賓 觀鉉 盆梅韻二絶</title>,<text>今日迎春春意多。一枝消息到山家。輕英鬬雪元非智。只恐寒威逼老査。逋仙去後不知梅。底事移從遠圃來。若以繁華徒悅目。不如桃李繞樓臺。</text>
<title>漁郞八景 幷序</title>,<text>鏡城屬縣。有所謂漁郞社。景致殊勝。以其在竆髮之北。山海絶險。人迹罕到。世之聞者。若武陵桃源。夢想而未嘗睹也。吾友柳用賓作宰鏡城。其子通源叔亨陪往。與邑中諸賢遊。歷累日而歸。作八景圖來示。余見而樂之。作漁郞八景。以寓卧遊之懷云。高臺百丈戴孤松。山海中間一水重。倘得吹簫乘月去。紫巖奇處躡仙蹤。右水中松臺紅蓼成城匝海臯。平湖深處弄漁舠。漁歌互答歸來晩。玩月巖頭月正高。右蓼岸漁歌連天瀚海可乘槎。沙際令威舞影斜。長篴一聲山色暮。乘雲直到羽人家。右斷沙舞鶴八景臺前十里花。秋來物色太繁華。沙堤晩篴風吹過。絶勝蓮歌聽若耶。右莎堤牧篴落日歸心漢節孤。蒼然一島帶平湖。湖中白鴈來無數。上苑傳書定有無。右看羊古島七澤根株漲紫霞。蘭橈穿去爛熳花。忽看韶穉衰顔變。卻訝靈丹在物華。右碧沼秋蓮彰烈賢祠壓太湖。凉州遠俗復東隅。澤中羊島遙相望。千載蘇郞節不孤。右武湖尋祠砂巖以北盡蘆花。鴻鴈爰居雪作家。何處胡兒猶夜獵。亂聲驚起月中笳。右蘆洲宿鴈</text>
<title>黃山寺。效柳元賓 觀時 玉連環體。戲贈。</title>,<text>連枝玉韻到山廬。盧駱餘音得有餘。余心不獨爲文會。日望山翁掛酒車。</text>
<title>枕澗亭。次柳用賓韻二首。</title>,<text>幽澗泠泠月下鳴。露香風葉摠關情。重來默數亭中事。幾度相離幾度迎。流光不爲恨人遲。何必勞心說喜悲。最愛庭前松樹色。蒼蒼不改歲寒恣。</text>
<title>春日上澗亭石臺。有感。</title>,<text>殘紅新綠自相催。春色扶人遠上臺。依舊洞門流水在。四山深處獨徘徊。</text>
<title>伏次鶴峯先生白雲亭十二詠</title>,<text>秋月照秋水。光影兩絶奇。皎皎玉帝家。迢迢雲漢期。懷之若美人。旣見心更怡。可望不可親。朝來空復思。右秋月天道有回環。花紅代雪白。氣機自爾然。何須彊尋索。是亦無久理。朝榮不及夕。莫敎貪結子。繁華一瞬息。右春花炊煙起蔽江。西嶺日將薄。似護蛟龍窟。相隨鷗鷺宅。迷茫雲水際。浩蕩天宇色。輕盈忽散漫。尋逐更無迹。右煙江北陸銀成海。南山玉建表。蒼蒼萬株松。頭白心不老。郊原一改觀。遠近同皓皓。幽人待朝陽。階庭晩始掃。右雪山長林衛古宅。萬木捍北流。靑圍黃犢岸。紅映白鷺洲。衆鳥托爲巢。隔葉鳴聲稠。蚩氓不解事。斬伐從所求。右茂林水落洲渚寬。晴沙一面平。秋容霜較白。夜色月俱明。連延十里間。皎潔愜素情。坐占不知倦。時時扶杖行。右平沙含蘆水國遠。作行雲路杳。南遵彭蠡滸。北度陰山表。知止自有時。人可不如鳥。一擧橫千里。誰哉餌香稻。右鴈陣游魚得其所。漁翁莫相戹。驚人忽潛藏。弄波時自躍。物性雖異品。天賦乃同得。何論我與爾。各自樂其樂。右魚隊白鷗本皎潔。常居水渚遊。眠穩明沙岸。影落滄江洲。物我自生遂。方知聖澤周。相對莫相猜。我亦閒者流。右眠鷗野牛自成羣。來往路如織。齕草柳堤傍。旣飽還復息。役車已云苦。廟犧豈所樂。不如閒放時。原濕任取擇。右牧牛牧童吹蘆篴。村深餘韻長。風飄過江來。嫋嫋入睡鄕。行歌互相答。亦有遷路商。尋聲不知處。堤柳隔杳茫。右村篴漁父知時節。霜凋紅蓼花。月黑星垂夜。風靜水無波。暗中忽見火。點點林外過。莫恨無十獲。取適不在多。右漁火</text>
<title>陶淵瞻拜後。示諸弟。</title>,<text>敦親兼課業。此會已年年。樂事春俱至。幽懷月共圓。崩澌奔峽口。殘雪落松顚。會與羣賢約。相期指百千。</text>
<title>泗濱。次密庵先生韻。</title>,<text>新秋月旣望。與客到江臺。夜色千山靜。松聲萬壑哀。臨流爭濯足。待月更呼杯。未遂陪遊願。餘懷句裏裁。</text>
<title>松齋夜話</title>,<text>大暑乘秋去。新凉及夜來。洞深雲氣逼。山近雨聲催。物態隨時變。年光代序迴。倚窻須好友。銀鏡匣初開。</text>
<title>振伯宅。與權表叔昌言 謩。用泗濱韻各賦。</title>,<text>先契風流遠。餘生隔夜臺。逢場宵繼日。心事喜兼哀。撫蹟頻開卷。排愁數擧杯。明朝離別後。懷抱若爲裁。</text>
<title>用前韻。別昌言。</title>,<text>雨中殘暑盡。秋色滿荒臺。病葉紅將染。淸商調已哀。那堪搖落意。又把別離杯。大謝如相憶。瓊章爲我裁。大謝指一甫</text>
<title>次松巖洞韻二首</title>,<text>瘖虎牛邊立。驚龍杖底看。渾疑朱夏雪。如坐碧雲壇。聲雜歌喉撼。波添句語寒。幽居於此卜。萬事不吾干。勝地千年在。名泉半日看。淸風生絶壑。飛雪灑層壇。石老仙蹤遠。山空月影寒。儀刑瞻在近。祠屋半霄干。</text>
<title>次權孟堅 緻 泗濱阻雪韻</title>,<text>江天一夜雪。物色太繁華。欲往金仙界。飜成玉帝家。已聞埋野徑。時見折庭柯。莫報樽醪盡。山陰乘興多。</text>
<title>贈徐汝張 萬維</title>,<text>菽水親厨冷。西來費苦吟。荷君高世誼。知我遠遊心。小婦驚新米。飢童索廢鬵。呼兒供紙筆。寫出感懷深。</text>
<title>雨中書懷</title>,<text>苦雨連朝急。郊原積水多。三農俱失望。萬姓各興嗟。霧氣當窻塞。䨓聲隱地過。荐飢今可卜。天意問如何。</text>
<title>麥雨</title>,<text>隴麥當維夏。田家得雨多。氣侵時夜潤。聲雜晩風過。立立抽新筆。靡靡添綠波。農人知帝力。閒送隔林歌。</text>
<title>僑居</title>,<text>老去知山味。閒來撥世緣。心淸宜伴釋。地遠可尋仙。品䔩登盤美。時魚出沼鮮。全家爲久計。便欲置沙田。</text>
<title>騎牛</title>,<text>歲暮北風寒。騎牛擬出關。高岡登不困。側徑去無難。逈脫風塵外。平臨人世間。行行山盡處。便欲倒騎看。</text>
<title>春曉</title>,<text>出門望四野。霽色屬淸晨。節物偏宜客。川原忽放春。鳥鳴深樹裏。花發小溪漘。獨立無誰語。徘徊一傷神。</text>
<title>南淵寺傍。有一小丘。卽密庵先生所命名以南谷者也。築室之意未就。而人事已變。今年夏。與逋老諸人。尋到愴感。遂拈韻各賦。以爲南淵故事。</title>,<text>南谷誅茅意。西林講道時。空山尋𨓏迹。舊客作新悲。野寺聞啼鳥。荒村有廢基。虹橋難再問。風雨獨題詩。</text>
<title>寺傍銀杏木。卽密庵所種。爲蚩氓所斫感賦。</title>,<text>愛此分留物。移從錦里來。光陰能幾許。支榦漸崔嵬。未得扶持力。飜遭正直烖。蚩氓何足道。拊念一歎欸。</text>
<title>鳳凰寺。次柳晦而 賁時 韻。</title>,<text>野寺乘閒到。攜筇坐石頭。有詩堪遣興。無酒可消愁。聽偈香齋淨。談經丈室幽。東林新月吐。更上一層樓。</text>
<title>次朴春卿 泰茂 西溪書堂韻</title>,<text>山鳥與爲伴。蕭然獨自居。洞天特窈窕。塘月亦淸虛。古圃抽芝草。長竿上鱖魚。寤歌歌不告。寬廣更紆餘。</text>
<title>壺隱亭。同諸弟言志。</title>,<text>四月淸和氣。輕風引雨斜。白飜江柳葉。紅重海棠花。諸弟能詩學。孤亭近酒家。吾當以樂死。足向右軍誇。</text>
<title>黃鶴樓。次國師韻。</title>,<text>潭深龍卧宅。山近鶴留名。福地千年在。花宮一日成。鐘鳴僧入定。秋至客先驚。夜久談經罷。香燈稱意明。</text>
<title>黃山稧會。次程伯子陳公廙園中修稧韻。</title>,<text>九月黃山會。悲歡異古今。坐深移末席。詩拙想遺音。眞率風傳美。團圝月到沈。事遷情自感。稧記憶山陰。</text>
<title>次李汝集 義謙 溪亭韻二首</title>,<text>選勝無多遠。投閒及盛年。脫巾高枕石。移席俯臨川。久恨心爲役。何嫌地在偏。沙禽知此意。相對舞蹁蹮。避世身常逸。尋幽味更長。餘粮藏白石。秘訣得靑囊。把酒邀新月。開襟納晩凉。浮沈波上鳥。何事卻奔忙。</text>
<title>南淵寺。用時字韻復題。</title>,<text>鳳岳寺成日。鷄林國破時。蕭條迹已遠。寥落事堪悲。側塔相師躅。荒臺密老基。何年聞鶴語。過客自題詩。</text>
<title>南谷遺墟杏木斫餘根。䕺復生。爲之築壇。復用前韻。</title>,<text>鴨腳生新榦。鳩筇爲爾來。千尋應自到。四朶漸看嵬。桓伐懲前戹。壇封戒後烖。題詩存古迹。過者莫須欸。</text>
<title>躑躅杖</title>,<text>躑躅生深壑。居鄰水石區。斬根留古樸。存節表淸癯。屈曲終歸直。低昂不失趨。雖無支廈力。衰老足相須。</text>
<title>夜坐憶蟾湖</title>,<text>向夕愁仍坐。秋風忽已驚。層陰連夜色。孤鴈送寒聲。得句誰相和。銜杯獨遠情。草蟲何所感。來傍一牀鳴。</text>
<title>次光陽雜詠</title>,<text>恩阻宮盤菜。愁生江上春。一身投異域。萬事負昌辰。池草思賢弟。山榛憶美人。邦家聞有慶。會待詔書新。時當立春天地慳煕運。光陰老丈夫。籠禽思舊樹。櫪馬睠長途。苦霧經年塞。甘霖幾日濡。神扶應愷悌。吾道在南隅。思君復憶家。頭白眼生花。歲色隨歸鴈。鄕愁趁暮鴉。客心驚節序。世路任攲斜。天道終應定。寧敎老海涯。</text>
<title>泗濱夜話。用沈隱矦韻。</title>,<text>聞道佳朋到。扶藜赴好期。方當寒食節。正好把杯時。老興元非淺。幽情不自持。觀魚留後約。誰復慰離思。</text>
<title>敬次錦水草堂韻</title>,<text>興廢傷心此水湄。故墟喬木夕煙微。江湖歲晏魚龍蟄。村巷秋深鳥雀肥。舊客重來悲失路。仙鄕何處可攀衣。應知後視猶今視。長使人人沒世欷。</text>
<title>次權一甫西城韻 留慶山時</title>,<text>孤城一上思茫茫。極目川原道路長。遠樹春連桃李縣。行人夜度水雲岡。天垂大野浮新月。地隔千山憶故鄕。憂患一旬爲客苦。強將詩句鼓愁腸。</text>
