<title>敬次愚山丈席韻 戊申</title>,<text>自憐就道晩。始覺讀書閒。眞工何處見。前面最高山。</text>
<title>次呈江湖姜丈 履和</title>,<text>江海偉冠竹裏家。天南紫氣逐人多。秋燈永夜承淸誨。掛壁靑萍奈老何。</text>
<title>避沴留酉川。謹次仲氏見寄韻。</title>,<text>西嶽崚𡾓高。甲長遙相見。下有雙飛鶴。翩翩度水面。悵望烟霞間。終朝不知倦。龜石今峴山。桑麻古驍縣。梅雨增炎熇。平頭不勝扇。復恐家信至。沴氣溢目眩。借睡仍棊局。寬心入經傳。壯志全衰鑠。靑春迅遽箭。遙憶守先廬。勁苦老無變。阿姪能蘇健。幼婦更戀眷。秋風捲雲霧。玉峯露片片。</text>
<title>秋雨川漲</title>,<text>十日秋山雨。喧生柳外川。暗霏來遠樹。連浪共長天。野色渾愁水。田功已有年。溪東一尺素。應借白鷗傳。</text>
<title>籃輿過鳥嶺</title>,<text>石路居民慣。肩輿疾若飛。急灘聲近遠。紅葉影依微。束峽天通道。森松地設扉。到老猶來往。應被嶽霛譏。</text>
<title>混混亭</title>,<text>錦城餘古宅。銅狄泣荒城。水逐巖頭滑。山連屋角平。鳳翼依依聞。龍鱗細細生。沁園花鳥壑。强半勢家幷。</text>
<title>夕陽亭</title>,<text>王孫芳草宅。春日夕陽亭。花萼留恩渥。樓臺想御靈。虬文隱井甃。蛛綴暗金屛。裔葉祠官弱。堪憐孝謹名。</text>
<title>殘臘有感</title>,<text>除夕餘三日。居然五十年。無官可服政。有命合知天。靑鏡驚霜髩。星鋩薄紫烟。寒梅消息近。鼎實幾時圓。</text>
<title>除夜</title>,<text>浮灰六管逼靑陽。黃道祥暉分寸長。墟曲風謠爭𤒺竹。川郊氣色散新楊。霜隨老髮堪憐醜。花在寒梅暗動香。更願明年逢泰運。猶將羊酒上豳堂。</text>
<title>柳亭</title>,<text>酉巷東頭萬柳新。嫩眉濃影綠堪親。枝迎嵐氣來輕蔭。花近江聲浥細塵。秋千幾攪黃鸝夢。帷幕時停白馬輪。千里西風相折贈。太平歌皷樂餘春。</text>
<title>烽燧臺</title>,<text>西山東角小臺分。片炬賢於一紙文。點點孤星飛疊嶺。遙遙閃電抉浮雲。前瞻後顧疑山鬼。東滅西生任火君。海道風聲來瞬息。閫樓笳皷卧將軍。</text>
<title>和贈鄭仲素 象履</title>,<text>故人來仲素。佳節踏新靑。信息詩先到。離愁雨共聽。舊交餘汰礫。俗學戒談鈴。隔水違衰暮。相將勖以寧。</text>
<title>擬古贈姜啓好 世誾○三首</title>,<text>伊水出熊耳。滾滾流無力。野人爲桔槹。縱橫分溝洫。逶迤到蘇湖。沛然入江國。一瞬濤瀧壯。千里走不息。巨浸碧漫漫。忽然周四域。萬怪擧惶惑。令人不可卽。所以川上歎。魯叟先我得。燕代飛鷹士。憑凌氣湧山。手制奔牛尾。腰帶白羽彎。忽見兩白鹿。馳騎越峻巒。玆山何巉嵒。綠翠天際攀。路逢紫霞客。粲然一笑閒。去爾葷血氣。從我學鍊丹。兩膝遽至地。仰首不敢覸。犂然棄其初。誓心追眞班。回笑方山子。空老光黃間。嫋嫋幽谷蘭。淸香爲誰聞。欝欝湍沙木。孤根獨自存。物性有如此。離違那可論。憐彼桃與李。隨風徒華繁。霜飈一夕至。零落委邱園。努力保歲寒。不肎借噓溫。</text>
<title>在酉川漫賦 二首</title>,<text>江郊春色逐人還。浦上衰翁頓覺閒。風月茅廬眞樂地。雲霞仙掌盡名山。却憐蒲柳淸羸疾。堪愧糢糊義利關。西望鳳城多紫氣。放敎麋性老巖間。桃李事猶早。春寒氣乍陰。川冰渾化水。園竹僅成林。放杖尋良友。彈琴有古音。油然如自得。誰與話玆心。</text>
<title>酉溪觀漲</title>,<text>六月歲之中。玆惟丁丑豐。吾行酉水宿。日久愚山通。薈靄斷仍續。炎曦隱復烘。亂流羣豕躅。跂舞獨羊氃。大濯仙童手。微噫小女風。蛟螭搒暗窟。虁羵吹幽宮。礎潤添新漿。雲重掛片銅。千山俄漠漠。六合政濛濛。䨓皷忽殷地。爍炎翻割空。秦蠶食六葉。晉騎簇千松。穿霧銀山碎。散絲玉索叢。乾坤張廣樂。音韻逼冲融。萬狀遞生滅。千聲自合同。百川爭赴助。一壑遂鳴雄。柳外濤瀧壯。雲端泛濫洪。山形遙辨甲。川脉細尋熊。驍浦靑浮樹。馬陵白立鴻。豁如觀海屋。恍欲泛仙篷。野店扉虧半。沙田畞落衷。巖頭會襏襫。烟霧借帲幪。暫喜山西杲。還愁水北虹。未能透天意。無奈損農功。故老有傳語。玆惟丁丑豐。</text>
<title>金滄江翁 憲慶 見訪。因留共賦。五七律三首</title>,<text>翩翩客馬過驍城。窓外黃梅小雨晴。當代長楊違賦獵。暮年江閣有詩聲。靑萍老去渾無氣。白髮相看更覺情。東洛烟霞歸路滿。幽居端不負平生。花爛家如富。朋來興轉幽。輕風分野色。疎雨過溪流。得酒添和氣。緣詩罷漫愁。淸談渾不倦。斜日在山頭。槐柳深深巷。跫然一拭靑。主人遠浦里。高客合江亭。十載驚衰髮。三宵喜異聽。相將一酌別。歸路莫言醒。</text>
<title>齋舍讌會拈韻</title>,<text>冠帶吾宗集衆賢。淸秋高閣敞華筵。星回北斗盈盈爵。日暖東廂秩秩絃。悅話仍成敦闔族。獻酬兼寓敬高年。玆遊便作重牢慶。花樹家風永世傳。</text>
<title>聞龍山會拈龍字</title>,<text>聞道南州老。山登九日龍。淸談霏玉雪。偉表崒神峯。秋事多黃菊。仙遊又赤松。却思吹帽子。回首樹雲中。</text>
<title>冬夜吟</title>,<text>十月謂陽月。先王戒履霜。寒蛩鳴近戶。丹葉落過窓。拊劍驚年老。看書喜夜長。復䨓知不遠。消息問彼蒼。</text>
<title>送兒子省掃武夷先墓</title>,<text>仙掌東西劈好顔。武夷松柏是先山。雲霞曉日眞龍活。霜露高秋石馬寒。遺躅怳瞻冠履地。香烟細繞酒盞盤。曾孫歲歲能禋事。百福熾昌俾爾完。</text>
<title>盧周祿 光瓚 至。拈韻共賦。</title>,<text>寒雨新晴落木風。征鴻嘹唳度江楓。笑我功名空髮白。羡君年紀尙顔紅。古鞘猶看雙龍動。卽席方知點犀通。臨別慇懃贈一語。心田日日願耕豐。</text>
<title>遣懷</title>,<text>天地中間士最高。無憂無諂守蓬蒿。光騰豐嶽星雙劍。氣壓滄溟柱六鼇。西漢文章堪惜賈。東吳名節尙憐陶。淸明灑落身心泰。誰是當今第一豪。</text>
<title>苦寒</title>,<text>我屋前當北。無風氣自寒。石鱗生壁帶。笙歗發牎端。呵筆微烟薄。撥爐小火殘。何時開竹牖。花木向陽看。</text>
<title>次退之元朝韻</title>,<text>憶昔東郊望羽旄。雲䨓時令渙孚號。羣龍晠德昇平久。六管浮灰造化高。當代驊騮多伏櫪。暮年棊酒强分曹。幽居耕鑿隨餘日。不必良辰感二毛。</text>
<title>白門小會。賦春雪 三首。</title>,<text>桃李東城未及蹊。賞春筇屐伴農犂。遙山積氣長含雨。永夜寒聲半在溪。一代衣冠皆老大。四隣耒耜任招携。泉林良會多奇事。不覺星河已墜西。極目平郊雪作蹊。東城夜雨恰沾犂。山容就暖當高閣。泉脈隨春出小溪。四座文章憐我老。三宵樽酒感相携。良辰樂事難爲別。征馬遅遅日在西。漠漠連空灑。瀌瀌着處沾。色鮮埋屋瓦。聲細透篁簾。楊柳春猶淺。江山氣欲添。今宵訪戴興。良話發深潛。</text>
<title>次孟浩然韻</title>,<text>眼竆千卷書。身老數間廬。講理頗嫌析。謀生每失疎。寒聲流屋角。黃葉下庭除。堪笑魯邦士。經綸茫若虛。</text>
<title>秋夜</title>,<text>夜久爐溫薄。天寒酒力微。亂蛩添葉響。孤鴈戴霜飛。人老何須鏡。家貧不戒扉。晨窓猶辨色。星月照輝輝。</text>
<title>偶吟</title>,<text>今世難爲智。吾生自任愚。有錢羞善賈。無學愧稱儒。灝氣秋天杳。澄光霽月孤。徘徊却一喟。鳥獸豈余徒。</text>
<title>夜雪</title>,<text>不風衾逼冷。無月戶微明。爐火稍殘力。屋茅細有聲。也識棲鳥穩。還聞老狵驚。朝來拓窓視。玉屑遍衢庭。</text>
<title>姜文擧避暑甲長。以書邀余。姜公叙 世揆 亦來會共賦。</title>,<text>爲逃炎暑訪山居。萬木蒼凉蔭不疎。書札遠從嵐積裏。籃輿新到雨晴初。隔窓雲霧衣生冷。永夜樓臺月共虛。始覺仙鄕眞未遠。淸遊河朔問何如。</text>
<title>祝北樓。共次杜韻。賦聯句。姜文擧號芝園。姜公叙號兢庵。</title>,<text>世事苦多牽。人生貴所適。芝園。 杯樽任醉醒。軒冕厭煇赫。兢庵。 擺落遺沉浮。搜尋緬逈閴。儂。 星言戒短僮。雲裏攀層壁。芝。 山聳簇千屛。瀑流飛百尺。兢。 劫灰麗礎寒。湧㙮懶筇寂。儂。 蘿逕劈苔文。芰衣濕霧瀝。芝。 乍過成佛菴。仍憇舍人石。兢。 走麓爭蟠繆。狂湍互囓激。儂。 巖麋方穩眠。林鳥不疑射。芝。 綺皓堪爲隣。如來此有宅。兢。 解輿勞寺僧。鼎坐推詞伯。儂。 曹謝闢門墻。顚休說奧僻。芝。 淸遊喜不期。良友幸相覿。兢。 酆劍星辰熒。牙琴山水碧。儂。 詩壇江海高。洞戶西南坼。芝。 誰識彌天心。尙傳葱嶺脉。兢。 犂然樂性靈。忽爾忘欣戚。儂。 虎吼脩林吹。鸝啼疊葉隔。芝。 桑楡憐髩皚。藜藿願衷赤。兢。 古木垂帲幪。尖峯逞戟鏑。儂。 雲光浩欲流。嵐氣蒼如積。芝。 虞夏吾安歸。風騷爾莫敵。兢。 分茶仍整襟。搦管更移席。儂。 末路能相遭。初心更勿逆。芝。 霏談窅玉徽。零露悲金狄。兢。 聲病誤中才。淸修悟上策。儂。 遐翹赤松儔。緬邈白蓮釋。芝。 隨分却偸閒。歸思且不迫。兢。 是惟得所宜。此樂今猶昔。儂。</text>
<title>甲長菴八景</title>,<text>黝黑深湫變化籠。長時一氣護冥宮。也知池沼非渠所。佇看天行澤物功。龍池宿雲誰敎雲錦剪重重。衣被靑獅五色濃。千態萬形俄頃變。半隨寒雨入疎鍾。獅嶺棲霞磅礴周廻面不斜。窿然大腹飽烟霞。他時莫恨陰厓立。向晩羲和爲駐車。甕巖返照突兀芙蓉莫此京。銀河洗出玉輪晶。分明羽客朝天路。鳳笛鸞笙夜夜鳴。爐峯霽月靑山花葉不知年。飛錫高僧勝國前。只有靈皋留色相。雲光潭影一空緣。懶翁古壁摩挲感涕想遺芳。苔面笋香萬丈光。分付後人無敢踐。大名天壤與俱長。舍人舊臺礱石爲方起數層。景西樓下伴燃燈。禪家報德緣何事。夜夜檀香上面凝。欄頭小塔欝欝蒼陰山更幽。淸風五月覺生秋。峽中雲氣常多潤。露葉淋漓渾欲流。庭面老檜</text>
<title>贈別芝園</title>,<text>從古淸遊每在山。人間少歇透名關。多君意氣雙龍合。愧我文章一豹斑。今日風流緣勝地。暮年憂愛閔衰顔。蒼溪白石歸程晩。回首香爐素月彎。</text>
<title>皓隣翁在龍興寺。寄書責詩。遂賦古體以呈。</title>,<text>蒼蒼雲木裏。宿羽已先曉。羣飛出意氣。林樾互縈繞。愛此滿山景。招招良會小。風露發孤省。郢曲同和少。松日明金像。巖雲護龍沼。明時貴尙志。吾輩老林梢。鳳棲飛赫蹏。德聲來靑鳥。履舃隔煙霞。離違意未了。採採中谷蘭。聊以浣塵擾。</text>
<title>和芝園</title>,<text>靑靑湖上篁。脩節復罕目。下有雙飛鳳。蹌蹌羽毛濯。碧瀛秋光遠。彤芝寓一曲。五章銜雲錦。咸池瑞日浴。美人隔天端。彌綸斂九幅。姬周今不再。文物空汗竹。大音日已遠。笙簧生案牘。泛泛江上鷗。遐思捲蹙蹙。滄洲尙戀闕。淸夢祝海屋。矯然遺世紛。結廬在雲木。呂望老匹夫。管仲小器局。但患年歲暮。端居意重複。排愁迅遽箭。多病每貼褥。紫氣凝香爐。赫蹏仍更僕。宮商迭鏗鏘。霏屑散芬馥。淸韻微風發。鏡面生纖縠。嗟哉斐然子。雕鎪徒齪齪。緬言思古人。泉林想遺躅。德訓敢不念。皓首以相勖。長歌意無極。湖水連天綠。</text>
