<title>聞農談</title>,<text>蹔憩路傍松。偶聞田叟語。不怕生飛蝗。只願去碩鼠。</text>
<title>仁川山城。每夕擧烽。邑人輒以螺殼應之。</title>,<text>烽臺一點擧。螺殼數聲吹。海戍遠傳信。府庭聊夜知。星光將滅處。龍吼欲殘時。詎識宣城守。沈吟爲覓詩。</text>
<title>贈權汝章</title>,<text>人世爲高士。天文應少微。雖來傍蓮幕。猶自着荷衣。華國才誰竝。除官願那非。還看拂袖早。歸掩故山扉。</text>
<title>留龍泉村。阻漲待晴。</title>,<text>白雨忽僑日。彩虹俄卦天。遙遙獨歸鳥。咽咽亂鳴蟬。晒濕向山木。洗渥臨石泉。斜陽趁行旅。深淺試前川。</text>
<title>謝李淸風功造惠烏竹杖</title>,<text>烏竹一枝杖。李俠持賜吾。節摩𦡱鶴膝。根截蟄龍鬚。病後蹣跚脚。江邊詰曲途。還堪趁輕步。漁釣與爲徒。</text>
<title>槐山郡齋齋居</title>,<text>寂寞齋居日。凄凉歲暮天。破窓將紙補。壞壁用渥塡。白粥宜朝啜。黃紬穩夜眠。童孫方婉孌。挾冊在床前。</text>
<title>詠螢火</title>,<text>園林乘暑退。池館喜宵行。有似稟靈性。不知懷塵情。悠揚風乍遠。的皪面逾明。更喜紗囊薄。書窓替短檠。</text>
<title>秋日閑居。獨飮梨花酒。</title>,<text>凄凉季秋日。寂寥西浦居。門關夕陽畔。圃淨晩霜餘。官秩龍驤散。頭顱鶴髮踈。梨花傾一盞。便欲到華胥。</text>
<title>留平壤進退韻</title>,<text>少日曾爲客。中年亦屢經。那知搔白首。又此賦西征。老鶴歸華表。飛仙過洞庭。寥寥燈下影。黙黙獨含情。</text>
<title>向順安</title>,<text>已厭留平壤。還愁向順安。人烟墅店少。風色臘天寒。塞近情仍愴。鄕遙夢亦難。那堪一聲角。吹送夕陽殘。</text>
<title>嘉平館逢除夕。贈芝峯學士。</title>,<text>勞生身老後。作客歲除時。夢裏故鄕遠。鏡中華髮垂。那堪衰世嘆。又足減年悲。編作榭花頌。非公可贈誰。</text>
<title>忠州北境屯知川</title>,<text>溪石淨如玉。溪流淸若空。逍遙且終夕。蕭瑟正秋風。摘果從山客。傳盃共墅宿。明朝還郡閣。依舊簿書中。</text>
<title>平山站。贈谷山守李而實。</title>,<text>我政銷魂存。君須暖眼看。衰遲元雪髮。辛苦更風湌。路出陽關遠。時當臘月寒。故人相別後。何處獨懸繁。</text>
<title>乙巳冬至</title>,<text>冬至逢寒雨。西江正朔風。流匙赤豆粥。隱几白頭翁。祿竊聖明際。身全離亂中。端居騐陽復。窓日漸舒紅。</text>
<title>與白進士善鳴還自龍灣。途中有贈。</title>,<text>預恐歸京洛。匆匆別所親。同來窮鴨塞。獨去渡熊津。事了春眠覺。湖明夏景新。遙知伴魚鳥。時憶白頭人。</text>
<title>成佐郞則優能道余十五年前遊山詩曰。前山雨脚入層欄。五月遊人却怕寒明日驛程還汨沒。漫勞塵夢想淸歡。卽余所全忘者也。感歎之餘。詩以謝之。</title>,<text>九死餘生在。驚魂久已離。更無當世念。寧記昔年詩。蠟屐登山日。凭欄聽雨時。散遊杳如夢。頭白可能追。</text>
<title>慶州金藏臺。臺廢唯草舊址。</title>,<text>百仞遺基在。千秋吊客來。浮雲遐想久。落日不知廻。石露寒灘響。林空朔吹衰。明朝有餘感。更上鳳凰臺。</text>
<title>觀蔚山賊營</title>,<text>城郭層層峻。池隍面面重。苟非長榮制。難用短兵攻。已沒千帆影。唯餘一炬蹤。皇威與天意。奠枕自今冬。</text>
<title>苦寒。用四句俱側入體。</title>,<text>歲律迫云暮。寒威驕未降。風欲卷茅屋。日猶烘紙窓。刀槊在衣被。塵埃生酒缸。可復有三伏。飮氷而浴江。</text>
<title>竹山大平院關雨</title>,<text>短短寒簷底。凄凄秋雨昏。擬攀梅嶺路。猶偉竹山村。白髮催浮世。蒼苔翳故園。明朝重九節。誰共蘭花尊。</text>
<title>向在嶺外。多露宿中墅。及至忠州。得土室甚穩。</title>,<text>土室雖低小。行裝亦足安。人尋陶穴入。天坐井中看。從從烟長羃。幽幽夜未闌。猶勝霜墅宿。坐度五更寒。</text>
<title>赴嘉山時宿松都。憩馬於靑石洞。</title>,<text>泉鳴玉佩層層落。山展蒼莽面面回。關路古稱靑石險。官遊今復白頭來。秋天易感別離恨。故國更生興廢哀。坐愛停驂中飯處。巖楓炤景繡成堆。</text>
<title>雪後登齊山亭</title>,<text>齊山亭上雪欲晴。太守登臨夕照明。簷積乍融珠點滴。庭堆猶在笠崢嶸。紅塵不向官徒起。暝靄遠從墅店生。獨酌一杯聊自慰。宦情覊思不禁淸。</text>
<title>宋判府事贊壽九十一歲</title>,<text>浮世何須限十旬。千年應閱碧桃春。元精常駐藥無補。至論有稽▦未神。崇秩新躋台鼎亞。從珍行見聖明親。遙知南極天底處。一點祥光是老人。</text>
<title>丁酉歲。樹表石于先塋。</title>,<text>貞珉一片樹荒原。爲表吾先父母墳。惟願終窮共天壤。極知茫昧到仍雲。石人對立苔初蝕。山鳥相呼日又曛。香火此在寧有幾。已看雙髮雪紛紛。</text>
<title>歷天磨聖居迴到靈通寺。經磨湔村過徐花潭墓。</title>,<text>探盡天磨與聖居。靈通寺下更躊躇。山禽穿樹落紅雨。溪女浣紗搖茜裾。雲磴回看唯度鳥。石橋從此可騎驢。地靈千古鍾精處。徐儒荒墳對草廬。</text>
<title>過天壽亭</title>,<text>沙平岸轉水潺潺。臨際紅亭路左邊。仙鶴歸來城已廢。禪宮消歇谷至遷。東山又綠王孫草。落日空停過客鞭。重恨此生看不到。天荒地老又千年。</text>
<title>龍灣通判衙軒</title>,<text>經始曾從駐蹕年。茅茨爲盖采爲椽。平臨天塹環城外。遙挹胡山落檻前。當日風塵曾避地。只今冠盖忝登筵。須知保障資經濟。一半應由半㓨賢。</text>
<title>楓岳萬瀑洞巖石上。有楊蓬萊所書蓬萊楓岳元化洞天八大字。</title>,<text>斧削千峯茸玉樓。雷鳴萬壑赴靈湫。龍蛇入石人何在。錦繡漫山葉正秋。塵世徒勞百年想。洞天纔得片時留。歸休他日南窓畔。栩栩眞成一夢遊。</text>
<title>叢石亭</title>,<text>峻巖碕岸石成叢。屹立波心又四峯。面面六稜雷斧削。亭亭千古雪濤舂。蜉蝣蹔寄登臨興。憑翼難窮造化蹤。剝落有時飛礮響。助塡精衛泣魚龍。</text>
<title>贈休靜弟子玄峻</title>,<text>休翁弟子逢玄峻。白足霜髮又雪眉。香嶽住來僧臘久。嘉陵渡去客帆遲。塵緣已盡猶思孝。定力全成尙愛詩。風樹悲纏夢還筆。不知何以答吾師。</text>
<title>哭牛石墳</title>,<text>血淚縱橫濕滿裳。椒漿奠罷更徬徨。百年恩愛隨流水。一片丘原對夕陽。凍雀無聲春寂寂。行人迷路雪茫茫。自知老我非渠父。底用傷懷似卜商。</text>
<title>伏次海平府院赴遼東至載寧見贈之韻</title>,<text>氷河雪蹟度年年。王事何曾嘆獨賢。天意預敎邦國活。異村齊挺弟兄聯。安危大計輸前著。感慨餘懷寄短篇。佇見語溪刊頌日。勳勞重向太常縣。</text>
<title>在龍灣贈香山鑑長老</title>,<text>鑑老多年住妙香。鬢髮曉剪滿刀霜。三生尙有愛詩癖。千里不辭飛錫忙。日暮還城門上鑰。春迴江磧客思鄕。逢師却愧無佳句。只把覊懷賦短章。</text>
<title>贈權汝章</title>,<text>十年江海一竿絲。蹔出應因國士知。西塞山川馳鄭驛。東槎酬唱有唐詩。鄕書無鴈春憑夢。邊月隨人夜入帷。坐覺龍灣爲客久。柳搖江岸草生池。</text>
<title>送咸鏡評事崔嘉運</title>,<text>晨昏曾奉伏波軍。又赴靑油草檄文。塞上霜風凋大樹。轅門老卒識郞君。紅旗曉影飜營月。畵角寒聲動陣雲。元帥爲詢先事業。輕裘緩常靜妭氛。</text>
<title>寄統制使從事官朴叔夜</title>,<text>元戎專制水犀軍。萬斛龍驤駕海雲。定有威聲震遐邇。寧憂竊彂在朝臐。登壇妙略元無敵。入幕美才又得君。從此大平應復覩。買山吾才事耕耘。</text>
<title>送謹封世子使月沙相公</title>,<text>出宰山城養雪鬢。洛城回首杳天涯。終年但結相思夢。此日還題遠別詩。華表再經停鶴處。午門重謁發鴉時。歸來定慰邦人望。不恨從前錫予遲。非才晩受相公知。謬玷東槎集章詩。天上使皇旣久待。江邊別淚遽雙垂。孤鴻謾抱離羣怨。病驥誰憐伏櫪悲。老較當年又三載。幾時樽酒有前期。</text>
<title>彈琴臺</title>,<text>槐安太守南窓子。吊古獨上彈琴臺。佳人寧復奏流水。戰士尙想隨奔雷。花開無主自還落。松倒爲薪誰更栽。悲來有酒不堪飮。落日且放長歌迴。</text>
<title>赴公州</title>,<text>巖程蚤發信馬蹄。公山逮指燕岐西。東方未高墅禽語。落月漸趁行人低。老去轉覺宦情薄。春半不禁霜氣凄。欲寄朝炊覓村店。鷄犬聲遙烟樹迷。</text>
<title>奉寄月沙及玄軒</title>,<text>來守槐安轉眄間。光陰又息百花殘。無勞元亮自解印。且待展禽尙黜官。何日沃州山可買。幾時流水曲堪彈。只憐謝眺窓前岫。相對朝朝不厭看。</text>
<title>槐山郡留別金學士士精</title>,<text>八景分題未就篇。那知遽此惜離筵。歸舟深愧鬱林石。遺愛誰齎劉寵錢。衰謝自甘終坎軻。才賢寧許久林泉。侯君玉署休番日。羸馬行尋紫陌邊。</text>
<title>送金城縣令金仲輝</title>,<text>看君此去躡雙鳧。管得仙鄕別一區。吏發幽庭初下鹿。客來空舘欲栖烏。峽中十室元淳朴。江上千峯似畵圖。猶覺愛山心未足。更尋楓岳陟毘盧。</text>
<title>奉示玄軒</title>,<text>借得江村屋數間。黃墻烟壁半摧殘。朝哺唯度一盂飯。仕宦曾叨三品官。弊帚只堪供自寶。塵冠知復爲誰彈。交親正在城南畔。隔歲長勞夢裏看。</text>
<title>大雪</title>,<text>此日長安歲暮天。雪花堪賞亦堪憐。不霑丹鳳觚稜畔。唯洒銅駝荊棘邊。賖酒正然金鬪貴。暎書猶喜月爭姸。閉門且學袁安卧。誰共芭蕉作畵傳。</text>
<title>庚子年冬至</title>,<text>舊宅丘墟絶四鄰。借來茅屋傍天津。今朝日馭窮南至。連夜雲端夢遠人。草草衣冠塵滿面。皇皇鬢髮病纏身。行看旨亦光陰轉。預恐淸愁不耐春。</text>
<title>直宿內贍寺</title>,<text>官司僻在西山麓。官長寒宵直宿孤。境淨似尋蕭索寺。酒醇搖入步兵廚。庭留殘雪明欺月。松撼回飄響混竽。晨報不愁肌骨冷。一杯醽醁便堪呼。</text>
<title>罷官還向鳳山途中口號</title>,<text>行色凄凉又寂寥。自憐魂去恐難招。風梢搖處鵲移樹。氷轍危邊人渡橋。日落海門天漠漠。烟生村店路迢迢。洛城留滯經殘臘。萬事無成雙鬢凋。</text>
<title>自鳳山又到洛城旅寓</title>,<text>洛城蕭瑟窮秋雨。旅舍凄凉遠客情。霜葉一庭飄萬點。雪垂雙鬢暎千塋。傷時已洒賈生淚。思舊更聞鄰笛聲。明日天津橋畔路。獨騎羸馬訪誰行。</text>
<title>寄題成則優仁川別墅</title>,<text>霽月峯前屋數間。春槐綠柳暎門闌。城頭瑞彩朝暾上。海面鎔金夕照殘。幾處漁村連遠近。忘機漚鳥共盤桓。知君自愛江湖趣。不是悲吟灃有蘭。</text>
<title>雨中寄成甥學顔</title>,<text>邊霜信報銜蘆雁。江雨寒侵借屋人。門久及關無俗客。甁敎倒卧有凝塵。也知翰墨乖時用。不悔踈慵誤此身。唯念賢甥綠楊里。常纏躬稼一生貧。</text>
<title>甲辰年閏九日</title>,<text>佳節常嫌九九忙。今年天餉閏重陽。霜風雖較向時緊。菊蘂尙餘前日芳。好事有誰拚勝會。閥門憐我老江鄕。杯觴索寞賓朋斷。獨送斜陽下短墻。</text>
<title>甲辰元日</title>,<text>吹䓗騎竹當年事。豈料吾生六十三。猶得佩符爲邑宰。也曾通籍趁朝參。人憐霜雪垂雙鬢。自喜兒孫有四男。郡客春來鈴牒少。好看窓岫帶晴嵐。</text>
<title>罷槐山郡。乘舟忠州之金灘。順流而西。</title>,<text>彈琴臺下金灘水。日夜西流向漢京。罷郡慙無旨錢送。全家好載一舟輕。龍門疊巘中天色。甓寺踈鍾半夜聲。從此乘桴浮海去。飄然直欲訪蓬瀛。</text>
<title>詠家僮刈蒹事</title>,<text>招邀同伴雇扁舟。正趁寒江落早潮。裹飯以盂藏在袖。磨鎌如月揷於腰。星河欲曙楊津闊。蘆葦連天鴨島遙。盡日辛勤誇滿載。夜深歸泊柳邊橋。</text>
<title>送金仲輝赴橫城</title>,<text>功名早晩夢刀州。四乞雷封鬢半凋。只愛江魚長入饌。寧嫌谷鳥未遷喬。琴堂晝靜金徽著。花縣春深降雪飄。好待瓜期六載滿。雙鳧還趁紫宸朝。</text>
<title>送崔夢隱宰春川。進退韻。</title>,<text>憶曾流落錦官城。持節中丞枉草亭。當日慙無殺鷄餉。只今猶感故人情。明廷步武靑冥迴。窮巷沈淪白髮星。蕭瑟千林九秋後。老懷還爲別離驚。</text>
<title>乙巳元日</title>,<text>年紀仝看八八周。久判身世兩悠悠。髮毛臘後仍添白。江草春來又喚愁。紫禁敢叨陪鳳輦。滄洲且可伴漁舟。龍山灘下楊花上。管領風烟得自由。</text>
<title>朴思菴夫人挽詞</title>,<text>相國淸名擧世知。夫人淑德又相宜。昇平共享如賓日。雖亂偏嘗待死時。穴卜靑山傍埋玉。魂歸碧落覓騎箕。自憐執紼傷心最。曾寫瓊譚石上詞。</text>
<title>題撰集廳。時廳設於南別宮。</title>,<text>白首爲郞撰集廳。南宮深處掩重扃。平蕪歸思經旬斷。長樂更籌竟夜聽。老態久添花眩眼。春寒却放草生庭。渾如當日栖山寺。燈火三冬究一經。</text>
<title>次玄翁韻</title>,<text>踈慵濫辱諸公薦。久翰周旋寮寀間。冠帶向來重照鏡。韶華其奈已凋顔。牙籤滿壁幾時了。紅杏過墻相對閑。遙想借居江上宅。紫苔經雨上階斑。</text>
<title>撰集聽夜吟</title>,<text>玲瓏虛閣晩涼微。倦客凭欄就睡遲。幾點夕烽初擧後。數聲更鼓乍傳時。庭前草樹烟含暝。簷際皇河影漸移。自恨白頭才已盡。未將淸景入新詩。</text>
<title>撰集廳卽事</title>,<text>愛向南宮直宿頻。明窓淨几絶纖塵。不愁結局將淹月。且喜潛郞可養神。燭至旋敎鋪簟席。日高猶未整冠巾。絶勝待漏丹門外。念繫安危宰相身。</text>
<title>用前韻贈洪副學</title>,<text>催呼入侍講筵頻。玉署諸儒摠後塵。詩遣春雲供態度。貌將秋水作精神。夜深歸院然宮燭。朝退關門岸角巾。莫憶故山林壑美。聖恩終始可收身。</text>
<title>寄題權汝章江華精舍</title>,<text>久聞晦迹江華島。更築精廬水石間。塵氣坐看成貝闕。鶴聲遙認下瑤壇。池荷葉凈誰同賞。巖桂枝樛愛獨攀。欲棹扁舟乘夜雪。拍天風浪極漫漫。</text>
<title>辛丑中秋有雨。旣望乃霽。是日實望也。</title>,<text>中秋莫恨雨肅肅。日月相望在此宵。碧落三更掃陰翳。淸光萬里照瓊瑤。分明桂樹如堪折。咫尺嫦娥似可邀。多笑天公餉人厚。不眠相對到將朝。</text>
<title>冒雪發祥原</title>,<text>霏霏踈雪暎朝暉。恰似春風柳絮飛。何處欲廻孤棹去。有人披得一葉歸。烟生墅店速荒戍。路入溪橋歷翠微。箕子故城行漸近。凍雲寒樹辨依依。</text>
<title>過淸川江。望妙香山。進退韻。</title>,<text>天邊縹渺妙香山。影落淸川江水寒。生色怳疑屛裏畵。淡粧新掃鏡中鬟。蟠龍湫瞰砯崖悸。引虎臺攀鐵鏁難。三十年來舊遊躅。可憐空望暮雲還。</text>
<title>秋懷</title>,<text>千林葉脫晩霜餘。沙石參差露淺渠。蕭瑟夜寒生布被。荒凉歲討乏園蔬。江湖歸夢燈殘後。睥睨啼鴉月落初。門巷寥寥還往斷。凝塵獨對滿床書。</text>
<title>松都懷古</title>,<text>吾生縱匪松都士。慣踏松都滿月臺。每見遺墟生草棘。爲倚行斾輒裵佪。榮華富貴人何在。流水斜陽歲幾回。更閱天荒地老後。昆明池劫有飛灰。</text>
<title>己亥十一月三日雪</title>,<text>風正寒時雲正愁。飄然古出遍靑丘。飛來白鳳三山遠。開盡瓊花萬木稠。天上徒聞銀作闕。人間還見玉爲樓。梁王已去今千載。誰召枚鄒作勝遊。</text>
<title>丙午元日</title>,<text>光陰六十仍添五。行待枯藜瞑據梧。三斗酢曾淹肺腑。九秋霜又流髭䰅。文章鸚鵡慙傳賦。勳業麒麟敢望圖。猶忝明廷三品秩。紅袍象簡趁鳧趍。</text>
<title>陞堂上</title>,<text>生世六旬仍五歲。出身四十又三秋。天心應悶馮唐老。人事寧知雍齒侯。綺繡忽加衰朽質。貂蟬還壓雪霜頭。自慙撰局無餘補。偏荷恩私分外優。</text>
<title>過松京</title>,<text>淸明時節松京路。老子偶然乘傳來。雙闕傷心摠荒廢。千峯回首尙崔嵬。晴熏澗草烟添嫰。寒勤山花雨未開。斜日又愁西轉去。踏殘靑石洞中苔。</text>
<title>迴瀾石</title>,<text>溱嶺危途澗谷間。披蓑行色傍昨攀。驛經興義有餘感。山近天磨多好顔。古碣載龜生碧蘚。奇巖如虎壁澄灣。微風發作東坡面。一一繁霜着鬢斑。</text>
<title>次韻五峯相公彰賜亭。朱梁兩紹使詩。</title>,<text>槖裏歸裝貯賜金。遠從燕市到鷄林。東山境勝聊酬債。北極天高只汪心。耕鑿何曾知帝力。虧成久已付昭琴。竹窓午夢初回處。猶記虞廷戞擊音。疊嶂平郊屋後前。閑花幽草洞中邊。題詩更有兩仙絶。彰賜應敎千載傳。巾屨相從惟墅老。瓊琚繼和摠時賢。只愁身繫安危重。終遣松扉鎖澗泉。</text>
<title>先君嘉靖戊子司馬也。歲周花甲。唯權同知常，朴僉知文秀兩尊長在世。而僉知公退老于永同已久。洛中則同知公一人而已。同年子弟若干。會于同知公宅而上壽焉。時萬曆戊子春也。</title>,<text>五福三尊備一身。腰金輝暎鬢邊銀。重經放榜楓墀歲。獨醉盈觴竹葉春。洛下古來無此事。座中皆是爲先人。僛傞迭向樽前舞。更祝千秋似大椿。</text>
<title>丁酉歲自鳳山向洛中。飯劒水村。</title>,<text>村巷蕭條雞犬稀。壁無渥土戶無扉。杏花落後春猶冷。燕子來時客未歸。詩癖添斑成白髮。兵塵流素化緇衣。前程迢遞知何許。愁帶斜陽歷翠微。</text>
<title>赴驪州。過月溪峽。</title>,<text>丹崖翠壁月溪峽。白髮蒼顔驪牧行。冰棧崎嶇人少跡。寒林蕭瑟鳥無聲。官情久斷三刀夢。家累猶欣五馬榮。想得明朝上官處。淸心樓畔大江橫。</text>
<title>送日本回答使。丁未年也。</title>,<text>知有高堂鶴髮親。胡爲鯨海涉無津。事君伊昔曾移孝。銜命如今敢愛身。若木低邊摩日轂。飛艎駕處挾風輪。歸來滿面蠻烟色。一節依然認漢臣。右正使呂僉樞祐吉服罪輸誠款塞頻。七旬終見有苗臻。大邦報答寧虧體。兩使掄銓摠得人。槎逐張騫曾上漢。俗詢徐福舊欺秦。歸來靴襪生塵土。誰信凌波萬里津。右副使正慶暹星槎遙指海東天。書記才名覺更賢。鰲背雲開瞻貝闕。歸墟波淨涉瓊田。機關正係三韓重。謨畫還輪五利前。餘事遠遊眞足賦。賦成應共楚騷傳。右從事官丁好淸癯風骨宛蓬萊。放浪人間本不覊。欲向扶桑看日出。寧諱駕海涉天涯。縱橫筆下龍蛇字。洒落尊前月露辭。好把文章動蠻貊。歸來江海只垂絲。右從行楊萬世</text>
<title>二月晦。發船淸心樓下。向京口。</title>,<text>溶溶雪水愛趨津。悄悄春寒怕中人。病擁重裘欹枕久。吟安一字擫髭頻。舟輕燕懶波濤險。山近龍門面目眞。明日孤帆落京口。也愁騎馬入紅塵。來往江湖幾問津。紅顔忽作白頭人。攜笻山寺題詩編。繫纜漁村貰酒頻。舊伴追思魂正斷。陳蹤猶在夢非眞。如今獨棹扁舟去。更閱兵戈十載塵。一點松明照晴津。張帆解纜鬧舟人。蘋洲宿鷺䟽沙靜。茅屋鳴雞報曉頻。浮世百年渾物役。餘生何日返吾眞。滄浪春水淸如許。好濯冠纓萬斛塵。</text>
<title>四月初。又乘舟釜浦。向驪興。</title>,<text>踈踈雨點晩來晴。百丈徐轝上水程。遠樹却從山際出。殘花猶向岸邊明。雷驚石瀨千層峻。練靜春潭萬頃平。方信驪興爲牧好。一年三度有江行。</text>
<title>罷牧驪州。沿流向京。</title>,<text>一曲離歌惜解衰。淸心樓下桂帆遲。老逢白髮眞常事。歸隱靑山在幾時。絮逐春風飛下上。波涵夕照漾幽差。舟行又擬停梨浦。隔宿那知有此期。</text>
<title>長安秋夜圖</title>,<text>北斗城邊雲漢斜。征衣搗月萬千家。瑤空暗露漙紅樹。銀燭寒光暎碧紗。雙闕正遲三夜漏。九衢初斷七香車。誰憐下第山東客。明日新霜鬢有華。</text>
<title>丙申歲中秋有雨。閏八月望却晴霽。</title>,<text>丙申之歲中秋夕。漠漠頑雲雨注何。天氣却從今夜好。月明仍足一年多。玉漙樹杪垂垂露。金泛杯心灩灩波。更待人間迴此節。桑田滄海奈吾何。</text>
<title>龍灣館夜飮。次遠接使五峯韻。</title>,<text>夜飮厭厭醉不歸。玉觴飜凸汚人衣。東槎今日斯文塞。西塞從前此會稀。綺席侶邊燈歌亂。碧簷虛處月華飛。相公首有風流作。雲錦新分織女機。</text>
<title>龍灣館遇寒食</title>,<text>丘隴年來拜掃稀。更逢寒食益霑衣。東風西日塞天冷。杏酪楡烟鄕俗非。銜肉老鴉飜隴樹。尋策新燕入山扉。歸期已誤花時節。莫違花殘子又肥。</text>
<title>尙方直宿</title>,<text>禁城冬夜極湧湧。雲氣冥濛雨氣寒。金粟䌈釵燈尙在。銀楚俠箭漏將殘。田園荒盡歸無計。喪亂繼聲睡未安。曉起試持明鏡照。添頭霜雪臉消丹。</text>
<title>遺洪州牧使李東羅子敬</title>,<text>湖陰集裒洪陽。詩似宣城附守佳。一代世推爲大雅。平生獨畏在容齋。箕裘舊業承貽厥。民社餘閑愜素懷。想得江淹工擬古。宮商字字與相諧。兄爲通判弟牧伯。前後一州總十年。東征大家更逐子。南極壽星長照筵。絃歌遠紹蓮軒躅。香火屢躬京兆阡。知君他日至卿相。樂事未有如今全。</text>
<title>朔寧逢大雪</title>,<text>郡閣夜來逢大雪。吏人晨集賀盈庭。河陽城急林渾白。謝眺窓前山失靑。沍乘此時凝凍井。暖波他日漲春汀。林鴉不散簷鈴靜。自近紅鑪煮小缾。</text>
<title>戊申除夕</title>,<text>朔城銓閣逢除夕。六十明朝又八加。鏡裏衰顔從潦倒。山頭落日漸低斜。自憐曾邑峽中郡。羞說憶歸江上家。民事春來如有昨。且栽桃李滿城花。</text>
<title>夜行</title>,<text>相國承綸詣二陵。郡官供億夜奔騰。蕭踈雙鬢老誰惜。辛苦一生嘗未曾。草際石稜疑伏虎。林間鬼火似篝燈。何時管取閑居樂。炊熟黃梁睡未興。</text>
<title>三聖臺</title>,<text>百丈臨江三聖臺。故人爲宰此間來。芝蘭久愛盈庭秀。桃李斯看滿縣栽。春眼又逢關卧客。丹心相照共衘杯。丁寧後會詩留約。自向巖邊掃綠苔。</text>
<title>省內墳</title>,<text>來誰可見去誰辭。宿草疑疑馬鬣危。天外遠峯思剪髻。澗邊殘柳憶齊眉。兵塵共避千巖險。官廩纔寬半歲飢。他日黃泉無愧處。撫君孤姪似君時。</text>
