<title>次答聞喜倅 沈宗直 問梅</title>,<text>造化移茅舍。先春暖氣催。所嗟人在遠。不見臘前開。</text>
<title>德州曉行。憶諸兒廬次。時有夫人喪</title>,<text>人跡橋霜重。鷄聲海月寒。途中吟老病。馬上憶鄕山。諸子依廬舍。群居泣練冠。愁多睡起早。應念此間關。</text>
<title>初到玉河觀卽事</title>,<text>庭敝風無障。薪廉突不黔。天寒冬至近。客病夜來添。強起穿朝服。扶携趁曉嚴。脩門遲曙色。霜雪滿靴尖。</text>
<title>朝天宮習儀</title>,<text>環佩玲瓏響九天。千官秩秩鳳樓前。鯫生得齒鵷班末。惟祝岡陵萬萬年。</text>
<title>冬至進賀 二首</title>,<text>子半雷聲協大音。天門旭日屛群陰。誰知吳札觀風日。正激堯封祝聖心。拭目仰瞻周禮樂。致身叨廁漢冠簪。畸遊已足鶯遷興。不爲留連動越吟。閶闔初鳴磬。關門已息商。天行時以健。陽德日方長。此理元無間。吾心要自強。遙瞻熬抃意。不獨頌如岡。</text>
<title>玉河館詠雪。次張說和聖製韻。</title>,<text>客牕新臘近。庭樹早梅開。落地銀成界。循階玉作臺。已令袁子臥。誰訪戴公廻。但得明年飥。應招大椀來。</text>
<title>夜坐</title>,<text>積雪侵磚壁。驚風打紙牕。擁衾還却枕。披卷更挑釭。使事何時竣。鄕心幾日降。夜分猶耿耿。晨鼓已逄逄。</text>
<title>記夢</title>,<text>白日懸葵藿。丹墀隔海門。幾回思晉接。今得夢梁園。揮灑天涯淚。丁寧榻上言。覺來驚起坐。宮漏曉牕昏。</text>
<title>見毛帥揭報。有呈文辨誣之意。而勢有難便。因述己志。示兩觀同行。</title>,<text>撫劍中宵坐向南。客牕孤憤共誰談。將軍密牒猶無已。屬國機宜轉未堪。開口欲言誠忌器。讀書何用愧非男。衰遲覺短酬恩日。又送今年六十三。</text>
<title>得諸契見和。又次以呈。</title>,<text>壯志終抛掃漠南。王公捫蝨已閒談。吟成但得悲莊舃。舌在寧須問仲堪。賓館客愁淹漢臘。仙舟歸計負秦男。遙憐李白眞同我。月下徘徊影作三。</text>
<title>又酬南宮先生 四首</title>,<text>其一念亂胡馬何年恣牧南。奇圖不許腐儒談。中山未拔猶書至。叔夜如存底事堪。自信臧宮元有掌。休言列郡更無男。朝廷十載安邊策。豈在東溟兔窟三。其二排憫越鳥巢枝久繞南。羈懷未敢向人談。殘燈對處燃心盡。孤憤來時得酒堪。詩有偶成緣作客。淚嫌揮灑重爲男。唯憐一飯區區意。不忘當年晉接三。其三思歸五絶聲名愧世南。逢場不用做詩談。愁知酒盞終難捨。老覺人情更未堪。仍憶仲宣懷土賦。轉憐元亮懶書男。東溟杳杳歸期遠。孤夢迢迢日往三。其四畸詞一曲望江南。野逸時時發劇談。巴峽老吟悲杜甫。渭城淸唱聽何戡。憂非恤緯眞釐婦。眠不開門儘魯男。春近濟河梅欲動。夢魂先繞海山三。</text>
<title>通州道上。又用前韻。</title>,<text>千桃萬柳玉河南。走馬都門發笑談。沽得細尊愁已遣。坐來芳草興難戡。臺前祇是過神女。海上定應吹少男。蓬島好花開落盡。艤船何處賞春三。</text>
<title>白溝途中口號。此實督亢地方也。權宦魏忠賢方築私室。</title>,<text>往事悠悠不盡知。百年興廢問憑誰。長河界盡純臣死。勝地圖成壯士悲。曾是大賢封菜地。已爲權貴築郿基。斜陽匹馬新城路。重爲申生數晉姬。前路亦新城界。</text>
<title>到車牛島 去陸數百里。</title>,<text>故國諸山始入望。扁舟歸客意如狂。非關隔歲鄕園念。自喜葵忱漸近陽。</text>
<title>悼渰海諸人</title>,<text>海風凄斷海雲屯。何處啾啾四十魂。行客瓣香招不得。撫心無語立黃昏。</text>
<title>南別宮親祭日。入直禁中。夜聞雨聲。</title>,<text>掖庭秋雨亂如麻。南殿儀容政若何。臣子不忘君父意。靑綾一夜鬢成花。</text>
<title>宿淸心樓</title>,<text>宿客停舟夜入樓。入牕風露凜生秋。曉來一枕忘機事。方覺全身換白鷗。</text>
<title>次松亭大父紫玉山淨惠寺韻 寺在慶州</title>,<text>世澤家聲愧出藍。十年乾沒任辛甘。仁賢一去餘芬在。欲挹淸塵問碧潭。長松廕澗碧於藍。列坐論詩意味甘。直恐山靈揮俗客。塵纓不敢洗淸潭。附原韻</text>
<title>寄愚翁 在慶州時。</title>,<text>講筵三昧世稱無。開導眞功屬大儒。龍臥洛波雷亦蟄。令人却憶范淳夫。</text>
<title>臘月八日 是日家有醮事。</title>,<text>凍雲朝釀小簾纖。終日淋淋漸覺霑。南國想無乾淨地。客中憂思轉頭添。</text>
<title>鳳凰臺。餞金總兵。俊龍 ○辛未</title>,<text>高臺酒盡衆蟬啼。寒樹號風暝色低。携送北歸朝玉陛。不堪危懇五雲西。</text>
<title>旅夢</title>,<text>客牕秋氣夜深涼。明日携衾上玉堂。魂夢不知身在遠。索綯歸葺紫霞房。</text>
<title>夜泣 丁丑</title>,<text>中夜呑聲枕積痕。關山實有未招魂。烏鳶不說叢林骨。欲使何人問鬼門。</text>
<title>晩全堂口號 西厓堂號</title>,<text>夙慕南陽士。如欽巷裏人。餘風魯洙泗。洪閥漢麒麟。海內蒼生望。天涯白屋貧。匡時一篇疏。字字見精神。</text>
<title>次新寧竹閣韻。謝主倅宋福如。爾昌</title>,<text>竹樓秋雨歇。溪月夜牕虛。遠客愁多處。殘釭夢覺初。相携仍命酒。欲別更留書。此去江南郡。悢悢奈索居。</text>
<title>輓李方叔</title>,<text>去歲是時月。與君無盡歡。江邨欲就醉。冬夜未曾闌。舊事渾寥寂。朋情政汗漫。傷心寢門哭。身老更天寒。</text>
<title>送康使君 復誠 任滿還京</title>,<text>卒業儒先老。分憂士友鄕。爲治皆學術。餘事是文章。一鶴行裝淡。雙鳧去意忙。當時翦燭地。誰與共登堂。</text>
<title>輓金柏巖 玏</title>,<text>不憖周家老。云亡漢世儒。彼天寧復怨。斯道已堪吁。直氣難諧俗。深憂任處湖。丁寧兩篇箚。光與日星俱。</text>
<title>別東園令棄任歸京</title>,<text>三載官梅樹。長含有脚春。分將一團氣。偏被二天民。斗米腰何磬。岐亭鬢欲銀。行藏惟義在。不必強濡巾。</text>
<title>謝一善倅柳仲嘉送綵囊</title>,<text>蜀錦團團裁。仙娥密密縫。故人眞鄭重。深意及衰慵。括口要無咎。虛心見有容。圭三仍感佩。襲十更堅封。</text>
<title>寄愚伏</title>,<text>干木何如者。踰垣必避之。今朝得邸報。日夕戀恩私。只任甜桃在。寧從破釜爲。臨岐不敢發。一味笑吾衰。</text>
<title>輓李茂伯 潤雨</title>,<text>執友云亡盡。今君更見辭。斯文天已喪。吾黨仗伊誰。別恨魂應識。臞形夢獨知。丁寧蕭寺約。說到淚盈髭。</text>
<title>雙溪卽事</title>,<text>窮陰迷近渚。雹雪覆孤邨。爐火噓無焰。牕鷄凍不言。浹旬常倚壁。長夜不關門。第五倫亡久。誰從此意論。</text>
<title>輓金持平 瑄 改葬 延興之子十五遭禍。今贈職名。仍命改葬。</title>,<text>釁積曾疑地。人勝未定天。刀碪誰獨免。玉樹最堪憐。至痛逢今日。新恩渙舊阡。哀榮前後事。目擊更潸然。</text>
<title>慈殿立春迎祥</title>,<text>國運重開泰。天心亦復仁。三陽初按節。一氣已回春。舜殿饒和色。華封祝聖人。三牲猶未極。細菜始供新。</text>
<title>送權霽仲賀至</title>,<text>舊誦詩三百。新登路八千。劍隨吳季札。槎泛漢張騫。疢疾恒存地。顚危自任天。親朋不曉事。猶惜別經年。</text>
<title>送姜任甫奉使日本</title>,<text>前輩曾專對。今君更誦詩。風波元蕩漾。忠信任顚危。八月張槎泛。三星漢節持。男兒四方志。一去奠東陲。</text>
<title>示全上舍 命龍</title>,<text>科聲蘇轍後。文賦陸機前。翦拂吾門族。光榮我祖先。學求無欲速。名恐有虛傳。著脚終須硬。無爲物事牽。</text>
<title>輓李貳相 尙毅</title>,<text>文星初照地。卿月更麗天。身老名猶盛。官尊德益全。于門從此大。郭裔最多賢。送者車千兩。哀榮有足傳。</text>
<title>送趙睡軒 存性 按節關東</title>,<text>九卿推德望。千里任巡宣。使事初迎刃。民心已解懸。境淸應得句。樓迥正逢仙。聽說毗盧勝。如登萬二千。</text>
<title>次西厓先生韻題雲巖精舍</title>,<text>境說丹丘勝。山憐小白隣。斷屛移大隱。層岫見高人。水石渾如舊。儀刑宛對眞。登臺無限意。日夕拜淸塵。</text>
<title>送愚伏朝天 二首</title>,<text>學道仍求志。憂時欲易絃。不堪流俗駭。偏荷聖明憐。專對詩三百。孤懷路四千。一年遼海月。強半別時圓。鴨水分遼左。燕山在日邊。一陽初動處。萬里遠征年。槎著乘秋興。囊收採俗篇。昏眸須一刮。會待落梅天。</text>
<title>輓李叔平 埈</title>,<text>忼慨匡時策。平生補闕心。世澆期復古。才大豈宜今。玉署亡人鑑。巖扉泣士林。尩羸獨後死。哀誄不堪吟。</text>
<title>輓張旅軒 顯光</title>,<text>早立河南雪。遙攀泗上風。淵源皆道脈。經術是儒宗。國値梁摧運。人驚木稼匈。斯文一長慟。禮樂更誰東。</text>
<title>輓睦湯卿 大欽</title>,<text>卓犖儒林表。軒昂長者風。治聲延壽後。才望建安中。病到三春盡。家傳四壁空。銀臺舊時跡。回首轉忡忡。</text>
<title>輓李加平 惇五</title>,<text>詩禮庭趨日。忠貞世亂時。身爲趙氏鬼。家破卞公池。義烈居人服。門閭過客悲。忝從中散久。何忍此題詞。</text>
<title>輓鄭檢閱 杺</title>,<text>藉甚元龍望。推爲五鳳才。箕裘蘇氏軾。簪筆漢臣枚。斯疾人而有。玆行世所哀。傷心請車老。摧痛若爲裁。</text>
<title>陰城曉行</title>,<text>病起携衾橐。行吟據馬鞍。山深小逕險。霜重弊裘寒。抵死形猶役。偸生老可歎。南柯曾豈夢。今又入槐安。</text>
<title>輓趙安仲 靖</title>,<text>齒德兼高爵。鄕邦仰達尊。斯文今日喪。吾黨幾人存。有淚時霑臆。無歌可倚門。龍鍾天豈憖。朝夕會泉原。</text>
<title>輓金無悔 知復 二首</title>,<text>長者愚淵老。今之善士流。入朝驄可避。爲郡犢還留。旅櫬魂千里。邙山土一抔。夜臺逢萬子。應慰喪明愁。翰墨同馳逐。簪纓忽後先。世情無久計。官況各衰年。惻惻相離日。茫茫不憖天。西門辜一慟。安得奠鷄綿。</text>
<title>輓金大憲</title>,<text>簡淡儒林表。忠勤社稷心。嘗罹漢網密。幸免楚臣沈。禮法皆言雅。繩彈是己任。時危無此老。國事柰如今。</text>
<title>輓李監司 𥙆</title>,<text>竹箭東南美。干戈喪亂時。天心如有意。國事柰難爲。鎖鑰今無主。巖廊更待誰。九重方震悼。何說哭吾私。</text>
<title>輓金持平 奉祖</title>,<text>路上聞哀訃。江頭送旅轜。朋情輸涕淚。世事入悲呼。家缺三珠樹。庭亡一腋狐。遙知恩祭日。誰獻最初㪺。爲五子登科。有賜祭先大夫之命。故云。</text>
<title>輓曹修撰 文秀 慈堂沈氏</title>,<text>相國家聲遠。閨房婦德徽。三從元有範。二豎忽難毉。淚向新篁灑。魂隨舊劍飛。一毛留鳳彩。餘慶定無涯。</text>
<title>輓崔判尹 瓘</title>,<text>碩士生周國。名臣賁宋廷。未聞豚掩豆。唯見馬旋廳。末路饒貧病。危途荷聖靈。音容今杳漠。萬事涕雙零。</text>
<title>謝金陵倅送米豆</title>,<text>厚貺應捐俸。深衷實救飢。長腰四陌合。大菽一囊隨。免進三旬糲。添耕十畝菑。殷勤故人意。僕僕謝難爲。</text>
<title>贈李茂伯赴潭陽</title>,<text>綸誥名元重。貂簪位不輕。十年垂紫綬。萬里爲蒼生。五馬湖中路。雙鳧海上城。風塵共衰暮。怊悵送君行。</text>
<title>九日禁中。憶南鄕舊遊。</title>,<text>張翰黃花句。淵明白酒篇。風流元獨得。醒醉幾千年。南國秋光暮。東籬物象鮮。携壺行樂地。應說此留連。</text>
<title>輓金士修</title>,<text>喪亂人誰在。交遊子獨存。風塵身早瘁。霜雪鬢先痕。柯爛仙棋散。粱炊大夢昏。城東滿袖淚。笛裏灑荒村。</text>
<title>謝海西伯送灑金首陽梅月</title>,<text>萬古薇山秀。遺風有墨卿。世稱儒者友。吾憶聖之淸。棠茇三緘札。梅槎十笏精。眼前兒輩樂。深荷故人情。</text>
<title>次鄭校理 雴 韻</title>,<text>杰士生南國。方興不待文。馮唐悲曉鏡。元亮任春耘。末路監芸閣。孤村掩蓽門。眼中人世事。相對笑云云。</text>
<title>輓李槐山 德胤</title>,<text>道自多聞得。知因實見明。浮榮非本計。窮養是平生。二郡當時澤。三尊沒世名。關西失夫子。誰復啓聾盲。</text>
<title>次慶州東軒韻。示接儒。</title>,<text>故國鳴鷄府。春風語燕來。空齋晝日永。太守午眠回。北闕丹心苦。南箕赤子哀。無人到偃室。空復憶澹臺。</text>
<title>次崔上舍 東彥 湖亭韻 二首</title>,<text>亭敝春容媚。湖平鏡面開。舊聞山簡逸。今向習地回。萬慮都消去。三公肯換來。登臨無限意。遲日恐先頹。春晩茅亭暖。臺高綺席開。閒情歌數闋。豪氣酒三肯。就醉渾忘返。臨分更約來。明朝有簿牒。不惜玉山頹。</text>
<title>次東都客館韻</title>,<text>病學淮陽臥。歌慙叔度來。箕頭顏益厚。簿領首頻回。潘鬢蕭疏恨。王樓轉展哀。天涯長望極。日夕更登臺。</text>
<title>次西岳書院李龜巖韻</title>,<text>庠序餘規學夏殷。提撕欲覺後來群。文翁數載恩猶洽。晉鄙千人德幾薰。斯道光輝懸日月。諸公述作變風雲。最憐擿埴塵中守。乾沒長嗟白首紛。</text>
<title>病中偶吟</title>,<text>十年前已老形俱。況到今春說白鬚。耳歎許丞曾重聽。臂憐工部更偏枯。一方捐瘠顚連甚。三載催科惠澤孤。爲報汝南諸學子。月評容復恕疏迂。</text>
<title>輓長源君黃 性元</title>,<text>簪纓不墜舊家聲。鍾鼎何年更勒名。一策坐平宗國亂。三君起應泰山盟。人間壽貴當時極。泉下恩光後世榮。太史有書應特筆。豐碑八尺已崢嶸。</text>
<title>輓權參判守之</title>,<text>狼星臨節徼。卿月墮重圍。疢疾溫輿夢。羈魂匹馬歸。高風今日盡。末路故人稀。玉署金閨跡。回頭涕滿衣。</text>
<title>輓康知事明之</title>,<text>聽說孤臣達。終看傑士興。淵源應有自。州縣乃餘能。里巷稱吳隱。親朋憶李膺。籃輿不復擧。南望涕難勝。</text>
<title>送鄭輝遠 蘊 謫濟州</title>,<text>秋雨過湖堂。蓬牕生晩凉。孤臣萬里意。遠客九回腸。海水元無底。天恩豈易量。文身百粤地。不是死人鄕。</text>
<title>送兒還鄕</title>,<text>始念河氷薄。俄驚朔雪寒。夜深應對竈。朝晩孰加餐。客睡何曾着。宮宵不肯闌。同來未同去。益覺宦情酸。</text>
<title>輓柳季華 袗</title>,<text>到老悲無友。忘年賴有君。人思扶此道。天欲喪斯文。烏府初循堵。鸞驂已上雲。分山餘故宅。不忍撫淸芬。</text>
<title>輓金竹日 光曄</title>,<text>間氣鍾商右。文星照洛濱。庭中一珠樹。席上萬金珍。器度汪汪海。儀刑靄靄春。高標元出衆。絶藝最驚人。題雁名聲早。登龍寵擢新。銀廂初秉筆。玉署繼裁綸。執笏陞烏府。揚眉戴豸巾。風稜今拆檻。論議古埋輪。道直才難盡。時危命欲屯。持衡移捧檄。將毋出臨民。五馬邊城遠。三牲孝理純。齊民方頌德。二豎忽纏身。白首東山社。丹忱北極辰。更承新渙綍。催起舊垂紳。經幄重摛藻。霜臺再批鱗。我時從旅宦。君與作芳隣。倒履相迎急。開爐對酌頻。長卿猶抱病。原憲素安貧。遁思吾先決。歸章子未陳。襟分興洞館。船進廣陵津。別久心仍吝。情多夢屢親。秋聞華紱解。冬報宿痾因。命駕衝凝雪。當道患採薪。扶携纔返旆。匈訃已驚神。痛哭疑非實。詳傳認是眞。天胡生異質。世不被深仁。士失依歸地。廷無顧問臣。萊墀停戲舞。萱寢曠昏晨。至痛何年已。窮冤幾日伸。凄凉終老計。寂寞大江滣。撫事衫盈淚。回頭跡滿塵。空梁有落月。一見一悲辛。</text>
<title>次謝李潤卿 睟光 四首</title>,<text>半生如識卷中賢。徒爲荊州景慕偏。誰謂馬卿多病日。適逢萊老過山年。天涯濡沫憐橫陸。海內知音續斷絃。虛幌夜闌牕月白。不堪羈思到君邊。鸞棘沈冥百里賢。鴻恩特被一隅偏。民從尹鐸依三板。治得淮陽臥十年。誰信枉抛殷鼎手。可憐空撫魯城絃。窮途自切登門喜。不覺留連瘴海邊。十年名寵鷺鵷班。環珮佩然響九關。新爲股肱成堡障。却將文墨品湖山。天涯物象奚囊富。海上絃歌簿領閒。聖主至今方側席。玉堂朝暮待君還。流涕平時慕漢儒。紫泥羞見照亨衢。明公德業曾殊調。遙海風塵獨佩符。閉閤一年民有袴。萃囊千什唾成珠。謝君元係蒼生望。末路沈冥倘起無。</text>
<title>輓趙棐仲 翊</title>,<text>枯盡山頭草。鍾他地上仙。聰明管輅右。文賦陸機前。地望儕流仰。聲華走卒傳。名題塔頂日。策射泮圍年。有志扶頹運。無人識絶絃。兵塵悲踽踽。湖海抱悁悁。冑署初超列。春曹早備員。都人喟然歎。僚士莫之先。鶴禁俄移直。烏臺久糾愆。風生驄馬步。霜滿獬羊筵。道直人難事。途窮命亦邅。潮州夕貶遠。儋耳夜行遄。孤影隣漁父。餘生老瘴烟。爭知屈平骨。埋卻汨羅淵。䨓雨新恩渥。漁樵舊宅田。河陽仍就幕。彭澤繼烹鮮。辨決韓馮翊。廉明趙潁川。方歌蜀郡袴。旋棹鬱林船。歸臥誇閒適。幽居喜靜專。行藏惟信命。苦樂每聽天。峭切人爭避。淸眞我獨賢。鄕風就淳正。蒙士被陶甄。一疾嗟何劇。三秋竟未痊。驚風摧玉樹。淸範隔黃泉。語德官何小。論仁壽不延。盆徒留白屋。兒未繼靑氈。命道誠難曉。天心亦已偏。吁予生隔里。與子幸隨肩。問業開初惑。攻詩授古篇。師之或可矣。友則豈堪焉。到老情愈篤。爲隣契益堅。同心常莫逆。濡沫更相憐。吾黨今何似。斯文轉索然。公私長慟淚。日暮灑新阡。</text>
<title>送全性之 以性 謫扶安</title>,<text>西塞雲山遠。南遷客路難。親朋尊酒恨。朔雪海天寒。疢疾吾皆勉。浮生着處安。他年得力地。刮目會相看。</text>
<title>送李從事 尙古 奉使日本</title>,<text>島夷東南角。彈丸渤海中。梯杭元不隔。皮幣或相通。古事雖膺狄。前王本撫戎。辛勤申相國。來往鄭文忠。塞草仍抽綠。邊煙久息紅。龍蛇遭厄會。蟲鶴化疲癃。殺氣迷東洛。干戈失左馮。天心悔國禍。帝德及車同。諸將來頗牧。奇謀用鐵籠。皇靈知必畏。兇醜計還窮。漢室收邊警。周詩絶內訌。伻來崩厥角。天與誘其衷。款曲辭偏順。包容量可洪。旋思諭德意。有命選諸公。忠信膺新拔。軒昂有古風。筵中曾秉筆。陌上舊乘驄。見事寧渝命。當官每鞠躬。身無七尺長。心有萬夫雄。庭得言詩訓。門移盡己功。可行蠻貊地。誰避虎狼叢。辭辯知無敵。威名自此隆。分裾老萊室。承綍未央宮。義重家何恤。恩深孝未終。征車初出牧。直氣已凌虹。駟牡過高險。孤帆指渺濛。先聲動岐馬。豪氣溢瀛蓬。行見頑酋服。爭知聖德鴻。益殫誠拱北。應感化漸東。使事稱蘇轍。才聲見孔融。嘗予識元禮。幾度敬吳蒙。每有楓林夢。難傳驛使筒。自聞征節過。深愧舊情空。病裏遙相寄。囊中倘見充。庭闈樹方靜。歸思莫忡忡。</text>
<title>次尹牧伯先覺韻。送金淸州 弘敏。</title>,<text>芳草一場筵。遠于秋水涘。人多分手恨。顏動奉檄喜。平生許國臣。此日榮養子。早學聖賢書。唯懷忠義志。才堪最三輔。德豈稱百里。龍墀久匪躬。鶴髮恒感淚。只緣山日迫。未暇天眷邇。來諗忽格天。至誠如在己。九重下溫音。十室許歸理。北闕休獻替。南國作綱紀。湖西有古州。漢南稱勝地。四境鷄犬達。一方風俗美。民庶尙富足。士子知信義。叔度縱來暮。杜母亦在是。牛刀少年業。鳳棲今日事。遙知罷簿書。日事奉甘旨。罔極北堂情。應深東海水。摠爲舞斑爛。非關拾靑紫。榮光動瞻聆。送客喧歌吹。幸矣西原民。傷哉南土士。將收討論功。久失蓬麻利。摻裾付已矣。煩君幸國耳。唯當歲未暮。宿契知無二。</text>
<title>輓韓益之 浚謙</title>,<text>稚圭風骨秀。持國德望饒。典誥文昌筆。巡宣召伯謠。儒林依李郭。朝著仰夔，陶。國有龍髥哭。家逢鵩鳥妖。靈均漸枯槀。高克久逍遙。泗上曾知季。宮中已頌堯。恩光被下戶。位秩冠諸僚。儉約心逾苦。謙沖志不搖。寧容廳下馬。不見壁間椒。世亂身先老。憂深病未調。精忠歸奄奄。門巷入寥寥。山斗名如昨。荊州面隔宵。詩成那盡述。魂去不堪招。太史豐碑記。餘徽倘備描。</text>
<title>輓西厓先生</title>,<text>玉淵收彩鶴山枯。淑氣初鍾間世儒。積學幾年尋墜緖。孤忠末路展訏謨。經綸盛業扶頹運。恬退高風立懦夫。斯道已南仁不壽。皇天未欲啓吾徒。</text>
<title>送李思彥歸覲淮陽</title>,<text>京口違離日月催。宦遊南國路脩廻。關雲昨夜停車處。池草先春入夢來。危磴未鞭湖外馬。小牕應發峽中梅。從知一席開湛樂。人道今時兩老萊。</text>
<title>贈吳景虛 曾判鶴城。故七八句及之。</title>,<text>羈旅當時共宦遊。半生交契正綢繆。嘗推鐵面多風力。自笑龍鍾困輩流。萬事十年俱白首。異鄕今夜各靑眸。誰敎舊令逢新令。幕府酸甘對說休。</text>
<title>處容巖。贈李摠兵 侃。</title>,<text>老石蒼苔海上臺。將軍駐節爲徘徊。雄臨壯氣龍泉躍。大醉高歌鳳管催。鼓吹晩來歸棘柳。風流此後播蓬萊。明朝欲寄天涯別。獨艤蘭洲采采廻。</text>
<title>送金晦仲 寭 赴魚川</title>,<text>西關名勝古靑城。陲館遙連細柳營。秋盡藥山峯簇簇。地窮楡塞海冥冥。十年書劍猶今日。萬里風霜更此行。最是馬卿多病久。不堪腸斷夕陽亭。</text>
