<title>戲贈盆梅主人</title>,<text>戶外寒猶緊。房中別有春。漑根徒要實。淸翫也誰人。</text>
<title>蒼巖棹歌 並記事○同泛錄在附錄</title>,<text>今上二十六年庚辰三月甲寅。葛庵先生自湖南匪所蒙宥東還。歷謁咸密先塋。路由靈山。地主蒼雪齋權公。先生門下之高弟也。逆于境上。以做晨夕陪歡。仍訪辛一庵江墅。置酒於蒼巖亭畔。亭卽忘憂堂遺址也。是日也。江左右羣賢畢集。登高望遠。韻岸甚騷曠。地主公進言于前曰。昔寒旅兩先生與當時諸名輩。同泛於龍華山下。至今爲南州勝蹟。今先生風霜迍邅之餘。路過此鄕。誠吾黨之一大同慶也。同泛之樂。豈獨專美於前哉。先生謝之曰。罪戾餘蹤。自異常人。耽翫景物。得無濫分之嫌耶。一庵公在傍曰。古之名流。雖在放逐之中。猶有好山水遊觀嘯咏之趣。况今全釋之命自在。與常人小無異同。且况此遊非貯妓女宴絲竹。卽與同志諸人寄興二樂。則復何足爲嫌哉。密庵公又白之曰。主倅之供已備。多士之論僉同。不得不從之。遂登船。先生居首位。地主與衆賓從年輩而分席焉。昔李郭同舟。人望之若神仙。况吾輩之御先生乎。春雨初晴。江色澄練。丹崖靑樾。白沙翠竹。如入天池石壁圖中。先生顧謂一庵曰。郭忠翼火旺之役。尙藉藉人口。忘憂亭畔。宜有羊公一片石。一庵曰。此近士族之保有今日。皆忠翼之賜也。是故。敬守蒼巖。如古之峴山。先生曰。瞻望遺亭。不可無起感之作。因口誦其所賦一絶曰。憶昨忘憂仗義秋。英風壯節擅東州。秖今悵望泉原隔。歎息無言俯碧流。座中無不奉詠嗟歎。密庵公曰。洛江上流。非無奇絶處。而平夷廣濶。未有如此沿。則無乃水漸富而去海不遠而然歟。金谷川曰。此去密金等地則其浩汗。尤不可量也。而已一葉漁舟飄然而至。以進生魚。地主公命膾之。進盃盤于前。先生曰。吾素不解飮。一自覊旅以後。疾病交侵。酒戶尤塞。因進小酌。與諸賢酬。數廵而止。竊瞷先生屢年坎壈之餘。無牢愁枯寂之態。而浩然剛大之氣。流注於胷中。望之如泰山喬嶽之亘天。卽之如春風時雨之浹人。正力之不可誣者有如是。而地主公之授受有的。應對如流。英發之論。愨勤之誠。尤令人欽歎萬萬。先生顧謂命培曰。此距龍華山幾許。命培起立船中。指點以對曰。似近船路十里。先生曰。江山非不儘美。逆溯甚艱。遠何能致之哉。仍問寒旅同泛之日。與其錄者誰某幾員。對曰。自郭忘憂，李畏齋，趙澗松諸賢。殆近四五十員。則與今日之會。互相上下矣。密庵公曰。江湖生面。如夢過靑山。他日思之。不能悉記。命培遂歷擧遠近諸處。公曰良足一賦耳。先生顧謂主倅公曰。乘興而來。興盡則可歸矣。主倅公仍命梢工回船。順流抵津門下船。仍修同泛錄。首書先生。繼以年齒爲序。凡四十五員。地主公敍其事以附于後。洵龍華以後第一勝錄也。於乎。微先生。不能得是會。微主倅。亦不能成是遊。豈不盛哉。地主公贈余一絶曰。久聞聲譽願言頻。今日同遊意益親。愧我風塵無暇物。惟君天地養眞人。其謬許之過情。尤極愧赧。歸家數朔。餘戀在中。每閱同泛華帖。便若先生在座。諸賢後先之。衣冠之盛。江湖之勝。燎然於目前。不敢以等閒名帖拋諸巾衍。乃敢綴拾舟中梗槪。以爲蒼巖記事。且述一江上下可稱可點處。排以九曲。步武夷十韻。名之曰蒼巖棹歌。固知僭越微分。而後之慕古者。如或采往跡則亦不無小助云。蒼巖江上毓英靈。靈鷲仙峯近接淸。曲曲淸流流不盡。棹歌誰送兩三聲。一曲從容御李船。堯江指點古斜川。偏憐徵士門前柳。半罨茅茨半入烟。右堯江垂柳二曲蒼巖聳似峯。天然被甲赴軍容。紅衣亭子臨其上。堡障江山繞幾重。右蒼巖古亭三曲松津上釣船。生涯付水幾何年。西巖夜宿垂綸坐。風雨孤簑堪可憐。右松津漁父四曲蒼屛繞石巖。景陽臺畔草𣰦𣯶。登臨便若晶宮坐。下有千尋碧玉潭。右景陽石臺五曲津門上浦深。閭閻依水護松林。南檣北楫紛紛聚。摠是浮家射利心。右上浦帆檣六曲徘徊翔鳳灣。碧梧桐樹掩江關。客來倚棹淸陰下。鳳鳥不來春意閒。右翔鳳臺梧七曲明沙護碧灘。渡鴻何處拭眸看。終宵不見鴻書至。只有江聲月色寒。右渡鴻明沙八曲龍華秀色開。靑松隱隱磬聲回。當年寒旅同帆錄。剩使遺芬襲後來。右龍華秀色九曲西洲境窈然。合江筦領好山川。澗翁當日藏修地。杏樹依依守洞天。右合江孤杏</text>
<title>敬次葛庵先生忘憂臺起感之作</title>,<text>往劫龍蛇閱幾秋。紅衣壯節誦南州。當年火旺牢關術。便是沙囊置上流。敬附原韻憶昨忘憂仗義秋。英風壯節擅東州。祇今悵望泉原隔。歎息無言俯碧流。</text>
<title>步次權蒼雪舟中吟贈韻</title>,<text>白雲深處擧頭頻。仙鶴何心野鳥親。水靜山高風亦好。悠然沂上詠歸人。附原韻久聞聲譽願言頻。今日同遊意益親。愧我風塵無暇物。惟君天地養眞人。</text>
<title>讀四七辨。偶成一吟。</title>,<text>理發氣隨猶太極。靜而生陰動生陽。理纔動時氣便隨。豈有先後之可遑。譬如屈伸原在臂。屈之伸之臂隨忙。如人乘馬馬隨人。不待驅策便馳韁。氣發理乘亦相須。自外感時由中腸。不相離亦不相雜。似若微分彼此疆。孺子惻隱中心出。豈以氣發謾雌黃。四端七情相表裏。專言不兼亦析芒。考亭眞訣退陶承。高峯後論終歸當。師門一辨明於燭。此外岐貳昧向方。</text>
<title>詠州誌</title>,<text>往蹟堪徵百里居。一通州誌盡詳書。晴囱敬對仍三復。卷上餘芬宛襲裾。</text>
<title>渡灞歸路。訪楊州李友。</title>,<text>十年重得數宵同。回憶前塵一夢空。客自南鄕須御李。門深北里似逃蓬。楊州是夜堪論月。滕閣他年易借風。試看庭梅驗消息。老枝無力尙胎紅。</text>
<title>過丹陽三仙巖</title>,<text>溪上三巖似列仙。蒼奇恠古立頎然。濯纓齊立滄浪水。捧笏方朝兜率天。猿鶴追隨長遣日。烟霞供養益延年。笑貌聲音宛如接。元章可拜丈人前。</text>
<title>贈甥姪趙天翼</title>,<text>鵾鵬久抱圖南志。直上長程九萬天。文雅堂堂傾一世。倚樓風格尙依然。</text>
<title>次族叔進士 之煜 贈韻</title>,<text>風雪蕭蕭隙駟年。懷人不寐坐悠然。孤鴻半夜投瓊字。光動山溪寂寞邊。附原韻雨打寒囱迫暮年。客心何事轉凄然。思君不見悠悠望。只在茅溪淺水邊。</text>
<title>次吳兄 始昌 韻</title>,<text>相逢莫道異鄕人。先祖當年共井人。契托金蘭承世誼。惜離情緖會多人。吳君寓居禮安</text>
<title>訪金谷川 尙鼎</title>,<text>家貧休恠食無魚。竹弟梅兄共一廬。老去豢蒭惟理義。閒中鼓吹是詩書。對人司馬言無隱。傲世步兵禮或疎。心織筆耕皆分內。硯田日日不離鋤。</text>
<title>嚴上舍 翼夏 左訪。謾賦卽事。</title>,<text>碧桃花向絳桃齊。盡日看花醉似泥。檐際迎賓廻紫鷰。籠中伏子有黃雞。衣帶漸明山月笑。琴書自潤洞雲迷。賣田何日充漕稅。覽海看山疾馬蹄。</text>
<title>同趙樂溪 靈得，李冬庵 時昌，及其弟 時大 登釰巖溪亭。</title>,<text>一灣流水抱山回。水作澄潭山作臺。龍氣三時如做雨。蟾光半夜可停盃。舂容寒府仙韶出。瀲灧方塘聖鑑開。此去靈源知不遠。漁舟從古幾人來。</text>
<title>次柳護軍 東根 慶宴韻</title>,<text>大耋人間貴。恩啣二品崇。良辰開慶宴。賓主盡西東。獻壽岡陵祝。稱觴喜氣濃。鯫生叨盛會。孤露感無竆。</text>
<title>次湖西過客韻</title>,<text>可愛西湖客。相逢卽吐情。論交如水淡。投韻使人驚。未洽新知樂。還催告別行。他時如見月。顔範挹餘淸。</text>
<title>屹嶺會話時。次郭聖若 翊朝 韻。</title>,<text>嶺上幽期在。扶筇暇日尋。烹魚拚勝會。攜酒感先臨。玉麈淸談爽。金蘭契誼深。樽前難盡興。他日釰溪潯。又霞外乾坤有一村。數三茅屋帶荒園。鉤衣石角纔通路。迎客山童別掃門。樹葉濃陰烟織密。春光糚景日偏暄。開襟終夕亹亹話。不覺前林暮色昏。</text>
<title>趙樂溪來</title>,<text>崟㟢歷落歲年遲。俱是山間一老菑。心事一生期白鷺。詩聲四月聽黃鸝。交人不學隨風絮。憂國猶懷向日葵。匣裏枯琴休妄動。知音者寡摠然疑。</text>
<title>步呈地主柳慵窩 升鉉</title>,<text>飛鳳山前覽德亭。讀書爲政水如淸。咸州繡佛家家在。一瓣心香緬挹情。附原韻飽德山前一草亭。林泉居士養閒淸。相思不得成良會。難寫胷中繾綣情。</text>
<title>又</title>,<text>擧世紛紛利祿場。不才何恨老竆鄕。身言書判都無取。行誼文華一未長。不怨人間嘲者衆。猶求卷裏誨之詳。朝廷搜俊何須問。樵牧同羣渺一方。附原韻詞賦雄才古戰場。如何不遇滯南鄕。天不虛生知有待。地無慳氣拔宜長。莫將造物空尤悔。且就人功更周詳。會看朝廷搜俊急。也須鍛勵豈迷方。</text>
<title>同柳慵窩遊淸範樓</title>,<text>巴陵壯氣擅斯樓。勝日偸閒杖屨遊。須信高才爲世用。忠君來作濟民舟。追附柳參奉 鼎文 感舊奉次 號壽靜齋。慵窩曾孫。風流當日庾南樓。傑句今傳記勝遊。也識傲床頻過意。應憐野水泛虛舟。</text>
<title>紫薇花</title>,<text>凌暑花如傲雪梅。丹霞蒸氣剩肧胎。移得西山薇一種。當年托節至今培。追附柳參奉 鼎文 次韻晉山休說政堂梅。只有薇亭二墨胎。五百年猶殷雨露。華宗本支共栽培。</text>
<title>道林書院三賢陞享時。奉次郭上舍萬初 在一 韻。</title>,<text>縟禮新成會幾鄕。溪山風物屬辰良。陞躋一室緣公議。瞻拜三賢侑瓣香。函丈周旋如復見。斯文回泰正今當。糚修幸得依歸所。矜式何須歎面墻。</text>
<title>冬夜無寐。臥念衆生一夢國。喚惺無其人。忽聽隣雞搏翼聲。口呼一絶以寓志。</title>,<text>冥冥冬夜長。擧世渾夢域。喔喔一雞聲。攪人分舜跖。</text>
<title>次淸範樓韻</title>,<text>百尺危樓孰創營。至今楣上帶佳名。艅航落照侵朱箔。巴水寒流響彩楹。俛仰襟懷偏爽豁。品題詩句尙分明。當年淸範如能繼。佇使民謠作舊聲。</text>
<title>登元曉寺</title>,<text>艅嶽之南廬阜東。干霄高出梵王宮。萬山齊揖遙空雨。百里長通大海風。月上諸天終夜白。花開十地幾時紅。遊人自古登臨尠。誰識仙靈在此中。</text>
<title>安仁朴氏山房</title>,<text>數笏方塘一笠亭。柳枝深罨晝常冥。瓢㰚曉雨抽花白。梧井秋風倒葉靑。倦鳥無妨同客睡。輕蟬何事喚人醒。鄕閭近日多囂亂。不必逢人辨渭涇。</text>
<title>與僉趙氏登無盡亭</title>,<text>長堤短麓自逶迤。月滿庭臺水滿陂。暮雨凉槐醒一夢。西風敗柳揖千枝。偏憐鷰子栖相近。爲避蚊兵坐幾移。追想當年無盡趣。餘庥菀菀至今垂。</text>
<title>夜與再從姪 贇望 吟</title>,<text>春宵烟月似唐虞。閒聽衢謠獨自娛。雙屐纔回禽慶嶽。扁舟欲放鴟夷湖。才情愧我皆還錦。句格多君欲唾珠。閉戶林泉誰與友。朝從樵叟暮漁夫。</text>
<title>與江左諸兄舟溯登合江亭</title>,<text>扁舟一葉載仙羣。鏡面玻瓈溯縠文。大地秋生風萬斛。長江波濶月三分。潛蛟古壑將成雨。孤鶴中天半入雲。杏樹壇邊絃誦地。至今警欬如相聞。</text>
<title>春雪</title>,<text>撒鹽飛絮兩難名。頃刻梨花著樹明。大野迷茫銀蘸海。四山回匼粉橫城。魚游小澗添新水。鴈逗遙空帶晩晴。荏苒消融回地脈。先看麥氣自生生。</text>
<title>閒居賦懷</title>,<text>十笏庭除一鑑淵。遲遲夏昝送如年。三生石翠圍階面。百日花紅繞院邊。求酒拙謀難止渴。緣詩苦思未成眠。如今韓土誰依靠。玉帛當年謾入燕。</text>
<title>夜與再從姪贇望吟</title>,<text>細雨濛濛澗韻長。虛欄坐久潤衣裳。山光霮䨴看生痞。夜氣薰蒸叫欲狂。蚊瞰堂昏圍結陣。蛙憐池漲聚成鄕。那將神斧頑雲破。朝起搴簾見太陽。</text>
<title>吟紫薇花</title>,<text>六月薇花百日春。當軒窈窕媚幽人。迷離若吐霞千片。穠密何愁雨幾廵。一里繁華都藉蔭。百年恭敬詎無神。可笑桃花紅十日。女娘爲臉又爲唇。</text>
<title>七夕</title>,<text>商金近日驀然生。减卻塵寰苦熱情。雨重壇槐猶偃蹇。天晴池水漸虛明。今宵牛女相歡夕。何處針絲乞巧城。四壁寥寥虫語晩。碧梧枝上月西橫。</text>
<title>夜與樂溪吟</title>,<text>硯池如海筆爲峯。市遠難謀酒一鍾。詩入繁虫鳴喞喞。夢醒秋樹碧重重。顚風㬥雨呼庚歲。瘦石癯松對子容。莫笑山家雞黍薄。年來每事任疎慵。</text>
<title>寄贈洛中權汝徵</title>,<text>凉宵星月靜無眠。往事依依在眼前。紫閣高峯聯屐齒。紅薇流水理琴絃。嶺湖今隔路千里。魚鴈俱沉書二年。罇酒何時重對榻。西雲遙望轉悽然。</text>
<title>牕梅</title>,<text>窈窕瓊姿倚碧囱。月中爲畫近滄江。孤香黯澹形宜瘦。獨樹分明影對雙。處士深扃馴白鶴。美人來叩吠黃尨。蘧蘧一夢羅浮夕。惆悵如何欲斷腔。</text>
<title>詠雪</title>,<text>霏微暗奪露華甘。俄自山西又水南。夜氣忽成銀萬頃。月華重散玉千潭。廵檐舞絮爭翻覆。繞院飛花落兩三。下界渾然鋪練白。卻憐天色碧於藍。</text>
<title>喜逢朴友 尙節 黃友 後幹</title>,<text>凉凉楚楚過三冬。好是春風與子逢。瀜雪初湲栗溪水。微蕪漸綠壯元峯。荒年縱乏酬流丐。糓雨將占得上農。淨掃茅廬開竹逕。少年文士願相從。</text>
<title>辛元夫 性中 來</title>,<text>梧柳當門翠作林。草堂開硏坐來深。世間誰復楊雄後。名下欲逢韓愈今。鶴報詩人臨水立。鷰知書社趁春尋。浮生妙契如鍼芥。隔歲相思始盍簪。</text>
<title>觀燈</title>,<text>時當浴佛上高峯。大界三千落暮鍾。火樹靑山飄冉冉。星橋綺陌匝重重。曇花十地猜春景。慧月千江印佛容。今夜如逢堯舜世。嘉朋美酒破疎慵。</text>
<title>次郭進士萬初莊巖韻</title>,<text>眉翁遺躅石泉奇。今日淸遊想古時。勝集名區嗟未及。一聯求和敢呈詩。</text>
<title>郭進士萬初見訪</title>,<text>栗溪之北紫臯東。江左高人偶此同。樽酒幾時懷北海。瓣香今夜敬南豊。宿盟不負洲邊鷺。往跡重尋雪裏鴻。萬絫人間都撒了。風騷終日醉醒中。</text>
<title>詠梅</title>,<text>我愛囱前雪裏梅。先春能得玉花開。慇懃寄語尋芳客。須趁韶光未暮來。</text>
<title>趙石溪 桂 來</title>,<text>呻吟碧痞過三冬。始得春風舊雨從。白雪皺眉驢過灞。靑天搔首鴈回峯。禿梧對月僧如睡。稺杏含花酒似濃。醉起捲簾看麥氣。家家上瑞可占農。</text>
<title>次朴成甫 尙節 韻</title>,<text>山家無曆解干支。春候陰晴未記時。灌雪烹茶常近銚。折梅筭酒豈辭巵。天寒野鳥投深樹。夜久村燈射缺㰚。留待番風除料峭。一溪楊柳好相隨。拄笏終朝對翠微。嶺雲西去鴈南飛。杏花疎雨春生榻。柳絮狂風雪滿衣。書法細摹兒掃帖。酒香新動客敲扉。晩計江湖將問舍。生涯只付一漁磯。</text>
<title>牧牛子來訪。拈韻閒賦。</title>,<text>春回茅屋色如灰。尙愛看書甕牖開。僻塢種花猶富貴。矮檐得月亦樓臺。烟銷土銼晴橫篆。車斷柴門碧上苔。堪笑家貧兼歲儉。難謀一日酒三盃。又催花天氣日晴佳。病臥經旬未出街。到老看書斜靉。敎孫臨帖倣模楷。幽蘭有意原生谷。衰橘無香豈渡淮。尋數無功蒙蔀甚。金篦誰借兩眸揩。</text>
<title>戲贈謫居李校理</title>,<text>憶昔看花走漢陽。風流自許舊蕭郞。蓬萊宮闕紅雲晩。桃李門庭白日長。事業平生期丙魏。文章抵死學秦黃。時乖不遂男兒志。落魄中年在異鄕。</text>
<title>次具高靈 文游 寄贈韻</title>,<text>黃鵠高飛壤虫伏。何心垂愛不垂嘲。依歸南嶽聲名重。輔翊東宮德望高。每欲君民致堯舜。先知理義辨絲毫。雲山斗絶聯書信。誰謂故人養厚庖。附原韻我公知是眞君子。愼獨工多孰敢嘲。秩秩德音常養做。雍雍禮讓自弛高。行藏學聖由中道。隱見隨時不失毫。盛世倘求巖穴士。貂蟬祿厚太倉庖。</text>
<title>敬次退溪先生竹林齋原韻</title>,<text>萬个蒼筤一逕微。當年高轄到山扉。今月曾經古三友。故敎餘暈洞天圍。</text>
<title>次退溪先生三友臺韻</title>,<text>珍重陶翁轍。盤桓海之隅。瑤琴抱一張。恨無成連徒。茅谷脩篁裏。蕭齋若有無。下馬登石壇。賓主會不孤。俄而山月出。皎皎臨玉壺。忘形亟對影。宛然三人俱。聊擧謫仙盃。終宵興不渝。歌呼酬跌宕。談笑罄歡娛。坐焉必須耦。行則便相扶。較諸人友人。交誼孰贏輸。始信吾爲月。終然月爲吾。人間與天上。密邇若契符。淸風灑壇竹。凉露滴庭梧。招邀隣衖友。受簡末席趍。襟懷如月照。大道儘無迂。玆遊載郡乘。千載誰能誣。</text>
<title>薇壇雨後</title>,<text>夜深庭院雨絲疎。百日紅花問幾餘。瓊蘂盡隨風伯去。一年春事萬枝虛。</text>
<title>輓李冬庵</title>,<text>巴山淑氣篤生公。季世英豪邁古風。早得千金梁楚價。爭推一代弁辰雄。心存繼業陳先德。誠切尊賢創院宮。高唱幾歎人絶和。大音無奈世俱聾。空懷和氏連城寶。遽作溫生夢客恫。千里江頭丹旐返。九秋山上碧堂封。嗟哉何處淸儀奉。已矣如今萬事空。</text>
<title>閒居賦懷</title>,<text>萬事人間自有天。如何歷碌度芳年。中心靜處衿生月。外物交時肚塞烟。不識乘除都在數。謾言得失莫非緣。但令理義明於內。肯向迷津競後先。</text>
<title>先祖副學公塤篪唱酬之什。皆佚不傳。獨有次伯氏副學公和贈詔使金太僕 湜 西門嶺一律。敢忘僭越。謹次其韻。</title>,<text>巨嶺崟崟若上天。當年高會亦奇緣。昇平遠接皇華使。縹緲如登羽化仙。瞻望神州依日月。頫臨滄海挹風烟。秖今已作漚泡幻。回憶崇禎感下泉。</text>
<title>葛庵先生輓</title>,<text>陶山承鉢鶴厓遠。天降醇儒正脈傳。理學重明四七論。範疇始衍三千年。見龍方覩揚靈進。鳴鳳誰知値運邅。大道升沉皆有數。達觀萬事任蒼然。涪行氣力做申如。猥荷升堂得問諸。看水春秋扶義理。履霜南北坦襟裾。空懷堯舜君民志。謾付滄洲著述書。慟矣丁寧吾一訓。更從何處質無餘。</text>
<title>金谷川來</title>,<text>南岳迢迢錦水深。幾時薰沐細論心。黃鍾一破玄琴斷。無復人間聽大音。附原韻薇花開處栗溪深。靜坐翛然世外心。最恨人間離別事。因風莫惜報淸音。</text>
<title>密庵族祖輓</title>,<text>錦水源從陶水流。藏修是處遠塵區。鯉庭詩禮傳心法。顔巷簞瓢味道腴。辭聘衡門甘晦養。開蒙斯世作楷模。山頹痛哭吾安倣。正路如今日就蕪。</text>
<title>顧齋族祖輓</title>,<text>陶水深源錦水連。東方理學一門專。英靈河嶽那無萃。衣鉢家庭自有傳。聖主方求巖穴士。哲人遽作夜臺仙。追思往日頂針眷。獨立竆寰淚濕巾。</text>
<title>哭甥姪趙 天翼</title>,<text>祭汝爲文數百字。字含寃淚滿牋痕。衰腸瀝盡無餘說。痛哭聲聲徹厚坤。</text>
<title>輓黃丈 城</title>,<text>居家敦睦處鄕恂。謹勅如公問幾人。芸葉卷中忘世味。梅花樹下養精神。檳榔有子香猶烈。翠竹生孫色更新。筭到稀齡仙化去。歌成薤露淚盈巾。</text>
<title>輓嚴進士 翼夏</title>,<text>詩禮家聲世共推。伊公不墜侈門楣。詞源筆下傾三峽。雅望儒林聳一時。中歲韜名才豈展。上庠終老衆皆悲。生蒭曾負臨阡哭。追寫哀章涕自洟。</text>
<title>輓權退庵汝行 重道</title>,<text>學道當年志遠到。不辭千里早魚行。玉經雕琢終成器。金入鍛爐益就精。十分工程期卒業。九原消息忽呑聲。儒林嗟惜同遐邇。握筆舒牋淚自盈。</text>
<title>輓李處士 毅然</title>,<text>早謝紛紛利祿場。分甘邱壑聿身莊。潯陽處士終安蓽。棠邑先生不出鄕。行著家庭推孝友。名傳疇藪慕羶香。無何精爽歸長夜。痛哭那時更拜床。</text>
<title>贈別安松窩 命夏</title>,<text>一江左右隔芳隣。雲樹懷人始見人。信宿還成勞鷰別。與君三笑虎溪臻。附原韻紅薇翠竹兩爲隣。不事囂塵養性人。最是相分無限意。白雲巖下水西臻。</text>
<title>輓金谷川</title>,<text>天賦純資且好學。斯文名譽滿南州。葛門明訓平生服。芝老遺風景慕敦。秋日鴈回書報喜。春山鵑哭玉埋寃。遙瞻敬義交修地。軒外寒泉月一痕。</text>
<title>次族君光甫 猷遠 自湖南歸訪先墟賦感韻</title>,<text>自愧慵愚守敝廬。幸逢高轄訪先墟。梓桑舊感應無極。花樹新情更有餘。學襲家庭今仲默。才兼詞賦古相如。巴陵紫海分涯角。安得重盟與共居。附原韻茅谷名村佳可廬。宗盟世世保遺墟。垣薇香譽紅薇驗。孤竹層標翠竹餘。孝謹遺風依往昔。學文種子更何如。休言九世派分久。曾有張公一室居。附族君仁樹次韻飽德山前處士廬。卽吾先祖百年墟。無疆善慶紅薇驗。不事貞操翠竹餘。流落殘孫今始到。葱蘢物色昔相如。人情自有狐邱願。幾日誅茅再卜居。</text>
<title>輓詞[辛性中]</title>,<text>嗚呼。吾友李受平。愷悌人也。世雖溷濁而志不變焉。鄕雖淆漓而迹不染焉。杜門養性。日事經史子集。嗚呼。其可易得乎斯世也哉。吾於初春。自樂洞訪吾受平於茅谷。語雖琅琅。氣血澌憊。眷然惜別之情。倍乎前日。余甚不樂而歸矣。春未暮。樂洞兄棄世。吾受平又逝於秋初。南州處士之廬空矣。吾黨不幸。斯文何托。嗚呼。樂洞之淚未乾。受平之大歸又有期。茫茫宇宙。誰與爲懷。隔江相望。有事相掣。今不得匍匐臨穴。負受平深矣。滿腔情緖。付諸一聯而哭之。其詞曰。樂翁纔宿草。茅友又新丘。應厭人間事。旋從地下遊。斯文長寂寞。吾道日昏幽。後死將安仰。不堪涕自流。</text>
<title>輓詞[河世應]</title>,<text>早歲摳衣葛老門。始聞爲學在操存。功加硏究分毫縷。識透玄微見本原。老去相期金斷利。秋來遽抱玉埋寃。前春一札猶留案。入眼時時淚自痕。</text>
<title>輓詞[權萬]</title>,<text>歎息斯文氣數微。錦陽諸子日凋稀。江右方修高士傳。天涯忽報哲人歸。春風一座摳衣並。秋雨長關執紼違。矧是幽明無限憾。師門尙隔照盆暉。</text>
<title>輓詞[安命夏]</title>,<text>函筵至敎在陶鎔。天誘吾君早得從。幾挹餘闌窺學海。又薰和氣坐春風。華門幸托良朋契。巖穴翻驚善士空。惆悵斯文寃未雪。裂裳誰與籲宸聰。</text>
<title>輓詞[李橚]</title>,<text>詩禮承家行誼優。令名自少擅南州。從師十載求眞訣。取友當時擇善流。錦水波聲空自咽。巴山淑氣忽焉收。應將白日遺盆憾。籲盡深深地府幽。</text>
<title>輓詞[金樂行]</title>,<text>趍庭慣夙契。同沐錦之涯。向道師門奬。擇交士友推。方期園帛至。豈意壑舟移。海角承蘭報。替親遠寄詞。</text>
<title>輓詞[趙泠]</title>,<text>同苦詞塲十二春。晩來情誼益無垠。寬容厚德超凡類。仁義良心脫俗塵。千古大歸全一軆。百年餘慶付諸獜。牙絃自此誰同奏。不覺悽然淚滿巾。翩翩丹旐問何去。浮世歡情夢一場。卻把往前酬唱筆。不堪今日寫哀章。</text>
<title>輓詞[趙桂]</title>,<text>姻誼交情自少深。聞君入地涕難禁。衰遲幾恨論懷阻。眷戀徒勤倩夢尋。如玉貞姿今忽閟。擲金佳句更誰吟。平生知己無竆痛。一病支離負哭臨。養拙田園裏。高名動士林。不聞山外事。惟樂靜中吟。學博人皆仰。操貞我益欽。喪明仍嗇壽。天意儘難諶。</text>
