<title>安坦峴</title>,<text>三百羊膓曲。胡爲安坦名。若將世路比。此道坦而平。</text>
<title>早秋偶吟。示鄕友。三首</title>,<text>旅宦年將暮。江湖興轉忙。庭梨經夏熟。園栗待秋黃。水澤魚新美。湖田稻正香。何時匹馬去。一笑海山蒼。海嶠秋初動。歸心此夜忙。江楓倒水赤。籬菊碎金黃。鱠斫霏霏雪。尊傾灧灧香。斷坡殘雨路。驢背暮煙蒼。落拓塵埃裏。晨昏底事忙。鬢蕪千丈白。眉斂一分黃。秋菊餐朝露。幽蘭挹晩香。古來榮顇事。誰與問蒼蒼。次韻 晩翠堂一幕乾坤小。雙丸日月忙。邑牛混得喪。相馬失驪黃。玉蘊何傷潤。蘭沈不愧香。君看園裏灼。那似澗邊蒼。</text>
<title>餞別丁相公 應斗○時丁相公爲本道監司。方遞歸。</title>,<text>海嶠秋初動。星軺已報期。舜裳還黼黻。禹甸謝驅馳。芃黍思陰雨。甘棠勿拜枝。願留留不得。廊廟急蓍龜。</text>
<title>送金彦喜出宰安定</title>,<text>不辭東郡薄。之任是鄕關。地僻民惟樸。官淸我亦閒。白雲曾過院。綠竹舊遊山。臨別寬懷處。相逢在往還。</text>
<title>秋夜</title>,<text>客枕寒無夢。天涯又一秋。蛩吟長夜恨。鴈叫遠鄕愁。世事空流涕。狂圖已白頭。徘徊緣底事。風雨洛城樓。</text>
<title>又用前韻</title>,<text>文翁多病日。張翰憶鄕秋。獨坐憐書卷。長吟遣客愁。人間曾咋指。物外幾回頭。歸興今宵劇。西風更倚樓。</text>
<title>差祭東郊吟示同人</title>,<text>一夜長安雪。三壇欲曉風。更深星屢轉。寒劇酒難功。十載關西別。孤燈漢水同。忽驚神骨爽。人在水晶宮。座中郭君靜曾與同遊關西者。故第三句及之。</text>
<title>感興</title>,<text>禍福元相倚。由人自召來。干榮卽有辱。狃樂反生哀。一德能欀孽。千金只益災。獨憑淸夜永。默默念俱灰。</text>
<title>冬夜偶吟</title>,<text>白變紅塵鬢。謀違少壯心。曉爐呵凍硯。夜壁撫稜衾。懶勝惟貪睡。愁煩亦廢吟。家書今夕至。一紙得千金。</text>
<title>寄舍弟遇夫</title>,<text>鴈塞行儔斷。鴒原感歎增。楚城殘夜雨。京國獨眠燈。牢落功名薄。分離老病仍。永懷愁不寐。衾鐵細生稜。</text>
<title>夜吟</title>,<text>憂來歌忽忽。歲去賦堂堂。世事多翻覆。人情變燠凉。徘徊身已老。慷慨志猶長。輾轉寒囪下。孤燈夜未央。</text>
<title>送李相公士重知谷州</title>,<text>鎭瑞公休薄。官閒卽我閒。淸凉尋古寺。高達訪名山。午夢黃堂靜。春遊皁盖還。只應覔句處。吟鬢動成斑。</text>
<title>有感</title>,<text>漫浪身多黑。踈愚衆所譏。轉咽皆觸諱。隨手輒忘機。白日無私照。陽春布遠暉。啣恩雖欲報。才力歎都非。</text>
<title>曉行</title>,<text>曉發龍仁縣。霜華散馬蹄。山椒遙帶月。茅屋暗聞雞。裘弊餘寒透。林深宿霧棲。僕夫營野飯。金量水橋西。</text>
<title>上望京樓</title>,<text>帝鄕離幾日。重上望京樓。白日輝三島。靑雲泛十洲。法宮開帝座。丈石集仙儔。莫道長安遠。天威咫尺留。</text>
<title>辛亥七月二十五日。送梁泛翁 艤 出宰懷德。餞別江亭。崔公立，崔彦臨，朴挺夫，李君希同餞。相與和詩贈別。二首</title>,<text>聖明圖治自推賢。補外多從近侍分。翰苑久宜登俊急。鈴齋蹔假字民勤。關西獨有楊夫子。河外今逢寇使君。行見土人歌晏作。煙村雞犬遠相聞。喜君高義感君恩。只願相携不願分。爭鵠野懷當候劇。覆盃佳興對花勤。三年抱瑟誰知我。六載分符又別君。欲爲邊氓矯弊俗。召還宣室企予聞。</text>
<title>理山東軒次韻</title>,<text>行盡江邊卄日間。朱旗鐵馬敢言艱。山從塞北城池壯。民屬時平袵席安。客裏風霜雖飮苦。到頭歌管自偸閒。况今邂逅眞天幸。千里萍逢揔識顔。</text>
<title>次監軍御史權 擘 韻 公字大手號習齋</title>,<text>風雪江頭日暮程。間關一月遶邊城。離愁便逐孤征劇。詩興還從對酌生。千里覊懷連夜話。十年塵抱一盃傾。天涯此會眞堪樂。座上雙雙翠黛橫。原韻 權習齋行到龍灣度幾程。馬前悲角又荒城。心緣靡盬丹曾破。鬢爲懷歸白欲生。旅舘幸攀同席會。官盃休惜盡情傾。明朝又作分歧恨。無限雲山滿眼橫。</text>
<title>又次權大手韻 昌州鎭</title>,<text>路轉岡陵千萬層。若將天上可階登。盤根出塞驚龍躍。獨峀衝霄勢鳳騰。地理當關難似蜀。馬蹄緣壁滑於冰。但知跋涉征途苦。眼小乾坤愧未能。原韻疊壁重峰幾百層。非因羽化若爲登。人行天面如將墮。雲到山腰不敢騰。樹梢蹔經亭午日。巖間惟積早秋冰。欲留中夜捫星斗。苦迫王庭恨未能。</text>
<title>又次權大手韻 二首</title>,<text>轅門開處洞門幽。南客從軍欲白頭。積雪經春黃塞草。陳雲迷磧結邊愁。殘更皷角偏驚夢。異域風煙感觸眸。何處愁兵心最苦。夕陽樓上鴈來秋。何事衿懷轉覺幽。世紛無盡入搔頭。區區自許陳三策。咄咄還堪賦四愁。千里從邊偏白首。一尊相對各靑眸。送君今日更無賴。歸興何須待感秋。</text>
<title>上院庵</title>,<text>曲曲緣崖步步紆。陰陰草樹少平蕪。小溪轉石流還咽。樵路縈林細欲無。蔓藤曲處蛇頭縮。山菓含來馬乳腴。正値山中秋欲暮。嵐光水色嫰堪摹。</text>
<title>壬子正月初一日。夢有人持贈佩玉二事。又抱贈乕兒。其文斑斑可愛。已有呑牛之氣。傍人皆驚懼避走。予則提抱愛之。此乃他日得男之兆也。遂題詩于壁。</title>,<text>新年應得受新禧。夜夢維熊兆甚奇。陰德日漸宜有慶。皇天終可付無知。呑牛壯志藏岐嶷。隱霧斑文藹陸離。占得弄璋祥更吉。何嫌仙菓子生遲。</text>
<title>次仁風樓韻</title>,<text>跋涉關河萬里餘。倦臨危閣快憑虛。峰高欲斷一書鴈。水遠難通雙鯉魚。白鳥欺人浮更沒。歸雲入望捲還舒。區區身世眞堪笑。鞍馬長年不蹔居。</text>
<title>四絶亭次韻</title>,<text>塵寰何處斷人煙。斗起孤亭見未前。素練溶溶凉透袖。靑螺點點翠連天。秋聲蕭瑟時吹髮。桂影婆娑更照筵。四絶四時爲四友。此宵旅眼最堪憐。</text>
<title>吟贈沈 缺 以慰落魄之懷</title>,<text>君家家世擅登瀛。何事懷才獨海城。竹葉滿斟紅日晩。松齋高卧午風泠。逃名不識嬰時累。有子能令繼祖聲。廊廟山林俱未遂。白頭今覺負平生。</text>
<title>七夕</title>,<text>庭梧策策影蕭踈。橋鵲傳訛太近虛。織女豈應無信也。牽牛初不學狂且。世情已巧猶求巧。我腹無書更懶書。守拙歸田吾有分。竿頭犢鼻且從渠。</text>
<title>送丁相公 應斗 按節關西</title>,<text>世美名家將相公。三分符虎望偏隆。履聲蹔輟中書曉。綉綵初回樂浪東。棠樹有陰春日轉。塞塵無警戍樓空。仁賢古俗應重化。此去觀風有舊風。</text>
<title>雪晴</title>,<text>客囪寒覺擁爐灰。曉起庭除一尺堆。冷入千山銀界合。光凝萬落玉京開。已從田父歌宜麥。更向踈籬訪古梅。遙想家山乘興處。鵲川西畔獵騎迴。</text>
<title>入直次車敬叔屛上題詩</title>,<text>靑衫執戟在宮城。牢落覊懷夜五更。玉漏丁東繞枕轉。雪風撩亂打囱鳴。漢濱臘盡年華改。禁柳春回客眼驚。泉石三生元有契。十年塵土坐浮名。</text>
<title>又用前韻贈車敬叔</title>,<text>車君詩律古長城。獨向屛間欲二更。數尺枯梧爨下泣。何年龍釰匣中鳴。微雲踈雨賓朋歎。落日靑天鬼魅驚。不信如今詩亦達。白頭空帶一官名。</text>
<title>初出國門</title>,<text>曉出都門眄帝闈。春風滿面拂征衣。塵纓縛束韶顔改。世事蹉跎志願違。海路茫茫天共遠。鄕關杳杳鴈同歸。故園消息應知好。墻角梅花雪欲飛。</text>
<title>辛亥正月十六日。發程上京。飮餞于濟仁院。朴子弼，張子美，白俊叔，白應聖，朴仁叟來會。是日雨而右人等率歌兒齊會。可見情義之篤。相與話別飮劇。俊叔先有贈詩。余和之云。</title>,<text>密密連宵雨。濛濛細入春。山川潤物色。天地動洪匀。雪白梅唇綻。金黃柳葉嚬。徘徊十載客。慷慨百年身。把酒陽和動。王恩許逐新。客路悲時暮。今朝又一春。昇沈由大化。通塞付洪匀。雨雪纏離恨。乾坤入醉嚬。一聲歸北鴈。三載赴朝身。隔嶺頻回首。離懷空自新。</text>
<title>松京有所謂朴淵者。天磨崒嵂而南峙。聖居巃嵸而東騖。奇巖恠石。攢立撑空。石窟僅容一小艇。口隘腹坦圓回如釜。中有島。上可坐五六人。四面隔截。不可越而攀也。淵之南隅有穴大如囪牖。僧謂龍穴也。釜口向東北傾側如人唇。水自中瀉出巖腹。驚濤流沫飛灑萬丈。所謂拖天紳傾銀河者非虛語也。水落巖底瀦匯。復有深淵。初至上淵。神險奇怪。𢥠難久留。下而坐于下淵之沙。步懔乎若夢涉神龍之窟宅也。兩岸楓林。明若錦繡。物景人懷。俱不可言。庵僧索我以詩。不能辭。遂題詩云。</title>,<text>天磨磨天日。聖居居聖仙。根蟠擁地軸。頭擧出雲煙。路曲羊腸百。峯尖馬耳千。造物眞戱劇。播弄此山川。擘破開深窟。鑿石如䥴䥴。空洞腹坦虛。谽谺口回圓。形狀若仰釜。神怪難竆旃。中島起巃嵸。傍穴伏蜿蜒。深不試丈尋。廣不容舟船。釜唇乍東側。潰泄如流涎。飛湍瀉巖腹。百尺虹蜺連。轟雷震雲壑。白日飛雨濺。初疑織女星。浣紗臨河邊。翻然失其手。匹練天中懸。復訝銀河裂。倒瀉成飛泉。跳波珠萬堆。崩濤雪千翻。騰躍巖底窟。瀦匯復爲淵。奇勝天下獨。廬山豈敢專。夙懷今始償。還如夢初旋。塵檢尙纏余。征驂忽言鞭。他年應夢想。抽筆歌詩聯。</text>
<title>感興 二首</title>,<text>丈夫有大節。忠與孝而已。在國周公然。在家曾子是。時命有得喪。此志焉敢貳。苟無斯二者。何以立天地。荊璞自天秘。豈敢要人識。世人不識和。和氏不識玉。莫我知則已。夫何再至刖。區區強自售。豈非和氏惑。</text>
<title>八哀詩</title>,<text>我哀和氏璧。明月含在石。卞和獻君門。石爾人豈識。不論連城價。還遭再刖足。耿耿誠獨至。區區不忍默。至寶多掩蔽。千載有餘泣。我哀魏王瓢。濩落無所容。掊碎謂無用。之子嗟心蓬。不如一小壺。千金收大功。豈無作大樽。泛彼河之中。大器故難合。令我心忡忡。我哀深山木。屹立高百尺。枝葉蔭萬人。直榦排風雪。匠石不曾來。先容有蟠木。時時風雨號。空山龍虎泣。大材不見用。爲爾空佇立。我哀野渡舟。桂棹仍蘭橈。巨川爲殷楫。楚澤無周膠。渡處今方深。舟子幾時招。萬斛謝龍驤。一葦憑小舠。日暮風浪急。橫縱漫隨潮。我哀塩車駿。龍骨何權奇。孫陽今久死。相法失瘦肥。間關載塩皷。崎嶇逢險𡾟。豆粟當前薄。鞭箠在後隨。夜夢穆天子。飛舞瑤池陲。我哀空谷蘭。沉馨在幽荒。菉葹替盈室。蕭艾專佩纕。朝露無人挹。秋霜萎蓁莾。千年惟孔父。拊琴增惆悵。過疑從俗化。屈子不予諒。我哀匣中劒。光芒射牛斗。橫山鬼魅泣。倚壑蛟螭走。未逢薛卞眼。誰借朱雲手。虹電三尺蟄。蛟龍長夜吼。時時風雨怒。未斬單于首。我哀嶧陽桐。材堪綠綺琴。鳳凰鳴高枝。鵷鸞宿翠陰。自有陽春曲。誰知白雪心。直榦千年老。風霜半夜侵。何時回舜手。解奏薰風吟。</text>
<title>得生子</title>,<text>嘉靖乙卯歲。五月十一日。山岳實降神。天地俱合德。無韓三星犯。有蕭二宿協。居然得男子。譁譁一室樂。吉夢見維熊。先生易如達。但知豚犬足。敢望麒麟匹。于公終有慶。天道豈無知。垂老始得子。喜情倍少時。我年四十二。常懷無子悲。更待至六十。兒應十有八。父老子始長。兩情應難說。父望子成立。子憂事日少。無子憂無子。有子憂無敎。卜日又占時。相骨更聞號。壽命應先祝。暇論賢不肖。家世夙種德。意者今有報。喜來更賦詩。以爲生子禱。</text>
<title>甲寅歲歲大饑。道殣相枕。余自眞安將過豐山。道左林木之間。有兒繫于樹顚而哭聲甚哀。行道之人聚而觀之。莫不齎咨涕洟。問之則曰吾母率兩兒行乞於道。度不能兩全。繫此而去之。余聞之不覺悲涕。披擔粧米糗而與之。任其所之。旣而爲之歎曰慈愛之理。天性之眞。有不容泯滅者。乃以飢餓之故而薄天倫之恩至於此極乎。因爲之賦詩。以爲爲政者覽焉。</title>,<text>道出花山西。一母抱兩兒。乞粒一手勞。分食三口飢。勢將同仆壑。三人爲一屍。欲賣人不易。已棄兒則隨。自度不能全。嗚咽久臨歧。於焉誘致兒。一者繫樹枝。中情如不忍。乃敢中道遺。放哭林木振。行路皆涕洟。我惟慈愛天。不泯在民彜。伯道仗大義。識者猶致疑。何至母棄兒。不如豺虎慈。夫婦人道苦。父子天倫。餓死可一忍。忍割慈愛爲。誰因飢餓迫。無乃世敎衰。</text>
<title>感興 二首</title>,<text>人情不得君。熱中多怨尤。未知爲臣道。先懷公與侯。我年踰強仕。惟恐學未優。不得非吾憂。不能爲吾憂。世人貪爵祿。喜高卑則羞。一粒春種畧。萬稛秋望優。笑我沈下僚。靑衫困白頭。古人不遇時。聖賢難自謀。乘田與委吏。夫子無怨尤。</text>
<title>九病歌</title>,<text>我生有一病。初從性懶失。腰病不能曲。膝病不能屈。肩病不能脅。口病無諂悅。頭病直難低。不喜着冕。足病徐難疾。不喜躡靴韈。手病重千斤。懶把三上筆。目病厭紛華。大人亦藐忽。耳病厭喧囂。不願聞蕭喝。初纏漫浪狂。遂成膏肓疾。二十四痔中此病名。不列兪扁及秦緩。此病醫無術。陶潛病此腰。不向小竪折。諸葛病此膝。獨抱隆中兀。顔杲病此口。對賊罵不絶。浩然病此肩。山聳灞橋雪。杜陵病此頭。長吟搔白髮。昌黎病此手。觸捩致羹覆。嚴光病此足。夜半橫帝腹。耳病有洪景。目病有阮籍。白眼憎時俗。松風愛蕭瑟。古人醫不得。遺我更沈結。自得此病來。形骸變土木。言語殊無味。老憎生面目。一爲塵網誤。觸我九病發。騎馬傍人門。奈此耻干謁。詡詡從俗流。奈此無令色。強顔對世人。齟齬不相入。宜休奚獨三。不堪非止七。不如謝覊馽。保我天賦拙。負背朝陽燠。容膝黃茒室。息肩於北囪。養口以䟽糲。洗耳穎水濱。濯足滄浪潔。手把驢背竿。目送梅花月。支頭溪邊石。綸巾任風脫。然後病乃已。何救疽背出。明朝且引去。不須婚嫁畢。</text>
<title>反哺烏</title>,<text>我行野林間。百鳥同丘隅。中有一慈烏。反哺情甚劬。翂翂飛且忙。啞啞聲相呼。黑色非日㓒。慈性實天孚。自念在巢時。一母抱衆雛。啣啄無遠近。往來在須臾。雛翼及已成。母口臻卒瘏。豈敢四散飛。爲若海燕逋。俯仰啄野田。騰擲搜蒿蔞。啣來復啣去。如子養舅姑。若報母恩重。無令母口糊。養雛一母苦。哺母衆雛臞。母子實同慈。恩愛乃相須。羽族三百羣。厥類繁有徒。卵育恩且勤。一慈念誰無。啄粟扈率場。窺魚鸛立湖。逢春解布糓。與人勸提壺。言語能鸚鵡。稻粱愛鴈鳧。啄啄非母哺。營營只身圖。致慈象鳥同。回哺一烏孤。一爾由卵殼生。非曰仁義軀。爾異學問資。豈是慈孝俱。胡能獨知孝。旣長情不渝。大哉元化流。萬物同一區。通塞雖有間。物性不可誣。蜂蟻有君臣。關雎知婦夫。愛子情豈矯。祭魚誠有符。及長旋歸哺。吾知不如烏。惟人秀天地。足方而圓顱。本心慈孝天。初無賢與愚。爲人事親大。洋洋垂聖謨。吾聞孝之至。愛養及狗駒。奈何爲人子。物欲爲蔽拘。不顧父母養。貨財私妻孥。美服結狂荒。飮酒爭梟盧。恩愛同昊天。奉養之錙銖。母歿不臨喪。吾於起何誅。溫矯絶裾去。視母猶視途。最靈者爲人。曾不如鳥乎。余生泣蓼莪。籲天何罪辜。陳堂萎春陰。孔庭閴鯉趨。陸橘懷何遺。田米負無輸。我來自野外。倚門人何徂。虗堂想警咳。心目恒瞿瞿。得味淚先墮。臨飯每忘餔。食祿情興淺。垂老戀慕逾。不如彼微鳥。得食呼嗚嗚。庶幾遵義方。顯名無忝汚。慈烏復慈烏。使我獨長吁。</text>
<title>聞蛙</title>,<text>夏雨積淫潦。四澤無陂陀。商羊纔罷舞。河伯初騰誇。復有一微虫。得雨來方多。非蟾又非蝦。隊蛭而黨蠡。驕生子陽井。矜勇越王車。滋息惟沮澤。出沒在泥沙。競喚如相詬。互唱如相歌。如呼復如譍。如咽復如哦。閣閣者似怒。啞啞者似囉。我時不得眠。吟髭白毿髿。童子在我傍。掩卷起長嗟。苦遭此物聒。誰謂其幺麽。天地洪且大。産此理則那。吾聞蟆在月。食月天應訶。玉斧剗㐫穢。銀河滌瘡瑕。斧影電閃爍。河流雨𩃎𩃱。蟆與河俱落。逬處楚澤䨟。不堪憤懣氣。䁧目而腹膰。聒聒動浮言。不平長呀呀。旣非天所愛。請盡誅蝦蟆。余曰汝且止。汝言寧非差。天地生萬物。含養豈殊科。飛者自翂翂。鳴者自喎喎。羣蠢不知止。役性非由他。攫噬有虎兕。嚙螫有虺蛇。潛默或夜出。視蛙爲害過。告㐫烏攫攫。報喜鵲査査。但取語音好。忌忠而悅阿。人聞哭則悲。人聞歌則瑳。聲音喜折楊。顔色悅舜華。苟爲外物牽。哀樂俱傷和。至人同物我。瓦塼樂亦加。灑灰有周令。無乃傷煩苛。况彼月中蟆。古來傳者訛。滿堂歌笑喧。安知惡於蛙。且汝有兩耳。聞細不聞夸。大雅久不作。忽聞鄭聲哇。西方有異言。其禍劇流波。自從二說興。天地同喧譁。寥寥正聲息。靡靡趨淫邪。生民膠耳目。正道日逾賖。此聲亂人久。汝安意若何。汝欲行大誅。何必蛙也耶。我將築我塘。綠凈如鏡磨。天光共昭垂。雲影同逶迱。洗耳卧北囪。春草罷南柯。閒聽蛙一部。懽然當皷笳。</text>
<title>七夕</title>,<text>人間七日夕。天上一年期。梧葉初隳夜。星杓始轉時。鵲橋跨漢截。龍駕挾雲馳。邂逅逢宵會。蒼茫又曉離。嫦娥毋急急。曦馭戒遲遲。夜雨千行淚。曉風萬里思。佳期何倐忽。揆分莫追隨。相見無竆語。天孫定有疑。</text>
<title>過龍湫 在鳥嶺</title>,<text>白水巖頂來。蒼崖地中坼。蕩潏開嶻𡺼。造物眞戱劇。初疑銀河流。逬出白雲缺。響空驚噴薄。觸石愈激烈。緣崖素練橫。到壑強弩發。轟轟萬古雷。皎皎一洞雪。陰風驅溽暑。霧雲噀白日。積水匯神淵。蛟龍所宅室。欲語耳長聒。將臨股已慄。時時風雨作。神恠怳難測。征途困塵惱。蹔寓泉石樂。我欲鞭蟄龍。一洗千里赤。</text>
<title>感興</title>,<text>人皆有好勝。好勝何如乎。好勝不可有。好勝不可無。人以富貴誇。我以吾仁多。人以勢利驕。我以吾義加。苟能出人前。貧賤非所恥。若或屈人下。富貴還爲鄙。陽貨萬鍾粟。孰如顔氏一簞食。季氏連結駟。不如原憲室懸罄。苟知勝處勝。猶恐人人不好勝。</text>
<title>竹山道上</title>,<text>鳳棲樓中暮投宿。大平觀前逢曉雨。歧路茫茫竆堪哭。靑泥滑滑已沒股。我非秦優苦雨立。馬蹄凌兢僕夫怒。薄晩始投無極舒。對竈燎衣學光武。我生於世命道蹉。人旣阨之天又阻。得行則行止則止。我自有道餘足數。</text>
<title>宿龍安舘</title>,<text>龍安舘頭日欲暮。龍安舘前余駕稅。試掃幽軒倚余倦。鳩婦一聲山雨霽。溪流新添潤酴酥。柳眼初綻酣嬌黃。輕衫拂面風細細。苔篆漫堦錦章章。東君知我探春興。故將小雨行春令。物色滿眼爭嫵媚。遠客見之驚詩魂。對此眞成情浩浩。不必大嚼黃金尊。</text>
<title>記災 乙卯○丙辰</title>,<text>惟上卽位之十二祀。國家多難邊塵起。天高地厚道不寧。示變興妖災荐至。太白竟天彗孛斗。山冢猝崩川澤沸。海天異鳥飛翩翩。凍地羣蟾行纍纍。秋後常聞花再紅。臘前不見雪三白。長城石皷自起鳴。黃山野鼠相戰搏。秋霖淫淫沒田廬。冬雷殷殷驚山陽。衆異諸災出重重。春秋所書至此詳。由來天道不易窺。滔天赤地興虞商。天心仁愛固不泯。欲因警懼開盛治。一敬可以消百災。災實可畏災不畏。羊腸九折能摧車。一蹶亦能增一智。亂或生理𥚁生福。災乃興治之大本爾。臣聞變異之大者。不在天不在地。只在民風善惡裏。當今民俗可痛哭。反人之道拂天彜。妻妾殺夫奴戕主。兄弟相刃父子夷。此實災變之最大者。雲妖物恠何足比。坐視人道大變恬不恠。何暇遠問物之異。若使民彜堂堂宇宙間。天災地變不足爲吾累。天倫大壞人道蕩。休祥佳瑞豈爲治道裨。况乎天人本一理。天地之和實由人致。何人善言弭災者。弭災不外乎善俗而已。傷哉弊風惡俗實乃致天之災傷天和。欲言非職云如何。</text>
<title>黃江道中 二首</title>,<text>曲曲盤盤嶺路。三三五五人家。乍晴乍雨寒日。短亭長亭幾過。凄冷春寒逼骨。崎嶇嶺路高低。郵亭下馬閒望。風雨前山日西。</text>
<title>杳香山。次金相公 明胤 山中辭。</title>,<text>壬子之秋九月旣望兮。余隨相公兮遊于香岳之崖。木葉落兮羣峰出。游余目兮暢幽懷。策藜兮攀蘿。俯絶壁兮凌虗。望飛瀑兮懸崖。晴雷殷殷兮𢥠余。怳銀河兮傾瀉。白日飛雨兮灑石矼。淡容與兮日之夕。喜風月兮復雙雙。薦余枕兮松根。藉余坐兮薜荔。淸夢兮悠揚。儼相携兮仙侶。飮余觴兮酌流霞。分余髓兮刳白石。宿緣兮有契。仙犬不吠兮欣相迓。洞天縹緲兮白日長。笙簧一弄兮使我神怡。忽松風兮欠伸。但羽客兮相隨。嗟哉人生各有所樂兮。何必邀仙侶而同來。白石兮淸泉。或觴或詠兮可以徘徊。况聖德兮汪濊。水共流兮山共高。吾將陪相公之淸標。樂吾樂兮聊以嘯遨。</text>
