<title>寫扇面。贈人叙別。</title>,<text>欲持楊柳贈。霜後已無枝。便面如眞面。投之叙別離。</text>
<title>往尋楓溪。次壁上韻。</title>,<text>亂蟬霜後噤寒聲。八月秋容樹樹生。晩日閑蹤栖嶺峽。少時高價擅京城。酒壺詩律逢君興。石蜜山葡待客誠。恐有囂塵門外到。故栽垂柳更遮程。</text>
<title>贈再從兄晦汝氏求和 啓章</title>,<text>八月高樓宿雨收。白雲紅樹映江流。關東別夢隨明月。巷北離愁怨素秋。蟬曳寒聲過岸樹。鴈將霜信下沙洲。最嘆人到無書尺。詩去今朝敢望酬。</text>
<title>又示堂兄士修氏 啓業</title>,<text>霜落樓臺溽暑收。江湖漫浪最風流。靑楓赤葉先裁錦。晩柳殘絲不耐秋。鴻鴈影踈黃鶴嶺。鶺鴒飛散白𩿨洲。霜籬短菊須君發。九九佳辰滿意酬。此地。有黃鶴嶺。白鷺洲。</text>
<title>廣州孫生 必䧺。自嶺東來訪。仍次厥韻。二首</title>,<text>烟花三月昔同遊。聚散無端水自流。行色偶從淸澗路。秋光共賞白雲丘。楓林映日粧羣峀。鴈陣驚霜落晩洲。佳節重陽須共醉。逢塲且莫說離愁。靑澗。卽杆城亭號。良宵秉燭續前遊。月入泛江江水流。好把琴樽娛勝地。莫將雲雨夢高丘。九秋霜重花垂砌。五夜風寒葉戰洲。佳妓休歌旅人曲。廣陵歸客不勝愁。</text>
<title>用前韻。示麻岾。</title>,<text>此地從君問幾遊。深杯漫浪儘風流。身將菊竹成三友。屋取江山占一丘。月入高樓留几案。風驅落葉走汀洲。重陽莫負龍山飮。擬洗胸中萬斛愁。</text>
<title>將作八峰行。訪友鳴岩。九萬嶺上。偶吟。</title>,<text>如上長天九萬程。風驅雙袂欲身輕。日晴丹霧留痕散。木落靑山露骨淸。眼斷鳥途臨壑盡。心驚石棧與雲平。遙知好友維舟待。雨後秋江水正生。</text>
<title>登城峴望邑內</title>,<text>城峴高高壓里閭。八峰歸路暫登諸。一區岩石眞仙窟。十里樓臺好邑居。曲水遨遊今到此。泛波消息問何如。遙看一處垂楊外。江色靑蒼宿雨餘。</text>
<title>呈從兄詞案</title>,<text>落葉滿溪渾不收。泛湖遙入漢陽流。半年魂夢池生草。萬里風烟雨洗秋。莫遣孤鴻啼嶺峽。頻敎雙鯉績江洲。嗟吾久負多生債。仙賞將從海外酬。</text>
<title>送舅氏將之江陵。汎舟夜遊。</title>,<text>峽雨前宵助水流。孤舟一葉汎淸秋。霧離江上纔盈尺。月入樽中半缺鉤。今夜歌琴渾謾興。明朝分散奈深愁。天涯惜別悠悠意。直欲回頭問白𩿨。千里江陵大海涯。勝觀孤負與公偕。杯深客興還忘別。夜久歌聲漸入佳。鏡浦臺邊前度路。泛波亭上去年懷。歸時楓岳登臨處。萬二千峰秋色皆。去年已送此行于江陵。鏡浦。江陵㙜名。</text>
<title>次楓溪壁上韻</title>,<text>盡日虗橫野渡舟。老楓殘柳惜餘秋。靑山有意隣幽屋。白雨無端過晩洲。菊送重陽猶滿砌。客隨明月幾登樓。偏憐偃蹇高人態。一脚何曾出壑丘。霜重楓溪錦樹林。白雲秋色落潭心。山霞猶漏孤峰出。江水纔添宿雨深。無客閉門惟倦睡。思君望月幾長吟。如今賴有前期在。江閣淸宵許一尋。</text>
<title>槽潭瀑布 潭在雀峀之下龍湫之上</title>,<text>未認槽潭亂瀑淸。只遊龍瀨隔岡行。忽從僧向崎嶇去。始覺天敎造化成。固識日晴疑雹落。翻驚雨至㥘雷鳴。朴淵奇狀寒溪勝。於此宜推第一名。</text>
<title>擬贈獜蹄李使君叙別 洙</title>,<text>古寺淸樽樂一宵。琴歌隨處別愁銷。天多雨意靑山暗。峽早霜風赤葉凋。靈沼歸程休促迫。龍湫飛瀑可逍遙。君須預拂寒溪石。烟月秋來久我招。</text>
<title>中路別沈生 宗甲</title>,<text>我向長安子獨留。出郊相別立街頭。岸楓衰葉如迎客。山菊殘花欲餞秋。惜別提携諸弟淚。割慈將送兩親愁。觀堂今夕君歸處。月色江聲倍寂幽。秋日離懷也不平。岩楓澗柳亦愁情。途皆慣眼知前度。客自思家羡此行。山隔只聞人語響。葉堆多亂馬蹄聲。臨歧欲別難爲別。不覺追隨半日程。</text>
<title>舟過雲溪。贈再從兄乃心氏 啓沃。</title>,<text>秋風淅淅動征衫。早發孤舟月峽南。山岸曉霞埋石逕。水門朝日掛漁帆。纔過恐瀨心猶㥘。前度雲溪路尙諳。始認君家玆處是。爲停行纜繫孤岩。</text>
<title>舟中曉吟</title>,<text>霧中孤棹趁鷄鳴。漢水將期一日行。爐近枕邊燒曉冷。月臨篷底奪燈明。風驅逆浪帆難掛。灘咽奔波夢易驚。何處商船依岸宿。篙師遙語問前程。</text>
<title>到纛島</title>,<text>前度遊人今又遊。白𩿨來近識渠儔。舟行半夜龍津月。帆落斜陽纛島秋。高障簇開亭子地。大江縈帶伯王州。終南一髮悠然見。舊日風烟慣兩眸。</text>
<title>歸庭時。歷訪成陵。題見上。</title>,<text>今我行行秋後峽。朝來短策別東門。人尋古寺鍾聲出。馬踏靑山雨氣昏。客裏逢迎揔親戚。燭前談話勝琴樽。居僧欲設行人食。窓外寒厨有夜喧。</text>
<title>立馬次題。留別吉甫氏。</title>,<text>寺樓超絶絶浮埃。脚底行雲護客來。樹襯霞丹迷玉洞。烟搖山綠落金杯。離愁各折琳宮柳。好信頻傳驛使梅。別語何須相促迫。不妨歸馬暫遅回。</text>
<title>送季舅讀書成陵寺</title>,<text>聞公負笈上禪關。秋後離愁亂莫刪。霜落陶潛汎杯菊。雲藏李白讀書山。須將勝景搜勤苦。莫付庸僧視等閑。此別知爲窮歲別。臨歧怊悵欲凋顔。</text>
<title>寄示李兄湖西靜案</title>,<text>雪落蕭蕭野色寒。寒烟古樹暮江灣。別來歲晏書初到。憶處天長夢不還。東峽樓淹閑日月。西湖客說好雲山。若因貧餒爲愁苦。水石氛埃揔不關。李兄書中。有水石氛埃等語。故及之。</text>
<title>鄭生 龍章 來見以詩求和。率爾次贈。</title>,<text>風流自許竹林賢。身世雖窮意坦然。碧水漾澌侵夕浦。積雲篩雪滿寒天。故人歡意詩兼酒。向者離愁日似年。交契從今期百歲。峩洋長奏伯牙絃。</text>
<title>金生 鼎瑞 亦次鄭韻。故並呈求和。</title>,<text>誰知岩穴隱遺賢。心與閑雲共淡然。意靜偏憐書作友。歲荒難得食爲天。淸詩已見傾前輩。厚義深銘勖少年。好是高樓明月夜。速宜相就聽琴絃。</text>
<title>次楡洞投示韻</title>,<text>羣書閱了獨尊經。至理寧同俗子評。陋巷簞瓢聊自樂。浮雲榮辱不須驚。寒齋臘近梅開早。高樹風過雪落輕。多喜山童來剝啄。一封詩札向吾呈。</text>
<title>又用賢字韻。示楡洞。</title>,<text>鄕里文章不乏賢。驚人綺語亦天然。心存辟佛能排卜。學在求仁獨保天。洞裏有雲堪秘迹。山中無曆不知年。偏慚俗客違名敎。勝日風流詑管絃。</text>
<title>寄示麻岾求和</title>,<text>非隱非仙只世逃。紛紛外累等秋毫。天寒白鶴松栖冷。日暮蒼山雪意豪。風月相親詩幾費。乾坤獨立眼偏高。武陵消渴今何似。矯首江雲別夢勞。</text>
<title>又用前韻。贈座首。</title>,<text>愛君能向局中逃。物外閑情賦月毫。太史山川遊幾壯。元龍湖海氣猶豪。寒天雪奪千峰碧。遠野烟呑萬樹高。暇日逢塲詩卽就。淸新意匠不曾勞。</text>
<title>又以前韻屬座中</title>,<text>林壑能容我輩逃。風流各詑慣拈毫。名區景物千年色。前代男兒幾箇豪。官閣詩情孤燭耿。江村酒價百錢高。偶然今夜成佳會。二客從余不憚勞。</text>
<title>又用前韵。贈李樂哉 善取。</title>,<text>樂哉丘壑合身逃。風月隨時動彩毫。文藻遙追建安骨。繁華不數洛陽豪。樓前雪落江光冷。山下雲歸榻影高。看得花溪寒臘盡。春來杖屨也應勞。</text>
<title>示校宮衆會 二首</title>,<text>諸賢衮衮駐征車。學校淸宵小會嘉。黃鶴樓中仙客句。白楡洞裏道人家。鳴岩醉興傾樽綠。麻岾詩聲夢筆花。且有楊江高士至。獨吾吟病卧官衙。座中。有崔客。故說黃鶴。門外紛紛錯馬車。淸遊復趁景光嘉。樓留霽月迎詩客。僮覔流霞向酒家。千尺樹搖殘雪色。百篇詩落一燈花。招携獨作黌宮會。高脚何曾到郡衙。</text>
<title>又用車字。贈示麻岾。</title>,<text>天津草隱邵翁車。閑興隨時自在嘉。冬課着工前聖學。夏耘多事老農家。秋延磵上松蘿月。春賞園中桃李花。深峽勝區如可說。汎波亭亦擅名衙。</text>
<title>座首諸人。佩酒來見。</title>,<text>欣迓諸君載酒車。滿盤珍錯足肴嘉。燃燈六博兩三客。隔浦孤村四五家。官妓翠裙爭竹色。江樓素月奪梅花。重遊徐待風光好。春日鶯歌綠柳衙。</text>
<title>除夜吟示麻岾</title>,<text>栢葉樽開燭影幽。年年此會奈多愁。可憐除夕仍春日。幾箇紅顔漸白頭。新曆定從明曉看。舊灾應向此宵遒。君今莫說吾年稚。一十人間剩八秋。</text>
<title>送鄭李諸人詣京上䟽。仍次前誦韵。</title>,<text>去歲田功少所成。上書誰欲救殘氓。靑衿濟濟丹心切。紫閣高高白日明。寒捲秦城殘雪盡。春生楚峽亂雲平。鄕隣故舊來相送。車馬轔轔古驛程。</text>
<title>夜會。次澤堂集中韵。九首</title>,<text>燈光月色兩相明。靜閱陳編古意生。客過三更聞犬吠。詩難一字至鷄鳴。山靑每到知春氣。眼白偏多識世情。交契在心無老少。幾年肝膽向君傾。夜久銀河淺且明。半鉤新月屬初生。隔籬人屋依依見。循砌江灘㶁㶁鳴。庭雪尙留殘臘色。窓梅剩着故園情。忽思東洛壺中里。經歲茅堂半欲傾。文物彬彬聖代明。問君何事尙書生。龍遅一雨雖空蟄。鳥待三年始可鳴。水石能寬容浪迹。塵埃不許染高情。時時落筆因酣興。百斛洪河浩浩傾。快樓丹鏡中明。氷泮汀洲水正生。淺峽花心羣木動。小溪春氣百禽鳴。盈樽白酒是風味。入戶靑山非俗情。短咏長歌歡未畢。起看殘月一竿傾。憐子高蹤效滅明。公門咫尺阻平生。蕙帷猿鶴常常近。玉匣蛟龍夜夜鳴。晩日知音存厚意。百年多病損閑情。逢塲輒贈新詩句。綺語能令滿座傾。新春物色轉淸明。高閣華筵暖氣生。剛喜相如翻末至。便驚崔子最先鳴。風花雪月閑中興。富貴繁華分外情。定識荒年難一醉。莫辭今夜玉山傾。忽得驪珠覺夜明。波濤往往筆頭生。怳如露氣盈襟灝。驚却金聲擲地鳴。塵世復看陶謝手。雲林更有許巢情。莫嘆白雪無人和。早晩高名四海傾。秉燭淸遊到曉明。金樽貯得綠波生。樓前半夜孤舟過。月下荒村冷杵鳴。境得品題增物色。友當離別識心情。笑吾却向塵中去。世路那堪仄復傾。老兔泣寒天色明。離愁却趁早春生。送行官妓尋常至。惜別山鳩四五鳴。古寺琴樽如一夢。汎波烟月繫餘情。西過陽院無知己。不厭諸君勸酒傾。</text>
<title>晏起答渭陽頹惰之責</title>,<text>午天鳥語囀西廊。一抹茶烟近竹牀。朝日過簷頹枕席。主人呼客着衣裳。夢魂空逐莊生蝶。糞土何慚宰我墻。學得睡中心不睡。蒲團千日也無妨。</text>
<title>送李兄復往鎭川</title>,<text>勞勞亭子早躋攀。征馬遙尋水石間。初訝承禎仍出世。偏欣綺季更還山。溪花笑日應新景。江鳥親人便舊顔。野老村童爭席處。一杯春酒問塵寰。</text>
<title>送城西李丈撤還鎭川強副勤索</title>,<text>一鄕渾作一家居。君亦相隨謝洛廬。山雨田功布糓促。野花春意杜鵑初。人間浪戰分蠻蜀。林下高情樂鳥魚。莫逐浮榮拋宿計。今歸試報老尙書。李丈大阮判書公。適有新命。故云。</text>
<title>吟懷六十韻。示麻岾求和。</title>,<text>有一奇男子。胸襟烱若氷。詩才高壓漢。生契小如滕。貧不厭懸磬。樂猶安曲肱。抱經長兀兀。持操自兢兢。蔬食勝粱肉。布衣當帛繒。馬卿親滌器。虞子久擔簦。賣卜常探易。傷時只撫膺。江湖多白鳥。世路足靑蠅。野鶴栖珠樹。冥鴻避繳繒。陌塵紅擾暗。雲峀碧崚嶒。瓢飮惟三逕。岩栖在百層。秋情問松菊。春事有畦塍。落落靑霞氣。蕭蕭白髮鬙。門前無俗駕。松下迓詩僧。勸課兒孫讀。輯修聖傳謄。靑山非俗態。明月是佳朋。桂樹生瑤洞。桃花鎖武陵。藍田藏寶玉。溟海蟄雲鵬。雅契欣相托。嘉言幸屢承。孤高君自許。榮辱我羞稱。擬讀書千卷。難磨墨數升。踈才慚李白。豪氣想陳登。堪作倡狂客。寧爲飽醉丞。淸談飛玉屑。寶唾溢緘縢。燕雀難知鵠。鷦鷯未抵鷹。郢歌聞白雪。梁舞對高絙。栗里閑多適。山陰興幾乘。交筇尋梵宇。皷枻擧魚罾。暇日頻圍局。淸宵咏採菱。尋花臨綠水。賞月倚蒼藤。蘭室論文細。江樓把酒凭。丹靑明戶牖。金碧耀觚稜。簾捲烟光暮。欄飛水色凝。谷岩雲暗淡。林藪雪侵凌。春到山如畫。風來浪作綾。鳥閑聲欵欵。蟲起羽薨薨。皷物和風入。知時好雨蒸。揮毫詩作錦。傾斝酒如澠。撫劒歌頻激。擊壺歎不勝。人情多飽閱。世道漸頹崩。安樂弄丸邵。雩壇舍瑟曾。古賢今不見。吾道竟何能。本體元無缺。人心自有恒。克私仁卽在。思難忿隨懲。塵鏡磨還凈。頹波激復澄。貧窮無悔怨。富貴不驕矜。箇理隨思覔。天機逐物徵。從容心自得。涵養道逾弘。楊柳光風至。梧桐霽月昇。雙眸千古濶。一樂四時仍。正脉堪追繼。斯文庶可興。下工須刻苦。爲事莫摸稜。日月恒盈缺。陰陽有損增。豹文雖晦隱。騏步會飛騰。喜此身閑樂。從他世愛憎。聖書宜可讀。俗語不須譍。忠告心中發。交情句裏憑。駐顔無大藥。繫日乏長繩。未折三花樹。難燃大智燈。願將斯道妙。一一曉黎烝。</text>
<title>次聯句三十韻。加以四十二句。合以七十二韻。謹呈麻岾求和。</title>,<text>幾年落落各西東。晩歲相從趣味同。顔巷不移簞食樂。邵窩長保太和融。偏憐貌古心仍古。却喜身窮道不窮。東海珠光沉有照。南山豆種落無豊。靑春藻句能驚鬼。赤幟騷壇早定䧺。對策塲圍聲價重。着工經訓古今通。心該萬務談言快。眼濶千秋宇宙空。馬蹶一蹄何有失。山成九仞莫虧功。百年世事江湖上。八月秋容水石中。㓒室時多流涕語。野人知抱獻芹忠。壯心牢落違攀桂。浪迹栖遑若轉蓬。古獄空埋雷煥劒。扶桑欲掛宋公弓。神仙謾說靑蓮客。道德難論紫氣翁。江漢入河流不盡。羲和走馬去無終。春容忽忽鳥過目。秋髮蕭蕭雪照銅。瓊樹三花凋玉洞。瑤桃千片落天風。寧隨子晉驂飛鶴。還笑叔卿駕綵鴻。雲月映輝淹快閣。魚龍出沒動幽宮。笙歌第宅傾冠盖。泉石膏肓養性躬。楚國獻珠空致怒。齊門皷瑟亦難工。紛紛榮辱輸諸子。綽綽行藏信彼穹。露洗柳枝絲减翠。霜欺楓樹葉紅。山頭夕雨忙鋤婦。牛背斜陽懶牧童。鳥語猶能喚朋友。蛙鳴元不管私公。淸灘遶枕供吟料。亂樹連雲碍遠瞳。老去才名過屈宋。醉來豪氣壓恒嵩。白𩿨洲似鋪纖練。黃鶴橋疑亘彩虹。此地風光亭號汎。東關形勝岳名楓。心懸雲雨千峰立。夢入滄溟萬里洪。只可相携遊特地。安能獨坐守虛櫳。今朝詩什留佳約。他日行裝只倦僮。曾幸蒹葭依玉樹。幾將山水奏枯桐。文章已覺能參化。學術多慚未解蒙。時被提撕開憤悱。更因磨琢變倥侗。思將道義工夫密。做得男兒事業隆。循序豈知盈後進。推仁終昧擴而充。心胸着處多昏塞。眼目如今便𥌒矇。只喜識君成志願。偏欣愛士重疲癃。鷦鷯好息梧桐葉。鸞鳳空栖枳棘叢。踈懶一生稱阮籍。風流萬古說王戎。詩因遣興傳華帖。酒爲銷愁倒碧筩。抱塢溪流長漑潑。繞村山勢最穹窿。門關盡日閑雲細。洞鎖深秋宿霧濛。鴻鴈影來連嶺。鯉魚風起皷蘋葒。石田收秫供官稅。糲飯無魚切野菘。破屋不希金穴宅。蹇驢難換玉花騘。誰知隱霧玄文豹。可笑疑氷夏日虫。二載追遊情似海。一時分散戀成恫。忽聞遠地搬移速。何忍他鄕送別怱。已識鄭眞甘谷口。不言成子棄崆峒。俗風楊浦多囂薄。景物花山正欝葱。𩿨鷺近人齊上下。樓臺倒水共磨礱。新秋白蜜丹崖出。千日金砂玉鼎烘。捨此如何歸計促。使吾空自別愁忡。香山移契曾聞白。旅舍無車古有馮。吾道卽今方墜癈。國風何日更冲融。蘭蕪尙有淸香播。玉振應看逸響渢。驥足追風千里騁。鵬啚展翮九霄翀。商顔休道甘隣鹿。渭水終逢獵匪熊。覔句吟髭幾撚斷。脫巾衰髮亂鬆髼。功名說到先心㥘。時事聞來欲耳聾。權貴甲樓雕畫棟。豪遊寶馬絡金騣。還嗟一夕繁華散。誰道當年爵祿崇。爭似冥鴻避矰繳。不隨塵鳥在樊籠。金簪碌碌非吾物。玉闕深深隔聖聦。有分仙山成漫浪。絶營胸海養淵冲。君誇齒老身強健。我恥年多學幼冲。燕雀在堂難變化。㻚瑚脫櫝動玲瓏。深交吐意相看膽。格語留膺幾激衷。聖世岩廊歸稷契。洛川風月可參仝。佳期今夜候蘿逕。令節中秋泛綵篷。向日聯詩猶在案。爲添蛇足更傳筒。</text>
<title>與麻岾呼韻。聯句三十韻。南宮上庠。字子固。</title>,<text>凉生江閣雨蕭蕭。吏散公門夜寂寥。子固。 詩思有時勞意匠。秋光無處不淸饒。汝豪。 書燈照卷常看近。漁火隨流漸覺遙。子固。 月入當窓如有約。客來聯枕不須招。汝豪。 方知驥步馳千里。誰識龍光射九霄。子固。 風引虫聲生露草。柳藏蟬語置烟條。汝豪。 要修事業羞書劒。肯使功名起筆刀。子固。 麗水剛金難鍛鍊。藍田美玉待磨琱。汝豪。 明時濟濟皆人傑。濕處啾啾揔鬼妖。子固。 白雪歌高郢中曲。靑雲夢斷洛水橋。汝豪。 楓林爲愛霜前艶。樹影偏憐鏡裏搖。子固。 漁父逐魚沿水口。牧童騎犢下山腰。汝豪。 誰當此日追夔稷。竟使吾君致舜堯。子固。 若濟巨川須傅楫。休居陋巷樂顔瓢。汝豪。 南溟六月鵬沉海。華表千年鶴過遼。子固。 日映岩崖殘霧斷。秋晴村落暮烟消。汝豪。 收心恐失一家住。愼語憂逢衆口囂。子固。 始覺書生貧是樂。偏嗟世俗富而驕。汝豪。 年凶旣致三農失。序順疇能二氣調。子固。 伎倆一生慚我拙。文章末路幸君超。汝豪。 登揚他日翔雲路。際會昌辰翊聖朝。子固。 賈誼傷時徒戚戚。嚴陵避世最昭昭。汝豪。 土風未變三韓習。民俗猶聞五袴謠。子固。 物外勝觀多水石。中生事足蒭蕘。汝豪。 義同叔向逢騣子。情似尼丘待鄭僑。子固。 菊被霜催依砌發。葉爲風逐滿江飄。汝豪。 花辰共醉心長在。月夕同遊足幾翹。子固。 政好簾前延桂魄。不妨樓下汎蘭橈。汝豪。 空山每苦懷離索。深巷那知辱寵邀。子固。 最是歡情難道處。一尊談笑度長宵。汝豪。</text>
