<title>次沈楚賢</title>,<text>養拙山深處。仍爲無事人。阿誰還錯認。謂我葆天眞。</text>
<title>春向江鄕。道上詠懷。</title>,<text>東風百里路。匹馬向江城。溪柳搖春恨。山花笑客行。年華紛爛漫。塵事苦盈縈。撫跡酸辛久。裁詩詠不平。</text>
<title>南明府 二星 枉顧新卜草廬。詩以志之。仍寄金菊亭 宗海，尹士羣 儔。</title>,<text>奇崖幽絶處。小尋隔塵紛。竹杖隨村老。柴門拜使君。川光煙外暗。山色雨餘分。寄語城南客。頻來問卧雲。聞子誅茅處。奇崖出世紛。紅塵懶回首。白屋不忘君。山色浮天外。川聲到夜分。箇中無限意。誰識管松雲。菊亭次韻南嶽人將返。西湖雪正紛。山靈欣有主。林鳥喜迎君。顯晦從時適。贒愚特地分。他年尋谷口。莫惜共耕雲。士羣次韻</text>
<title>幽居卽事。寄示藥泉南君雲路 九萬。</title>,<text>慘慘暮寒重。荒村煙火稀。味慵捐俗物。用拙養天機。野暝雪將落。山深禽不飛。土床供美睡。藏六閉荊扉。</text>
<title>菊亭。次寄紛字韻。復次以謝。</title>,<text>屛跡三冬卧。窮山霰雪紛。百年誰好我。四海獨憐君。湖上浮萍會。罇前落葉分。白頭靑眼舊。詩態照春雲。</text>
<title>喫豆粥</title>,<text>向夕愁雲積。低空噪亂鴉。土床燃正足。豆粥味還嘉。斗覺春生腹。渾忘雪滿家。煖寒豪士會。惟解酌流霞。</text>
<title>次南明府立春詠懷韻</title>,<text>卜築東溪僻。囂塵斷不來。庭留春後雪。門掩雨餘苔。自笑疎慵劇。誰憐老病催。碧山還有素。卧對亂雲堆。</text>
<title>用前韻。復寄藥泉雲路甫。</title>,<text>南澗波聲壯。東峰夜雨來。石梁飜素雪。沙渚洗蒼苔。滿目芬芳遍。盈襟逸韻催。臨流倚杖久。不覺暮雲堆。又連雨雙流漲。橋危客不來。柳汀涵白芷。松岸沒靑苔。水濶魚遊縱。風高鳥去催。願携南郭子。波雪看崩堆。</text>
<title>酬沈楚贒</title>,<text>屛跡遺塵事。煙霞鎖別村。松陰低翠壁。草色繞荒園。睡足茆堂靜。窓虛峽水喧。誰知幽寂意。佳句寄荊門。</text>
<title>述懷</title>,<text>晩决胷中戰。歌商憶魯曾。從知貧有自。不歎病相仍。世亂心何轉。年深學未增。古書開展處。絲髮任鬅鬙。</text>
<title>送別南雲路</title>,<text>遠送宜城子。臨岐更摻衣。論交雖不早。知已向來稀。聚散元難定。音書且莫違。龍灘相訪處。水石减淸輝。</text>
<title>與從舅趙校理夜酌</title>,<text>湖海逢仙吏。罇前話寂寥。詠詩酬歲月。隨意伴漁樵。白屋身將老。靑雲路自遙。莫言生活澹。安分卽餘饒。</text>
<title>示任松塢昆季</title>,<text>鳳林山外客。扶杖度寒岡。爲我開深酌。嘉賓共一堂。愛吟南雪重。休賦北風凉。煖律生談笑。能令黍谷陽。</text>
<title>柴樊</title>,<text>柴樊圍數畒。短短未齊腰。冷落依荒野。參差暎遠椒。因風常摵摵。不雨更蕭蕭。最是無人夜。寒聲伴寂寥。</text>
<title>復泉老兄。投惠幷世相感及誠敬六字之額。</title>,<text>孤癖眞堪笑。幽棲傍遠林。愛山擡白首。臨水奏玄琴。學道時還晩。資身計未深。分明六字額。方見故人心。又末路誰知我。山林有碩儒。徒然生倂世。敢望道同趍。誠敬書爲贈。周旋佩作符。神交如對面。休說阻江湖。</text>
<title>春帖</title>,<text>老子疎慵劇。新春別有祈。日長閒睡足。門掩俗人稀。身外忘榮辱。塵間任是非。若能常占此。餘事更何希。又庇身茆屋下。安分送居諸。解渴新開井。充虛卽飯蔬。婦知勤織作。兒好讀詩書。春帖無多語。如斯不願餘。</text>
<title>因陰竹兄。聞復泉自溫城來訪之意。吟成一律。以寓延佇之懷。</title>,<text>有客金天外。江南寄好音。剡中尋戴興。嵩下候程心。雲物期同賞。情懷要共吟。芳塵知近遠。蘿逕抱孤琴。</text>
<title>題嵐溪詩僧帖</title>,<text>杖策秋雲裡。荷衣暎翠蒼。小溪縈一練。危嶂擁千鋩。紫菊酣朝露。丹楓染夜霜。正堪詩料足。明月上人房。</text>
<title>憶長兒</title>,<text>送汝遊南國。春風信使稀。蘆關雲漠漠。滄海夢依依。涉險行須愼。垂堂戒莫違。錦城雖最樂。應念候衡扉。</text>
<title>送次兒往永城</title>,<text>鳥道陽山外。山窮民物稀。錦溪深不測。煙磴滑難依。知爾前程遠。嗟吾雅志違。歸來須及早。莫使倚荊扉。</text>
<title>謹步復泉淸韻。仍以寄示。</title>,<text>聞說幽居勝。天慳待子歸。溪深魚自得。林密鳥知依。有養形神健。無求道義肥。風標吟想處。淸夢繞煙磯。又四海誰贒友。惟君卽我師。學窮眞實理。心絶等閒思。自顧何能也。猶當更勉之。弘規期勿墜。恐負十年知。[附原韻]天設湖山勝。歸歟早得歸。琴書飽獨樂。魚鳥暫相依。江石皆爭瘦。溪流不待肥。淸風連太古。縹緲上漁磯。又身外江山友。心中上帝師。奉而誡敬訓。殛爾暗邪思。自分下愚耳。何由上達之。省來多少事。難與鬼神知。原韻</text>
<title>與諸友遊山。暮宿花巖寺。</title>,<text>故人湖海至。呼我上雲樓。醉客非嘉客。詩流卽道流。禪心霞外定。山意雪中幽。蕙路廻塵躅。林巒不盡羞。適有醉客。喧聒靜會。故及之。</text>
<title>霖雨。次梅聖兪詩韻。</title>,<text>昏睡雨中熟。荊門盡日關。苔花沿壁上。梅潤着衣間。决决前溪水。冥冥四面山。惟憐雙燕子。相伴一窓閒。</text>
<title>送南明府 二星 拜正言還朝</title>,<text>寵渥徵黃日。登龍數月餘。平生思補衮。此去卽牽裾。北闕催鳧舃。南雲暎鶴書。桐鄕多惠澤。烏鵲擁行車。</text>
<title>贈暉吉</title>,<text>幾日江湖別。相尋歲暮時。自多新意思。還擘舊題詩。雪屋煙林外。松門野水涯。慇懃白衣使。能會此心期。地主尹公爲之送酒。故云。閉戶三冬卧。昏昏睡過時。講學無新得。吟思秪舊詩。靑雲非夢想。白髮是生涯。不有山陰客。心期孰可期。</text>
<title>雪後。登候仙臺。</title>,<text>雪晴凍雲捲。天地更淸空。皓皓千林合。輝輝萬壑通。如遊銀色界。疑住水晶宮。笑倚高臺望。蓬山醉眼中。</text>
<title>靜安堂春會。懷故友沈淸之 沆。</title>,<text>惆悵雲門會。當筵憶沈兄。同來曾有約。獨上更傷情。存歿何堪說。追遊不復幷。憑將經臘酒。和淚灑春城。前冬臘月。聞堂中設講會。與淸之有同往之約。而居无何。淸之奄爲古人。三月初吉。其會乃成。余獨往參。感念存歿。无以爲懷。而座上杯醪。又是冬臘宿釀。則當盃追憶。尤不禁泫然淚下云爾。</text>
<title>瀑布菴</title>,<text>菴在瀑布上。松門蔭一溪。月懸淸曉磬。風送小村雞。石古雲生砌。蔬荒露滿畦。平明下山去。回首望丹梯。</text>
<title>宿雲巖有懷</title>,<text>偶到雲巖宿。回頭憶遠師。幾重山隔眼。一夜鬢添絲。玆地雖多勝。何人共說奇。東峰片月出。應照虎溪涯。</text>
<title>題圓寂石壁</title>,<text>先子幽棲處。孤生老一尋。山容獨如舊。人事已非今。蘿月曾延賞。煙霞幾入今。登臨成愴憶。感淚落疎林。</text>
<title>與暉吉酬唱</title>,<text>衰病伏衾枕。無心履遠遊。雪中思竹寺。雲外夢江樓。處靜知生樂。當喧歎俗渝。聊將一罇酒。笑對不凡流。又閉戶空山裏。窮鄰歲暮砧。感君情委曲。慰我病侵尋。語罷靑燈晦。更闌皓月沉。仍成數日欵。此世得知音。</text>
<title>送暉吉之嶺南</title>,<text>送君嶺南邑。積雪遍千林。道路經危險。民風異古今。悠悠遊子興。黯黯故人心。此去逢公則。殷勤說素襟。</text>
<title>以硯贈許掌令 厚</title>,<text>面帶琳琅質。中虛氣暎虹。千年藏水府。一日離龍宮。正合文章用。其如藻思窮。君才堪起草。持此上鰲峰。</text>
<title>又酬謝硯之什</title>,<text>對硯論姿品。東州豈下宣。榮光凝瑪瑠。膩滑潤龍淵。磨涅心常一。珍奇價直千。從知物有主。持換數珠聯。</text>
<title>送從叔拜參奉入京</title>,<text>久登材舘錄。新作禮賓郞。驥足從玆展。雲衢庶可望。喧中宜獨守。行處要周防。賀語兼規祝。當官莫我忘。</text>
<title>閒吟</title>,<text>膠固昧推移。幽慵見事遲。知心惟白髮。親我卽烏皮。山屋蒼松架。江村翠竹籬。東來復西去。景物與詩宜。</text>
<title>次權汝守感懷之什</title>,<text>故國風塵後。光陰幾度回。星辰懸北闕。人士落南隈。憐子萍蓬遠。思親鬢雪催。蒼天此何世。相對也含哀。</text>
<title>酬醉隱趙伯春 仁亨</title>,<text>風塵身已老。人世事難期。吾道日非矣。誰知天喪斯。偶逢君對面。聊得我伸眉。詩酒連床話。疎簷雨亦宜。西塞干戈滿。東還未易期。壯心今已矣。困跡至於斯。末路誰靑眼。高山有白眉。平生一罇酒。今夕最相宜。原韻君有竹松菊。兼三一樣憐。芳香連小逕。蒼翠暎修椽。護養風煙裡。心期霜雪前。托根眞得所。肯受草萊纏。我於松竹菊。晩節最堪憐。爲此開三逕。因之起數椽。澹煙疎雨後。微月細風前。會得油然趣。閒吟興自纏。原韻</text>
<title>湖亭觀漲寄醉隱老兄</title>,<text>久雨江流漲。川原水色同。冥冥迷俯仰。浩浩沒西東。野暗雷行霹。山明日映虹。若爲携快士。長嘯柁樓風。</text>
<title>歸山時。留寄醉隱。</title>,<text>論議時違異。非關道不同。何嘗分物我。本自昧西東。洞澈心如水。輪囷氣吐虹。君能貴自得。知我古人風。來詩。有人生貴自得。論議不須同之句故云。又來詩悲遠別。離恨一般同。浩渺江連北。蒼茫路向東。埜泥深沒馬。雲棧逈憑虹。回首追遊處。懷君卧竹風。湖老山中去。何時罇酒同。情連春樹北。恨結暮雲東。歸路迷芳草。晴天見彩虹。河橋病未送。衰淚寄西風。原韻</text>
<title>自述</title>,<text>亂代窮山叟。愚憃無比同。逢人迷俯仰。答問失西東。獨恠經天彗。時憂貫日虹。塵埋一古劒。關塞又秋風。</text>
<title>酬汝守</title>,<text>生涯同老宿。心事類孤覊。世亂身何着。途窮數更奇。已知名是病。只怕行仍虧。不可無侯可。其如告別期。又投分深膠漆。淸高意脫羈。詩名吾底用。談論子能奇。秪願駏蛩合。休言月魄虧。如何促歸思。叙別先秋期。吾愛于郊丈。高標卓不覊。文包隆漢史。詩壓盛唐奇。養素人爭慕。全眞道未。今秋相別後。恐負十年期。原韻</text>
<title>聽子規。步老杜雲安韻。</title>,<text>花雪飄零盡。千林綠葉齊。已傷春色暮。更聽子䂓啼。遠響風和切。餘音雨送凄。愁人枕未穩。爲報發聲低。又何限依山木。千聲㤪一齊。嗚嗚如自訴。故故傍人啼。別夢當春冷。齋心盡夜凄。誰知惆悵處。殘月欲西低。</text>
<title>送沈使君 演 赴濟州之任</title>,<text>聞道耽羅牧。樓船啓遠行。威稜驚海恠。淸白活蜒氓。衰病追攀隔。風波別恨縈。深心鸚鵡盞。對酒最關情。絶島炎蒸地。孤臣五馬行。傷時思杜老。避世憶秦氓。歲暮千愁集。官居萬慮縈。淸詩藏篋笥。披讀見君情。次韻</text>
<title>送季父復官入洛</title>,<text>十載陞除日。朝家亂定時。才贒要不隱。官位則無卑。病姪堪匏繫。蓴塘已鬢絲。事歡還有淚。離恨滿新詩。</text>
<title>寄李子西 嶠</title>,<text>湖海逢才子。春風共倚樓。詩成嗟寡和。杯到羡無留。天地干戈滿。人寰歲月流。追遊須衮衮。莫使抱離愁。漁店相逢處。江山第一樓。鷰鴻春後去。楚客雨中留。竹葉盈樽淡。雲容拂檻流。開襟無老少。醉滌百年愁。次韻</text>
<title>閱書帙。得李士以令公辛酉秋留別一律。追次其韻。</title>,<text>仙吏何年別。茫如隔古今。江湖垂白髮。雲路帶黃金。物色殊榮悴。交情更淺深。佳篇猶在篋。宛對舊容音。器之眞我友。風采信稀今。氣若凌霄鶴。文如擲地金。每歎相見晩。還覺別愁深。儻有西歸使。時時寄好音。原韻</text>
<title>寄扶蘇親友</title>,<text>亂後時相見。年來慰所思。胷襟元洞澈。談緖豈參差。聚散雖難定。追遊或可期。淸秋須共醉。江月要吟詩。</text>
<title>寄呈季父</title>,<text>南國相思日。西京遠別時。行藏須信命。官位豈長卑。莫灑楊朱淚。休悲墨子絲。愁來宜把酒。醉後更吟詩。</text>
<title>示雲巖李友。以識文會之勝。</title>,<text>大火西流日。梧桐欲落時。傳杯同老少。序秩遍尊卑。誰有烏頭藥。自慚白髮絲。將何繼此會。把酒更論詩。又文會知多日。靑襟雨散時。功名元定數。心志不宜卑。老子徒耽酒。吟髭剩欲絲。諸公相勉勵。無忽此新詩。</text>
<title>題詩僧遊山帖後</title>,<text>僧自翠微寺。行穿幾水隈。花巖蹤跡徧。蓮社笑談開。靜性空潭月。孤標瘦嶺梅。同聲復同味。心醉勝啣杯。又雅有煙霞趣。幽居閱歲時。猶嫌塵界近。未脫俗緣卑。靈岳尋蕭寺。雲臺把釣絲。因師遂棲遁。送老有琴詩。</text>
<title>呈復泉老兄</title>,<text>聖代幽棲者。翛然物外標。子陵辭漢主。巢父避唐堯。養素甘貧病。全眞味寂寥。飜嫌莘野老。三幣改囂囂。又湖外蕭閒客。山中老碩儒。智愚雖不一。臭味自無殊。命駕輕脩道。追尋到別區。寥寥對床話。松月夜深孤。</text>
<title>權汝守挈家。之扶風。方有閤憂。</title>,<text>風煙迷海嶠。遠別鬢毛新。節物仍梅柳。光陰換臘春。病隨千里客。愁伴百年身。歸騎回須早。休令夢裏親。又懶拙眞吾道。悠悠忘是非。蒼茫迷所適。牢落底因依。交契惟君在。心期莫我違。同時復同調。歲晩翫光輝。</text>
<title>以佔畢齋安心積雪樓題詠。贈勝寶和尙。使之重刻揭板。永存古蹟。</title>,<text>佔畢安心作。千秋屬寶公。飄零兵燹後。埋沒篋塵中。顯晦吾知數。揄揚爾有風。雪樓重揭處。文采動煙空。兒時陪先君。遊安心寺。寶師出示佔畢齋積雪板刻。丁酉兵火。此物獨不灰燼云。先君錄其詠而藏之。厥後樓成板子已失。寶師尙无恙。遂求其詩於我。故爲之書贈。所謂有數存焉耶。</text>
<title>汝守入洛</title>,<text>浮世身難料。別離情更傷。菊殘郊外墅。楓落水邊堂。去去秋將暮。悽悽夢未香。嗟君此行役。誰不爲悲凉。汝守喪耦也。故云。</text>
<title>贈沈敎官元之</title>,<text>有美靑城子。龍門百尺桐。年當英妙日。名重老成翁。蹇劣何由望。襟期也自同。相逢還作別。塵土更塡胷。又幽慵藏姓字。謹拙葆元初。分外渾無事。閒中久廢書。眞堪老草野。敢恨死茅廬。猥荷名公賞。還慚近子居。</text>
<title>戒子婦。兼示諸親戚。</title>,<text>敎爾初來婦。丁寧聽我言。供賓宜酒食。奉祭潔蘋蘩。親黨尤相睦。僮兒更眷恩。徽音嗣世德。期以慶吾門。眷當作庇</text>
<title>次寄友人</title>,<text>早託忘年契。峨洋奏碧桐。憐君萬言手。已作七旬翁。久別疴初愈。相逢酌未同。深期蕭寺會。淸晤豁心胷。</text>
<title>酬元之</title>,<text>年老兼多病。田園遂我初。身心安放浪。世事任乘除。講說言無趣。吟哦興有餘。非君憐埜逸。誰復爲躊躇。又秋夜連床處。深更月上初。感傷當世事。諷誦古人書。遠水傳風響。孤燈照草廬。幽棲眞靜寂。何必訪僧居。來詩。有同游山寺之語。故云。</text>
<title>卽事</title>,<text>蔬菜煩僧圃。瓊粻出學宮。素餐眞可耻。美食有何功。誦讀風窓北。吟哦畵閣東。莫將談笑樂。孤負宿儒工。</text>
<title>次許觀雪 厚</title>,<text>金井桐飄後。山齋稍覺秋。凉陰生遠壑。爽氣洗層邱。林外嗚蟬少。風前颺鷰休。君來當此夕。一笑更相留。又習性從來懶。悠悠廢簡篇。觀魚臨石瀨。行藥度嵐煙。杜酒何辭醉。陶琴不用絃。無心更無事。身外任愚贒。</text>
<title>步趙敎官君實江月亭韻</title>,<text>草閣臨煙渚。軒窓俯遠岑。先邀三島月。偏照一江心。長影分橫練。流光競躍金。中秋最奇絶。淸景浩無潯。</text>
<title>詠懷</title>,<text>屛跡窮山裏。柴門晝不開。蒼苔任滿地。黃葉自成堆。潤屋惟千卷。銷愁欠一杯。徒然安病拙。非是學顔回。</text>
<title>賣老馬</title>,<text>家貧賣老馬。代步歲年深。尙有馴良性。初無蹄齧心。玄黃渾改昔。疲瘦遽如今。終惠吾慚汝。臨風更一吟。</text>
<title>馬答</title>,<text>少來蒙剪拂。惠養十年深。縱匪追風足。常存戀主心。微勞空憶舊。瘦病自傷今。別地隨人處。蕭蕭回首吟。</text>
<title>次姜復泉贈金姪韻</title>,<text>遠別三秋盡。悠悠兩地思。欽君工切實。愧我行參差。命駕違前約。乘春有後期。湖亭逢宅相。對月聽新詩。同夢山齋夜。依然別後思。矯輕願重厚。入德共參差。樗里曾吾過。于郊羡爾歸。此懷言不盡。秋葉更題詩。原韻</text>
<title>示瀑布菴僧</title>,<text>十日春寒苦。幽窓睡足時。靜便酬宿志。棲遁擬前期。紫閣僧居近。陰崖雪破遲。携筇趁姸煖。蓮社拂楊枝。又仙凡元有異。儒釋任他分。秪自耽佳句。相將好古文。何當頻對月。幾欲共巢雲。別後相思處。爐煙夢裏薰。</text>
<title>次沈生</title>,<text>失我知音友。承家喜有公。勃興門必大。騰踏路何窮。交道追平昔。心期擬始終。撫孤還未遂。詩到愧塡胷。</text>
<title>卽事</title>,<text>試入招提境。山深鳥不鳴。溪流幾曲折。峰勢互縱橫。嵐重碧臺暗。月高丹壑明。諸僧更好客。靑眼摠多情。</text>
<title>逢安老 玤。追次先集中贈安韻。以寓感懷。</title>,<text>一別知何歲。悠悠四十年。憐君窮到骨。奈我坐無氊。舊事浮雲外。遺篇淚眼邊。相逢多少語。春日下西巓。</text>
<title>雲門洞</title>,<text>雲瞑山門邃。淸溪幾度橋。波明花簇簇。風軟絮飄飄。樹送奇禽語。巖呈彩翟翹。寥然獨來往。誰會我囂囂。</text>
<title>次元之</title>,<text>籬落春歸後。龍巖躑躅初。期君同蠟屐。獨我釣溪魚。把酒歡無緖。看花興有餘。何時此山水。分作兩家居。又尋眞君未慣。幽賞我從初。幾度思携手。偶然同煑魚。高山流水裏。芳草落花餘。雲物如相待。終期卜此居。沈員外。曾有卜居之約。</text>
<title>寄贈扶蘓友人</title>,<text>聽說朋遊樂。聯翩興不孤。家家頻命酒。日日競呼盧。勝事渾依舊。衰容獨未俱。湖亭高會處。風月憶吾無。</text>
<title>贈趙敎官君實</title>,<text>看書惜眼暗。聽語恨無聰。獨保迂愚性。空成老倒翁。吟哦自悽切。意氣失豪雄。回首誰憐我。秋風更憶公。</text>
<title>寄沈正言 大孚</title>,<text>過從不必早。邂逅則同襟。自顧少餘韻。何能當盛心。雲泥雖遠隔。魂夢每相尋。末路知音在。秋風肯苦吟。</text>
<title>幽懷</title>,<text>披雲架采椽。門外繞層巓。香擁煎茶竈。煙滋種藥田。少人同靜趣。無事伴閒眠。地僻心還泰。休言性每褊。</text>
<title>龍巖醉歸後呈友人</title>,<text>罷酒龍巖夕。西風騎馬來。停鞭愛臨水。拂袖更登臺。不識才三爵。還忘復一杯。殘樽猶在否。洗我送春懷。時友人携酒先歸。約於中路不鏡㙜更酌。而余因醉落後。不能到。故云。</text>
<title>鍊溪宴集</title>,<text>佩壺翫芳物。梅柳小溪邊。山態經新雨。川光媚遠煙。嘉賓何處至。秀句箇中傳。回首詩翁病。窓間正獨眠。有少一之歎。</text>
<title>寄權汝守</title>,<text>一別如弦矢。星霜幾度移。風塵猶滿眼。鬚鬢已成絲。舊事渾疑夢。生涯秪益悲。玉郞歸去處。千里寄相思。</text>
<title>酬沈生</title>,<text>老大轉迂拙。固窮非數奇。放慵常廢學。多病且休詩。豈欲違從衆。其如不入時。君能憐朴素。回躅肯來斯。</text>
<title>贈權靑霞 克中</title>,<text>天下無雙士。高才靡不通。龍門非峻極。鳳沼久澄空。事業隨時至。文章孰爾同。休爲卧江海。學取灌園翁。</text>
<title>呈沈正言 大孚</title>,<text>謝病辭言路。投簪卧海雲。行藏誠綽綽。時議謾紛紛。鱸膾常應設。蓴羹剩欲分。秋風吹遠夢。隨月落西濆。</text>
<title>以牛買馬</title>,<text>老穩牛背跨。病㤼馬鞍騎。胡然將觳觫。却自買權奇。神駿眞堪愛。飛騰豈可期。阿誰知此意。千載道林師。穩一作安。○雲門僧道林。能知馬。勸買此鬣。故末句及之。</text>
<title>窮臘詠懷</title>,<text>墐戶窮山裏。三冬着睡過。病身聊自保。世事不須嗟。臘酒朝開甕。窓梅夜放花。誰知涔寂處。春色滿吾家。</text>
<title>送別成尙圭 璘</title>,<text>倦客來湖外。去家猶遠程。胡爲歲月暮。又作嶺南行。山路層氷滑。江關積雪平。羸驂度重險。瞻望更傷情。</text>
<title>贐權郞好問</title>,<text>夜雨生春意。氷溪水正開。柳煙迷近郭。梅雪映荒臺。江上孤帆去。山中幾日來。臨分無斗酒。貧別更傷哉。</text>
<title>送主簿從叔歸京</title>,<text>奉袂方歡笑。分携意更悲。故知行復別。豈謂遽相離。紫蟹南鄕樂。靑雲北闕期。臨岐頭共白。後會莫遲遲。</text>
<title>送心僧遊頭流</title>,<text>爾向何山去。石門春尙寒。孤雲靑鶴遠。眞鑑翠螭殘。勝境聞名久。奇遊接踵難。雙溪明月夜。回首一長嘆。</text>
<title>過西菴</title>,<text>慣踏雲門北。還迷西崦蹊。松蘿藏洞府。崖壁擁禪棲。下馬尋山路。扶藜上石梯。道人靑眼舊。迎笑慰攀躋。</text>
<title>次宗人勉甫 時勉</title>,<text>同宗復同榜。契分世無鄰。未識氣先感。初逢心已親。那堪論喪亂。各自飽艱辛。征馬何由縶。臨歧愁殺人。曉發龍溪館。來投族丈鄰。分門雖間阻。同系自相親。倒屣開誠愨。論情慰苦辛。依然還作別。長路獨歸人。原韻</text>
<title>錦城陳沙湖 轂。送詩問訊。兼惠海味。</title>,<text>天末相思久。春風有好音。鴈書聯秀句。蘭雪灑幽襟。短髮君休歎。窮愁我更深。珍投何以報。還愧乏雙金。悠悠成獨坐。悄悄戀知音。忽見南來使。因開病裏襟。畸愁吟髮短。別恨暮江深。莫道稀相見。情書抵萬金。原韻</text>
<title>寓嘆</title>,<text>歎息吾衰甚。龍鍾病日侵。當杯無飮興。遇景鮮歡心。素髮從垂領。淸愁任滿衿。多情舊風月。時復引閒吟。</text>
<title>送李友 慶久</title>,<text>白髮誰憐我。靑眸晩見君。衿期元自合。年事不須分。南國梅花落。東亭竹雪紛。功名要及早。看取老耕耘。又一隻霜筠櫛。投君君莫輕。仁言雖未贈。物理可推明。縝密資交義。堅貞勉意誠。淸晨千下處。須憶此深情。</text>
