<title>日 乙酉</title>,<text>太陽全體明。蓋有君人象。品彙莫逃形。恠奇森萬狀。</text>
<title>柴桑行</title>,<text>柴桑在天下。尋常一邨名。邨名顯於世。乃有陶淵明。地遂因人高。高於石頭城。淵明天下士。去官不以微。寄奴握典午。淵明見其機。時人不識心。枉說田園歸。東籬有新黃。南山有晩翠。流水繞亭臯。嘉木向春媚。良友晤芳隣。萬事須一醉。滾滾朱輪客。去作誰家人。寓意桃花源。歎息不問津。無寧在柴桑。生死爲晉臣。羲皇雖已遠。伊人覿髣髴。餘子不足論。飄蕩爲異物。</text>
<title>秋夜。書示直宿都尉。要次。</title>,<text>秋生苑樹風靜。雨過宮簷月明。床上葩經夜讀。林間蟋蟀時鳴。</text>
<title>荷珠</title>,<text>雨過荷葉極光鮮。瀉得明珠箇箇圓。縱使幻眞爲萬斛。秖應收取抵深淵。</text>
<title>題畫扇</title>,<text>江水無風鏡面淸。誰人解聽棹歌聲。蘆花小岸秋光淺。一色遙天晩靄生。</text>
<title>寶劒行</title>,<text>我有龍唇劒。熒然三尺長。黃金以爲鉤。綠蓮以爲鋩。光恠闖時發。斗牛爭頫昂。駕海斬脩鯨。憑陸殪封狼。北顧風塵色。燕山杳蒼茫。壯士一歎息。繡鞘凝秋霜。</text>
<title>堤柳</title>,<text>三月繁華麗景遲。宮堤楊柳碧於絲。鶯兒避雨藏深葉。游女探春綰小枝。</text>
<title>秋思</title>,<text>西風陣陣透羅幃。極目千家半夕暉。窈窕山將微雨過。高低城出澹雲飛。重陽節候萸花晩。四野風聲木葉稀。誦罷杜陵秋興什。參差鴻鴈亦南歸。</text>
<title>敬次肅廟秋夜宸章</title>,<text>禁園新雨後。星露淨高堂。古木秋聲晩。千門夜色長。經書渾自得。鐘漏逈相忘。剪燭天將曙。微吟七月章。</text>
<title>疊歸字寄人</title>,<text>盡日書齋下絳幃。牙床紅帕映秋暉。黃花裛露東籬色。白鴈驚霜北渚飛。滿地江湖塵外淨。迎人詩酒雨中稀。遙知此日應相憶。儻卜他時問我歸。</text>
<title>大雪</title>,<text>玄化參天地。羣生一大包。陰陽隨節變。風雨以時交。遠水寒生骨。深宮暮折膠。玄冥初按節。風伯更承旓。拂石糚鹽虎。飄空鬭玉蛟。白三徵臘瑞。滕六象陰爻。連璐千門逕。裁瓊上苑梢。燭調欽聖德。尺厚認天敎。皎潔凝雙闕。豐穰占四郊。休祥遍八域。歡忭幷同胞。</text>
<title>藏書日唫成</title>,<text>牙籤萬軸列床邊。虛送光陰是蠹篇。復向晴窓勤學業。怳然承誨聖賢前。</text>
<title>瀛果初到。玆送一盤于宮僚。仍求和章。</title>,<text>團圓靈果似仙丹。遠自重溟味不酸。此日特宣知有意。諸君爭取晩香看。</text>
<title>剪秋羅</title>,<text>燕京中貴家。家家剪秋羅。雖合裁衣裳。紅兜奈爾何。</text>
<title>玉簪花</title>,<text>簪花如白玉。照人生輝光。我欲贈美人。迢迢望西方。</text>
<title>偶作</title>,<text>不分淑慝目無瞳。迷滯元來木石同。一點些兒淸粹氣。誰敎存著爾胷中。</text>
<title>登仁王山 己丑</title>,<text>際天嵂屼鎭西山。佳氣長留大地寬。聖世繁華玆境最。弼雲花柳憺忘還。</text>
<title>見武藝。仍拈藝字。</title>,<text>如虎武夫氣蓄銳。升壇一鼓乃爭藝。廣庭沾賞無虛年。分付渠曹愼宿衛。</text>
<title>夜坐</title>,<text>小院淸如水。高寒罨玉檠。吾方存夜氣。人或問時情。簷鐸風來響。簾旌月透明。請看曾氏傳。收效在治平。</text>
<title>贈人郊墅四景</title>,<text>盈輪皓月自天東。十五圓光萬里通。隨意新晴澄玉露。秋聲多在禁林中。東嶺霽月籊籊釣竿溪上磯。斜陽一面照蓑衣。斯翁少媿濠梁客。奈把游魚貫柳歸。西泉漁釣千邨錢鎛告成功。漠漠黃雲四望同。婦孺亦知王化盛。巷謠爭看樂年豐。南畝禾稼蟠根蒼欝臥喬松。萬頃風濤吼老龍。直節亭亭君子比。嶙峋皮甲耐寒冬。北庭長松</text>
<title>鸚鵡</title>,<text>妙解人言若有知。翠毛紅嘴更堪奇。雕籠恰似藏嬌樣。紫袖宮娥較豔姿。</text>
<title>汾水行</title>,<text>元封天子眞豪雄。輪臺一詔牖迷蒙。車轍幾蹈秦之跡。五百兒童浮海中。朝營柏梁臺。暮作甘泉宮。文成五利靑齊客。丹砂赤金爭爲功。有時白雲封中起。天神不應人呼嵩。淸秋簫鼓載樓船。薄言遵彼汾水東。汾水之東夕陽多。平楚漠漠啼霜鴻。岸有崇蘭汀有菊。是何秋聲來四聰。一顧尋聲秋水白。再顧尋聲秋天空。秋水秋天明一色。蘋末蓬蓬秋之風。大江揚靈波濤壯。宸心感慨而反躬。求仙求藥五十載。一朝渙然春冰融。曼倩不語汲子戇。殆乎上天誘其衷。天誘其衷風借便。漢業之昌亶化公。汾晉事與雲水同。</text>
<title>毅皇禮陟之辰。不任風泉之思。聊唫一律。</title>,<text>望拜今朝禮。吾皇陟配辰。神京方鞠草。文物摠腥塵。再造恩無極。千秋感愈新。那堪延詔路。歲歲送行人。</text>
<title>贈人</title>,<text>晴天麗日動遊絲。景物媚人摠可詩。漏永銅壺觀理夜。波淸太液講經時。微醺乍喜茶烟細。久坐還隨鶴步移。悵望春明門外路。思君不見倍吾思。</text>
<title>拈春字</title>,<text>禁苑雨初過。霏微浥輕塵。幽花晴欲重。輕柳暖猶新。社燕來朝日。林鶯囀暮春。讀書宜永晝。問寢每淸晨。劒佩鳴靑瑣。銅壺響紫宸。東皇方育物。聖主又施仁。至化符三古。恩綸恤四民。達朝親庶物。昃日接羣臣。世運逢昭代。天機屬好辰。閒來成小什。賀意更申申。</text>
<title>長城行</title>,<text>天下壯觀嬴秦始。有城屹然延萬里。瀚海之東鴈門北。長虹直跨黃河水。千年爲標華夷界。中國藩籬蓋如此。憶昔秦皇之築斯。關外丁男皆調起。雲中驅石如潮喧。朔南輓芻如雲委。壯者呼杵聲陾陾。弱者運甓行迤迤。此行十去九不返。彼何辜者血相視。征婦歎息出門望。隴上流水鳴不已。於焉牽動英雄志。鉏耰棘矜何姓氏。驪山戍卒倡勇敢。蕭瑟咸陽草萊裏。嗟爾長城爲厲梯。區區地利安可恃。聖人之階只三級。王都之郭亦七里。三級之階七里郭。猶能保有至萬禩。不在於險在於德。秦皇獨未聞吳子。君不見桃花源裏綠髮翁。回笑長城似海市。</text>
<title>鴛鴦</title>,<text>舟隱嶼花鋪塘。鴛鴦戲紋漾。比翼同翺翔。紅裳翠衿媚水中。採蓮歌曲秋夜長。</text>
<title>書齋</title>,<text>春睡矇矇午漏傳。刺桐花發曲欄前。阿誰能解幽居趣。紅帕書廚繞篆烟。</text>
<title>春和亭。敬次肅廟宸章。</title>,<text>三淸仙界饒烟光。時菊偏憐葆晩黃。萬戶杵砧秋思遍。煖爐高燭漏聲長。</text>
<title>無逸閤夜話</title>,<text>彩閣臨花潊。新香一半生。有時瑤瑟語。簷鐸與同鳴。</text>
<title>階蕉</title>,<text>庭苑媚春蕪。綠蕉新葉展。展來如箒長。托物大人勉。</text>
<title>盆松</title>,<text>崛然松一粒。貫四時猶靑。力抵風霜久。爲能視萬齡。</text>
<title>陪駕謁明陵 十二首</title>,<text>金柝連宵繞四營。絳紗燈燭黏天明。重門古制徵羲易。元帥陞壇夢未成。齋衣肅穆到三更。滿苑荷花玉露淸。芬苾園陵將有事。故從前夜亦虔誠。逶遲棧閣上崔嵬。點點燈光萬馬來。夾岸翠松森似束。畿西輦路際天開。法駕遲遲道路長。繡旂風動影蒼蒼。回看雲寢知何處。極目遙天曉月凉。旗脚風微玉露淸。鎭西流峙望中平。野門漠漠連天闊。令箭先廂可閱兵。聖祖龍興實此基。地稱延曙亦神期。南陽白水饒佳氣。立馬恭瞻紀蹟碑。白塔飄然立寺門。人人輒說佛靈尊。衆生塡巷爭祈禱。好笑山僧射利言。擊柝聲長耿未眠。星河錯落逈秋天。徘徊極望桃都曉。萬幕靑烟遠樹連。一抹靑山一抹烟。依依邨聚畫中然。柳邊別有靑帘肆。知是行人繫馬前。禮儀前導贊精禋。祀事孔明聖孝伸。大舜見墻誠僾僾。白雲虛閣入簷新。龍蟠虎踞宅珠丘。雲木千層麗景浮。猶想當年尊濮議。宣陵孝思闡先休。路過園陵小子回。山光欲暮水聲哀。事於丁丑森如昨。十四年光去復來。</text>
<title>詠瞽</title>,<text>兩目冥冥迷黑白。專心一藝却通神。禍福先機能稍解。世間堪媿瞽心人。</text>
<title>送人嶺南 二首</title>,<text>南嶺送君去。行行幾日程。凉蟬生驛路。初月照江城。乞暇君恩大。趨庭綵服輕。歸期知不遠。其奈別離情。今朝分手後。音信合憑書。節早無來鴈。情深有尺魚。遠遊南嶺外。歸夢北辰墟。會面將何日。秋風七月餘。</text>
<title>集慶堂春帖 庚寅</title>,<text>無疆景福荷蒼穹。壽考周王聖德隆。劒佩晨趨仙漏靜。玉樓朝闢彩雲籠。冰霜寒退山河外。梅柳春生雨露中。定有靈籌添海屋。年年此日慶吾東。</text>
<title>會祥殿春帖</title>,<text>節屆三陽吉慶繁。氤氳和氣滿千門。陰功咸仰母儀備。懿範爭稱坤位尊。春入菜盤餘臘雪。香飄梅閤動華幡。比隆千載周南化。鼓舞羣情永不諼。</text>
<title>失題</title>,<text>沁園佳日氣氤氳。壽席和風樂意新。海果香濃留永夏。床樽醅綠慶初春。遐齡定看同龜鶴。佳子爭稱似鳳麟。短軸題詩伸賀語。不妨荒拙寫情眞。</text>
<title>圯橋行</title>,<text>子房遌黃石。黃石乃能語。世間亦有能語石。石能語人知何許。晉家石語楡林塞。師曠聞之長歎息。圯橋老人化爲石。人語石立荒山側。吾知子房精神多。能於所到而透石。子房好談神恠事。前有黃石後赤松。黃石徒嶙峋。赤松卽崆峒。天祿又有靑藜翁。</text>
<title>曉起 以漏一箭爲限</title>,<text>蒼茫星斗枕邊低。簾角風微夜氣凄。喔喔雞聲簷上下。翩翩鶴舞院東西。鐘鳴紫陌千門曙。月傍層城遠樹迷。剪燭虛窓頻把酒。試開華軸一回題。</text>
<title>橘</title>,<text>靈根初自洞庭鄕。珍實團團色正黃。盤出芹宮仍試士。包隣梅閤更添香。芳姿遠涉風濤險。瓊液應令歲月長。講罷三更猶不寐。特頒僚屬共淸嘗。再疊洞庭佳種又玆鄕。十月霜風箇箇黃。海外遙傳千里色。盤中新供一包香。親頒璧水君恩大。每薦丹門聖孝長。瓊實也從南極至。遐齡將享各分嘗。三疊揚州舊貢出仙鄕。萬顆盈盤色尙黃。玉樹應霑淮海雨。金丸猶帶洞庭香。珍包開處淸光合。瓊液流時爽味長。拙語仍兼新果寄。慇懃此日勸君嘗。</text>
<title>拈烟字。示龍湖諸舅求和。</title>,<text>龍洲十里帶蒼烟。萬象爭姸四月天。杖舃閒隨庭鶴步。琴書共伴渚鷗眠。涪江白髮猶勝昔。老圃黃花豈讓前。悵望雲山遙隔水。聊將此意入詩篇。</text>
<title>祇奉肇慶廟神輦。詣津頭祇送。仍唫成一律。庸寓感慕。</title>,<text>義起千秋廟貌張。於休邦慶益無疆。尊先禮擧追三古。報本誠深曠百王。耀日旌旗南土遠。喧天鼓角大江長。津頭俯伏宸思切。臣庶爭傳聖孝彰。</text>
<title>久閟膏澤。雲霓之望方切。何幸一雨三日。慰滿田野。嘻其庶幾。伊誰之力。苟非宸誠所格。天心所眷。則豈有是哉。余不任慶賀。謹賦一律志喜。</title>,<text>朝來好雨下層城。莽莽遙林淑氣生。潤物方知由造化。斂功還覺自淸明。直將一念回天力。大慰三農望霈情。匝域蒼生歌聖德。從看四海樂昇平。</text>
<title>松</title>,<text>綠皮皺剝玉嶙峋。高節分明似古人。滿壑風聲飜巨浪。參天黛色入長春。笙簧自奏添靈籟。琥珀初凝遠俗塵。復有團團山月照。與君淸質最相親。</text>
<title>竹</title>,<text>移得淇園百尺長。飽經霜雪性逾剛。新添夜雨琴書靜。更入微風枕簟凉。解籜時聞聲近檻。放梢初看影依墻。淸姿不欲同羣卉。故傍寒梅閤裏香。</text>
<title>雨後 辛卯</title>,<text>暮雨和雲冉冉收。芙蓉帳暖不知秋。篆爐金鴨渾香氣。數本黃花映小樓。更疊雲晴紫閣夕嵐收。鴻鴈迢迢欲暮秋。繡帕牙籤繽點檢。褰簾終日在書樓。</text>
