<title>偶書</title>,<text>默坐維摩室。凝心靜六塵。春風花柳動。詩眼損精神。</text>
<title>山房卽事</title>,<text>爲靜尋蓮社。偸閑日似年。溪聲添雨勢。鈴語攪僧眠。海遠濃寒霧。林深羃暮烟。此間詩料好。吟就更殘編。</text>
<title>挽李明遠</title>,<text>國士無雙李正字。弱齡芳譽獨專塲。文章曹謝何曾數。墨妙鍾王未足方。纔見興雲又得雨。豈期毁璧與沉璜。峩洋無復知音在。哭送佳城月不光。</text>
<title>和皮日休洞庭春暮詩韻</title>,<text>烟浪微茫望欲平。芳洲杜若照湖明。雲籠巴峽猿三叫。日落君山笛一聲。擧網漁人潭下宿。張帆估客鏡中行。他鄕景物空驚晩。採掇香芹自薦羹。</text>
<title>和浩叔草堂韻</title>,<text>多君小築臨淸澗。藿食玄談轉似僧。柴戶晩烟籠暮景。茅簷晴雪映宵燈。藥留金鼎神光掣。龜伏松崖碧骨凝。屢借寒齋相信宿。共傳眞訣學飛騰。</text>
<title>病卧京中。寄硡之。</title>,<text>獨携書劒客神京。桂玉雖空氣尙獰。城市囂塵身上沒。故鄕山水夢中聽。頭從病久將添白。眼自君離苦不靑。默坐小窓寒日永。試開囊槖舊詩評。</text>
<title>遊海州山</title>,<text>丹崖綠壑盡攀緣。鶴羽寒風颯鬢邊。路入石橋蒼靄合。寺藏岩竇白雲連。淸晨採藥沾松露。靜夜參禪對炷烟。直待他年婚嫁畢。擬成幽竈看燒鉛。</text>
<title>寓興</title>,<text>江村搖落歲崢嶸。苔徑無人獨掩扃。閑愛菊花沾露冷。靜愁梧葉落秋鳴。鍊丹妙訣行當學。炊黍浮名夢已驚。結習漸消唯有累。每哦詩律未忘情。</text>
<title>書懷</title>,<text>短生趍世足堪悲。爲卜田園浩自頤。日射晴窓朝卧穩。月涵虗幌夜眠遅。閑吟紅葉歸苔徑。醉倚黃花岸接䍦。便覺山林容懶拙。雲泉竹石媚新詩。</text>
<title>望海州山有感</title>,<text>憶曾携錫踏崚嶒。萬壑千峯脚底承。夜宿金剛臺上月。朝尋佛足定中僧。山鼯引子投蒼石。溪鳥驚人入翠藤。多病秋來空悵望。暮雲歸盡碧層層。</text>
<title>詩酒</title>,<text>枯骨難霑死後名。只將詩酒寄餘齡。醉看浮詐還淳朴。吟覺淸篇出性靈。夜雨江山成痼疾。春風桃李遣沉冥。可憐憔悴投湘客。空賦離騷肯獨醒。</text>
<title>晩秋</title>,<text>草荒三徑絶人蹤。多病年來萬事慵。戶外晩山明劒戟。江中西日濯芙蓉。黃花欲老淸霜重。紫蠏初肥白酒濃。田舍有時堪養拙。此心應不愧元龍。</text>
<title>遣興</title>,<text>湖海聲名一禿翁。身多災病老愈窮。舌存喜誦伊周業。齒豁羞談管晏功。得喪經心淸似水。榮枯過眼疾如風。生涯寂寞終堪樂。誰羡輕肥世上雄。</text>
<title>宿高山寺。贈誾師。</title>,<text>偶因佳節訪禪林。閑對高僧話宿心。明月江山三五夜。騷人今古短長吟。霽分淸靄生深樹。冷濕商聲響遠砧。更倚危欄吹鐵笛。露松陰下待西沉。</text>
<title>放言</title>,<text>丘壑棲遅乏善名。唯堪慵拙養殘生。藜羹不羡千鍾饗。肉食終危五鼎烹。雕俎加肩非彘願。廟堂藏骨豈龜情。焚香默坐蒲團上。此理雖知誰可聽。</text>
<title>遣懷</title>,<text>鳥雀歸田生閴寂。蓬蒿繞宅阻幽深。衰顔挾酒紅漸頰。短髮當秋白上簪。信有牢愁容萬斛。何曾弊帚鬻千金。少年功力今如此。甘向田園作陸沉。又老疾相尋日夜攻。荒村幽獨笑兒童。他時自許靑雲器。此日誰憐白髮翁。吟苦方知端得瘦。家貧不悔却留窮。少閑多事無如我。種竹蒔花着用功。</text>
<title>夜生書懷。寄姪子老泉。</title>,<text>雪虐風饕歲月催。空山中夜思悠哉。年侵衰疾醫難效。心悟顚狂喚得回。鬢髮緣愁應已白。燈花欺老故頻開。不嫌詩句無驚語。賴有淸尊可寫懷。</text>
<title>後用前韻答之</title>,<text>戰勝胷中鼓不催。何人嘆息覺賢哉。冷殘古壁燈花落。坐到晴窓曙色回。歲晩詩情唯我共。興來談口與誰開。遙將斗酒謀諸婦。遠慰山齋雪夜懷。</text>
<title>寄硡之。兼示結叔士英。</title>,<text>故國消魂記昔年。豈知聲問兩茫然。夢向甘露曾題壁。憶泛西江共叩舷。平世飛騰欣有望。山林枯槁愧無傳。他時車笠如相見。應得衰容萬一憐。又十年湖海夢悠悠。便覺浮生一半休。我已買牛耕谷口。君方拈筆立螭頭。秋千影裏當時興。風雨燈前此夜愁。聞說蓬萊多麗景。題詩莫惜寄溟鷗。</text>
<title>秋夜書懷</title>,<text>風雨蕭蕭冷夜床。擁衾危坐靜焚香。十生九死孤燈在。百病千愁兩鬢蒼。庭樹響殘知葉盡。隣鷄啼罷覺更長。囊空未辦澆腸酒。明日何人問子桑。</text>
<title>偶吟</title>,<text>春寒池閣雨初晴。殘溜懸簷尙有聲。半枕高低千里夢。孤燈明滅一宵情。生涯可托盃中物。枯骨難沾紙上名。江海會應容老病。此心甘與白鷗盟。又平生結習消磨盡。只有詩窮處處隨。學道已知鳴齒缺。謀身自笑畫蛇癡。湖山煙景評濃淡。塵世襟期絶是非。高卧北窓成小睡。悠然魂夢到皇羲。</text>
<title>採菊東籬下。悠然見南山爲韻。作詩十首。寄太一洞草堂讀書硡之，䃢之，浩叔。</title>,<text>幽蘭在空谷。世人不知採。時雨澤深根。翠葉綴珠琲。霜風歲月晩。枯死香不改。楚魂已沉湘。紉佩人誰在。其二元亮性高潔。開逕種松菊。松絃悅虗心。菊香慰幽獨。床頭或有酒。葛巾手自漉。風塵擾赤縣。醉卧不拭目。其三曜靈忽沉西。皎兎復生東。嗟予寄稊米。有涯隨無窮。功名覆蕉鹿。事業食蓼虫。長嘯萬物表。永懷箕穎風。其四常厭世俗士。勃磎爭是非。投名入醉鄕。混沌以爲師。溟鵬負靑天。斥鷃翔藩籬。秋毫與太山。巨細非所知。其五醯鷄遊瓮中。自謂小天下。詎知蒼蒼色。塵埃與野馬。達人會對物。空洞照般若。癡人自獨芒。迷不解三捨。其六硡之學古文。胷中貫九流。詞源倒三峽。筆力回萬牛。相携詩酒社。醉語何謬悠。還應似雙鳥。一鳴驚千秋。其七䃢之有佳句。䟽越淸廟絃。一唱發三歎。怳若御泠然。吾衰百無用。放意壺中天。時復與子遊。快看揮雲烟。其八浩叔眞可人。處囊錐未見。汲古理脩綆。攻書磨鐵硯。茅屋半夜燈。飢眼掣雷電。他年補舜裳。要獻五色線。其九諧中空跌宕。壯志鵬圖南。閱盡古今書。午窓春睡酣。時復索酒巵。大笑狙怒三。行當卧田舍。竹籬看浮嵐。其十雪消草芽茁。海內春已還。風日漸淸美。鳥語亦間關。漢水漲綠波。華岳擁烟鬟。豫備杖頭錢。隨意吟江山。</text>
<title>山中卽興</title>,<text>晩日下蒼巘。新月生淸漪。扶筇坐苔石。弄影心自疑。憶在塵土窟。拘形若見覊。流汗濕垢襪。長隨車馬馳。卽今照溪水。驚非曩時姿。悟此復咄嗟。仰古懷穎箕。</text>
<title>採藥有感</title>,<text>淸晨蠟舊屐。拂袖念輕矯。穿雲覔靈苗。巖洞欝窈窕。五葉玉蔘老。九節仙蒲嫋。斲根盛竹筐。披葛向碧沼。洗泥未云旣。滿骨淸香繞。歸來度千岑。飛步凌高鳥。嚥服松窓底。幽懷寄天表。此道世未諳。神農去已藐。吾欲獻丹闕。倘可濟人夭。</text>
<title>在京時。硡之每就余旅舍信宿。談笑欵欵無已。時余借山谷集於䃢之。偶見桃李春風一盃酒。江湖夜雨十年燈之句。相與嘆其奇絶。還鄕有感。遂取其韻。作詩十四首。寄硡之。</title>,<text>忘機出世網。養病依林臯。呼兒摘霜果。開榼酌松醪。顧影自酬酢。醉到山月高。雖非避秦人。欲種武陵桃。其二晩步向竹籬。尋詩獨徙倚。山靄夕將斂。溪風颯欲起。冥心默自悅。妙在難形裏。君將此中意。往話城南李。其三憶在長安日。唯子與我親。山房雪洒夜。酒肆花雨春。對燈賡妙句。携錢賞芳辰。今來成獨隱。牢落夢頻頻。其四人生本無着。飄飄如轉蓬。偶然一相値。倐散各隨風。升沉自有命。得失向來空。唯有歲寒心。衡岳雪裏松。其五擧世馳名士。外飾中未必。羊質虎豹文。毛落見眞實。君看彼闋者。純白生虗室。但當法止水。庶入寥天一。其六自笑支離者。形瘦骨崔嵬。逢秋新釀熟。邀月強擧盃。露下野菊凈。草濕寒蛩哀。惜無賞音人。幽懷誰與開。其七村家秋已晩。行樂不可後。買魚剝蓮房。殺鷄篘白酒。雖無禮法士。談笑有耕叟。絶勝豪俠窟。雲雨翻覆手。其八性本愛松竹。栽培近幽窓。犀甲與蒼髯。相對若相悾。每逢風雨夕。奇賞怳難雙。擁衾聽孤鸞。欹枕泛三江。其九世俗日汩沒。士行日諂諛。魁然被靑紫。心計劇穿窬。所以樂閑曠。漁釣就江湖。蘄君來過我。笑指鴈銜蘆。其十秋來病侵骨。擁褐坐長夜。草虫響床頭。庭梧隕窓下。念我平生友。論詩薄風雅。天涯各相望。欝欝懷難寫。其十一我愛仲栗詩。妙處逼老杜。雖非封侯骨。一句直萬戶。如今坐塵累。薄俗笑貧窶。何似擁釣篷。共聽鳴江雨。其十二六經出秦燼。漢儒多掇拾。後來鑿垣墻。不復從戶入。但知餔糟粕。眞味誰能挹。我哀斲輪扁。無成年七十。其十三流水咽耳傍。靑山立眼前。炙背坐蒼苔。閑對樵父眠。飢來餐菊英。淸絶勝羊羶。聊歌考槃詩。寂寞送流年。其十四山林與臯壤。使我樂曲肱。䕨蘿作藩籬。猿鳥爲友朋。鋤圃或終夕。理髮每晨興。時尋香火社。靜坐談傳燈。</text>
<title>夢見硡之。起坐書懷。</title>,<text>乾葉走空庭。蕭蕭寒雨鳴。靑燈照竹几。獨眠秋夜淸。夢君山海間。苦語何丁寧。仍携琴與笛。緩奏流水聲。巢山鶴獨唳。蟄水龍亦驚。嘯詠極遐想。暢然各忘情。覺來忽不見。老淚沾襟盈。抽思欲題詩。落月涵窓明。</text>
<title>憶昔行</title>,<text>憶昔丁巳夏五月。暫脫塵鞅尋海山。齋心淸慮涉崖谷。絶境無路愁躋攀。深林渺渺虎豹嘯。陰壑爽籟搖旃檀。力窮困倚石矼眠。流泉洒面飛雪寒。黃昏淸磬響雲端。知有寶坊靑嶂間。行行始討白雲庵。拄杖叩門驚修觀。二三老衲眉覆額。迎慰設茶談玄關。夜深入著道士服。獨禮寒星歸石壇。天明又上佛足峯。長風駕我凌巑岏。西經牛耳東鉢利。南陟首陽窮探還。山中有寺名金剛。形勝獨最宜靜閑。晝採松肪曉汲井。烹煎可堪爲我餐。仙訣釋書與老莊。搜抉異同參究看。庭前老栢有巢鶴。半夜戱羽聲珊珊。長鳴似是求余和。起坐感涕何汍瀾。誓與山靈共幽隱。欲燒鉛汞成金丹。豈料俗緣未盡祛。復落塵土如前頑。况從秋來病纏骨。寸步到如千里艱。何當得受鍊骨法。永結香火依孱顔。</text>
