<title>畫</title>,<text>梅梢老鶴立。顧眄意何如。萬里秋空闊。飄然逸翮舒。</text>
<title>挽李丈 文鐸</title>,<text>憶在童稺日。我遭先君喪。有客匍匐至。慟哭拜靈牀。哭訖摩我首。嗚咽言之長。曰余乃翁友。交誼非尋常。戚以叔姪講。情與兄弟方。黌堂花月夜。荊圍風雨場。隨處共聯翩。往事悲峩洋。說來涕蔌蔌。使我摧肝腸。于今三十載。寤寐猶未忘。夤緣獲出入。粗得窺藩牆。本地旣醇正。餘事兼文章。謂宜享遐福。柰何多乖張。鵬圖失摶遠。螟祝旋遭殤。七耋休云稀。五鬼終不祥。公猶不慽慽。隨分自娛康。樂彼三笑地。蕭灑數椽堂。山靜水更淸。暇日聊翺翔。末俗鮮有知。小子偏仰望。竊喜有考德。默祝享康強。天神竟不仁。耆舊嗟云亡。回首舊林泉。滿目空凄凉。柩前故人子。俯仰謾徊徨。上爲先契痛。下爲小子傷。</text>
<title>送別曲江倅葉西權公 ○幷序</title>,<text>曲江倅權公。莅郡五載。邑民謠誦。又以其崇儒餘化。施及隣境。吾州之士。賴而興起者彬彬然。而樹仁被奬進亦多矣。今於賦歸之日。謹詠一絶。爲道州士悵惘之情。兼叙己懷云。淸流應酌曲江潯。千里歸裝澹一琴。立望行塵同悄悵。隣州人士亦何心。</text>
<title>挽崔進士 天翼</title>,<text>襟懷蕭灑出風塵。餘事文章又逼眞。天畀聦明資聖世。地因偏窄老遐濱。科名得小心還厭。經籍竆深味更新。貧且無兒人莫慽。此翁眉睫不曾顰。</text>
<title>挽李瞿軒 裕中</title>,<text>明活山光秋更好。夕陽回首憶公儀。騷壇闊步曾追伯。蓮籍香名且付兒。人世漸看先輩落。鄕邦不盡後生悲。一聲䪥露摧心處。風詠亭高汶水湄。</text>
<title>挽族叔 觀臣</title>,<text>好箇江山好主人。平生接物見天眞。可憐六八光陰促。行路何心涕滿巾。</text>
<title>敬次湖叟公韻。贈鄭若水。</title>,<text>烏川家學有源頭。忠義傳來板蕩秋。孤城火聳千兵勢。斷麓詩藏萬古愁。却將大樹將軍意。仍作桐江處士流。褒奬聖恩前後降。風聲南國未應休。</text>
<title>挽活山南公 龍萬</title>,<text>山待高人活景明。淸泉白石摠神精。餘事文章傳奕葉。晩年眞樂敎羣英。十目經綸虛素志。六閒身世謝浮榮。門閭慶弔何須說。達識由來已忘情。</text>
<title>次活山南公題先祖殉節事蹟韻</title>,<text>堂堂鼻祖烈。昔我府君承。尺劍衝西浦。冠巾葬武陵。忠心天日皎。義氣秋霜凝。西望君門隔。孱孫感慨增。</text>
<title>旌贈日次館學諸生韻</title>,<text>忍言蛇豕逼京城。退據南邊縱復橫。先祖百年留實蹟。孱孫幾世泣虛塋。泉臺毅魄蒼天格。旌楔恩光白日明。遙望楓墀稽首謝。吾王萬壽共南溟。</text>
<title>次藥南李丈 憲洛 玉院耆老會韻 幷序</title>,<text>乙巳暮春。藥南丈偕四五長老。會話于玉山書院。樹仁叨參是席。沿溪尋芳。盃酒團圝。亦勝會也。藥南丈醉吟一律。索余和之。忘拙謹次。五老三百歲。淸遊一席同。引觴浮大白。攜杖玩千紅。別界忘憂樂。浮生任塞通。仁堂相勉意。卻憶同安鍾。</text>
<title>安幕洞煑蕨會。卽席 二首。○幷序</title>,<text>乙巳夏。以先祖旌閭竪碑事。伐石于安幕洞。吾社中諸員。爲觀是役。兼設煑蕨會。班荊列坐。盃酒團圝。遂忘拙口占。以識一時勝事。惜春春已去。芳草更堪憐。麥氣浮晴日。鸎聲帶晩煙。天慳太古石。人訪武陵仙。滿酌須同醉。塵繮輒易纏。洞在武陵山下。山中眞率會。芳草綠陰辰。煑蕨羞瓊液。班荊坐碧茵。淸談聊竟夕。白酒亂無廵。莫惜樽前詠。玆遊未可湮。</text>
<title>見石工斲石偶詠 碑役時</title>,<text>斲得巉巖用短釘。千敲萬打益求精。由來學問應如是。不息工夫政有成。</text>
<title>次玉山會中韻</title>,<text>春暮溪山集衆贒。風流遠倣永和年。鏗鏘瀑響何須瑟。平鋪臺盤不用筵。景物應爲詩句助。幽懷足以酒盃宣。仙區好會吾無分。其柰匡牀一疾綿。</text>
<title>次地主林公 濟遠 盤龜臺韻</title>,<text>冠蓋紛紛絡一區。鮮知民瘼等閒遊。分明太守如傷意。物外江山到底憂。</text>
<title>憶從弟嚮五 樹福</title>,<text>半世萍蹤已可憐。晩來鱞狀更凄然。嬰孩滿室將誰哺。甔石無儲未繼饘。患難極知相別苦。貧竆那得至情宣。脊令詩句吟哦久。謾倚書牕白日眠。</text>
<title>謹次徐參判 仁忠 贈職慶讌韻</title>,<text>丈夫提劍誓蒼天。十八人中倡義先。氣化虹霓撑北極。身爲保障抗南邊。恩褒泉路增三品。公議儒林待百年。樹立風聲從此大。不須麟閣畫圖傳。</text>
<title>訪安國寺。仍上西菴。乙巳夏。嚮從在幕谷遘疑疾。余與從兄入救。向减後遊歷山寺以紓懷。</title>,<text>笑他奔逬跡。仍得訪禪扉。鸎語淸人耳。花香上客衣。煙霞曾有癖。遊歷可忘機。雪衲高僧在。相留更未歸。</text>
<title>又呈從兄 樹勳</title>,<text>昆季衰年樂。逍遙幷短筇。仙區疑世外。佳節是天中。萬事皆吾分。前程任化工。何時蘇病弟。談笑與之同。</text>
<title>丙午元朝有感</title>,<text>居然四十八春秋。人世光陰水共流。莪蔚平生孤露恨。萍蓬骨肉別離愁。任他分劑蒼天定。羞我經營半道休。衰懶如今宜閉戶。且令兒子免裾牛。</text>
<title>次虎溪書堂韻</title>,<text>天爲閒人限別區。愚溪不妨遠王都。竹園喜聽幽禽語。桃岸恐敎俗客呼。泉石尙依先輩跡。軒楹留待後昆扶。藜筇十里頻來往。滿壑風煙摠慣吾。</text>
<title>次申義士 虬年 行蹟韻</title>,<text>醜類憑凌左海疆。丹陽孤節幷睢陽。血痕草莽留餘恨。氣作風霆埽不祥。九夜潛光公議鬱。百年遺躅野人傷。由來顯晦關時運。早晩天門聖澤滂。</text>
<title>挽孫亨甫 應龜○二首</title>,<text>江湖梅落春無痕。雪裏寒䕺生古根。風撼瓊枝飄葉葉。餘香消歇月黃昏。端陽時節送君歸。黃鳥嚶嚶芳草菲。十里江東雲樹恨。五更殘月更依依。</text>
<title>釜谷煑蕨會 二首○幷小序</title>,<text>去年夏。煑蕨于安幕洞。今年又設是會于釜谷。眞率之趣。一如去年。又吟二絶。雨歇江郊芳草齊。綠陰深處黃鸝啼。山肴白酒優眞趣。天際輕雲日未西。煑蕨烹鮮興有餘。江郊物色雨晴初。年年此會眞奇絶。鸎夏佳辰每不虛。</text>
<title>次權君 昌植 山齋韻 三首</title>,<text>離羣何必訪衡廬。愛此溪山興有餘。滿篋圖書搜古蹟。小牕梅竹護幽居。鳥啼花塢靑春暮。厖睡茅簷白日舒。長在水聲松籟裏。是非人世不聞諸。晩計都將付草廬。蒔花種竹不求餘。林泉可是從吾好。龜策何煩卜所居。山色好看楓欲醉。岸容先訪柳將舒。閒中四序無竆興。爲向斯翁細問諸。三笑遺墟處士廬。縛茅編竹數間餘。柴門晝永誰來往。石榻風淸任起居。枕下幽泉寒更綠。簷端宿霧捲還舒。年來我亦尋閒界。一半靑山欲乞諸。</text>
<title>挽鄭蒙巖 熺○六首</title>,<text>卓爾昆峯行業高。儒林百歲更誰蹺。幸看趾美贒孫在。君子家聲不寂寥。文章餘事未須論。眞箇工夫靜裏存。聞說靑衿相聚語。吾鄕師表有蒙軒。蓮籍浮名在少年。桑楡餘景付殘篇。煙霞洞裏逍遙興。成就羣才樂又全。誰將琬琰薦明堂。卅載林泉鏟寶光。抱負終然歸寂寞。空留殘藁篋中香。高門頻見棟梁摧。魯宇先公又夜臺。獨有白頭常友在。相逢知舊說悲懷。松下年來未問童。自憐蹤跡世憂叢。冠巾邈矣成千古。回首霞岑碧數峯。</text>
<title>不如深閉戶 二首</title>,<text>素性吾虛弱。出門易見傷。暑寒多酷患。風雨或乖常。跋涉勞膂力。驅馳撼腑臟。不如深閉戶。無事對書緗。素性吾恇㥘。出門柰不安。山林憂虎伏。江海畏螭蟠。履險沮神色。臨危凜肺肝。不如深閉戶。端坐整衣冠。</text>
<title>病裏惜春</title>,<text>惜春春已暮。調病病猶遲。紫玉山深處。杜鵑花幾枝。</text>
<title>春日遣懷</title>,<text>西疇宿麥尙遲黃。近日寒廚煙不揚。莫笑吾儂生計拙。淸貧元是士之常。</text>
<title>梅 二首</title>,<text>皎皎淸輝雪裏春。百花頭上獨精神。看來莫認西施白。玉色分明是伯淳。淸臞枯淡隱人流。浮世榮華爾豈求。自是東君憐介節。慇懃用意百花頭。</text>
<title>謾興 寓大朴時</title>,<text>山窩無事坐。天日更淸明。兒隔竹林戲。蟬藏松樹鳴。耕夫埋野色。溪女送砧聲。此地多幽興。欲語卻忘情。</text>
<title>挽徐丈</title>,<text>平生詩酒好風流。第一江山竹樹幽。斜日故亭人不見。晩楓蕭瑟白鷗愁。</text>
<title>次無名翁崔丈 柱泰 暗谷溪亭韻</title>,<text>千秋名顯柳溪愚。何事英靈怨被誣。竹塢長親幽鳥語。苔扉遙隔俗人呼。暗中十目森神鬼。丌上羣編列唐虞。須識日章君子德。工夫只在不欺吾。</text>
<title>吾所居屋子。歲久頹廢。而謀拙未葺。丁未秋。族父進士公鳩材指畫。俾構數架于正寢東。諸親無不合力。纔一朔幾至斷手。聊倣古人屋未就詩先成之意。詠一絶以道懷。</title>,<text>門親憐我老無居。爲結三間小草廬。從此晩年閒養足。明牕靜几好看書。</text>
<title>靑蓮菴。與權進士太初 運標 夜話。占燈字相和。</title>,<text>蕭灑山牕暎佛燈。良宵兼得對良朋。五更興味千峯月。一片襟期萬壑冰。談笑可令忘世慮。詩思不必較才能。衰年漸覺無餘事。甘作人間粥飯僧。</text>
<title>翼日夜。李孟涵 鼎容 又來同話。用前韻以示。</title>,<text>靑眼重開一點燈。山房添坐百年朋。中宵興味淸於水。半世塵愁渙似冰。竆道尙堪安素分。明時還自媿無能。偸閒數日同吾黨。笑殺東坡話院僧。</text>
<title>是夜。又與太初用魚字韻。述懷 二首。</title>,<text>平生空作蠧書魚。神舍荊榛苦未鋤。一部西銘眞實理。擊蒙千古有橫渠。尙父當年去釣魚。鹿門曾亦荷田鋤。丈夫隨處多眞樂。奔走名場可笑渠。</text>
<title>三綱祠奉安日。謹次先輩韻。</title>,<text>何處荒原劒血痕。山河壯氣菀干雲。睢陽只有忠臣蹟。綿竹猶無烈女䰟。爭似一家三節卓。同扶千古大綱尊。旌恩享禮終無憾。光寵非徒李氏門。</text>
<title>朝起見積雪詠懷</title>,<text>朝來推戶見。白雪滿乾坤。安得此爲米。炊煙遍萬村。時歲荒民飢故及之</text>
<title>遣懷</title>,<text>行年今半百。身世儘悠悠。計拙全無事。家貧或寡尤。靜中應有趣。分外更何求。茅屋垂新刱。村童是我儔。</text>
<title>懷友人 回文體</title>,<text>日又日日又日。君思我我思君。極眼望望眼極。雲外山山外雲。</text>
<title>丁未三月。自廵營特念文武科生進之最貧者。給米以濟之。僕亦與焉。笑詠一絶。</title>,<text>平生志業太虛疎。小得科名負我初。荒歲始知稽古力。數包倉粟到竆廬。</text>
<title>見前路走市人馬有感</title>,<text>爲是浦場百貨堆。紛紛人馬日相催。若令趨義皆如是。三代民風可復回。</text>
<title>詠屋後柹木</title>,<text>屋後古柹木。先人手所植。托根幷桑梓。亭亭高且直。陰淸可休憇。實甘可摘食。邇來數十年。空帶憔悴色。風霜謾搖落。鳥雀不棲息。兀然餘數株。摧剝亦已極。老榦尙有。庶幾復生殖。碩果理必回。何爲長惻惻。</text>
<title>次蔡光汝 ▣▣ 墳菴落成韻 二首</title>,<text>雲仍追孝在思成。霜露松楸感易生。堂構百年瞻有覺。祖靈邇處聽無聲。山房夜靜尋遺籍。花樹春深叙至情。堪歎此生纏世累。落筵曾未稱華觥。百年丘墓肯堂成。夙夜應無忝所生。門對松楸時物色。樓宜絃誦故家聲。藏修不爲偸閒計。規畫專由報本情。早晩遊筇尋邃壑。山齋春日酌深觥。</text>
<title>饑歲竆春憶從弟</title>,<text>長時離索已傷神。荒歲生涯柰値屯。鰥屋有無誰黽勉。客鄕求貸倍酸辛。嬌兒索飯聲應苦。稺女憂糧眉更顰。哿矣奠居兼有室。不須長歎老兄貧。</text>
<title>課兒初學</title>,<text>閒中無事業。朝暮課兒書。量力參多少。隨時適卷舒。不憂脣舌弊。惟冀聽聰疏。莫若平心氣。從容善誘渠。</text>
<title>見老翁老婦摘麥 古體</title>,<text>翁婦相攜筐。田中摘麥穗。自言朝未炊。男去西疇事。</text>
<title>東都懷古。和李用晦 養吾 韻。</title>,<text>徐伐雄都陳迹成。至今遺址但傳名。寒星虛照荒臺榭。半月猶依舊郭城。四十王朝人盡去。一千年事鳥相鳴。夕陽孤客遲驅馬。何處風傳玉篴聲。</text>
<title>次金進士 龍翰 韻</title>,<text>一別居然四載餘。逢場握手意何如。壯年易遂團圝好。衰境旋悲音信疎。憐我竆廬纏俗累。羨君淸案滿羣書。佳辰得與良朋話。泥路吾行也不虛。</text>
<title>次成興海 大中 詠花藏幽居韻</title>,<text>數間精舍敵高樓。十里風煙一眄收。千卷詩書閒契活。滿園花竹自春秋。莫嫌人世浮榮晩。剩得林泉景物幽。滚滚冗塵吾未脫。羨君眞趣似丹丘。</text>
<title>次鄭忠臣 大業 丙子赴亂時遺家人詩韻</title>,<text>壯士忘身板蕩時。長歌激烈鬼神悲。忠誠只爲邦家急。行色肯因妻子遲。隻手綱常能自任。專城符節所難爲。千秋不盡英雄淚。易水人還未有期。其遺書。有易水不復還之語。</text>
<title>滯雨客舍遣憫</title>,<text>一雨關人十日連。無端旅舍坐頹然。愁聽屋角懸流聒。忽見源頭㬥浪濺。毋使客心生熱火。恐敎村裏斷炊煙。也應輕發多顚沛。留待天晴道路平。</text>
<title>奉別金廵相 尙集 韻</title>,<text>南土頻年饉。明時每遣公。汶波深 缺 澤。淸閣更觀風。治政光前躅。仁聲溢老癃。藩宣纔半歲。恩譴自皇穹。千里芒轎冷。三庚火傘紅。桐鄕偏落莫。茅屋有悾恫。月課曾優奬。春廵復軫竆。棠陰期永庇。華蓋去何怱。葵悃天應鑑。霆威日豈終。歸情猶憺憺。別意柰忡忡。卻歎虫懸鵠。未堪蠅附驄。願須經濟手。協贊聖明聰。推此一方惠。俾吾八域同。寒蹤長受賜。耕鑿頌洪功。</text>
<title>避暑乘月夜行。和孫肅玉 星岳 韻 二首。</title>,<text>午憇靑林下。黃昏帶月行。炎威那逼爍。心氣自澄淸。瀅淨看天色。潺湲聽水聲。不須竆夜興。且待曉光生。苦待隆炎熄。乘昏幷轡行。月華同晝白。夜氣勝秋淸。幽咽草虫語。驚飛水鳥聲。看看村店近。燈火隔林生。</text>
<title>季夏望。來到墳菴。權君太初見訪。仍吟一絶索和。</title>,<text>六月紅炎擁小齋。衰翁懷抱鬱難開。故人適與淸風至。起坐推牕爽氣回。</text>
<title>奉呈八峯李丈 憲沈○三首</title>,<text>無極太極非兩截。不容分別後先評。也知周子言無意。祇恐人間認有形。卻把有無分作二。伯陽談道入荒唐。慇懃辨說開來學。千古眞儒有紫陽。一毫一息無空間。太極先天更後天。若道晦冬爲太極。其無太極晦冬前。</text>
<title>見童子捕蟬</title>,<text>飮露蛻塵殼。深棲在碧樹。祇緣聲聒聒。見捕童子手。</text>
<title>挽權丈 爾鳳○三首</title>,<text>契中人事變滄桑。先輩年來次第亡。哭盡公家伯仲季。如今誰復丈人行。早謝荊圍結草廬。呼僮耕野課兒書。尙平至願終難遂。千古泉臺恨有餘。親忘異姓契忘年。咫尺村庄杖屨連。卅載人間瞻仰意。秋風垂淚立荒阡。</text>
<title>夏日北牕。對客詠淸風。</title>,<text>蕭然茅屋日長時。客至元無可療飢。賴有淸風當好饌。餉君終夕自忘歸。</text>
<title>次商山祠奉安時韻</title>,<text>綠林㬥客亦聞知。高士風聲下世師。山爲綺翁傳舊號。人思孺子起新祠。一生忍默存心事。二字睡聾想德儀。從此南鄕崇祭社。九重恩典更何時。</text>
<title>戊申元朝。五十吟 四首。</title>,<text>五十無譽與衆同。平生志業已成空。雖然五十猶非晩。九十而箴有衛公。伯玉行年五十時。能知四十九年非。莫嗟五十吾年老。四十年非細細思。童心依舊我無知。五十知天敢自期。惟是貧竆驅不得。吾無柰矣且安之。重華五十慕猶深。大孝終身赤子心。忘卻劬勞吾未報。鬢邊秋色已相侵。</text>
<title>贈金正郞 復仁 行中 正郞忠州人。卽泮中從遊之舊。而別後登大科。又爲蔡樊巖伸救疏。名動士林。時適南遊來訪。而時余病未得送別。以詩贈行。</title>,<text>芹宮一別幾年經。匹馬行裝春日淸。溟海忽驚鵬已擊。朝陽爭賀鳳先鳴。炎凉向背羞時態。山水東南適素情。憐我匡牀違送別。紫溪煙樹恨難平。</text>
<title>病疽詩</title>,<text>此生多疢疾。如何背又疽。男陽氣屬背。𧖴絡皆關於。轉側自不任。回顧那得視。叫伏在匡床。暗暗思所致。人言積忿懥。往往祟此病。亦云血或滯。毒氣乃所硬。自顧無怨怒。直緣失調攝。卻憶初發時。微細如粟粒。不覺一搔爬。手爪還自傷。是時數點灸。消毒可無妨。不忍一時苦。馴致漸成腫。粟粒變柹子。濃爛不堪痛。治方百其端。取舍令人惑。隨聞輒欲試。無效還肆毒。莫如愼所聽。良餌收十全。推思世間事。所忽多生瘨。滔天自涓流。燎野起爝火。曷若愼厥始。防微絶其禍。苟憚暫時勞。細憂終自大。救患亦多方。輕信還有害。誰知一背腫。堪爲世患戒。作詩聊自警。庶免他時悔。</text>
<title>閉門</title>,<text>閉門緣一疾。能得靜而虛。只惜春光謝。不妨人跡疎。假眠須短枕。消寂有殘書。習此如成性。何曾羨隱居。</text>
<title>贈族弟道叔 樹敏○二首</title>,<text>毒瘡與毒感。同病倍相憐。尺地還千里。三旬便一年。良辰春欲暮。淸夜月方圓。此際無聊意。沉吟坐兀然。病魔偏作苦。衰老更堪憐。虛度重三日。無聊半百年。藥包須擺脫。花樹共團圓。分劑知應定。何爲慽慽然。</text>
<title>經霖客舍。歸路入東江書院。</title>,<text>強穿泥濘路。來上濯淸樓。雨後江山興。憑欄對白鷗。</text>
<title>挽李定叟 憲鎭</title>,<text>滿庭梅菊滿牀書。料理茅堂樂有餘。人事滄桑容易變。忍看他日草生墟。</text>
<title>病起惜春去 二首</title>,<text>騷客病纔蘇。江山春已去。惜芳無限情。林鳥向人語。莫嫌春色去。晩興亦堪誇。軟綠淸和節。勝於紅紫華。</text>
<title>入玉山敬玩遺跡。有詠 六首。</title>,<text>莫以觀魚處。認爲濠上遊。天淵無限趣。應向此中求。右觀魚臺澄盤明似鏡。雲日共徘徊。靜裏尋源處。看他活潑來。右澄心臺世人一點垢。不染幽人纓。猶向碧溪上。朝朝濯更淸。右濯纓臺識得盤銘義。臺名乃可知。洗心猶浴體。日新又新之。右洗心臺昔年龍臥處。巖闢自成湫。未作商霖恨。石泉鳴不休。右上龍湫下湫深幾許。俯瞰惴心思。幽獨戰兢意。須看百尺危。先生詩。有曰幽獨危微倍戰兢。○右下龍湫</text>
<title>五月初。共客入玉山。</title>,<text>來此溪山不厭頻。百番尋玩百番新。行穿綠樹當湫坐。便覺胷襟滌舊塵。</text>
<title>遣寂</title>,<text>衰年何所事。長日苦難消。未習田疇役。不關城市囂。酒盃非素嗜。碁局尙無聊。案上詩書在。猶堪遣寂寥。</text>
<title>寓中謾吟</title>,<text>擺脫塵繮強入山。入山三日破愁顔。誰知癘鬼鴟張處。驅遣斯翁反得閒。</text>
<title>喜晴</title>,<text>十日陰霖苦。今朝霽景鮮。千山開宿霧。萬里豁靑天。得意高低鷰。和鳴遠近蟬。定知當夜月。光彩倍嬋娟。</text>
<title>挽李孟涵 二首</title>,<text>詩禮家庭豈弟人。可憐埋沒北邙塵。浮生半百猶非夭。其柰高堂八十春。黃髮垂垂獨倚門。悄然猶待問晨昏。爲傳贒季多方慰。莫向庭前帶淚痕。</text>
<title>挽李參判 憲默○四首</title>,<text>故家玄胄兩朝臣。三達俱全五福均。今日哭公無限痛。楓墀誰復老成人。靑年高策駟騑騑。歷覽中州萬里歸。移得薊門煙樹闊。雲衢步步坦而夷。由來貴不與驕期。貴到那時驕自隨。佩玉頂金榮已極。人言公似布衣時。從古箕都粉黛場。男兒到此少剛腸。春風五馬西遊處。無數江花謾自香。</text>
<title>挽李進士大集 鼎勳</title>,<text>名家八葉士林秀。詩禮餘風不寂寥。雅趣幽蘭香馥馥。淸儀瘦鶴影翛翛。人間名止紅蓮籍。驢背吟高白雪橋。汶上淸遊誰與共。可憐明月透寒寮。</text>
<title>重五日。權正郞益謙 應範，崔正言仲蘊 璧。要不佞與吾進士族父。作玉山遊。一宿而還。聊吟一律。</title>,<text>好是天中節。攜朋到玉山。行穿林影嫩。坐帶水聲潺。塵世曾無暇。仙區暫得閒。高樓淸夢罷。日晩遲遲還。</text>
<title>訪東山孫丈 升九。翼日爲雨阻。更留一日。</title>,<text>偸閒三日訪詩仙。惜別明朝意惘然。賴有天公知此恨。滂沱好雨小留連。</text>
<title>挽徐舜甫▣▣ 二首</title>,<text>俗態滔滔競外華。如君醇質世無多。偏嫌福善難兼美。多子而康壽未遐。長憶君家近洞天。有時䰟夢水雲邊。他年短策尋眞路。松鶴爲誰報客先。</text>
<title>挽李丈 鼎宅</title>,<text>故家常棣並聯芳。眉白風儀見最良。詩禮自來傳軌範。聰明元是出尋常。科名有數歸年少。亭趣無爭遣日長。望重儒林稱巨擘。運衰門戶惜摧梁。人間未闋三年制。地下應隨仲氏藏。忍見諸孤垂血淚。空餘二弟割肝腸。平生虛擲桑蓬志。畢竟同歸草木場。稠疊一堂贒從慽。寂寥吾黨丈人行。六旬未足爲仁壽。三子須看積善昌。哭送靈輀重九節。階前殘菊爲誰黃。</text>
<title>挽族叔 翼龍○二首</title>,<text>武班儒者味。今世古人流。跡阻靑雲路。身閒白鷺洲。塤篪平日樂。鰥獨暮年愁。未與孤孫訣。九原餘恨悠。吾宗百世親。南北若干人。族鮮情冞篤。居分意更新。先行凋欲盡。後死痛無垠。寥落古亭在。徘徊涕滿巾。</text>
<title>兒病</title>,<text>無端兒子病。難狀乃爺心。獨木橋邊過。千尋壁上臨。猶甘分苦痛。那忍見呻吟。念昔吾多疾。貽憂父母深。</text>
<title>挽權丈 爾復</title>,<text>耆老嗟無幾。鄕隣賴有公。沉凝長者度。醇質古人風。俎豆追先孝。芝蘭種德功。遽然天不憗。誰復眷愚蒙。</text>
<title>庚戌元朝遣懷</title>,<text>冄冄光陰半百餘。今朝又是一年初。生涯淡泊三間屋。志業蹉跎萬卷書。人世幾多崎險路。天眞須葆等閒居。年來老漢都無事。時對迷兒卞魯魚。</text>
<title>吟示李童君實 二首</title>,<text>愛君聰慧夙成才。齠齔離庭負笈來。始覺人師爲患大。庸工無乃誤奇材。學業須從幼少年。淸流豫導出山泉。區區章句還餘事。童子眞工灑埽先。</text>
<title>尋道德菴。翼日遇雪。</title>,<text>竹杖尋春春尙早。山中未見一枝花。天翁嫌我詩情沒。頃刻能開萬樹葩。</text>
<title>懷忍窩族父 述贒○時以事在京</title>,<text>千里經冬又半春。望望懷思定酸辛。卽今世路羊腸險。須早歸來好覲親。</text>
<title>聽村翁話舊</title>,<text>黃髮老翁坐落暉。向人能說少年時。眼前人物渾遷變。惟有靑山是舊儀。</text>
<title>挽李審窩 敦中</title>,<text>詩書傳祖業。聲譽自齠齡。笑言人不厭。詞章世並驚。五旬纔免夭。三子未俱成。最惜邙山路。凄凉處士旌。</text>
<title>挽李小峯 憲銓</title>,<text>風韻寥寥古審軒。庭傍玉樹一枝存。靑氈有譽能傳寶。白璧誰憐又抱冤。暮境旨甘應不樂。終天血淚尙餘痕。年來雲樹無竆恨。新起何山數尺墳。</text>
<title>省先妣墳塋</title>,<text>一訣慈顔四十年。夙宵心目每依然。不惟大孝終身慕。孤露人間血淚漣。</text>
<title>摘新麥</title>,<text>老妻攜筐立。摘麥後園田。欲待齊熟取。數日柰如年。所媿爲家長。生計太屯邅。猶爲勝未炊。相對且怡然。</text>
<title>白沙崔公墓道竪碑之日。後孫翰汝 柱範 有韻語。追聞和呈。</title>,<text>鄕先生可祭於社。沙老吾知其在斯。一家爲政常行盡。盛世求忠異數宜。儒林矜式寧無地。香火尊崇合有時。子姓百年不匱孝。須看墓道起豐碑。</text>
<title>乞梅</title>,<text>蝸屋新移杜巷西。老夫端合寂寥棲。交遊已向人間息。卻憶西湖處士妻。</text>
<title>種梅後次權翁韻</title>,<text>竹君本與梅兄隣。霜雪高標總可人。寄語竹君君莫怨。明年取醉待佳辰。</text>
