<title>郭天初。見惠盆菊。寄示以謝。</title>,<text>遺我一枝菊。不啻千金贈。感此故人意。愧我空手應。</text>
<title>人有惠鸚鵡盃。頃刻見碎。爲賦一絶。</title>,<text>得失由來自一時。成亦復在安危。狂歌白首猶歧路。天意應伸止酒詩。</text>
<title>次石洲回文詩。寄趙休休兄弟。</title>,<text>風回暮壑重雲暝。眼着遙飛倦鳥雙。空舘旅懷開嘯詠。窮途慰得近淸江。						醉着靑州一夢昏。黃粱未覺別乾坤。最是空庭微月好。爲要騷客共梅魂。</text>
<title>贈別金陵倅 呂爾載。以官舍衝火之變。棄官。</title>,<text>金陵終古火灾多。折頸窮刑自有科。拜叩反風還被惱。欲將霖雨入謳歌。</text>
<title>寄庶子六三 丙戌</title>,<text>屈指今晨十七回。可知人事自相催。不須詩禮能傳業。枚叔猶稱一代才。</text>
<title>失其題 二首</title>,<text>江海交情合衆流。小村依岸俯長洲。人間除是無餘勝。含笑區區浪遠遊。						尙書風度國人欽。軼蕩湖山自在心。不佞從前進詞賦。濟川須復勖臨深。</text>
<title>挽</title>,<text>一女能傳衆所嗟。老成賢德幸全家。諸孫擁綍歸先壠。千古歡心並蔕花。</text>
<title>挽朴輖</title>,<text>白頭湖海布衣居。萬事優游一榻書。常日去留人莫曉。可憐高躅混鄕閭。</text>
<title>寒食。祭亡子墓。遇雨。</title>,<text>有情無情不自知。似夢非夢我爲誰。一溪烟雨依微裏。血淚殘花兩鬂絲。</text>
<title>次李相國白江韻 敬輿</title>,<text>頭髮如霜眼眩花。自憐衰骨已成楂。卽今萬事都無念。勉着依違保自家。													附元韻						千里江南二月花。獨憐梅萼映孤楂。今來月出山前路。羞過西湖處士家。</text>
<title>寄李相國白軒 景奭</title>,<text>去來如夢夢中身。身在靑雲眼未眞。諳得前秋漁市樂。至今芳臭滿衣巾。</text>
<title>無題 二首</title>,<text>梅花滿發擁籬明。竹栢紛紜橘柚靑。濁酒一盃蔬一箸。百年聊慰老夫情。						進退優游得失中。紅塵空惱白頭翁。秋蓴嗜得非吾願。時把琴書向北風。</text>
<title>主簿叔父改厝時。作 入壙中。</title>,<text>孤塚今將六十年。爲便同穴卜新阡。從孫繼述由賢姪。月篴湖山共後先。</text>
<title>次白江韻</title>,<text>狂歌當日笑知津。釋褐曾經四十春。客裏更添雙鬂白。強將詩酒與爲鄰。</text>
<title>漢江留別白軒李相國 時相國寓漢上</title>,<text>漢水滔滔日夜流。行人幾箇問橫舟。一杯更覺江湖路。含笑年年苦去留。													附次韻						萬古滄波不盡流。白鷗洲畔一漁舟。秋風別思還無限。君向湖南我獨留。</text>
<title>泛舟磨洗浦。因向永保詠懷。二首○幷小序</title>,<text>元是求羊亡羊。誰非失馬得馬。百年樂此行休。萬事任他物我。						村酒溪蔬多少。長歌短舞後先。薄遊水南水北。更向山後山前。						己巳十一月除正言。發行到公州。有疾。辭狀還歸。留高敞。道聞除修撰。仍遷校理。纔遆。復除修撰。庚午正月。來住靈巖永保。病少差。適遊樂浦牛島。舘吏來留數日。病未能登遠途。辭狀得遆。</text>
<title>遠遊戱用數字</title>,<text>誰無寸進尺退。空惱百憂千愁。七里三逕何處。薄遊四海九州。</text>
<title>偶吟</title>,<text>出處皆容易。謀生着處難。三年身就暇。萬事意猶團。幸忝琴歌側。頗遊水石間。連宵顚倒興。忘却二毛斑。</text>
<title>阻雨因得暑症</title>,<text>久滯孤村雨。覊遊轉見愁。腥臊仍瘴癘。澎聒雜啁啾。征路添衰病。僑居少問酬。幾時歸㢢屋。閑坐話淸秋。</text>
<title>寫懷</title>,<text>六十已過半。此生能幾何。窮通固在彼。榮辱非由他。已矣平生志。歸歟漁父歌。獨醒非我願。有酒也宜賒。</text>
<title>又用前韻</title>,<text>大運至於此。孤芳無柰何。初心猶自保。晩節豈由他。政合騷人詠。幾多志士歌。一罇幽閒裏。歡緖暮年賖。						又						已矣時將晩。嗚呼今柰何。安危不足慮。得失付諸他。滿酌山中酒。孤橫世外歌。頹然日日醉。未覺百牛賖。</text>
<title>失其題</title>,<text>高門今有託。宿昔願無違。端嘿非常士。文章是德徽。處深名已著。才大迹猶微。遲暮相從志。風塵又別離。</text>
<title>詠懷</title>,<text>山海一閑人。是非都忘者。遨遊雲霧間。放曠茅茨下。啚書常靜看。桑麻時穩話。峩洋自有趣。休恨知音寡。</text>
<title>朴南原 濠 大夫人挽</title>,<text>懿範仍高閥。慈仁內外推。金泥曾貴顯。玉筍遆甘胹。極壽終無恙。諸孫各有兒。新阡亦桑榟。千里慰遙思。</text>
<title>喜雨</title>,<text>玉食猶肥瘠。安危察歉豊。甘霖一犂剩。至澤萬方同。田野忻忻日。軒墀習習風。小臣歌聖德。爲政本於農。</text>
<title>悼亡弟。呈玄洲座前 二首。在本行錄</title>,<text>[本文缺]</text>
<title>詠鴈</title>,<text>萬里孤飛鴈。胡然感我神。稻粱非不足。鷄𪅙亂爲隣。輕度瀟湘月。歸尋渤海春。飛鳴宜擇所。矰繳㥘傷身。</text>
<title>挽趙磼</title>,<text>屢接言辭際。因知出衆前。誰憐小資地。本欲老耕田。少壯還爲累。危途強着鞭。方嗟經困苦。豈料復沉綿。一女纔髫。雙親已暮年。丁寧臨絶語。哀慟徹重泉。</text>
<title>占風鐸 課製</title>,<text>公子當時雋。豪華孰比隆。耽歡因痼侈。闘艶各爭工。最愛堂前鐸。和鳴竹上風。金聲淸更遠。玉影渾相融。靄靄烟生礏。嚶嚶鳳下空。高低隨遠近。徐疾占雌雄。逸響添吳管。悲音助蜀桐。靑雲羅幕逈。白日燕娛窮。佳勝元無主。奢華孰有終。向來歌舞地。蕭瑟只寒叢。</text>
<title>歎世 演雅體</title>,<text>蠅營悲衆集。鴟嚇歎羣趨。挾駿耀承寵。聯貂擅啓謨。要權潛虺毒。騁舌噪驚鼯。鵰鶚恣瞵瞲。豺狼任覬覦。塩箱久驥服。金轂竟駑輸。鯫瀆沉蛟子。鶉巢縶鳳雛。赬魴屬有亂。黃鳥柰非辜。賦燕傷當日。瞻烏泣暮途。鵲飛能擇木。蛛隱尙安軀。籍狗宜吾誡。鵬摶願一啚。</text>
<title>蟻戰 課製</title>,<text>卜日初開壁。縱橫對陣圓。徐行有曹伍。齊顧若周旋。悉擧鳥衣國。高揮白羽扇。磨牙誰敢後。奮臂各爭前。餽餉勤相續。城池戒罔愆。雌䧺猶未定。成敗亦無全。松栢淹爲客。鄲邯暫着鞭。諸王皆北沒。一馬幸南遷。坯下通幽顯。沙中較後先。白茅封界域。玄化愜陶甄。有是君臣義。能專戰伐權。興衰與生殺。此理認天然。</text>
<title>謝林太守東野。贈詩演雅體。堜。</title>,<text>比日添微𧏮。幽居效縮龜。案開堆蠧顆。簾捲擁蛛絲。魚鴈差踈節。鉅蛩幾費思。紆餘琴鶴趣。婉戀鷓鴣詩。蝺畫纔披牘。丰容宛接眉。飄然迷鵠鷺。欝爾挺熊羆。可笑蜉蝣撼。何殊燕雀知。追風猶受筴。吐綬勉爲儀。蠅附嗟何幸。驢蹄每自疑。鵬鷯還異樂。未必較蚿夔。</text>
<title>次前韻。再呈。</title>,<text>已售山鷄舞。何嫌太廟龜。展禽恭守柳。墨翟謾悲絲。得馬誇吾有。求羊惱爾思。幾逃鴻翥迹。誰賦燕歸詩。蠻徼纔延頸。龍顔久攢眉。不難求衆雀。政合逞孤羆。鳧鶴寧無辨。豕魚信自知。似聞蛟鰐避。佇看鳳凰儀。益辦牛力伎。休煩虎市疑。蚩蚩眞可畏。履薄更夔夔。</text>
<title>戱示踈庵澤堂玄谷雪汀諸賢</title>,<text>聞說江東去。鱸蓴若有期。聦明稱子建。氣槩美當時。李白才爲累。任安義不移。四夔超地望。二妙踵風儀。遲暮甘漂泊。乾坤任是非。諸儒倘相引。子愼試摳衣。踈庵任叔英，澤堂李植，玄谷鄭百昌，雪汀曺文秀。皆寓畿東上流。與韓，金二人。相從。</text>
<title>仁祖大王挽</title>,<text>大度元天地。玄猷叶至神。中興光振古。上國眷維新。離合誰能料。弛張幸復伸。省吾方軫念。貽厥更勞身。奄忽尋常日。蕭條九十春。白頭恩未報。眥血滿沾巾。</text>
<title>次韓孟同宿聯句韻 辛亥</title>,<text>時分議駁言。朝溷邪潤譖。鼠社釀陰孽。蟻穴滋大侵。馽籠盡鵷鸞。乘軒是梟鴆。金銀恣施轂。㼶肆高枕。肉食默無慮。廊廟竊自任。連貂擁丹瑣。騈舌閙紫禁。朋儕締墀廡。姻婭作庥蔭。賞戮在指顧。榮辱隨呿噤。排常蔑彜紀。發恠逐幽讖。操爵代賄貨。射利劇墆賃。王綱忽自紊。國脉久已滲。旅䆠顧何心。石泉歸可飮。我懷自優瘠。世道任祥祲。賢路擴長騖。聖閾杳高闖。義田苦當鋤。盜泉死不沁。交游極恢放。談話休噎喑。好是一家樂。百秊安耕紝。</text>
<title>題路傍惡石 丁巳</title>,<text>頑怒屈律。奮屹跨絶崿。橫戛造化力。回斡搦坤輸。磅礴復嵂崒。磈以屼勃。蝹如毒龍蹙。藏牙頸額顣。狺若彪虎拍。踠足跧將躍。孟獲蓄勇哩。獝狂砲厲畟。獰松揷其缺。森豎射毒烈。蘿攀拳還跼。棘挐臃怨酷。老苔色燋熄。資溫淹晷刻。軒騰仡首曝。紆喙俯幽瀆。富媼逼威服。陽侯俟命伏。噴湧激洄沏。振疊合踊踔。遠覿猶玃踧。近之眩奪目。六鼇進還却。秦鞭力遂弱。女媧汗失琢。夸娥怯違攫。百靈懔囚舌。不敢薦劖劚。隱然恃陰慝。偃蹇冒忌觸。吁哉肇二。積集滓戾埴。玄工惡秘迹。故煩路傍擲。醜惡衆所嫉。神意了可測。嘲戱題爾腹。有言勿我瀆。</text>
<title>挽柳參判 春發</title>,<text>早忝戴侯眷。久欽河東胄。信是傑魁人。全才世罕有。况仍先王父。䧺啚有受授。平時崔柳魁。至今騰衆口。李廣竟無功。放翁漸衰朽。風塵一飄蕩。萬事空回首。人生復幾何。盃酒貴在手。蒼鷹夜歸獵。白雲遏晴晝。開襟向北風。俯仰倚南斗。富貴祗此足。誰能兼上壽。幷州亦吾土。松栢欝已茂。季也固至孝。百秊常在疚。水土倘不宜。厚薄有前後。遷防禮之變。合祔寔遵舊。蘆山仡神秀。龍壑祥光湊。近境着遺惠。吏民懷杜母。湖亭尙巍然。丹雘依故峀。歷歷鍾王筆。悽悽武陵句。千秋舡兩旗。來去任左右。華綍過舊閭。隣里擁鷄酒。易戚俱得宜。攀號騈子婦。獨滯荊巫卧。深愧幽明負。強疾寫哀詞。老淚沾兩袖。</text>
<title>挽朴察訪 弘先</title>,<text>貧乃士之常。席門非我羞。富貴實在天。聖智莫能永。憂患世固有。達人任自由。榮名聳遐僻。豈非一時休。學黌及行郵。出入頗周流。五福一曰壽。享世八十秋。有子有諸孫。華綍就故丘。西湖梅鶴勝。烟月倘來遊。雪涕寄短詞。聊以慰九幽。</text>
<title>次石洲韻</title>,<text>回風一何急。衆芳倐已盡。悠悠音信遲。亹亹情愈緊。尙幸枉詩丸。况復兼筆陣。遊龍弄牙角。雷雨迭奮迅。不獨金篦刮。足破時月吝。智勇俱蕭索。天地一兵燼。冠盖藹相望。倘問屠中隱。薦賢固能賞。河外誰取儁。得失且休陳。進退敢自哂。千秋蹈海言。凜凜氣猶振。</text>
<title>失其題</title>,<text>吾道非無樂。漫浪空玄間。苟有片言悟。便是一般閑。城市得上師。况復開歡顔。飄飄九霄翮。一擧誰能攀。閱盡平生迹。履歷何斑斑。暫陳淨洗源。可使回心肝。久疾添暮景。曉焰看已殘。驚起撫行鈸。了了月出山。九仞須一簣。有始豈無端。俯仰山川異。回首空咨歎。</text>
<title>除正言。承召到公州。感時詠懷。</title>,<text>祗召促星駕。奮袂就北陸。軒騰越巉巖。怳惚冒瀾澳。積痾憂內鑠。強顔酬耳目。俯仰異狀候。顧眄生跼踧。晴赮羃正陽。寒鳥噤已蹙。沉響殷窮蟄。厚壤回九軸。陰雲欝不開。虐飈岌崖谷。長途百虞積。歲暮欲安適。錦水淸且漪。下有蛟龍宅。蕭蕭南飛鴻。萬里飄逸翮。所懷不自由。回首撫曩昔。</text>
<title>呈病。自公州還歸。</title>,<text>驚波飄沙礫。白日翳窮峀。天色寒靑蒼。歸雲行復輳。啾啾林間雀。翻飛求匹偶。撲撲城上烏。喧棲夜深後。我行亦旣勞。解衣倚小牖。擁爐且促燈。更借主人酒。自酌還自飮。三盃已昏瞀。頹然就枕席。憂樂復何有。紅日照東隅。驚起顧左右。僕夫催前途。喧譁急趍走。勞逸在須臾。行止誰受授。錦水何悠哉。高謌爲回首。</text>
<title>述懷呈澤堂</title>,<text>庚午三月。除修撰。辭狀未及。遆移授正言。四月。上來肅謝。翌日呈告。又移授修撰。呈䟽不得遆。因出謝。入直數日。以病出來。因呈告。																			受性本孱懦。仍疾更銷鑠。針砭逼殘骸。神魂久已錯。自知百無用。固合死寂寞。平生潛伏意。隱然有內着。不料踈遠地。重曁天恩綽。虗名竟誤人。顧念心每怍。論思須博通。豈容冒糟粕。諫官非常品。宿昔欠謇諤。干戈日月急。萬慮雙鬢㿥。伏枕且客居。隨處䆠情薄。况復暑熱酷。肺氣添內爍。靜躁旣殊途。問訊看漸畧。幸賴吾賢伯。時許參酬酢。罕聞靑雲貴。降迹眷窮約。庶幾艱難際。戮力共弛彍。存亡宇宙內。俛仰俱蕭索。餘齡亦自料。驅馳此何樂。回首大江南。積靄消澄廓。我馬玄已黃。投策思整屩。百秊蓬蓽間。猶甘就消落。是非信行藏。得無近妄作。垂老會面稀。強吟叙今昨。庚午季夏。辭遆南歸。</text>
<title>次澤堂韻 庚午四月。丞召上去。七月。歸靈巖。九月。澤堂寄古詩。因次以付。</title>,<text>城市適爲客。宿昔愛郊扉。舊室閴以寂。破竈只蛜蝛。久留欲誰須。佳期胡不歸。小園秋更好。叢菊耀苔磯。入門見歡笑。稍知家道肥。豈無一尊酒。塵絃且復揮。顧眄向親朋。意氣縱橫飛。多病迹仍休。何論是與非。悠悠蓬藋間。餘生足布衣。</text>
<title>感歎</title>,<text>我門初豈微。舊族頗有奕。于今寄海曲。流離轉蕭索。由來貧賤地。丈夫亦踧踖。早秊固不密。襄世遽投迹。常情少拯濟。久客足讒謫。艱難覺備甞。遲暮悲懷迫。浮生能幾何。貴賤各有適。歸哉妻與子。終老守窮僻。苟得一心安。猶甘行伍籍。</text>
<title>洛行</title>,<text>屈指別京日。于今已四秊。朝家尙未靜。兵甲且句連。旣歸可已休。此去有誰牽。進退固無營。行止當自專。悠悠每征途。衰疾驅馳騈。哀哉人間事。咄歎空爲憐。</text>
<title>病中偶吟 壬申正月。除修撰。以病辭遞。</title>,<text>久疾眞元涸。百症紛相挐。右臂澁偏。左眼眩失花。牙齒盡浮危。筋骸兀枯楂。四十未云老。雙鬂倐先華。進退無所施。淹然暮景斜。豁煩籍酒徒。時復逐諠譁。或慰支離䟽。亦足安其家。不啚荒僻外。■聖恩屢添加。有求豈無駿。遠搜須渥洼。未信病顙駒。容易輸公車。治亂不同時。賢愚本等差。冒進曾所赧。混取倘無瑕。揆己分已極。低首含咨嗟。陽春敷洪澤。萬物茁句芽。羣龍日登躋。森立蔚如麻。願爲聖人氓。歌詠隨烟霞。</text>
<title>偶見張旅軒 顯光 古詩。因次其韻。以述所懷。旅軒詩有江流限塵物。松與竹無心。隨風聲更潔云。</title>,<text>告疾亦多時。歸休知有日。未能履在我。何須向物物。僑居近城市。猶復栽松竹。漁樵雜後先。怡然好顔色。得酒輒歌嘯。勝味此間別。獨醒欲偕誰。謾自效高潔。區區門下士。久已脫穎出。毁譽已升沉。優游潑潑活。壬申季春。除獻納。以病上䟽辭遞。故首句及之。</text>
<title>謝林東野送天門冬酒。用藥名作。</title>,<text>自分樗散材。甘遂𤱶畒志。豊秊無餘粮。敢望合歡費。幸寄雙鯉魚。重以天門饋。異味眞厚朴。豈啻勺藥備。玲瓏琥珀光。薰莘椒桂粹。藹然欝金氣。葳蕤潤牙齒。止渴同蔘𦬸。益肌勝茝芷。松肪醅過烈。杞菊非純美。不許藍尾巡。政合蕉葉𨢍。三盃洽五芝。自然失悲喜。羸骨且防風。忍冬减衣被。舊痾稍欲蘇。膠㓒感高義。顧惟朽莧質。追隨鄕附子。熟知犀角奇。薄荷黃封賜。檳榔固無柯。橄㰖口始忌。去就自决明。欲行旋復止。歲晏百草霜。枳實交得意。出遊桄榔林。丹砂兼吏治。一境無覆盆。鍾乳看復致。留滯馬藺村。天南苦愁思。疇昔着馬鞭。車前忝左次。悵吟當歸詞。金薤森滿紙。眷眷情未艾。杉材期晩試。嗟我白頭翁。兔絲聊依倚。日月不留行。萍蹤幾止逝。橫被黃金者。烏喙甘一飼。蘭以香自焚。麝臍禍所餌。飄然有遠志。蟬蛻出雲水。願從飡楓香。肉芝穫神畀。</text>
<title>五噫歌 課製</title>,<text>悽悽郢中曲。愁聞五噫歌。至寶不易售。大礏誰得磋。鷄鵾礫鸞鵬。衆芰沒孤荷。瘴江杳逶迤。魏闕遙嵯峨。低回戀孤忱。掩抑吐長哦。奮懷欝秋雲。哀響激增波。有才固難容。懷道當坎軻。揖賈歎賦鵩。吊屈恨湛𤄷。千秋共委盡。天命良謂何。</text>
<title>讀微子篇有感 課製</title>,<text>大運無虗度。理亂亦在天。頹日難再中。崩波疇得旋。剖心旣無賴。佯狂眞可憐。爭如抱祭器。一去有兩全。白馬周賓列。殷祀且復延。大義存亡際。弛張齊後先。遠抱因事止。明鑒觸微遷。沉吟溯當日。擊節嘅遺篇。</text>
<title>壬午冬。羅牧來訪。仍向道岬。與康津倅會話。次謝眺詩韻。以贈。</title>,<text>豈無北極羽。攀桂嘉南州。已能投深壑。復此會高樓。微陽稍發脉。細草茁陰溝。絃歌衆所珍。一言撫雙輈。馳心亦多歧。遲暮少自收。</text>
<title>挽郭判官祖母</title>,<text>祗敬盡婦道。皆稱閨壼首。人生九十八。今昔固罕有。兩男貴顯士。榮名聞已久。兒孫五六十。讙呼擁左右。况復賈嘉賢。可念風神秀。新掌裵卿運。隆譽聳南斗。朋僚悉時彦。匍匐效趨走。日吉協牛卜。一壠雙蒂耦。能全壽富貴。積德賴神佑。猥蒙林宗知。薄薦孺子酒。</text>
<title>柳參判遷葬挽 參判公權葬于高敞初葬。穿壙有古塚形迹。三十秊後。改墓。葬于其近壠距家園一里許。夫人三處遷葬。今又改葬云。</title>,<text>天運有定分。人事或推遷。斯丘掘數仞。有銘曩誰鐫。欝欝三千秊。白日披重玄。遷防禮之變。考亭懼水泉。幷州非久計。東武聊託焉。季兮固至孝。慮後須萬全。愷悌神所勞。卜槎仍舊巓。平生遊賞地。亦復在眼前。歌㙜尙餘卉。隱暎對新阡。芳塘下釣渚。繞壠流涓涓。桐鄕宿澤存。去思口相傳。千秋水竹間。去來隨雲烟。悲歡能幾許。悵吟觀瀾篇。觀瀾卽參判公江亭。有參判題詠。亭在墓山下流。</text>
<title>李監司 洸 遷葬挽</title>,<text>倬爾大賢後。凝然有好器。文章乃餘事。力行由實地。出入皆擧職。嬴縮一險易。北門暫握符。盤錯可已試。仁威愜衆聞。倐仍殿南寄。邊警出不虞。中國亦洶悸。倉卒誰敢禦。智勇無所施。當時保障力。大小俱指使。成敗本無常。是非在軒輊。孤吟放翁詩。任遣灞陵醉。優游桑榟鄕。豈足慰素志。悠悠九原恨。欝欝無時已。天道有周星。國運遆隆否。廷議許昭洗。泉路煥恩旨。趾美幷昇敭。追遠思備至。遷防考舊制。參以考亭誌。卜兆協玄龜。白貍知有竢。華綍耀遠境。易戚稱已美。迢迢古帝畿。明山欝逶迤。千秋雙蒂英。寂寥白馬涘。根深枝易茂。孝思應不匱。江揔外家養。久欽隴西紀。受恩自先親。銘感入骨髓。病蟄違執紼。空沾一掬淚。</text>
<title>宿雲駐寺。翌朝登高。賞洞壑丹楓。</title>,<text>羲輪炅脫嶺。空壑開明光。此時期淸覿。試登前山岡。深林動纖赮。烱入琉瑀鄕。倚杖快騁眺。萬象來盈眶。或如紫皇讌。醉會羣仙郞。虹霓繚彤垣。黃赤分中唐。俶裝爛齊斑。丹佩摛天璋。玉妑童顔酡。嬌色凝釵樑。羣儀坌雜進。羽毛煥成行。獜抗鬐立。紅鸞矯翅蹌。火龍呑珠齦。赬虬鱗甲張。或如祝融氏。諸嬉集祼方。炎德赫方熾。熱屬爭猖狂。袒裼髮䰃鬤。電瞛擁飛槍。燄駕載洪爐。旗▼爥皇芒。橘狂助百恠。吐吸回九陽。燻炙窮川瀆。高標焜玄黃。朱雀耀翎鬣。摛披森相揚。或如桃林戰。太白血淋浪。或如絳繒牛。亂走角飜鋩。或如趙壁空。赤幟滿城隍。或如絳冠出。佳氣欝蜚颺。或如赤壁焚。一時燒千航。或如丹砂礏。照曜積石旁。或如珊瑚珠。灼爍茁瑤塘。或如若木英。銜露炫扶桑。或如火浣布。明滅光有亡。或如錦繡茵。或如鉛華粧。深淺若淄涅。高低若俯仰。若榮而自矜。若殞而有傷。緣崖相補隙。羃藪混周障。玲瓏復嬋娟。眴練終溷茫。溪澗含颼飀。長風攪鏗鏘。諠然洞庭樂。簸蕩䡌瀟湘。驚矍奪耳目。前却惘回偟。紛紛千萬幻。欲究安能詳。咨嗟白帝工。逞巧侈開塲。山靈愼吹噓。幽谷藏輝煌。幸今得冥搜。敢不歌以彰。吾衰筆力澁。回首空悵望。</text>
<title>挽</title>,<text>閱人非不多。唯子實忠厚。文才絶一世。筆法古罕有。出入大小任。觸處迎刃手。三司及諸曹。佇看仡孤雊。平生雲外志。欝欝跼趨走。薄遊西都勝。不足攄高覯。強趣關東征。爲探山水富。將迢桑海日。軼蕩窮宇宙。人生固難必。天意誰能究。纔賀忽承訃。駭痛心愈疚。已矣柰命何。死生眞夜晝。二品亦崇班。六十豈非壽。况復胤子公。名譽籍已久。諸孫騈猝美。一一璆與琇。內外二十餘。相將隨左右。向來西河拜。亦自懲爾咎。先塋近故里。川岳復神秀。宸眷及幽泉。恩疪廓天覆。千秋羊豕石。徽烈光前後。鄙劣忝末流。潘揚叶故舊。抱病卧漳濱。雪涕空回首。</text>
<title>柳察訪 鐵堅 大夫人挽</title>,<text>祇謹出天性。皆稱閨壼首。享年八十五。差减期頤壽。人生自憂樂。宿昔謾爲疚。一男能幹蠱。夷險足瀡滫。諸孫滿座隅。歡笑度昏晝。新阡近鄕閭。先隴在左右。已美易戚俱。幔綍侈俎豆。白牛又協吉。千秋尙陰佑。緘辭申遠慰。積德信裕後。</text>
<title>次淵明飮酒詩韻</title>,<text>幽扉斷往還。自閉還自開。一枕一幅巾。寂寥銜孤懷。向來繞指軟。循理豈少乖。僻居非吾樂。聊復安覊棲。猶思未鑽身。暫時混塗泥。章句供酬應。杯酒雜歡諧。百秊能幾何。路遠久已迷。鶗鴂忽驚秋。整轡暫遲回。</text>
<title>挽魏丈 德寬○魏丈八十。喪室用慮。未一秊。亦喪逝。故末句云。</title>,<text>白面美鬚髯。軒然好身手。平生萬卷書。稍得觀覽富。茂族欝鄕閭。追隨數先後。已見內外孫。耕漁足瀡滫。人生固有涯。誰能期頤壽。八十居然逝。二子在左右。欝彼獅子麓。山水亦佳趣。千秋一丘土。屹爾雙蒂耦。悲歡今一夢。宿昔浪自疚。瞻望挹餘徽。荒辭代鷄酒。</text>
<title>挽從姝李持平 彬 內室</title>,<text>我妹方壯年。夫妻相繼沒。有姑已垂耋。有兒猶髫。聞者惻然悲。道路皆嗟咄。伊我差自寬。禍福紛萬秩。浮生信多艱。百慮無一愜。四十將半百。亦云非短折。富貴雖暫享。鄕閭曩羡仰。三男及三女。一門誰克養。松楸故園邊。倘來平生魂。積善人共欽。茂慶在來昆。一言付脩程。千秋唯永寧。</text>
<title>和淵明止酒詩。專用止字雙韻。戱示諸友。庚寅二月二十五日作。</title>,<text>冒進不知止。伊我亦云止。耕也我已止。學而我已止。徒知靜爲止。萬念皆欲止。衆欲庶或止。唯酒不可止。頭風以此止。腹冷以此止。飢當以此止。飽亦以此止。有憂醺可止。爲樂醉卽止。知味自不止。彼誰勸我止。吉祥固止止。於止不知止。有行豈無止。奠我方始止。</text>
<title>又用前韻</title>,<text>病酒強欲止。嗜酒猶未止。纔醒非不止。俄醉豈云止。日止日未止。依然止不止。看花不自止。對月不自止。畏暑不自止。㥘寒不自止。或有一石止。或有三盃止。各以其量止。何論止不止。歲月亦不止。與之俱不止。止止與不止。樂在止不止。請君君莫止。醒醉共行止。</text>
<title>挽</title>,<text>昔拜先君子。稍知古人心。復此見秀骨。實合多士欽。爲科止司馬。循俗故浮沉。薄官以親屈。旣行還復輟。力學竟未施。嗚呼柰命阨。守靜自安閑。耕釣足盃盤。遠近稱壽福。兒孫擁門闌。眉白鳳將雛。聯翩耀朝端。松楸接古宅。三世同一域。考貞啓玄堂。千秋慰所息。誰銘有道碑。亦應無愧色。</text>
<title>挽郭主簿內室</title>,<text>一鄕稱元卿。有是曾子母。人間八十七。今古亦罕有。一男雖早沒。三孫得成就。各抱子女兒。歡呼競左右。奉養出至誠。顚沛一瀡滫。送終欽已美。拔貧能爲富。松楸欝千年。秀色映戶牖。雙龍會有合。宿昔浪自疚。猥受林宗知。束蒭效趨走。嗚呼積德門。百世有其後。</text>
