<title>崐崙 庚子</title>,<text>磅礴結崐崙。西維地勢坤。高山通澤氣。萬里黃河源。</text>
<title>次杜韻。咏禪門一樹梨。</title>,<text>仙釋交梨種。亭亭畫閣齊。風枝蟠鐵索。霜甲綴金泥。未始經人剪。那敎及馬蹄。杜鵑紅已老。春在玉花低。</text>
<title>孤雲用杜韻</title>,<text>坐看孤雲細。霏霏度夕林。乍驚羣壑暗。稀點萬山深。寂寂僧俱靜。時時鳥一吟。須臾飛去盡。虛靜卽吾心。</text>
<title>山中遇鄭孟一</title>,<text>禪樓返照倒西天。靜對心香一穗煙。白柰參差高樹下。靑山的歷臥鐘邊。三春爲客眞無事。十日偸閒幸有緣。藜杖明朝蘭若路。滔滔餘興正悠然。</text>
<title>訪太古寺 二</title>,<text>絶崖崩石亂。微逕問歸僧。莫道諸天遠。登登我亦能。古菴懸絶頂。法力賴扶持。檜色參天老。巖形拔地危。境高雲氣宿。山逈海濤疑。寂寞塵根淨。虛靈只自知。</text>
<title>山口</title>,<text>春山微雨歇。巾服濕花香。十里穿深樹。啼禽引路長。</text>
<title>訪沙亭主人</title>,<text>信宿山家意欲迷。桃花流水亂東西。無端一夜靑山雨。歸路迢迢隔一溪。</text>
<title>啖蕨</title>,<text>採採南山下。啖之用釜鬵。士居安樂地。當守伯夷心。</text>
<title>過白馬江 庚申</title>,<text>落日扶餘國。江潮打岸回。一翁蓑笠雨。寂寞坐漁臺。</text>
<title>到紅峴見外孫</title>,<text>自覺人間我益衰。居然嫁女女生兒。遠來見爾無堪贈。手寫滄洲畫裏獅。</text>
<title>滯雨西湖。贈族人長淵令 箕昶。○二</title>,<text>天宥金環聖渥優。歸來楊柳滿芳洲。暮年淸致爭誰似。高臥湖西第一樓。四月江南雨霏霏。山陰遠客正霑衣。白魚紅酒聯牀話。依舊風情挽我歸。</text>
<title>自歎</title>,<text>自歎流光劇逝川。四方之志轉茫然。平生浪讀春秋傳。近日耽看山海篇。頤養但謀甕裏酒。經綸都付溪南田。壯心未遂身先老。猶惜邱中草木年。</text>
<title>喜老</title>,<text>眼暗看書澁。耳聾聽說訛。自今遺外事。還喜息機多。</text>
<title>楸原</title>,<text>小子墜先志。多違負荷功。故原楸已老。霜露泣無竆。</text>
<title>老妻</title>,<text>老妻如我老。相對共寬懷。自愧丈夫責。糟糠到老偕。</text>
<title>麥秋</title>,<text>農家無舊穀。民食歲難周。不待西成序。天心又一秋。</text>
<title>孔子曰。仁者樂山。智者樂水。朱子詩曰。我慚仁智心。偶自愛山水。蒼崖無古今。碧澗日千里。余亦敬次其韻。寓其志。</title>,<text>仁智聖猶不居。膏肓自愛山水。蒼崖去年今年。碧㵎千里萬里。</text>
<title>贈僑居族老</title>,<text>剝啄柴荊外。淸談日已昏。吾宗無遠邇。世德接淵源。崖北依林屋。瀼東近市村。追隨從此始。晨夕及衡門。</text>
<title>次原韻。贈金元玉 光廈。</title>,<text>故人不見久。詩來得故人。澗邊霜竹老。窓外雪峯新。進我廐無馬。懷君席有珍。明春花發後。肯訪碧溪濱。</text>
<title>山中詞 三○乙丑</title>,<text>山中住。歲色亭亭暮。荷釣獨歸漁臺。倚筇閒看藥圃。㵎邊栗里開田園。物外桃源易制度。山中遊。携策登高邱。小憇靑林聞鳥。困臨白石漱流。自知巖下一閒漢。不願人間萬戶侯。山中樂。雲樹一邱壑。禽聲上下茅簷。花影參差竹箔。焚香童子開丹經。煑蕨山妻勸小酌。</text>
<title>敬次朱夫子白鹿講會韻。述懷。</title>,<text>慕吾夫子幾多年。晩卜雲山石竇泉。德性新工慚魯質。詩書舊業拾遺篇。千峯皓月神光澈。一注寒流道氣傳。獨往只因翁所好。此心元不羡騰騫。</text>
<title>謹次王考遺稿九老會詩韵</title>,<text>靑山黃髮滿三三。當日星輝聚斗南。勝會香山寧盡美。嘉名耆社與同參。風流宿昔餘追慕。負荷如今益覺慚。杖屨遺墟桑梓老。吾鄕留與後人談。</text>
<title>立春日。謹次王考春帖韻。</title>,<text>天機昨夜轉環時。梅柳新心暗着枝。竹牖朝暾仍就暖。瓦樽宿釀不憂飢。林間老去看詩好。石底泉流洗硯宜。葉發花開來日事。易中不必問包羲。</text>
<title>和梅巖韻</title>,<text>漁樵半世一閒身。自謂唐堯比屋民。不出門庭知坦道。無求飮啄保天眞。探幽遠壑還多事。索笑簷梅定幾巡。况是襄陽千古樂。丈人琴劒在芳鄰。</text>
<title>敬次紫陽遠遊篇韻</title>,<text>當酒氣浩浩。爲君歌遠遊。遠遊靡在他。門闥視九州。仙鄕不離房。寬大樂無疆。神定豈參鸞。天遊捨龍驤。孰能揮鞭策。勞勞涉其方。爲君更酌酒。微酡歌慨慷。送君臨歧路。若木翳日光。秋風動哀壑。停驂且彷徨。問君何所征。行李愼舟梁。出門百崎嶇。遊子心摧傷。山危千劒門。水廻九曲腸。南瘴觸肥膚。朔風裂衣裳。東渤無竆極。西岳石廉剛。雖有車舟利。躐險詎能當。願君姑舍是。回駕置周行。本地有佳境。方寸包四荒。萬景羅眼前。爭似臥茅堂。</text>
<title>自戒</title>,<text>十載工雖積。一朝行易違。不知臨死日。能免小人歸。</text>
<title>小學 丙寅</title>,<text>至哉朱晦翁。百代念蒙士。妙訣治根源。做人這樣子。</text>
<title>植桐</title>,<text>衰翁自笑少年心。一樹梧桐乞艮岑。培壅弱根親手植。要看他日滿庭陰。</text>
<title>謹次崔魯城 文顯 闕里祠韻</title>,<text>阜脥堤眉畫裏親。海東色映却常春。誠心矦宰修宮侐。優禮朝家用特陳。八域遂同歸化服。一州何獨起彈巾。魯岑未了巖巖翠。百世靑邱聖軌遵。</text>
<title>過孔巖書院。奉審朱晦翁影幀。</title>,<text>滄洲精舍我夫子。山斗平生慕仰誠。是日靑峯遺像拜。中心默禱惠光明。</text>
<title>訪孤雲。邂逅族人德有 相咸。同入石泉。二</title>,<text>世棄雲山我獨取。老年尤愛靜中情。辛勤又入蒼巖裏。依舊寒泉澈底淸。寒泉泓冽瀉瓊液。盡日泠泠濯世情。此際悠然觀實際。靈臺一點道根淸。</text>
<title>春日訪雞龍</title>,<text>十里緣溪路。溪竆水石淸。不招翁自往。曾與此山盟。</text>
<title>耳聾</title>,<text>兩耳當年極慧聰。無端近日忽如充。嗒然不辨雌黃語。却恨當年早未聾。</text>
<title>用陸韻</title>,<text>方履幅巾杖碧藜。木爐香歇竹簾低。落花寂寂靑春暮。歸鳥亭亭白日西。何處頑雲纔掩景。無端細雨不成泥。臥看物態隨時變。柳絮因風揔不齊。</text>
<title>怪石</title>,<text>或乖或雅或崢嶸。山澤癯容此孕精。對案三時翁與可。不妨呼作石先生。</text>
<title>寄長兒</title>,<text>送爾雲菴讀古書。吾心還勝在傍居。盡除障碍工方了。卻造深微喜有餘。晝永禪牕啼鳥近。春廻蒼石早花疎。老夫不復桑蓬志。他日屠龍愼莫虛。</text>
<title>艱危</title>,<text>男兒定是涉艱危。閱盡風波始可知。霜後蒼葭方忍耐。露前紅蘂早披離。少年爲樂元非福。長日如愚竟免癡。自古英雄眞正事。須看臨履戰兢時。</text>
<title>踽踽行</title>,<text>踽踽復踽踽。出門何所之。古人已白骨。黃虞不可期。悵望一徘徊。撫劒多所思。所思卽維何。褰裳涉天池。凉飈吹我衣。中心忽悽其。身佩明月輝。手採瓊華枝。風馬歘上征。日車叱和羲。殷殷震雷鼓。搖搖導雲旗。朝發蓬萊趾。暮過瑤池湄。冉冉上瓊樓。紫雲光陸離。中有綽約翁。皎皎冰雪姿。自謂廣成子。齊天顔不衰。首出無極初。的見肇判時。鴻濛漭無垠。形器安所施。但有水火性。淸濁始推移。陰陽迭循環。二氣分兩儀。五行各成性。四序無參差。人用參天地。中虛道在玆。衆人不以天。彭殤異歡悲。超然獨抱一。萬古云如斯。坐我靑瑤床。勸我紫霞巵。貽我黃庭篇。贈我九莖芝。詔我何所欲。問我何所爲。我本塵土人。所願眞大癡。願逢堯舜君。淸朝側龍夔。德薄才亦疎。隨時補袞絲。格君中正德。躋民煕皡治。今則命大非。頭白事可知。腐儒極昂莊。衰顔鏡中窺。出門無所適。踽踽行路歧。路歧多榛蕪。白日西南馳。但願畢餘生。山水任適宜。一筇復一屐。一壺復一棋。大讀千餘卷。朗吟千首詩。夜臥松根枕。朝餐石髓滋。與雲閒來往。隨流共漣漪。聊以終吾世。靡他更陳辭。仙翁琅然笑。顧我更皺眉。雲合不見處。夕陽但已而。</text>
<title>送鄭孟一</title>,<text>二年相守對門扉。文墨生涯爛熳歸。北學幾論通古籍。南征先告養親闈。落花滿地遊人遠。芳草連天驛使稀。斜日城頭分手處。此心能不更依依。</text>
<title>贈再從弟聖勤 相業○二</title>,<text>憐渠才器苦嶔崎。一室相將自幼時。蛛網生涯携筆硯。鷰巢貌樣葺茅茨。竆當益見靑雲志。醉後誰調白雪辭。萬卷讀書知有用。人間須作大男兒。竹門牢落掩深深。寒雨東風細不禁。獨臥正思賢弟面。長吟未慰老夫心。滿天柳絮夕陽裏。掃地梅花何處尋。寄語山中春已晩。典衣明日百壺斟。</text>
<title>足不足</title>,<text>我心寡欲恒自足。我心循欲恒不足。寡欲之至不足足。多欲之至足不足。帝堯茅茨足且足。始皇銅柱何時足。是以君子坦蕩蕩。蔬食水飮猶云足。相彼小人長戚戚。高官華屋憂未足。上帝賦與人人性。聖愚貴賤一理足。大人體天純不已。不加毫末萬善足。衆人交物違厥天。自㬥自棄飽煖足。慨余生晩千載後。不見孔顔至樂足。三畞之廛數椽屋。一邱一壑於斯足。鑿池灌泉淸泠瀉。栽花種竹經營足。或歌或咢閒婆娑。饘斯粥斯腹充足。向人本無媚諛姿。退伏嵁巖微分足。出門徘徊入門坐。架上黃卷尙友足。氣味翛然朝暮遇。髣髴函筵親炙足。古人精蘊盡在書。歸而求之吾師足。此心此理同今古。俯昂天壤優優足。義有進退安處止。飮無多少醉便足。滿山風月景光大。映戶花葉榮華足。此間此樂吾亦足。何必富貴然後足。</text>
<title>細雨</title>,<text>隨風飛細細。翳日更濛濛。暗拖煙霏氣。潛行造化功。草含輕染綠。花綻易爲紅。寂寂南軒下。兀然白髮翁。</text>
<title>訪友滯雨。賖酒拈韻。</title>,<text>偶來筇屐訪隣朋。細雨前村酒價增。老惜靑春移小檻。癡思白日繫長繩。崚𡾓傑氣三分俠。牢落閒身強半僧。醉後悲吟無曲折。淸狂未必讓賢能。</text>
<title>勉仲兒憼</title>,<text>待己人人自㬥棄。公然望子特奇奇。平生老父無竆念。爾敎兒時始可知。</text>
<title>竹林書院。以三三日設鄕飮酒禮。黌士馳書相邀。而病未往焉。</title>,<text>先王酒禮久堙廢。一獻雍容百拜酬。麗日竹林君子席。病中遙想舊風流。</text>
<title>步季兒韻。有他年誰見丙寅花之句。</title>,<text>春霖初霽散輕霞。無限光風一倍加。庭有小兒心孔豁。新詩能賦丙寅花。</text>
<title>物理</title>,<text>無地深淵元洊滴。參天高木自毫芒。分明物理皆如此。先語高深未解方。</text>
<title>訪隱洞寓庄。拈杜韻。</title>,<text>聞君昔住頭流頭。看盡花開石水幽。千里移家慣客土。百年携卷送淸愁。藥苗共約雲山採。麯味應論野酌浮。但愛疎襟連爽塏。悠然疑是泛虛舟。</text>
<title>文辭</title>,<text>先輩文辭達我志。不求華彩自成章。如今但鑿雕虫技。一箇身心久已忘。</text>
<title>拈杜韻得家字</title>,<text>薄劣慚眞遯。牢騷近野家。鳥來池上樹。人臥石邊花。落日添新景。春流沒舊沙。東風吹不已。無力滿巓華。</text>
<title>繞籬</title>,<text>繞籬日百遍。無事還棲棲。竹笋知時出。花枝得雨低。識心懷仲友。論諡有黔妻。好吟爲破寂。蕉葉小詩題。</text>
<title>上逸窩從兄 相周</title>,<text>妙年如昨日。俱是禿頭翁。昔已重門掩。先知萬事空。傳筇幽圃雨。聯枕落花風。蕭灑送餘景。塵囂我亦聾。</text>
<title>上伯氏</title>,<text>親戚未爲少。世間吾二人。團欒眞至樂。離索竟傷神。筋力喪威損。春風白髮新。聯牀疎雨夜。安得了餘因。</text>
<title>示從姪悳</title>,<text>期望異諸姪。小宗况乃賢。愧吾半朽骨。愛汝比兒肩。欹側分三逕。淸泠共一泉。百年團聚樂。非是小因緣。</text>
<title>示從子愈</title>,<text>卷懷惟汝愛。移屋近幽情。菜圃經綸細。柴門曲折成。陰陰煙柳遠。漠漠水田平。溪上漁樵路。往來畢此生。</text>
<title>獨坐</title>,<text>雨晴林日淨。獨坐竹簾開。花事留還去。佳賓待不來。恐驚依屋鷰。未掃滿庭苔。近性山妻在。回頭問醱醅。</text>
<title>夜坐</title>,<text>夜坐南軒上。無人送酒觥。梅梢明月掛。池面白雲生。偶喜陶彭澤。非耽阮步兵。乞錢村杏北。明日破愁城。</text>
<title>雨晴</title>,<text>雨滑蒼溪石。移筇近小陂。花稠藏蛺蝶。沙斷隱鸕鷀。客散林疎處。僧歸日落時。手褰芳渚綠。怊悵更誰貽。</text>
<title>一广</title>,<text>一广隱烏几。主人方息機。已謀今日食。不改去年衣。碧嶂依簾滴。幽禽入戶飛。格言猶敬佩。前輩戒絃韋。</text>
<title>吾道</title>,<text>林臯日日曳筇杖。鄕里兒嘲老子狂。欲伴閒鷗忘毁譽。自同高木刮風霜。孤吟弄水其誰與。獨往看山也不妨。白髮滿頭殘景暮。悠悠吾道付滄浪。</text>
<title>贈黃伯賢 基聖○二</title>,<text>不見黃生久。胸中鄙吝萌。野鷗心轉逈。飢鶴骨仍淸。村僻依山色。簾虛坐水聲。百年竆鬼伴。天意忌全名。數月音全絶。東風草又萌。祇應山竈冷。猶得野堂淸。學禮心無愧。傳詩畫有聲。未愁貧到骨。顔樂至今名。</text>
<title>獨吟</title>,<text>慷慨失詞伯。獨吟最可傷。途竆堪痛哭。老去更淸狂。放眼乾坤小。回頭日月忙。聾盲知近鬼。林下且傾觴。</text>
<title>贈金上舍士明 履明</title>,<text>一溪分上下。相望復難忘。遜志開幽圃。揚名載國庠。靑山當好友。白日到羲皇。欲乞農窩帖。蓬萊說幾章。</text>
<title>示東鄰</title>,<text>籬落東鄰近接連。移筇暇日步前川。雜花繚繞參差屋。春水平分上下田。知爲檢身經九化。曾因敎子到三遷。可嘉敦朴遺風在。耕讀由來兩得全。</text>
<title>春事</title>,<text>紅筯 蝦名 初生玉膾 魚名 腴。春潮三月滿西湖。岡泥 鳥名 滑滑催征馬。郞雨 鳥名 蕭蕭展短蒲。壠上草靑聞麥熟。鳥名 林間花落勸提壺。鳥名 東風正好淸沂浴。欲換新衣脫袴 鳥名 呼。</text>
<title>示再從孫在鶴</title>,<text>卓犖奇才已妙年。詩兼三百禮三千。淵源自有承家業。絃誦那無述祖賢。白雨荒陂田數頃。靑山小塢屋三椽。根基只在深思處。松栢須看晩節全。</text>
<title>三月二十四日。日佳風暖。携鄰曲兩友。入鳳林途中拈韻。二</title>,<text>山行貴適意。放浪吾三人。赴約崖南友。知心澗曲隣。望時花綴錦。坐處草鋪茵。欲問眞源去。啼禽報晩春。緣溪十里到雲林。懸瀑穹巖路更深。幾日鳳來丹壑裏。至今龍臥碧湫心。故留詞客看山好。却怕漁郞逐水尋。漸下夕陽人欲散。隔花何事喚幽禽。</text>
<title>次農巖韻。書齋居感懷。</title>,<text>隔幔惠風吹。飛花亂如雪。慨余招句芒。回車詔弭節。眷此抱幽獨。穆景映素帙。邈矣千載心。耿耿不可掇。日晴無塵埃。出門寡儔匹。晤歌在㵎側。中心徒自結。依依結丹霞。遙遙佩明月。採去北山蘭。掇歸陽崖蕨。搜索幽事閱。陶寫懷時物。西望美人遙。中道攬轅轍。</text>
<title>題癡窩壁上 再從弟相業號○二</title>,<text>巖西扁牓未全癡。知爾茅齋隱大癡。許飮無方眞酒病。忍飢看字近書癡。煙霞到骨淸逾劇。園圃關心計豈癡。澗水荊門南北岸。從今吾亦老於癡。癡之爲號病於癡。自道平生事事癡。硯墨相隨應了債。雌黃未辨可知癡。菊田杞圃經時懶。流水高山着處癡。縱欲賣癡癡不去。爲癡剩到十分癡。</text>
<title>題隱農齋壁上 從姪悳號○二</title>,<text>雞山之下隱於農。三畞林園講九農。莘野爾師伊尹道。南陽我負孔明農。好將勤謹承遺業。細把經綸訪老農。一箇丹田餘寸地。他時留與子孫農。閒織蓑衣學野農。山中康濟話神農。露繁桑下隣瓜圃。雨潤槐陰告麥農。未是樊遲輕問稼。終知桀溺樂爲農。衰翁合願殘年飽。倚杖田頭更勸農。</text>
<title>聞石泉菴緇徒已空。惜名區無人守護。</title>,<text>寒菴聞已釋徒空。却笑桑門傳舍同。惟有飛泉長不改。也應留待主人翁。</text>
<title>擬詠一广。用陶辭木欣向榮泉涓始流。分韻爲詩。八</title>,<text>一广何所作。棲巖以爲屋。古人獲我心。抱一巖中伏。永言思耿耿。偃蹇媚幽獨。夜臥掃白雲。朝來咏灌木。振衣嗽飛泉。幽事可以讀。一广何所有。架上留古文。伏羲雖云邈。玄象卦畫分。魯叟洞靈襟。晩年尤所欣。煌煌太極圖。濂溪接泗濆。默坐看素壁。小爐香自焚。一广何所遊。浪跡竆跌宕。綠水爭喧豗。碧嶂屹相向。胸中三斗棘。遇此復欣暢。朝去夕忘歸。我襟日以曠。山南䕺桂幽。招隱復一唱。一广何所樂。幽閴愜性情。靜觀動靜理。流峙自分明。陰陽根太極。活潑兩儀盈。此間優優足。而忘軒冕榮。不願由外得。蕭灑送平生。一广何以食。翁非辟穀仙。古人不求飽。自然度百年。飢食山上薇。渴飮石中泉。性命幸苟延。充腸卽果然。何必羅八珍。膏火內相煎。一广何以衣。松陰露赤肩。上有靑靑葛。誕節垂垂懸。可以爲絺絡。春池濯涓涓。掩體禦霜雪。足代野人綿。不須五雲裘。枉作兒童憐。一广何以息。林中無所事。起居任適宜。閒意從玆始。氣倦曲肱枕。蒲團美春睡。因之夢軒羲。華胥髣髴記。睡覺日未斜。滿庭山色翠。一广何以友。踽踽寡與儔。夕攬靑松枝。朝逐麋鹿遊。脫巾掛蒼壁。濯足萬里流。歸來淸晝靜。床頭疊索邱。翫之尙友多。庶以忘我憂。</text>
<title>古木</title>,<text>呀然古木度千年。空洞虛中野火燃。縱有傍榮枝葉茂。亭亭不復上靑天。</text>
<title>種瓜</title>,<text>東陵舊業太辛酸。籬下荒畦隙地寬。小雨初晴芽甲坼。何時嚼破水晶寒。</text>
<title>贈廣石族人 相學</title>,<text>難得人間氣味同。心交何幸懿親中。芒鞋竹杖靑山路。無事相尋白髮翁。</text>
<title>自悲自解 二</title>,<text>夫子返東魯。晦翁隱武夷。範驅禽未獲。無復可爲時。達士齊榮辱。仁人一險夷。若將安義命。無不可爲時。</text>
<title>一广詩</title>,<text>伏羲始畫一。夫子貫以一。濂溪一爲要。程子主于一。天地道至大。莫能離乎一。日用事爲間。何嘗外乎一。一日克己後。天下歸于一。千萬生于一。萬千歸于一。卽日眞樂事。一一會于一。晩年巖屋下。聊以存吾一。</text>
<title>變體撥憫 三</title>,<text>終朝何所念。終宵何所思。長喟仰吾屋。此意有誰知。佛氏逃塵世。老氏之流沙。二家於道隘。紛紛異說譁。仲尼一太極。無官貴不言。中正光明道。萬世素王尊。</text>
<title>贈李察訪 箕元</title>,<text>湖嶺一千里。夫何相間之。高名北斗上。病枕南山陲。秋盡黃花老。霜深白鴈遲。慇懃他日面。文字報心期。</text>
<title>謹呈宗子靜安齋 箕憲</title>,<text>沙翁主祀我賢宗。志行文章亦可宗。先世遺風孔道輔。當時雅望郭林宗。始知丹雘光門戶。何幸淵源接祖宗。百里南州優素學。更將餘惠庇諸宗。</text>
<title>輓李景魯 明淳</title>,<text>石潭旁派玉山昆。孝悌慈仁種一門。瓜葛非徒親誼厚。芝蘭况復契交敦。鄕推君子惟僉議。天奪斯人忽九原。後死北崖其友在。不堪衰淚瀉泉源。</text>
<title>別韓戚公瑞 二</title>,<text>家庭文行繼前修。外黨惟君碩果留。歲暮不堪逢更別。寒天南下帶方州。追思上黨晉君修。喬木殘春季葉留。可惜湖南流落久。異鄕風土作幷州。</text>
<title>冬夜懷金元玉</title>,<text>懷君不可見。歲色空崢嶸。虛壁孤燈暗。長天獨鴈驚。良朋難合席。志士未成名。耿耿寒齋枕。應同此夜情。</text>
<title>贈趙上舍仲顯 南逵。謝其來訪。敍其別懷。</title>,<text>淸門何以託婚姻。蕭散瑰奇得故人。萬里隨槎燕碣野。中年擢試鳳城春。江湖一別思如渴。氣味重逢醉若醇。願買靑山分半面。桃花流水結爲鄰。</text>
<title>步原韻。贈李洪厓。箕元號。○二</title>,<text>旅次艱難足。那堪抱疾時。未投成劑藥。空費打乖詩。大道隨緣盡。浮生着處宜。元章書畫本。今世有誰知。相思何太苦。悵望立多時。又續三行札。兼呈百韻詩。未緣佳句好。直謂素襟宜。枉得龍門奬。如今愧許知。</text>
<title>愼言</title>,<text>目見吾所見。耳聞他所言。所見猶可說。所聞不可言。</text>
<title>立春帖</title>,<text>地脉潛潛動。天機軋軋新。迎春何以祝。山澤養吾眞。</text>
<title>敬次朱晦翁浮翠亭韻</title>,<text>五十加二齒。始覺愛名山。欲斷妻兒戀。周流天地間。掛冠崐崙壁。濯足滄海灣。無人說此懷。隱几半日閒。睠彼林藪靜。飛鳥相與還。何不冲霄去。畏罹百險艱。長嘯獨晤歎。高臥掩柴關。</text>
<title>敬次晦翁沈公雅卜居圖韻</title>,<text>孤立夙尙異。於世寡匹儔。屈志尋舊巢。爲卜境淸幽。茅茨蔽風雨。西南連田疇。屋角筧水鳴。庭樹枝相樛。暇日賓親來。談笑共忘憂。濁酒澆肝肺。黃卷竆端由。幽壑永今夕。孤月同千秋。乘興復尋約。策杖歷林邱。緣溪十餘里。下上踐斯遊。仰眄翠微巓。俯嗽瓊瑤流。懷抱日以曠。此外復焉求。</text>
<title>具子誠 允忠 來訪穩話。臨分贈別。</title>,<text>屢日偃蹇臥不動。遠客騎馬尋山谷。入夜談笑穩蒲團。濁酒瓦甌正新熟。一斟陶然輸肝鬲。百年囷廩無餘蓄。靑燈剔盡仍就睡。不知五更雪滿屋。多謝雅意諒無已。願言聯牀再信宿。種種白髮君似我。此日此遊何時卜。爲言我生曾無用。跡同野鶴心如鹿。半架詩書托生涯。數間茅茨斯歌哭。通於一道萬事畢。無心得來鬼神服。此語昔聞南華仙。而今至味可以讀。不必勞勞向長安。或恐塵土眯眼目。臨別更留山行約。暮春須臻鳳林瀑。</text>
<title>步偪側行。寓所懷。</title>,<text>巖下花發狂風顚。山中消息爲誰傳。山下怊悵久佇立。折花在手望春天。求友丁丁伐山木。砯崖絶壑還可憐。但使終日心拳拳。我思周道臨坦然。胡爲阻歲玉爾音。兩箇鬢髮非壯年。採蘭不足滿筐筥。夢思時假淸晝眠。若使惠然叩柴荊。恰有三百買酤錢。</text>
<title>輓具子誠 二○丁卯</title>,<text>早托絲蘿誼。惟吾熟識公。高柴三歲泣。黔子一生竆。積善宜其報。厚生不克蒙。幸將雛鳳四。中谷共棲桐。相逢如昨日。匹馬過衡門。睆睆平生面。琅琅宿昔言。爲仁貧且困。嗇壽命何屯。後死親知在。持文哭暗呑。</text>
<title>敬次晦翁卜居韻</title>,<text>卜居龜山下。俯仰二十秋。九老昔何隱。我來素襟幽。疎竹分三逕。寒泉漑平疇。抱膝南軒下。自疑泛虛舟。簡朴元易足。榮華不可求。谷口溪有源。春日好事謀。林間二三子。靑銅懸筇頭。賖酒東溪村。看花北溪流。偶是山中趣。仍成物外遊。邈焉逍遙樂。而無桎梏憂。石室書猶在。蘭亭契可修。於焉畢此生。不須買菟裘。</text>
<title>贈華菴鄭上舍 奎漢○二</title>,<text>學力文章夙所聞。如何廊廟不徵君。今朝對榻叩英議。披豁春天萬里雲。憶昨怱怱接粹容。歸來一洗十年胸。山陰後約知何在。石洞閒雲故不封。</text>
