<title>曉雪</title>,<text>夢覺東囱白。初疑曙色明。呼兒排戶視。尺雪耀前程。</text>
<title>謝壺山倅惠酒 二首</title>,<text>珍重壺公興政濃。卻煩新釀慰疏慵。香分楚閣雲生礎。春滿銀甁月上峯。左對細君因執爵。右呼童子促開封。酣來免被盧郞笑。何恨功名不到儂。吸盡壺山酒一壺。醉來天地卽唐虞。陶陶有樂今猶古。兀兀無思我喪吾。獨醒屈原何自苦。屢空顔氏祇如愚。傍人莫怪斯言大。白首湖中放逸都。</text>
<title>臥龍寺。題靈澈上人詩軸。</title>,<text>壁樹千年色。沙禽半夜聲。庬眉且不俗。對我說無生。</text>
<title>堤川東軒。別李修撰慶初 顯基。○三絶。</title>,<text>峽雨新晴爽氣生。滿山光景惱離情。臨分別有前期在。莫憚中原半日行。嶺外湖西阻一生。相逢猶慰十年情。世間多少傷離恨。誰似秋風送此行。夫君志在濟蒼生。塵世曾無宦海情。一叩天門動聖主。秋風今作掛冠行。</text>
<title>忌日感懷</title>,<text>葉隨風雨落飛飛。感舊傷新不耐悲。平生長抱終天慟。雨阻金烏趁未歸。問藥金烏。爲雨所阻。</text>
<title>公山歸路。與崔鎭叔共唫。</title>,<text>三老飛筇上梵宮。二人先下塵寰中。回首八公山路遠。洞天寥廓起秋風。</text>
<title>次玉山倅元日韻</title>,<text>寒梅已放一枝春。淸坐琴軒政日新。莫怪醉狂詩以賀。普將時雨澤斯民。</text>
<title>蘇安驛。贈別權啓余 迪。</title>,<text>天涯二月弟離兄。把酒相看淚滿纓。漠漠浮雲猶變色。依依遠樹亦含情。山花冒雨紅將老。柳絮迎風翠欲輕。行至郵亭眠不得。黃昏悄坐到平明。</text>
<title>途中偶唫</title>,<text>誰令韓足及門前。稱刺投來故不傳。看劒卻歎今世俠。展書還信古人賢。邕亡未見奇王粲。况沒無聞敬樂天。回首夕陽心語口。短鞭催向酒壚邊。</text>
<title>次宋紀甫 時綱 贈韻</title>,<text>春回峽口動泉流。物色依然饒別區。良辰幸遂同遊樂。二老先歸我獨留。</text>
<title>次南浦韻</title>,<text>論今談古度中宵。志聘神州萬里遙。抵掌殲凶除舊恥。凱還東國奏君堯。</text>
<title>次韻謝宋紀甫</title>,<text>承統爲宗是大經。朞縗諸說互相爭。儻非聖主宸衷斷。天理從玆不復明。</text>
<title>邀愼子擧 明翊</title>,<text>問春花。世人見我皆反目。爾獨何事。向我開笑口。春花答。笑君幸遇愼子擧。日日不飮桮中酒。我非不欲日日醉。客裏囊虛無酒價。城南薇蕨雨後肥。送馬邀來思共煮。</text>
<title>次黃君擧 鵠立 別章</title>,<text>多君才調邁凡倫。身際明時志可伸。何幸作鄰頻問訊。交情不啻斷金人。</text>
<title>臥龍寺。和朴章甫。</title>,<text>山花迷石路。溪柳繞柴扉。岸幘欣迎處。贏知逸興飛。</text>
<title>楊弘禮來自荒臺</title>,<text>聞君躋險危。勝地幾淸目。想應領略歸。欲向桃源宿。</text>
<title>赤江泛舟</title>,<text>月笛煙簑兩岸秋。掀髥長嘯倚輕舟。羣雄獵處今安在。孤鶴飛來此共遊。賸得江山千古興。閒消宇宙百年愁。中流忽看潛蛟舞。醉著何須怕石尤。</text>
<title>玉山東閣。次酒隱。</title>,<text>酒隱閒翁烏角巾。慇懃訪我滄江濱。剡溪乘興同王子。東閣唫詩類洞賓。笑傲乾坤放逸客。周流南北倦遊人。臨歧不耐傷離恨。後會終期湖上春。</text>
<title>夜雪</title>,<text>獨伴殘燈到夜半。滿庭寒雪撲囱處。官梅已報春消息。旅榻誰傳鄕信書。遊子偏驚時序促。居民應怪客行徐。不緣潦倒寧來此。欲作浮僧無定居。</text>
<title>除夜。與僚友留直所有唫。</title>,<text>不材何幸忝臣工。誤逐浮名客洛中。紫極每趨星斗北。白雲遙望海天東。三元氣轉佳辰近。五鼓聲來舊歲空。共沐鳳池池上澤。一桮相屬莫辭崇。</text>
<title>次愼子擧</title>,<text>兩翁相對鬢毛皚。回首平生各自哀。天上碧桃花已老。人間黑鼠歲重來。生涯與我同紆軫。懷抱憑君得好開。時奏峨洋歌白雪。遠遊歸思未嘗催。</text>
<title>輓東皋徐公 思選</title>,<text>氣宇恢恢似古人。每承提誨見天眞。名纔司馬才非乏。位止齋郞志未伸。義賴先師連分厚。情因嚴父託交親。鯫生自此將安仰。揮淚題詞倍愴神。</text>
<title>輓晩悔堂張公 慶遇</title>,<text>負笈當年拜後塵。大賢門下見斯人。行休豈羨朱門富。心足猶甘白屋貧。已自家嚴聯契厚。更因庭樹託交親。嗚呼前輩凋零盡。回首平生淚滿巾。</text>
<title>輓李鑑湖 道章</title>,<text>前秋八月鑑湖上。相對衰顔白髮新。媿我趨塵貪斗祿。憐君抱病際昌辰。臨分有約投簪紱。暮境同期臥洛濱。已矣九泉難可作。孤蹤末路但傷神。</text>
<title>輓羅修撰 以俊</title>,<text>璧樹瓊柯擢玉池。俗塵曾不累襟期。心腸暗逐朱絃斷。自此知音更是誰。</text>
<title>輓睦方伯 性善</title>,<text>幾年星斗仰高名。欲寫哀詞淚已傾。許國肺肝全激烈。暎人眉宇最崢嶸。召公棠下秋將暮。庾子樓中月自明。千里漢京飛旐返。齊民瞻望已呑聲。</text>
<title>輓張巨源 厡</title>,<text>惟君猶有古人心。襟韻元非俗盧侵。義自父兄連分厚。情因姻婭託交深。前秋喜執徐公手。今日悲纏顧子琴。白首餘生嗟獨在。人間誰復許知音。</text>
<title>輓李宏彥</title>,<text>聞君入地日。老我慟如何。平生親厚誼。欲寫淚傾河。</text>
<title>諸賢贐章[愼子擧]</title>,<text>海域相分後。天涯信使稀。那知料外見。旋作夢中歸。驛路多秋色。離亭半夕暉。各將無限意。臨別更霑衣。此去都休叔。崎嶇路欲迷。雲深公嶺外。日落鵲橋西。別恨桮中失。離詞醉後題。遙知相憶處。梁上月光低。嶺路迢迢南斗深。白頭離恨已難禁。別後要知情不阻。枕邊應有夢相尋。</text>
<title>諸賢贐章[黃鵠立]</title>,<text>夫君禮學更無倫。上疏歸來直道伸。應將氣節傳靑史。爭道聲名埒翠旻。河水卽淸生聖主。風雲相感集賢臣。遭逢昭代誠難再。莫向南陽老卻人。</text>
<title>諸賢贐章[李巨源]</title>,<text>十六年來禮失倫。封章一上士論伸。功存社稷嚴宗統。憤雪神人廓翠旻。千載遭逢眞聖主。百僚布列總名臣。君今尙屈齋郞位。可惜當時首事人。</text>
<title>諸賢贐章[趙偀]</title>,<text>滿腔忠赤世無倫。隻手回天大義伸。昏霧消空昭白日。淸颷凜冽覩蒼旻。風雲際會周元后。魚水重歡漢老臣。華蓋高軒盈道路。不知誰是徙薪人。</text>
<title>諸賢贐章[趙宗赫]</title>,<text>先生直道秉彝倫。閶闔投章悃愊伸。藉甚聲名掀左海。凜然風節霽秋旻。東華卻謝靑雲路。南國今歸白髮臣。相別豈無重會日。天書應復起高人。</text>
<title>諸賢贐章[趙宗俊]</title>,<text>德卲年高鬢髮皚。栖栖郞職孰嗟哀。榮枯莫歎樊蠅集。禍福當看塞馬來。時運若齊竆亦達。命途非舛閉還開。漢朝應惜馮唐老。休向南天策馬催。</text>
<title>輓[僉知金迬]</title>,<text>早歲交遊伯仲前。識兄高義濟時賢。呈玕紫闥彝倫正。剖竹黃堂惠澤專。竚見雲霄補袞闕。豈知良玉掩重泉。人間白首餘衰朽。臨輓題詞涕自漣。</text>
<title>輓[參奉李瀄]</title>,<text>平生孝友慕先民。事業如君世幾人。割指親痾欽子道。焦鬚兄藥見天眞。桐鄕遺愛今應在。蘭畹餘香遠必新。况復一言明國是。功垂竹帛煥麒麟。千載峨洋空雅音。感君傾聽解高深。騎鯨早赴巫陽名。從此休彈綠綺琴。</text>
<title>輓[府使宋光璧]</title>,<text>小少從遊慣。風儀識可人。南州多士望。北闕上書辰。珪組元非戀。貞忠幸見伸。佗時太史筆。遺蹟炳千春。</text>
<title>輓[直講鄭必達]</title>,<text>虎豹當關日。孤忠徹九旻。封章光國史。氣格聳朝紳。一病俄長夜。新榮未浹旬。三江攜手處。回首倍傷神。</text>
<title>輓[郡守柳挺輝]</title>,<text>隻手回天日。孤忠見尺書。南州人有此。諍士古何如。卻別同舟後。難忘識面初。臨風一灑淚。哭盡更躕躇。</text>
<title>輓[縣令丁彦璛]</title>,<text>君家聯璧盛當時。次第淪亡更有誰。辭感血疏邦禮正。名高靑史聖恩滋。語雖未了情難抑。生亦乖違死卻悲。冥路固知無早晩。幾時泉下盡交期。</text>
<title>輓[參議南天漢]</title>,<text>門閥三韓胄。聲名一世知。多士爭推仰。良材謾拋遺。毁瘠因成病。沈緜竟失醫。親朋嗟求隔。泉路儻相隨。</text>
<title>輓[參奉李榮世]</title>,<text>千秋之後又千秋。一箚刳肝動冕旒。草木亦知公姓字。聲名從此海東留。</text>
<title>輓[右議政閔煕]</title>,<text>關山萍水少年客。白首相嗟會面稀。抗疏天門推譽望。分符嶺邑借光輝。官遷水部星纔應。夢罷柯鄕露易晞。惆悵舊遊難再得。緘辭千里淚頻揮。</text>
<title>輓[判書李袤]</title>,<text>屬我纔爲工部長。聞君新命拜郞官。去伻悤迫惟傳語。來札悲凉不忍看。誰料挽箋兼惡秏。謾敎衰淚倍汍瀾。一言悟主扶宗社。千載奸諛骨亦寒。</text>
<title>輓[判書柳命天]</title>,<text>堂堂尺疏出書生。禮說縱橫破晦盲。宗社神靈應有慰。邦家嫡統賴重明。滿庭卿相堪生媿。異代胡陳可倂名。水部雷封俱拔擢。泉臺想亦戀恩榮。</text>
<title>輓[郡守李祉遐]</title>,<text>瀝血封章志不幺。向來雅望薄層霄。能將尺紙明天秩。長使高名仰斗杓。廊廟永依扶廈棟。邦家翻失濟川橈。人間父子情何極。海內親朋膽欲消。禍福來天終莫詰。哀榮有數竟難料。虛橫數曲山陽笛。痛哭臨風淚似鮫。</text>
<title>輓[郡守韓鼎相]</title>,<text>夫君氣節最軒昂。抗疏天門大義明。杜子忠良郞水部。汲生愚戇守淮陽。昭昭國史留芳蹟。蠢蠢兒童解姓名。衰謝竟違蒿里餞。哀詞寫罷淚霑裳。</text>
<title>輓[李相益]</title>,<text>回天直筆凜千春。經禮當年賴不陻。齎志縱然心許國。解官爭柰病纏身。恩綸遽降重泉掩。耆德云亡後學榛。惆悵向來趨拜地。此生無復荷深仁。</text>
<title>輓[李相稷]</title>,<text>秉喆魁梧質。河南座上春。格天功不世。宰邑德無倫。社稷經綸地。風雲際會辰。方將回大道。忽復喪斯人。存沒三更夢。榮枯一抔塵。淳風曾浹骨。高義已書紳。奚但幽明訣。深嗟後學榛。天涯無限淚。添灑浥歸輴。</text>
<title>輓[牧使崔鎭南]</title>,<text>危言久伏草萊躳。袖裏封章出至公。進釋是非邦禮正。退分銅竹聖恩隆。閒情遽促歸田臥。新命旋頒積病中。瞻拜北辰嗚咽逝。夢魂冥漠夜臺空。</text>
<title>輓[縣監李泂]</title>,<text>夙有君民計。憂時斷斷誠。一封釐典禮。三命煥恩榮。洛浦鷗盟結。仙槎鶴夢驚。休言位不滿。走卒亦知名。</text>
<title>輓[參奉李元祉]</title>,<text>堂堂直氣鍾乾坤。缺 萬古存。霜簡昔聞明大義。彤函今見劈羣喧。共嗟枳棘栖鸞鳳。誰識班行缺鷺鵷。白日三韓名不滅。汗靑遺蹟載輿論。</text>
<title>輓[判書兪夏益]</title>,<text>尺疏論邦禮。彝倫晦復明。自非由血悃。那得感宸情。首擢雷封試。新恩水部榮。千秋靑史上。特筆大書名。</text>
<title>輓[參判李夏鎭]</title>,<text>明時多士藹如雲。撐柱東南獨有君。抗疏當年天意動。分憂百里頌聲聞。門前五柳纔回棹。谷底幽蘭遽撤芬。直氣千秋埋不得。紫氛應驗斗牛文。</text>
<title>輓[府使李球]</title>,<text>鄕人稱善數吾公。聯璧優遊翰墨中。憂世每紆經濟策。抗疏終悟聖明聰。名垂竹帛功光國。恩畁銅章澤入桐。恨別已驚秋換五。白頭題挽淚盈瞳。</text>
<title>輓[參奉朴重徽]</title>,<text>平生早抱濟時志。冰雪襟期晩更淸。一語幡然悟聖主。孤忠可以質神明。百年海內聲名重。半世朝端寵渥榮。七十光陰渾似夢。碧山何處送丹旌。</text>
<title>輓[別提金煃]</title>,<text>一封曾上九重天。萬古綱常日月懸。快雪神人三世憤。能扶宗嫡百王傳。白頭郞署功名屈。紫綬州城惠化宣。可惜山河收正氣。直聲留與史臣篇。</text>
<title>輓[進士楊景淵]</title>,<text>天降斯人正氣回。封章一達衆陰開。靑蒲勁節矯時枉。白簡忠言聳柏臺。玉策芳名垂後永。金門高義自今培。南中已失儒林望。爲泣公私瀉一哀。</text>
<title>輓[生員朴震耉]</title>,<text>遙望雲間隻鴈飛。願言襟抱夢依依。芳蘭欲茂風何急。逸翮初博露已晞。白簡危言今寂寞。靑蒲直氣遽茫微。空將新渥付丹旐。長使吾人淚滿衣。</text>
<title>輓[宋時綱]</title>,<text>惻惻生幽感。興言託契初。桓山有四鳥。公家弟兄如。居在水上下。源源相訪頻。山房或書齋。情義日益新。連喪伯仲公。夫君獨踽踽。握手幾興嗟。永世期莫忤。粤在甲寅歲。議同膝國制。公時抗尺疏。大論驚一世。聖主嗟晩見。絃歌治百里。斗米恥折腰。棄官如弊屣。拂袖歸故鄕。永矢老林泉。我時乘白馬。數日相留連。公亦杖靑藜。同枕吐肺肝。自此學藏六。堪嘻世路難。一疾緣憂世。竟致醫技殫。瑟嶽愁鬱鬱。琴水咽潺潺。君今舍又去。何時開吾懷。獨立宇宙間。慘惔腸欲摧。靑天孤鴈鳴。梁月夢依俙。徒將滿腔思。書諸數行詩。</text>
<title>輓[府使呂孝曾]</title>,<text>肝血排雲叫。聲名得志秋。鴒原方抱痛。鸞棘乍分憂。友黨論心重。門欄氣槩優。七旬驚一夢。遺業在箕裘。</text>
<title>輓[判書沈梓]</title>,<text>嶺外人來報遠期。王孫芳草不勝悲。可憐抗疏功名薄。空使親知涕淚滋。</text>
<title>輓[郡守金是榮]</title>,<text>往者邦禮誤。彝倫將斁絶。人心怵威禍。臺閣咸囚舌。公時在草野。忠肝憤所切。瀝血叫閶闔。正論曒如日。魑魅莫逃形。邪議果冰釋。微爾不及此。功歸一介直。素蘊未展布。嗚呼就窀穸。昔時同朝喜。今日幽明隔。新阡違執紼。悵望空霑臆。</text>
<title>輓[都憲國]</title>,<text>抱玉當年獨自奇。挑燈中夜幾傷時。扶倫大義輿人仰。瀝血微忱聖主知。職列金班霑異渥。名留靑史暎遺辭。三珠幷美雙蘭茁。世世家聲永不虧。義合情深百世親。江雲春樹夢魂頻。瑤絃已斷餘衰朽。獨向東風淚滿巾。</text>
<title>輓[李湜]</title>,<text>享年六十八。非早亦非遲。在子固無憾。天心未可知。夫子當年敢抗章。世人爭道鳳朝陽。如何國是纔歸一。便卽黃泉水部郞。</text>
<title>輓[縣監韓洸]</title>,<text>脩短縱云命。如公堪可傷。七旬非上壽。五品是中郞。餘慶看雙璧。遺風頌一邦。䪥歌寒食節。丹旐故山傍。</text>
<title>輓[李安迪]</title>,<text>簪纓晜季二三人。公獨傷時冠搢紳。種荳南山懷志士。陳章北闕效忠臣。頹綱復振朝儀煥。誤禮還明國命新。可惜一官成白首。江湖歸臥竟終身。吾惟終鮮賴姻兄。友愛深交彼此情。每恨沈痾違笑語。那知永訣隔幽明。當今稱直生前業。萬古流芳死後名。伏枕未能臨穴哭。題詞不覺淚霑纓。</text>
<title>輓[李鐵柱]</title>,<text>長嘯宇宙間。親朋皆零落。夫公又乘化。慟哭幽明隔。我公眞義士。慷慨懷忠直。文章緖業承。詩禮家庭得。英風振衰俗。剛腸惟疾惡。蠖屈步未伸。江湖憂社稷。空將匡濟才。幾年閟草澤。是時邦運否。禮義多舛錯。朝廷盡囚舌。讜議誰謇諤。公時裏足行。千里懷短策。排雲叫閶闔。披腹進藥石。朝陽隻鳳鳴。風彩傾王國。壞禮復釐正。王綱還整肅。聲名從此大。聖心猶嘉績。北闕拜龍顔。南州分虎竹。三年臥淮陽。萬姓蘇河北。柰何嬰二豎。解紱歸林壑。一疾竟無醫。九原魂寂寞。未遂報主願。泉臺遺恨積。恩波及在世。四品官超擢。家聲自不墜。子孫又英特。福祿猶未艾。門闌將煥奕。卽遠今已迫。門前飛帟幕。悲風動新阡。寒月照舊宅。溫溫昔風味。已矣今難覿。佗日草堂上。誰與論心膈。何以慰我悲。題輓倍相憶。揮淚一回首。寒風助慽慽。</text>
<title>輓[都翰國]</title>,<text>瀝血排閽典禮明。大功眞是出儒生。一年超級褒言渥。百里分憂戀闕誠。將謂鵬圖雲路闊。豈知雞夢燭風驚。龍淵未遂同宗會。樹色江聲總恨情。</text>
<title>輓[生員都靖國]</title>,<text>敦睦吾宗百世親。遺風不泯今猶昔。觀君氣槩負平生。明我常經遇聖辟。萬古倫彝扶佑時。千羣仗馬銜嘶夕。金鳧還影未云幾。玉樹埋光何太迮。老淚奚徒友儕零。哀榮亶爲國家惜。從來病臥掩重門。執紼違情悲轉劇。</text>
