<title>明鏡堂。伏次先祖晦齋先生次眞樂堂韻。</title>,<text>登堂感舊躅。淸澈小塘空。明鏡無含有。重磨乃驗功。</text>
<title>輓柳溪堂叔斌 疇睦</title>,<text>再昨冬深夜燭燃。閒酬名理兩襟聯。詩書案上具藏眼。忠孝家中的世氈。白玉樓催香案譜。靑山夢斷故人緣。還輸氣數泉臺好。老石吾家又去年。</text>
<title>夢見來于悵然有作</title>,<text>相別幽明歲月翻。各天懷抱久消魂。神交枕上諒非偶。若有箴言警予昏。</text>
<title>謹次南窩鄭公 東弼 墓道豎碑韻</title>,<text>羅厓片石待今時。說與吾林此事知。朱程學慕編彙秩。梅魯家傳積累基。眼藏銘誌言言實。口誦箱咳字字碑。祇拜摩挲仍愴昔。仰瞻山色碧垂垂。</text>
<title>輓上舍族君善繼 憙久</title>,<text>澹幅冲襟許可人。人言氣數未全貧。如何一祟西歸日。歎息無因贖百身。一疏陳衷壁水瀉。金陵夜雨譴恩乍。於君不幸還爲幸。知有吾門李上舍。</text>
<title>輓三從姪老石公理 能燮</title>,<text>嶺士誦公議。榮恩曠百年。豈謂朝野望。遽止亞卿仙。大廈脊梁重。脊梁奄見摧。到底撐無術。方知一木嵬。雅恬冰蘖字。天褒袞華垂。朞月猶遺愛。海頭一片碑。世無難忍事。君死我猶生。幾度虛堂夜。如聞曳履聲。</text>
<title>同諸老迎春于玉成樓。呼韻各賦。癸酉</title>,<text>楸齋倫叙共迎春。大化源頭一氣新。世界升沈誰是主。陰陽消息迭爲賓。添燈夜話同金斷。生物天心屬木仁。僧報朝來浮瑞靄。今年此日又逢人。</text>
<title>夢見老石感吟</title>,<text>思君不見夢猶難。午枕俄驚怳惚間。說向兒曹如有囑。依然胡是病中顔。</text>
<title>守歲宗堂 甲戌</title>,<text>老去偏憐歲月尋。兩宵團叙燭花陰。煦嫗盛德知天大。多少閒情量海深。戲局不關當世事。盍簪要向古人心。元朝此日宜省惕。遺訓丁寧箴五吟。</text>
<title>又次仲兄韻</title>,<text>帝皥神芒日在甲。際玆邦籙自天申。看書須得分三亥。養性端宜戒五辛。六氣循環同起子。萬彙呈露驗生寅。堪歎世路多玄乙。莫把淸遊待後辰。</text>
<title>輓李景立 浩璉</title>,<text>襟期曾許卯君親。厚誼多從伯也申。塵慮都消生白室。牀書謾學守玄人。素知靜攝能扶力。豈料沈疴未去身。回憶前冬款枕語。堪憐此事更無因。</text>
<title>玉淵亭別河上僉契</title>,<text>芙蓉臺下水澄深。珍重襟期此見心。湖海十年驚白髮。院齋三日肅靑衿。同衰每歎音遐玉。披臆何論利斷金。未別還愁將別語。相思誰慰夢中尋。</text>
<title>屛山歸路入大栗。次近水亭主人韻。</title>,<text>山光水色古今存。萬斛雲烟鎖洞門。猿鶴春閒皆適意。琴書境僻不聞喧。無心遠結蘭皋佩。有客時傾栗里樽。得月樓臺糚點好。世間何必艶貂軒。</text>
<title>輓洛坡柳相國 厚祚</title>,<text>薰然德量坦然眞。輕重山南繫一身。司馬園閉獨樂日。稺圭堂耀錦還春。忠謨八世今元老。經幄三朝舊藎臣。此日公私無限痛。北平哀淚是何人。</text>
<title>輓大諫族叔 淵祥</title>,<text>霜華曉拂啓丹旌。惻惻餘生忍將輴。兩世喬陰今小令。三朝經幄舊儒臣。偏闈庋養終違孝。伯府涕痕柰割身。人百宗君嗟未贖。幽明此痛也應均。龍亡虎逝昔人悽。可歎斯文氣數睽。公議百年底有定。天靈會待牖羣迷。爲卜靑烏近海潮。鏡臨臺上素輧遙。桐鄕父老輓輀語。遺愛千秋護翦樵。</text>
<title>輓金義興 煕永</title>,<text>鶴山東畔小蕉香。投紱歸來聽野秧。善述家聲編魯集。擇仁初志臥商鄕。詩成晩癖驢肩聳。話吐淸臞玉屑芳。萬事如今都幻界。佇看餘業付諸郞。</text>
<title>輓鄭內兄 儒儉</title>,<text>中表人間七十年。兄兄弟弟好情緣。翻思七十年間事。一夢仇池過影邊。明霞繞屋小溪西。手澤烟煤壁上棲。留揭楣間拙字訓。丁寧付與過房兒。丹旌曉拂向新窀。埋卻靑山好箇人。雅量淸姿那更得。無端嗚咽澗流嚬。谷口無心信馬歸。到門方覺主人非。踟躕佇立空垂淚。惟見叫霜獨鴈飛。</text>
<title>輓族弟肅羽 在䎘</title>,<text>天中曉日拂謳悲。哭送靑山父子輀。庋閣春萎庭翣導。多君誠孝死生時。邇來事事亂絲棼。甚事句當不仗君。隻立病傖如失相。此懷誰與共云云。</text>
<title>除夕有感 辛巳</title>,<text>萬事升沈總付天。一身無適覺惘然。寥寥宇內懷朋舊。矻矻牀頭慕聖賢。竹爆聲傳灾告禳。葭灰管動氣潛延。廜㢝一酌千愁送。爲祝人間快活年。</text>
<title>輓金汝文 定濩</title>,<text>吾鄕非無人。惟公最善人。善人今已歿。當世有誰人。</text>
<title>玉院文會時拈韻 幷小序○壬午</title>,<text>院之有文會尙矣。而近因院用凋弊。百度廢弛。此事之倚閣不行。行且五六十年。今年春。齋席。李能新慨然有修擧之意。節省冗費。稍剩贏餘。以初夏之旬三。爲考校之會。會者百餘人。而斯時也溪山和暢。紅綠芬葩。天時人事。若有相會者。相與徜徉於巖臺水石之間。甚盛擧也。及其罷歸。咸曰此事不可無述。遂拈出先生集中和宋圭庵尋字韻。以備故事。追修故事肯相尋。六十年間歲月深。鹿洞規仍糚置卷。龍門韻遡抱過琴。三宵衿佩多麗澤。四月樓臺爽綠陰。勉寄諸君俱努力。誰敎無地遽成岑。</text>
<title>稷山文會時拈韻</title>,<text>糚點元來有主張。此行非爲倒壺觴。地宜畏壘時仍待。天剩文垣日又良。十里溪山生客愧。三宵罇酒劇談長。殷勤多謝主人眷。故故肩輿度夕陽。</text>
<title>題耐軒</title>,<text>生平不作打乖吟。輥到衰癃八十今。太冷淡時求至味。劇辛苦處見惺心。待乾不拭人誰唾。破事能除我有箴。耐得怎麽餘地做。緘三忍百箇中尋。</text>
<title>和權文叟 周郁 螺殼山六仙樓韻</title>,<text>水精雲氣淡歡山。眞假誰能辨此間。浩㥘不消混沌物。化工剩出錦羅鬟。羣仙拱袂叉雙手。玉女爲容遮半顔。香塢主人好事者。書牀盡日玩躋攀。</text>
<title>癸未正月。陞嘉善。同月大政除同敦寧授贈牒。六月十三日行焚黃。</title>,<text>分外恩資感淚先。此生那料八旬延。麻焚敎誥追三世。槐蔭餘休已百年。遇喜冞增孤露愴。道榮爭賀圈金懸。庚炎亦解恩私重。時送凉飆吹上筵。</text>
<title>除夕</title>,<text>九九八十一年春。年年只做這樣人。經掩床頭料理少。客扣門外起居頻。薄紗歲色干回甲。生物天時斗建寅。一氣陶來萬化始。佇看指日掃氛塵。</text>
<title>家內患染。遣悶吟一律。</title>,<text>憂是自憂樂自樂。世間那事不關天。竆陰盡處春生谷。虛魄還時月滿弦。否往泰來理上驗。咷先笑後易中詮。此心莫著煩思念。運到平和自豁然。</text>
<title>送宗君學九 容久 還直宣齋</title>,<text>千里行車涉凍寒。宿舂幾日到長安。粉場莫曰操心易。稠席方知守口難。城裏軟塵皆險路。槖中朱節是銘盤。前程漢水履冰薄。毋失令人嶺色看。</text>
<title>伏次先祖集中山窻卽景六言</title>,<text>無事凝神靜坐。湛然本軆虛明。物我皆由所養。天地自可見情。</text>
<title>追次萬歸亭重修韻</title>,<text>兄江兩岸之北。有萬歸亭。卽牙山蔣氏先世菟裘之所也。體勢臨江。風物盈矚。爲東都名勝之最。不幸中間事端層乖。風欞月榭。幾乎傾圮。雖緣人心之不古。而名亭勝槩。一任頹廢。維時我曾王考禁窩公。慨然興歎。圖還舊主。通諭一鄕。刱議重葺。與本家人合謀鳩工。因舊制而新之。軒欞復敞。風物改觀。時則三去庚辰之季秋也。江楓正酣。皓月方圓。官民聯舫。絲管迭奏。天時人事。若有相會者然。甚盛擧也。今距二百年所。而當日落讌之席。有重修記文及唱酬諸什。藏在本家往牒中。噫物之有興廢。物之數也。卒乃突兀華構。依舊爲自家器物。不與平泉花石同歸蕪沒。斯非理數之自然者乎。蔣君祖禹亭主也。語及亭中故事。仍請追次原韻。不佞耄甚而興想名亭之勝。愴念先故之重。不揆陋拙。猥足其韻。因附小識。略叙顚末云。名亭擅絶勝。糚點剩天成。野色透牕蘸。江光拖練明。雲烟十里畫。鷗𪆽五更聲。盥記感先躅。登欄倍覺淸。</text>
<title>輓南道源 有洙</title>,<text>粤自影湖哭任夫。兩家先故此中求。鰲山蚊水桐翁誄。楓菊蒼崖德老謳。留作後人茶飯語。恐將遺草蠧魚愁。可嗟歷世交孚誼。孤寄人間講與疇。眞襟雅幅佩綬長。到底風流是劇場。棊局消時敗亦喜。譚霏轉處謔何妨。鋟稿海寺三宵枕。探勝延湫九日觴。𨓏事如今都幻界。誰家白馬過山陽。</text>
<title>伏次雪川亭板上韻 二首</title>,<text>先亭蕭灑雪川潯。高挹淸風爽滿襟。鄴架遺氈書百卷。王庭種德槐三陰。千年野色朝而夕。百里江聲淺又深。愧蔑殘誠守舊業。一回兢惕一登臨。咫尺湖山宅近稀。都輸景物半遮扉。晴沙暖處白鷗嬉。豐草洲邊黃犢肥。雲際遠嵐峯影蘸。月中孤渡市喧歸。憑欄靜坐探玄妙。呈露洪纖摠化機。</text>
<title>磨溪會奠日。率從孫宅久。帶恩榮掃。</title>,<text>衣舃磨溪歲歲禋。奠榮將事感懷新。百年杉老寒泉舍。一朵蓮芳璧沼春。耀日貞珉浮瑞靄。戛雲雙笛導和神。餕筵起向諸郞勉。運到來時吉慶申。</text>
<title>次題李應元 斗和 梅圃雜詠 六首</title>,<text>書牀夜靜月輪回。愛看冰魂破臘來。笑殺孤山林處士。呼妻細酌暗香杯。梅疊疊金錢繞白屋。主人曾與結緣宿。江黃不負重陽節。爲問王弘酒已熟。菊幽居蕭灑丹山里。時見閒雲屋上起。種得幾畦康濟足。靈根穩喫補精髓。杞白甲層層聳似峯。朝朝嵐靄淡還濃。逝將歲暮心期托。爲爾風霜不改容。老松一朵驗來曆象家。土如寄王四時加。終年春夏又秋冬。花信丁寧不我遐。四季花有草名萱樹我園。春心共與日長溫。北堂牕下忘憂物。樂意先呈不待言。萱草</text>
<title>病臥無聊。戲呈書社諸人。</title>,<text>形槁心死世緣灰。一念時從古社回。花樹百年遺韻在。勉將諸友講修來。</text>
<title>獨坐吟</title>,<text>几闃罏煙歇。牀空茶酒逋。非要學聖法。靜坐自工夫。</text>
