<title>石門歸路</title>,<text>繁陰生遠樹。芳草夕陽天。白鷺知閒趣。將詩落我邊。</text>
<title>示安孔明</title>,<text>故人江月句。吟罷不成眠。安得隨江月。殷勤照子邊。又夢裏尋君去。遙遙不記程。覺來身獨臥。山月隱層城。</text>
<title>高敞倅李世卿還京歷路。携酒來見共飮。其酒告盡。而主人不能繼。追寄以詩。</title>,<text>富別吾何識。貧離最可傷。非無山下水。難慰此時腸。</text>
<title>世卿見予詩送酒。有感。</title>,<text>貧成無酒別。恨結有生前。忽得盈樽寄。情懷更惘然。</text>
<title>觀科行戱題</title>,<text>舊識浮生理。榮途日日馳。如今幷忘此。寂寂臥茅茨。</text>
<title>次金賚叔 汝錫 諸韻</title>,<text>南國春將遍。孤山已放梅。臨風三嗅罷。疑是玉人來。右次趙春卿憶梁永叔</text>
<title>次題寄扇面 二首</title>,<text>世事來煩耳。人生不願聰。誰能掃叔季。爲我扇淳風。人事如牛鬪。年來病獨聰。唯能巖谷裏。寂寞守雌風。</text>
<title>黃再寧率其弟任龜，聖徵。自詩山來見。留一日而歸。臨別余送于沙門外。仍立巖上。遠望其行。不堪悽黯。吟成一絶。恨未及書贈也。</title>,<text>白雪飄飄下。天寒山路難。應知歸客意。猶帶楚人酸。</text>
<title>戲題木劒</title>,<text>剛如鐵如意。未必威殘賊。木象義已淺。况乃皆豪劇。</text>
<title>挽野望堂 柳東淑○五首</title>,<text>莫道黃河深。不似我淚多。黃河有時盡。我淚長如波。莫道金石固。不似我心堅。金石有時銷。我心尙頑然。骨肉三十年。零落歸泉裏。又復哭親愛。哭哭哭未已。我生尙自保。我淚尙如水。我實木石人。有愧於天地。却思地下樂。轉輕人世情。歸見阿兄弟。爲傳速來迎。</text>
<title>余曾戲作古詩。贈別朴兄 守初。曰別離人所悲。貧賤情更哀。深源豈不奇。其奈心肝摧。晉殷浩廢黜。未嘗悲見於色。及送其侄子于江頭。詠古詩富貴他人合。貧賤親戚離之句。仍泫然流涕。 寂寂空山下。吾與病獨留。浮生知已矣。默默雙涕流云。其後朴兄寄書曰。前詩付壁觀之。悲傷之意藹然。無乃過乎云。故復次其韻二首明之。</title>,<text>達士輕寵辱。肯懷樂與哀。薑桂老益辢。身摧志不摧。又獨此衰老腸。未能忘去留。莫將惜別語。視作深源流。</text>
<title>次海臺韻。呈松沙 宋奎濂官至判書 行軒。</title>,<text>一罷三淸會。乖張問幾春。那知湖外路。忽對眼中人。好事嗟成夢。竆途患有身。江樓連日話。交誼轉相親。</text>
<title>又呈松沙</title>,<text>孤村寒食後。連雨杏花春。海氣凝疑蜃。潮聲遠懼人。淹留愁倦吏。潦倒愧殘身。賴有宋榮子。逌然一笑親。</text>
<title>在法聖。又次海臺韻述懷。</title>,<text>簇簇帆檣暮。冥冥花柳春。急風吹海水。微雨語船人。鷗鷺寧知恨。魚龍好隱身。坐看垂釣者。心與爾相親。</text>
<title>挽金丈 友亮</title>,<text>慘矣賢門事。悲酸忍問天。荊摧與棣落。前歲又今年。湖海風流盡。鄕閭德義傳。仍憐二孝子。遂廢蓼莪篇。</text>
<title>寄贈李馨之</title>,<text>乍逢難盡意。還別若爲情。楚岫能遮夢。秦雲漫濕纓。悲歡雙鬢在。聚散寸心明 一作驚。賴有丁寧約。幽居不揜衡。</text>
<title>沈城主內夫人挽。享年六十。封貞夫人。二子十孫。歸葬廣州。故三四句云。</title>,<text>欲說夫人事。哀榮各一時。六旬二品貴。兩子十孫奇。雄府方膺慶。泉臺忽動悲。千年漢水上。突兀大家碑。</text>
<title>次李馨之寄贈韻</title>,<text>行藏久自定。萬事已忘情。緱蒯嗟馮劒。曼瑚笑趙纓。烟霞成痼疾。魚鳥絶猜驚。此意靑蓮解。何時肯叩衡。</text>
<title>戊戌十月十七。承拿命。曉發長城。</title>,<text>曉發長城府。行尋古驛邊。峽雲晴欲雨。山路斷還連。罪大甘身困。時淸愧命蹇。悠然馬上嘯。忽憶故山川。</text>
<title>宿井邑。曉向詩山。</title>,<text>淸晨發井邑。日晩到詩山。風雪天威甚。山川道路難。浮生元困苦。此事更辛酸。欲賦西征意。沉吟字未安。</text>
<title>卄六入京。翌日就理。又翌日决配井邑。留別安孔明。</title>,<text>意氣在相許。何論新舊知。况今分手地。更是隔年期。楚澤蘭衰後。湖雲鴈叫時。九江論謫去。元子可無詩。</text>
<title>水原途中</title>,<text>縲絏寧非罪。遍流是所宜。淸時屈子賦。斜日賈生詞。世味全摧鬢。羈愁半在眉。江潭憔悴色。漁父倘憐之。</text>
<title>曉發德平</title>,<text>暗 一作早 隨商旅起。行渡淺深溪。夜 一作瞑 色迷前馬。晨聲聽遠雞。楚山元錦北。漢水本秦西。引罪含恩意。將陳已自悽。雖蒙遷謫。尙得近邑。益切西方之思。故頸聯及之。</text>
<title>朴生告歸。頗覺悵然。率爾書贈。</title>,<text>寥落寒山下。慇懃荷遠隨。今朝相別去。何日是歸期。風雪重關阻。形容異地悲。鄕隣如有問。獨賦吊湘詞。</text>
<title>偶吟</title>,<text>僑居雖寂寞。所喜絶塵囂。雲嶠雄南服。風烟暗北霄。人言虎在市。世事鹿藏蕉。耿耿平生志。中宵獨一謠。又使我天涯䆠。無寧一室幽。靜宜調病骨。閒喜絶塵咻。道在心常泰。詩來興自悠。江潭憔悴客。堪笑漫憂愁。</text>
<title>贈安維相</title>,<text>骨肉恩情篤。他鄕更覺親。推擠吾寂寞。跋涉爾勤辛。嶺路分南北。人心混僞眞。已知浮世事。何處可藏身。</text>
<title>中庵</title>,<text>寺古槐成癭。僧閒鬢欲銀。湖山交七邑。日月轉雙輪。歲暮風烟淡。天寒洞壑貧。自憐嬰世網。還得勝遊頻。又烟霞中岳寺。迢遞離風塵。過客門頻叩。居僧語漸親。湖山千古地。人世百年身。老宿堪依止。危蹤幸有隣。</text>
<title>疊吟</title>,<text>鳥道登來險。危溪落處銀。居僧勞杖錫。遊客絶蹄輪。雲確寒聲遠。石田秋事貧。恨無濟勝具。揮汗發嗟頻。又凈地開千歲。浮生笑一塵。慈悲應可賴。淡漠更宜親。寂歷泉傳響。蕭森檜聳身。誰云錦北客。今日却成鄰。</text>
<title>贈別鳴陽親友</title>,<text>得罪同深淺。離鄕無邇遐。梁鴻晩海曲。賈傅更長沙。朔雪年將盡。牢愁鬢已華。故閭如有問。寥落病仍加。又欣欣還惘惘。咄咄更呵呵。莫問深淺恨。且聽長短歌。楚山晴帶雪。湘水暮生波。君去增寥落。何人肯見過。</text>
<title>友人歸後。次韻以送。疊吟以謝。</title>,<text>逢時猶擯斥。臨老落荒遐。古峽風吹雪。遙山磧漲沙。悠悠悲世事。忽忽感年華。蕭瑟班郞鬢。淸霜半已加。又丞相崖州恨。將軍醉尉呵。浮生歸一笑。世事入長歌。故國思荒逕。春江夢綠波。忽看佳什至。開讀十遍過。</text>
<title>夜行</title>,<text>新歲纔三日。初昏月半窺。危途登更險。困馬叱逾遅。石古時疑虎。山深暗聽狸。行行猶未已。此去欲何之。</text>
<title>京中諸友有書相問。且送曆日。臨紙走書以謝。</title>,<text>謫裏星霜變。愁邊鬢髮摧。故人雲漢上。新歲信書來。感激揮殘涕。沉吟憶舊盃。平生膠漆地。回首意難裁。</text>
<title>謝影</title>,<text>世人皆厭棄。行路亦相猜。政自孤危地。慚君遠逐來。荒林斜日照。壞壁短檠迴。出處長同趣。深情謝欲摧。</text>
<title>影答</title>,<text>我今慙特操。君復謝吾爲。只是無求望。都忘有險夷。沙虫常欲射。世路亦多歧。直到俱相息。方應見大師。</text>
<title>挽曺參奉 溥</title>,<text>善父母爲孝。公無愧此名。蓼莪曾廢讀。簪紱晩辭榮。遺業傳羣玉。丰姿閉九京。南天雲霧裡。何處少微明。</text>
<title>次三勤上人卷中韻</title>,<text>夢裏乘黃鶴。名區獨遠探。朝來逢雪衲。秋後別雲菴。山水吾多癖。烟霞爾善談。風塵那可久。同作鷓鴣南。</text>
<title>勤來時。持傳子南書。疊韻却寄。</title>,<text>僧自湖中至。情書袖裏探。遙憐三載疾。獨滯一孤菴。詩酒應長廢。襟懷誰與談。思君千里夢。夜夜到江南。</text>
<title>謝李沛然 興浡。官至獻納。 丈惠薑</title>,<text>秋薑盈一器。遠到楚山中。辛辢元吾道。神明此可通。提誇喧野僕。驚賞走隣翁。細嚼津生口。盤饌不恨空。</text>
<title>次贈李晦卿</title>,<text>古來聖明日。必有放流臣。罪大猶鄕土。衣單更暖春。閒思露蕨採。興憶雨車巾。野老斯爲足。從今不怨貧。</text>
<title>次曺濟卿</title>,<text>竆峽春猶凍。孤村雪政深。頑翁欺客困。飢雀和人吟。舊讀書迷眼。頻酣酒擾心。他時能再訪。新菜滿前林。</text>
<title>疊韻寄金叔晦</title>,<text>平生金叔晦。夷險見情深。仁杏知吾嗜。烟茶慰旅吟。楚山連遠塞。秦樹阻同心。夢裏尋君去。千山雪滿林。</text>
<title>謝濟卿來過</title>,<text>一室他鄕遠。深林雪擁門。逐臣甘屛伏。君子枉車軒。故國人存沒。殘樽酒冷溫。浮生君莫問。蕭瑟鬢絲繁。</text>
<title>獨坐。又次濟卿韻。</title>,<text>別路雲山隔。羈棲瘴霧深。酒香誰共酌。詩就自長吟。身世惟孤影。行藏獨此心。柴門愁倚久。斜日下前林。</text>
<title>贈綿倅李叔弼</title>,<text>多謝使君車。來尋逐客居。幨帷驚僚輩。光彩溢村閭。舊迹同蕉鹿。危蹤似檻狙。明朝分手後。誰問病相如。</text>
<title>叔弼臨行次贈。余又走次。</title>,<text>日出動軒車。前驅出峽居。自憐遭蟄繫。不得返鄕閭。世道從呼馬。人心笑賦狙。衰腸兼惜別。雙涕更漣如。</text>
<title>次君明</title>,<text>相看成一笑。笑罷却凄然。萬事嚴霜後。孤臣落日邊。酒逢連閈友。興入石門天。莫問悲歡意。浮生已暮年。</text>
<title>書示君明</title>,<text>小牕明落日。幽興政悠然。春氣遊絲外。雲陰古戍邊。都忘遷謫地。但喜艶陽天。安得留君注。琴樽送暮年。</text>
<title>愼聖夔外祖母李氏輓</title>,<text>百世渾如夢。悲歡可問天。鏡分知幾日。龍合更前緣。孤旐深山裏。雙阡落照邊。傳家有宅相。香火定年年。</text>
<title>薦櫻</title>,<text>朱陽方屬晴。原廟薦新櫻。細瀉憐淸凈。匀圓見性情。露漙光轉動。盤滑勢逾輕。晩許頒諸省。金籠瑞氣縈。</text>
<title>挽吳君明 三首</title>,<text>藻思能詩句。風流愛酒巵。榮枯雙鬢在。遲晩一兒奇。蛇影終成禍。人生尙未衰。凄凉江上宅。秋月白差差。論交重氣槩。寄意出風塵。最是炎凉地。常思宿昔親。遠尋蘆嶺路。頻問楚江人。別語猶藏篋。披看涕滿巾。隴禽猶自繫。遼鶴已昇天。故國風烟古。他時涕淚漣。詩成無與訂。酒熟爲誰傳。更問重泉下。還能此意憐。</text>
<title>挽野望堂 三首</title>,<text>蒼松高百丈。干霄何落落。未作明堂用。風雨空摧剝。山河日夕空。雲物亦蕭索。松摧尙云哿。衆鳥將安托。右蒼松怨崇蘭生遠壑。浥露頗芬馥。縱未薦郊廟。猶能香㵎谷。風霜不相貸。萎絶誰更錄。只今幽林下。淸風空肅穆。右崇蘭怨孤桐生石上。中含太古音。朱絃奏淸廟。可以通幽陰。至寶天不慳。摧折委寒林。無由理餘韻。哀哀淚滿襟。右孤桐怨</text>
<title>挽尹上舍 鏶</title>,<text>久知浮世促。忽報丈人歸。淮海風流盡。園林舊業非。七旬駒隙馳。萬事鴈泥微。蕭挽難傳恨。悽酸涕滿衣。</text>
<title>挽姜上舍 務仲</title>,<text>潔似玉無類。知招造物猜。祥琴未就曲。洹夢遽傳哀。緗帙藏遺馥。靑樽掩素埃。從今交際地。那得見奇才。</text>
<title>挽邊春長 二首</title>,<text>我昔遷南日。君方葬內回。郵亭風雪夜。浮世死生哀。一別移星序。千秋隔夜臺。燭詩吾尙記。吟罷涕沾腮。鶴髮含飴樂。諸郞舞彩聯。如何未百歲。遽爾入重泉。往事舟求劒。新歡鏡續緣。通家吾最舊。此義更誰傳。</text>
<title>追次吳尙之見贈之韻。却寄四首。</title>,<text>小堂相對處。寒色到西坰。話別嗟頭白。談詩喜眼靑。殘生愁與病。浮世醉還醒。却憶銀臺裏。嚴鍾共夜聆。名姓編丹籍。蹤跡遍野坰。鬂憐今日白。鬚憶舊時靑。忽得平原飮。還思正則醒。故人雲漢上。猶足慰瞻聆。右敍相逢時景雄才臨大府。威武振湖坰。颯颯旌幢碧。遙遙海岱靑。笙歌簾外鬧。燈燭夜分醒。晩角餘聲裊。時時入暮聆。陳玄在絳縣。不喜到郊坰。拂硯香烟碧。揮毫彩霧靑。虞卿成晩着。屈子賦孤醒。毛穎難沾首。荒辭孰我聆。右賀拜海州牧使。而且求陳玄。</text>
<title>石門寒雪</title>,<text>臘月連宵雪。寒齋獨坐身。凍窓如學語。飢鵲欲依人。松冷看疑槁。梅嚬嗅可伸。靜中觀物理。慚乏近功新。</text>
<title>悠然見南山詩</title>,<text>採罷東籬菊。翛然對暮山。蒼茫開活畫。寂寞露孱顔。倦鳥飛將盡。孤雲意自閒。相看兩不厭。坐久却忘還。</text>
<title>寄連源督陲</title>,<text>小白烟霞外。黃楊玉㵎濱。幾曾經閏厄。終不作樵薪。殊價傾秦璞。奇姿邁鄭珉。書生多古意。千里夢思頻。</text>
<title>悼谷口鄭丈</title>,<text>世豈有斯老。天應忌太淸。浮生元一夢。吾輩矧多情。環碧烟霞晩。梁園水月明。舊遊渾寂寞。回首涕沾纓。</text>
<title>寄黃台叔</title>,<text>不見黃江夏。無端鄙吝萌。夢迷雲半嶺。腸斷月三更。絳闕煙霞逈。靑袍雨露榮。相思秋又至。虛壑夜凉生。</text>
<title>溪上晩春</title>,<text>懶慢誰相問。翛然臥竹床。幽溪鳴玉馱。戲蝶掠花忙。客去山逾靜。詩成興更長。老僧無一事。掃地坐焚香。</text>
<title>挽林承旨 堜 令丈</title>,<text>慟哭息營老。平生仰如山。情深存沒際。義見給賙間。錦水何曾極。高風不可攀。向來圖報地。回首涕潸潸。</text>
<title>次吳善徵韻。贈曺渾。</title>,<text>大士棲眞處。蕭疎斥綺羅。無憂爲富貴。有酒是繁華。動靜床頭易。榮枯砌上花。唯應幽客至。相與共婆娑。</text>
<title>夜臥無眠。忽憶少年時赴洛之行。仍作曉行詩。嗚呼何望復見此耶。</title>,<text>已下山坂傾。葳蕤過小河。淙淙野水亂。翳翳平林多。缺十字 前行多商旅。時時聽寒歌。</text>
<title>挽嘉樂丈 柳泰翊</title>,<text>玉未薦郊廟。輝美空沉藏。麟馬駕鼓車。不服萬乘箱。世人見其然。擧謂同尋常。丈人千頃量。俗子誰能詳。論道早見原。直趍無周章。旁及百家說。貫穿如指掌。時事入掉頭。中年還稅鞅。小山叢桂深。風月入虛幌。義勝日得肥。身屈氣猶爽。骨肉有知己。一樂种與蔣。溫溫兩蒼顔。白髮相映明。子來晩多病。張籍心不盲。閉門觀造化。藥鏜聞蟹沸。鶉蛙旣自了。梟炙寧肯諱。達去公能事。獨我心慘悲。昔在弱冠時。公實拂拭之。北海友禰生。伯牙知子期。明月無暗投。下里蒙許奇。險命天不佑。慘禍餘殘喘。枯魚慟含索。鶺鴒悲終鮮。出門無所往。擧目無與親。尺素醉死生。公乎眞愛人。鞭驢石門路。握手雙沾巾。南符偶一佩。代鬬勞精神。麗藻常翩翩。誨語仍諄諄。中間一再逢。未得開心塵。秋風動江蘋。川路明如銀。公來坐岸沙。我出陳小樽。一盃拂衣起。死生成慘言。華緘猶再至。語苦心不昏。拆書纔數日。瓊夢遽報祅。儀形森在目。楚些難更招。玉樹埋地中。華屋歸山側。千秋與萬歲。已矣空相憶。驢鳴敢後客。素車應暫息。</text>
<title>狗鬪</title>,<text>小狗昧事勢。浪出深巷裡。氣力旣卑微。况乃無所恃。果然羣狗出。呑噬無不至。四足與頭尾。拖曳不蹔止。皮毛難自保。性命論以咫。倉卒忽轉身。危籬得所倚。左酬且右應。如角而如掎。羣狗各退蹲。狺狺猶未已。小狗尾捽股。側行行邐迤。回頭見戰塲。有若負深恥。豈是羣狗仁。不欲置之死。或如忌有依。反示恩出己。難使對以臆。誰能測其理。病客方倚戶。逌然一笑視。弱肉強之食。古來非獨此。再笑復三笑。斜日明窓紙。</text>
<title>贈李晦卿</title>,<text>孟子有言曰。人可爲堯舜。理固無彼此。只在能體認。立腳貴正大。施措要平順。此心若小怠。千里卽一瞬。進銳而退速。學者所當愼。丈夫平生業。豈可草草爲。老夫何所知。感慨聊言之。</text>
<title>砭齋崔先生輓 蘊官至承旨</title>,<text>乾坤有正氣。萬古塞穹窿。孕出無雙士。眞成一代雄。精神軒宇宙。志量浩雲夢。玉樹森千丈。靈芝郁萬䕺。聲名高稷下。道德邁淹中。心潔纖埃絶。功深萬理通。驊騮宜法駕。圭壁合淸宮。科第終兒戲。功名亦夢空。風塵回遠駕。雲壑養閒躬。張禹嬰新寵。甘盤念舊功。銅龍承眷渥。袍笏立瀛蓬。舒卷隨時義。恩榮軫聖衷。綸音催賜馹。憲府擢乘驄。玉圈聯翩至。銀臺位望崇。風雲千載會。進退一般忠。聖意雖虛佇。高情奈固竆。興酣千樹桂。魂入九重楓。藥裹課新採。茶鐺拔宿紅。河南薰德義。洛北誦高風。吾道寧終否。斯民豈竟聾。佇看鳩杖穩。還見鶴毛童。掬玉驚洹夢。盃蛇感壁弓。蛻神遺濁世。騎電返蒼穹。樑折亡蓍蔡。山頹失華嵩。空餘謝傅宅。誰占少微虹。慟切秦舂輟。哀添楚些終。瑤琴空閉匣。緗帙已絲虫。先子交遊早。平生契義隆。峨洋曾激賞。珪子幾磨礱。乘興山陰棹。抽奇元白筒。行藏隨道義。襟袍動昭融。痛矣遭奇禍。天乎奪我翁。世誰憐慘毒。公獨恤孤蒙。地下存亡隔。人間恩義洪。方期歸大冶。終得點頑銅。萬事舟求劒。孤蹤鳥閉籠。龍崗啓旌翣。雞酒愧徐公。天地雲容暮。關河雨氣濛。九原何可作。百歲定長恫。斜日臨江淚。春風灑向東。</text>
<title>辛丑秋。石門書懷。</title>,<text>天秋白露下。爽籟鏖殘暑。幽人動佳興。駕言遊何所。石門入雲衢。翠壁臨江渚。杖藜閒彳亍。石逕時延佇。河山入遠曯。風日縈衣袪。似欲腋生翮。飄飄然仙擧。又疑凌絶塞。橫行略居胥。壯懷徒耿耿。寂寞誰與語。却嫌身世孤。遠思前日儷。昔在乙未歲。諸賢共訪予。揮鞭叩雲關。解衣於我處。隴西子子暉。奇談皮裏貯。河東公晦叔。重望如鍾簴。君明乃吾宗。風流有來緖。相將永日夕。誰復分吾汝。款洽諧金石。酬唱如律呂。探討竆深淺。遊樂無細巨。斸崖開幽逕。伐樹望平楚。發響戲山鬼。轉石驚鼯鼠。奇遊成爛熳。寒暑移歲序。造物本好劇。聚散誰能圉。明也復夢瓊。沉沉脩夜去。二公晩覺非。閉門勤相拒。山河縱如昨。生死長相阻。獨立望秋天。淚流何湑湑。我或負二公。二公曾吾與。只欲論事理。何嘗鬪角距。謝辜欲負荊。抒恨欲沽醑。但恐愚魯質。言語多齟齬。收涕搦素筆。悲懷聊一敍。獨臥掩雲扃。人間更何許。</text>
<title>寒食日感吟</title>,<text>薄酒且寄興。呼兒時一斟。平生五字句。難慰百年襟。顧非食肉相。寧懷衣紫心。東風吹百五。古雨迷遙岑。香火愧遠誠。恨結松楸林。我在尙如此。我死誰更尋。寂寞倚西牕。涕淚空涔涔。坐看紅濕處。悲懷聊一吟。</text>
