<title>除夜客燈。思念父母之年。不能寐。因成短律。乙巳在洛</title>,<text>浮萍千里客。今夕喜懼新。此夜終難遣。明朝又一年。</text>
<title>和盧皡汝</title>,<text>喜事南來一竹林。此君已與結交深。勁姿直節磨礱處。銷却許多鄙吝心。</text>
<title>和趙雲擧</title>,<text>傾覆栽培造化心。君家兄弟蔚如林。滔滔日下吾鄕士。慷慨共修續古音。</text>
<title>和金雲仲</title>,<text>洛水三千丈。朋情與淺深。滔滔皆齷齪。喜子脫踈心。九秋候館坐楓林。谷鳥嚶嚶翠竹深。此裡非無幽情趣。邸堪耿耿故人心。</text>
<title>松潭先生挽 乙丑</title>,<text>大老巋然忽已仙。那堪嶺外淚漣漣。豈惟樑折私門慟。偏得哲萎識者憐。半世功名人可考。一生慷慨勇無前。彌高彌卲耽書癖。手墨未乾性理篇。端衣正履儼如臨。一脉就翁早更尋。至老硏經心獨苦。誘孫負笈意何深。癡獃昔被三冬敎。剛决每欽百鍊金。視含執紼俱違願。千里緘辭淚不禁。</text>
<title>和鄭最峻 丙寅</title>,<text>會心適爾點朱書。乘興偶然駕小車。有竹有松兼有水。何如昔日縣丞居。</text>
<title>八月十五夜。獨坐齋庭。庚午</title>,<text>雲漢昭回斗轉明。閟宮夜月帶秋淸。微風不起心如水。獨坐無情若有情。</text>
<title>和姜別檢 斗煥</title>,<text>憶昔南游日。省闈見大篇。妙才人却後。家範衆推前。逢舊情仍熟。作僚意更牽。瓊琚投滿紙。勉我使無愆。余於丙寅嶺郵時。爲東堂試官。此人其時發解有面。且此家以有家法名於嶺故云。</text>
<title>次李主簿 宗心○辛未</title>,<text>懶拙世間莫我如。平生虛讀聖人書。門墻孰繼由升後。詩禮徒聞鯉對餘。磨去浮塵還古鏡。疏來活水注淸渠。宜思分數相多少。與子辛勤共一鋤。造化行時我亦行。有情驅去若無情。風波已歇靈臺裡。但願邦家日太平。湖南千里又今行。沿路風光若有情。離合竆通來復去。成都何必訪君平。</text>
<title>與車掌令 敬鎭</title>,<text>與君年輩最相親。邂逅京華又接隣。天下有名車氏宅。應多慷慨激昂人。辛巳七義士。車氏爲四人。而此人卽其後孫。</text>
<title>與文伯膺</title>,<text>紛紛擧世走荊榛。淳古如君獨抱眞。人爵那凌天爵貴。願言莫悔益堅身。</text>
<title>與李典籍 升烈</title>,<text>邂逅終南下。飄然袖袂香。簪纓和隱宅。聲價壯元郞。感子來侵夜。携衾與共床。一言遙奉贈。出脚始憂傷。</text>
<title>七月在肇慶廟齋室</title>,<text>媚人富貴我生憎。逃世淸高又不能。自愧資身無長策。祠官千里伴秋燈。</text>
<title>八月十六夜。與隣僚步月南橋。</title>,<text>步出城南路。隣僚亦我同。偶然行得月。適爾坐騎虹。向夜人囂息。傾壼酒氣融。此間眞樂在。歸袂又淸風。</text>
<title>答而華箕城別章 癸酉</title>,<text>進亦爲憂退亦憂。古人何故謾多愁。堯夫圈裡還安樂。萬事祇今任水流。</text>
<title>聞而華小成之報。更用前韻贈之。</title>,<text>退憂爭似進時憂。竆不必愁達可愁。萬馬馳中駐一足。屹如砥柱奠洪流。</text>
<title>余年五十。自稱非翁。題于鵩舍。甲戌</title>,<text>塞外遽然伯玉年。舊非新孼摠堪憐。不曾讀易依君子。多愧平生負聖贒。</text>
<title>送德叟歸家</title>,<text>送汝歸家好。及春早力田。我行應有日。分手莫相憐。</text>
<title>挽卓丈 千岑</title>,<text>萬事滄桑又哭公。云胡不憗恨蒼穹。拜牀奚但朱陳好。覿德元非斧鑿功。七十七齡人有幾。肖子肖孫福無窮。靑蒭一束秋江冷。拚紼違心愧病癃。</text>
<title>敬題加德書室 乙亥</title>,<text>憶昔庚寅之歲。我先君築室于加德山之陽。迎先生而授臯比。先君有詩曰新卜一旬完士林。洙波千載發源深。攝齊童子能危坐。始覺工夫在正心。先生和之曰石取於山木取林。辛勤搆屋意何深。壞人子弟誠多愧。竊欲同求已放心。竊伏惟念我先君之所以迎先生而授臯比者。不過欲子弟之正其心也。先生之所以擊羣蒙而育羣英者。亦不過求其放心而已。求其放心而正其心。則聖人之能事畢矣。詞近而旨遠。守約而施博。至哉言乎。於是乎數十餘年之間。凡遊於先生之門者。小成小大成大。方方圓圓。各極其量。而莫不有雅飭之稱。咸曰能擇師。咸曰能善敎。噫。先生沒而我家南渡。濟濟黌舍。鞠爲茂草。幸玆先生之族人敬玉與隣人金致績等。經始於今春。仍舊制而覆以瓦。日月幾何。廈屋渠渠。余歷臨而悵然懷古。爲諸人誦二老之詩曰。苟使建此堂者。體我先君之能擇。主此堂者。體我先生之能敎。前人作而後人述。其千百世。勿替引之。則天理常存。人心不死。不負天地所以生我之意。而參三才而無愧者。亶在於求放心而正其心而已矣。諸人勉之。後之人亦勉之。遂敬次原韻。時則旃蒙大淵獻孟夏之月也。憶昔盛時道德林。重修此日愴懷深。遺音一唱知眞訣。千載無忘二老心。</text>
<title>庭前山菊爛開有感 丙子</title>,<text>主人喜事無。爾托且非地。爛熳意何深。天香空自媚。卽大行不加。竆居不損之意。</text>
<title>華谷里人。重設約會。席上次金丈 益煥 韻。</title>,<text>先生遺澤後人承。卄載于今是席登。誰識此間無恨意。數三華髮有吾朋。盖行約會於是壇。已是卄載。而先生門下。只有白髮數三人。</text>
<title>書贈而華 二首○丁丑</title>,<text>君惟知我我知君。相愛慇懃到白紛。氣質由來難變化。而今誰與共斯文。克己須從難處克。向前舍死一孤軍。我非不畏斯疏戒。忍負松翁忍負君。</text>
<title>次聚遠樓板上韻 樓卽軍資監入直大廳</title>,<text>竊祿滄洲近。紛如白髮翁。寸心餘舊赤。斗酒賴新紅。拱揖千重嶂。軒昂萬古風。終南佳氣在。聖化與之隆。</text>
<title>與諸友游三淸洞 戊寅</title>,<text>偶然乘興起徜徉。山友不期共陟岡。嶽色連天騰彩靄。風光帶日媵韶陽。有花卽賞何論品。呼酒輒傾莫問觴。這裡元來眞樂在。斯人却愧枕黃粱。</text>
<title>聚遠樓。復用前韻志懷。</title>,<text>吉城曾賦鵩。五十號非翁。復夜微陽動。天理之進 焦原野火紅。人欲之退 衛臣思寡過。漢帝會悲風。猶是阿蒙舊。拈香筮楝隆。</text>
<title>有感</title>,<text>愧乏資身計。棲棲斗祿中。不貧天賦予。甚好乃家風。緣底狂塵走。強顔俗子同。淤泥終莫汙。溫潤媚崆峒。</text>
<title>卜居鳧湖之奧區。爲資暮年之湛樂也。不意伯氏舍生。有萬悲無一樂。不忍泚筆於此事者久矣。適此直廬閴寂。念念尤寃。信手灑血。遂成長歌之哀。凡六疊韻。</title>,<text>湛樂雙雙海曲期。冲霄驚失未央時。搏風直上穹隆竝。掣電何曾羽翮遲。鷗鳥盟寒秋水咽。熊魚志决暮雲移。茫茫天地無因極。千古酷寃有孰知。塤篪一世卽牙期。縱橫劇談萬古時。義理精微商榷盡。皇王帝伯頡頏遲。連牀奚但星河轉。促膝尋常日景移。劫火滄桑天地裂。悠悠此事更誰知。風雪禾山是別期。亂初。與伯氏分手於禾浦。 干戈搶攘死生時。行居久速初無問。魑魅荊榛但不遲。別時。兄弟脉脉無一語。 大義堂堂曾所受。刀山鍔鍔豈能移。天乎漠漠天乎否。知莫奈何又莫知。三災荐至孔如期。有意天公扤我時。倚窟獍梟何噬急。居前饕餮又來遲。裒原餘燼無人拾。倉卒謾官速禍移。節節遂成千古恨。死生誰恤更誰知。伯氏之事。大義之所在也。天之命也。固不可以兒女子之哀哀之。而若其義擧之被發也。貪帥之緩寇也。豈非深恨。而骸骨又不能收。且余若無官於其時。則不急分離。容有䂓畫。而赴營之擧。雲山之除。賊之忌惡益深。死生契濶。獨受其禍。天乎天乎。三百六旬是一期。思兄日日夢兄時。有魂明滅無竆盡。若氣氤氳不少遲。關外謫居關外繞。漢南游宦漢南移。死生晝夜徒爲耳。何喜何悲報我知。六七年來。殆乎無日不夢。爲弟爲兄世世期。昔人猶是說平時。狂飈遽割胡渠忍。至樂未央不我遲。申囑釋迦如有果。丁寧造化倘無移。生生死死輪廻極。萬古此心始乃知。</text>
<title>至日題座右</title>,<text>天地今陽復。吾人亦自新。提醒初出日。子諒太和春。不可情過節。莫令實爲賓。一心須慥慥。數語更申申。</text>
<title>自省 二首</title>,<text>心役於形禽獸是。爲禽爲獸死寧休。袗琴糗草吾何與。慥慥惟憂德不修。耐貧豈有他方法。耐去耐來耐不休。耐到熟時無戚戚。非吾臆說講前修。</text>
<title>三昨雨霏而霧。昨大雪。今朝又霧。十一月二十九日</title>,<text>昨何大雪今何霧。日氣冬來苦不調。祇爲衆生二三德。有形卽影理昭昭。</text>
<title>送金汝識 祉垕 赴楸坡鎭</title>,<text>遠遊何所戒。數字奉君收。造次臨盃酒。尋常見物尤。橫財如避敵。忿氣却宜愁。不偶丈夫行。靑燈且古求。</text>
<title>和尹生 光演</title>,<text>依俙得道塗。醉夢多尤悔。遐陋有何知。上都文武在。</text>
<title>挽崔掌令 雲翰</title>,<text>終南秋色正蕭踈。驚起寒燈泣訃書。今世誰家公藝是。吾儕無復伯高如。人間七十寧非壽。滿室蘭香菀有譽。堪恨薄官爲惡業。月峰風雨不虛徐。崔朔州人也。累世同居。自京向鄕。至平壤月峯地而歿。</text>
<title>題黃州天魚孝子事蹟後 庚辰</title>,<text>余自幼聞黃州天魚孝子之稱。而未得其詳。今以公役到黃留數日。始懲於邑誌。且參以邑人所傳。誠可異也。孝子姓李名宅仁。大明嘉靖年間人。登武科。性至孝。丁憂廬墓乏水。忽有湧泉之異。服闋別設影堂。朝夕拜謁。一日朝參。以未得生魚爲恨。天忽大雨。尺鱗一雙。落于廟庭。牧使尹仁涵親到其家。作詩以歎美曰。嘉君誠孝獨全初。忽得天然二大魚。雷雨無端驚白日。雪鱗多意落蒼虛。急收斗水完鬐鬣。坐致聲名聳里閭。太守驅車徵異事。他年恐欠史官書。兪泓詩曰。聞君雖久識君初。我愛純誠感一魚。但見翠巒懸白雨。誰知紅鬣下玄虛。仁聲已遠醫頑俗。異事爭傳動僻閭。只恐姓名終泯沒。老夫和淚盡情書。牛溪成渾詩曰。好德誰非同此心。偶然開卷泣丹忱。一誠無僞風雷感。方寸昭昭帝赫臨。崔笠詩曰。冰躍猶應是水心。廟前工趁薦時忱。卷中所歎惟形驗。喜懼當年積履臨。壬辰倭寇環其里不入。遇國恤。必心喪三年。名聞上國。神宗皇帝賜玉假山香爐玉燭臺玉童子等物。子孫至今守之。享年七十六。萬曆己酉㫌閭。我英廟戊午。贈戶曹正郞。人心一處動天心。魚落碧虛見至忱。此日黃岡徵實蹟。悚然三歎赫如臨。</text>
<title>次金郊督郵見寄韻 文之鉉玉汝。與余同庚。安邊人。</title>,<text>陋我宜先倡。良朋早着鞭。莫云西北異。要看襟期連。萍會固難得。桑弧又並年。慇懃臨別語。何日更芳筵。</text>
<title>別金五衛將 景燁</title>,<text>慷慨言兵淚下時。感君之義始心知。逍遙永夕寧無以。不是區區惜別離。</text>
<title>贈信川白氏兩秀士 白文表，白敏成。</title>,<text>幾百年前同一室。殊鄕邂逅喜如何。慇懃臨別無他語。實地工夫好切磋。</text>
<title>挽卓參奉 東範</title>,<text>一呼先應我兄旗。忠孝眞情板蕩知。驚起惡音從旅鴈。愴懷斯世隔風儀。天翁報復參差見。指血淋漓大小兒。海曲縻官違執紼。謾將哀淚瀉豐碑。卓卽我伯氏倡義時同聲者也。以今八月二十九日。病逝訃至。有四子而第二第四相繼血指云。</text>
<title>長連儒生裵漸。壬戌年間。來做我塾。及其歸也。我伯氏以詩贈之。裴生今來示余。讀之愴然。遂敬次其原韻。</title>,<text>海外流餘馥。王孫不可期。那堪千古恨。日日復時時。</text>
<title>挽金孟山雲仲 致龍○壬午</title>,<text>後我期君來哭我。君今先我我還悲。堪歎故舊多爲故。豈意斯人又有斯。半點機關容不得。一生坦率浩無涯。白駒靑草荒原上。埋玉春風惻惻宜。</text>
<title>挽洪正郞處心 宅柱</title>,<text>美坡秋樹忽彫零。何處依俙覿典刑。亹亹願言先輩事。諷諷仰止碩人馨。哀懷孝子三霜恨。隱誄友朋一束靑。不幸吾鄕陽九會。從今誰與共絲苓。此友遭母憂未闋服而歿。尤可恨也。</text>
<title>挽崔生 敬玉</title>,<text>先生遺澤幾人存。終始如君又九原。騎竹吹蔥無不偕。患難辛苦更何論。枝枝茁出知由積。勉勉勤培詔在昆。一見遽爲相訣日。潸潸使我淚聲呑。</text>
<title>挽趙雲翼 夢鵷○癸未</title>,<text>難得如君好箇人。適來一笑僅中身。簪纓古宅鍾生篤。幹局文華負抱眞。萬事蒼茫雲水逝。霎時風雨玉樓賓。攝提貞共朱陳社。此日攀輀淚滿巾。此友與余同甲。其卒也。處置整暇。大笑曰人生固如是云。</text>
<title>挽盧都事 </title>,<text>邇來不仕報春暉。一疾云何抱恨歸。耕讀成名人有幾。簡恬守己衆無非。劇談洛下前塵隔。共勘朱書好約違。此友此生難復得。靑山淚盡更歔唏。</text>
<title>六十已滿。復用甲戌元朝韻自警。甲申</title>,<text>滚到此生六十年。紛如白髮有誰憐。直須兢業終吾世。莫諉蹉跎負昔賢。</text>
<title>平生山水之夢甚多。今夜亦夢之。有詩二句。第一句忘之。第二句曰澄江蒼壁浩無涯。覺而足成之。六月六日</title>,<text>矗石奇峰襯入懷。澄江蒼壁浩無涯。平生不必樂仁知。山水精靈夢裡偕。</text>
<title>守歲感懷 丙戌</title>,<text>滚滚明朝六十三。臨深履薄是前參。紹先裕後無他策。分付兒曹好克堪。</text>
<title>送柳士能 可均 赴任瀛洲之㫌義 丁亥</title>,<text>事或辭難不丈夫。倦遊今日且南圖。千金駿足無容地。一葦鯨波借別區。酒色堵墻要决意。君親恩愛佩爲符。丹心瀛洲夜。老宿祥光燭九衢。</text>
<title>璿牒修補。始役日。奉和提調韻。十一月初一日提調金祖淳</title>,<text>天惟輔德眷吾東。茀祿穰穰一歲中。大號揚徽瞻紫極。神孫膺運降靑宮。离明繼照重華日。晟化旁流偃草風。蕫事猥隨羣彦後。敢將微悃頌無窮。</text>
<title>挽卓正郞 瑊○戊子</title>,<text>俄聞千里有吟呻。驚失南隣一好人。半點機關曾孰暏。片言傾倒渾吾眞。區區薄宦成陳跡。孑孑佳兒續後塵。堪歎化翁何滚急。丹㫌倐忽問前津。</text>
<title>寄示兒輩 時在洛</title>,<text>伺候公卿夙所憎。况今病鶴瘦崚嶒。北窓長夏無塵想。惟待秋風賸我乘。</text>
<title>故參奉卓友 東範。 有孝子㫌閭之命。因感懷而作。</title>,<text>何處得來此箇人。煌煌棹楔自重宸。須看板蕩激昂日。孰與晨昏洞屬辰。移孝爲忠如執契。漑根食實豈無因。九原難作東流恨。不死餘生感淚新。</text>
<title>送洪大益 𥚗煥 赴濟原郵</title>,<text>我逢今世士。輒道古之人。惻惻悲岐路。遑遑拾墜眞。城西何報惡。天下孰無親。敎化須加意。一夫亦王民。時有獒城後孫。綱常之獄故云。</text>
<title>有所思。兼以示兒輩。</title>,<text>千萬人中知有己。任它外物去來閒。戰兢臨履眞工在。這裡主翁不啻山。</text>
<title>挽金典籍 彜爕○辛卯</title>,<text>老夫吟病暮江濱。驚得訃書倘夢眞。生豈偶然如有意。死何遽也詰無因。分明手線縫衣子。恠底丹㫌忽問晨。萬事煩寃難說盡。臨風長歎仰秋旻。</text>
<title>次朴泳之 養涵 回甲韻</title>,<text>憶昔泳之兄弟來負笈于華谷丈席之日。泳之固有孟子所稱三樂之首。而不佞亦無不及焉。顧其樂果何如也。倐忽之頃。不佞已躋稀齡。而泳之又周六十甲子矣。兩家風樹之痛。忍何言也。而吾家又有千古之酷寃。世事滄桑。而同師之朋友。十不存一。惟吾兩人。惸然孤立。而南北敻濶。數歲一見。又不能期。此何爲者。今泳之因其回甲。有韻而馳書囑和。嘗聞詩者。人心之感物而形於言之餘也。日暮途竆。惟悲懷之弸中。信筆寫出。非但文字之聱牙不可讀。觸懷而發。可賀之作。翻成長歌之哀。其七情之發不中節。殊可愧也。而來章之首句。亦已言之。是誠可已而不能已者耶。抑或爲兒孫之供歡。而吾輩實無可樂者耶。不識泳之亦以爲然否。此生久結蓼莪悲。新什尋常若與期。憶昔二難來負笈。同師諸子幾稱奇。風燈觸目人安在。君我無心影獨遲。秋日崢嶸湖海思。聊將數語報瓊辭。</text>
<title>挽鄭若昊 仁範○乙未</title>,<text>病我牢關不接賓。忽驚斯友已歸眞。臨危决策惟知義。越海乘冰莫有身。負笈師門功切磋。吹蔥舊日意牽連。滄桑往跡心肝折。數字哀歌血淚連。伯氏擧義之時。彼此相遇于海冰之上。盖其意味同也。故云。</text>
<title>挽族人持平 時亨</title>,<text>爲此老身有遠程。辛勤來訪月纔盈。且圖遲暮江湖約。豈意俄頃訃問驚。半點機關心不累。一生眞實性還成。丹㫌寥落霜臺字。蒿里永言淚縱橫。</text>
<title>挽尹士弘 之範 三絶</title>,<text>弱冠負笈遠投師。爲己爲人劈不疑。如子自勝方始強。同門之士暗相奇。有所不爲方有爲。闤闍簟食意如無。淸川浩浩流何極。不必吾人善價沽。南遊之事抑何爲。一別春初夢不知。從此以還倘無士。江湖秋日百花萎。</text>
