<title>雨夕</title>,<text>舟輕楊柳風。鷺點澄江色。隱几晝焚香。前山帶雨黑。</text>
<title>題張祐詩集 唐詩人</title>,<text>天下文章天下士。一瓢泉水一簞炊。江湖自有閑中樂。獨向芳洲理釣絲。</text>
<title>古靑樓曲</title>,<text>羽林千騎出長楊。挾路紅粧笑語香。君家夫壻年應少。白馬金鞍第幾郞。金碧靑樓十萬家。家家垂柳石榴花。東風吹送相思夢。繡幙珠簾月自斜。</text>
<title>贈薊州士人</title>,<text>飮君蘭陵之美酒。贈君一曲長相思。男兒意氣惜分手。立馬東風楊柳綠。</text>
<title>孤城笛報愁</title>,<text>霜落胡天大漠寒。孤城寄在隴雲端。何處戍樓人送笛。故園楊柳未曾看。</text>
<title>方丈山</title>,<text>家在江南方丈山。白雲深處掩柴關。處處巖花紅映水。漁翁垂釣釣魚灣。</text>
<title>望夫石</title>,<text>千山萬山關山道。羅襪香塵千里春。誰知一片溪邊石。猶作狂夫夢裡人。</text>
<title>岸花飛送客</title>,<text>三月江村花似雪。風吹萬點送人行。乾坤萬里浮萍客。惟見江花不世情。</text>
<title>詠畫效張子同體</title>,<text>孤舟月落江沉沉。萬壑風生猿夜吟。一樽酒三尺琴峩。洋彈罷無知音。</text>
<title>浿江四絶</title>,<text>關西行樂古神州。第一江山第一樓。蘇小門前江水近。綠楊枝外採蓮舟。㝡羡元央睡暖沙。莫敎雙燕入兒家。平生始解銷魂別。紅袖春風折柳花。搖㨾江春畫閣淸。花愁蝶恨若爲情。銀鞍玉勒靑𩣭馬。莫遣紅粧傍客行。綾羅芳草綠迢迢。蘇小門前柳拂橋。不知何處吹長笛。疑是仙人紫玉簫。</text>
<title>次小蓬壺韵 肅川</title>,<text>蓬壺淸絶勝瑤池。垂柳渾疑織女絲。欲識仙區眞物色。荷花風動月明時。</text>
<title>天邊尙掛長門月</title>,<text>漢宮胡地一萬里。夜夜如聞長樂鍾。無情㝡是長門月。依舊淸光滿白龍。</text>
<title>塞下曲</title>,<text>瓴臺處處近天山。一曲勞歌行路難。洛陽親舊如相戀。夜宿遼河草露間。</text>
<title>門開九江轉</title>,<text>大唐天地風塵色。俯瞰長江百感生。欲將九道波如雪。淨洗中原萬里兵。</text>
<title>十三山</title>,<text>十三山下近淸溪。山色蒼蒼露氣凄。征人却訝瀟湘岸。只欠孤猿月下啼。</text>
<title>寄終南居士</title>,<text>雪裡巖扉夢裡開。白雲擎月上瑤臺。不省囂塵漲近陌。只聞笙鶴數聲來。</text>
<title>廵廳夜宿</title>,<text>龍驤老將病無眠。更皷鼕鼕月壓煙。何似典衣沽酒店。桃花春浪趁漁船。</text>
<title>長安阻雨</title>,<text>長安處處花如海。風送蓬萊百和香。春酒一杯成午睡。隔簾微雨夢滄浪。</text>
<title>七夕月</title>,<text>烏鵲橋頭結綺䟽。天孫初住紫鸞車。嫦娥悄悄無歡意。虗擲雲間白玉梳。</text>
<title>薔薇</title>,<text>誰道儂家飯不足。離離滿架黃金錢。新豊春酒滿眼沽。大醉笑拍東溟肩。</text>
<title>狂客歸舟逸興多</title>,<text>江南春色江南別。楚客孤舟浪拍天。鑑湖一曲恩波濶。月笛煙簑白鳥邊。</text>
<title>拜杜鵑</title>,<text>不如歸去不如歸。萬里孤臣再拜時。戀主平生一斗血。世間唯有子䂓知。</text>
<title>舟人掛燈 燈夕也</title>,<text>長江千里海門通。多少漁燈傍岸紅。疑是碧空秋已近。火星飛下水晶宮。</text>
<title>寒碧樓 淸風</title>,<text>昔過淸風寒碧樓。千山紅樹暮江流。至今夢逐南飛鵠。手把新詩上釣舟。</text>
<title>滄浪歸客夢</title>,<text>帝里江南萬里秋。鳳池何似白鷗洲。夢入楚天雲水外。蘆花月白有漁舟。</text>
<title>題詩水西寺</title>,<text>靑蓮詩贈白雲僧。金碧高樓問幾層。更待波心明月出。怳如吳質廣寒登。</text>
<title>次白軒韵</title>,<text>昔日棲霞方丈山。仙人晝下彩雲關。天壇舊侶今猶在。應笑生涯不暫閑。</text>
<title>漁村聞笛</title>,<text>草屋柴門斜復橫。夕陽如畫暮烟生。郭煕祈岳而今在。倘寫漁村一笛聲。</text>
<title>春山半是雲</title>,<text>春山萬疊雲萬重。白雲無心山不語。只恐靑山雲共飛。茫茫天地無尋處。</text>
<title>花下問漁舟</title>,<text>踏盡山花到小津。白雲仙界問漁人。桃源只在靑山裡。門掩落花千古春。</text>
<title>記夢</title>,<text>魂飛象緯三淸裡。衣襲龍樓百和香。自是江湖退憂客。夢中猶得近吾王。</text>
<title>夜坐</title>,<text>唐虞事業資章甫。星斗文章亦暗投。萬古興亡一長嘯。淸江霜月正西流。</text>
<title>紙梅</title>,<text>花神昨夜降蓬萊。爲遣雲孫學放梅。倘見弄珠人似玉。月明應有暗香來。</text>
<title>通川赤雪</title>,<text>十洲仙境㝡關東。叢石參差倚半空。花神却恨春光晩。雪作山花樹樹紅。</text>
<title>春帆細雨來 自注。時洪景澤。挾綠衣。莅白川。</title>,<text>渺渺春江白鳥雨。蕭蕭楚客一帆孤。來時倘見鴟夷子。國色蘭舟泛五湖。</text>
<title>黃梅時節家家雨</title>,<text>江湖一夜雨催梅。村北村南次第開。莫道黃梅助詩興。雪中爭似暗香來。</text>
<title>泛月</title>,<text>南國佳人字莫愁。一樽長笛下滄洲。崑崙萬里瑤池水。未聞羣仙泛月遊。</text>
<title>朱亥墓 代人作</title>,<text>荒原俠骨香千古。豈止酧恩大義伸。當時若失金推擊。天下丁寧共帝秦。</text>
<title>悠悠</title>,<text>悠悠坦坦休休翁。白白淸淸薄薄酒。酒中中夜夜生凉。缺月沉江星在柳。</text>
<title>杯中月</title>,<text>萬里無雲河漢明。廣寒蟾兔不勝淸。忽看鸚鵡杯中月。怳聽嫦娥笑語聲。</text>
<title>暮江行雨</title>,<text>夕陽明滅片帆孤。何處殘虹更飮湖。靑山漁店雨中失。人謂天公水墨圖。</text>
<title>滿天風雨下西樓</title>,<text>蕭蕭風雨打江樓。別恨茫茫芳草洲。君去長沙誰與伴。滄浪應有一沙鷗。</text>
<title>洛客佩酒來訪</title>,<text>西湖雲物入新秋。何處客來江上樓。一曲瑤琴滿樽酒。白𩿨飛盡水東流。</text>
<title>露桃花下不知秋</title>,<text>仙桃八千歲爲春。花下太平歌舞人。庶幾吾王無疾病。陋巷瓢飮樂天民。</text>
<title>寄題正陽寺</title>,<text>白玉芙蓉眞世界。九天仙樂數聲淸。秋風駕鶴毗盧頂。應有洪厓一笑迎。</text>
<title>別淸風姜使君叔久 栢年</title>,<text>昔過淸風寒碧樓。龜潭東望萬山秋。征帆政値桃花浪。回首長安月一鉤。</text>
<title>西湖雨景</title>,<text>遠山含雨近山靑。濃靄垂天天四塞。隔水漁村生夕烟。微茫又失靑山色。</text>
<title>齒虫</title>,<text>終年茆屋病頭風。豈料頭風化齒虫。肉食不尋尋藿食。齒虫愚騃與吾同。</text>
<title>松</title>,<text>梧桐月白竹吟風。萬頃波濤在老松。枝幹蜿蜒蟠滿地。誰知庭畔有虬龍。</text>
<title>月梅</title>,<text>月壓寒梅千樹春。氷肌雪貌玉精神。蒼苔白石淸溪曲。應有花前勸酒人。</text>
<title>螻蟻</title>,<text>誰是英雄誰將相。誰爲輔弼孰經綸。槐安功業誰能數。只待黃梁夢裡人。</text>
<title>蝶</title>,<text>桃花梨花開爛熳。黃蝶粉蝶飛相隨。莊生莫道大夢覺。北窓羲皇儂獨知。</text>
<title>鷺</title>,<text>毛羽蕭毿雪一般。綠楊池畔白蘋灣。問君何不機心絶。終日窺魚苦未閑。</text>
<title>白蓮花</title>,<text>秋院寥寥夜正長。月明山影在橫塘。誰知虢國眞顔色。水佩風裳到曉凉。</text>
<title>鳳</title>,<text>澧水丹山近赤霄。梧桐菉竹百禽朝。塵中亦有人中鳳。陋巷琴書掩寂寥。</text>
<title>梧桐</title>,<text>亭亭千尺梧桐樹。桃李蹊邊雨雪深。老幹踈枝君勿伐。倘聞明月鳳凰音。</text>
<title>龍</title>,<text>江湖春浪正溶溶。降雨能成四野農。莫道葉公能篤好。不知天下有眞龍。</text>
<title>箕子 此以下皆詠史</title>,<text>玄鳥欲衰琴有操。火烏流屋九疇陳。浿水東來鄕國遠。無情麥莠幾回春。</text>
<title>范蠡</title>,<text>三江七澤錦帆輕。回首姑蘇月獨明。五牸畜來成底事。簞瓢猶可樂吾生。</text>
<title>屈原</title>,<text>三湘秋盡起孤烟。一片危衷萬仞淵。唯有蠻鄕憔悴夢。武關中夜獨朝天。</text>
<title>賈誼</title>,<text>淸嚴宣室夜分央。千古明良共一堂。空附販繒天下計。獨將孤影更歸梁。</text>
<title>張騫</title>,<text>奉使虗隨八月槎。郊原處處石榴花。北海蘓卿老歸國。漢家天馬已無多。</text>
<title>嚴子陵</title>,<text>生涯雲水任垂綸。風雨乾坤卧富春。誤入蓬萊宮裡宿。不知天子是何人。</text>
<title>蘇武</title>,<text>北海無人霜雪深。歸來華髮不勝簪。茂陵松栢中天月。長照蘇卿一片心。</text>
<title>王昭君</title>,<text>殘粧忍淚抱琵琶。何意單于樂事多。不解分明思漢曲。樽前終日舞傞傞。</text>
<title>孔明</title>,<text>草堂春日正遅遅。夢入唐虞禮讓時。岷山八陣精忠在。地老天荒也不移。</text>
<title>淵明</title>,<text>物外乾坤深復深。茅簷寂歷枕江潯。淸風吹散羲皇夢。一曲無絃萬古心。</text>
<title>九齡</title>,<text>相公曾讀五車書。玉署金華屢曳裾。一自荊州賜玦後。幾云風度九齡如。</text>
<title>太白</title>,<text>淸平詞進沉香閣。御手調羹太液池。一醉騎鯨采石月。世間榮辱政堪悲。</text>
<title>子美</title>,<text>忠義堂堂蓬蓽底。秋天爭似北征篇。空將稷契平生計。明月空山拜杜鵑。</text>
<title>送人遊金剛</title>,<text>折贈江頭楊柳枝。仙山何處更相思。千樹碧桃花似雪。子䂓啼斷月明時。</text>
<title>羅西津 舒川</title>,<text>憶曾京國避兵戈。三十年前過此河。今日落帆芳草渚。烟波無限白鷗多。</text>
<title>驪江夜吟</title>,<text>丹崖翠壁玉千層。荒蔓踈星認佛燈。風送櫓聲沙鳥叫。夜深應有渡江僧。</text>
<title>古豊田</title>,<text>弓王宮闕草連空。細路委遅土郭中。昔日繁華何處問。東風無語白頭翁。</text>
<title>聞笳</title>,<text>一曲胡笳山有花。蕭關征婦莫長嗟。壯士挽河洗兵甲。千尋瀚海已無波。</text>
<title>禁直效太白體</title>,<text>辛夷花落垂楊綠。何處江村酒新熟。子䂓啼送一春愁。夢在相思明月樓。</text>
<title>秋江聞笛</title>,<text>蘆花秋月宿扁舟。寂寂烟波瞑不流。漁笛莫敎吹入夢。夢中時自化沙鷗。</text>
<title>喜雨</title>,<text>一雨江南芳草靑。千林嫩葉已藏鶯。綠莎靑弱多閑事。時送烟波一笛聲。</text>
<title>夜半鍾聲到客船</title>,<text>橋下長江天一色。漁燈點點楓林碧。何處踈鍾雲外來。扁舟夜有江南客。</text>
<title>楚宮怨</title>,<text>楚峽春來蘭蕙芳。君王日日在高唐。朝雲暮雨無情物。猶勝三千錦繡香。</text>
<title>四友堂</title>,<text>芙蓉池舘夕風輕。叢菊梧桐帶晩晴。禁城東望秦雲隔。唯有葵花向日傾。</text>
<title>廣平舘夜吟</title>,<text>山雨濛濛不肯晴。廢池蒲柳亂蛙鳴。徙倚小軒村杵起。隔林松火夜深明。</text>
<title>省直有感</title>,<text>陰陰古木叫寒鴟。省宇無人有所思。倘借一麾花縣去。春山處處好題詩。</text>
<title>偶吟</title>,<text>淸江一曲抱村回。江上柴門向水開。長安咫尺無人到。只有淸風明月來。</text>
<title>書佳人扇面</title>,<text>紅粉靑娥映楚雲。綠荷衣帶石榴裙。離鸞別鶴峨洋曲。疑向瑤臺月下聞。</text>
<title>太極</title>,<text>太極人皆有。胸中方寸天。惺惺常對越。戰戰更臨淵。位育伊周事。明誠孔孟傳。升堂入室處。晴晝一爐烟。</text>
<title>南庄對月 在星州</title>,<text>澗竹風微動。高秋爽氣澄。三更靑嶂月。萬國白蓮燈。老樹鶴無夢。孤舟人擧罾。呼童頻煖酒。閑憶草庵僧。</text>
<title>夢張相國 持國</title>,<text>海內張丞相。文章道德全。邦家遭白翟。嗚咽就黃泉。忽入蠻鄕夢。仍論近體篇。幽明尙不隔。那忍涕潸然。</text>
<title>偶吟■■■</title>,<text>在世同忘世。無官勝有官。任將新白髮。閑對舊靑山。一室圖書靜。三春花鳥闌。隣翁沽酒至。談笑解容顔。</text>
<title>莫道</title>,<text>莫道塞翁馬。休歌寗戚牛。升沉元已定。倚伏豈人謀。宇宙經綸晩。關河劒戟秋。蓴鱸興不淺。欲上季鷹舟。</text>
<title>簡寄白江，白軒兩相公。</title>,<text>手把一竿竹。蘆花魚正肥。靑山如欲語。白鳥久忘機。詩自吟秋爽。棊因中酒稀。相公能勇退。與我老漁磯。</text>
<title>贈別箕城尹柳安世</title>,<text>浮碧夕陽樓。綾羅芳草洲。眞娘遏雲曲。蘇小採蓮舟。昔我星槎路。今君鳧舃遊。應尋箕子廟。山鳥使人愁。</text>
<title>萍水 與鄭紫巖下叔。李玄洲道章。同宿頭流山下岳陽里。</title>,<text>萍水相逢地。誰爲一代豪。樽罍傾北海。燈燭宿東𦤎。天上星文動。人間紙價高。蓬萊興不阻。直欲喚仙曹。</text>
<title>洛水</title>,<text>洛水春歸盡。鶯花四月天。懸燈漁店裡。邀客斷橋邊。宇內誰男子。樽中有聖賢。醉鄕無限興。休向俗人傳。</text>
<title>別大容弟赴吉州 有海</title>,<text>兄弟四年別。相逢盡白頭。那知姜被夢。又破塞門秋。石棧穿雲細。黃河入海流。家山望不見。莫上最高樓。</text>
<title>大雪</title>,<text>大雪埋山逕。孤村烟不生。林鳥羣向夕。松籟凍猶淸。詩得天公助。人如上界行。田翁思煖酒。喚婦瀉陶甖。</text>
<title>讚慶樓 在靑松</title>,<text>松壓讚慶樓。江深生白堂。洞留千古雪。山帶二陵香。天地唯詩卷。烟霞作醉鄕。更憐明月夜。笙鶴近扶桑。</text>
<title>車輦盤松 憶古老松</title>,<text>車輦盤松古。流傳最絶奇。波濤踈雨後。笙鶴月明時。遠客吟孤燭。佳人捧小巵。風塵正澒洞。珍重歲寒姿。</text>
<title>送閔尙書士尙 聖徽</title>,<text>昔我分松府。君乘博望槎。羸驂返燕塞。卿月渡遼河。孤竹淸風古。甘棠夕露多。悲凉千古事。無處不長歌。</text>
<title>嘿嘿</title>,<text>嘿嘿憐河伯。䂓䂓歎井蛙。乾坤亦何限。意氣不須誇。詩自閑中得。冠從醉後斜。江山有衡宇。莫道大方家。</text>
<title>省宇 分兵曹</title>,<text>省宇人聲絶。空庭唯鳥啼。此官眞吏隱。何處更岩栖。只欲詩如畫。休論物不齊。江山春酒熟。歸去捧玻瓈。</text>
<title>罔象</title>,<text>罔象玄珠得。居居坐似癡。几因南郭隱。文自北山移。水月漁歌起。烟霞鶴夢遅。誰知吟嘯裡。天也入吾詩。</text>
<title>幽草</title>,<text>幽草有生意。飢烏啼向人。誰將無限興。取樂太平春。蘭麝香如霧。歌鍾月照茵。獨憐楊子宅。書幌掩凝塵。</text>
<title>乾坤</title>,<text>乾坤回暖律。寒氣有無中。詩得梅花雨。春生粉蝶風。野僧慵乞米。稚子浪吹䓗。空將負暄意。願薦大明宮。</text>
<title>解纜</title>,<text>解纜巴陵浦。江天晩不開。前山因雨失。去鳥被風回。暗店孤砧起。漁燈人語來。沉吟子美句。落落意悠哉。</text>
<title>粉蝶爭飛</title>,<text>粉蝶亦何事。雙飛如有爭。野棠隨壠發。石竹繞堤明。詎識風波意。應無富貴情。林亭宜午睡。歸去訪莊生。</text>
<title>養拙</title>,<text>養拙全吾道。投閑作逸民。扣門知野老。送藥有山人。覔酒時時醉。吟詩句句新。怕寒猶晩出。梅柳已迎春。</text>
<title>遣興。示東州李子時。敏求。</title>,<text>戚戚休戚戚。悠悠自悠悠。秋淸天在水。人靜月侵樓。世事唯詩律。生涯只酒籌。飄飄無定所。夢與白鷗遊。次 東州棄擲仍衰謝。身名却謬悠。避人辭禁里。騎馬到江樓。月晦餘秋魄。更殘遞曉籌。親朋阻前浦。空憶少時遊。</text>
<title>簡白軒龍灣謫居</title>,<text>何事作遷客。相思頭盡皤。塞天秋鴈少。孤舘候虫多。佳句孰能和。村醪誰見過。乘槎津可問。休道隔恩波。</text>
<title>詩律</title>,<text>詩律向誰說。江山吾獨夸。枕書成午夢。扶杖到漁家。鷺下綠莎岸。風吹紅杏花。前村春酒熟。隨處有生涯。</text>
<title>僧軸。次白軒韵。</title>,<text>昔宿天王嶺。山谿曲曲探。雲生露梁水。月上白蓮庵。景物僧休說。栖遅鶴共談。題詩一長嘯。歸夢在江南。</text>
<title>僧軸。次東溟韵。</title>,<text>閑心憐野鶴。定性愛沙門。瑣瑣依塵世。栖栖憶秪園。松籟仍風逈。灘聲得雨喧。香山山萬疊。非爾更誰論。</text>
<title>遇遯戱題</title>,<text>遇遯自先哲。時危敢愛軀。客中聞夜雨。燈下憶西湖。蕭蕭書榻冷。泛泛釣船孤。野老應須我。花間擊玉壺。</text>
<title>擬古 進退格</title>,<text>潛倒參簪紱。支離逐末班。小儒眞齷齪。舊步失邯鄲。瑣力禽塡海。新恩蚊負山。皇天垂白日。唯有寸心丹。</text>
<title>忽漫</title>,<text>忽漫望浦淑。無心數釣舟。野黃知麥熟。江白認鷗浮。聖道千年在。吾心萬念休。誰知茆屋下。嘯傲自悠悠。</text>
<title>耻學</title>,<text>耻學良金躍。休論山石歌。經綸惟隱几。日月老漁蓑。野店白烟起。芳洲靑草多。隣翁有斗酒。莫恠屢經過。</text>
<title>望望 進退格</title>,<text>望望滄浪上。蕭蕭漁店寒。忘機近白鳥。倚杖得靑山。桑落靑波綠。槐安午夢闌。風塵尺五地。終日掩柴關。</text>
<title>詠畫</title>,<text>近岸離披細草。遙岑靉春雲。水共江天一色。人同白鷺爲群。越女澹掃新粧。輕舟戱逐䲶鴦。莫卞芙蓉粉臉。誰知蘭麝荷香。暮雪初晴遠峀。梅花倒影滄波。水國琉璃世界。孤臣獨泛銀河。</text>
<title>卽景 二首</title>,<text>細火沙村遠杵。漁歌水岸孤舟。竹露荷風薦爽。踈螢絡緯迎秋。極浦無心芳草。平沙如畫斜陽。漁笛孤舟斷岸。菱歌一曲春塘。附次韵 東溟魯連不須東海。諸葛且在南陽。把酒秋花蘺落。吟詩春草池塘。</text>
<title>江村卽事</title>,<text>白石灘頭釣艇。靑山影裡人家。第店詩成嘯傲。晩風吹落梨花。</text>
<title>山海關望海樓</title>,<text>海蜃吹成五彩樓。蓬壺日域望全收。簾旌衮衮雲間逈。天地悠悠水上浮。遼鶴光陰餘一夢。祖龍城郭幾千秋。金波極目斜陽下。不見長安無限愁。指漢陽又三韓歸客賦登樓。萬里風烟筆底收。北望龍光侵斗盡。東來紫氣近天浮。瑤臺雲捲山如畫。蓬島霜淸月送秋。多病旅遊空感慨。醉憑軒檻未消愁。</text>
<title>萬里城</title>,<text>萬里山河萬里城。風雲動色地維傾。蜿蜒斗覺蛟龍起。縹緲渾疑組練橫。千古未應防突騎。當時何限苫蒼生。餘威自詑無殊俗。不識宮庭野鹿行。</text>
<title>統軍亭</title>,<text>塞草茫茫磧日斜。燕雲歸客鬂先華。行裝只有延陵劒。使節惟隨博望槎。隴上誰人飛月笛。城頭何處咽胡笳。靑娥競酌葡萄酒。羅襪金蓮步步花。</text>
<title>百祥樓</title>,<text>飛樓金碧大江流。積翠微茫萬里秋。錦綉山河歸騁望。風塵天地入搔頭。遙空逸響雲間鶴。近浦哀歌月下舟。淸磬冷冷水西寺。欲持紅燭下滄洲。</text>
