<title>詠海 十歲作</title>,<text>有物半天地。萬古含元氣。胷中亦有海。丈夫當如此。</text>
<title>次沈方伯 惇 韻</title>,<text>一雨洗殘暑。高樓風自來。驅人多世故。有酒卽情杯。歌管尊前聽。詩牋燭下裁。公山獨歸去。懷抱向誰開。</text>
<title>過崔守愚堂舊宅有感 戊申</title>,<text>處士昔居此。種竹爲籓籬。四面靑嶂合。下有淸冷池。飮酒不得足。家貧雙鶴飢。本是棟樑姿。大廈終扶持。終然落讒口。歎息遭明夷。故宅不可尋。春草空離離。庭有一雙栢。亭亭霜雪姿。魂魄猶正直。千秋應在玆。日暮獨躊躇。誰能知我悲。</text>
<title>贈別友人 辛亥</title>,<text>我本平陽胄。先廬在九潭。庚申吾以降。辛亥歲新參。五十悠悠過。尋常歷歷諳。才華慚幼婦。生育忝多男。縱有千年櫟。難肩百尺楠。臨機頭未銳。論事舌常含。樂世功名晩。端居典籍耽。多年客京洛。落日對終南。旅食三圓兎。寒衣百結䳺。殿蛇連楚境。烽火達秦凾。棄秦從檀策。遺君愧耿弇。大邦軍肅肅。猛將虎眈眈。冦遁東南聚。兵從西北戡。村墟荊棘滿。民食菜蔬甘。有粟皆靑紫。驕人盡冑䤴。彜倫終斁壞。風俗轉貪婪。离照民咸覩。汪恩日大覃。廟堂登稷契。閭里樂耕蠶。歷落生涯薄。留連酒味酖。海山三尺杖。天地數間庵。南八心空壯。陳三志不貪。竿鮎登幾日。驛馬困難堪。人傑從玆出。州名自古譚。佳山元矗矗。綠水正湛湛。晩契如金斷。深交若水淡。臨溪頻設席。遇酒卽停驂。野竹抽新綠。江梅動晩馣。孤燈擎佛屋。瀉露出經龕。不厭過君數。無他愛我憨。二十字缺 丹顔猶借酒。白髮定無藍。應俗多塵冗。齊心欠敬涵。風塵猶涕淚。身世自憂惔。鄕信憑孤夢。詩情得半酣。故園今寂寂。春草幾毶毶。作客心違事。逢人面發慚。看書從眼瞙。伏枕苦胸痰。醉墨詩筒一。離歌唱疊三。定知分手後。留紙篋中探。</text>
<title>寄全性之 以性，申汝涉。楫○癸丑</title>,<text>春迴爲客處。閉戶澗聲聞。雪鬢籠烏帽。龍驤換虎賁。功名同畵餠。世事劇浮雲。忽憶桃香菜。臨流對酒樽。又牆下桃開眼。溪邊柳颺絲。客愁牢落處。春雨閉門時。歲月工催老。文章不救飢。僑居近山色。正好拄吟頤。</text>
<title>次鄭愚伏韻</title>,<text>晩來愁似瘧。尋入遂難支。見月忘言處。臨溪獨坐時。山花方爛熳。汀草正葳蕤。默數歸家日。空敎半歲遲。附原韻跨馬腰先僂。當斑脚不支。自憐衰朽骨。非復宦遊時。洛澨春波灔。商顔野菜蕤。極知歸去好。緣底尙遲遲。</text>
<title>到全歸堂 徐時立 醉吟 甲寅</title>,<text>昔聞徐孝子。入隱鹿門山。竹筧分泉遠。楓花映水斑。初疑魚在鏡。還訝月分環。落日尋君處。危橋淺淺灣。</text>
<title>休卧仁厚宅感懷 二首</title>,<text>晩雲藏落日。踈雨送秋凉。峯樹連還斷。江流去自長。草間尋砌石。竹下拜祠堂。遊子今頭白。歸來淚滿床。雜樹層層碧。人家處處迷。荒園孤石卧。懸蔓古牆低。日暮蟬爭噪。風涼鳥亂啼。少年漁釣地。靑嶂揷東西。</text>
<title>善山府伯洪 瑞翼 次扉字韻寄送。謹和以謝。乙卯</title>,<text>使君光彩動柴扉。殘日低時尙未歸。浪迹自疎官府地。別魂空逐暮雲飛。</text>
<title>贈成公實 汝信</title>,<text>疎簾風捲夜沉沉。燈下相看舊意深。屈指別時今幾日。鏡中殊覺鶴毛森。</text>
<title>次善山府伯韻 三首</title>,<text>攜幼入室酒盈樽。風流元亮未全貧。我獨無錢對黃菊。不敢自謂羲皇人。此老倔强猶昔日。一生貧賤何足悲。麤羹淡飯度朝夕。閉門獨卧風雨時。碧樹蕭蕭八月秋。一年歸思浩難收。河內民情方借冦。使君爲我少遲留。</text>
<title>別鄭進士 澤䨓 配南海</title>,<text>霜日借民酒。送君南海行。南海渺無際。朔風吹浪生。君歸無故人。只有孤月明。臨分勉丈夫。此懷平不平。</text>
<title>落花潭</title>,<text>一泓澄碧俯龍龕。暫解行韉坐翠巖。神物不扶飛燕墜。只今人說落花潭。</text>
<title>學士臺</title>,<text>孤雲陳迹首空回。千載猶傳學士臺。幽逕欲尋秋草沒。穩扶藜杖踏蒼苔。</text>
<title>謝崔重吉 喆 送苜蓿</title>,<text>君家赤脚隨春澗。朝日來供苜蓿盤。只恨春寒方惻惻。掩門終日酒杯乾。</text>
<title>與張旅軒 德晦，金行初 宗孝 遊不知巖。戱占一絶。</title>,<text>流水門前過。春風樂事多。曾爲舊相識。愼莫作風波。</text>
<title>用全用古句格。贈崔重吉。時。重吉有赴試之行。</title>,<text>山川好處欹紗帽。桃李香中度筍輿。京洛故人如問我。爲言懶作入京書。</text>
<title>謝朴上舍攜酒問疾</title>,<text>節過淸明天氣新。病中辜負水邊春。莫言客况全蕭索。時有慇懃載酒人。</text>
<title>醉書許汝卿無名臺</title>,<text>堂前兩樹一時花。豈意春風雪更多。今日盡情傾白醉。明朝須作踏靑歌。</text>
<title>贈吉居士</title>,<text>曹溪山下吉居士。桃李春風獨閉門。我來敢問樂何事。笑指山頭一片雲。</text>
<title>戱嘲梨花</title>,<text>庭前白雪梨花樹。千載無香浪得名。以色眩人欺醉客。翰林難免不分明。</text>
<title>次善山府伯訪張旅軒不遇韻</title>,<text>衙罷乘閒到水濱。柴門一叩問高人。題詩石上空歸去。回首春山草似茵。</text>
<title>次高彦龍陪趙月川賦詩一絶韻</title>,<text>遙望平郊十里空。千林春去已無紅。與君俱是經覊旅。相對蒼顔白髮同。</text>
<title>次韻題主簿叔 協 小堂</title>,<text>碧樹葱籠掩小園。好風吹惠一涼恩。自耽晩歲田家樂。閒鴈牛經付子孫。</text>
<title>對菊次權靑巖韻。贈主簿叔。</title>,<text>商叟茹芝可療飢。劉伶愛酒自無思。東籬居士餐英日。亦有吟詩獨樂時。</text>
<title>登伴鷗亭 族從祖舜凱亭</title>,<text>萬古長江袞袞流。一雙鷗鷺在河洲。伴鷗臺上無人見。惟有山雲獨伴鷗。</text>
<title>過趙掌令棐仲 翊 墓</title>,<text>空山寂寂草幽幽。三尺荒墳趙倚樓。天上催成白玉記。人間舊事淚長流。</text>
<title>堂前雜植黃菊，牧丹，海棠，葵花。三首</title>,<text>葵菊叢叢託一塲。葵能向日菊凌霜。屈原只識餐秋菊。不識葵花向太陽。晩節正須看歲暮。丹心不必媚朝陽。藝蘭九畹終難恃。莫遣冗長列衆芳。隱逸由來不事王。可憐憔悴飽風霜。一生高尙終難變。不共春風醉海棠。</text>
<title>喜雨</title>,<text>夜色沉沉閉戶遲。雨聲來處聽籬知。明朝倚杖人爭賀。須賦田家喜雨詩。</text>
<title>泛舟二樂亭下。次鄭景輔韻。</title>,<text>淸江一曲抱亭回。面面靑山活畫開。如許江山如許客。不妨沽酒又重來。</text>
<title>用別韻口占</title>,<text>山自靑靑水自淸。臨分脉脉坐沙汀。斜陽一棹歸舟疾。望裏分明二樂亭。</text>
<title>秋日田家卽事</title>,<text>栗房初坼棗腮紅。手挽長條落滿籠。急喚家人篘白酒。一邊呼起北隣翁。</text>
<title>赴鸕鷀亭</title>,<text>蕭蕭微雨濕沙洲。偶向田翁問路由。因說蘭舟搖蕩去。使君乘興欲來遊。時。府伯約與來遊。</text>
<title>九日獨坐書懷。寄崔重吉。</title>,<text>無花無酒過重陽。客裏情懷倍可傷。兄弟登高遙憶我。十年今日在他鄕。</text>
<title>寒岡宅雪夜。與李茂伯 潤雨。</title>,<text>半夜江南萬玉妃。輕飛急灑聽窓知。門前不覺深三尺。絶勝當年訪戴時。</text>
<title>次李同年嘉仲 亨男 韻 二首</title>,<text>老人元自入眠難。問夜何其夜已闌。君病已隨殘歲去。春風一笑破憂端。守歲今宵住歲難。黃鷄催曉唱初闌。病中偏覺愁來處。扶得新年上鬂端。</text>
<title>次善山府伯卽事韻</title>,<text>自得風乎樂。殊忘甚矣衰。一春無酒客。終日對花枝。林茂黃鸝囀。江淸白鳥飢。主人精典籍。端合掌如絲。</text>
<title>卽事呈張旅軒德晦</title>,<text>睡起春將盡。花殘夜雨經。水邊煙樹立。天外暮山靑。風意和能暢。泉聲細可聽。百年都幾日。身世醉還醒。</text>
<title>雨</title>,<text>高齋人寂寞。長日樹蒙籠。頃刻雲俱黑。須臾土自濃。鹺融愁賈客。簔薄濕漁翁。一架薔薇重。飜成奇絶叢。</text>
<title>夕烽</title>,<text>平安憑一炬。靑海到黃昏。點點能傳遠。人人却望欣。雲山當蓽戶。日夕倚柴門。追憶龍蛇事。心驚峽裏奔。</text>
<title>新麥</title>,<text>兩歧爲上瑞。歌頌漢循良。繼絶無飢餓。先耕過雪霜。重皮繁落杵。昂穗獨承陽。日晩猶甘食。同葵飽老腸。</text>
<title>謝次善山府伯見寄韻 三首</title>,<text>江郡愜神君。往來脩竹村。川原經皁蓋。沙渚置淸尊。世味曾嘗飽。交情不足言。睡餘驚剝啄。書札到柴門。去歲來茅屋。經年掩竹扉。形羸須杖起。酒盡任花飛。漲水蛟龍喜。荒村鳥雀微。漁舟吾已買。且復坐苔磯。遣愁無過酒。消日只閒談。門戶聯江左。聲名愧斗南。飢寒憐季女。留滯笑長男。逃世無心久。風欞倚睡酣。</text>
<title>訪金秀才 愳 尋臺。坐沙飮酒。</title>,<text>披草尋臺榭。攜藜掃石雲。川蜺明飮水。雨脚暗連村。鳥絶山將暮。蟬稀客半醺。羨君溪住處。鷗鷺宿爲羣。</text>
<title>柳秀才 元履 壽親席。觀其弟 元慶，元定 等冠禮。醉贈新冠者二妙。</title>,<text>爾今突而弁。儼然君子身。祖子孫三世。老門生一人。勸杯淚自落。密席情更親。三加棄幼志。聊復爲君陳。</text>
<title>權寧海 泰一 壽席</title>,<text>大春初度夕。高宴値涼秋。綽約雙蛾舞。輝煌秉燭樓。主人情不盡。座客醉還留。有子專城養。人間孝孰優。</text>
<title>復次府伯韻 三首</title>,<text>懶慢還成習。終年不出村。籬邊惟碧樹。花下便淸罇。養拙宜安卧。居貧畏聖言。棲遲猶自樂。無客到衡門。又西風吹樹屋。秋氣到山扉。遠峀迷雲暗。長天獨鳥飛。生涯從草草。客意轉微微。菜甲猶堪飽。無心向釣磯。又北客仍吳語。新詩學古談。買舟乘月下。移屋向漳南。蠶績從寒女。牛經付大男。浮生幸無事。終日醉眠酣。</text>
<title>登鸕鷀亭。待府伯不至。賦所見。</title>,<text>神女中宵夢。飜成好事魔。蘭舟猶未去。江燕更飛斜。水影靑楓岸。人蹤白玉沙。元興千古寺。今日屬漁歌。</text>
<title>飮崔重吉家</title>,<text>江村新雨歇。巖壑密雲開。僧薦山庄果。兒擎草屋杯。醉來隨菊卧。日暮杖藜回。客裏登高節。頻思舊上臺。</text>
<title>登綠野亭飮酒</title>,<text>楓菊三秋暮。登臨望眼賖。山梨紅結子。野荻白生花。落日靑天遠。長林綠水斜。人生得勝地。把酒動吟哦。</text>
<title>金樂而席上。贈諸公。</title>,<text>日日鷄豚會。田家樂事催。東西少長集。左右淺深杯。夜色煙霜冷。山光紫翠堆。厭厭今夜飮。不醉不歸來。</text>
<title>歲除日。舊宅有感。</title>,<text>雪漲平沙岸。星飜碧落晨。江山餘舊宅。歲月忽新春。不見兒童戱。空沾老淚巾。荒園煙樹裏。獨立二毛人。</text>
<title>題崔元禮草堂 二首</title>,<text>曹溪冷嶽金烏碧。君有三椽一草屋。欣君有此方樂飢。朝朝暮暮對山色。時時呼我動春酌。曹溪冷嶽金烏碧。三山半落樽酒中。短衣匹馬欹帽去。溪水欲深花欲紅。來吹醉面有和風。</text>
<title>承舍兄書。病中書一絶。</title>,<text>聞說兄家午酒醲。病中佳節莫怱怱。桃紅柳綠江村上。憶弟看雲獨酌翁。</text>
<title>同庚李希之 惟聖 攜酒來訪。謝以酒薄。以莫言酒味薄贈以謝之。</title>,<text>莫言酒味薄。正要交道深。交道莫須論。但可盡情斟。春風浩蕩處。明朝吾欲吟。欲吟還思酒。家貧誰復臨。聊將一篇詩。以發萬物心。早晩訪君去。一笑同淸襟。</text>
<title>睡後看山</title>,<text>睡起摩挲眼。遙看雨後山。猶嫌小世界。直欲倚孱顔。嵐氣來空翠。春風動晩寒。杖藜推瓦枕。一笑破憂端。</text>
<title>次陳簡齋韻 二首</title>,<text>明月入窓來。吾頭有危巾。不是慵不正。是時詩意新。梨花一樹影。最好留殘春。向來甘寂寞。惆悵憶同人。又不須歎覊遊。人生本是客。詩裏着江湖。醉來卧松石。春風倐滿袖。世事更岸幘。身名惜已晩。壯懷歎非昔。</text>
<title>次李參議▣▣臨淸閣韻</title>,<text>江山好處着衰翁。投轄留連任孟公。星斗漸稀賓客散。玉簫猶在月明中。</text>
<title>夜坐漫書</title>,<text>秋來百蟲鳴。一夜芳草歇。幽人坐不寐。獨有靑天月。心常戀江湖。身自隔城闕。擧手揖時人。吾廬天地別。</text>
<title>奉呈李士直 遠樹</title>,<text>春物滿園林。東風如有約。傡與燕子來。似慰幽人獨。幽人睡初覺。杖藜繞茅屋。鳥聲永春晝。晴陰耿簾幕。折簡招隣翁。攜壺任僮僕。羸馬厭鞍鞿。徐驅過江曲。登賞江上紅。行隨川上綠。迢迢林影新。澹澹沙光白。雙鳧對沉浮。似弄淸波色。來牛去馬盡。斜陽官市寂。一逕轉山腰。俯臨長松碧。小麥滿新畬。淸溪潄冷石。客子蒲團穩。女兒春衫薄。香𨤍酌綠油。靑葱斷碧玉。和風吹耳熱。欲歸日已落。蒼茫煙樹間。誰能畫我着。人生聊復爾。明朝須更適。又藜杖新扶病脚顚。輕衣一振出籬煙。長林圍晝春浮木。古渡無人水泛天。一逕細穿江柳下。小壺傾盡野梅前。孤山寂寂松花老。蛇蚓空留萬紙傳。</text>
<title>次李士直韻</title>,<text>幽人見招我。靑山隨白足。城中車馬多。誰如我閒適。行尋數間庵。白雲山前落。入松危巾正。坐澗塵衣脫。不受世間侵。吾顔應有色。</text>
<title>田家吟</title>,<text>田家人未歸。日暮關柴扉。農夫原上耕。布糓林中飛。桑葉日以大。春蠶日以肥。誰言桑者閒。蠶稠桑葉稀。耕田納官稅。養蠶輸官絲。可憐農桑人。身寒腹長飢。年年田家苦。朱門知不知。</text>
<title>蜂蝶</title>,<text>白蝶方紛飛。黃蝶從東來。是時東風暖。菜花園中開。白蝶與黃蝶。飛忙眞可哀。香處蝶所爭。又有遊蜂猜。蜂蝶本非類。終日相徘徊。須臾花滿地。香盡不復迴。</text>
<title>次李士直韻</title>,<text>軒前二三花。各自殿殘春。招我賞此花。始知丈夫眞。對花酒滿樽。不讓如當仁。</text>
<title>再次前韻</title>,<text>芳草落花路。並馬尋餘春。短衣又無帶。野客本天眞。當杯我啣聖。樂山君能仁。</text>
<title>君我吟。醉贈文生 守儉。</title>,<text>終日對君酌。我醉方思卧。我卧桑陰中。君去柳影下。明朝君復來。我當洗盞斝。</text>
<title>漫書</title>,<text>此地靑山衆。四望多白雲。吾心自怡悅。於此遣朝曛。獨立桑陰下。惟聞羣鳥喧。雨後淸風至。爽氣蠲塵煩。時於樽酒中。心似逢華勳。醉卧北窓下。白髮散紛紛。柴門夕未開。世事無由聞。時時問隣翁。談笑尙云云。</text>
<title>稻稷歎 五七言</title>,<text>稻稷本嘉糓。皆以饗鬼神。稷有馨香名。於今失其眞。無實不如稊稗熟。反與蒺藜連其根。枝葉沃沃誇容長。欲無稻類何欣欣。稷兮稷兮繁有徒。稻兮稻兮將消磨。南天六月正炎熱。農夫却立相咨嗟。相咨嗟兮可奈何。稻兮稻兮奈若何。</text>
<title>丙辰至日。海平書壁。</title>,<text>海平縣裏逢冬至。自笑生涯似轉蓬。却怕曉寒垂紙帳。不知朝日照窓紅。</text>
<title>次洪使君韻</title>,<text>古縣經亂離。人家半不存。山雲生屋脊。野水動籬根。種橘還無子。栽筠各抱孫。唐家崔望族。晉代鄧孤魂。遠客惟高枕。淸風獨閉門。牛羊歸舊逕。鳥雀下荒村。年過知天命。行當畢嫁婚。抗顔顔自厚。視舌舌常呑。赤腳供晨粥。無鹽備薦蘩。峽中窮杜甫。江上憶劉昆。陋巷頻傾盖。晴沙幾住軒。入林嫌鳥語。觸石厭溪喧。春酌逢淸夜。秋毫盡聖恩。山苗堪採擷。沙鱉恣炰燔。隱吏來江郡。新詞倒峽源。便中常寄語。病裏久忘言。倚杖時看月。臨軒獨負暄。莫言新見淺。特似舊情敦。阮籍徒窮哭。潛夫敦著論。秋江無限好。一對洗塵煩。</text>
<title>別禹府使 伏龍○代人作</title>,<text>樓頭秋日正離離。紅葉黃花共水湄。明月滿圓人去後。碧天空濶鴈來時。三年嶺海風霜苦。千里桐鄕惠澤遺。惆悵別魂無夢寐。不知何以慰相思。</text>
<title>閒坐書壁</title>,<text>平生生事拙於鳩。杜叟身衣恨不周。净案看書了晨夜。空機倚壁幾冬秋。百憂䨥鬢三間屋。萬壑千峯一弊裘。濁酒數杯成小睡。人間貧富兩悠悠。</text>
<title>登崔松亭 應龍 舊址有感</title>,<text>磊落當年宰相才。高堂晝錦向山開。生前幾作三刀夢。身後空餘二樹梅。芳草落花寒食節。壞垣遺礎冷煙堆。忠勤事業憑誰問。只使行人指點哀。</text>
<title>見孫昌原景徵 起陽 書。走筆寄呈。</title>,<text>一年佳節百憂中。惆悵韶華瞥眼空。遙憶雲山樽酒會。忽憑鴻鴈信書通。篇章四海流傳遠。肝膽三更夢寐同。非復別時還久別。暮年懷抱定無窮。</text>
<title>詠懷用松亭韻 二首</title>,<text>明主由來棄不才。柴門雖設爲誰開。羣飛野雀欺巢燕。晩色園花笑冷梅。南磵題詩風日美。東陵結屋水雲堆。平生縱乏資身策。不受當年漂母哀。明時安卧幸無才。但向樽前笑口開。高適慇懃頻寄杜。歐陽准備欲防梅。江波晩泛靑天湧。野色遙憐碧樹堆。千疊金烏蒼鬱鬱。古人遺迹後人哀。</text>
<title>一善地主次鄙韻寄示。又和其韻賦卽事。</title>,<text>華髮層層雪滿顚。醉來提筆掃雲煙。登臨二水圍平野。回望三山抻碧天。亭上主人乘鶴去。臺中風景落梅前。夜深月白汀洲靜。漁唱商歌遞饗傳。</text>
<title>卽事示崔重吉</title>,<text>水映丹崖洲渚淸。風吹楊柳綠陰生。臨分更向沙頭坐。相送還從樹裏行。短艇忽移高閣出。斜陽欲斂半村明。家僮不識歸途興。月下猶將候火迎。</text>
<title>次全性之韻。送金丹城孝伯 奉祖 之任。</title>,<text>年來萬事鬢毛知。到處人間有九疑。富貴賤貧元有命。生成陶鑄荷無私。登臺遠水溶溶去。拂面和風細細吹。民事秪今皆可隱。想君流澤浹膚肌。</text>
<title>道南書院。次尙牧韻。贈全都事淨源 湜。</title>,<text>久別相嗟隔信音。向來華髮不勝簪。百年時序詩添卷。千里江湖夢屢尋。草草生涯藜杖在。茫茫世事酒杯深。情長夜短不須睡。落月半囪猶未沉。</text>
<title>次高彥龍韻 二首</title>,<text>身似驚禽不定居。故園歸計墮空虛。聊乘雨點栽秋菊。共待風凉讀放魚。昨與彥龍欣賞簡齋放魚賦。故次聯及之。彥龍書用竹皮故云竹皮書。尾句用彥龍歌詞意戱之。 病裏頻思霜落酒。朝來喜見竹皮書。丈夫事業當成晩。白髮應知大任於。丘山性癖好林居。卧看閒雲度太虛。浮世豈知存老馬。臨淵徒自羡游魚。貧中興味三杯酒。客裏生涯一架書。高人野外時迂盖。不厭寒廳對坐於。</text>
<title>次善山洪使君淸字韻 四首</title>,<text>千頃之波澄不淸。邇來相阻鄙吝生。窮村見說雞豚盛。頑吏還從鴈行。劉昆重厚言猶訥。黃覇寬弘內自明。他年會有重臨日。能使兒童竹馬迎。右憶地主旅軒張子古心淸。閉戶看書白髮生。振袂快登江上坐。携藜數息樹邊行。韋編斷處精微見。些滓消時義理明。客從遠方來問字。水雲山鳥慣將迎。右憶旅軒柴荊日暮納新淸。塵土無由此裏生。天遠水長山數點。花開客至酒三行。晩生二子當門戶。榮養偏親祝聖明。十里獨携藜杖去。綸巾鶴氅出門迎。右憶星州小屋軒囪分外淸。烏山朝暮看雲生。使君禮樂弦歌地。着我媻姍勃窣行。桑柘掩村歸路黑。鸕鷀曬翅夕陽明。柳橋不用穿魚換。時有隣翁濁酒迎。右自述</text>
<title>謝善山洪使君以柳器篩器二物見遺</title>,<text>揉柳爲方屈爲圓。精編細織巧俱新。餉耕不必須筐筥。漉酒猶宜代葛巾。書至每擎兒子手。蓋傾常服丈人眞。村家切用君能識。須擧斯心及衆民。</text>
<title>次金驪州道源 涌 淸字韻</title>,<text>十月驪江江水淸。帆檣簇簇任波生。茅簷太守但坐嘯。琴鶴歸舟何日行。彭澤靑衫二載久。雲川白鳥一雙明。豐年秔稻足爲酒。莫負柴門僮僕迎。洛水塵纓可濯淸。輕舟時趁晩風生。休來樾下當陰靜。閒傍蘆叢把釣行。南澗題詩吟子厚。東籬採菊醉淵明。江湖浪迹都如此。誰我將之誰我迎。</text>
<title>鬼火</title>,<text>雲沉大野雨冥冥。山鬼把火靑熒熒。或遠或近恣狂怪。若離若合如有爭。火是地二之陽精。胡爲鬼弄無光明。鬼非眞鬼火非火。最難識得魑魅情。陰風晦昧草木荒。夜氣蒸欝無淸凉。煩寃國殤有時哭。此物何事增劻勷。安得大帚長萬丈。掃盡氛陰天氣爽。坐見白日昇東方。不患山林逢魍魎。</text>
<title>與金藎甫，李士直，南士仰。登高望遠。</title>,<text>春風浩浩拂面來。杖藜獨立溪水隈。人家掩門雞犬靜。櫻桃花上春禽哀。披荊經路問街童。隣翁杖屨偶然同。籬陰忽高轆轤轉。日浮桑柘春融融。松枝臨壑老龍立。菖根抱石蟠虯蟄。三山半天靑萬古。朝暮白雲閒出入。升高望遠隱者事。消遣世慮無過此。來牛去馬無窮人。日日路上黃塵起。</text>
<title>悼宋正字</title>,<text>離懷憑一札。殘歲屬三餘。苦憶江頭別。翻思湖上居。忽因童僕至。只見壻郞書。漠漠天何問。悠悠淚滿裾。</text>
<title>躑躅杖</title>,<text>曾聞雷雨葛坡中。飛上靑天化赤龍。留得一鬚還作杖。溪山好處到衰翁。</text>
<title>次登嶺歌</title>,<text>爲客無時無寂寞。逢春無日不愁悲。年光苒苒隨流水。世事紛紛劇亂絲。元亮覺非那待酒。彥倫知返豈須移。從今欲學安心法。試覓人間洗耳池。</text>
<title>次曺正郞汝益韻</title>,<text>喬木當軒立。平郊與眼通。微風吹過簞。落日斂前峰。醉裏嫌歌短。醒餘恨酒醲。晩知田野樂。我欲問明農。</text>
<title>道南院。次曺汝益韻。</title>,<text>吾道南來此建宮。山如拱揖水朝宗。可憐末學千蹊徑。誰識爲山九仞功。學射先須知有的。尊師不必患無從。丈夫有志當如舜。會見英才繼五公。</text>
<title>古意</title>,<text>長松在澗壑。欲拂靑天雲。脩竹在渭川。蔚有琅玕文。君子長坦蕩。小人悲賤貧。由來君子心。不敢怨蒼旻。芰荷以爲衣。薜荔以爲紳。虞舜在何許。蒼梧邈難臻。稷契不可徒。踽踽滄江濱。</text>
<title>醉題鄭景輔新堂韻</title>,<text>顧眄勞雙眼。江山轉患多。小松低作蓋。香土淨如沙。四節花無盡。三更月未斜。螢歸依葛葉。取照讀書紗。</text>
<title>題李寧海江舍</title>,<text>小閣臨無地。玲瓏水氣中。夕風凉几席。朝翠濕簾櫳。曬翅鸕鷀飽。晴沙返照紅。自慚非道骨。衰白問壺公。</text>
