<title>自勉</title>,<text>四德時磨琢。三綱日切磋。惟我平生志。在玆不在他。</text>
<title>次二川韻</title>,<text>紛紛白雪曉初霽。萬壑千峯玉色華。誰云自古豊年驗。寒餓方侵不保家。高塘少日同遊來。後野聯鞭問道來。忝師終作一愚漢。每對高明愧自來。</text>
<title>次朴生▣▣韻</title>,<text>長夜無眠過五更。曉來松月半窓明。珍重思君君在遠。何人知己共論情。</text>
<title>次張橫渠土牀韻</title>,<text>葛衣布被肌膚暖。糲飯藜羹氣味新。料得土床瀟灑意。明時前後一般人。</text>
<title>次程明道偶成韻</title>,<text>瑞日祥雲暎碧天。和風甘雨灑淸川。今來百世猶興起。况是薰陶在當年。</text>
<title>次二川韻</title>,<text>抱經優遊故山中。安分悠悠任苦窮。情韻遠飛空谷裏。吟來知是始終同。</text>
<title>謝南可毅▣▣，裴敬叔▣▣佩酒來訪。</title>,<text>崎嶇山路遠尋來。孤陋愁懷得小開。莫言打話終無益。最謝寒齋酒滿盃。</text>
<title>次二川韻。以叙客懷。</title>,<text>誰謂不尤不怨天。胷中生火口生煙。圓門客裏逢寒食。遙憶家山轉似燃。</text>
<title>聞上候未寧。不勝憂惶。因叙微忱。</title>,<text>伏聞君父體違豫。臣子憂惶八路同。焚香夜夜祈天意。恒願吾王壽配嵩。</text>
<title>聞上候一向沉重。不勝怵惕。敢叙微悃。</title>,<text>玉體違豫一向重。臣民怵惕四方同。側微雖欠先甞藥。拱北誠忱自不窮。</text>
<title>夢見朴夢說宛然到一戰塲相呼。感應。其字應霖。縣監也。曾同學於挹淸門下。而晩成武才登科。壬辰倭亂。戰死於晉州城中也。</title>,<text>少年同學幾相遊。白骨沙塲恨未收。關塞月明秋夜靜。微吟獨立萬端憂。</text>
<title>述懷</title>,<text>才踈計拙未營家。惟向樽前歎髮華。自知寡與眞堪笑。願傍靑門學種苽。淸江碧石雲山裏。獨立㙜邊薄暮天。此物若知趨勢利。吾家安得繞門前。石溪苔沒無前色。松壑塵深淺舊光。地祗山靈應有感。回頭薄暮最潛傷。狂生嘐嘐無所拘。笑殺傍人妄馳驅。處處營營廉耻倒。全軀何用浪區區。</text>
<title>上翫鳶㙜</title>,<text>秋晩江湖萬景新。登山臨水眼初新。鴈聲暗送斜陽外。屈指潛悲老抱新。</text>
<title>與鄭肅吾 以觀 及諸友泛舟遊於高塘之下</title>,<text>月白風淸九月秋。携朋情話共船遊。悠悠遙憶前時事。醉興還爲感舊憂。</text>
<title>重陽。諸生會于石溪。</title>,<text>不才曾耻忝人師。更歎諸賢此日期。龍山落帽誰云樂。醉裏難禁宋玉悲。</text>
<title>元日吟</title>,<text>曉起新添六十春。方知終未免鄕人。一生踽踽知音少。只祝林泉畢此身。</text>
<title>憶朴子明</title>,<text>少年初志早相同。白首蓮花晩又同。平生事業潛期一。却怕如今有不同。</text>
<title>慰趙景韓 愈 生辰</title>,<text>白頭同醉壽筵中。投㓒交情喜有終。堂滿子孫爲大老。區區何用羡侯封。</text>
<title>雨中吟</title>,<text>於尼山北晝雲深。翫鳶㙜南暮雨浸。終日微吟茅屋下。悠悠惟恨少知音。志拙才踈白髮身。平生恨未免鄕人。空抱范憂知己少。江湖還愧作閒民。獨立㙜邊細雨中。前江漲滿亂斜風。衣冠盡濕曾何惜。幽趣悠悠儘不窮。</text>
<title>聞宋友永叔凶音</title>,<text>吁嗟天意固難知。何奪斯人忽若斯。厭世全歸應不恨。可憐衰病願追隨。正直元來不售時。幾年西海任驅馳。覊魂捴是由王事。世眼矇矇恨何爲。早托龍門成白首。金蘭情義固難 缺。潛冀共爲泉石老。誰知一夕隔幽明。繡衣杖節關西路。凶音一夕已多疑。千里傳言如夢說。聞來膓斷不堪悲。功業猶宜竹帛垂。如何大器不容時。莫歎不逢魚水樂。鯉庭方有可承兒。</text>
<title>偶吟 先生回甲年</title>,<text>屈指方知還甲春。容顔非舊眼花新。老抱悠悠難盡說。年年此日最傷神。</text>
<title>夢吟</title>,<text>柳綠花飛晝永時。泉林處處可棲遅。踽踽獨行隨意步。箇中幽趣少人知。</text>
<title>夢中韻</title>,<text>芳草長堤細雨時。訪花隨柳獨行遅。盡日徘徊無與語。悠悠老抱更誰知。</text>
<title>和卞邦瑞▣▣韻</title>,<text>時屬淸和喜雨時。幽居意味一般淸。近來每恨知音少。靑眼樽前願倒觴。</text>
<title>贈崔德基</title>,<text>江路秋風信馬行。楓紅堤上菊新英。故人家在淸溪外。相見欣然倍舊情。</text>
<title>次二川韻</title>,<text>秋雨蕭蕭終日來。晝眠難勝起徘徊。悲吟遠憶西邊事。憂國憂家膓欲摧。</text>
<title>贈朴如一</title>,<text>扶筇携友強登山。共枕禪房意自閒。貪看朝暮忘歸去。此境也應非世間。</text>
<title>雪中留吟。贈崔德基。</title>,<text>作客溪亭雨雪中。與君談笑醉春風。日暮泥程歸路暗。淹留還喜主家豊。</text>
<title>述懷</title>,<text>淸和佳節坐山城。芳草溪邊細雨晴。悠悠懷抱誰能識。蜀魄簷前惱客情。</text>
<title>閑吟</title>,<text>蕭然茅屋掩荊扉。綠柳門前繫馬稀。晝眠初覺山村暮。惟見階除鳥自飛。</text>
<title>夢覺感吟 往習靜宋友初期。與朴子明，趙德安同宿。夢見宋友而相語。</title>,<text>去歲此時同在世。可憐今日竟何歸。夢裏慇懃握手語。覺來追憶正依依。</text>
<title>贈閔台叟 汝老</title>,<text>挹淸門下啓昏蒙。又被重峯敎育功。晩來聞道沙溪畔。顧是三師轉反躬。</text>
<title>贈朴丈 廷亮號深川</title>,<text>憶昨高門終夜語。情談都是慕沙溪。欲傳吾意無由路。負笈還愁去道迷。</text>
<title>投拜外祖 參議朴公諱紹宗 主神於虛堂。不覺感泣。</title>,<text>禾黍離離滿故基。瞻拝荒庭不勝悲。善家餘慶徒虛語。由來天道固難知。</text>
<title>苦雨</title>,<text>九年洪水問何支。一朔霖中萬事。降灾示誡非無以。可惜天心未易知。</text>
<title>卽吟 行到麻田浦。朴有諴三兄弟挾小學。遮路講論。時南就悅適來草坐。與語說之。</title>,<text>褰衣枕草坐江濱。山菊溪楓照眼新。更謝諸朋隨我至。須看小學誡修身。</text>
<title>重陽日。登扶餘縣落花巖。因遊臯蘭寺。</title>,<text>船遊昨夜訪遺跡。獨賞今朝感舊深。山僧知是重陽節。白酒慇懃慰客心。</text>
<title>講會馬山亭。吟示諸人。</title>,<text>修契遠續蘭亭會。楓岳蘆洲晩菊時。有人知是風流意。日暮江頭抱笛吹。高唐江上馬山頂。醉向樽前起舞遅。潛思前古尤多感。滿目秋山揔是悲。</text>
<title>留宿晦院。無聊憶弟。</title>,<text>病中消息問無由。憶弟思家晝夜愁。日永堂空山更寂。微吟獨坐倍前憂。</text>
<title>訪弟於耆藏寓所。適出不見。</title>,<text>淸和佳節淸江上。綠柳奇巖夕照時。兄弟相離今幾日。尋來不見恨吾遅。</text>
<title>吟呈主倅成侯 文濬</title>,<text>千里神交問幾年。承顔恰似見先賢。傾心論抱情如舊。最感偏恩浩浩天。</text>
<title>次朴而顯韻</title>,<text>月白風淸魂骨寒。悠悠睡起憑危欄。客裏思人今幾日。家山重疊指雲看。</text>
<title>贈同接友</title>,<text>風靜空山秋月明。苔封庭畔草虫鳴。無眠夜半旅窓下。何處鵑聲更碎情。由來人患好爲師。却愧諸君待以師。友已自知無可則。潛憂他日累先師。</text>
<title>贈別安士彦 邦俊</title>,<text>平生景仰始開襟。秋月寒波兩底心。燈下數言情若舊。白頭今日托知音。</text>
<title>贈生員金宇海</title>,<text>自少同鄕業又同。幾年漂泊各西東。白頭此夜更聯枕。說舊依俙似夢中。</text>
<title>在石溪</title>,<text>病卧寒齋秋日凉。楓林四圍菊花香。有弟提壺呼我飮。始知今日是重陽。</text>
<title>輓朴文吉</title>,<text>同遊少日情當切。白首年來意轉親。楓晩仙㙜人不在。秋山物色揔傷神。</text>
<title>輓南習讀</title>,<text>少年勤學未曾售。踽踽溪山八十春。小官多子因餘慶。烟月高塘獨樂人。</text>
<title>輓金公</title>,<text>堂滿子孫餘八十。門庭幾見桂花開。同食多年情義切。含愁揮淚奠情盃。</text>
<title>次金伯胤▣▣韻</title>,<text>獨處江湖上。空懷范子憂。君家高鶴頂。我住觀魚頭。昨見添新喜。今離倍舊愁。吾情難盡說。知己但閑𩿨。</text>
<title>追慕重峯趙先生</title>,<text>大才盖一時。道義合幽期。忠孝致心早。功名向意遅。開來勉講學。憤世輒吟詩。欲識平生志。須看誦楚辭。</text>
<title>懷諸友會飮</title>,<text>正値秋風時。諸賢共有期。曾聞衆會盛。還恨我行遅。把酒應論抱。思朋却題詩。何由一席上。說盡平生辭。</text>
<title>述懷</title>,<text>富貴非其時。林泉付夙期。登山高步濶。臨水獨行遅。自愧隨論禮。還慚共作詩。恨無師友誡。長對古人辭。</text>
<title>思李汝愚</title>,<text>生今好古時。與子早同期。問道殊高下。收功異速遅。存心猶講易。言志輒成詩。孝友由天性。忠誠每著辭。</text>
<title>思趙德安 完堵</title>,<text>行藏各有時。窮達本無期。述業收功早。抱才施世遅。凉凉長閱史。踽踽浪吟詩。何日逢知己。叫閽繼直辭。</text>
<title>因次二川韻</title>,<text>吟來諸友韻。珍重老彌深。舊誼堅如石。交情利斷金。死生不易志。終始可同心。還笑世間子。紛紛空好音。</text>
<title>夢見宋友永叔</title>,<text>知己歸何處。潛思淚沾巾。深情誰與語。幽抱更難陳。死別痛今日。生離恨昔辰。森然舊面目。夜夜夢中親。</text>
<title>寄崔德基</title>,<text>吾輩稱言行。如公復幾人。剛柔能合道。氣像混同塵。厚意今猶切。交情老轉新。江村塊獨處。回首挹溪濱。</text>
<title>閒吟抒情</title>,<text>家臨汶水上。孝友世間傳。安分身無辱。閑邪志自堅。優遊儀則地。存養渾涵天。德行恒加勉。期承閔子賢。獨處閒居日。猶思斂厥躬。立身要正直。持己務和中。風月襟懷豁。江湖性氣通。靜觀今古變。祖述無名公。</text>
<title>訓子孫</title>,<text>至論論語備。造次服膺看。臨食無求飽。處居勿取安。與人忠可勉。執事敬宜殫。孝悌爲仁本。先行以發端。魯論二十篇。誦習宜眷眷。孝悌爲先務。敬忠亦勉旃。有非改無吝。聞義徙能遄。此道精思踐。可期至聖賢。君子之於學。孜孜日勉強。見賢如不及。聞惡若探湯。踐履高明域。優遊禮法塲。汝宜心力盡。勿謂我言狂。</text>
<title>述懷獻主倅</title>,<text>伊昔靑春客。如今白髮翁。才踈宜世棄。計拙任家窮。長處江湖上。深藏邱壑中。慇懃太守意。惠活豈無終。</text>
<title>贈閔台叟</title>,<text>蹉跎成白髮。事事輒生悲。每恨知人晩。常憂見道遅。賢愚便在我。窮達豈容私。何日沙溪墅。抱經更質疑。</text>
<title>書院餞別主倅</title>,<text>不顧俗人嗤。超然好古時。如水澄心靜。凌雲直氣滋。解綬歸何急。投閒分內宜。遮留差未遂。後會恐難期。鳳棲非枳棘。還歎不逢時。臨民仁自發。濟物德猶滋。聽言道已合。觀事義相宜。離席情何極。坡山願後期。</text>
<title>敎童子</title>,<text>吾知童子職。隅坐且隨行。遜志當求益。帥初勿速成。立心先孝悌。修己以忠誠。行有餘閒日。學文立課程。</text>
<title>述懷</title>,<text>幽居窮巷裏。長對古書看。地僻宜無客。年衰懶着冠。遁期非要潔。離計豈懷安。憂國心空切。狂歌更考槃。</text>
<title>苦雨</title>,<text>秋雨晴何日。悲吟獨坐時。浮雲連地暗。苔草滿庭衰。抱葉鳴蟬促。歸山宿鳥遅。淸光難得照。多感自成悲。</text>
<title>次蔡西山林居韻</title>,<text>夙抱桐江願。漁樵寄此生。行從修省㓗。習與性情成。世事惟詩禮。生涯付耕。利中無計較。名上豈經營。</text>
<title>止謗</title>,<text>止謗有其道。莫如勉自修。小心常翼翼。黜己恒休休。彼力吾由義。彼強我以柔。苟存無辯志。詆毁若雲浮。</text>
<title>安貧</title>,<text>富貴非吾願。簞瓢樂一生。守窮心愈泰。處困意彌亨。名上元無較。利中豈有萌。只存追慕痛。日夕省封塋。</text>
<title>觀射</title>,<text>射法吾自知。滿而後發之。升降多禮節。揖讓有容儀。直體皮奚主。正心中必期。於斯可觀德。君子取爲䂓。</text>
<title>石溪閑吟</title>,<text>白頭林壑又新春。獨坐寒齋自反身。迷道始擬將問道。憂貧還愧不安貧。最愁漸遠源塘老。更歎難逢漢水賓。可惜老懷違夙願。連床何日與相陳。</text>
<title>述懷</title>,<text>山深地僻不聞喧。反耻年高道未尊。身處江湖憂國事。志存經籍念師恩。踐修在我曾多悔。窮困關天豈有怨。花落芳洲春草細。時携童子步平原。</text>
<title>次朴都事 輅 運石時韻</title>,<text>平生景仰吾先師。能繼斯文只在斯。定力無爲威武屈。持身未見賤貧移。尊賢一念老猶篤。愛道誠心竟不。運石南來相別後。慇懃厚意想難支。</text>
<title>呈沙溪金先生</title>,<text>重峯昔日從遊客。今向高門負笈留。景仰聲華經十載。從容凾丈過三秋。一生陋巷饒顔樂。千里江湖抱范憂。白首自知問道晩。朝聞夕死是吾籌。</text>
<title>次二川贈東㙜 朴公廷弘 韻</title>,<text>世路多艱豈馳心。雲山無競石溪深。安貧獨樂甘空瓢。隨分忘憂任炊鬵。帶月挾筇臨短壑。因風乘興倚長林。何人勸赴靑山試。可惜難堪老病侵。</text>
<title>因鄭肅吾。寄宋永叔留京。</title>,<text>踽踽幾年漢水濱。茫茫關海作沉鱗。經營萬計猶憂國。調度千謀揔愛民。戀闕一念常滿臆。思鄕雙淚自沾巾。鵷班此日堪膓斷。願向林泉問故人。</text>
<title>憶宋友</title>,<text>學可通天運未通。安貧守義命途窮。持身終始敦淸直。定力平生任孝忠。良玉取瑕沉海底。明珠無價韞山中。繡衣一夕成旅櫬。悵望關西淚灑風。托爲同志老無移。何意一朝喪我師。悵望關西頻灑淚。潛懷漢北幾傷時。羣居寥落增追憶。獨處蕭條費夢思。忠厚溫容何復見。手摩靈輿轉潛悲。</text>
<title>省墓感吟</title>,<text>省掃封塋追慕切。空令涕淚自沾巾。凄凉古樹含風泣。憔悴殘花浥露嚬。感念時時膓欲裂。傷心日日痛維新。餘哀切切恒無已。幾日泉㙜奉二親。</text>
<title>贈崔德基</title>,<text>山下溪邊一草堂。淸江白石是滄浪。雲含翠岳層層吐。風動黃花冉冉香。故舊浮沉心斷絶。妻兒飢病色凄凉。將顚溝壑由踈放。自笑無營任老狂。</text>
<title>醉吟</title>,<text>褰衣濯足澗之濱。醉詠歸來意自新。憑窓坐嘯憂時士。出城行歌採藥人。雨打山花鋪短路。煙繞溪柳暗長春。遙望淸光西日沒。杜鵑聲裏倍傷神。</text>
<title>寫懷</title>,<text>身處江湖鬢已皤。懸心北闕費懷多。臺中誰是廷爭黯。殿上疇爲劒履何。堯舜美談時諷誦。程朱嘉範日吟哦。愛君一念猶無已。長抱微忱發浩歌。</text>
<title>登觀魚㙜</title>,<text>迢遞高㙜枕水頭。登臨此日意悠悠。江湖性氣胷中抱。風月襟懷詠裏收。不義功名無較計。等雲富貴更何謀。索居閒處惟心適。美酒淸詩任浪遊。</text>
<title>別安士彦</title>,<text>千里神交問幾朞。眼靑今日恨逢遅。正論非是當時俊。直道宜爲一代師。安分少營窮亦樂。反身無愧屈何悲。惟君素愛淸狂客。願向雲山共有期。</text>
<title>除夜</title>,<text>殘燈此夜老懷惡。自是人情惜去年。憂國微忱猶未已。思親一念正無邊。淸修苦節追君實。長抱餘哀踵子騫。送舊迎新增感意。白頭添齒亦堪憐。</text>
<title>贈東㙜</title>,<text>垢衣蓬首獨甘心。與世相忘樂自深。通德挽蔬供麥飯。添丁乞火爨魚鬵。時逢田畯談秔稻。邂逅嘉賓醉竹林。應擧覓官俱不惡。其如兩鬢雪霜侵。</text>
<title>悲吟</title>,<text>閑處恒歎孝不及。哀哀一念儘無涯。省墳幾灑傷時淚。謁廟彌深感舊悲。春雨春風增怵惕。秋霜秋月益凄其。這間懷抱誠難放。夜起彷徨詠古詩。</text>
<title>輓枝溪金公</title>,<text>林壑優遊不繫身。一生漁釣小溪濱。溫恭遜語人無怨。渾厚和光世同塵。二子烏情應錫類。千年鶴筭正由仁。乘雲一夕帝鄕遠。執紼難堪淚灑巾。</text>
<title>輓朴子一</title>,<text>同業同庚同嗜酒。交情尤切白頭時。東㙜花柳頻遊賞。瀑布楓林共詠而。半世聲名君獨步。一生窮困我曾隨。那堪永訣幽明意。還羡傳家玉樹枝。</text>
<title>輓金叔伯承</title>,<text>同業同鄕同白首。晩來相愛托知音。義稱叔侄情彌切。交結金蘭分轉深。晦谷春秋頻叙抱。石溪風月更論心。薤歌一曲嗟難及。永隔幽明痛不禁。</text>
<title>輓李訓導</title>,<text>同門同業又同族。長幼雖殊豈異襟。粹美溫言終轉切。慇懃嘉行老彌深。享年早識由仁意。安分從知好古心。庭樹兩枝方秀發。誰云天道儘難諶。</text>
<title>輓金文叔 篆</title>,<text>自少交遊忘長幼。更爲姻婭最相親。連床古寺琴川夏。共轡長程洛水春。擧業一生終抱恨。窮居半世幾傷神。薤歌數曲松楸裏。哭罷風頭淚滿巾。</text>
<title>輓南晦叔</title>,<text>金蘭與結自靑春。珍重交情老更親。蕭寺良霄連榻久。溪山佳節共盃頻。蹉跎半世猶安分。契活平生不厭貧。爲愛庭前雙王樹。也應修業繼先人。</text>
<title>輓閔參奉</title>,<text>誰言有壽必由仁。可惜年光六十春。治事早稱能也藝。居家咸歎友于人。同宗自少情相切。添媾從來意轉親。追憶殷勤病裏語。悲懷塡臆淚盈巾。</text>
<title>輓詞[趙愈 西坡]</title>,<text>不遇終夜食。烏淵一伏龍。存心修己篤。謀事爲人忠。後學多薰德。斯文賴有功。云亡尤慟意。湖邑士林空。</text>
<title>輓詞[鄭弘繼 生員]</title>,<text>早歲窮經術。功程志聖賢。守身恒儉約。持論不頗偏。質魯人猜直。心貞我愛狷。皇天胡不憗。丹旐向重泉。</text>
<title>輓詞[朴廷弘 判官東㙜]</title>,<text>受業同門吾許爾。忘年曾結久要情。西華講習才雖魯。晦谷經營意獨誠。孟石還爲臧武立。嵇樽無與巨源傾。丹邱白髮從何托。永別難堪哭罕生。</text>
<title>輓詞[朴廷老 懶學齋]</title>,<text>幾年同處挹淸門。䂓過繩愆賴至言。力學工程開後進。平生行義協儒論。每嗟草野淪高士。長恨明時擯俊元。痛矣斯人今忽逝。吾徒事業孰傳存。</text>
<title>輓詞[閔在汶 白蓮堂]</title>,<text>生成衆萬莫非天。壽夭榮枯孰使然。死乏衣巾深痛婁。生難食飮最憐淵。存長亡短人難備。報善施淫理豈懸。半世琢磨傾慕意。素車空羡哭新阡。</text>
<title>輓詞[閔瓛]</title>,<text>天生豪傑惠東土。卓立高標人莫窺。道學旣能擅一世。文章奚但冠當時。輸忠再上格君策。奮義初成賢士碑。上舍功名何草草。蹶泥驥足眞難馳。歸來烟壑卜幽隱。宅近南山歌紫芝。貧甚顔瓢樂不改。契深龎畒心長怡。浮雲富貴豈相累。黃卷生涯終不移。廉立幾多風所激。善良可見德攸施。何知夢罷殷楹奠。永隔人間岐鳳儀。題挽那堪慟悼極。臨風不覺淚漣洏。</text>
<title>輓詞[尹長卿 奉事]</title>,<text>二千年來公挺奇。天有閔費侯後遅。七十年前公棄去。天奪閔費侯後遽。天意茫茫正如此。天可恃乎不可恃。公之事業人莫及。士林由來稱巨擘。胷中磊落嗜義志。夙著褒忠錦溪石。中年有意蘇羣氓。勤向天門陳十策。嗟哉卞璧不見售。杖策歸來舊烟壑。相如四壁澹空立。回也一瓢惟自樂。卷中前聖日相對。門下諸生勤敎育。風流天性又嗜酒。隨處常傾賢聖酌。酣來有時吐高論。舌端風雷動寥廓。人云憂樂亦云急。雪中簑衣雨中笠。幽蘭塵世竟莫馨。上舍之名何草草。龍鍾往歲一識公。自恨爲師未能早。薰炙光輝未幾日。歸去高峯天一末。今來舊巷奄無光。草堂傾側蒼苔沒。原頭隻鴒影悽悽。鏡裏孤鸞形孑孑。天乎偏𥚁善人家。從沒先生所嬌女。挽歌唱罷曉月傾。一掬哀淚沾冠纓。</text>
<title>輓詞[朴以澈]</title>,<text>山河淑氣鍾人傑。出入經書拈聖功。處巷旣探顔氏樂。封䟽允合魏徵忠。願承當日恩逾分。存沒今朝淚不窮。定識斯文從此滅。吾鄕恐作互鄕風。</text>
