<title>香山寺。與李淸潭 希得 相和。丁酉秋。倭寇逼京。兩殿影幀奉安于香山。公時爲內翰。與判書李公陪往。留五日。各體雜詠。</title>,<text>匹馬西來日。危樓北望時。溪山饒勝賞。觸目不堪悲。</text>
<title>惜花</title>,<text>昨夜狂風吹古樹。東君不得護殘梅。任從零落泥沙裏。誰送餘香上玉臺。</text>
<title>秋陰</title>,<text>十日秋陰結不開。南溪長吐黑雲廻。草花初發苔花老。蛙吠籬根喚雨來。</text>
<title>寄昌運</title>,<text>安得蘇張解糾紛。世情翻雨又翻雲。關河南望家千里。誰放魚鴻到塞垣。</text>
<title>種菊</title>,<text>千里移來種九夷。危根客土政堪悲。籬邊幾度風霜變。晩節寒香我獨知。</text>
<title>詠松</title>,<text>殘年不必嘆居夷。失馬何爲有喜悲。風雪滿天猶晩翠。歲寒惟托此心知。</text>
<title>金從事 瑬 所帶堂皁。持鑞佩來謁。以詩戲之。</title>,<text>汝傳家室平安報。遷客中心喜可知。唯是腰間銀字牌。祗今令我蹇雙眉。從事。時爲校理。</text>
<title>奉和北渚 瑬 令公韻 三首</title>,<text>甚矣吾衰不夢周。邊垣况復伴牢愁。孤燈一夜生歸思。回鴈峰頭已報秋。蕭騷飛雪撲書窓。却放朝衙擁碧幢。聖代有時虛鼎席。不應黃覇出爲邦。孤懷悄悄感年周。坐到深更起遠愁。雪月滿庭人影絶。誰將濁酒過墻頭。</text>
<title>奉呈北渚令案 四首○聞方劑補藥。故戱之。</title>,<text>鍊得仙翁九轉丹。風飄香氣出人間。若爲學得姮娥竊。黑我蕭蕭兩鬂斑。交明雪月使人迷。欲向仙居未有梯。千載山陰今寂寞。誰回小艇沂剡溪。行當堆印返東周。暫滯龍荒莫作愁。白首江州覊管客。故園歸夢五年秋。窮躓猶當道是周。肯將衰病起閒愁。行藏自是人間事。更把深盃賞早秋。</text>
<title>送李介立</title>,<text>凉風昨夜動關楡。遊子歸心在哺烏。別後思君何處苦。閉門秋色客身孤。</text>
<title>春夢</title>,<text>窓外踈篁長數枝。夜來山雨下西池。幽人忽有江南夢。花落春塘壓酒時。</text>
<title>送子齊運 二首</title>,<text>纔收草土三年淚。更向兒歸洒塞風。遙想客驂時駐處。白雲何事望西東。雖過百年猶是半。况將衰病客他鄕。鬼門關外山如戟。斷盡愁人幾寸膓。</text>
<title>傷老</title>,<text>白髮雖推去復迎。紅顔苦挽更無情。後生愼莫輕前輩。前輩何人不後生。</text>
<title>失籠禽</title>,<text>養爾籠中歲易深。庭前愛聽月中音。無端鎩翮冲天去。江海茫茫何處尋。</text>
<title>錄示梁海曲 榞○二首</title>,<text>睡罷松窓遲日午。龍團試解醉餘喉。西郊夜雨土膏潤。處處春耕聞叱牛。江城一雨靡蕪遍。京口音書幾日來。同作逐臣歸未得。夢尋玄觀看花回。</text>
<title>夜坐</title>,<text>夜起彷徨倚小窓。雲沉前野月平江。呼兒索酒傾蕉葉。欲破愁城不可降。</text>
<title>次梁海曲</title>,<text>雲隨世事共沈浮。人在樊籠愧海鷗。擧目山河多感慨。伯仁垂淚爲誰收。</text>
<title>贈別允弟 惟允</title>,<text>何事倥偬易解携。春風知已戀靑閨。從今一閉黃堂後。明月梨花伴子規。</text>
<title>秋月</title>,<text>關河寒至月如霜。一片猶能照兩鄕。莫道嫦娥能擣藥。今宵擣我九回膓。</text>
<title>送三弟 惟聖 還京 二首</title>,<text>問君捨我復何之。行色怱怱不少遲。別後相思底處極。閉門寒雨酒醒時。憐君急難義徧紆。百二秦關再度踰。回首北堂千里外。亂山黃葉容行孤。</text>
<title>次北渚韻贈王弘緖</title>,<text>前朝公族今編戶。流落關河作旅人。綵筆一揮千紙盡。依然湘曲萬竿春。</text>
<title>前夜。尹是纘父子來訪。奉邀二衙。不至。明日以詩寄之。二衙。判官尹是勇也。是纘之兄也。</title>,<text>何人深夜叩牢門。多謝阿戎與卯君。却憶謝池春草綠。一燈孤負鄭州樽。</text>
<title>次尹士健 是勇</title>,<text>曉聽簷鈴更斷膓。起來顚倒引杯長。兒孫不識阿翁老。鑷盡鬅鬙鬂上霜。</text>
<title>聞二衙唱籌筭魚。戲呈一絶。</title>,<text>朝來龍戶貢魚鰕。日暮蜂衙計幾何。坐聽唱籌空指動。不如虛量歷陽沙。</text>
<title>江上春雲</title>,<text>天自無心雲自籠。雲消方見日輪紅。籠來消去渾閒事。萬國明時仰至公。</text>
<title>奉還士健南窓書。仍索數幅。</title>,<text>千惟未滿一惟足。莫惜銀鉤出鐵門。飛鳥驚蛇何用說。憎鷄愛不須論。</text>
<title>聞京信</title>,<text>午睡方酣楚客魂。忽聞京使叩牢門。歡迎欲問家中事。恐說存亡不敢言。或作不忍言。</text>
<title>贈金進士 愿</title>,<text>世路崎嶇危九折。人心變覆劇雲烟。十載異域身如蟄。誰識金門舊謫仙。或作人情翻覆劇雲烟。</text>
<title>寄昌運待母立石 立石。江界地名。</title>,<text>日倚危欄送遠眸。望鄕樓作待人樓。奔崩巨浸呑官柳。一夜寒霖兩處愁。</text>
<title>寒食有感先壠作</title>,<text>明時無事絶狼烟。京口衣冠半在邊。若敎丘墳同住此。何勞片夢向西天。</text>
<title>蜘蛛</title>,<text>黃昏簷角疾如梭。吐出銀絲結細羅。不是經綸成事業。年年網得落來花。</text>
<title>月夜。邀金進士不來。</title>,<text>東山新月斗牛間。獨照愁人滿小欄。有約不來空坐待。一枰碁子玉燈寒。</text>
<title>歲盡</title>,<text>日月如流不少淹。謫來沙漠歲更三。安得女媧補天術。剪膠能使兔烏粘。</text>
<title>淸源卽事</title>,<text>花紅葉緣草還腓。歲晏關河雪又飛。謫裏六看時序變。孤臣何事未言歸。</text>
<title>戲題</title>,<text>奪盡官資三十張。謫來西塞八星霜。閒消永日知無賴。漫擲空圖又幾塲。</text>
<title>排悶</title>,<text>忘憂欲睡憂還集。消恨含盃恨復蟠。只是忘憂消恨物。關南一步倘生還。</text>
<title>戲閔都護 汝任。時在江界。</title>,<text>十伐無愆自可知。江濱殘卒敢來窺。天山今日看三箭。師伯能成採芑詩。</text>
<title>謝送石魚</title>,<text>故人西去寄新羞。春色先從報帝州。啜盡數盃生遠思。此身如在紫陽樓。</text>
<title>述懷</title>,<text>昨夜承明有歸夢。天威咫尺五雲間。邊庭十載思君淚。洒向東風血又斑。</text>
<title>次士健</title>,<text>不疑誰復辨亡金。人心悠悠雲雨心。歲暮深籠同海鳥。聞天那復九臯音。</text>
<title>吳通判 行簡 遊於南樓。有樂無酒。以詩戲之。</title>,<text>虛張軍樂南樓上。醉酒吾眠江戶前。爲問有聲無酒者。何如無樂醉陶然。</text>
<title>葡萄</title>,<text>團團碧實繞簷垂。能使長卿渴病醫。疑是綠珠逢趙虜。却將妖艶墮樓時。</text>
<title>次梁通判 夢說</title>,<text>連歲㐫蝗生計索。晨厨不見起炊烟。身如飢鶴屋如斗。誰識金門李謫仙。</text>
<title>尹士健以謗見罷。坐想去留之懷。斗覺悲苦。因呈二絶。以廣疚心。二首。</title>,<text>春風賓鴈惜離羣。一隔西南杳塞雲。今夜客行何處宿。驛亭殘雪更銷魂。莫歎同氣葉凋零。縱盡瓜期幾度蓂。猶勝江州謫司馬。鴈行相別九周星。</text>
<title>詠史 二首</title>,<text>易水東流白日西。長歌一曲萬行啼。披圖未盡燕雲掃。腓草金臺鴈影低。燕地秋高易水寒。秋蓮氣迫斗牛間。地圖披盡將何事。千載空歌去不還。</text>
<title>聞鴈</title>,<text>燕霜遼雪自驚羣。點破湘江與楚雲。我亦天涯爲客久。聞來不忍弟兄分。</text>
<title>分字得樽鼎梅閤四字。聯句。</title>,<text>樽中舊醅春香動。鼎裏新莖雪浪高。梅近舊山簾影暗。閣臨秋浦櫓聲柔。</text>
<title>次上土樓韻</title>,<text>壯士危冠怒髮衝。平戎何日奏膚公。已知驕虜須臾命。盡入征羌聚米中。</text>
<title>塞上曲</title>,<text>昨夜攙搶照塞垣。驚塵忽起尾箕分。龍鳴長劒空藏匣。擬向樓蘭决陣雲。</text>
<title>題畫</title>,<text>一聲長笛水雲間。待月秋原夜不還。何事此身籠裏絆。猶借龍眠活畫看。</text>
<title>贈金仲甫</title>,<text>馬聳三山僕聳肩。吃萁吃菜悲寒天。東家老子聽之惻。縱欲全完無一錢。</text>
<title>詠宋史 四首</title>,<text>重華宮裏金輿斷。長舌翻爲廢主媒。宮漏五聲賢相遯。老奴終辦老韓猜。不知僞學爲眞學。錯認賢人爲小人。白鹿洞空蘭桂盡。江南那得免胡塵。陸君已死文山囚。藝祖乾坤一葉舟。賈賊善終英傑衂。手摩遺史淚空流。胡而爲帝帝而胡。萬古英雄起一吁。天爲聖明除穢德。虞仍萬葉繼唐虞。</text>
<title>又 八首</title>,<text>天聖朝廷庶績凝。周宣以後說昭陵。至今廢后千年累。恨不當時磔閻應。三黨初分似鼎形。洛中羣哲獨爲醒。自從橋上南禽哭。新法紛紜亂宋廷。兩朝奸黨亂朝廷。花石隨之國勢零。夾馬營中香氣歇。二龍行酒虜王庭。君臣不識和議非。忠節難容一岳飛。怊悵北轅何日返。惟看金字自東歸。妖言不動建炎疑。五上封疏志未移。終使李綱專戰守。遠開南宋百年基。金人遠問綱安否。爲是綱安是宋安。中國相光爲虜戒。高宗何事任羣奸。南馬孤魂消雪窖。騎箕壯氣撼山河。炎興白日昏如此。五國終成二帝家。燭影難逃萬世疑。香孩天下竟誰傳。皇穹不泯昭昭理。故遣中山復漢基。</text>
<title>偶吟 三首○時在順天</title>,<text>南州多瘴鎭林霏。山弟山兄掩石扉。莫道此身猶罪繫。世間塵土夢還稀。西極南州路幾千。十年來去雪盈顚。玆鄕信美非吾土。西笑長安在日邊。淪落淸湘賦楚騷。宗臣憂國鐵應銷。明時我亦江南謫。莫向尊前唱大招。</text>
<title>次朴說之 東說○二首</title>,<text>明時西掖演綸絲。退食花陰日未移。回首十年眞夢寐。橋山雲樹淚雙垂。身世如雲本不覊。故園歸計十年遲。江南千里囚山客。猶悔當時老鳳池。</text>
<title>失題</title>,<text>逐客夢中隨去路。行人秋後有歸期。鴨江烟水連淸漳。更向西流灑涕洏。同榜同曹又同謫。此間那有出幾微。名塲自古饒讒毁。絶域如今好是非。</text>
<title>酒席。醉次李相國 時發 韻。時守永川郡。</title>,<text>用賢聞杜牧。無敵是長城。鄭重觀風意。歡欣極士情。二天知獨有。萬甲已藏兵。守土叨筵席。逢場酒幾行。</text>
<title>祥原縣。贈承源。二首。</title>,<text>路入祥原郡。危樓借一憑。天涯隔君父。海外見親明。白首彈長劒。靑眸共小燈。明朝西出後。應是億吾曾。聞子祥原住。嚴程問筭頻。相逢千里客。俱是十年人。白首愁無語。淸樽酒幾廵。西風又惜別。驚起嶺湖塵。</text>
<title>仁川。贈朴德巖 惟淳 韻。</title>,<text>暫辭雙闕外。遙何五湖邊。野色迷平仲。花光上杜鵑。客來危榻下。棊散小燈懸。不寐談終夜。團圓似昔年。</text>
<title>次雙谷老人韻</title>,<text>萬死孤臣在。三年守鬼門。南州思老母。北極戀明君。世事翻雲雨。人情易曉昏。子瞻曾吐舌。今日未能呑。</text>
<title>悼亡吟。寄雙谷。</title>,<text>海內稱知己。風塵有幾人。那堪泉下客。長作夢中身。淚向交河月。魂消瘴水濱。何時歸舊隱。白首對元賓。</text>
<title>贈靈通寺住持</title>,<text>西天逢兩足。龜喘老維摩。世界逢甁鹿。生涯遇井蛇。暗時還黑月。明處悟空花。他日靑牛過。溪邊月似波。</text>
<title>遙挽申府院君 磼</title>,<text>海內堂堂友。人稱社稷臣。艱危先定業。淹恤又從廵。茅土重勳老。蓍龜兩代身。今宵文曲落。聞訃淚盈巾。</text>
<title>謝人來訪</title>,<text>莫向淸樽下。悲歡說戊申。長心天可質。短髮雪爲新。只識論圍棘。誰知請徙薪。古來皆若此。猶悔久風塵。</text>
<title>次金校理北渚韻 二首</title>,<text>明時臣罪大。邊塞聖恩深。垂老常羞鏡。孤眠不愧衾。途窮知士節。閱世見人心。鴈㙮題名友。相逢淚不禁。數年嚴譴裏。千里塞牢深。身世輕秋葉。鄕園夢曉衾。怒家還色市。論迹不知心。蒲柳偏凋謝。千絲不可禁。</text>
<title>子月十八日夢放還。有作。</title>,<text>夜夢金鷄下。天時間復臨。將身雖月暈。啓蟄自雷音。馬首南歸疾。葵心北望深。那能久塵土。更不負沙禽。</text>
<title>寄從子亨運</title>,<text>奔逬西行後。東山五見梅。應披癡叔易。不飮阿戎盃。龍伯有深戒。虎兒多美才。江邊衰朽骨。早晩幸收廻。</text>
<title>遙挽漢陰李相公 德馨</title>,<text>早歲魁瀛選。中年擢上公。名因三國重。功爲兩朝豐。短箚同彊項。羣猜若伏戎。雲龍知不遠。墳樹穆陵東。</text>
<title>偶吟呈北渚 三首</title>,<text>月圓三五夜。佳節是中秋。西極威常振。南樓興復悠。風褰碧油帳。霜促紫貂裘。都護無經去。民方借寇留。故人輕遠別。歸興鴈霜秋。北極雲霄近。南程峽路悠。行唯琴鶴載。去卽鷫鸘裘。縱有春前約。何妨爲暫留。樓明江次月。門掩草花秋。久客關河遠。歸心洛浦悠。時捐屈子佩。更攬杜翁裘。况復君思去。征車倘少留。</text>
<title>贈別江界敎授李介立</title>,<text>君去幾日到。我行無前期。思家一千里。戀主十二時。惜別雲容薄。催行樹影移。送罷門還掩。深情淚獨知。</text>
<title>遙賀新正</title>,<text>一氣回新律。三元劈老寒。皇恩覃海外。祥彩擁雲間。曉日明金殿。東風度玉關。冲融和煦裏。泮渙逐臣顔。</text>
<title>燈</title>,<text>鸞脂盈金盞。香烟出玉虫。憐添深夜色。惡竊太陽功。能豁看書眼。常隨對壁躬。晦明亦有數。遮莫㤪輕風。</text>
<title>扇</title>,<text>柄劈湘臯碧。藤裁剡曲春。何煩揮白羽。只可障紅塵。歲晩吟班妾。天寒賜老臣。卷舒隨世變。能不愧吾人。</text>
<title>鏡</title>,<text>出自銅山氣。移來桂殿光。能臨鬟際月。又照鬂邊霜。量大容姸醜。機明任舍藏。莫嗟秦帝失。猶在蜀姬籍。</text>
<title>寄昌兒</title>,<text>送子舂糧外。朝昏幾倚閭。人皆有樂地。我獨失攸居。病眼花常罩。愁心火益儲。年來知客苦。不食武昌魚。</text>
<title>送安同樞 玏 還朝 二首</title>,<text>西極淸源府。交臨弟及兄。孤身六七歲。地主幾多情。感意心肝溢。愚衷日月明。離懷那有紀。望眼淚沾纓。此別何時遇。此情問海山。宿緣知不淺。高義邈難攀。別路連秦樹。覊身繫楚關。河梁今日後。千里夢相看。</text>
<title>冬夜書懷。示梁海曲。</title>,<text>八年西竄裏。心事轉無聊。世道悲歡處。親朋夢寐交。秉燭看殘筆。持巾漉濁醪。知音有海曲。情話到中宵。</text>
<title>余以兼說書。直銀臺。夜往春坊。自上聞余來。卽賜宮醞肴饌。臣常感激異數。旣作長歌以和管絃。今又追作一絶。</title>,<text>憶昔宮臣忝。承明夜直時。紫駝峰出釜。緣蟻酒浮巵。感意乾坤溢。榮光日月知。湘江十年滯。虛負美人期。</text>
<title>述懷</title>,<text>客睡未能着。開窓待月明。江淸波不動。山靜樹無聲。世難悲沉沒。離親隔死生。刁斗那忍聽。深夜未歸情。</text>
<title>次士健 十首</title>,<text>江磧長淪謫。艱危已飽更。愁中雙鬂白。譴裏寸心明。死或丘山重。生猶羽髮輕。孤忠此日意。虛負十年經。遅暮出藍關。西山拄笏看。金臺頒獬豸。玉壘滯儒冠。遠夢趍雙闕。懸崖匝七盤。時平邊鎭靜。不必問王官。棄繻莫出關。拭目盛時看。定識尙書履。休彈貢禹冠。新詩追鮑遠。舊學憶甘盤。籲俊應朝暮。那爲老一官。客裏三庚盡。窮邊百感生。竄身今幾許。屈指到深更。戀闕長心赤。憂時短髮明。西風孤枕夢。不礙洛陽城。能推范魯暑。爲奉謝安風。只使三軍指。何曾五字工。蠅營駈得力。豹脚逐收功。珍重瓊琚句。聯翩慰棘翁。郞署悲顔泗。長沙哀賈生。艱危毛髮變。淪謫歲時更。塞外身如寄。天涯月獨明。龍荒秋又近。笳皷繞孤城。不才天所械。覊束幾秋風。度嶺愁豺虎。臨江畏射工。遐棲懷綺里。酒德憶無功。晩節逢知己。襟期對兩翁。忠孝違心事。功名誤半生。關雲人易老。旄葛歲多更。直道安三黜。風流慕四明。幽懷何處瀉。月滿府南城。乖違鴻燕節。落莫馬牛風。涉世愚妨智。謀身拙勝工。病深醫失技。愁劇酒無功。萬事皆由命。看他塞上翁。長誦九年賦。復歌澤畔吟。死生隨本命。忠孝負初心。臘雪排山火。春天入瘴陰。空將憂國淚。和血洒衣襟。</text>
<title>西遷九年之後。一家自京來尋。而形容變盡。妻不省識。聞舊聲而知之。子在腹者。長大而來。相逢不知誰。是父爲父而子爲子。牽挽痛哭。有感天地。玆述是事。以呈士健。</title>,<text>淸漢風雷隔。殊方歲月深。空悲和氏玉。誰辨不疑金。父子逢新面。妻孥識舊音。還慙百口累。終始託知心。</text>
<title>聞士健以謗見罷。奉唁。</title>,<text>浮世難容直。生平好任眞。載珠嘆漢將。抱玉泣荊人。蹤迹輕危葉。功名屬積薪。倐來還倐往。交道託孤臣。</text>
<title>詠菊</title>,<text>塞上淸霜早。寒籬菊未開。含香空自悴。抱節孰爲哀。拈葉風猶過。踈枝月獨來。看渠知歲暮。惆悵一徘徊。</text>
<title>送別四弟執中 惟允</title>,<text>送汝情何極。臨岐不忍言。雪霜常棣樹。風雨鶺鴒原。日色催歸騎。天光隔覆盆。今朝分手後。幾歲掩牢門。</text>
<title>挽田祿生 江界儒生○二首</title>,<text>斯人而有斯。仁壽未爲期。玉碎瓦全日。蘭焚莪盛時。君歸何奄忽。我謫已支離。執手違相訣。哀詞淚自垂。眉宇眞英秀。憐君居九夷。以吾一日長。誤作五年師。薪楚人能別。篷麻我亦知。如何短命死。新壠嶧山陲。</text>
<title>次閔聖之令公 汝任</title>,<text>西塞數千里。思君十二時。心從春樹斷。淚向暮雲垂。令尹遭三已。湘纍抱五悲。鴈來承尺牘。絶妙有新詞。</text>
<title>送金秀才 瀅○一作㙉</title>,<text>嚴譴西來地。交遊祖子孫。心肝各相照。齒髮不須論。別手分斜日。歸衣拂火雲。風塵隔萬里。何處避蜂屯。</text>
<title>病中聞三弟時中 惟聖。爲倉使幕來過。喜占一律。</title>,<text>聞說遼西戰。王師半墮圍。傾城皆哭死。招討得全歸。百歲山河恥。孤臣性命微。風塵逢弟日。嵩祝問彤闈。時設侍藥廳。故末句及之。</text>
<title>哭吳通判</title>,<text>客死猶行惻。親朋尙忍悲。官纔半刺史。去只一靈輀。絶塞層氷遠。空樑落月遲。天恩隨處在。護送下綸絲。</text>
<title>酒後。占一律。錄奉金淸風大爺 權。</title>,<text>絶塞烏蠻地。因依不失親。歡迎丈者轍。喜接德人隣。楊柳風光好。梧桐月色新。翬征應有日。明主本來仁。</text>
<title>述懷。示金進士 愿，梁海曲 榞 兩君。</title>,<text>一紀江州鎭。惟看我送人。危根無處着。病葉不逢春。入塞如緣木。投荒似積薪。低頭苦羞澁。時得免瀧嗔。時送高山里僉使金完歸鄕。故首句及之。</text>
<title>送金高山 完 秩滿還鄕</title>,<text>莫唱送將歸。難堪悵失依。江風吹別路。峽雨濕征衣。地絶音書隔。時危性命微。如逢天祿客。爲道老邊圍。</text>
<title>送學者金 嵂 還鄕 嵂。卽高山之子。</title>,<text>負笈三經歲。魚遊丈席間。樞衣何所益。垂槖愧空還。綠草江南路。黃雲塞北山。分離隔萬里。幾日更歡顔。</text>
<title>次閔聖之 時自西南遷。故首句及之。</title>,<text>十載西遷客。重過漢水湄。風塵易潦倒。人世足分離。金石堅初約。萍逢待後期。春來如有鴈。一字慰相思。</text>
