<title>夢作</title>,<text>長風九萬里。吹月度千門。何處一聲笛。東方欲破昬。</text>
<title>善竹橋感吟</title>,<text>崧山之側小溪湄。長憶先生死節時。遺廟開門瞻古像。荒橋下馬讀殘碑。</text>
<title>崔將軍瑩墓</title>,<text>落日將軍墓。空山下馬人。當時公不死。麗季國無臣。簡策名超古。英雄淚滿巾。寒風更蕭瑟。大樹尙精神。</text>
<title>太宗臺傍。有巖屹立可三四丈。巖上有一松。甚奇古。不幸爲蟲損其葉。忽枯死。眞勝境之一欠也。嗟歎久之。次農巖韻。</title>,<text>晨起復山行。林僧具草屐。逕回抵平臺。臺淸自水石。蒼巖勢忽高。登臨潭更碧。孤松跨絶頂。根走厚崖坼。經閱幾百年。蟠屈數十尺。爾旣生有意。甚與淸境適。胡爲蟲蟻損。慘然無生色。古來有材人。幾箇同冥寂。默思造化理。沉歎終日夕。</text>
<title>觀音窟。早起有微雪。次農巖韻。</title>,<text>曉看山色奇。微雪棲幽所。日出旋自消。靑崖霑幾許。後起疑有雨。露滴松間湑。汲泉諸僧出。罷齋淸磬語。欲歸見白雲。令人還久佇。</text>
<title>入崧陽廟。次板上韻。</title>,<text>森森老栢立祠庭。永衛宗臣不昧靈。憐爾慣生忠節地。錦官城外亦靑靑。</text>
<title>戲鴻堂爲朴生 天柱。賦松菊恠石。堂在崧陽廟傍。</title>,<text>氣並崧山秀。陰連廟栢濃。故都如許樹。惟有此孤松。右松吹香過酒樽。垂蘂向書屋。莫道物無心。亦猶人愛菊。右菊幽欲生雲氣。潤能通水脉。客來休見恠。本自山溪石。右恠石</text>
<title>北聖居庵。登七星臺。分韻得北字。</title>,<text>身病強淸遊。意得從疲極。忽看崖寺僻。於焉一攀陟。後有聖居山。嵯峨聳雲特。前有須彌峯。突兀半空直。東臺最高絶。七星臨其側。雲壁四面圍。高天窄欲塞。深入坤維裂。倒來日輪昊。巖石亦瓌詭。叢列如刻飾。蹲居人物狀。衣被金碧色。偉哉造化翁。設此頗用力。以遺聖道師。伊昔養玄默。師去山已空。有誰繼遊息。老僧語怳惚。舊跡難可測。沉思失前期。倚松到景仄。藹藹雲霞生。下山望南北。</text>
<title>向金藏窟。暫憇大宗臺。兼上人自圓通來會。賦詩志喜。</title>,<text>跨驢吾到此。飛錫爾從何。一笑蒼崖迥。新詩錦葉多。石潭浮道氣。雲窟逗仙歌。不獨匡廬下。淵明得意過。</text>
<title>早出江西寺。乘潮向甘露。舟中呼韻。</title>,<text>甘露寺前朝日明。江西渡口早潮生。輕舟駕得長風去。山北山南聽櫓聲。</text>
<title>早出廣津登船。過農巖舊居。感吟。</title>,<text>昔過農巖宅。維舟渼水濆。重來今七載。往跡已浮雲。墟木空華色。江波自錦紋。何由論學理。猶得接詩文。行中。適持農巖集數冊。</text>
<title>睡村午睡</title>,<text>江雲谷雨遞陰晴。黃鳥玄蟬時一聲。深處枕鞍終日睡。客行眞不負村名。</text>
<title>郊居別諸君</title>,<text>落日澗聲裏。遙山雲氣中。雙鷗輕度水。獨樹易驚風。離別餘情在。江湖勝事空。非無他夕會。難得此遊同。</text>
<title>蕩春臺少憇。次三淵韻。</title>,<text>蕩春臺下水。晴日照如空。花發曾携酒。秋來又看楓。雲山從古好。林逕少人通。獨與樵僧去。招提蒼翠中。</text>
<title>除夕。次孟襄陽韻。</title>,<text>除夕看兒戲。他時卽汝身。往來成舊物。畢竟是何人。不寐詩空惱。長呻病獨親。孤燈差慰我。滿眼結花新。</text>
<title>唱第日志懷</title>,<text>才疎學蔑愧平生。末第書名亦倖榮。堪笑自期猶不淺。未曾溫飽費經營。</text>
<title>禁中鎖直</title>,<text>假寐頻驚禁漏殘。晨燈照影着朝冠。科名偶得身何補。宦味初嘗齒已寒。終日應酬渾俗事。向時羸病亦淸歡。春花落盡桃源內。又失佳期載酒看。</text>
<title>疊</title>,<text>禁廬牢直惜春殘。林下逍遙負葛冠。倦鳥深籠愁日永。幽花獨樹怯風寒。詩餘舊習惟排悶。語向新交少作歡。早識宦情如許薄。未應塲屋擧頭看。</text>
<title>出城。次唐律。</title>,<text>出城多喜望長天。俗慮身痾一灑然。快若籠間新脫鳥。淸如樹杪曉吟蟬。樽明菊蘂交楓葉。枕爽松風和石泉。何似後川明月夜。閉門空憶入山年。</text>
<title>述懷</title>,<text>平生志欲古人如。趣尙羞同末俗於。得不爲欣失何慽。譽無足勸毁其沮。高秋木落看山立。靜夜風來覺水虛。惟恨一身嬰百病。半年休讀聖賢書。</text>
<title>病夜睡回。聞兒讀書感吟。</title>,<text>病衾無睡夜寒深。霰雪交窓風滿林。何處讀書聲入耳。燈前忽起少年心。</text>
<title>次德兄</title>,<text>鳥有避虞羅。獸有畏陷阱。况乃人最靈。其不能自靖。吾少計何愚。不達以爲病。及至涉世路。始思跡遠屛。功名不可期。富貴非本性。堪笑不知者。推挽要奔競。紛紛人世內。誰復志趣正。惟君析此理。相照心如鏡。淸宵默而對。悠然發深省。燈花自開落。爐灰遞溫冷。方知千言多。不敵一念凈。行藏與出處。一置無心境。有酒只大斟。有詩且高詠。聊以送吾生。此樂何時竟。</text>
<title>淸時</title>,<text>淸時每恨出身遲。旣出方知計未奇。南郭杖藜雲起峀。東郊觀稼水盈陂。溪山過雨生新色。松桂逢春長舊枝。不去胡爲城市住。與君朝夕且論詩。</text>
<title>呈德兄</title>,<text>昨日非今日。朝陰復暮陰。身應難少健。跡豈免幽沉。宿鳥惟深入。風松自遠音。閒門常早閉。無意待人尋。</text>
<title>次德兄</title>,<text>我朝唐虞治。我王堯舜聖。引用多髦俊。達視又明聽。胡爲守竆獨。甘與草莽幷。君看賢達人。古事今可證。臯夔貴兼善。巢由懷自靖。各從其所好。出處無一定。其二我病且疎愚。不學遊宦巧。恥以一科名。自謂吾事了。學道敢期尊。爲文不必妙。但將身與心。靜處細檢校。倘到寡悔地。亦爲吾所樂。其三吾觀小陵集。發而爲吾詩。自謂工且健。一掃陳腐詞。見者則大笑。云我勿復爲。我亦方寸內。不無時然疑。然觀古作者。不隨時俗姿。苟其自知審。終身爲不衰。閒來更細讀。讀罷復靜思。</text>
<title>春來寒溫甚不適。寒食日。風雪大作。亦一變異。近日天灾民疫。又多可憂者。賦得一律。</title>,<text>春序寒暄半。風陰雨雪俱。民方時疫死。農亦歲侵無。廊廟經綸足。村閭景色殊。平生𤱶畞志。何地着疎迂。</text>
<title>聖上迫於羣情。旣進大號。後因天灾。下備忘。有特停進宴之命。德兄賦詩頌美。卽次。</title>,<text>崇號輿情迫。聖心夫豈然。忽聞停宴命。宜格降灾天。德盛絲綸播。名輝簡策傳。從今吾赤子。得見再生年。</text>
<title>借來德兄驢子。忽見失。半日不得。不能不關心。戲呈德兄。</title>,<text>不問吾驢與君驢。宜於得失只泰如。終是不能無物我。時時默念罷看書。</text>
<title>劒南集曰。絶祿以來。衣食愈不繼。小兒力圖之。余謂不若痛節用爾。誠有味乎。其言之也。遂次其韻。呈德兄。以俟和敎。</title>,<text>此老雖貧甚。胷中俗物疎。家留節用訓。手絶覓官書。笑傲形骸外。流傳咳唾餘。沉吟多感慨。車馬暝鐘初。</text>
<title>夜坐。次山谷韻。</title>,<text>一床黃卷寄紅塵。幾處靑山帶白雲。平日故人多厚祿。少年新學揔能文。窓虛雪月娟娟影。夜靜爐煙細細薰。不是傲時甘寂寞。自知無術事明君。</text>
<title>大雪。次山谷韻。</title>,<text>雪滿樓臺晴日淡。寒深巷陌苦氛除。虛窓晃冷常如晝。遠樹微茫揔欲無。水濶漁簑誰着句。庭閒鳥跡自成書。村嫗暮汲氷泉去。一縷靑煙起冷厨。</text>
<title>夜。次杜韻。</title>,<text>柴荊帶暝色。半掩見人稀。遠樹孤煙上。疎籬一鳥歸。星光臨水大。燈影隔松微。小梅寒更落。疑有雪花飛。</text>
<title>圭伯自驪至高生 隲。用杜韻。志喜。吾亦次。</title>,<text>君說田廬好。移栽松栢新。竆年嬰俗務。合眼夢鄕人。野水雙漁艇。溪亭幾幅巾。何時携手去。農事日相親。</text>
<title>送高生。讀書奉恩寺。</title>,<text>高生自濟州。負笈奉恩寺。旣有遠來心。長持初去志。</text>
<title>招肅玉 內弟李璛 不至。見寄一律卻次。</title>,<text>林禽喚友百花迷。梁燕雙來語舊棲。已覺一年春事晩。不堪孤坐夕陽低。相思忽得詩如錦。一笑何由醉似泥。仍想浣溪新雨漲。日長無事灌園畦。</text>
<title>次肅玉</title>,<text>何限東城宅。淸深無此園。荷浮新葉凈。笋逬舊叢繁。喧寂惟高枕。憂懽且一樽。悠然晴晝夢。不復到山村。</text>
<title>病松</title>,<text>慘慘庭松樹。初移色可憐。誰知蟲蟻損。不見鳳鸞眠。自負神明意。非因雨露偏。主人興屢歎。培養幾多年。</text>
<title>喜人送穉鶴</title>,<text>盆梅子落已多時。階竹笋枯只老枝。雛鶴何來庭下立。天敎竆獨養爲兒。</text>
<title>奉和藥院相公蒙宣醞志喜之什</title>,<text>此慶同朝野。提醫况近天。纔聞移院直。復道退家眠。寔賴神明佑。由來誠意專。蒼黃向時步。晨夕閤門前。其二慶始從今歲。和應復舊天。稍增日三饍。全穩夜中眠。賜對槐班接。宣恩藥院專。已聞移玉趾。輕健勝冬前。其三病中宸製數。一念重民天。心喜溟船達。春遲雨夜眠。憂勤誠若此。調攝恐難專。更願存深戒。長如少愈前。春間喜雨及耽羅賑船往達之報。俱有御製故云。</text>
<title>數月來。不作一詩。盖以新遭重制。有不忍留意吟詠。不惟病甚而然耳。十月十五日。是葬日。其曉睡覺。凄然之極。仍不復睡。偶思得一句。遂足成叙悲。</title>,<text>夢回殘月半窓昬。病枕微微淚有痕。遙憶大人先壠下。白頭晨起葬兒孫。</text>
<title>次金叔 光鍊 用杜韻</title>,<text>二月禽聲合。千門草色多。靑春應漸好。新雨更如何。樹結離離蘂。池開湛湛波。南山轉蒼翠。詩興與峨峨。</text>
<title>春雨。次金叔用杜韻。</title>,<text>空裏霏微灑。到庭新綠生。煙雲萬戶色。氷雪一渠聲。暗入花心潤。輕霑柳眼明。晴朝更濃麗。春滿漢陽城。</text>
<title>樊山感懷</title>,<text>秋曉荒原草樹悲。祭餘孤立日西移。白頭病母京城內。泣想山中跪奠時。睡回如喜又如悲。起向窓間枕故移。明月乍從池上度。亂雲深鎖下山時。平生癃疾使親悲。一念幽明定不移。每到墓前瞻拜日。泣陳強健勝平時。頑忍猶然或有悲。始知丘墓性情移。山齋孤燭無眠夜。霜曉微寒中體時。汩然憂疾與哀悲。猶自生存歲屢移。早識一身非我有。豈遺千恨在今時。孤墳拜別更含悲。後到惟應日月移。寂寂荒墟人斷處。重重亂獨歸時。</text>
<title>德雨 龍澤 兄弟。携鄭叔睢 麟重 來訪。拈韻各賦。</title>,<text>相見樽先綠。相期鬢已絲。燈懸微雨夜。話入故都時。疎放榮陽醉。平生谷口詩。遊從須自愛。浮世謾寒飢。曾與叔睢。同遊松嶽故云。</text>
<title>申明瑞 錫鳳 來。次放翁韻以示。</title>,<text>喪期纔畢返吾廬。孤苦情懷難自攄。偶得半生相好友。忍尋平日所看書。時憂滿目還杯酒。生事無心只飯蔬。樊壠梨庄閒土濶。便思將母老耕漁。</text>
<title>送趙叔章 文命 宰金溝</title>,<text>鳥語百花飛。晴林日午時。慇懃來告別。珍重爲求詩。拙可將勤補。忠應自孝推。因風聞美政。千里慰相思。</text>
<title>潭陽申使君 聖夏 投箋求別語。顧余廢詩久矣。近益卒卒未暇爲也。新秋雨後。獨坐聞蟬。率爾吟奉。以舒離別之恨。存沒之感云。</title>,<text>高林過雨已寒聲。深院日斜蟬亂鳴。送別那堪千里遠。論交曾有二難幷。少年巖靜蒼苔絶。秋月山奇翠壁橫。五馬翩翩遊賞地。綠槐回首更傷情。綠槐正甫堂號。</text>
<title>春坊直廬</title>,<text>末路崎嶇跡。圓扉出入身。經綸非我事。冠冕少相親。白髮驚秋速。靑山入夢頻。明朝拜章去。數問遠天晨。</text>
<title>李載寧 礥 輓</title>,<text>車老詞雄博。翁才豈下風。科圍重擢桂。日域遠隨篷。文字灾難盡。明珠謗易蒙。居然乘化去。煙月五湖空。</text>
<title>贈李內翰君範 箕鎭 李於是日。移直藝文舘。</title>,<text>淸切藝文舘。風流李翰林。家聲輝秉筆。樓勢敞移衾。石室圖書聚。松崖歲月深。匡廬十年業。應向此中尋。</text>
<title>春坊直夜用前韻。書寄李內翰。</title>,<text>城闕雪雲黑。北風鳴禁林。無眠對孤燭。永夜擁寒衾。天地君恩大。星霜母病深。溪山閒自在。何日共歸尋。</text>
<title>看南山</title>,<text>昨夕南山對。悠然意不知。今朝看更好。卻悔罷官遲。</text>
<title>李同敦 弘逸 內外輓</title>,<text>同敦寧事貞夫人。歲過重牢壽亦尊。偕化翛然無復憾。滿園花竹屬兒孫。</text>
<title>贐通信使洪士能 致中 日本之行</title>,<text>侍郞持節使東隣。六月仙槎發海濱。馬島魚龍迎彩舫。板城歌吹擁華輪。燕山瘞骨猶曾許。越槖携金也可嗔。三百周詩君已誦。蠻奴應不比前人。</text>
<title>德雨宅。與叔睢羅深源 浚 同賦。</title>,<text>海內兩高士。城東一醉歌。衣冠童子恠。氣味古人多。雨砌垂紅藥。風池漾綠波。吾家新酒熟。重會意如何。</text>
<title>余將退寓鷗亭村舍。德雨來見苦挽。有詩卻次。</title>,<text>可喜吾家姪。衝泥扣午扉。行藏終日話。風雨半簷飛。性合親鷗鳥。才無補袞衣。漁舟浮漢水。携手可同歸。</text>
<title>六月二日。將發鷗亭之行。前一日。諸君同來相別。用前韻。</title>,<text>淸風生几席。永日敞軒扉。綠樹幽鸎喚。滄江倦鳥飛。聖朝憐弊質。朋舊攬行衣。強欲遲遲發。其如義合歸。</text>
<title>別壺洞舊宅。用王縉韻。</title>,<text>達士去世間。言面幾微絶。可笑俗人情。遲回居宅別。</text>
<title>由纛島舟下鷗亭。用前韻。</title>,<text>纛島平湖岸。村家半掩扉。明沙綠蕪接。靑嶂白雲飛。賣宅謀漁艇。懸冠返布衣。終南尙餘戀。黯黯背人歸。</text>
<title>歸路。歷翫徐相國 宗泰 池舘。又用前韻。</title>,<text>路轉新亭下。林深故相扉。江明垂柳外。樓壓遠帆飛。荷碧浮塘葉。苔斑覆井衣。老夫如有此。應早乞身歸。</text>
<title>雨中簑笠到江頭。偶逢村老。問吾似野人否。答曰似矣。喜吟一絶。</title>,<text>煙雨霏霏暗水頭。綠簑靑篛去來遊。逌然笑向村翁問。看我形容似爾不。</text>
<title>李啓元 天紀 用扉字韻見寄。卻成二詩報之。</title>,<text>忽得君詩讀。秋凉生野扉。燈前書蠧走。露下草蟲飛。江濶波搖艇。樓虛月照衣。可能乘興出。相對不知歸。其二露氣新秋石。江聲半夜扉。穿林孤火去。度水數星飛。病合棲丘壑。慵知謝笏衣。世人都不識。謂我急流歸。</text>
<title>和啓元寄示之什</title>,<text>亭下雙槐高十尋。婆娑影落大江深。日斜漁艇多依岸。秋至蟬聲忽滿林。曾許國恩酬一死。期回世道掃羣陰。湖邊一卧無歸日。誰識平生有苦心。</text>
<title>七月旣望。向夕雨晴。待啓元，德輝 光澤 之行。用前韻。</title>,<text>返照含疎雨。江明柳外扉。靑靑山半出。白白鷺羣飛。煙戶知炊麥。風簷見曬衣。今宵應有客。數問暮漁歸。</text>
<title>舟中呼韻</title>,<text>有僕持驢至。言君泝岸行。非嫌村路遠。自喜棹歌聲。急雨鳴江濶。疎雲避月生。輕舠載酒下。我亦好風情。</text>
<title>和致仲 民澤 用啓輝出城韻寄示之什</title>,<text>獨坐江聲裏。三更月上東。宿檣高柳側。鳴杵遠村中。退老身何得。酬恩計卻空。秋庭有寒螿。燈下苦吟同。</text>
<title>雨夜用前韻</title>,<text>風雨滿江暗。孤村人不行。蕭蕭林葉墜。咽咽草蟲聲。許國曾輕死。歸田卽一生。曉天鵷鷺動。忽起趁班情。</text>
<title>七月二十四日。東風甚惡。</title>,<text>秋岸東風疾。千林鳥鵲號。驚飄未霜葉。怒立半空濤。白屋掀疑拔。靑疇掠似鏖。宮居兼粒食。愧我不躳勞。</text>
<title>喜見致仲書。疊前韻以寄。</title>,<text>無限江邊柳。絲絲盡向東。書從香谷裏。人在釣船中。雨意蟬鳴遠。天容鳥度空。閒官可乘興。何惜暫來同。</text>
<title>再疊</title>,<text>林亭常望北。江水又從東。華嶽秋雲外。層城夕照中。世間忠義大。身後利名空。此意惟君解。憂應進退同。</text>
<title>又疊前韻。寄致仲。</title>,<text>亂石淸江北。孤村老樹東。用功倫義上。酬德退居中。枯淡應天定。旨甘或日空。不知千載後。人有苦心同。</text>
<title>其二。屬李陽伯 喜之。</title>,<text>君自馬江上。我來鷗浦東。相望秋水外。獨立夕陽中。沙白長洲出。天淸積雨空。何時携致仲。林下一樽同。</text>
<title>其三。哀景雍 堯澤。</title>,<text>鷗渚東陵北。牛川南漢東。眼竆三浦外。涕入九原中。大事商量盡。危時倚仗空。惟餘羣從在。心事歲寒同。</text>
<title>奉和李叔 仁夏氏 投示韻</title>,<text>倦鳥南飛雲北歸。百年行止是耶非。江湖退卧前朝士。城市羈遊老布衣。</text>
<title>次啓元寄示韻</title>,<text>居無雜客出無之。孤抱苦心人孰悲。萬事都輸碁酒裏。江湖不寄一篇詩。右屬德雨韻靑衫白髮一書生。滄海悠悠別後情。無數輕桴江漢下。老夫乘興欲西行。睢以齋郞。方在沁州。○右屬叔睢韻愛君憂國等朝坰。江上形爲澤畔形。北望雲山遮兩眼。西流漢水背孤亭。右屬我韻</text>
<title>夜坐。疊前韻。</title>,<text>罷釣船猶泛。憑欄月復明。水寒龍正蟄。天迥鴈孤鳴。冠冕朝雲闕。杯盤集禁城。江湖愁獨卧。秋夜更關情。</text>
<title>石臺垂釣</title>,<text>淸風拂石一絲長。憂樂江湖兩自忘。堪笑渭川多事叟。釣魚不足釣文王。</text>
<title>拜王考墓</title>,<text>高峀聳寒色。中藏化碧寃。入雲孤檜直。歸海兩溪奔。忠節徵千禩。仁天照九原。瞻塋增勉企。深恐忝爲孫。</text>
<title>拜先考墓</title>,<text>草根明白露。初日上寒林。死栢應餘淚。竆山想苦心。中宵魂怳惚。淸曉意凄森。一氣兒孫感。洋洋實照臨。</text>
<title>由南漢。昬後出城。</title>,<text>客遊歸意促。昬黑出山城。棧路遲遲下。風泉遠遠鳴。石疑人背立。螢怯鬼精明。俯看滄江月。金波馬亦驚。</text>
<title>尋奉恩寺。老釋坦俊。相待甚欵。疊前韻。</title>,<text>老僧看舊客。一笑坐樓東。聞磬夕陽裏。看山秋色中。村醪沽忽滿。園栗摘應空。寂寞江湖上。惟師故意同。</text>
<title>再疊</title>,<text>茂樹參雲上。遙山返照東。泉鳴蒼石底。煙起綠蘿中。定水龍飛靜。禪枝鳥語空。微吟下樓去。樵唱暮歸同。</text>
<title>江亭對月。次圭伯用聖姪韻見寄之作。</title>,<text>山月二更吐。江波十里明。帆高舟自上。村僻杵猶鳴。歷歷人歸岸。蒼蒼樹繞城。閒居遺萬事。難去戀君情。</text>
<title>次李君士固 思重 寄示之什</title>,<text>老槐禽自語。寒渚鴈頻驚。風葉鳴仍下。燈花落又成。詩文從積債。漁釣欲深盟。城內多親友。誰知獨夜情。</text>
<title>暮望</title>,<text>百草凋霜露。荒庭老菊存。晴空聞木葉。落日見山村。翠壁交雲氣。明沙過雨痕。城鴉暮爭返。目斷更銷魂。</text>
<title>士固歸後有賦</title>,<text>送客槐崖迥。衡門風自關。疎煙冶店樹。返照廣陵山。霜葉紛紛下。漁舟箇箇還。江湖日牢落。秋色動衰顔。</text>
<title>近得李穉和 重協 謫居比隣。喜拈杜韻共賦。</title>,<text>淸時如子是名流。底事輕投𤱶畞幽。奉使濫騎關外馬。謫居閒狎漢南鷗。舟移北岸雲隨棹。簾捲西山月上鉤。勝地不須憂薄譴。有家可問有田求。</text>
<title>乘月訪穉和疊前韻</title>,<text>水濶沙長哀鴈流。明湖一面淸且幽。凌虛仙人待黃鶴。忘機海客親白鷗。賈船月夜猶懸帆。釣磯霜天爭下鉤。孤亭望北者誰子。默禱蒼穹無外求。</text>
