<title>洞口卽事</title>,<text>澗水潺湲響。楓林爛熳紅。扶筇何處去。笑指白雲中。</text>
<title>許李㙜觀打生鰒</title>,<text>抽身一躍入深沱。有似輕鷗沒白波。少頃磯頭齊發嘯。盤中金甲摘來多。</text>
<title>夜坐</title>,<text>蕭蕭落葉伴孤吟。宿鳥低飛返故林。何處淸歌來入耳。敎坊南畔月華深。</text>
<title>羽溪曉頭</title>,<text>喈喈亂報水村鷄。厨語先聞曲檻西。向晩束裝乘馬出。任它風雨自凄凄。</text>
<title>次仲美韻</title>,<text>瀟洒官居竹作籬。興來閑把菊花巵。舊遊星散眞堪惜。鏡浦春波倘後期。</text>
<title>襄陽途中</title>,<text>白鷺低飛下綠灣。一琴行色不勝閑。峴山詞客爲誰待。淸澗使君應已還。</text>
<title>途中口占</title>,<text>曉色蒼蒼雪色飄。鳴沙閃閃馬蹄驕。蕭然琴鶴隨雙舃。行李何如葉縣喬。</text>
<title>柳亭卽事</title>,<text>楊柳依依水岸悠。孤村隱映竹扉幽。微波不動春陽暖。鱍鱍雙魚自在游。</text>
<title>咏窓前盆梅</title>,<text>踈踈淸影滿窓前。驚起騷翁半夜眠。仍憶洛城花正發。玉人何處賦詩篇。</text>
<title>釋奠祭口占</title>,<text>嘒彼牽牛正在中。齋明盛服集羣公。欲知先聖尊無比。天下今宵祀事同。</text>
<title>次三印上人韻</title>,<text>上院菴中忽遇君。偏憐抱道更能文。楞嚴經罷跏趺坐。靜裡知音是白雲。</text>
<title>神聖菴</title>,<text>神聖菴思創始年。新羅王子此求仙。當時事跡從誰問。綠髮高僧亹亹傳。</text>
<title>巾金村</title>,<text>山嵐瀑水點絺衣。片片殘花馬首飛。酒盡沙頭分散地。牧童橫笛夕禽歸。</text>
<title>楓湖賞蓮</title>,<text>芙蕖初發異香浮。十里晴波送遠眸。欲把繁花簪一朶。渠應羞上颯然頭。</text>
<title>次允迪 李公柙 寄示韻</title>,<text>知音竹弟與梅兄。把酒時時逸興生。腥味飫來思淡味。雪中新菜長新莖。</text>
<title>東閣夜飮</title>,<text>當爐理瑟整雲鬟。一曲彈時態甚閑。酒暖夜長人不寐。月輪猶在竹林間。</text>
<title>次梧灘寄示韻</title>,<text>年光荏苒鬂邊驚。却恨新春未寄聲。北鴈去時詩作信。可憐何日到秦城。</text>
<title>次允迪韻</title>,<text>誰遣踈慵典一州。池㙜景物入春稠。休言暮境功名薄。今日遨頭是古侯。</text>
<title>次梧灘韻</title>,<text>山齋景物雨餘淸。書自湘潭見舊情。惆悵飛鳧東去後。新詩題罷與誰評。</text>
<title>敬次退憂 金公壽興號 相公志感韻</title>,<text>零落啚書傍小池。碧雲依舊鎖靈芝。三加禮畢人皆賀。忍撫當時膝上兒。是日𢆲能兒子冠禮</text>
<title>蒼峯驛</title>,<text>古峽春深花滿枝。蒼峯驛在小溪湄。今行殆遍關東勝。物色渾如伯父詩。伯父曾按此道。蒼峯詩亦在集中故云。</text>
<title>橫城縣卽事</title>,<text>嶺外畸人感歲華。寒威未解雪埋査。霏微忽送經宵雨。春信先歸岸上花。</text>
<title>次雲卿 南公龍翼 寄示韻</title>,<text>閑來跂脚北窓風。庭院寥寥綠映紅。向晩扶筇隨意往。月光先照小池東。</text>
<title>閑居遣興</title>,<text>淸晨扶杖檢花回。紅白紛然次第開。此老生涯貧亦好。閉門終日對樽罍。吾園幽邃景偏多。岸角逍遙或放歌。餘外紛紛何足說。任他門外雀堪羅。</text>
<title>病脚卧床。雨後扶杖起步口占。</title>,<text>前林暝色欲迷鴉。宿雨籠山喚作霞。莫道幽居無閙事。晩來溪水覺喧譁。</text>
<title>金昌業慶席。次退憂相公韻。</title>,<text>兩翁交契憶童年。幾處書樓共被眠。肯數相公名位重。狂奴故態自依然。</text>
<title>次金遠明 益廉 寄示韻</title>,<text>喫盡街頭十丈塵。鐘鳴猶作夜行人。幽居咫尺相思苦。開落窓梅又一春。</text>
<title>次彜仲 李公敏叙 在西湖寄示韻</title>,<text>開簾騁望雨渾山。詩自西湖杳靄間。梅澗故人今尙病。蘭㙜太史幾時還。</text>
<title>花石亭別金兄 壽一</title>,<text>逢處先愁別抱難。臨分脉脉勸加餐。松都栗里知何許。一水盈盈望眼寒。</text>
<title>次喜雨堂壁上韻</title>,<text>官齋寥寂似山家。隱几無心度歲華。只恐春光容易歇。呼兒點檢滿園花。</text>
<title>四月初。將赴天麻口占。</title>,<text>駸駸流序過三春。飄盡殘梅踏作茵。聞道山中寒尙緊。故遅花事待遊人。</text>
<title>贈定配人前虞候權詢</title>,<text>妙歲貂冠好丈夫。名編卒伍信堪吁。纔聞霈澤湘潭遍。問爾胡爲獨向隅。</text>
<title>嘲兒輩題名石間</title>,<text>羣兒相叫到溪潯。大筆淋漓字入深。要使姓名傳百世。爭如杜預漢碑沉。</text>
<title>玄化倉</title>,<text>隱隱孤村鎖白雲。洞天寥濶離塵紛。山阿忽見螭頭屹。云是前朝學士文。</text>
<title>詠甁荷</title>,<text>芙蕖灼灼自然愛。着處常携數朶香。自詑老夫甁上翫。全勝刀氏塢中藏。</text>
<title>大成殿改成後。參還安祭。</title>,<text>廟成將事集靑衿。老守燒香再拜心。古栢沉沉淸夜靜。怳然親奉杏壇音。</text>
<title>秋夕差齊陵獻官。馬上口號。</title>,<text>平原極目思悠悠。馬首山光已報秋。征盖翩翩何所向。白雲深處是豐州。</text>
<title>贈金鎭玉</title>,<text>愛君眉宇秀而姸。我伯風儀宅相傳。秉燭官齋談宿昔。老夫心事轉悽然。</text>
<title>聞白川守李景略 懏 候於江西寺口占</title>,<text>兩岸花開鷁路平。江城風軟錦波生。靈宮鎖在雲深處。中有山陰訪戴行。</text>
<title>別大丘判官趙持正</title>,<text>浦老摳衣我祖門。舊情宜篤兩家孫。卽今二稿俱災木。匠事應須一體敦。</text>
<title>靑楓溪。錄示金內翰時傑兄弟。</title>,<text>一約分成三日會。溪堂物態尙繁華。山檀石竹留顔色。盡是先生手植花。</text>
<title>魚翼之 震翼 挽</title>,<text>同隣同學又同庚。髫䯻追隨到雪莖。同病我存君獨歿。哭君何耐我沾纓。</text>
<title>大和石窟</title>,<text>行到大和驛。石窟在此地。皆言佳可賞。窈曲且深邃。太守發高興。命駕於焉止。列炬光照耀。秋毫可俯視。地軸爲之摧。呼訇鳴鼓吹。藍輿緩緩行。觸目儘奇異。褰衣涉淸波。仰首捫石髓。有田石上劃。有佛巖間峙。化工太多事。雕鎪巧無比。或云此窟遠。連延百餘里。吾將置眞贗。造物寧有是。躕躇不敢進。佇立如有俟。怳惚鬼神睨。彷彿雲雷起。凜乎難久留。回車興嘆喟。東遊此最奇。把筆以爲識。</text>
<title>雪後夜坐。次興兒韻。</title>,<text>寒威雪後逼。斗覺羅帷薄。老夫縮頸卧。悄然向暗壁。鄕思此時切。搔來頭盡白。偏憎淸夜永。却憐明月色。縱有淥酒醅。端居誰與酌。畸懷何處寫。憂端知不極。逌然攬衣起。散步仍騁矚。泠泠雪滿窓。裊裊香生席。胷次何磊磈。須酒可澆濯。明發合淸賞。命駕將遠適。山陰興可乘。呼兒行李促。把酒以爲詩。坐數燈火落。</text>
<title>鏡浦作雪馬之遊。伏次王父集中龍灣雪馬詩韻。</title>,<text>臨瀛古濊都。形勝冠我國。而余佩綬來。三載今作客。性癖好耽勝。蠟屐窮遠矚。所喜脚如鶻。何須頸每縮。名山與好水。遇景興難抑。時當元月初。梅萼映雪旭。騎驢披鶴氅。朅來城南陌。獰風釀饕寒。氣像難可測。闌干千尺氷。糢糊繞石壁。鏡湖最奇絶。望之駭心目。皆言雪馬宜。快騁欹岸側。要觀並馬來。轟輵傾坤軸。行裝頗瀟洒。衣白杖仍綠。提携耦而進。坐壓馮夷宅。非舡又非馬。疾馳驅霹靂。萬頃琉璃滑。俯瞰神情惕。泠然爽魂骨。豈但舒欝塞。超忽競後先。閃鑠無蹤迹。有似羽化仙。怳入水晶域。酒樂羅左右。玉壺間瓠革。瞥眼竹島湧。回首江門坼。還如上漢槎。袂擧雙手扼。氷輪此時耀。寧愁燈火熄。把酒恣跌宕。酣歌金戟拓。此遊冠平生。此樂豈終極。蓬壺仍可尋。不信三千隔。揮毫一吟詩。據床三弄笛。興來謂鄭君。今夕是何夕。充然愜素賞。臨風嘯更劃。數聲徹水宮。老龍驚而躍。請君莫遄歸。勝事難再得。畸抱君休說。胷次可洗濯。磨墨記顚末。刻諸紅粧石。</text>
<title>次泛翁 洪公柱國號 和谿谷集中韻</title>,<text>伯玉已知非。淵明覺今是。日月不我與。滔滔逝如水。萬事固前定。奚悲又奚喜。世故莽相仍。端居駱東里。憂心紛如醉。中夜攬衣起。乖崖本寡合。人情安足恃。烱烱懷曩哲。咄咄看往史。何當返林泉。燒香薰棐几。閑來學農圃。我疆我當理。名韁夢已斷。野老與序齒。歡欣各得所。徜徉從此始。此懷耿不昧。沉吟度日晷。</text>
<title>雨後扶杖起步口占</title>,<text>久雨無定態。繁陰忽乍陽。稜稜露破砌。處處見毁墻。晩來羣動息。樹杪生微凉。老夫足無力。頹然卧前床。強起扶藜杖。蹣跚行且僵。庭畔草色翠。巖邊溪水泱。沉吟佇立久。獨鳥林間翔。誰人慰幽抱。一杯呼我甞。</text>
<title>和汾厓 申公晸號</title>,<text>松澗大家子。其人眞可喜。文章有淵源。抱負非偶耳。齊壇繼先躅。史院能趾美。憂國甚己私。誠心濟飢死。願君毋遽歸。聖主虛席竢。右李季周 端夏壺谷情莫逆。居分巷南北。官高心逾小。可見所操礭。口吻盡烟霞。咳唾成珠玉。文彩雋翩翩。此才那更覿。知君莫如我。我言宜可服。右南雲卿汾厓眞我友。名祖有其後。文章是餘事。高義出人右。萬事不留心。生涯付杯酒。爲雲更爲龍。到老肝膽剖。新詩向我投。逸韻傳萬口。右申寅伯西河負盛望。言論簡而讜。托契已三世。心肝兩相向。齒髮略後先。文辭推老匠。世皆比鍊鋼。我獨愛局量。有時接淸歡。令人欲傾釀。右李彜仲</text>
<title>柳奉事 燦然 挽</title>,<text>夥矣晉城子。頗有昔賢風。於我是姻親。相許氣槩中。倜儻眞奇士。高義薄太空。平生急人困。勇敢不顧躬。安貧守陋巷。白首甘長終。有才竟無命。素志焉能充。一官視弊屣。還歸錦水東。㐫音自何至。遽奪理難窮。聯床昔年事。撫念中膓恫。傳家有賢兒。舊業期更隆。緘辭寄遠去。老淚垂雙瞳。</text>
<title>次仲美長句韻</title>,<text>吾友風流逈絶塵。百篇詩成酒一斗。才華何謝八斗曹。宦業眞同三黜柳。邇來吾道付滄洲。扁舟散髮垂綸久。杯螯常助撚髭興。頗憶臨瀛使君否。臨瀛使君老而狂。萬事都付無何有。名區烟月宿約在。爲君理瑟兼釀酒。右屬梧灘宅相聲名能趾美。一石之才公八斗。少小遊戱翰墨塲。詩如沈謝文韓柳。富於技能拙於宦。向來收籍沉淪久。室人交讁晏如也。陋巷簞食能繼否。嶺外癡弟望眼穿。名區同賞歸烏有。五嶽尋眞豈辭遠。湖艤蘭舟樽置酒。右屬泛翁華山散客占一區。彭澤老守屈五斗。愧甚束帶向少年。興來開筵俯高柳。閑忙自來彼此殊。江雲渭樹相思久。兩家文采尙在無。君能趾美吾獨否。有時寄我靑瑤字。字重不啻拱璧有。停雲歌罷意茫然。懶慢無心酙白酒。右屬㙜山 李公柙號</text>
<title>次壺翁 南公龍翼號壺谷 用韓昌黎酬盧雲夫詩韻。仍奉赤谷翁。金公益廉號</title>,<text>積雨新晴殘暑退。秋天如洗開琅凾。兎院溪水淸且憐。天磨山色撑巖巉。老夫於此寄閑情。却將蘿衣換紫衫。南窓舒嘯客膝安。鳥脫樊籠馬去銜。壺中佳處跡皆遍。名利關頭口已緘。只愛淸樽可以娛。休嗟白髮無由芟。分山何幸有兩翁。兩翁情致俱巖巖。平生出處略相似。趣味今同甘與醎。昨者訪我促膝坐。尊前軟語憐詀諵。吾儕病衰合退休。置散非因遭毁讒。興來題詩貴天然。何須愁肺窮雕劖。西湖雖好莫浪吟。古人之戒君所監。聯篇累牘不知止。兩翁於藝寧非饞。倘佯山水且爲樂。我言非耄眞由諴。禪窓淸夜可聯衾。愛此新月光攕攕。</text>
<title>柳起之東萊餞席聯句</title>,<text>暇日城東宅。起之。 聯翩集勝流。佳辰將晼晩。弼卿。 行子爲淹留。小酌仍兼味。起之。 高談更迭酬。凉生簷雨細。文仲。○任公奎。 香惹砌花稠。遠別方當老。孤懷詎耐愁。弼卿。 南州昏瘴濕。文仲。 北路阻朋儔。瑣甚征商稅。起之。 機難協廟籌。文仲。 蠻情尤可怕。弼卿。 官事捴堪憂。起之。 忠信元來仗。弼卿。 恩威到底優。文仲。 不須嫌局束。弼卿。 猶自任沉浮。起之。 興引笙歌夕。詩成橘柚秋。弼卿。 偏憐分手後。起之。 樽酒與誰遊。弼卿。</text>
<title>仁宣大妃挽</title>,<text>誕啓名門慶。來嬪淑德宜。憂虞方始矣。艱險共甞之。震極貞承日。坤闈協贊時。六宮沾惠化。八域仰仁慈。莫逮仙遊遠。恭欽母儀垂。承顔文子侍。問寢聖孫隨。儉省熹妃膳。歡含馬后飴。內庭嚴訓誨。外姓絶恩私。忽報妖星警。翻驚美疢危。神祗無及禱。奏讞未遑施。惟疾憂猶切。如傷念益彌。仰瞻顔色戚。忍想末音悲。禮謚宣仁並。芳徽太姒追。同原知有托。改隧未周㫷。象設相環擁。龍盤永護持。江通舟鷁穩。日叶蓍龜推。盡禮遵彜典。趍班宛舊儀。小臣曾拜賜。宮錦淚痕滋。</text>
<title>挽黃承旨 玧</title>,<text>名祖留徽遠。賢孫襲訓宜。早從三世誼。永結百年期。自擬雲龍逐。爭稱管鮑知。一心推悃愊。萬事去毛皮。久屈高才日。終伸濶步時。鑾坡需宿望。漏院荷殊私。處貴如寒士。辭榮爲老慈。冥塗先抱恨。天道竟堪疑。孝養憑誰托。家聲付子持。親朋盡凋喪。踽踽獨何之。</text>
<title>習戰昆明池 壬寅文臣庭試入格</title>,<text>金刀赫業屬重亨。五葉英靈振八紘。富庶舊承文物盛。驩虞復見侈心萌。仙人金掌雲中屹。方士瓊丹海上迎。禹服山川歸妥帖。堯封民俗樂升平。乘槎博望能通塞。繫頸終軍已請纓。手挽銀河洗神器。志呑華夏駕羣英。維揚誓雪平城恥。克詰頻觀細柳兵。天下一家恢武略。漠南千里曁威聲。惟玆小醜猶干紀。故遣王師擬濯征。只恨滇河爲捍蔽。先開池水費經營。金堤碧沼層濤湧。靑雀黃龍巨艦橫。軍令傳來嚴部伍。壘雲開處樹旗㫌。幄中借箸枚鄒輩。帳裡持矛衛霍名。匝地戈鋋如雪色。喧天鼓角殷雷鳴。波驚鷁首翻銀屋。陣作魚鱗駭石鯨。何似越王勤敎訓。無煩樊噲事橫行。兵威怳接邊城逈。水勢遙通太液淸。方識此時宸筭遠。卽看他日大功成。窮兵絶塞民方困。下詔輪㙜悔始生。耀德不觀嘉訓在。後王端合鑑昆明。</text>
<title>寧陵遷葬挽 代人作</title>,<text>仙馭賓天一紀強。秪今窮谷尙餘傷。馨香治本齊三代。孝友心仍冠百王。鐵杖每勤携殿陛。蒲輪幾見聘賢良。宏猷赫赫眞難述。至德洋洋永不忘。兆宅已妨修舊制。蓍龜終幸叶新岡。恭瞻象設隣皇祖。久識鴻䂓配耿光。神鬼撝呵知有待。山川環拱剩呈祥。羹墻更切宸情慟。園寢重看羽衛張。衆庶攀輀爭願殉。小臣敦匠倍摧膓。白雲空望嗟何及。但把深悰寫短章。</text>
<title>李判書彜仲挽</title>,<text>江相門庭玉樹聯。聲華爭道季郞偏。纔從弱冠科名著。更際昌辰位望全。才具固宜經世務。篇章早已奪神權。堅同介石人何間。美似精金衆所賢。銓部持衡明藻鑑。文壇主柄富源淵。情符膠㓒寧徒爾。心醉醇醪却憮然。官局幾多曾並迹。詞塲自幸每隨肩。佇看濶步躋三事。誰料英靈閟九泉。國失藎臣嗟莫及。家留令子慶堪延。冥司倘與汾翁會。絃斷牙琴涕獨漣。</text>
<title>九日次重叔 金公萬重 韻</title>,<text>蕭寺重陽日。霜天萬木秋。佳辰將晼晩。好會莫遅留。把酒詩仍就。看花興更幽。茱萸亂揷處。別有謝池愁。</text>
<title>王大妃殿端午帖</title>,<text>令節回重午。長秋祝萬年。坤儀曾播外。母道又光前。綵縷中官進。香羅女史傳。文孫庶無疾。爭賀慶綿延。</text>
<title>多慶津遇雨</title>,<text>境接靈源濶。山含宿霧新。有村皆水碓。無地不花茵。却睡時探果。貪程數問人。扁舟孤渡處。細雨濕輕塵。</text>
<title>過六鎭有感</title>,<text>此地何年拓。邊氓聖化涵。關仍爲表裡。天以限東南。指點喬陵在。蒼茫故宅諳。孤臣今日路。感慨涕還含。</text>
<title>奉松陰 李公三錫號 諸益求和</title>,<text>秋序忽云暮。髩毛憐颯然。凄霏一夜雨。驚起五更眠。撫枕添新感。呼燈檢舊篇。騷翁同趣味。約束返林泉。</text>
<title>壺谷南雲卿第。與宜拙南仲輝 二星，松澗李季周偶集聯句。</title>,<text>乍隔猶萌吝。相逢各吐心。弼卿。 驪黃雖異色。竽瑟本同音。仲輝。 物議從高下。行杯任淺深。雲卿。 親朋無限意。看取後先吟。季周。</text>
<title>奉壺谷。兼示宜拙，松澗。</title>,<text>偶集仍良晤。相看卽古心。神交推厚誼。佳句播希音。燭下杯仍緩。窓前雪正深。丁寧後約在。先寫短長吟。</text>
<title>復次前韻 五首</title>,<text>每與周郞語。醇醪自醉心。爭推如玉操。最愛碎金音。妙歲文盟主。巍班雅望深。何時岳麓下。相對把杯吟。右奉文谷金尙書 壽恒同隣結髮好。到老斷金心。飛動臨池藝。淸新擲地音。醉情何子愛。談理阿奴深。咫尺相思處。憑軒聊一吟。右奉壺谷南方伯霏霏談似屑。燁燁繡爲心。肯數當時體。能追七子音。序年吾稍長。論學爾偏深。聞道參籌畫。何須事浪吟。右奉南谷金侍郞 萬基憶曾吏部宅。君我始傾心。濯濯離羣表。翩翩寡和音。暫時持論異。平昔托交深。迭唱騷壇盛。聊成五子吟。右奉宜拙南大諫夙有欣欣慕。偏憐斷斷心。吾慚下里語。君繼乃家音。迹忝朝班並。交因世誼深。平生憂國意。時見皺眉吟。右奉松澗李中書</text>
<title>伯涵 洪公萬容 第。賞梅聯句。國卿洪公柱國字</title>,<text>小酌當梅塢。國卿。 幽期似竹林。仲玉。○許公珽。 爭如何遜興。弼卿。 絶勝灞橋吟。文仲。 踈影侵書幌。伯涵。 繁英妬玉簪。國益。○徐公文尙。 孤山人已去。長卿。 吾與爾知心。仲玉。</text>
<title>再次舍兄北汀 洪公處亮號 壽席韻</title>,<text>美酒當宵煖。淸霜羃地垂。公誇壽節會。吾赴老人期。却喜陶然興。休言甚矣衰。仍吟聞笛詠。悽斷舊情知。</text>
<title>呼韻卽事 二首</title>,<text>避世追元亮。乘桴慕管寧。白鷗眠處伴。黃鳥坐來聽。雨笠看垂釣。風帆數簇汀。逌然黑甜罷。花落滿前庭。一雨崇朝霈。殘𨈬滌熱寧。農功坐共說。棹曲卧堪聽。麥穗黃交壠。槐陰綠映汀。阿兄何日到。悵望步中庭。</text>
<title>與梧灘，竹里。會于石村。次瀛奎韻聯句。</title>,<text>好雨留佳客。弼卿。 淸歡寄漫吟。仲美。 不須憐落蘂。國卿。 猶可翫繁陰。起之。 捲箔看雲起。仲美。 呼杯任日沉。弼卿。 江湖容我輩。起之。 共保歲寒心。國卿。</text>
<title>次梧灘韻 三首</title>,<text>布褐宜樗散。羸驂換舊𩣭。浮沉隨野老。榮落付天公。差慰三畦在。寧嫌四壁空。居然佳句枉。認是大家風。強借東家蹇。誰知御史𩣭。蓬蒿開一逕。漁釣傲三公。肯歎囊中罄。惟嫌盞底空。擬携淸興去。終日坐春風。三君徑賦鵩。都憲罷乘𩣭。跡阻蒼龍闕。詩憑赤鯉公。淸遊眞得所。恠事豈書空。剡曲相過地。孤舟繫岸風。</text>
<title>與竹里乘舟訪梧灘。舟中次竹里 洪公柱國號 韻。</title>,<text>酒戶論深淺。詩才較短長。揮毫酬令節。投轄到斜陽。北闕懸愁夢。西湖困劾章。依然還告別。從此判閑忙。</text>
<title>次仲翊 金萬翊 韻</title>,<text>處世謀生拙。趍班速謗多。覊心那免苦。危髮不禁皤。佳節如期至。高朋趁日過。悠然乘興去。把釣立江沱。</text>
<title>次竹里，石村抽杜詩聯句韻。</title>,<text>檻外盈盈水。窓前冉冉梅。夢隨孤棹去。風送暗香來。音信居然阻。詩緘忽爾開。高情此可見。詠歎首重回。</text>
<title>抽次杜詩韻詠燭</title>,<text>紫陌朝天穩。延英送院榮。香烟垂裊裊。殘淚落輕輕。日暮傳來映。宵闌秉處淸。惟須相對飮。偏愛爾多情。</text>
<title>別趙光甫 持謙 之高城</title>,<text>地擅金岡勝。人從玉署遷。誰知謫來客。還作卧遊仙。白愛山圍座。紅看日湧天。爭如形役累。乾沒雪盈顚。</text>
<title>送冬至副使南仲輝</title>,<text>鶴野文星動。龍樓講席虛。年光關外換。鄕信日邊踈。夜睡氷生被。晨驅雪擁車。賢勞雖識分。臨別自霑裾。</text>
<title>別書狀官申應敎公獻 琓</title>,<text>跋涉因王事。威儀異古今。忍言天帝醉。難卜歲星臨。顗洒傷時淚。連含蹈海心。應逢燕市客。慷慨有歌吟。</text>
<title>次松澗寄壺谷韻 二首</title>,<text>未卒靑州賑。遙違玉座春。歸山貧亦好。樂道味方眞。志豈須臾捨。憂應進退均。人言寧可畏。自有聖聡仁。一別何多日。相思又見春。朝班推地望。交際露天眞。較歲衰遅並。傷時涕淚均。休言灾沴荐。只恃上穹仁。</text>
<title>宿龍津村</title>,<text>散迹方隨分。除書忽被榮。幾年寒士㨾。今日使君行。長路依依戀。殘燈脉脉情。支頤不寐處。栖鳥兩三聲。</text>
<title>次伯圭 兪公瑒 韻</title>,<text>自我關東滯。離懷將若何。山容如爾待。秋色爲誰多。朗月空相憶。佳辰奈已過。蘭舟孤棹處。愁殺聽漁歌。</text>
<title>先王再朞志感 是曉行望闕禮</title>,<text>忍說流年邁。重驚八月來。齊民追至德。窮谷有餘哀。自倍危衷激。曾經法講陪。燒香獨拜處。老淚謾交腮。</text>
<title>洞山舘寄褧叔 趙公宗著字</title>,<text>暮向郵亭宿。無眠獨倚床。水村鷄亂唱。霜月鶴徐翔。把酒親朋阻。挑燈客夜長。難將絲與竹。慰此別愁膓。</text>
<title>三陟守李擇之 選 令公。杖管下三十度。其人致死。其子呈狀方伯。以余定初檢官。忩忩作行。到羽溪口占。</title>,<text>黽勉爲形役。嫌遭官長嗔。玆行良足愧。苦語莫須陳。蘇軾何知律。曾參不殺人。世情吁可怕。咄咄寫空頻。</text>
<title>奉舍伯</title>,<text>忽輟姜衾樂。翻敎郡紱縻。凉生使君頰。唱罷長公詩。縱是前期在。還愁勝會遅。時携錦瑟伴。同把淺深巵。</text>
<title>次興朝韻</title>,<text>跡滯他鄕久。心驚令節來。偶携三兩客。同把淺深杯。平楚微茫遠。寒花次第開。玆遊奇絶最。扶杖坐莓苔。</text>
<title>繼祖窟</title>,<text>有石依山頂。頑然度幾霜。難容萬牛力。可設百人床。外屹連尖岳。中虛敞小堂。今行酬宿債。隨處富奚囊。</text>
<title>卽事謾吟</title>,<text>淸坐華堂下。蕭然景物奇。遠山濃似染。零雨細如絲。印澁公移少。琴鳴妓隊隨。此間幽趣足。聊把淺深巵。</text>
<title>蓮堂</title>,<text>暑酷宜憑檻。人閑可把杯。捲簾靑嶂聳。臨水白蕖開。漠漠陰雲合。霏霏細雨來。蕭然孤坐處。佳句爲誰裁。</text>
<title>雨晴</title>,<text>積雨鏖殘暑。淸飈識早秋。曈曈日影轉。苒苒樹陰浮。隱几心偏爽。持杯病欲瘳。無端晛晥鳥。簾外數聲幽。</text>
<title>七月初八日。卽伯氏還甲初度日也。因告廟論發。伯氏以前日賓廳議禮。待命於金吾。不得設酌。慨然口占。</title>,<text>駭機何太急。世事欲無辭。可惜懸弧日。翻爲席藁時。未投留客轄。誰進獻年巵。咄咄書空處。仍成感慨詩。</text>
<title>東樓卽事 二首</title>,<text>華軒宜特地。急管叶嬌歌。垂柳疑踈髮。新荷妬少娥。颼颼淸籟動。陣陣暗香過。久坐仍忘返。蟾光入夜多。垂柳一作柳線。新荷一作荷花。了却文移後。聊憑曲檻隈。月宜呼作燭。溪願取添杯。樹影依微見。花香暗淡來。淸歌中夜發。倒幘興偏催。</text>
<title>月夜小集</title>,<text>小院淸光滿。佳辰逸興繁。歌憐喉宛轉。舞愛袖飛翻。永夜臨筵短。寒天借酒溫。如斯慰暮景。畸思不須論。</text>
<title>習樂日。簡寄鄭君馨叔 治。</title>,<text>琴軒公務屛。綺席小娥嬌。淸切歌聲逈。霏微雪意驕。佳辰看冉冉。好事肯寥寥。把酒團欒地。過從莫待招。</text>
<title>東閣夜飮。贈馨叔。</title>,<text>好客遠方至。商聲永夜偏。吾憐解塵榻。爾顧誤琴絃。拄笏山當戶。披襟月滿天。狂歌脫帽處。刻漏任頻傳。</text>
<title>寄伯圭，擇之兩令公。</title>,<text>暮年俱作吏。忽復異行休。瀟洒林泉日。棲遑郡邑秋。南窓容膝穩。東閣折腰羞。所喜逢佳節。寒梅映雪樓。</text>
<title>次起之韻</title>,<text>良晤當淸夜。孤燈伴小窓。揮毫詩就幾。對月影成雙。竹籟侵烏几。梅花撲玉缸。如澠常快意。渴夢豈呑江。</text>
