<title>寄徐上舍精甫</title>,<text>長夜耿不寐。寒燈愁照人。回頭語孤影。微爾更誰親。</text>
<title>次金正字方叔韻</title>,<text>黃花作意爲誰黃。白骨沙塲蔓草長。王事年年供客淚。不知佳節是重陽。其二愁霜侵鬢髮渾黃。尙有蛇矛丈八長。惆悵無人憐矍鑠。漫勞魂夢踏遼陽。其三秋風解使人多感。縱有新詩遣興難。紅日半山鳴落葉。不宜揩眼重回看。</text>
<title>慶山途中値雪</title>,<text>片片黃雲向海飄。漫天飛雪挾風驕。新詩今在孤山 書院名 道。不屬灞陵原上橋。</text>
<title>時習齋卽事</title>,<text>獵客呼鷹原上走。商僧懷寶市中歸。吾儕事業君知否。時習齋中看鳥飛。</text>
<title>留別友人</title>,<text>還家莫恨半旬遲。講道餘閒好說詩。明日兩三人各散。重逢猶是隔年期。</text>
<title>寄徐精甫</title>,<text>梅未開花意已香。夢中疎影最難忘。何時月落參橫夜。重對松林淡淡粧。</text>
<title>書琴腹</title>,<text>嶧陽誰採老孫枝。爨下餘殘短更奇。莫道世無山水耳。白頭詞客是鍾期。</text>
<title>詠梅 在精甫家作</title>,<text>春信潛從雪裏回。暗香先動小村梅。江西老子看無厭。莫遣羌兒短笛催。</text>
<title>題尹正平 調元 草堂</title>,<text>詔書何苦太遲遲。節迫花開驛路時。孤店閉門人迹斷。棘籬春雨細絲絲。</text>
<title>河陽客舍聞鵑。次板上韻。贈金著作方叔。</title>,<text>竹外池風晩更凄。荷香散入玉東西。興酣說與思歸樂。客已忘歸爾莫啼。</text>
<title>春思</title>,<text>簾外雙雙燕子飛。斜穿老樹半低枝。美人日暮依脩竹。獨立東風有所思。</text>
<title>病中茂伯以詩見問。作此以謝之。</title>,<text>衰年苦被病常嬰。十日空吟偪側行。風雨竹扉斜掩處。一詩珍重故人情。</text>
<title>次寄金萬灰子靜符 必壽 宗契</title>,<text>邇來衰病苦相牽。千里追遊未有緣。一夢去年重九月。共排幽話小池邊。</text>
<title>九月十四日。同茂伯，新之，李士厚 墑 及茂甫，叔吉，誠伯遊鹿峯。夜吟一絶。</title>,<text>霜落高林秋夜淸。西風吹作捲雲聲。碧天寥闊無纖碍。萬壑千峯一月明。</text>
<title>漫成</title>,<text>看竹看梅秋復春。歲寒松柏更撩人。莫言此老身無事。無事身爲有事身。</text>
<title>新安東門外。遇慧天禪師。</title>,<text>客路相逢一衲衣。依然鶖眼是天師。欲留飛錫談淸凈。笑指靑松東向枝。</text>
<title>蔡吉仲小有亭酒席。以花落家僮不掃鳥啼山客猶眠爲韻。作十二絶句。</title>,<text>春來隨處醉爲家。狂興何妨一笑譁。政是江村三月暮。亂風吹老小桃花。花影重重動春酌。舊時惡客今不惡。金陵兒女來相謔。笑殺山翁鐵冠落。細草平分兩岸沙。好隨晴雨綠情多。惜春無柰春將盡。花落江村幾許家。漁村新釀色翁翁。入髓無聲面已紅。痛飮不愁江路滑。政應扶醉有雙僮。主人迎客非俗物。靑山片石手自拂。綠楊三月酒一杯。我雖不飮不得不。琴灘渡口多芳草。岸上桃花春意老。欲搜奇句慰飛紅。爲報東風且莫掃。高高亭子春江曉。隔樹澄潭漁艇小。波聲濊濊捲網時。綠楊驚起雙黃鳥。東風狂興戲分題。柳綠桃紅眼欲迷。酒盡沙頭雙老瓦。隔松茅屋午雞啼。春興何妨醉據鞍。詩城新築大江灣。此身合是風騷將。胷次先收五郡山。春陰鎖日養花魄。影亂杯中紅琥珀。新詩滿眼不能裁。休喚衰翁作詞客。春風不負覓詩眸。軟綠殘紅罨小洲。數日留連看未足。歸鞍將發更夷猶。四座詩談天下士。一罇春醉飮中仙。抱琴明日重來未。客欲歸時主欲眠。</text>
<title>孤村雨後</title>,<text>昨夜山中細雨過。滿園新綠鳥聲多。東風不惜黃金色。吹盡薔薇一樹花。</text>
<title>東川夜聞鶯書感</title>,<text>小橋芳草夕陽時。楊柳含煙綠萬絲。此地傷心何日了。杜鵑啼處又黃鸝。</text>
<title>與諸益遊桐華寺。途中作。</title>,<text>正是淸和四月時。雨餘新綠更多姿。丈夫六十那稱老。步屣登山且不疲。</text>
<title>重午。懷李相公白沙 恒福。</title>,<text>眼看民俗取蒲罇。處處歌呼盡醉昏。回首楚江天萬里。一杯誰慰獨醒魂。</text>
<title>竹迷日書感 五月十三日稱竹迷。或云竹醉日。</title>,<text>白日催年已竹迷。此身安得不衰黧。漸知豪氣銷磨盡。無復城東舊鬪雞。</text>
<title>歲暮。用金方叔韻。</title>,<text>霜毛鑷盡鬢全疎。又是靑陽逼歲除。笑我不知軒冕樂。一生惟欲老樵漁。</text>
<title>茂伯以四月。旅寓小有亭。三閱月未一訪。還家之後。始相見焉。因書此以贈之。</title>,<text>江渭迢迢隔暮雲。兩鄕三月久離羣。相逢始在還家後。羞對吾君道憶君。</text>
<title>人日</title>,<text>冬暖春寒理甚乖。况堪今日更陰䨪。天時自古膺人事。憂國難堪老子懷。</text>
<title>糓日夜對梅</title>,<text>雪中初動早梅花。佩酒何人肯夜過。仍憶去年今日事。一罇同醉石翁家。</text>
<title>夢後</title>,<text>男子當封定遠侯。那堪白髮臥林丘。無端一夜書囱夢。手把長槍踏建州。</text>
<title>漫興寄茂伯</title>,<text>林深幽鳥傍囱鳴。池淺新荷上砌生。輪鞅不來誰見賞。獨扶藜杖繞堦行。</text>
<title>海棠</title>,<text>嫣紅如火砌西偏。數朶垂垂看欲燃。山下小方塘水畔。秖疑燒卻錦苔錢。</text>
<title>石潭臺上。次茂伯韻。</title>,<text>山勢東廻逈作臺。老松陰裏錦莓苔。只今聖主求賢急。不放潭翁此去來。</text>
<title>贈李新之</title>,<text>太白山中度歲華。浦田不辦作生涯。可憐二十年評事。遇此明時尙在家。</text>
<title>九月。登星州城北皋卽事。</title>,<text>水落沙平兩岸高。爲牽詩興獨登皋。四郊雲斂秋光晩。一鴈斜穿返照號。</text>
<title>山原雪白。朝旭光鮮。令人思想倍佳。卻嫌此心被物累。殊失澄澈。有感而詠。</title>,<text>雪滿山原霽色鮮。晴空初旭映偏全。此心恨未同淸瑩。物累縱橫難洗湔。</text>
<title>在統勝廬吟</title>,<text>茅簷銀著短長垂。侈事還輕石氏爲。渾是化工盈損意。故成詩句記天時。</text>
<title>冰獵得魚。分送衙厨。</title>,<text>囱外江流瀦作池。天公好事屬吾私。年來最喜魚鰕足。風味還嫌獨飽知。</text>
<title>感時吟</title>,<text>牢落山房淹十日。一天風景已殘年。春生積雪層冰裏。梅動方塘曲砌邊。</text>
<title>贈別茂伯之大同任</title>,<text>五年關北斷離膓。詩酒相從僅六霜。歡會一生能幾日。白頭今復作參商。</text>
<title>勸酒 百家衣體。</title>,<text>花鳥催詩歲不留。簡齋。 遊絲飛蝶兩悠悠。放翁。 勸君更進一杯酒。王維。 昨日少年今白頭。用晦。</text>
<title>正月十六日夜感懷</title>,<text>正月十六夜明月。簡齋。 莫惜床頭沽酒錢。蘇頲。 人生百年幾緉屐。放翁。 老境增年是减年。至能。</text>
<title>二月江行</title>,<text>二月二日江上行。義山。 東風吹雨小寒生。簡齋。 漁人歸後汀沙晩。鄭谷。 竹杖芒鞋稱野情。無則。</text>
<title>三月春遊</title>,<text>三月三日天氣新。杜甫。 綠楊垂線草鋪茵。丁謂。 伊川洛浦尋芳遍。永叔。 半醉半醒無事人。簡夫。</text>
<title>四月六日對酒</title>,<text>四月淸和雨乍晴。溫公。 小荷新竹夕陽明。放翁。 但將酩酊酬佳節。牧之。 莫向罇前唱渭城。▣▣。</text>
<title>五月書感</title>,<text>五月榴花照眼明。韓愈。 坐驚時節又崢嶸。永叔。 開眼且酌罇中酒。樂天。 白髮欺人故故生。▣▣。</text>
<title>六月山齋</title>,<text>六月山齋當暑令。簡齋。 淸凉是藥別無方。橫渠。 松陰轉處琴書潤。應求。 醉臥石樓雲滿床。牧之。</text>
<title>七月於葛田別座。贈李新之。</title>,<text>七月六日苦炎熱。杜甫。 開戶暗蟲猶打囱。義山。 笑接郞中評事飮。杜甫。 瓷甖無謝玉爲缸。杜甫。</text>
<title>八月八日詠閒</title>,<text>八月江南風日美。簡齋。 荷翻翠葢水堂虛。義山。 一盂飯罷無餘事。放翁。 病眼欲盲猶愛書。放翁。</text>
<title>九月九日登高</title>,<text>九月九日登高處。▣▣。 散髮淸光未足非。簡齋。 莫向罇前惜沈醉。韋莊。 菊花須揷滿頭歸。牧之。</text>
<title>十月得恠石</title>,<text>十月北風催歲闌。簡齋。 鴻驚淸鏡失朱顔。惠洪。 餘齡有幾仍多幸。遂初。 老去莊身小玉山。簡齋。</text>
<title>十一月十三日往別業。有卽還之計。乘醉留宿。曉吟一絶。</title>,<text>仲冬風日始凄凄。子美。 愛酒山翁醉似泥。永叔。 歸計未成留亦好。放翁。 令人憎殺五更雞。放翁。</text>
<title>十二月二十日喚酒</title>,<text>閒人以飮爲忙事。牧之。 但願長醉不願醒。李白。 酒盞酌來須滿滿。樂天。 甘從妻喚作劉伶。樂天。</text>
<title>姊翁家宴席。追昔日之艱難。喜今日之歡讌作。</title>,<text>冬十二月歲辛丑。東坡。 艱難顚沛不忘君。山谷。 不知今夕是何夕。杜甫。 席上榴花皆舞裙。山谷。</text>
<title>戲題贈妓</title>,<text>靑裙玉面初相識。簡齋。 花謝留顔夜漏分。▣▣。 神女生涯元是夢。義山。 夢來何處更爲雲。義山。</text>
<title>贈別茂伯之大同任</title>,<text>幾年曾北塞。今日又西關。地接完顔國。江通渤海灣。離亭秋九月。征馬路千山。嗟爾遠行役。回回如玉環。</text>
<title>自金勤甫 廷稷 家。向黑水李時馨家。途中作。</title>,<text>誰道覊遊苦。詩情到處多。初醒故人酒。更訪外甥家。僕倦疑擔重。驂羸任路賖。閒吟仍委轡。山日半西斜。</text>
<title>除夜贈友</title>,<text>忽忽天時改。回回斗轉杓。流光那可挽。去日莫能招。無價年頻換。非讒骨自銷。煩君休就睡。殘歲只今宵。</text>
<title>新卜劬勞村</title>,<text>依巖卜新地。小築點鴻龐。西接龍興洞。東鄰豹隱谾。土饒宜稼穡。村逈絶紛哤。道德山爲伴。誰言莒陋邦。又移家非離土。亦一莒東陲。林壑惟新卜。賓朋盡素知。輸租仍舊廩。逾嶺卽西枝。時復歡親戚。相尋任意爲。</text>
<title>奉謝李蒼石 埈 見寄</title>,<text>世無寒士友。誰記此心弘。古道惟君是。新詩寄我曾。調高銀字管。淸比玉壺水。定識鹽車下。從今價倍增。</text>
<title>晩登霞堂</title>,<text>落日危欄上。秋風霽景鮮。天高詩眼外。江闊酒罇前。暝色煙郊樹。喧聲野渡船。方輿已沒海。此地可延年。</text>
<title>次金東籬 允安 屛山文集後韻</title>,<text>東國文明際。山河秀氣全。心從隆古遠。業自大賢傳。碩望安危日。高名進退年。微言恐在逸。搜緝喜成編。</text>
<title>詠雪</title>,<text>乾坤呈戲劇。奇態一時同。樹樹銀花綴。村村玉屑融。瑤臺非桀築。茅屋失堯宮。斗覺浮華事。難容浪話中。</text>
<title>在統勝廬。詠山水雪裏之勝倍於他地。</title>,<text>夜雲奔未覺。朝雪亂開庵。巖飾千層璧。河添一帶藍。桑田銀作海。松嶺玉成嵐。何地非奇態。仙區最足談。</text>
<title>次李員外澤堂汝固 植 安奇驛板上韻 末聯。時員外留府。裁候書表戀忱。走奚於雨後至沙川。川漲未濟而還。旋覺員外朝濟於此川未漲之前。不得相遇。故及之。</title>,<text>余觀員外詩。以郵卒愛公之深。歸美於先大夫。莅驛之仁。在公孝思合自云云。以余思焉。員外實賢子弟也。其諄諄。在幼少已著於人人。故思之不已。見而有喜。有若先大夫曾施惠者然。此豈但賢父兄之及哉。遂感而賦之。箕裘元世守。堂構是公思。博雅登華袞。眞淳蘊布衣。郵人愛舊惠。邑子誦新辭。尺牘還遲報。川橋恨巧違。</text>
<title>次李澤堂苦寒之作</title>,<text>積雪肥山野。乾坤器不寬。沒橋竆孟浩。無逕閉袁安。蜀纊寧生暖。炎犀亦怕寒。何妨鄒衍律。爲子按高彈。又路入羊膓險。胷呑夢澤寬。愁侵寧攪亂。度曠自頤安。虐雪排春近。竆陰釀臘寒。知音有北海。歸鋏莫輕彈。</text>
<title>挽金雲川道源 涌</title>,<text>難竆恨彼昊。如寄惜浮生。淑慝均歸盡。亨屯孰使令。淸修空炳世。文雅謾流聲。病負綿茅奠。長懷涕在纓。</text>
<title>挽申參奉季器</title>,<text>兄爲再從戚。弟視一生親。幾永罇中夕。相攜畫裏春。風儀非後輩。情事在先民。忽報終辭世。那禁淚滿巾。</text>
<title>詠春回雪深</title>,<text>春到還多雪。漫空勢太豪。山頭殘老樹。沙渚沒新蒿。色壓黃浮岸。光添綠漲皋。吟邊休好景。愁至酌淸醪。</text>
<title>客散</title>,<text>逕寂煙霞重。亭虛翰墨幽。興餘閒處勝。人罷片時遊。散鳥還低樹。驚鱗復淺流。深關斜日牖。獨自夢丹丘。</text>
<title>謝贈桃</title>,<text>洽取蟠桃露。均圓一圃秋。初從蒼玉借。晩向紫霞偸。懸减風中蔕。影虧月下丘。媿無瓊玖報。卻把短詞酬。</text>
<title>聽灘鳴</title>,<text>力疾登亭晩。貪聆石瀨聲。長搖仙佩亂。圓轉瑟絃淸。雨後松微韻。風前竹忽驚。周公今夜夢。還怕不能成。</text>
<title>暮興</title>,<text>暑薄風光軟。天淸雲意閒。灘聲多別界。林影小淸灣。待月秋嫌葉。貪山暮倚關。幽禽得這意。佳處亦遲還。</text>
<title>橋憐再渡時</title>,<text>一路無新舊。重遊訪碧岑。曾疑經雨節。方喜引筇臨。世道隨時變。禪橋閱客深。翻思三渡日。恐爾不如今。</text>
<title>曉吟</title>,<text>漸脫輕雲裏。淸晨氣像奇。遠含秋意肅。高出霽光危。露濕芙蓉靜。霞蒸繪畫滋。更承紅日上。蒼影落寒漪。</text>
<title>故林歸未得</title>,<text>長吟歸去好。路遠恨如何。北地居人寡。西州旅食多。春應無主麗。鳳且爲誰歌。秋氣時猶壯。湘湖秖夢過。</text>
<title>寒食柳園村</title>,<text>柳盡三春綠。他鄕寒食村。客心千里感。物色一年蕃。葉帶輕煙舞。條垂裊縷翻。悠然堪獨對。盡日耐愁呑。</text>
<title>鳳聲忽故園</title>,<text>嫌人長作旅。鳴獨似鄕園。千里山河路。三春風日暄。同前客裏耳。疑舊郊中村。有夢應歸去。從渠近我軒。</text>
<title>吟恨滿淸罇</title>,<text>酒是忘憂物。如何恨一罇。無端客裏笛。欲斷月中魂。折柳驚新歲。落梅憶故園。吟生多緖意。浮蟻可堪呑。</text>
<title>十三夜。無月。</title>,<text>織女藏金鏡。明星秘玉盆。誰開雲裏影。不見暮江痕。嵐峀當囱遠。煙林隔岸昏。幾時來夜月。幽賞對空罇。</text>
<title>奉謝宗丈松澗翁 庭檜 來訪</title>,<text>多少平生不盡心。慇懃今日最知深。雪風西嶺遙相訪。煙月東溟爲共斟。笛徹雲中仙鳳舞。琴喧海上老龍吟。幾年江渭迢迢別。何幸殘城呂駕尋。</text>
<title>奉次李蒼石見寄</title>,<text>釣翁臺上釣翁遊。人去臺空有舊洲。此地偶然逢一笑。當時聊爾寫千愁。別來消息無黃耳。老去離懷各白頭。忽見新詩如見面。今秋差勝八年秋。附原韻二水煙花憶舊遊。至今魂夢繞汀洲。久無鴈足傳書信。剩有猿聲惹客愁。漫喜新詩稱國手。常嗟竆鬼壓人頭。干戈不復重逢日。東洛風光又一秋。</text>
<title>奉餞舍伯歸鄕</title>,<text>病裏鄕心入杳然。朔風山路望中綿。西峯樹老當冬雪。東海雲深正暮天。鶴髮堂前歸夢急。鶺鴒原上友情全。欲攀征袂還難得。只願魚鴻別後連。</text>
<title>奉贈尹正平</title>,<text>扶搖曾上五雲衢。憔瘁今行楚澤隅。萬里星河雙闕㢠。三年涕淚一身孤。崩沙斷岸迷魚穴。落日長天闊鴈途。夢裏舊遊誰與說。強爲村語對村夫。</text>
<title>踏靑和茂甫韻</title>,<text>長汀淡蕩春三月。當代風流李萬回。十分淸罇須快飮。一年今日不重來。飣盤鯽膾絲絲細。向我山花樹樹開。席地衾天殊不惡。醉中聊復盡餘杯。又一歲淸明惟一度。敢辭攜手踏靑回。花連水水山山發。人並三三五五來。紅杏村中詞客倒。綠楊陰裏酒罇開。此間吾亦有新作。不怕季倫金谷杯。茂甫徑醉杏村釀。臥而不來。作詩寄之。遂有此四句。</text>
<title>自縣齋行到甑灘。大風翻江。且無篙師。未得放船。遂取路岸上。沿江而下。渡東安津。乘夜還家。是日銓郞朴 宗胄 還京。歷宿君顯家云。</title>,<text>江沙漠漠大風揚。檣上危帆未可張。天入亂波還不定。山如逐鹿更成狂。遠林西日鴉飛急。芳草東郊客興長。晩渡下流歸半畝。野塘明月政蒼蒼。</text>
<title>病中書懷。寄進士宗君巨卿 擘。</title>,<text>流光飄忽劇徂川。夢裏同經五十年。食爲養生雖暫節。病於臨老柰常纏。家貧藥物元無計。身賤親鄰亦不憐。盡日閉門誰剝啄。臥聽秋雨落池蓮。</text>
<title>李新之赴李孟堅三省庵遊賞之約。余於此時。亦向永州。遂與之同行。至美代村前將分路。馬上口呼寄孟堅。</title>,<text>偶隨閒伴出幽扉。芳樹溪橋試袷衣。新綠正嬌初夏色。殘紅猶逗暮春輝。人分野店疎砧晩。馬渡汀沙夕照微。三省古菴遙入望。不堪回首恨依依。</text>
<title>小有亭。次朴方伯慶新韻。</title>,<text>江上風流好事家。一時賢俊共相過。數村桑柘夕陽盡。兩岸蒹葭秋意多。逝水西通今汶泗。亂山東際古徐羅。就中容我題新句。揀得明珠不去沙。</text>
<title>新卜莒東野。將移居還已。遂吟此寓懷。</title>,<text>朝廷無策可平戎。坐使邊烽照漢宮。初恠天兵敗河上。豈知胡馬踏遼東。方當殉國忘家日。媿作求田問舍翁。歎息歸來臥茅屋。匣中空有劒雌雄。</text>
<title>元日老懷</title>,<text>已把竆愁許鬢知。逢春况耐歲星移。腰肢漸懶興居處。筋力空思少壯時。隙過白駒應不柰。健如黃犢更無期。細推物理須寬抱。一笑高吟喜老詩。樂天有喜老詩</text>
<title>冬至後七日。金從兄大澤，李從兄心慜，李判官潤雨，李秀才文雨，李評事濯，李生員時榦，金秀才楶，宲，栔，李秀才道昌，道瀜，道長及余十三人。將勘禮說于鹿峯。余以精舍之任。當稟勘校之規。兼運書籍。遂趨泗濱。途中有此詩。</title>,<text>今日泗濱辭丈席。明朝精舍萃金蘭。老夫壯者並童子。評事生員與判官。勘定五先生禮說。兼全三益友交顔。百年那得長如許。頗覺人間此會難。</text>
<title>四月二十日。遊桐華寺。是日昏示諸益。</title>,<text>蓬萊左股此逶迤。松桂濃陰夾路垂。幽賞仙區眞夙願。共遊佳節是前期。諸生甁貯半秋露。古寺山光初夏時。萬象森羅皆可掇。老夫還有錦囊資。</text>
<title>追記前夕之歡。仍念後日之虞。感而賦之。寄茂伯。糓日晩。子行兄攜酒賞梅于茂伯家。仍邀諸族及朴元仲。講歡終日。夜深而罷。此乃十一日作也。時凶奴陷遼東。連我義州，龍川，宣川，鐵山等郡。</title>,<text>百年光景又新正。一笑相迎話弟兄。竹葉於人眞有分。梅花向我亦多情。玉蟲亂綴釵頭色。海鶴長呼月下聲。那得此生長此日。民今疲病更聞兵。</text>
<title>劬勞村卽事</title>,<text>編茅爲屋竹爲門。手劚荒田開小園。高下林巒專一壑。兩三僮僕又孤村。山名道德追師意。店號劬勞戀母恩。回首雲庵猶未遠。可能隨意省丘原。</text>
<title>諸宗族來會小亭。茂甫有詩書癖。且有先歸之意。次韻以贈之。</title>,<text>來遲端復去須遲。對酒醒歸最不宜。幸我不曾流異地。與君同此遇明時。堦花入夏紅棲葉。山木經春綠滿枝。共樂太平今日意。秖應乘興醉題詩。</text>
<title>翌日曉醉起。復用前韻。寄茂甫。</title>,<text>雨餘風軟落花遲。池上微凉吹面宜。門掩小亭人去後。夢圓孤店月明時。疊靑新展龜巢葉。浮翠低垂鶴踏枝。安得更逢梅隱老。盡驅淸景入淸詩。</text>
<title>六月晦。在鹿峯。次許若虛回文韻。贈茂伯之京。</title>,<text>征南怨鴈叫酸聲。永夜愁秋幾夢驚。明燭小囱書帙散。晩林幽壑澗泉晴。城連驛路歸東洛。嶺隔天雲望北京。榮悴由來分貴賤。名低我笑我平生。</text>
<title>挽盧牧使弘仲 景任</title>,<text>早抽金馬玉堂身。萊服重斑洛水濱。先見宜爲元老歎。懶朝從受小兒嗔。取蟾五日還無用。刻狙三年只自珍。可惜平生經濟志。一塲殘夢落花春。</text>
<title>解命吟</title>,<text>筭卻生平隙駟遒。寧招鬼笑苦銜羞。寬胷但可隨天數。役智胡爲費人謀。彭祖永年知未慮。石崇雄富豈緣求。自然至者眞吾命。不必勞勞罄百憂。</text>
<title>次三龜亭板上韻</title>,<text>此亭營構肇何時。遠想閒人解翫嬉。占勝正當山一鶴。假靈傍列洛三龜。樹擎翠蓋銜濃蔭。溪奏玄琴下亂漪。幾許登臨挑逸興。仙風千古颯然吹。</text>
<title>次地主朴大瓠次三龜亭韻</title>,<text>謝宰春遊喜及時。閒多游刃本非嬉。藏身吏豈紛華吏。化石龜嫌釁沐龜。勝趣自多竆勝狀。澄心孰與溢澄漪。名亭此日逢詩伯。筆下長風向我吹。</text>
<title>又次朴大瓠遊西寺韻</title>,<text>城西梵殿易躋攀。臥閤淸治一任閒。几席正臨南逝水。杯罇好對北來山。詩情軼蕩風雲外。豪氣衝凌宇宙間。康樂後身今再見。寧同俗吏抗塵顔。</text>
<title>又次朴大瓠次襄陽壁上韻</title>,<text>郡舍依微老樹陰。歸休過客古斯今。寒聲東走川橫帶。凉氣西來柳擁林。眼豁危樓神易暢。身閒幽闥睡還深。名軒勝事知多少。幾和前詩費浪吟。</text>
<title>又次朴大瓠次臨河壁上吾宗秀才 瑛 韻</title>,<text>山影參差落曠庭。川聲嗚咽透重欞。詩留古壁塵全暗。人臥竆閭雪亂零。梅閣閒情思一見。藜床孤夢報初醒。居然被卻荊州識。從此柴扉不欲扃。又皁蓋遙臨小縣庭。陰風吹雪打疎欞。樓頭殘照光全冷。牆角脩松葉半零。白屋黃堂休禮數。銀章韋帶共酣醒。多年鎩翮逢風勢。會見春生野外扃。又宗文詩學早趨庭。命不身謀老蓽欞。更欲松篁須晩翠。寧論蒲柳自先零。神遊宇宙方飄蕩。夢入邯鄲未肯醒。賴有宣城吟嘯宰。翩翩華蓋扣幽扃。</text>
<title>觀漲吟</title>,<text>長河千里漲黃流。曠蕩堪疑大地浮。樹入驚濤愁沒杪。山當怒氣欲摧頭。舟藏遠壑難容櫂。人失歸津未辨洲。安得御風竆兩岸。快湔多少我心憂。</text>
<title>詠憫旱</title>,<text>年來側耳理陽陰。旱魃還驚最虐今。正是耕耘當夏日。如何枯槁似秋林。祝天聖意雖云至。埋璧虔誠更孰深。明府一祈神必應。甘霖早晩慰愁吟。</text>
<title>詠喜雨</title>,<text>雲連主屹惹輕陰。昔禱旋看雨下今。溢喜民謳騰四野。含滋物意暢羣林。誰言穹昊臨吾遠。秖在誠心感彼深。欲識登山當日事。請看明府性情吟。</text>
<title>垂釣吟</title>,<text>半世虛名鮎上竿。邯鄲從此夢長寒。沙頭健步寧須履。磯畔孤眠懶整冠。銅鏡瑤岑吟裏見。銀刀玉尺掌中看。滄浪歌罷晴嵐晩。好趁仙風上石壇。</text>
<title>聞蝗作。向天訴憫之吟。</title>,<text>半年枯槁無蘇意。一雨方希萬稼秋。聞道喫禾還有物。不堪搔首更含愁。乾坤自是生成主。蝗旱如何賊害稠。歲饉民殘天可怍。當須悔禍息羣憂。</text>
<title>次鼓吹部李山甫寓懷韻</title>,<text>十年憔悴入囂塵。捐棄還多釋苦身。疎懶但知從宿樣。機關難自學今人。耕漁適意愁全卻。得喪歸時思每匀。地上仙翁何處在。欲得天放慣修眞。</text>
<title>辛酉元月朢立春。聞天朝將士殲賊之報。喜而賦之。</title>,<text>陽生茆屋景光姸。衰病偏多入煦天。枯艾溪邊抽葉嫩。幽禽囱外弄聲傳。三春正好花如錦。千日須敎酒似泉。佳節兼聞淸北塞。閒居淸興此時專。</text>
<title>江上偶吟</title>,<text>春風失力春天煦。芒竹晩尋某水頭。江潑蒲萄綠色漲。雲驅車蓋彩光稠。冠童六七身邊擁。鷗𪆽兩三巖際留。正是畫工開好興。不須長抱世間愁。</text>
<title>竢李汝固山水亭來遊之約</title>,<text>江湖如解主人情。洗出菱奩十分淸。天與己看開地秘。客來應見助詩鳴。正當柳渚新秋爽。更値松巒宿雨晴。爲報沙邊雙白鳥。好呈幽趣莫須驚。</text>
<title>記興</title>,<text>曠野高低抹樹煙。爲憑巖畔意悠然。秋山入暮無千峀。霽水成虛有半天。放浪人寰何處泊。遨遊仙境我懷全。佳緣十分探奇勝。一日淸閒到百年。</text>
