<title>山寺卽景 戊辰○幼時作。寺在尼山。</title>,<text>大風起天中。落葉滿空山。月如將卛星。星如兵衛月。</text>
<title>贈別崔 基緖 還鄕</title>,<text>鶴城秋晩動行軺。怊悵離情不自聊。他日魯邱棲息處。肯將尺牘訪漁樵。</text>
<title>乘舟。到七佛寺。</title>,<text>飄然畫閣枕江頭。三五佳人共上樓。風流節度觀漁興。何似當年赤壁秋。</text>
<title>大定江。贈定州妓。至愛○甲午</title>,<text>强挽吾行獨倚樓。欲言無語半含愁。沙頭落日相離恨。流入江波也不休。</text>
<title>贈六師</title>,<text>飄然身世白雲間。蘿月松窓俗慮刪。之北之南孤鉢罄。尋山尋水一筇閑。烟生石鼎烹茶去。灰死金爐禮佛還。秋來我亦尋眞境。留待楓林月正彎。</text>
<title>贈踏橋諸客 乙未</title>,<text>上元佳節屬西州。十五淸光此夜稠。嬌娥莫勸池邊酒。乘月吾登郭外樓。</text>
<title>嘉山江。贈李 儀叔 韻。</title>,<text>如何心事轉悽其。驛路春生惜別離。江村病卧無人問。惟有吾君戀舊知。</text>
<title>登百祥樓</title>,<text>偸得高樓半日閑。元戎豪氣也難刪。江流屈曲之玄去。山勢崎嶇凹凸環。草綠汀洲知雨過。風淸澗谷見雲還。憑欄快倒金罍酒。不覺東峰月已彎。</text>
<title>登望京樓</title>,<text>暇日高樓上。將軍醉眼邊。夕陽山色遠。郭外萬家烟。</text>
<title>贈崔 起巖 韻</title>,<text>如麻雨脚戱吾行。堪歎奇遊竟不成。從知明日來無盡。爲待將軍早出城。</text>
<title>又登百祥樓</title>,<text>登臨快闊四望同。萬里湖山眼底空。暮寺踈鍾聲遠近。楓林微月影西東。壯心幾撫腰間釼。豪氣時看櫪上聦。聖主鴻恩何以報。遙瞻宸極意無窮。又十里平湖大野頭。暮雲城上百祥樓。凌波皷枻閑來去。陣陣淸風爽似秋。</text>
<title>送呂 咸之 還京 丙申</title>,<text>跡滯關西歲已換。思親戀闕倍傷心。想應經過吾家日。爲報平安二字音。又離亭惜別恨。春日暮江情。行路多艱險。何時到洛城。</text>
<title>壽慈氏生朝韻 丁酉</title>,<text>三角層峰拱北堂。玄冬和氣喚春光。樽前再拜無窮祝。此日華筵萬歲常。</text>
<title>登靑海營廣石臺 戊戌</title>,<text>扶杖崎嶇陟彼邱。名區物色浩難收。深林鳥勸溪邊酌。微雨人登壁上樓。地僻山花明薄暮。洞幽泉石咽淸流。磯頭更有釣魚興。半日偸閑亦勝遊。又攀藤逾壑處。上有一孤樓。日暮人扶醉。疇能再此遊。</text>
<title>自警 丁亥</title>,<text>冲天壯氣萬夫雄。手掣靑萍意不窮。他時倘未腥塵掃。投筆當年悔把弓。</text>
<title>贈淸營妓月蟾 辛丑</title>,<text>古驛寒燈惜別夜。纖纖語了向隅啼。明皇添六眞堪笑。分付村童盡殺鷄。</text>
<title>又贈蕙梅</title>,<text>多情送我之長楊。脉脉無語淚滿眶。走卒不知相別意。彷徨門外報晨光。</text>
<title>遭彈偶吟 乙巳</title>,<text>小園晴日任欹巾。頓忘門前十丈塵。堆岸綠蘿眞勝地。滿庭靑草卽芳茵。榮枯斯世寧關意。雨露新天別有春。萬事囂囂猶可誡。不如歸卧虎溪濱。</text>
<title>奉和呂 士純</title>,<text>澒洞羈愁自不禁。柴扉晝掩有誰尋。魯城千里思親淚。魏闕三朝戀主心。暮境悲君投杖慟。窮途憐我寓情吟。會須龍積成茅屋。棋酒閑窓共吐襟。</text>
<title>次文演大師 昆陽僧</title>,<text>客意荒林𩗏亂雪。禪心新月照淸潭。仙山未到聞仙景。一夢時時繞鳳菴。又鏗然錫杖帶靑霞。來叩柴門喜氣加。聽說頭陀雲月好。却忘身世在長沙。</text>
<title>感恩曲 庚戌</title>,<text>報了報了聖主鴻恩報了。此身雖死何以盡報了。玆生未報恩。後生當報了。又慨然哉人兮。一片丹心誰復知。爲國一死庶幾乎知。知而不之知。是以悲之。</text>
<title>輓詞[行判中樞府事沈壽賢]</title>,<text>家傳儒術是靑氊。早歲功名却爛然。投筆志雄班定遠。據鞍心切馬文淵。風霜偃薄無餘念。天地涵容荷曲全。痛殺三軍空雨泣。一坏蕭瑟像祈連。</text>
<title>輓詞[江陵金始㷜]</title>,<text>雲臺勳蹟冠諸卿。舊是儒門負笈生。人或泛穪班定遠。天何虛出李西平。三朝恩遇風雲菀。萬死精忠日月明。倘記金吾門外事。九原猶結感君情。</text>
<title>輓詞 四首 [行江華留守金東弼]</title>,<text>太歲新春有厄星。同時將相迭凋零。從今大廈摧樑棟。聖主臨朝憶典刑。乾坤震蕩戊申春。公以元戎不顧身。縱得麟閣新畫像。終敎蜮弩日窺人。歷𦲷戎垣掌本兵。武班曾少此功名。生前久倚三軍長。歿後長推萬里城。纔奏祥琴尙脫顔。告終胡遽一宵間。于今國有元良慶。惜不公趨燕賀班。</text>
<title>輓詞 二首 [壺山宋眞明]</title>,<text>金羈珠絡汗龍駒。馳驟崎嶇若坦途。少日褊裨皆閫臬。中年笠轂主兵謨。皷鼙每入君王夜。天地虛傳猛將圖。往歲南方生小醜。乞持三尺掃坼湖。桑蓬改日事非常。生死知心上有蒼。山豹衛藜忠炳日。秋鷹橫架氣凌霜。鞱靲炯炯精神照。廊廟駸駸步驟長。向晩北山車馬少。老槐深巷易斜陽。</text>
<title>輓詞[吏曹參議李宗城]</title>,<text>徽纆炎蒸二載間。主恩生出拜慈顔。丹靑不老麒麟閣。黎霍多生虎豹山。盛世鞱靲中轂重。淸時鍾皷戟門閑。戎垣宣命渾如昨。零落衰槐夕鳥還。</text>
<title>輓詞[首陽吳命新]</title>,<text>大司馬領大將軍。知遇平生有聖君。麟臺紀烈渾餘事。臨死連呼未報恩。</text>
<title>輓詞[桂陽李廷濟]</title>,<text>半世危誣曠世恩。誰人不憶李將軍。後來欲識公心事。看取堂名白日軒。</text>
<title>輓詞[大司成金尙奎]</title>,<text>諄諄夢語淚隨沄。終始生成荷聖君。旗皷戎壇都節制。丹靑麟閣大功勳。憂危餘閱心逾小。寵遇偏隆謗奈薰。可惜干城天不憗。九原難起李將軍。</text>
<title>輓詞[修撰金尙翼]</title>,<text>吾東亦出李將軍。籌略戎垣獨數君。日月鑒衷渾大照。山河歸誓又奇勳。床頭釼若精神在。枕畔燈惟夢語聞。前夜悲風來撼樹。錦江春草起新墳。</text>
<title>輓詞[臨瀛金尙星]</title>,<text>凌烟勳業李西平。生死君恩短髮明。時逐豪鷹原上去。相看老馬櫪間鳴。談餘不盡呑胡氣。斂處空齎報國誠。旗皷戎垣今寂寞。祈連高塚爲誰營。</text>
<title>輓詞[驪州李壽沆]</title>,<text>素衣江岸哭。歸櫬自王京。雅志危時見。殊恩死地生。塚山今大葬。㫌路舊行營。公去無良將。中朝聖主情。</text>
<title>輓詞[盟末趙顯命]</title>,<text>麒麟羽箭上將軍。隴右家聲臂以猿。橫决虞羅秋隼擊。遍遊雲路逸驥奔。偏紆聖主推心遇。尙記吾兄執手言。緩急他時誰可仗。盟壇往事淚雙翻。</text>
<title>輓詞[完山李眞淳]</title>,<text>將軍黨籍亦編名。刦火經來鬢雪明。時議方深驅鼎钁。聖心終欲保干城。風沙感夢三軍壯。天地酬恩一死輕。畢竟中興良將傳。勳庸伯仲李西平。</text>
<title>輓詞[副護軍崔宗周]</title>,<text>軒天意氣壓欃槍。慷慨螭頭勇請行。雄略固應優坐鎭。沈機不必在專征。邦畿春晏休傳警。漢水波淸報洗兵。竹帛高名麟閣畫。三朝恩遇答昇平。</text>
<title>輓詞[坡平尹彙貞]</title>,<text>干鏌材猷柱石身。明時遭際見君臣。功名戎部超爲長。勳伐雲臺畫有眞。天地覆容曾性命。風霜偃薄尙精神。主恩未報還餘恨。星隕雷號國運屯。</text>
<title>輓詞[烏川鄭俊一]</title>,<text>未易才良世間生。如何將相一時幷。身叢衆鏑人俱重。勢作長城國不輕。八座功名兼懿烈。十年知遇察深誠。朝端忽見公先逝。正想黃扉獨愴情。</text>
<title>輓詞 二首 [壺山宋成明]</title>,<text>倘憶明陵在宥年。禁中初識李宣傳。刀揮偃月龍顔解。箭發流星虎額穿。幾處臨邊專節度。三軍司命畀威權。太平好去公何憾。歸拜先王陟降天。衛社純誠勒鼎勳。偉哉司馬大將軍。曩時藉口皆妖賊。此世知心獨聖君。魯木灾氷眞可怕。唐宸嚴皷不堪聞。干城一撤將誰恃。部曲環途雨泣紛。</text>
<title>輓詞 二首 [全山李光春]</title>,<text>聖代居然失北平。新春哀詔惜精靈。戎壇鞱略無雙士。麟閣勳書第二名。白首自能終孝制。蒼天胡不假稀齡。丹忠未答君恩重。夢語諄諄死淚盈。子龍之膽衛公姿。已矣英雄袞袞悲。孝子戴星行路泣。貞忠扶社聖心知。恩覃澤國唫蘭日。誣絶安園伐竹時。頭白門前長揖客。不堪揮淚送靈輀。</text>
<title>輓詞 二首 [校理吳彦胄]</title>,<text>弓彎五石勇超群。虎步龍驤一世掀。摸畫麒麟二等列。身居司馬大將軍。奬知國士無蕭相。全保功臣有宋君。時勢艱虞元帥逝。秘之無使敵人聞。時當危急見忱誠。手握豊陵矢死生。恃若長城檀道濟。幾乎先斫武元衡。驢奚晩計君恩重。羽獵閒情灞尉輕。大老新騎箕尾去。河魁何處又沉精。</text>
<title>輓詞 三首 [昌寧曹命宗]</title>,<text>將星沈彩海東垠。當代干城失此人。上自悼心親撫髀。釼無知己匣生塵。身輕社稷艱虞日。志篤風波臲卼辰。到死孤忠猶不昧。君恩二字獨精神。風雲方略古將軍。推轂三朝逈出群。半世論兵眞國士。一生知己是明君。恩深魍魎秋邊謫。名壓麒麟閣上勳。他日尼邱南下路。忍看三尺起新墳。台垣餘淚又轅門。殄瘁詩成泣士民。四授戎權穪國寶。再懸弧矢感君恩。讒來無奪傾葵心。死去應爲結草人。可惜音容泉下阻。寒梅猶帶故情存。</text>
<title>輓詞[淸風金錫一]</title>,<text>拔來坑穽再登壇。司馬崇衘長六官。千載君臣交最盛。一心天地炳如丹。英猷乍展勳猶爛。衆怒難平寵更完。聽得諄諄臨歿語。定應河嶽壯東韓。</text>
<title>輓詞[靑松沈錥]</title>,<text>幽狴陰陰隔九閽。危衷難暴只煩寃。天街日月無私照。瘴海風煙亦聖恩。獨躡戎壇精彩變。翻登麟閣畫圖尊。應知裹革初心在。泉下猶憐耿結魂。</text>
<title>輓詞[宗姪天安郡守潤身]</title>,<text>英略繩先武。風期際聖時。勳庸人莫競。忠孝世皆知。不妄曹彬殺。恒敦卻穀詩。居然飄大樹。哀詔九天垂。</text>
<title>輓詞[綾城具熺]</title>,<text>苦心偏荷聖明知。身脫危機掌殿司。丙枕恃安多難日。戎曹望重擢卿時。可憐封爵恩爲號。未報今生恨獨遺。隔夕枉臨仍永訣。白首庚友涕空垂。</text>
<title>輓詞[烏川鄭順一]</title>,<text>如公知遇古無倫。不替始終捴聖仁。萬死身全偏雨露。五營兵釋特絲綸。千秋涅背精忠字。十載銘肝夢語諄。誰復長城防外侮。麟臺遺蹟愴重宸。</text>
<title>輓詞[漢城左尹申光夏]</title>,<text>聖簡在心不采譽。一時恩遇孰公如。班超卿月戎權揔。勳策雲臺鐵券書。閱盡險夷忠益篤。卸來擔負意還舒。忍言臨歿諄諄語。爲國深誠尙未除。</text>
<title>輓詞[全義李德壽]</title>,<text>今年埋却李將軍。萬事空悲錦水雲。雄入九師猶世有。仁沾踈族始公聞。礙眸留屑看時議。羃服傷菑賴聖君。麟閣戎垣渾一夢。南原春草綠侵墳。</text>
<title>輓詞 二首 [昌寧曹潤德]</title>,<text>凌烟往跡忽浮雲。天喪朝鮮一代勳。忍見昔年環衛地。羽林相泣大將軍。英雄誰作百身人。山築祈連塚欲新。可耐獨經長泣處。朱門深鎖綠楊春。</text>
<title>輓詞 二首 [豊山洪重聖]</title>,<text>骨聳眞如快鶻飛。有才能敵萬人威。平生燕頷封候相。對話雍容一布衣。平時聖眷出尋常。緩急安危注意長。漢帝追思祭征虜。唐兵頓失郭汾陽。</text>
<title>輓詞 二首 [完山崔昌億]</title>,<text>倚仗惟公在。朝廷復幾人。功名長司馬。事業畫麒麟。方喜祥琴闋。忽驚龍釼親。丹㫌南下路。寄淚錦江春。纔驚元老逝。忽復失干城。木稼關時運。恩綸見睿情。生前還寵辱。身後亦哀榮。它日麟臺上。長留萬古名。</text>
<title>輓詞 五首 [友人坡平尹東衡]</title>,<text>落落山西骨。儒門點化來。詩書通大義。鞱略擅奇才。奬用三朝久。尊榮上將嵬。弓刀長司馬。更得幾人哉。慷慨登壇涕。艱危捧日誠。天生爲社稷。國倚是干城。鐵券山河誓。雲臺繪畫榮。人言眞福將。君自怕驕盈。火色驚前日。風期遇聖君。那無一死地。誓答再生恩。遭亂忠方著。扶傾節益勤。嗟哉毒舌等。尙可更誣言。悵望祈連塚。悲吟江漢詩。英雄嗟一去。宗國若爲支。部曲攀輀泣。君王聽皷思。凶音宜勿播。怕遣北人知。葱竹遊同隊。桑蓬志已豪。毛錐慙技薄。麟閣仰勳高。門舘追隨地。杯樽瀲灩醪。悲風飄大樹。萬事一霑袍。</text>
<title>輓詞[刑曹判書張鵬翼]</title>,<text>處世若大夢。公胡而至斯。九重失良將。三軍乏貞師。事業具雲水。功名上鼎彛。終始生成渥。最荷聖明知。妙齡才藝盛。中歲望實宜。記余早托交。碁酒得攀追。盛際同獻身。君恩若浹肌。公材宜遠到。我魯此何期。自懷風樹痛。羨他鼎養時。纔報祥琹御。復睹宿硏隨。河魁芒忽墜。卿月影仍。宗祊新有慶。惜不令見之。湖邑戴星奔。棘人備百罹。行路亦涕泗。悲夫慟爲誰。春意回庭竹。凄風振繐帷。神釼期延津。飛旐出漢湄。乾坤日牢落。和淚謾題詞。</text>
<title>輓詞[副司果李著]</title>,<text>賊檄交馳日。天門列衛時。勳名史臣在。忠赤聖君知。慘淡麒麟閣。凄凉虎豹旗。哀綸惜良將。存沒揔殊私。</text>
<title>賜揚武功臣詩 甲戌○英廟回甲誕辰日。召見諸勳臣。以詩寵之。</title>,<text>令辰記憶諸勳臣。禁苑召見契合新。向昔戊申帶礪後。于今筵席幾何人。</text>
<title>風雲歌 甲戌</title>,<text>得勳契合兮寧邦國。君臣俱老兮會此日。无忘在莒兮將磐石。</text>
<title>賜揚武功臣子孫詩 戊申○勘亂舊甲日。召見諸勳臣子孫。以詩寵之。</title>,<text>折衝俎豆豈無人。破竹王師遂不旬。氣作山河諸義士。盟垂帶礪幾勳臣。堪悲板蕩魂爲厲。幸共昇平閣起麟。寧考之思恩及裔。卿曹努力答君親。</text>
