<title>偶吟</title>,<text>水自源頭發。山因絶頂高。欲尋仁智樂。到此便雄豪。</text>
<title>警俗吟贈小荷</title>,<text>鍾漏長安夜。行人猶載路。長歌兼短調。問渠何意趣。旣無詩書業。不識農桑務。所習只投博。所着猶紈素。高䯻仍拍掌。爛唱銅鞮句。固知本性善。贒愚均天賦。安將如此類。朝益又習暮。去莠爲嘉糓。培根成大樹。先師曾有訓。爲我說屢屢。賢公擔負重。何幸聖明遇。庶幾扶頹俗。皇猷恢舊度。</text>
<title>贈李卓遠 根秀○三首</title>,<text>年光冉冉若奔波。逆旅相逢問幾何。渭樹江雲添我思。巴音郢曲屬誰歌。四時舘裏花香淡。萬丈樓邊月影多。一售瑰琦知有日。如今休運頌淸河。冽江流動汪洋波。視子詞源更若何。是日旗亭聊定價。後人石皷復爲歌。麗京幾處觀遊壯。洛士曾年奬詡多。惟有澹寧知己在。行臺征旆渡關河。千尺桃潭也自波。人生離合奈之何。知音鍾子琴中遇。贈別昌黎酒後歌。千里思家明月在。一筇踰嶺白雲多。別懷娓娓言無已。半夜傾來萬斛河。</text>
<title>龍田八景 甲戌</title>,<text>曉風吹霧捲蒼蒼。羅列羣巒短復長。恰似千官朝王帝。銀袍牙笏向靑陽。右主屹朝陽風輕雲淡訪前林。花氣氤氳聽午禽。爲是幽人藏不市。芙蓉簇簇作濃陰。右花枝午陰嘡㗳噌吰似石鍾。子瞻能復善形容。名區似有神靈護。雷雨時時起卧龍。右龍湫飛瀑麻姑曉出白雲家。飄拂霓裳渾體斜。千尺虹橋如可接。仙方應是夕餐霞。右布巖初霞水複山回俗事稀。多時沙鷺覸魚歸。子陵臺古應如許。雨滿靑簑月滿磯。右牛巖漁磯露菊霜楓暮復朝。閒隨牧笛入雲遙。試看塵世錦衣客。幾是買臣前日樵。右馬嶺樵歌松盖浮浮蟾影還。此身疑在畫圖間。姮娥欲拾蒼龍卵。鏡裏雙眉掃遠山。右嵋山松月種德貽孫庶可圖。卧龍岡下卜靈區。方當聖代希聞鳳。喜雨年年養碧梧。右龍岡梧雨排雲主屹接花枝。闢破天荒自有時。飛瀑空林雷響轉。初霞暎日錦文奇。漁人正結臨淵綱。樵客還吟伐木詩。試看龍岡梧雨霽。松間明月上遅遅。右緫八景</text>
<title>卜居葛坪 甲戌</title>,<text>三臺皆卜吉。五氣共調元。蘊藉山當戶。縈回洞闢門。琴書同栗里。鷄犬似桃源。土瘠還無妨。勞勤戒子孫。古人以燕安比於鴆毒。故余以勞勤二字。爲謹守之戒。</text>
<title>送小荷趙侍郞赴箕營 三首○幷小序</title>,<text>鄒夫子嘗言吾聞用夏變夷。未聞用夷變夏者。盖以諸夏之禮。能變夷狄之俗。不可以諸夏之俗。反見變於夷狄也。昔箕子當殷之末周之初。佯狂爲奴。所以示自靖之心也。白馬朝周。所以示不服之義也。至若洪範九疇則武王之訪。非得已之事。而箕子之言。亦不得已也。於是乎惟皇建極。彜倫攸叙。爲萬世法程。逮夫東出朝鮮之日。設八條以敎民。畫井地以立制。椎䯻箕踞之俗。被髮左袵之風。丕變爲禮義之邦。迄于今三千餘年。而國有學州有序。春而絃夏而誦。冠儒冠服儒服。而禮樂文物燦然極備者。卽箕子之化。所以用夏變夷。而其遺風餘韵。漸致禮俗。無復用夷而變夏矣。小荷趙侍郞以特恩巡察西藩。西藩卽箕子舊都也。八條之敎。想必有遺韻。井地之制。想必有遺址。則巡察此藩。觀察此俗。而詎無隔晨觀感之心耶。正風俗立紀綱。不惟公自任爲己責。世亦以此望於公。今當禮俗創始之地。必有因俗利噵之化。竊賀公宣化之得其地。而因賀西民之得賢巡相也。西藩巡察際昇平。牙纛於公不足榮。廊廟江湖俱係戀。進退如今兩難情。朝旭初生驛路催。離懷漠漠悵徘徊。搴帷一視均情款。撫服西民自此推。每望京華工部忱。難忘魏闕晦翁心。也知一片靈臺上。日下長安咫尺臨。</text>
<title>送李進士 喆鉉 歸忠州</title>,<text>兩心相照十年餘。旅榻雍容並起居。聲價已增冀北馬。羇懷忽憶江東魚。莫將韓子開雲手。歸學陶翁帶月鋤。剪燭三更詩有感。離情漠漠不堪書。</text>
<title>與龍岡倅韓 章錫 遊三登三十六洞 乙亥</title>,<text>三登道中一路沿江再駕船。行塵衝拂柳林烟。輕風颯若生肘掖。遠峀居然迫眼前。最喜粱苞黃滿地。却憐雲葉暗垂天。名樓黃鶴知無遠。椎碎人歸問幾年。高峙店雨中晩發路向名區入翠微。如今夙約始無違。輕風最可徐徐旆。細雨何妨濺濺衣。太古螺鬟千萬疊。夕陽牧笛兩三歸。努攀從此多奇觀。快滌胷襟物累稀。黃鶴樓。次崔顥韻。練光之上降仙外。芳草晴川又一樓。誰待晉卿盃艶艶。我思太白意悠悠。淸風帆楫通幽壑。明月絃歌在別洲。烟景雖佳非我土。商聲一曲動鄕愁。自鸚鵡洲。順流下三十六洞。六六洞在鳳山外。石罅往往水渟滙。疊矗有似㙮連層。彫彩或如花結蔕。假使喚起王摩詰。畫筆亦難移三昧。似屛者是丹邱巫。厥恠多於靑州岱。漸入蔗境看不厭。來蘇洞上卽斜界。繚白縈靑經過地。一棹搖蕩探靈恠。兩岸楓菊鮮如錦。九秋令節今將届。忽見老仙刷羽衣。儼然坐在雙獅背。且見夸娥駕雲輧。嬋姸粧出千螺黛。行到石鍾噌吰處。水師漁工不能對。萬壑砯厓雷訇轉。或如怒奔或衝碎。却愛澄潭淨無滓。鏡面相對如見肺。達士騷人時往來。僻在遐徼名不晦。曲曲移舟隨點檢。萬象縈紆心之內。按使題名留石壁。峽俗亦能知愛戴。贒公是遊誰能學。汪洋文瀾從此倍。旣見嵩華兼見歐。子由何幸觀已大。早發蘆灘。掛帆西下。曉日催舟向柳京。林霏乍過洞烟晴。舷頭遠峀千鬟出。櫓下鳴灘萬斛傾。小飮酒如歐老醉。餘音簫若壁江聲。牧丹峰色看相近。滿幅綺羅窈窕明。浮碧樓。敬次牧隱李先生板上韻。大同江水碧。上有縹渺樓。簷端雲萬里。檻外月千秋。往事憑誰問。佳辰屬我遊。滿船簫管載。搖蕩在中流。賦梅花。以暗香浮動踈影橫斜。分韻得香字。瓊枝黯淡葆眞香。閱盡冰霜到一陽。寄友驛亭懷范子。呼妻閨閤見林郞。需才可使調鹽白。獻巧何須鏤蠟黃。月落參橫參悟境。最憐仙夢曉來長。</text>
<title>與水巖南 廷煥 迴綾島而歸。各賦十絶。丙子</title>,<text>浿江從古饒風烟。極目迷茫水接天。上有名亭飄似舶。年年歌舞醉瑤絃。右練光亭僊娥何日下三淸。織出綾羅掛碧城。長時欲浣澄江上。堆積波中一望平。右綾羅島江風山月此樓多。簾影千秋漾碧波。前輩遨遊無處證。臨風一問月中娥。右浮碧樓巖阿春釀百花開。玉乳淙淙酒味回。古有醴泉今見此。呼兒洗酌試斟來。右酒巖從古西城擅衆香。鴉黃粉白倍生光。知緣一朶𦱒丹峀。鍾得精靈在此鄕。右牧丹峰城市山林俗事稀。曇雲寂寂月熹微。數聲鍾磬花間路。釋子聯翩採藥歸。右永明亭高臺眺望物華新。城樹巖花共一春。乙密仙蹤何處見。臨風怊悵後來人。右乙密臺大堤十里樹陰陰。下有長江江水深。春來幾送東歸客。白馬蕭蕭舊路尋。右長林一田百畒界西東。仁賢遺法在其中。治䂓自此推而廣。左海如今一變風。右井田錦繡峰前春水生。乘風搖蕩桂舟行。第見恩波流溢處。滿街伊軋轆轤聲。右大同江</text>
<title>送崔竹塢歸肯州 乙亥</title>,<text>浿柳絲絲意緖新。一旬同醉酒中春。知應後夜相思夢。千里吳洲月向人。</text>
<title>箕營春夜。與小荷共吟。</title>,<text>柳眼梅腮各禀姿。東城來坐好春時。眞機可證方塘水。世事從看石路岐。范老轡車懷素志。蜀民襦袴頌新詞。東風解我留連意。噓送霏霏細雨絲。</text>
<title>贈芝湖，鶴臯二友。二首</title>,<text>唐虞心法有嘉謨。千聖相傳若合符。鏡必待磨塵可祛。田如不耨草應蕪。反躳實得方爲樂。欺世虗名肯忍沽。涵養致知須兩進。孜孜積久是工夫。陰陽動靜極精微。玩索須從善惡機。臨水終朝奚所取。登山竟日却忘歸。盈虛有數來林月。開闔從便見竹扉。萬理雖殊同一本。心常持敬愼無違。</text>
<title>己卯五月。獵鹿於鐵原龍潭。與李進士 景章 共賦。二首</title>,<text>匹馬來尋碧峀東。詩情酒癖與君同。逐原未返虞人獵。占雨還愁少女風。山藉草輝侈美錦。村因楡葉富靑銅。斜陽簑笠臨溪立。也識田翁樂在中。弓王故國鎖靑烟。往事悠悠問水邊。巖畔繫舟惟此地。宮墟遺礎果何年。或霏或驟三朝雨。半石半灰一歲田。太古山深無語對。騷人亦自等參禪。</text>
<title>尙衣院直中 三首○甲申</title>,<text>尙衣院裏遇今年。簪珮趍班惹篆烟。鳥欲鳴春成管響。柳將吐縷學蚕眠。看書所以存心地。干祿徒然爲食天。願借藍田丞壁記。傍吾高揭此樓邊。入直以後。書吏屢以報狀來謂著署。實莫知其所由。正與藍田事相合。末句及之。雪消冰解際新年。御柳金絲織翠烟。繙閱琴書朝有事。靜聽鷄漏夜無眠。微官非繫尋常地。寶衮如臨咫尺天。此日儲宮齊獻壽。退公踧踖鳳池邊。豹直支離日抵年。天門瑞色淡如烟。當窓老樹迎風舞。夾路輕塵帶雨眠。泛應事機棼若緖。靜存心境廓乎天。傍人莫說衣衫薄。儒素元來不餙邊。</text>
<title>楊根道中。敬用先祖暎湖樓韵賦二律。</title>,<text>靑門曉出雨聲多。春意氤氳一倍加。麥翠含萌巖下壠。柳黃生耀澗邊家。旣攀高嶺衝雲黛。更駕扁舟激浪花。此與河源相接否。悠悠千古憶張槎。回首楊江春戀多。馬前山色鬱葱加。去時雨笠巖邊店。歸路風衿柳下家。曠久心懸溫室樹。尋常夢入建章花。頹波擧世滔滔是。兼濟誰同涉險槎。</text>
<title>尙衣院。訪花到玉流泉。</title>,<text>花擁天門一色明。朝袍乘暇作閒行。詩能入妙因成畫。雨且爲佳况趁晴。繡戶重重交纈影。玉流㶁㶁漸聞聲。先王扁詠茅亭上。草木精光賁若生。</text>
<title>和彜堂趙監役 四絶</title>,<text>莠能妨稼幾多年。我欲鋤之日往田。苟不深除應復盛。餘根莫使托那邊。莠之害糓。不徒如人欲之害夫理。異端之害正道。亦猶是焉。苟不牢着脚硬着梁。鮮能超脫於窠臼中。可不戒哉。却怕踈慵到晩年。耘人之畒舍其田。知非補復無他術。收拾經編積案邊。學不爲己而歸於爲人。則眞所謂舍其田而耘人之田。自顧鹵莾。向晩回頭。恐無以補復前非。庸寓自反瞿瞿之意。西園移接已經年。松畔蘭畦共一田。紉珮奏笙幽趣足。隱居何妨市塵邊。蒼松有特立之節。幽蘭有同心之臭。適在於日陟成趣之園。雖謂之城市山林。未爲不可。春無私意遍家家。淡碧深紅爛吐花。却怕狂蜂貪這馥。紛紛掠去任橫斜。上句言天理之渾然純善。品彙萬類。物各付物之意。下句言人心之流於人欲。縱恣難制之意。</text>
<title>與社友共賦 三首</title>,<text>浮世塵冗一切刪。巢書攤飯養吾閒。種桃便是劉郞觀。卜宅堪同謝氏山。燕蹴芹泥歸屋角。蝶隨花馥繞簾間。箇中動靜眞機在。付與川雲自往還。俯仰茫茫誰與先。山蒼水白摠由天。周遊海嶽雲生屐。歸卧巖扃日抵年。鳥語支離芳草際。農歌互答茂林邊。開襟時有淸風至。凈滌塵氛自爽然。僻處田園欲法蕭。閒來萬念湛然消。開簾拜月堪宜夜。繞砌看花每趁朝。山日暎雲光曄曄。壑風撼樹響遙遙。樵歌牧笛時相和。賴此巖窓不寂寥。</text>
<title>題玄風太古軒 丙戌</title>,<text>太古軒窓靜。卧聽皷角鳴。庭花春旭永。院樹午風生。賢範山凝立。忠靈水激聲。悠悠多曠感。付與五言城。</text>
<title>和坪隱族兄 鼎文</title>,<text>微才何幸忝朝紳。翠盖歸來白首人。七事棼棼時急日。一心耿耿夜將晨。梅軒聽訟非佳况。花樹論情最吉辰。庶幾跫音天借便。苞山深處共探春。</text>
<title>和再從弟聖最 海纜</title>,<text>榮親一念積年營。怙恃俱違愧薄誠。河海恩深非素分。風霜苦閱此平生。心盟洛水沙𩿨白。志在苞山夜月明。可愛瓊篇多警切。周庠殷序最關情。</text>
<title>丙戌夏。以稅米裝載次留熊川薺浦。與昌寧倅鄭 基雨 共賦。六首</title>,<text>遅留薺浦歲華催。誰謂薺甘酸若梅。踈雨聲中紅荳曲。淸風灑處綠菖盃。二君從此先歸去。三老緣何尙不來。日夕論衿成雅契。如今同異證岑苔。林霖乍捲洞雲歸。海峽終朝坐翠微。烟柳千絲交帶暎。榴花數樹獨生輝。新蒭醱醅春盈座。細葛飄輕夏適衣。每事無如安所遇。此行遅速任天機。此去玄都路幾重。奇緣偶到照華峰。幽香野圃來花蝶。宿雨巖墻起籜龍。我酒方醺塵念息。君詩先就墨痕濃。異時明月相思夜。却話萍遊此地逢。稅裝浮載大洋中。一棹誠能萬里通。長樂鍾鳴心上的。建章花發夢邊紅。留連蓬戶經旬朔。喚得稍工占雨風。酒一巡餘詩一則。如今趣味未全空。柳似緗簾草似茵。海山風物話津津。蟻盃更進堪逃暑。犀點相通可辟塵。雨後苔紋斑篆額。日邊雲影駁魚鱗。看花偶感遊蜂役。此亦有君亦有臣。稅船裝泊趁庚炎。占雨候風日戒嚴。曠久自然休訟牒。偸閒堪可硏書籤。民天只切豊年願。海屋惟祈 聖壽添。何幸旅窓心寓處。魚香竹氣兩能兼。</text>
<title>金海道中 二首</title>,<text>裝稅有期趁麥秋。僕夫催路未能休。君恩何以纖毫答。民隱常爲一種愁。細雨前村朝秣馬。大江東畔夕維舟。鵬溟於此無多遠。一見扶搖亦壯遊。我欲尋盟沙上𩿨。海窓多日故遅留。白鷗嫌我縻於爵。拳足悠然却似愁。</text>
<title>和族從老啞 東範</title>,<text>爲吏須先辨濁淸。民巖可畏利交征。自慚淟劣斗筲比。却怕廉貪毫釐爭。紫詁移除新邑號。丹山追慕舊家聲。多君雅契相思處。一幅詩章動海城。</text>
<title>題卧龍亭</title>,<text>卧龍亭下卧龍溪。漁釣忘機日欲西。宿霧廓晴奇石出。曲欄迢遞衆山低。登盤葱麥能安分。滿案詩書卽穩棲。努力躋攀君解否。層層雲葉自成梯。</text>
<title>題島峰齋 幷小序</title>,<text>歲丙戌秋。余因盈德赴任之路。歷訪族人善若於島峰齋。嘉植繞垣。碧澗臨門。蕭灑可愛。穩叙情話。韋家花樹之會。罔美於前。因次板上韵。兩水之間一境幽。小亭新築卽名區。詩楹背峽來樵笛。經案臨郊聽里謳。蕭灑精神寒月朗。文明氣像霽霞浮。把箋欲記玆遊勝。花樹風前彩翰流。</text>
<title>題盈德東軒 幷小序</title>,<text>寧海，盈德。便是一境也。昔我先祖文僖公莅寧海府。化行俗美。至今流芳。而余以不肖孫繼莅盈德。追慕先蹟。不勝感愴。謹用先祖暎湖樓韻而庸寓感慕之懷。揭于廳事之壁。此去丹邱路幾多。連天海色望中加。桑麻務本閒閒俗。漁釣沿邊曲曲家。歲久桐鄕因積蔭。春回梅閣更看花。如何濟險能承武。萬里鵬溟艤小槎。</text>
<title>次追慕齋蓮塘韻</title>,<text>手植塘蓮愛賞秋。根芽相繼永傳休。知應芳㓗同君子。何必嬋娟較莫愁。釀葉堪成酬客燕。開花須着降仙舟。曾年一覽渾如夢。爲待佳辰更卜遊。</text>
<title>知三宜遺址。用暎湖樓韻。丁亥</title>,<text>梓鄕五百閱年多。此日雲仍愴倍加。歷歷大江臨洞壑。依依遺井傍村家。新梅東閣方生蔕。叢桂南山幾度花。望裏鼎原隣近在。楸行朝艤渡頭槎。</text>
<title>祭退溪先生墓。和痴翁韵。</title>,<text>微才知縣猥新榮。得拜先師小展誠。元禮門前通舊好。王倫潭上見深情。十年共賞山花發。此日同憐鬢雪明。流水古松終繫戀。却望聞喜便如幷。</text>
<title>次近民堂板上韻</title>,<text>宣城吾梓鄕。麗水又佳山。至今知三里。遺躅尙可攀。退陶夫子宅。赫赫又此間。習俗能知禮。遺風可廉頑。微才猥知縣。洞屬整容顔。土瘠民惟儉。邑小事亦閒。遙夜望美樓。月色漲前灣。陽春製錦軒。風光正相關。滁水甘如此。忘却世路艱。短驪淸凉路。信足任往還。</text>
<title>登南漢山城</title>,<text>寶籙王家久久遅。終南雄鎭賴扶持。冠山列若壘前戟。松渡還爲城下池。往事已歸風靜浪。忠心尙激蕙歎芝。今其功罪難形說。強把花前酒一巵。</text>
<title>敬次退溪先生仙巖韻 三首</title>,<text>翠壁丹崖繪素氊。如琢如磨又如鐫。澄泓復有臺前水。雲影徘徊霽後天。靈境三巖曲曲深。一經杖屨已超凡。卽自先生題品後。佛巖終改作仙巖。僊巖奇賞古今同。從此能超佛界中。地必待人能擅勝。賀渠得遇退陶翁。</text>
<title>敬次退溪先生龜潭韻</title>,<text>先生莅邑玉筍東。杖屨逍遙石逕通。草木欣欣精彩裏。江山歷歷畫圖中。寒水留看今夜月。遺氓來說往時風。晩生繼作丹邱吏。潭上優遊庶幾同。</text>
<title>次李參判莞爾 寅龜 元朝韻 幷小序○戊子</title>,<text>丹山卽我桑梓舊鄕也。山水之勝。擅於域內。而莞爾先生隱居行義於其中。余自少時。飽聞聲華。願附下風。而縻於仕路。納刺尙遅。今適來守玆土。源源晉候於經床之下。夙昔之願。於是乎遂矣。元朝韻一則。盥手三復。令人消胷中鄙吝。遂忘拙謹次。心學精微見得眞。八旬休養泰平辰。簞瓢至樂勤孜業。緋玉優恩蘊藉身。向仰高風曾幾歲。叨承警誨幸今春。梅軒莊讀元朝詠。花馥詩香共逼人。</text>
<title>題寧越聽流軒</title>,<text>山東梅閣枕江流。公暇吟觴足暢幽。地僻凡氓居友鹿。官閒老卒伴眠鷗。微風畫角頻醒耳。新月緗簾半上鉤。莫問丹砂存與否。我於句漏不曾求。</text>
<title>揭平近堂 二首</title>,<text>昔讀莊陵誌。今行適此州。寒霜彰節院。微月子䂓樓。往事留靑嶂。幽懷付碧流。肅廟徽典擧。輿誦亘千秋。關東名勝擅玆州。碧水蒼山拱一樓。郡港蛟稀猶可幸。官厨肉乏亦非愁。如何徵斂休無日。祗此耕耘望有秋。莫道前灣多壯觀。民憂不暇任風流。</text>
<title>與兪光州 致▣，吳承旨 德泳 會莊寢共賦。</title>,<text>寢樹迷茫夕照時。行人到此故遅遅。宜乎冬乙山無語。其或淸凉水有知。依舊鶯聲生柳岸。至今鵑夢繞花枝。詩膓曠感皆同操。節物悠悠幾換移。復位以前。越谷無鶯聲。六臣伸寃之前。牛避鷺梁之沙矣。復位伸寃之後。皆依舊。故後人有詩曰鸎啼寧越谷。牛踏𪆽梁沙。</text>
<title>次莊陵令柳小溪 道夔 生朝韵</title>,<text>庚友弧辰此日回。蒼顔白髮鏡中催。詩成一格花生軸。夢繞三刀月滿臺。齋舍今朝雖獨酌。官厨來歲有深盃。願言是際同隣境。吾且往之君又來。</text>
<title>居官自警 十首</title>,<text>才微責重典符金。想古循良懿蹟尋。報答昇平惟在此。玉樓高處繞丹心。推明覇鐵與王金。偏邑何妨古制尋。羣黎安業無他術。養老慈孤各盡心。十産民家直百金。租錢又復日徵尋。急時公貨收將刷。不得已刑不忍心。爲官苟討一繦金。民害百千也自尋。哀哀赤子號無告。是豈吾君博施心。牧民如欲奪民金。放辟侈奢次第尋。悖入之財應悖出。伊時無及悔追心。吏奸事事蠧民金。團束無如杖日尋。愧我禀姿柔太妨。立字工夫佩一心。一經斷案重千金。纖毫曲直可推尋。若於此處多翻覆。其奈輿民㤪懟心。賢賢無或爾音金。諮得方便道理尋。欲使吏民不欺我。宜先自我不欺心。詩書滿案騰籯金。名敎之中樂地尋。鄕居飮約遵成法。興起斯民禮讓心。吾將永矢矢貞金。賢聖遺謨何處尋。操舍之間興替繫。相傳要訣在治心。</text>
<title>鄕飮禮韻</title>,<text>棠梅釀得太和春。三代威儀更見眞。禮俗相交風自動。德門初入日惟新。絃歌互發洋洋地。䂓步同歸濟濟人。擧以措之知有𧗱。斯民仁壽比成隣。</text>
<title>與柳小溪共賦</title>,<text>舊雨相逢此日情。滿庭芳樹午陰淸。風霜閱歷塵機息。山水峩洋韻事生。靑玉案頭看亥字。黃柑酒後聽鸝聲。滄浪自取堪爲戒。留待何時可濯纓。</text>
<title>陰竹梨亭逢權上舍 濬</title>,<text>吾儕邂逅艶陽天。晩契欣然便忘年。百世淸風寒水後。三塲元試曲江邊。幽情不妨緣詩瘦。雅會還嫌帶酒眠。白雪巴音聊屬和。悲歌何必古稱燕。</text>
<title>歲庚寅夏。守莒城府。値回甲日。長兒自京師下來。而洛中知舊多寄贈壽韵。故余亦續而和之。庸寓素懷。</title>,<text>六旬心事聽于天。隨處瞿瞿戒滿圓。十載宦遊只祿仕。一生尊慕是仁賢。痛吾父母劬勞日。笑爾兒孫獻壽筵。却猥官厨餼廩繼。無巡賓酌互相傳。</text>
<title>用前韻戒兒孫</title>,<text>愛吾諸子祝于天。花未開時月未圓。每事憂勤方做業。後生師儉庶希賢。操身莫近娼優戱。涉世無參酒披筵。敎以詩書修以禮。一家模範永相傳。</text>
<title>泗陽書堂。行庭揖禮後。用鹿峰板上韻贈會中。</title>,<text>庭揖彬彬禮有名。泗陽今日始觀成。操心勿失遵繩步。正己咸聽讀法聲。進退周旋同軌範。歡欣感發注輿情。名區藹藹多佳士。儘覺人才鍾地靈。</text>
<title>步前韻。贈錦湖李兄炳淵。</title>,<text>眞儒實踐不浮名。白鹿遺䂓今復成。棐几恒留疑禮說。巖窓時聞讀書聲。簞瓢巷裏勤孜業。風雨床前友愛情。心學精微知有得。滿腔春意一虗靈。</text>
<title>次暎碧亭韻</title>,<text>水碧沙明暎一汀。牙翁當日築斯亭。至今全擅東南勝。長使遊人去馬停。</text>
<title>次有華堂韻</title>,<text>名區蕭灑屋初成。九九秋容澹且淸。隱逸中花同趣味。炳靈氏葉繼家聲。農桑事業安吾分。詩禮䂓模啓後程。多賀邇來開講席。彬彬韋布會羣英。</text>
<title>和聞慶倅李 寅冕</title>,<text>我愛賢侯犀鑑明。萍鄕晩契見眞情。往年惠顧新蒭醱。此夜忻逢皓月生。峽邑交承知善政。衡門咫尺溢治聲。大材小用誠堪惜。誰作邦家萬里城。</text>
