<title>順陵齋室偶吟</title>,<text>已負平生計。誰爲此日謀。沉吟猶未决。難去亦難留。</text>
<title>春睡</title>,<text>春來專以睡爲鄕。終日頹然不下床。直到黃昏方始覺。月林脩竹送微凉。</text>
<title>戒口</title>,<text>玄牝門前白石城。吉凶榮辱所由生。卽今人世多喧聒。須戒三緘莫出聲。</text>
<title>戒家兒</title>,<text>冥行不必問西東。前路奚論塞與通。只汝一生眞事業。在家爲孝國爲忠。</text>
<title>醉吟</title>,<text>三盃卯酒山翁醉。醉後寧知白首心。掀出昔年豪爽氣。鍊成長句一高吟。</text>
<title>睡起</title>,<text>細雨茅簷春睡美。隔窓嬌鳥夢中聞。覺來紅日已三丈。謝眺靑山弘景雲。</text>
<title>詠春</title>,<text>春來無日不唔咿。有作盈箱謾自奇。琢句欲成仍倚枕。夢中虛囈亦吟詩。</text>
<title>俠客 二首</title>,<text>司隷羊眠禁漏殘。五陵年少簇金鞍。屠間會飮分曹去。探得囊中赤黑丸。八尺長身三尺劒。蓬頭突鬂虎而冠。咸陽不逐荊卿去。閑弄宜僚十二丸。</text>
<title>出塞曲</title>,<text>層氷千尺閣河源。雪撲紅旗凍不飜。萬里橫戈經百戰。黃金臺上感君恩。</text>
<title>塞下曲</title>,<text>海上單于秋色來。淸笳聲入塞雲哀。遙看一點黃塵起。候騎平原躍馬廻。</text>
<title>春雨</title>,<text>微微春雨過前山。柳綠桃紅數日間。認是化工神筆下。丹靑畫出太平顔。</text>
<title>監戒</title>,<text>富貴榮華一夢催。天時人事劇環回。朱門自古多賓客。吊者飜隨賀者來。</text>
<title>夢遊城西</title>,<text>追思往事水東流。五十年間一轉頭。癡夢不知身已老。白門猶作舊時遊。</text>
<title>贈庶宗姪 潠 歸永平</title>,<text>湖雲秦樹路漫漫。此後重逢難又難。爲把靑山明月色。贈君歸作夢中看。</text>
<title>撫劒</title>,<text>休將長鋏彈無輿。欲斬呑舟大海魚。磨汝十年終不試。夜來光射斗牛墟。</text>
<title>夢覺</title>,<text>吾昏曾不爲身謀。誤向長安陌上遊。一夢十年今始覺。世間無地可埋愁。</text>
<title>兒捕鳴蟬</title>,<text>西園雨後夕陽時。綠樹陰濃第幾枝。淸切一聲猶未了。閃來何處薄情兒。</text>
<title>兒捕蜻蜓</title>,<text>裸體扶扶被髮兒。僂行持箒繞踈籬。勞心盡日終何得。生捕蜻蜓雀躍歸。</text>
<title>逢春有感</title>,<text>衰病沉年且莫悲。生初卽與死爲期。會將乘化悠然去。不向西山怨落暉。</text>
<title>微雨乍過。新月在山。</title>,<text>窓前細響暗蕭蕭。側耳聞來更寂寥。微雨乍過凉籟動。一眉晴月在山腰。</text>
<title>朝日</title>,<text>凉凉朝日輾晴天。六合淸新萬象鮮。安得騰身跨汗漫。往敎羲馭莫催鞭。</text>
<title>新月</title>,<text>亭亭新月出東林。千古精神半片金。無限世間今夜望。一時憂樂幾人心。</text>
<title>白華山 以下五絶。留泰衙時漫詠。</title>,<text>白帝金精聳太淸。攢巒叢崿玉崢嶸。蹲蹲拍拍皆生動。仰首靑天奮欲行。</text>
<title>淸朝卽事</title>,<text>睡罷開窓坐聳肩。滿襟淸思自悠然。朝來白華山眞面。爲乞新詩立我前。</text>
<title>無辨</title>,<text>不言非我不能言。笑罵從他衆口喧。彼以呶呶吾默默。本來無怨又無恩。</text>
<title>東城外人家桃花。抽出城上。</title>,<text>緋桃一樹曉粧新。閃出城頭露半身。却訝東家墻內女。乍牽春意暗窺人。</text>
<title>晝眠</title>,<text>拋却羣書散不收。吟魂長向睡鄕遊。脫冠終日頹然卧。簾外靑山笑白頭。</text>
<title>樵童折花</title>,<text>樵兒頭揷杜鵑花。歸路逢人輒自誇。羣童競問折來處。笑指西巖溪水涯。附次 舍季元素滿郊芳草滿山花。爛熳韶光媚欲誇。何處一聲風外滑。夕陽鸎囀水西涯。</text>
<title>春雨</title>,<text>微微小雨細沾簑。滿地蔞蒿已吐芽。欲問春耕時早晩。杖藜來訪老農家。</text>
<title>追悼舊游諸公</title>,<text>貴介風流碧落仙。沁園春日昔開筵。依然往事渾如夢。回首存亡十五年。右悼靑平沈都尉 益顯歷事三朝肺腑親。衮衣猶似布衣人。世間多少驚心事。應到雲鄕一泣陳。右悼張尙書靜之 善澂木蘭寺裏昔相隨。甚矣當時我不知。晩節方看黃菊蘂。獨將馨德傲霜威。右悼南尙書雲卿 龍翼氣岸軒然亶宇寬。深如河海重如山。世間飜覆尋常事。一下台階更不還。右悼晩休趙相國 師錫枚卜當年鬂未斑。三朝盡瘁尙韶顔。匀天亦有無人歎。不遣文星久世間。右悼文谷金相國 壽恒持身恭儉似寒儒。一段淸氷在玉壺。不見世間他日事。太平時節返黃壚。右悼鄭相國 致和唾棄人間軒冕榮。獨專淸福過平生。溪堂一掩笙歌散。唯有寒泉日夜鳴。右悼李尙州大而 恢神凝秋水氣凌雲。詩似靑蓮筆右軍。却向豐城埋寶劒。獨留花竹帶淸芬。右悼金沔川廷叟 壽賓系出延平府院君。身爲白面大將軍。秪今陳迹西湖上。唯有江東日暮雲。右悼李參判仲習 慣斯文不幸哲人萎。大道難行叔季時。回首廣灘絃誦地。獨留寒月映緇帷。右悼玄石朴相國 世采誠深愛日色怡愉。白首斑衣手弄雛。完取令名乘化去。世間從此好人無。右悼黃承旨君玉 玧</text>
<title>春日卽事</title>,<text>桃花初發杏花飛。細雨溪村半掩扉。耕罷野翁攲篛笠。蔞蒿田畔叱牛歸。</text>
<title>田家</title>,<text>黃猧搖尾出柴扉。向夕村婆乞火歸。更有癡兒經索飯。却來厨下泣牽衣。</text>
<title>栗園羣童</title>,<text>童騎竹馬走相呼。栗熟西園可疾趨。直待回風吹落地。仰看高樹立踟躕。</text>
<title>新凉</title>,<text>淸晨起向小窓開。雨後西山爽氣來。露泣凉梧庭綠歇。石階新長錦紋苔。</text>
<title>晝寢</title>,<text>坐則看書卧則睡。睡初醒後復看書。看書未了還思睡。睡欲來時膝已舒。</text>
<title>次雙溪亭藥泉南相國韻 二首</title>,<text>雙澗相叉夾一丘。翼然飛閣半空浮。滿窓波月淸虛枕。碧玉寒聲入夢流。美政君如陳太丘。歸來心與白雲浮。相隨獨有雙溪月。盡夜溪流月不流。原韻兩水灣廻一小丘。茅簷瀟灑鏡中浮。終宵客夢愁寒雨。曉起開窓是玉流。</text>
<title>春曉睡起</title>,<text>春曉虛窓襯眼霞。起看西塢月猶斜。白頭短髮千梳罷。催喚兒孫背癢爬。</text>
<title>移種牧丹躑躅</title>,<text>移來躑躅牧丹株。辛苦栽培不亦迂。直待明年初夏節。此翁留見此花無。</text>
<title>西巖竹林寺八詠</title>,<text>玉立尖峯聳欲飛。初霞餘影閃斜暉。千年一色猶依舊。華盖仙君去不歸。右艮岑淸輝矗立巉巖若虎蹲。頹墻破堞至今存。前朝往事憑誰問。荒戍遺墟月一痕。右餘城石色西嶽崚𡾓入太淸。扶桑初日最先明。生憎五色丹山鳥。不向岐陽試一鳴。右隱鳳朝陽前郊暝色漸依然。來自巫山細和烟。知有靈湫神物助。孰云懷寶但耽眠。右宿龍暮雨云是秦時避世村。千春流水隔眞源。沿溪恐有漁舟入。莫遣桃花出洞門。右武陵晴波舂容初似動春雷。寥亮還隨暝靄催。遙自白雲紅樹裏。數聲搖月出山來。右文寺晩鐘逆節縈廻鳴玦環。五層蒼石玉爲顔。山陰引灌非天作。爭似流觴自往還。右盤巖曲水霽後烟消日照時。忽看巖觜瀉琉璃。誰將一派銀河水。界破靑山白練垂。右聖洞懸瀑</text>
<title>鳴蟬</title>,<text>處勢淸高兩翼飛。螗螂何事暗相窺。從來逸韻媒奇禍。爾若無聲彼豈知。</text>
<title>覽壺谷集有感 幷小序</title>,<text>昔在丙戌歲。余與故李參判仲習，南尙書雲卿李別坐汝章及李尙州士常。同棲于水落山之隱仙庵。戲語相謔時。雲卿卒然問曰。吾儕器量各有大小。我何器也。余答以汝是白玉鍾子。器之貴者。雲卿忿然曰。汝輩何器也。余答以吾輩皆是濩落匏樽。雲卿色甚不悅。一座大𠽁而止矣。今皆爲千古人。獨余與士常在世矣。昨有投示壺谷集者。壺谷卽雲卿號也。其集中有擢拜銓長兼典文衡後所作。當時玉鍾之應讖。可謂侈矣。因感而追步其韻。負笈仙庵昔共勞。一時談士數吾曹。誰知白玉雕鎪器。獨泛虛舟學海濤。</text>
<title>沇兒逸樂窩四詠</title>,<text>鼕鼕遙自釋王宮。響動蒲牢轉碧空。想見上房齋罷後。石門斜日滿窓櫳。右東寺晩鍾海外山含日半邊。暮潮初上水連天。遙看一葉中流泛。不是商船定釣船。右西浦遠帆初從東嶺照西林。輾出中天湧活金。淸影不隨流水去。一輪長印碧潭心。右南溪新月羃似微雲暗似塵。峯頭忽失石嶙峋。應嫌俗眼窺眞境。故鎖孱顔不示人。右北峀初霞</text>
<title>幽居卽事</title>,<text>細雨淸潭水不波。滿堤紅蓼映靑荷。其間白首西巖老。孤倚南窓盡日哦。</text>
<title>詠秋</title>,<text>旅鴈高飛叫一聲。銀河寒淡白雲輕。幽人夢罷山窓下。露泣凉梧月五更。</text>
<title>次永平白鷺洲韻</title>,<text>沙明影滅洲邊鷺。山碧光增嶺上雲。我以白頭添一白。嶺雲洲鷺與爲羣。</text>
<title>冬暖</title>,<text>溪村微雨細如塵。冬日和風暖欲春。燠室老人開戶坐。禿頭猶岸白綸巾。</text>
<title>記實 幷小序</title>,<text>頃年余嘗有詩曰。客來松逕苔黏屐。僧汲巖泉月滿甌。今見白香山詩云逕滑苔黏屐。余述懷詩曰。翰墨新工獺祭魚。詩書舊業戈舂黍。今見香山詩。全無一字加减。余悼亡友詩曰。惠已先歸莊舌寢。元今長逝白詩亡。又曰從丹丘歿斷襟期。自杜陵亡廢作詩。今見香山詩云惠死莊杜口。鍾亡牙廢琴。又云從哭李來傷道氣。自亡元後减詩情。余詠月詩曰。溪月不隨流水去。曉來猶印石潭心。今見趙汝愚詩云江月不隨流水去。天風常送海濤來。余悼亡室詩曰。枕上謾滋今夜淚。篋中猶貯去年書。今見香山詩云衣上今宵淚。篋中前月書。古今人不相及。有如天壤。而如是暗合者。甚可恠也。余自少只見香山詩之出於古文前集者而已。今始印得其全帙。間間披覽。方知詩人意思無論高下。或有偶爲一般處也。至於戈舂黍一句。少無差異。自不能無疑。旣已刪改其句。仍以反覆深思而解之曰。余自少時。懶不讀書。但於與人論文時。聞一警語。或於披覽書籍時。見一新話。則常時雖已忘置。至於操筆吟哦之際。忽然自來爲詩料。則此無乃曾於昔年聽人吟誦此句。而今乃閃出於搆思之際耶。祭魚舂黍之文字。曾見於堯山堂記而悅之。仍成此句。今乃爲恠訝事。故書以識之耳。李文純有言曰剽竊人文字。終未免捕逐四出。今余此事。亦將與此同歸則寃矣。玆以一絶記實。衆竅齊呼一㨾風。調刀幷出自然中。自然中有聲相合。瓦釜洪鍾大抵同。近又閱芝峯類說。以戈舂黍全句。爲佔畢齋詩。而不言初出於白香山。豈芝峯未嘗慣見香山集耶。佔畢非剽竊古詩之人。必與香山暗合如吾者。固宜自服爲剽竊也。</text>
<title>自慨</title>,<text>白戰嘗登上將壇。晩歸空谷伴幽蘭。文塲大敵如相遇。吾老猶堪一據鞍。</text>
<title>聞朝家方築壇建門。以伸千古君臣之大義。</title>,<text>天階九級聳寒空。北極祥雲一朶紅。陟降聖靈如有在。更加冥佑眷吾東。</text>
<title>贈李尙州叔謙 益著</title>,<text>琢句何嘗用意爲。偶然吟得輒書之。煩君大眼休高論。先數吾年後看詩。</text>
<title>遣懷</title>,<text>朝來白粥一盂多。酸綠冬葅味更嘉。喫罷頹然捫腹卧。滿窓晴日竹陰斜。</text>
<title>雪夜寓興</title>,<text>虛窓相對臘前梅。雪裏吟魂喚不廻。詩在灞橋驢背上。若爲追拾取將來。</text>
<title>寓懷</title>,<text>申椒誰道不爲芳。戀闕何嘗一飯忘。白首微臣芹曝悃。願將吾壽獻吾王。</text>
<title>雞將衆雛。亂趨庭粟。爲過鴟所攫。</title>,<text>低飛鴟目正離婁。其下雌雞引衆雛。未悟利爪將一攫。只貪庭粟競奔趨。太玄經云。離如婁如。赤肉鴟鴞。</text>
<title>夢見桃花盛開</title>,<text>倚枕咿唔句未裁。詩魂却喚睡魔來。無端午夢依俙裏。窓外桃花帶雨開。</text>
<title>蜻蜓</title>,<text>綃翼金眸品質微。暖風晴日作團飛。蜘蛛結網童持箒。莫向其間觸禍機。</text>
<title>樵叟</title>,<text>背負枯薪白髮翁。摘來山果滿懷中。入門分與諸孫食。紛集庭前竹馬童。</text>
<title>見躑躅已衰。芍藥方開。</title>,<text>淺深俱是渥然丹。芍藥方開躑躅殘。只以盛衰先後異。一時分作兩般看。</text>
<title>聞安東府伯六松李季泉 善溥 除湖西伯。俄以觴政論遞。</title>,<text>福星飜作酒星廻。笑把虛名付一盃。憂國細傾元不惡。半途誰送赤丸來。</text>
<title>閑居春夜</title>,<text>千竿脩竹兩株梅。我與淸風明月來。風定月斜人亦睡。竹陰梅影滿靑苔。</text>
<title>詠芍藥</title>,<text>拿下炎官赤火傘。脫來王母紫羅裳。照吾白鬂成丹渥。似爲衰人戲一塲。</text>
<title>誡賤孫幼鵕</title>,<text>薄其衣食鄙其身。使自知爲素賤人。然後習成恭謹質。家之賢子國忠臣。</text>
<title>悼亡弟</title>,<text>長夜漫漫不肎明。此翁無寐獨呑聲。朝來過雨寒窓入。知爾精靈泣別兄。</text>
<title>亡弟遠日已迫。心事甚惡。夜不能寐。自然吟得。</title>,<text>百劫毫端集一塵。不知何物是吾身。西巖夜夜寒溪月。虛照靑山影裏人。</text>
<title>詠竹</title>,<text>啼風瘦竹萬竿脩。碧玉寒聲月下流。流入繡膓藏不得。吐成瓊什更颼飀。</text>
<title>病中寄六松</title>,<text>我病應難復見君。以言留贈豈空文。須將宦海升沉事。看作秋空一片雲。</text>
<title>次壺谷見贈韻</title>,<text>壺谷南觀察。今朝辱贈詩。已經多歲月。猶記少年時。白雪君能唱。靑雲我未期。東籬霜菊晩。一醉但相宜。原韻 兼寄任度卿量濩落任公釣。淸新李白詩。相逢菊花節。共說布衣時。聚散渾如夢。升沉本不期。惟當各努力。大器晩成宜。</text>
<title>秋夜吟</title>,<text>西風起木末。凉露滴空林。水國霜前鴈。溪村月下砧。沖虛淸夜氣。感愴暮年心。默坐渾無寐。詩成獨自吟。</text>
<title>壬子秋赴河八縣 以下三律。宰河八時漫詠。</title>,<text>四面平如掌。官居獨負堣。孤村八九聚。小吏二三趨。蔀屋民皆散。荒田苗則枯。只憑虛簿裏。又索去年租。</text>
<title>寄再從兄李督郵 尙悌</title>,<text>晩出紅塵路。中材涉末流。兄今不記馬。弟亦困呼牛。漏盡將奚適。途窮訖可休。歸期吾已卜。木落艮岑秋。</text>
<title>偶吟</title>,<text>獨立人間世。傍看一逕斜。不知牛有角。誰謂雀無牙。擿埴將安適。臨歧謾自嗟。鐘鳴漏已盡。上策是歸家。</text>
<title>夜吟</title>,<text>世事君休說。人言我欲聾。湖山今夜月。天地已秋風。一曲長歌放。三盃大道通。㗳然無語坐。白首是何翁。</text>
<title>歲暮</title>,<text>十二月將盡。嗟乎歲去忙。凍雲凝不散。殘日冷無陽。熨背黏溫堗。緩愁用急觴。新春看又近。衰鬂已添霜。</text>
<title>秋夜書懷</title>,<text>客斷柴門掩。林塘寂寞中。山寒秋有月。松靜夜無風。柔翰徒頻染。單瓢任屢空。咿唔終不輟。詩豈使人窮。</text>
<title>雨餘</title>,<text>昨夜春塘雨。朝來霽景鮮。鷺飛烟縷破。魚躍浪痕圓。紅杏阿初日。靑山似少年。西疇方有事。荷鍤步川川。</text>
<title>己未秋。送澤兒赴西塞邊任。</title>,<text>父曰嗟余子。懷哉曷月還。登樓望漢日。立馬視胡山。旣有飛騰志。寧爲離別顔。功名倘來物。在汝亦無難。</text>
<title>夜卧不寐。憶亡友金元瑞，辛龍卿，黃君玉。</title>,<text>老翁耿不寐。秋夜一何長。舊事依俙憶。親朋次第亡。靑無三友眼。白有四郊楊。衰謝徒吾在。潸然泣數行。</text>
<title>次前川李叔固 垈 韻</title>,<text>雨後靑山面。朝來麗景新。自然忘俗累。聊以養吾眞。遇興開樽數。哦詩染翰頻。回看浮世狹。宜屈不宜伸。原韻渚柳迎風亞。野花得雨新。耽看植物性。相對愛天眞。排悶題詩急。瀉情喚酒頻。生憎走俗子。謂曲以爲伸。</text>
<title>漫詠</title>,<text>盡日塊然坐。沖虛萬慮休。孰知吾喪我。未覺蝶爲周。俯仰乾坤大。優游歲月流。身閑心自適。無樂亦無憂。</text>
<title>夏雲</title>,<text>大火流雲氣。凝成萬疊山。浮來蒼遠外。聳出渺茫間。搖漾金鰲背。參差玉女鬟。蘇耽乘白鶴。應向此中還。</text>
<title>歎老</title>,<text>逝歲催人老。前期似水傾。衰齡垂七甲。殘暑過三庚。霧眼揩還暗。霜髯鑷復生。謾將悲苦意。輸入五言城。</text>
<title>閑居漫吟</title>,<text>世棄曾無慍。家貧亦不憂。年來忘俗累。老去得天遊。月當千金子。詩輕萬戶侯。終身爲至樂。此外復何求。康節詩云。風花雪月千金子。又云。千首詩輕萬戶侯。</text>
<title>登白華山 以下三律。留泰衙時漫詠。</title>,<text>迥立層巖上。高歌宇宙間。九秋紅錦葉。千古白華山。落日孤雲外。長天獨鳥還。故園飜入望。遙識艮岑顔。</text>
<title>逢秋思歸</title>,<text>白首蘇州客。思歸久未歸。孤雲猶北去。旅鴈又南飛。山面逢秋瘦。溪聲得雨肥。風光與節物。感我涕沾衣。</text>
<title>登安興將臺。與城將因泛前洋。</title>,<text>晩艤黃龍舳。相迎白髮翁。山圍雲母障。蜃闢水晶宮。日月空明裏。乾坤黯淡中。夕陽扶醉返。天借一帆風。</text>
<title>寄六松</title>,<text>脫去脊梁擔。歸來守故庵。烏枝難借一。蚕箔過眠三。窮阨吾無媿。榮名子莫貪。天長秋色遠。何必眺東南。</text>
<title>歎老</title>,<text>已誤平生計。誰憐近死心。無愁猶欝悒。不病亦呻吟。漸覺容顔改。偏驚歲月深。敢云連抱木。虛老此空林。</text>
<title>西巖急漲</title>,<text>雨後西巖水。晴雷轉石門。初從深洞出。直向遠郊奔。怒蹴山根動。驚掀地軸飜。滔滔萬里去。幾日到河源。</text>
<title>夜坐漫吟</title>,<text>靜夜沖虛氣。混如太古時。天長雲去懶。山峻月昇遲。獨坐無誰語。孤吟有所思。擧頭瞻北極。何處是京師。</text>
<title>登高</title>,<text>醉倚峯頭石。大觀天地中。胷呑雲夢濶。詩較洞庭雄。世路何其狹。君門不可通。塵歧日已暮。且莫問西東。</text>
<title>林亭獨坐</title>,<text>獨坐靑林下。長歌浩浩歌。功名何有我。富貴亦任他。地僻逢人少。天空得月多。關心無一事。遇興輒吟哦。</text>
<title>偶吟</title>,<text>衰旺元無定。循環若轉輪。福兮禍所倚。名者實之賓。昨日非今日。新人豈舊人。前宵風雨後。又看一番春。</text>
<title>詠懷</title>,<text>昔到長安陌。朱門暫曳裾。浮名看白蟻。拙技媿黔驢。失迹還蓬累。終身卧草廬。逢人無別語。農事問何如。</text>
<title>竹</title>,<text>我有千竿竹。何如萬戶侯。森羅甚正直。簇立自淸脩。嫰葉迎風亞。新芽得雨抽。山空日已暮。翠袖玉人愁。</text>
<title>霽後</title>,<text>霽後淸新景。依依入望來。鷺穿山影去。鴉帶夕陽廻。以爾閑中物。爲吾筆下財。模移眞態度。輸與小詩裁。</text>
<title>靜居</title>,<text>七十年將滿。餘生朝暮人。藥難添氣力。詩亦費精神。斂迹湖山外。游心寂寞濱。閉門仍省事。聊以養吾眞。</text>
<title>擇勝亭 幷小序</title>,<text>昔余故友丹丘翁。嘗寓雲川農舍。舍湫陋。客來無偶坐處。遂造此亭。狀如簑笠。塗以厚紙。漆以桐油。又架一屋於其上而包之。名曰擇勝亭。盖以擇其勝地而隨意移置也。邀余寢卧于其中而相樂也。過數歲。此翁捐舍。而此亭留在雲川。雲川之距本家隔一坪。諸孤在苫塊中。姑不暇肎堂。恐爲風雨所破。遂以歸之我。邇來十數年。移置竹林間。每於烟朝月夕。入其室。如見其人。以詩志感亦多矣。乃今余小子沇。性喜水石。卜居於伽倻山之逸樂洞。洞有小溪。溪上得隙地。纍石築土。先造重屋。一如丹丘翁昔日之爲。亭前鑿雙池。池上雜植花木。溪亭形勝。可謂具體而微。余聞而喜甚。思欲一往。先賦五言一律。仍叙其始終。以示兩家子弟云爾。樂洞小溪潯。窩移自艮岑。排巖仍作砌。栽竹已成林。重屋簷長短。雙塘水淺深。丹丘相望地。回首却傷心。</text>
<title>詠懷</title>,<text>夙有飛騰志。今爲寂寞身。靑緺曾誤我。白髮且欺人。歡意年年謝。窮愁日日新。悄然無與語。默坐對松筠。</text>
<title>傷秋</title>,<text>歲事駸駸去。重陽看又過。風林驚夕鳥。露草濕秋蛾。白髮從衰得。丹心奈老何。幽懷無以瀉。獨坐費吟哦。</text>
<title>覽壺谷集有感 幷小序</title>,<text>南壺谷爲畿伯時。贈我一詩。使其妹壻愼生傳致。迫令和送。余不得已搆拙以應。壺谷大加稱贊。延譽諸公曰。吾不能及。此後若有皇華使大明時事。則此友當着白衣云矣。今見其文集錄贈我詩。不覺感愴。又此追步其韻。壺谷遺篇裏。今看贈我詩。傳筒酬唱日。對菊討論時。一夢催先逝。重泉指後期。追思平昔奬。名實媿非宜。</text>
<title>贈六松</title>,<text>今代文章印。誰傳岳老風。詩無白也敵。文有退之雄。我喪堯天下。君游羿彀中。頹波如可激。努力着新工。附次周季詩亡後。誰回正國風。雕虫爭闘技。搏虎謾誇雄。公莫言三上。吾寧醉一中。無爲廣漠野。不用代天工。</text>
<title>感懷</title>,<text>天地幾朝暮。流年秋復春。盈虧弦望月。生死古今人。理外元無物。寰中暫有身。會當乘化去。羲馭莫催輪。</text>
<title>悼庶宗姪潠</title>,<text>有美吾宗姪。僑居白鷺洲。窮猶爲至樂。貧亦不深愁。舊業田三畒。新阡土一抔。維楊先隴側。歸葬恨無由。</text>
<title>自多</title>,<text>八十六回春。依然似隔晨。田園有至樂。衣食不全貧。兩子三孫孝。一家四婦仁。近聞鄕黨語。稱余是福人。</text>
<title>秋夜漫吟</title>,<text>雨歇烟消河漢明。洞天空闊白雲生。寒砧搗月秋聲急。瘦竹啼風夜韻淸。倚枕苦吟詩未就。擁衾欹卧夢難成。窓櫳冷落晨光淡。默聽隣鷄次第鳴。</text>
<title>詠雪</title>,<text>糝似吳塩鋪大地。忽看南嶽白嵯峨。輕隨細靄絲絲下。亂逐回風點點斜。銀海夜明無影月。玉田朝散不香花。覊人亦有悠然興。欲向山陰訪戴家。</text>
<title>枕上漫成</title>,<text>郊墟遠近寂收聲。長夜漫漫不肎明。病似秋梧霜後脫。愁如春草雨中生。出門擿埴身奚適。入峽求田計未成。一掩笆籬經歲暮。卽今天地貴無名。原峽有田。久欲往居而未就。故頷聯及之。</text>
<title>送黃君玉 玧 赴洪川</title>,<text>花城小邑嶺之陲。太守將行覔我詩。風景已聞傳者語。江山何待見而知。地緣人勝寧嫌僻。官爲親求不憚卑。好去泛波亭上月。倚欄回首幸相思。</text>
<title>次尹承旨子文 彬 韻</title>,<text>何事人間最得忙。邇來泥土汚衣裳。君才正合絲綸掌。我老誰稱錦繡膓。世路浮沈俱是夢。暮途窮阨亦無傷。三淸一會前期在。留待花時幸勿忘。</text>
<title>次黃君玉韻</title>,<text>秦城遙望隔花城。兩地相思不盡情。世莫知公眞吏隱。人皆謂我是狂生。琴軒伴鶴氷心淨。傳舍歌魚雪鬂明。何處有樓兼有酒。與君同上與君傾。</text>
