<title>偶吟</title>,<text>看書要看理。求道又求心。行遠知由邇。須追聖域尋。</text>
<title>次文谷金相公韻 戊午九月。相公自朗州移配鐵峽。路過村後。要與相話。臨別留贈。</title>,<text>離亭日欲暮。惜別又傷時。嶺東千里外。從此阻佳期。附原韻草草班荊話。秋原日暮時。毋爲兒女戀。共保歲寒期。</text>
<title>用屛字韻。奉別地主李公 敏叙。</title>,<text>聞說瀛洲勝。層峯列翠屛。逶迤亘百里。磅礴抱南溟。風塵元不到。碩人所安寧。興城近山下。靈籟坐可聽。公今謝世去。行旆此焉停。僦屋且容膝。療飢有楚萍。菊垂栗里園。草綠濂溪庭。春秋饒佳賞。不須歎飄零。顧我與世踈。辛苦已備經。賴公不遐棄。庶得保殘齡。倐爾告遠別。自此阻儀刑。秋風蘆嶺路。雲樹已杳冥。吾亦訪名山。孤棲在巖扃。</text>
<title>朴公 思逈 輓</title>,<text>訥翁高義日爭光。千古綱常賴不亡。後代子孫猶守業。我公兄弟最稱良。死生有命人何與。憂患傷心路忽忙。九地已幽難更接。暮年交契屬諸郞。</text>
<title>高孝子 傅金 輓</title>,<text>高祖從遊苔老門。兩家情義至今敦。愧吾未述先人事。羡子能修百行源。名達天庭㫌宅里。身居墓下省晨昏。生而盡職死何憾。記狀他時知有言。</text>
<title>金公 亨祉 輓</title>,<text>平生交道絶緇磷。况又通家誼益親。細悉公心誰似我。欲言醇行倍傷神。志揚先烈寧辭悴。躬到贒門不憚頻。記實文成光士類。易名恩耀聳朝紳。湛翁實業於斯盛。賢胄深誠亦復伸。方謂福庄居有樂。忽驚仙駕去無垠。山中寂寞丹㫌立。精舍凄凉素幕陳。少婦入厨能助奠。明靈有識想含顰。悠悠世事歸虗擲。踽踽人間慟此身。回首舊遊陳迹在。白羊山下更沾巾。</text>
<title>金進士 浯 輓</title>,<text>南國文星照德門。聲名連世動詞垣。有才無命天何意。說賦論詩樂自敦。司馬小成雖云晩。屠龍大志竟含寃。老來念斷徇名利。靜裏心專訓子孫。寓興剩看詩滿壁。排愁惟願酒盈尊。去年獄禍寧須說。今日人言亦孔煩。塵土自憐多苦惱。夜㙜應復絶譁諠。挽公不必垂哀淚。只歎吾生病獨存。</text>
<title>內從弟高可成輓</title>,<text>憶昔黃猴間。羣奸禍儒賢。牛老與松爺。首被文網偏。士林皆重足。疇敢任繩愆。君之高王考。拜䟽抗九天。古來淵源學。歷歷陳一篇。雖未回荃心。公論賴以宣。至今讀其䟽。怳若頭風痊。斯世已云季。禍亂相洄沿。賢路今復阨。粤自乙卯年。大老有何辜。北竄又南遷。士苟立名者。無不遭棄捐。瞻烏止誰屋。危如不繫船。君能踵先轍。身犯雷霆前。寸誠竟未售。咫尺天威遄。䟽頭鄭上舍。遠謫去北邊。君垂感時淚。五情自熬煎。繼欲進直說。危禍甘心焉。顧念孀親在。吾身不自專。灑淚漢江水。空望蓬萊巓。歸來侍萱室。空嘆心自悁。雖有學舘罰。聞之亦泰然。只以未救贒。悲憂日纏緜。誰謂傷時疾。一夕遽乘仙。不聞是與非。於身可謂便。慘矣君家事。欲言淚逬泉。鶴髮將誰依。鸞影亦堪憐。弱弟與稚子。孤形共躚蹁。行路尙咨嗟。况我情愛全。送君重泉裏。涕淚自成川。哀哀不盡懷。那忍寫挽牋。</text>
<title>或人輓</title>,<text>其生吾不知。其死又不知。生死俱不知。臨挽媿不知。</text>
<title>輓詩[朴尙玄]</title>,<text>方死方生固物常。挽人曾不浪悲傷。哭君今日悲無極。爲是吾家失棟樑。族叔尙玄</text>
<title>輓詩[奇挺翼]</title>,<text>妙年湖右堂堂姿。豪氣剛膓兩屈奇。談論偉然驚俗耳。胷襟磊落喜軒眉。晩將行路難中事。擬向修身學上推。天意如何終不假。忍令子母葬同時。奇挺翼</text>
<title>畏省堂題詠[宋疇錫]</title>,<text>谷口幽棲訪子眞。禪形猶帶舊精神。傷今愴古無窮意。塢竹園梅揔惱人。此詩與尤菴先生同時所作。而素隱次之。故先生詩。見素隱集中。○宋疇錫</text>
<title>敬次[朴光一]</title>,<text>先生襟抱見天眞。感古詩應泣鬼神。怊悵九原難可作。送行今日倍愁人。朴光一</text>
<title>畏省堂。恭次大老韻。[奇正鎭]</title>,<text>足驗平時授受眞。此行何得訪閒人。子孫留作靑氊看。句是淵源畫入神。奇正鎭</text>
<title>謹次畏省堂原韻[崔升鉉]</title>,<text>此行爲訪有知眞。門外停驂倍感神。點筆題詩心授地。寒潭秋月照來人。崔升鉉</text>
<title>謹次畏省堂原韻[崔益鉉]</title>,<text>慈孫堂構一心眞。巨筆丁寧護有神。誰繹尋常言外旨。喚醒末路醉生人。崔益鉉</text>
<title>讀先集。敬次畏省堂老先生韻。[朴陽東]</title>,<text>父子相承述業眞。祖孫偕訪道交神。斯堂從此名爲重。何等其詩何等人。朴陽東</text>
<title>伏次畏省堂韻[奇宇萬]</title>,<text>梧月楊風一任眞。依然舊宅尙精神。存存省畏仰深造。遺響至今矜式人。奇宇萬</text>
<title>敬次老先生題畏省堂韻 三首 [吳繼洙]</title>,<text>太上儒賢自有眞。淸明在我志如神。日三省畏孜孜義。揭示千秋範後人。文谷尤翁奬詡眞。丁寧一語質諸神。此日登臨追慕仰。薰陶怳若及門人。詩禮名家舊業眞。不將外物役心神。賢賢繼述誠難事。爲賀門庭世有人。吳繼洙</text>
