<title>長白山</title>,<text>春盡雪猶在。不秋添新白。凌凌蔽天多。邊城日易夕。</text>
<title>次杜工部韻。奉呈仁仲。</title>,<text>人生無百年。四十已衰歲。一身不自持。萬事皆臍噬。悠悠萬里行。來蒞雉城獘。地勢控六州。滄茫大海裔。獰俗久不覊。迂儒力難制。訟人喜搆僞。食國每逃稅。庫竭名徒富。軍虗籍空綴。昇平得自保。其奈蒼黃際。所履未盡䂓。責來亦其勢。昏愚濫荷多。已致時議銳。臨民事愈繁。豈但守舊例。我有滿盤羞。民無一分惠。人方困朝脯。我有胡床憇。自逸不逸人。細思非福計。爭如理鹿車。湖山拂歸袂。欲之勢莫由。沉沉意還閉。白髮時晼晩。靑雲路迢遞。行藏不多地。夷險慣人世。班超思玉關。賈生憶文帝。今古情應一。長懷雲逐逝。又今日非昨日。來歲非今歲。人生易衰換。二氣互呑噬。不嫌馮唐白。何慙仲由弊。塞外尙天多。此地非絶裔。樂天任所之。煩懷酒可制。出郊有柳亭。遊車每此稅。登山坐松陰。落花時點綴。忘形醉脫巾。赤足當流際。順天身可安。強之非久勢。低頭受人唾。循圓去方銳。幕府重儒士。待之異凡例。殘城莫保日。支持豈非惠。今朝爲設筵。拜邀斯須憇。故人在城北。共話是吾計。管絃縱啁啾。猶堪擧長袂。醉境是眞地。出入無關閉。人眠不喧囂。路豁不迢遞。偃然一榻間。足以別占世。何須守空齋。悒悒詠古帝。佳期愼勿負。萬化悠悠逝。</text>
<title>白髮問</title>,<text>淸晨把鏡問。爾來自何處。人生貴靑歲。擧世皆厭汝。憎惡旣見多。胡乃不遠去。皇天定物色。黑白不相與。烏頭不變初。鵠身本如許。奈何換舊質。削綠爲皓絮。况我年未暮。天涯遠作旅。恨汝生不時。偏着意何據。白髮笑我愚。丁寧致我語。洪匀運玄機。變化無細巨。春綠非草惠。殞黃亦時序。人情苦懷悲。天意無私慮。衆嫉我豈傷。我作公道圉。智士巧難避。萬乘力未拒。動蕩氣所使。我亦愛莫助。此理更分明。疑之是兒女。白鶴老自奇。何曾羡靑鼠。商山有四皓。淸渭有釣呂。悳人有德物。何妨戴素紵。世俗畏老死。擬欲長壯膂。玆非厭我白。實惡老形著。少白若老黑。方知白可恕。人應戀素頭。黑來恐莫禦。斯皆曲私爲。大理無凡楚。安得達者論。不爲人所沮。聞言余卽悟。解暗若照炬。去鑷不用除。看如寶玩貯。庶幾待有成。衰年作朋侶。</text>
<title>閏七月。見黃鳥有感。</title>,<text>故國見黃鳥。常於夏之初。秋凉非爾時。塞北非爾居。洛城多細柳。嫩絲搖晴虗。淸陰可偃息。簧音爭慕予。胡爲遠來此。失托寒木踈。啄枯不索虫。投波不覔魚。無心苦淸飢。來去飛徐徐。夷俗不汝知。視汝凡鳥如。不知豈爾傷。所貴在於余。有錦莫自負。識士恥餙裾。能鳴莫浪高。君子惡聲譽。大形無遠邇。所處皆吾廬。陋邦亦足樂。何曾歎歸歟。金陵盛年少。挾彈氣有餘。爾愚不善幾。爾恐在所除。爾來必有意。吾心有取渠。我亦遠爲客。夜夜夢鄕閭。見爾若故人。悒悒增欷歔。庶幾與爾遊。卒歲同踟躕。</text>
<title>叔平拙於弓。常不勉。詩以勸之。律。</title>,<text>夷界相從晩。憐君獨汚泥。不爲觀德戱。難作破懷梯。誰曰未追羿。學之可變齊。中䂓無遠近。矢道有高低。量力強而弱。觀風東或西。所求投正鵠。不害掠雲霓。節序淸和暮。郊原芳草迷。嫰侯張白雪。䧺皷吼靑鯢。玉液升壇飮。雕弓引手提。急弦雷劈石。馴箭鳥歸栖。此樂眞男子。不爲是婦妻。律心非博局。快意勝馳蹄。千里兵戎地。一身心事睽。空齋羣蟻戰。夜月杜鵑啼。獨坐情愈苦。其爭興可稽。爲山能免簣。習翼庶追鷖。傳妙雖難語。循常自有蹊。煩君欲學我。日日可相携。</text>
<title>送申弼卿還洛</title>,<text>我西已三載。君來亦前歲。分明兩肺肝。不負崎嶇世。碁君闡要妙。詩我助氣勢。破涕覔歡笑。薰身沐茝蕙。處久得更多。誰似吾交際。忽聞告歸忙。奈何我之滯。人生易聚散。有命聽上帝。達士本大觀。愚人百巧計。糾紛路北南。大同門不閉。千年行不休。江水悠悠逝。</text>
<title>次尹都事士推韻</title>,<text>新晴物色和。好鳥鳴山阿。茫茫綠蕪平。細草皆含芽。花邊客心催。柳弱風不多。天公不偏春。亦到四海涯。分明物色鮮。輸向吾前羅。造化自光景。人世多風波。有酒吾可飮。有詩吾可哦。悲來可以哭。興來可以歌。順情合天機。物不爲吾訛。何嘗歎異鄕。天地同一家。新亭會小竪。屑屑悲山河。浩浩此乾坤。人生看落花。達士已心悟。千載惟南華。伯牙撫其琴。絃絶悲不些。獨知亦何傷。貴我能無邪。平平大道正。君子行不頗。胸中植一理。寒暑隨羲和。自是不悲人。萬物於吾何。雲山滿目靑。舊物眞多麽。何時考吾槃。碩人其心薖。</text>
<title>次崔仁老</title>,<text>洪匀蕩玄機。一氣相戰薄。物生浩萬形。毛羽而鱗甲。含珠是老蚌。蘊玉爲荊璞。鸚鵡巧語言。文豹美胸臆。所貴雜外內。利害同平側。人生抱至悳。有道如山屼。聖賢得之心。不求虗名立。吾儒佩遺訓。不可徒食粟。何煩心自非。漫欲撾其脚。確然守內美。我心元非席。不誠豈悠久。利欲紛來食。兢兢不暫弛。擇地投吾足。孜孜力駑蹄。此心要不失。紛紛貴與賤。天也容何術。不須鵬萬里。一枝鷯可息。暗投只驚人。何用珠明月。蝨甘血食飽。湯沸禍不測。春蚕苦纏。家成身已屈。禍福迭相侵。物理難推詘。昔君志騰蹇。何知此蕭索。有翼大垂天。一擧何空碧。篋箱儲萬言。君門來射策。竽庭孰瑟知。撫卷空於悒。萱堂設藿藜。對之意慘惻。苟得悅親心。吾名不足惜。所在有薄俸。不必公侯爵。大小等王事。抱關不是辱。拂衣戴破帽。故子頻西役。烏山與順城。彼此何者樂。不樂是眞樂。用喜君居獨。我亦受天賦。獨此愚陋質。癡蠅觸窓多。狸虎何曾別。狂奔不自知。好博爭雉犢。優游費羲娥。未逃鄕人噱。浮藻眩人目。賤名收紫極。馳揚帶非分。十載紅塵沒。何曾大馬力。有補堯舜德。隨行濟濟朝。尸素終何益。辱器自速辜。宜乎天所奪。將身寄沉沒。不厭黃流濁。端宜駕鹿車。桑戶歸寂寞。東華夢想絶。北山雲林塞。何知古箕都。五馬榮還得。民多受事繁。豈於䟽翁合。但費成瑨嘯。朝昏空坐榻。客來未醉飽。無端其怒赫。簡至答空言。人皆嘲不職。一日白髮生。三年未回轍。逢君破涕笑。江山足幾匝。持盃屬肺肝。相照無相忒。神交不世得。百年心事密。君言少年日。破冊同持挾。蹭蹬異所歸。我菜君食肉。窮鄕覔少官。川回山又矗。二婢結結衣。一奴稜稜骨。開鉢得白飯。一半金粟隔。欲食食不能。兩兒傍蹲蹜。匙分器四五。寧滿啼飢欲。得塩升不盈。得酒味不篤。趑趄欲言官。官怒知難敵。低頭受百苦。忍恥顔已赤。噓唏語何長。更嘆命不一。嗟哉天壤間。失意今幾億。至樂在吾心。居貧不足恧。一嘯且一觴。終始無緇涅。不㤪亦不尤。此心神鬼察。淵明卧羲皇。北窓巾一幅。貴賤本在我。不取人耳目。俗士見何偏。屑屑悲口腹。食之菜何傷。飮之井不渴。百能且安爲。不如君之拙。吾言倘不信。證取先儒筆。</text>
<title>飮中歌。贈成仲容。</title>,<text>旣罷大同會。又游淸華舘。微凉楊柳風。雨濕枝初綻。良辰得良友。不厭醉語亂。世事只益睡。人生電過眼。興亡自右今。宇宙空汗漫。獨醒且奈何。飮者眞吾伴。門前綠蘿深。床頭松月滿。斯人不可及。我行嗟遅緩。旣往知奈何。庶幾秋風晩。此心更分明。誰復能吾諫。</text>
<title>送浩源赴京</title>,<text>中國有聖人。萬邦朝恐後。馳誠奉天職。况我明明后。簡賢授使命。捨叔何人又。朝情屬物宜。是叔有西走。氷淸一槖虗。行邁光於晝。偏方欝欝懷。大觀行可就。土俗堯舜民。山川禹迹舊。楫古覔餘韵。怳若咸池奏。胸中九雲夢。錦字千萬句。東還日無多。所得何其富。新行信可樂。愧我猶僻陋。閉門木葉下。悽風生宇宙。臨分意若何。萬里空回首。</text>
<title>極浦，孝叔遊楓岳。余病未能也。旣還。書此以示意。</title>,<text>我來守蓮城。于今二寒暑。名山近在境。壹覽猶未擧。徒煩夢中見。取快遊人語。欝欝爬癢久。况此君獨去。偉哉天壤間。造物用手巨。削玉千萬峯。環列迷歸所。逶迤劇龍偃。崒岌如鳳翥。或中平下危。或前豁後阻。或崖傾松倒。或水急石拒。風淸發天籟。月明來鶴御。游車日百過。妙觀知幾許。力登苦筋骸。何補塵心慮。中虗物可格。今世唯見汝。雅性喜遠遊。一竿爲行旅。萬形入眼中。物物自齊楚。揮毫費吟嘯。一一錦囊貯。平生山水心。宿懷欣始叙。我病不出門。萬事皆氷煑。江東帆未掛。素食同倉鼠。白髮簿領中。歲月不我與。悲哉不自懷。東望愁千緖。</text>
<title>一竿漁父傲三公</title>,<text>漁父一介士。相公三台官。貴賤不相侔。處下宜低顔。奈何獨自高。反作袴下看。功名一羽輕。義重還如山。簀尸位黃堂。自擬臯夔班。胸中實無存。土木加衣冠。淸風一絲垂。釣磯江月寒。求魚意非魚。至樂言之難。尊榮自有身。世事同波瀾。甕頭聒蚊蚋。滅沒朝暮間。百年鼎鑊中。危如百尺竿。膏煎不自悟。誰識漁人閑。漁人故自貴。傲睨輕塵寰。糞壤視軒冕。况此爭躋攀。無心一虗舟。到此天地寬。瑣碎利祿兒。萬古愚一般。</text>
<title>離亭柳</title>,<text>天涯相送處。今古幾人歸。辭別年年折。長枝近地稀。深恨根逬入。別淚准枝垂。奈此風中葉。東西無定吹。</text>
<title>次黃山谷韻。送李大用還朝。</title>,<text>無心對虗舟。有懷聲相和。陽關一曲歌。奈此君歸何。飛驂不我留。欲語情還多。西來君幾日。我亦今二春。君歸我未歸。日月驚雙輪。衰翁食不事。虗作遲回人。離亭客千古。折盡無全柳。悠悠世間事。此別古亦有。江波不盡流。西去東來否。千呼欲君留。君不回馬首。我獨歎恨長。臨江飮之酒。嗟哉今古懷。幾度春風柳。人生易聚散。南北不停輪。送子此箕城。明年何處身。虗名不如歸。可羡先鞭人。弱歲每我隨。中年相見踈。弱者已爲壯。壯者宜白鬚。步登石泉高。君記當時無。爲州已八年。老諳別離事。人歸月在樓。僧臥鳴鍾寺。深更坐不寐。無限思君意。蹭蹬乞小官。君亦時來遅。遅速各有時。君子天何疑。去矣孑無徒。我懷言與誰。稷契處亂世。誰曰謀猷嘉。販繒得太公。亦足功漢家。人生各一時。丘木啼寒鴉。悠悠故鄕思。東望天何多。別君淚數行。飄忽電眼過。不忍古渡頭。佳人唱踏莎。何者爲是非。何者爲榮辱。漁舟一葉天。往來江波綠。懷之我未能。空想烟沙竹。何傷世我賤。無補人吾尊。世事夢非眞。古人走踰垣。愼勿恨蹉跎。蹉跎是福門。飄然子歸興。久滯唯病我。幾度負秋風。空懽事不果。蕭蕭白髮翁。我亦知不可。世人皆棄我。君獨情頗欵。異方同作客。江天月幾滿。馬首忽向東。千里垂一鞭。</text>
<title>網得水鳥</title>,<text>飢生飽死知何意。網裡渾忘禍我加。咫尺滄波歸不得。到窮應悔覔魚多。</text>
<title>次趙御使季任朱村舘韻</title>,<text>桑麻千古只名村。今代無多兩姓孫。日暮前灘牛飮去。當時耕事猶存。行人知驛不知村。泣古唯看白髮孫。莫恠小鄕非舊俗。淳風天地亦無存。俗換人亡變舊村。飢啼屋裡見遺孫。問渠何事凋枯甚。上世民田稅不存。</text>
<title>次李御使堯瑞朱村舘韵 名蓂號東臯</title>,<text>天上儒仙降僻村。夷氓爭覩負兒孫。從容閭巷詢咨遍。滑手春恩到處存。策馬荒原歷問村。呼翁籬底點飢孫。莫言邦國留須薄。活死天香袖裡存。涓滴曾無惠一村。故國春夢竹生孫。候迎舘裏逢君節。欵席偏驚舊意存。</text>
<title>次大用苦勸酒</title>,<text>與君非是好傾罍。不此何緣襟袍開。異時風流多少惠。他年深契自今杯。醉天誰復耳聞雷。身世都忘落一隈。江海獨醒無用處。孔顔心事揔寒灰。</text>
<title>次大用韵</title>,<text>關河何處塞垣幽。千古興亡天地愁。此日昇平邊事少。轅門長醉臥琴頭。玉關千里路悠悠。南去北來人不休。可笑此身猶此地。年年添得鬢邊愁。</text>
<title>秋月七絶。奉呈大用幕佐。</title>,<text>海月東來灝氣浮。半窓斜影綠樽頭。無端鴈叫驚時晩。玉篴聲中人倚樓。幾度思歸猶未得。邊城秋月見曾三。分明同照同看處。我屋洛陽君海南。夜深明月自天心。一詠一杯還一琴。無限歸程無限淚。凉多秋草只虫音。去國三秋滯塞城。一樽誰與說中情。人生欲識升沉意。看取靑天月缺盈。年來白髮滿頭生。秋月新添十分明。料得洛城看月夜。月圓依舊我衰形。匹馬何時返故園。持杯問月月無言。應知來去關天運。淸界無心厭世喧。秋洗靑天無點雲。月明歌吹夜凉聞。昇平樂事知誰管。別駕風流舞袖紛。</text>
<title>大用次秋月七絶來贈。復次呈似。</title>,<text>心無中植氣頗浮。遇事茫然失轉頭。可笑此身持寸木。逐君將欲擬岑樓。人間萬事皆陳迹。電眼光陰四十三。枕上班班多暗淚。天涯昨夜夢江南。彭澤官居栗里心。無絃那似本無琴。天空半夜樽中月。對子淸談眞妙音。誰慰殘生滯塞城。入樽秋月更多情。分明自信淸如許。不向天心歎缺盈。尼丘不復聖人生。後士何從講道明。正學消來眞氣散。乾坤到此亦空形。屈指三秋別故園。來時生子已能言。何時歸去茅簷下。負抱欣聞笑語喧。茫茫關塞隔層雲。故國鄕音未易聞。一別相思何處苦。靑蘿明月白紛紛。</text>
<title>中和客舘。有牧丹凋落殆盡。</title>,<text>日高紅影亂西東。人世多看富貴容。盛滿由來衰謝易。何如翠松四時同。</text>
<title>江臺石佛</title>,<text>萬頃波邊石佛居。觀心是處又觀魚。人生久負江湖約。自笑身閑石不如。</text>
<title>戱次士遂秋千韵</title>,<text>每借輕繩學上仙。烟霞心事幾虗年。客塵人世紛多累。纔見昇天又下天。瓊宮深鎖貯娥仙。久矣眞人待幾年。使客風流何索莫。還從飛舃上靑天。</text>
<title>次閔使相江西東軒韵</title>,<text>滿空山翠擁樓前。不禁桃花落錦筵。世事繽紛春易老。歸歟合作飮中仙。江城春晩雜花明。遠客多懷嘯坐亭。西北十年頭欲白。故園歸路更冥冥。靑衫幾處泣江州。花落風多未易收。光景一年悲已暮。生憎夕氣掩雙眸。</text>
<title>七夕戱題</title>,<text>相逢頃刻意難傳。奈此河傾欲曉天。休道一年唯一見。人間一日亦如年。天孫佳會意偏多。人世長嗟隔似河。渺渺何時逢七七。愁看平地久銀波。簷頭終夜雨潸潸。正是天孫淚不乾。知到相看能始泣。人生還羡泣爲難。</text>
<title>次而中韵</title>,<text>鷄肋尊拳百不憂。升沉時事謾悠悠。忘形一醉眞難得。江上烟波不用愁。醒亦無何醉不憂。東飄西轉任悠悠。停杯莫問前朝事。一片荒城千古愁。</text>
<title>戱次宋同知韵</title>,<text>歌舞靑樓舊有名。風流誰與話春情。陽臺莫道無雲雨。自是襄王夢不成。西旆年年望眼寒。相逢其奈對空顔。人生有約嗟難恃。須把前詩字字看。</text>
<title>晴沙眠鳥</title>,<text>飢則求魚飽則眠。晴沙閑刷意悠然。駈馳老我慚𩿨鳥。行到沙邊促刺船。</text>
<title>江上棄舟</title>,<text>休言不用是非才。不是非才時不來。看得有生同早晩。霜中黃菊雪中梅。</text>
<title>待人夜餞</title>,<text>終日奔趨力已灰。挑燈深夜待君來。明朝一別何時見。是以寒更強把杯。三更燭盡淚成灰。眠欲來時人不來。明日生陽空舘坐。親朋誰復勸離杯。</text>
<title>沙𩿨</title>,<text>晴沙無數白𩿨眠。心事江湖夢亦然。眠得人間無可地。任從風浪一虗船。</text>
<title>宿望日菴。禱雨。</title>,<text>涸盡長江尺許深。㐫炎無古亦無今。流膏一勺天如借。論價何曾只萬金。</text>
<title>白𩿨</title>,<text>得意江湖自在身。烟蘆無限不生塵。風波一任浮沉事。江上閑眠味更眞。</text>
<title>飢鷹</title>,<text>飢鷹枝上坐移時。獵子長呼望已違。萬里飛騰吾翼在。不隨腐鼠送殘輝。</text>
<title>枯松</title>,<text>長松百尺棟樑材。獨立空山歲幾回。莫道生涯枯鑠甚。直根泉下未全灰。</text>
<title>次文川客舘韵</title>,<text>去日原頭草欲靑。來時庭樹雪風鳴。無窮節序怱怱裏。人自東西南北行。</text>
<title>尹廣文希博。卜築于水入村。以詩見寄。書此答之。</title>,<text>人間謝事雲林臥。胸宇無塵水鏡淸。愧我遲回何日去。候迎空有短長亭。雲山好地看看有。搆舍誰能見得明。可羡高人知足早。藏名淸世不求聲。松蘿爲屋鹿爲朋。身世夷然臥結繩。對酒村翁堪作伴。農談前事說高曾。</text>
<title>讀陶淵明歸去來辭。有懷。</title>,<text>早脫塵鞿不受侵。乞官彭澤豈其心。冥鴻一擧誰能縶。舒嘯東臯得意深。腰折鄕兒豈足羞。峀雲歸鳥自知休。田園有樂琴書在。富貴何須強力求。奔趍十載尙迷途。悵望田園已半蕪。衡宇可瞻三宿後。不煩前路問征夫。</text>
<title>次尹廣文希博文</title>,<text>釣罷漁舟一笛橫。無心沙渚白𩿨鳴。江村落日初回掉。更上峯頭待月明。久抱湖山欲老心。羡君先我卜幽林。古人亦有仍家者。願傍庭松借少陰。數椽茅舍傍淸江。踈散風懷不世降。得地龜藏吾樂在。洪鍾何用待人撞。溪山知畫我心淸。到處巾車許暫停。對此三公猶不換。鐵城今古更何情。</text>
<title>秋日臨別。題人扇。</title>,<text>秋風此日好緣衰。篋裡深藏恨可知。莫道恩情今日斷。年年炎夏自多時。</text>
<title>次士美察訪韻</title>,<text>馬官君亦非能事。文簿吾今已力綿。對得一樽春雪夜。賸拚情事答天緣。當時故國花如海。此日荒城雪似綿。萬事觀來隨眼變。小盟粘壁更何緣。</text>
<title>次極浦孝叔韻</title>,<text>開罇何用擇良辰。到手深盃莫問廵。對笑人生皆故舊。請君休念在京人。爲雲爲雨定何人。懷抱襄王欝未伸。可是高唐成好會。不煩灰酒喚來身。</text>
<title>次士美韻 將解綬。士美以村翁慰。作詩送示。不敢當。奉次答之。</title>,<text>飢民丘壑顚僵甚。薄劣安能如救焚。路上村翁眞慰語。厚情知得故人君。</text>
<title>尹浩輓歌 表從弟好酒。來留蓮城。飮秋露八盃。爛膓而死。</title>,<text>生死無端隔一晨。沉酣人說自傷身。從來塵世無眞住。盃酒何能解殺人。跋涉東來意可憐。窮愁多處又生捐。傍人莫問緣何故。醒醉同車向九泉。膏火投身每笑蛾。樂吾多處害吾多。人生自取將誰咎。百酒千燈死一科。莫言好酒傷生早。不飮何人度百年。大化悠悠來去速。一般荒土鎖寒烟。幾夜月明悲客事。一軒罇酒死生分。從天未借秋凋勢。空見冰苽用力勤。白旆紅旆強壯日。問君今去向何州。重泉不盡輕生恨。千古高陽飮者羞。人死人生自有時。幺麽杯酒更何疑。若因好飮爲身禍。當日陶劉不死誰。</text>
<title>留獐李參奉英文</title>,<text>當時放麑人誰似。此日歸君我得人。林野不妨還樂土。割烹休作鼎中身。</text>
<title>戱德翁叔父游山鑷白</title>,<text>靑山白髮相宜久。不用登臨變化身。初入洞門能換骨。老僧看作少年人。</text>
<title>次明川客舘韻</title>,<text>野性何知適韋絃。功名只爲坐無氊。湖山滿目歸舟晩。塞北春風意惘然。曾慚薄力擬強絃。迢遞關河食旅氊。睡罷空庭山月滿。五雲深處夢依然。客路驅馳月再絃。鞭無垂革靴無氊。絲毫無計明時補。礪釰長思赴燕然。</text>
<title>次休叟韻</title>,<text>虛擲光陰負幾春。十年回首跡空塵。莫言太守衰慵甚。我亦當年少壯人。</text>
<title>獵罷還衙。金正郞公叔。投詩索和。仍次其韻。</title>,<text>人生四十已衰翁。蕭散情懷自不䧺。莅邑未看徙虎政。獵山寧復據鞍風。原頭踈網施張薄。草底頑軍避走工。日夕歸來何所獲。驅馳惟見汗靑騘。</text>
<title>幕佐廷彦。以詩見寄。奉次酬之。</title>,<text>詞源潑潑富珍需。淸句微疵一點無。浙水潮回雷韻壯。梁園春暖錦田鋪。驪珠寧合泥塗棄。風乕終當大地趍。賴有幕中賢相國。知人殊遇欵情孚。</text>
<title>奉和叔平韻。以慰其懷。</title>,<text>金鍊無瑕玉有聲。顧瞻風彩識天成。良蹄自信能超險。妙射何妨偶失鴊。萬里關河千釰閣。百年懷抱一書生。升沉彼此猶吾耳。大酌深盃足慰情。</text>
<title>題雲巖院</title>,<text>平頭山勢忽中虗。龍坼神蹤自物初。走海驚川橋折柱。棧空飛路客回車。尋常草底奸偸伏。咫尺林間豺乕㞐。人世險危隨豦有。安便不如臥吾廬。</text>
