<title>五絶 題九千洞 乙未</title>,<text>赤葉秋將晩。靑山日欲昏。多情東嶺月。入夜滿禪門。</text>
<title>對諸益偶吟 丙午</title>,<text>平生口耳學。早歲占桂萼。稟氣本虛薄。日用但醫藥。風埃久顚倒。人生何束縛。還山遂初賦。與世絶然諾。藏書養拙計。卜築專一壑。烟霞起遐想。暇日理謝屐。天時屬履端。風光正佳郁。善則不期至。仲晦能踐約。沙谷又得朋。伯春曾自洛。商確近日事。心境無適莫。忝叨鳳院任。黽勉此行作。林風忽地起。前山亂雨脚。黌齋近臨塘。新波暎華薄。辛勤浦頭友。衝泥慰寂寞。風流長林士。淸味侈行槖。沈吟日亭午。霽景透簾箔。信轡入洞深。峽居踈籬落。荒疇見叱牛。晩林聞恠雀。臨溪坐班荊。引壺共野酌。深盃豈敢怕。野䔩皆堪嚼。可笑京華子。區區覔乳酪。</text>
<title>四勿齋金丈 時泰 年八十一歲。枉藏庵。終日酬酢。少無倦色。吟七絶自書於白華記事之後。筆力勁健。學力之不可誣如此。謹步其韻。以寓景仰之懷。丁未</title>,<text>聯翩鳩杖枉山菴。昨夜星光耀斗南。洛社千秋眞卛會。不圖今日幸叨參。</text>
<title>吾道峙。次李息山 萬敷 韻。此下至獅子菴。同息翁遊賞。</title>,<text>采眞蕭灑覺身輕。玩水看山樂此生。爛熳秋光隨處足。好將詩酒答閒情。原韻久知於世此身輕。萬死何關有一生。債重名區酬未盡。天心更許領幽情。</text>
<title>般若寺。次息山韻。</title>,<text>願言吾黨二三子。此會年來孰與儔。萬事皆從忙裡錯。風光是處合遅留。原韻回看谷口冷雲逗。林幕石筵列我儔。不盡淸溪巖鏡暮。禪房可借一宵留。</text>
<title>宿般若</title>,<text>人語雲窓夜。虫聲古寺秋。閒情物外得。世事謾悠悠。</text>
<title>落水菴</title>,<text>忽起烟霞想。秋風策病慵。講筵承誨切。禪榻聽談空。懶夢回晨磬。偸心驗夜鍾。偶然成此會。臭味不謀同。</text>
<title>踰葛嶺</title>,<text>仙區久結烟霞想。秋日今隨杖屨行。爲問雲㙜何處是。滿山紅錦揔閑情。</text>
<title>東臺</title>,<text>天王峯上但雲烟。氣象巖巖可揷天。坐對鶴巢忘世念。怳然羽化而登仙。</text>
<title>獅子菴</title>,<text>巨石菴前峙。淸風腋下來。仙山看未了。餘興在雲㙜。</text>
<title>到西原有感而題 幷序○庚戌</title>,<text>歲戊申。李兵相南營將爲兇賊所害。此卽其地也。倉卒凶鋒。從容取義。滿腔忠赤。凜如秋霜。扶綱常於萬古。明大義於一時。景仰徘徊。不勝感懷。吟得一絶。雨灑南橋路。雲沉上黨城。忠魂何處在。嗚咽不成聲。</text>
<title>送家兒還鄕。述古詩三十韻。以寓付托之意。辛亥○此下在西關時</title>,<text>初學工夫在小學。入德門戶在大學。進步次第有先後。下學上達功不闕。晦菴陶山繼開功。闡發前人所未發。學問之道無他求。惟此數書至親切。其中分明有樞紐。敬之一字都貫徹。嗟哉着功自何始。程門曾有一二目。伊川切至說與人。整齊嚴肅心自一。尋常警省不昏昧。又有上蔡惺惺法。和靖尹氏亦有說。收斂曾不容一髮。存養省察兩相資。交致其功無作輟。工程豈是一蹴到。磨以歲月眞積力。虛閒恬愉日用間。寬着意思無欲速。若以安排急迫求。終有難行徒戛戛。勿忘勿助四字符。是爲吾家宗旨訣。操之之道亦有要。不出三貴與四勿。交養內外各極功。自然呈露見灑落。行之何處有坦路。忠孝最爲百行特。奉先事長多少節。皆從這裡自流出。閨門亦有至理寓。君子造端在家室。和以莅之敬以待。勿相踈遠勿相狎。千條萬緖有至訓。豈待區區語蕪拙。歸求不但有餘師。嚴師畏友多輔益。士之所病無立志。篤志何患不做得。嗟爾小子勉之哉。汝年倏忽今二十。悠悠歲月不我與。虛度光陰殊可惜。如不猛著及時工。雖歎窮廬嗟何及。况今乃父明時棄。泣玦殊方窮厄極。家庭相傳十世業。惟爾一身都付托。今當送爾還鄕日。滿腔懷緖書以勖。深體此意無墜失。吾事畢矣更何慽。</text>
<title>又七絶</title>,<text>西塞春風送爾歸。殊方物色揔依依。應知別後相思夢。共逐南雲夜夜飛。歸裝欲發故遅遅。征馬嘶雲起遠思。臨別莫爲難別態。汝心悲處我心悲。異域風霜寄此生。不堪今日遠離情。亞庭日月餘輝薄。替事其能體我誠。</text>
<title>聞盆梅花發。次退溪先生玉署思字韻。</title>,<text>聞道龕梅發古枝。暮年淸賞計差池。餘香應待西來信。爲報殊方黯黯思。</text>
<title>披見古鏡重磨方有感</title>,<text>可憐古鏡空留匣。埋沒塵間歲幾更。遮隔重重磨不盡。何時本軆復虛明。</text>
<title>謹次退溪先生林居韻</title>,<text>高吟岸幘坐松壇。林鳥相親亦解顔。天餉吾人元不薄。四時佳景侈溪山。右幽居花柳媚春霽景新。晩隨冠角下溪濱。一般上下同流意。千載陶山覷得眞。右暮春</text>
<title>偶閱退溪集。見先生從宦在京。三月三日。登寓舍後岡賦詩。有感而次。</title>,<text>虛名眞不幸。薄宦誤餘生。任命存吾拙。投荒見物情。思鄕千里遠。報國一心明。只恐癃殘極。無緣效此誠。</text>
<title>贈贊性上人</title>,<text>君家頓悟法。軆用未曾圓。道是常茶飯。何須說妙玄。</text>
<title>鄭時淑善哉。卽余齠齡故舊也。蹭蹬一宦。臯復於魚川郵舘。存歿之感。益切於西塞。泣玦之後。其所眄妓遺腹子。方在魚川郵。以余爲其父友。頻頻來往。袖傳遺辭一篇。乃亡友所著香山遊錄也。撫玩今古。感慨繼之。吟得古詩。書篇末而歸之。</title>,<text>吾友鄭善哉。河東高門閥。自在齠齡日。高標流俗拔。孝友得天性。狀貌如玉雪。生於詩禮家。早受庭訓切。行年二十九。明經始釋褐。世路多蹭蹬。潦倒久沈屈。西塞做薄宦。點檢魚川馹。棲遑淹數載。一疾終奄忽。念昔托契初。黑猿重陽節。十年螢窓下。攻苦同耕舌。蟾宮次第登。前後間年七。一麾各西南。千里路脩絶。綿城郡齋夜。甲午春二月。凶兆夢先知。覺來心欲裂。俄聞臯復辰。月正十七日。生離仍死別。慟傷如半割。由還哭新阡。宿草已向茁。居然二十年。萬事轉惻怛。踽踽人世間。身名多顚躓。迢迢關山外。六年空泣玦。魚郵隣萬年。益切感存歿。酸辛訪舊蹟。遺腹有側出。其名曰昌同。唁我勤涉跋。惟肖典刑在。撫頂增悲臆。相對話舊處。依俙樑月白。遺篇出袖中。乃翁香山錄。遊筇問何歲。歷歷如在目。崢嶸萬千峯。體勢連脉絡。幽杳入冥搜。巨細輸囊括。眼目通化妙。胷襟呑海岳。其氣有分劑。其言有闔闢。誠爲難得珍。可謂傑然作。不有素抱負。何以有此得。間寓不平鳴。幽吟更嗟惜。潸然淚盈襟。嗚咽難再讀。萬口爭傳誦。不讓關東曲。奇才謾空試。妙唱留後億。叵耐創感懷。忘拙和淚續。聊將贈爾歸。把作後人識。</text>
<title>偶吟</title>,<text>點檢平生事。無成只自傷。年衰情易弱。學晩志難強。未有新知得。還多舊業荒。勉焉死後已。奈病入膏肓。</text>
<title>述懷</title>,<text>旅舘寒燈影轉孤。此身何事海之隅。如今窮厄渾關數。自古橫罹不獨吾。謫裡每驚新歲至。鏡中還覺舊容無。亞庭西日餘輝薄。幾向南天祝更吁。</text>
<title>偶吟</title>,<text>膠擾心事少澄淸。一念纔消一念生。強起床頭調息坐。窓前雪月欲三更。</text>
<title>謹次退溪先生詠梅古詩韻。寄贈盆梅。兼示姜松隱公望 碩弼○癸丑。</title>,<text>南國識玉面。藏菴對雪白。居然忽相別。安保舊容色。聚散本無常。使我長太息。托根得其所。不恨分南北。松翁我知己。交情通金石。聊將遠離恨。留與慰錯莫。一別經幾時。天涯阻地角。氷魂伴殘燈。和月夢楚澤。百年襟期托。重逢何時得。寒灰寂無烟。窮途無所泊。蒲柳早先謝。容顔非復昔。可怕食外虎。空悲穿屋雀。此意能知否。萬念自銷落。爲問春消息。開遍幾雪萼。思之不可見。南望徒手額。嗟渠歲寒姿。枝榦橫更縮。淸致晩相得。主人同標格。一般思人意。茫茫復何益。靈犀但相照。不遠千里隔。聊知相思處。新月上東岳。關山杳何許。夜夜情無極。已矣不復道。保嗇各努力。萬事有前定。加飡自愛惜。聞說松齋葺。幽事不廢職。瓊枝暎棣萼。山阿不寂寞。任他門外事。何患風雪剝。附松隱梅說梅自綿城縣出。遇華齋翁以爲主。庚戌秋。翁遊羿彀投于西。翁之友松隱翁別曰子將去矣。寄梅於我可乎。翁曰我今遠者。梅不可致。子有言敢不許。松隱翁移根去。將以見其花而如見其主人也。花終歲不發。至明年不復花。又明年如是。松隱翁乃喟然嘆曰其有知於主人去乎。及甲寅冬。忽有二朶開。一年翁以恩環歸。人以爲異焉。已而還于舊主人。主人翁相對如夢。益感其芳操能不負主人於風霜際。自是呼作知己梅。丙寅冬梅漸看將萎厭厭若紅佛桑。及丁卯春種于地。翁望其噓而蘓也。久之査枯矣。香氣則抱而死。朽根歸復于土。翁見之愕然歎曰我其殆哉。是年冬翁卒。噫梅知之矣。梅歸于翁三十七年間。其開謝與主人榮枯同。及其終以死先之。異哉。終古氷魂與雪魄。與凡卉雖殊。未聞梅有知者。彼羅浮山之說。頗誕妖非實有梅魂也。如林君復者。以梅處士知名。至今五百餘年。以暗香句播人牙頰。可謂得梅之趣者。然亦未聞孤山之梅知君復休咎之徵也。獨此梅何知焉。其遇君子人以爲主者歟。</text>
<title>詠盆梅</title>,<text>佳緣早托綿城隈。中歲相離不見開。夢返山菴殘臘盡。香魂何事尙遅回。氷魂雪萼滿枝新。藏得匡牀別樣春。淸意一般能記否。踈香應待舊山人。</text>
<title>至日</title>,<text>一理循環消復長。陽初動處見天心。反身欲驗玄機妙。三字符中體認深。</text>
<title>書示李仁甫，桂萬煕兩君。</title>,<text>學貴精詳不貴多。吾家宗旨本無他。勿忘勿助盈科進。會見新工日日加。旅榻聯襟惜寸陰。課程嚴立又溫尋。寒天夜夜三更月。應照書燈二客心。病轉床頭睡起遅。東天曙色正熹微。俄然一室朝光滿。暗去明來理可推。</text>
<title>戒怒</title>,<text>七情惟怒最難制。悔恨常多事過餘。四載窮途尤易發。爲將箴戒壁間書。</text>
<title>謹次退溪先生和奇高峯金而精韻。寄鳳沙，松隱，淸㙜，芝陰 盧啓元字伯春 求和。乙卯</title>,<text>世遠人已亡。嗟吾生苦晩。永絶師友道。無益還有損。魯才本滅裂。何能三隅反。悠悠半百年。流徇世俗混。加以性躁擾。臨事多偏狠。世患又怵迫。迷道不知返。難免小人歸。敢望聖賢梱。朝聞夕死可。惟學是爲本。自下必升高。自邇能致遠。義理至無窮。重重鎖關鍵。終非一蹴到。沈潛求之懇。舜跖在須臾。情僞何能遁。耿耿此心在。誰復相度忖。夜淸山月白。孤坐對娟婉。從善如躋攀。從欲如下阪。異言漸喧豗。聒耳如兒咺。廣居日荒凉。大道誰闢墾。獨學苦無成。無賴恐牽輓。茅塞山蹊逕。草沒丹田畹。但見榛中物。引去自蜿蜿。思與親勝己。徒做情繾綣。自愧舊業荒。不患今屯蹇。勉焉死後已。孜孜日殫悃。如不下種子。着手無藨蓘。右勤學吾心本太極。靜時是未發。一敬兼終始。如車有輗軏。齊肅做將去。本軆自無歇。由玆以制動。漸看前路濶。日覺身舒泰。何患心飛越。嗟哉牛山木。濯濯斧斤伐。制外以養內。瑩然無喪汩。惟貴不間斷。操舍在毫忽。高壘誠意關。志帥御氣卒。三令五申嚴。外冦終見滅。凱還奏天君。圖畫靈臺揭。嗟嗟吾黨士。盍於斯誠竭。右守靜</text>
<title>西塞七年未聞杜鵑之聲。及還始聞。此下宥還後</title>,<text>睡罷晴窓近曉鷄。依微落月在山西。盈襟爽籟風前竹。入枕寒聲雨後溪。關塞幾年愁鵩賦。故園今夜聽鵑啼。滄桑世事渾如夢。却怕從前好意迷。</text>
<title>次族姪山谷仲晦 沈 琴字韻</title>,<text>至痛千行淚。孤忠一片心。林泉閒事業。長物只書琴。</text>
<title>次山谷韻</title>,<text>交麈襟懷暢。聯牀世念空。圖書硏賾穩。理義辨論同。時運無終否。天機有必通。忽驚春事好。山鳥話幽叢。</text>
<title>敬次朱子寄張南軒韻贈山谷</title>,<text>衰病日轉㞃。萬事都可休。寥落雪山靜。蕭灑小菴幽。泉石擅名勝。松竹粧林丘。藏修爰得所。偃仰情綢繆。廵圃種奇花。坐石嗽淸流。晩來書冊功。霧花迷雙眸。有時會心處。默默加窮搜。四壁千卷書。十年一弊裘。麗澤幸有隣。山谷每從遊。有疑相磋切。有懷相唱酬。資益多警發。逢場輒淹留。優游聊卒歲。屛斥何怨尤。憂中自有樂。樂中自有憂。區區保晩意。努力身心收。</text>
<title>與諸益口呼聯句</title>,<text>前年國有慶。遷客歸故園。昭昭白日光。照得盆下寃。山谷。 松楸期畢命。秋毫皆聖恩。華齋。 依舊華山重。無恙玉峯尊。松隱。 潛伏畏虎食。脚不出山樊。華。 居然十年間。親知幾人存。四吾。 平生好知己。鳳沙及松墩。山。 沈綿漳水疾。悵望徒傷魂。松。 良辰幸命駕。佳會亦一番。相携涕盈眥。不暇問寒溫。鳳沙。 丰姿異昔日。但覺霜髮繁。山。 交頂共一夕。執手成晤言。松。 開懷各盡情。娓娓忘朝昏。華。 論文膝頻促。詠詩髯更掀。山。 豪談落珠玉。和氣吹箎塤。玆會眞可樂。往事寧復論。鳳。 交情見夷險。世態笑凉暄。山。 肝膽一古釰。非徒舊情敦。嘉雨適隨至。樂意足丘原。松。 暮樹嵐共宿。危磯浪欲翻。四。 竹韻淸詩思。松籟滌襟煩。鳳。 終朝意不盡。夜久坐前軒。俄然雲解駁。霽色滿乾坤。松。 入簾新月影。齊簷晴靄痕。華。 幽蛩似解意。喞喞依砌垣。山。 天時感人易。歲月奈遄奔。身謀各點檢。半世膠㓒盆。松。 遅暮共勉業。庶幾免素飡。鳳。 孜孜死後已。入德豈無門。華。 嗚呼二三子。此言宜勿諼。松。</text>
<title>輓盧芝陰</title>,<text>穌老仍孫有伯春。海陽家世更看新。山林日暖圖書靜。絃誦聲中遠俗塵。衣鉢傳來息老門。幾從講席聽餘論。遺箱未了編摩役。舊草空留點竄痕。衡宇凄凉旅櫬還。寒天暮雪路間關。北堂尙有歸來望。不忍羇魂向故山。</text>
<title>南菴感懷</title>,<text>小菴寂寂對孤燈。晩計甘爲有髮僧。靜裡襟期何處托。靑山流水是心朋。</text>
<title>山谷適來雨阻。拈出東溟集中君字韻。各步十疊。歸後能記其酒中放筆。精書送之。盛意不可孤。更步八疊。幷書前四疊以呈。</title>,<text>山齋幾度醉尋君。勸酒相忘鬂雪紛。健筆能傾三峽水。陳篇尙讀五經文。漁樵自是山人契。鵷鷺元非處士羣。暖律也應陰谷變。休嫌炙背近墻曛。庭堅去後又吾君。百懶窩中絶百紛。雲壑籟生時協律。雨庭苔蝕日成文。心無適莫還遺世。身自孤高便絶羣。得敎英才存一樂。莫歎西日易爲曛。一壑烟霞天與君。頓除人世是非紛。須知濂洛關閩學。只在詩書易禮文。蒔藥仙翁誰得伴。觀梅學士我爲羣。韶華無改身長健。始信蓬壺日不曛。君與吾儂吾與君。奚囊醵酒去來紛。談山話水超塵骨。駕杜鞭韓笑俗文。選地寧無摩詰趣。賞音應有伯牙羣。殘年願駐羲和景。莫向崦嵫復作曛。今世商顔又屬君。前身應解漢儲紛。紫芝曲裏經綸志。白雪歌中錦繡文。仔細看心無物累。可能遯跡謝塵羣。藥爐茶鼎多閒暇。寫罷黃庭倚暮曛。嗟吾衰老不殊君。霜鬂星星鏡裡紛。療病良方深淺酒。養閒眞趣古今文。草間細路行人少。郭外長空去鳥羣。遙望仙區愁獨步。碧岑岧兀日將曛。我昔乘春造話君。飛花勸酒舞簷紛。樽前風健毫端勢。壁上龍䧺匣裡文。詩律直追唐宋際。談鋒難壓儀秦羣。一身康濟猶能事。莫笑無成送日曛。閉戶元非效魏君。出門其奈路歧紛。時傾劉白三盃酒。閑把濂朱一卷文。卧處烟霞知本分。起來山谷是詩羣。蕭騷松桂遙相望。亂樾繁陰易暮曛。</text>
<title>前四疊</title>,<text>金蘭托契孰如君。靑鬂相從到白紛。元凱謾誇扛鼎筆。昌黎虛作送窮文。誰知慷慨燕南士。自是權奇冀北羣。最有忘憂忘世物。把盃長對百年曛。吾東詞伯世推君。醉後毫端風雨紛。當時可作無雙士。異日應傳不朽文。肉眼敢窺鄒宋域。瓊葩逈出賈劉羣。玉山未倒樽先倒。堪惜西峯欲暮曛。懶窩窩號稱於君。山谷幽居避俗紛。宇宙百年全性命。烟霞一壑耀奎文。時來佇見山龍補。運去何妨野鹿羣。最惜無情烏兎走。纔看東旭又西曛。停盃投筯爲憐君。曾笑危枝雀噪紛。夢罷邯鄲悲濁世。身藏林壑任斯文。陶潛好遂歸來計。阮籍空爲放飮羣。世事番番衣狗變。一樽聊待下山曛。</text>
<title>終夜無寐。步姜慕軒思卿 必愼 韻。呈鳳沙，山谷。</title>,<text>三宵良晤慰相思。別意還添歲暮悲。愁欝堪嗟閒趣少。膠擾難保此心持。一身踽踽其誰與。萬事茫茫不自知。病卧又孤山谷約。閒燈半夜獨題詩。</text>
<title>和鳳沙韻</title>,<text>年來衰鬂揔成絲。謫裏調將未適宜。醉失威儀難近酒。志多愁欝不題詩。人情可向窮途驗。世變今從閱處知。毁譽悠悠何足道。無如斷割一心私。萬死歸來卧舊菴。淸明佳節屬三三。事稀到手心還靜。客不臨門睡自酣。槃几有銘憂內疚。影衾何計息前慚。一區烟月依前在。從此優游老嶠南。佳朋次第惠然來。含笑逢迎眼忽開。鴻造均添新雨露。淸遊再續舊巖㙜。雲收華岳全呈面。春入庭梅半綻腮。盡日柴門無俗客。惟看短砌上蒼苔。中宵不寐繞彷徨。念及公私歲又荒。察睫幾𥾍天下事。衰顔非復鏡中光。經炎頓覺精神損。守靜還無手脚忙。攻苦喫辛隨分過。滿山松木可爲粮。</text>
<title>呈松溪金丈 是澍 壽席</title>,<text>煌煌南極老人星。勝日華堂彩舞輕。七十猶稀添二八。康寧已幸更聦明。昌辰雨露今嘉善。平地神仙舊廣成。洞有無愁山獻壽。商顔從古擅佳名。邦慶流虹逮野耆。武功新爵是高資。籌添東海千年核。衣耀西樞二品緋。酒溢流霞澆賀舌。瑞呈新雪襯厖眉。却憐自阻華筵會。風樹山阿獨掩扉。</text>
<title>次族姪景溫 涑 韻。示紀夫求和。</title>,<text>聖主如今方察眉。蒼生困悴不須悲。尊前靜對靑山近。鏡裡愁看白髮垂。屛跡漸稀門外客。思人頻檢篋中詩。新梅爛漫村醪熟。醉後狂歌詠楚辭。</text>
<title>敬次朱詩梅花韻寄山谷</title>,<text>屛蟄孤居熟。遊筇出洞遅。閒情雲鎖壑。淸賞雪封枝。排寒傾薄酒。乘興賦新詩。寄語山菴裡。慇懃問後期。</text>
<title>寄松翁</title>,<text>松老何時至。違期惱我心。每從蘿逕去。日日抱孤琴。</text>
<title>鳳翁與松翁約會。過期不至。山谷又因事罷歸。吟得一絶。示鳳翁要和。</title>,<text>山雲漠漠雨濛濛。寥寂溪齋對兩翁。松老違期山谷去。一春奇事半成空。</text>
<title>次家兒韻</title>,<text>自恨少年日。題名紙上紅。豈今人事變。從古世情同。養拙吾還拙。身窮志不窮。靜中方冊裡。對越聖賢風。</text>
<title>贈李君式 漢鎭 委訪</title>,<text>七年西塞苦相分。洛下重逢豈暫諼。伏熱畿僑曾枉盖。臘寒山舍又傾樽。跫音尙幸留空谷。天日偏蒙照覆盆。晩景飛霞歌詠樂。生成前後揔鴻恩。</text>
<title>同諸益賞春龍門</title>,<text>風霜十載後。歸對故山靑。石逕時高下。峀雲自去停。菴殘猶古井。僧去只空庭。踏盡韶光美。胷襟太半醒。</text>
