<title>南郊罷酌 五言絶句。十三歲作</title>,<text>平郊千里闊。乾坤入酒杯。篴聲嫋嫋起。使我暫徘徊。</text>
<title>次碧潼枕虛樓</title>,<text>得見佳人錦字書。欲知消息近何如。塞天寥落三更雨。千里相思眼似魚。</text>
<title>寄人</title>,<text>潮滿平江兩櫓催。思君欲見意難裁。無端風雨中流作。不是剡溪興盡廻。</text>
<title>罷仕還題</title>,<text>嫫母都忘色不揚。强施朱粉近君王。宮中衆女爭回首。不是相猜却笑狂。</text>
<title>除夕走筆次朴生韻</title>,<text>燭淚成堆不點燈。高樓百尺臥陳登。今宵痛飮眞良晤。明日行春一脚僧。</text>
<title>載寧客舍偶題</title>,<text>松花雪落晩風淸。獨臥高軒夕照明。歸思浩然猶有戀。國家恩重此身輕。</text>
<title>熊天使荷亭一絶。綽有詞人風致。因爲謾步。</title>,<text>南風吹▣入軒涼。簾底爐煙細細香。莫笑殘紅媚晩景。故留春色迓仙郞。</text>
<title>謝僧贈芒鞋</title>,<text>惠鑑住持成佛寺。委來相別贈芒鞋。應知老我引年意。勸使穿行山水涯。</text>
<title>到端州館。木芍藥盛開。感之而題。</title>,<text>二百年前是女眞。黃沙白草走驚麕。太平文物徵無象。看取各花照錦茵。</text>
<title>穩城</title>,<text>朔方初夏未聞鶯。城上靑靑草始生。時有胡酋來款塞。願將全部助天兵。</text>
<title>發會寧</title>,<text>昨夜天陰風色寒。挑燈孤坐夢成難。朝來發向江邊路。四月胡山雪意漫。</text>
<title>題雄城</title>,<text>胡山平頂德爲名。循海周遭壓郡城。賴有梨花如雪白。似曾相識眼雙明。</text>
<title>鍾城</title>,<text>行遍江邊一月程。征鞍冒雨到龍城。靑靑麥浪平如海。五月林中不見鶯。龍城東北近胡中。四日留連三日風。杖鉞重來懷尙惡。銷金羔酒莫敎空。</text>
<title>途中</title>,<text>深秋峽壁畫難如。夜雨添江始上魚。却忘此身來塞外。且留征馬任徐徐。</text>
<title>妙嚴</title>,<text>白雲山自白頭來。山上琳宮縹緲開。僧住此山三十載。偶然飛錫人塵埃。</text>
<title>贈主刊史略僧天緝</title>,<text>學子開蒙賴史書。文章發軸此爲初。僧來請刻眞嘉惠。玆告同心施有餘。</text>
<title>謝惠白魚</title>,<text>白白江魚堆滿盤。兼程遠餽趁朝餐。使君老老推官長。對案先嘗爲解顔。宦路差池繫一官。少年詩酒舊盟寒。宣城老守眞豪客。東晉風流伯仲間。</text>
<title>春陽路上賦一絶。呈內翰先生求和。</title>,<text>朝衣驛馬上層巒。山鳥驚飛怪俗顔。我是春陽溪上客。幾時歸臥聽關關。</text>
<title>贈僧</title>,<text>聞道高僧住近山。月明幽澗掩松關。王函靈篆三千字。露滴成丹點筆看。</text>
<title>遇草溪人過。仍憶浩然亭大遷之勝。感而有賦。</title>,<text>石路緣山號大遷。往來人影落長川。蘆花秋晩明如雪。歸去應先訪浩然。</text>
<title>詠梅</title>,<text>孤山疏影傍巖阿。帶雪含香未吐花。莫咲南枝開不早。晩來和鼎亦堪誇。</text>
<title>戲題贈人</title>,<text>我是仙官非散仙。暫遊蓬海大羅天。前宵戲與麻姑語。辜負情朋倍悵然。</text>
<title>宿洛山寺次韻</title>,<text>上方鍾罷海天淸。宿客開門看日生。金柱紫雲相閃閃。半規飛上萬山明。</text>
<title>溪邊卽事</title>,<text>霜落秋山錦繡如。夕陽含岫雁來初。孤峯削出芙蓉樣。決斷浮雲倚碧虛。霜落秋山錦繡如。淸流深處有溪魚。吟鞭晩向天磨去。薄暮楓林映月疏。霜落秋山錦繡如。朋來邂逅好聯裾。飛流看罷塵襟濯。淸磬時聞響草廬。</text>
<title>奉別朴子龍 東亮 赴關西方伯</title>,<text>白山西走擁如屛。一帶江流限重扃。昔日壯遊時入夢。夜來飛上受降城。</text>
<title>早出山城</title>,<text>曉來三點兩點雨。雨霽雲收海霧深。賊退兵留民未息。不憂天旱憂人心。</text>
<title>次大同江韻</title>,<text>大同江上夕陽多。握手相看唱別歌。南去北來人不斷。莫將行客比流波。</text>
<title>送大宗伯玄翁 申欽 以奏請赴燕</title>,<text>一索曾年賀兩宮。重离新慶四方同。正名猶待天申命。催着征軒奏舜聰。西郊寒雨儼驂騑。此去燕京幾日歸。聞道朝廷方擾擾。待兄來說是兼非。三衛夷酋敢匪茹。遼陽頻歲護儲胥。似聞廟議方加罪。消息傳來果不虛。總鎭頃年誣小邦。至今餘憤未全降。近聞科道猶論列。要看彈文筆似杠。</text>
<title>途吟</title>,<text>跨馬沿江日暮歸。垂楊着地拂蓑衣。居人底事衝霖雨。稚子候門水及扉。</text>
<title>偶寄車萬里 雲輅</title>,<text>寒風急景近窮陰。隱几南郊思不禁。却憶舊遊隨處好。登山臨水聽龍吟。</text>
<title>無題</title>,<text>犀鎭羅幃未覺寒。篆煙初起鷓鴣斑。佳人笑進羔兒酒。滿額鵝黃倚醉看。</text>
<title>題丹溪李都事惟諴韻 五言律詩</title>,<text>門外千山雪。庭前一樹春。壺觴浮綠蟻。蠟燭映朱塵。共待靑油客。偏傷白屋民。高堂聊取醉。不必澗之濱。曾遊文字飮。不是爲尋春。共借蘭薰室。何勤扇障塵。談兵劘劇賊。詢瘼念窮民。題詩兼善謔。猶尙紀河濱。</text>
<title>八月初七日發眞寶。歷椒井。與使相相會。方穿千曲嶺。淸溪一道。翠壁兩崖。賞玩未已。暴雨大作。</title>,<text>驟雨聲何壯。刀鎗萬隊橫。方愁千疊險。又怕一溪盈。許國難辭苦。思親不耐情。幾時淸島醜。靑蒻傍江行。</text>
<title>八月十五日夕遇雨</title>,<text>苦雨連三日。灘聲到枕邊。那堪看月夜。虛作對床眠。壯志憑誰說。孤蹤每自憐。只須開獨酌。長嘯向秋天。</text>
<title>途中有懷</title>,<text>昨歲隨天將。愚迷事不終。東車頻換節。南海遍留蹤。方寸同徐子。謀猷愧臥龍。如何來又去。數數未從容。</text>
<title>南海有感</title>,<text>翹首看鵬褰。混茫不見天。搏風升九萬。擊水過三千。黃鵠飛何短。靈鼇伏不遷。那知蜩與鶯。還笑棘籬邊。</text>
<title>閒山島贈黃洪善</title>,<text>惆悵三年別。干戈萬死餘。重逢眞邂逅。相憶問何如。鳳綍新承寵。鴻勳足大書。城南他日會。列戟傍茅廬。</text>
<title>再步前韻。答洪善令公。</title>,<text>按節趨南海。相隨二載餘。論弓推庾子。授簡讓相如。已矣吾生拙。徒饒紙上書。何當持美酒。膝行謝周廬。</text>
<title>偶吟</title>,<text>李白騎鯨去。江南風月閒。鸚洲空錦浪。廬岳鎻層巒。猿鶴悲唫處。煙雲變態間。騷人今古恨。誰喚謫仙還。</text>
<title>春日小酌習射 二首</title>,<text>嶺路春將暮。山城花亂悲。開樽迎麗景。鳴鼓對斜暉。觀德筵初設。耽歡醉不歸。乘閒聊習武。非是趁芳菲。又謬鎭紅旗下。空看倦鳥飛。山花明曉露。芳草靜春暉。故郭一年住。王孫何日歸。四郊多賊壘。無意賞芳菲。</text>
<title>嶺中途中</title>,<text>雪嶽一支去。東趨聳海中。雲根千仞疊。地軸四望通。去鳥終投海。歸颿正駕風。玆遊隨處好。不怕錦囊空。</text>
<title>過嶺有巖突起路傍。上有古松數株。下有潭水。絶壁千仞。問諸長年則名喚淸心臺云。</title>,<text>積雪深三尺。行人沒半腰。方纔逾峻嶺。又復渡危橋。絶壁臨寒瀨。哀聲咽玉簫。淸心誰揭號。此日暗魂消。</text>
<title>萬里餽我以蜂蜜熊掌。聊賦短律。以報心貺。</title>,<text>有美金城守。文章世有聲。龍頭攀早歲。驥足淹中程。風塵誰薦鶚。詩酒漫論兵。餽我玄熊掌。知君勸捨生。</text>
<title>奉贐黃知事朝天之行</title>,<text>明公五弟兄。丹桂四枝榮。夙望俱台輔。新除只月卿。聖君思舊績。天子認前名。遙想觀周樂。應添江漢聲。</text>
<title>奉贐申參判朝天之行</title>,<text>貝錦初停織。洪鐘亦撼筳。獨賢方夙夜。專對選朝廷。鶴野三千里。萱堂八袠齡。思歸何處切。蠻館見秋螢。</text>
<title>奉贐趙直哉朝天之行</title>,<text>別我向京去。憐君更遠遊。那知求養志。飜作倚閭愁。浿水賓鴻夜。遼山落木秋。白雲看益苦。休上仲宣樓。</text>
<title>奉和冥觀居士尹安性韻。兼呈禮曹參議。</title>,<text>名山連北塞。應近白龍堆。岳色看初好。嵐煙鬱未開。那知千里道。得枉二▣來。只欠名香處。東風不見梅。</text>
<title>再和前韻。奉呈冥觀老仙。</title>,<text>山房燒蠟燭。入夜淚成堆。月黑人無語。窓虛風自開。灘聲隨雨至。鶴唳下天來。羈抱此中惡。不須聞落梅。</text>
<title>敍舊送志范令公 李壽俊</title>,<text>昨歲歸京日。移家住永城。雙池憂喜別。一席去留情。往事雲俱散。流光水共傾。慇懃今夕意。只祝愼脩程。</text>
<title>贈人 二首</title>,<text>古館臨周道。林亭特地幽。開筵成小酌。取醉破閑愁。玉樹暫難倚。瓊章到不求。淸川明月夜。更擬共仙舟。百年興禮樂。時雍軼虞姚。異域爭稽首。何人恥折腰。梯航山海遠。蹈舞雨風調。尙軫張皇戒。將軍正落鵰。</text>
<title>次杜子美</title>,<text>從呼牛與馬。行世任虛船。甘後乘軒鶴。難同飮露蟬。支離非是德。文繡亦違天。莫近刑兼善。蒲團等細氊。</text>
<title>端川館有感</title>,<text>念我同門友。辰年佩郡符。讀書方好學。臨難誓損軀。自許獨行士。人稱大丈夫。羅地誰建廟。吾欲看乘駒。</text>
<title>次韻</title>,<text>吹角城門閉。憑軒客意淸。山容秋後色。靈籟夜深聲。玉露輕輕落。金波灔灔生。無因駐此景。獨坐到天明。</text>
<title>戲吟求和</title>,<text>白髮觀風使。開筵敞畫堂。春心雖已冷。豪習未全忘。戲罰穿楊士。羞爲傅粉卽。粧成官妓樣。大笑億千場。</text>
<title>次伯瞻韻贈仁上人</title>,<text>㫾午初甘睡。思歸夢日邊。兵戈今十載。關路向三年。髮白羞看鏡。年衰任着鞭。僧來說好語。一笑意悠然。</text>
<title>三月三日紫霞洞。得風字。</title>,<text>紫霞名勝地。佳節會冠童。澗水環雲幕。林花動惠風。論詩情不盡。把酒興無窮。誰記玆遊迹。形容付畫工。</text>
<title>步月沙台兄韻</title>,<text>沙翁詩最健。勇可挾雙輈。頻作輶軒使。恣探山水幽。河從天上落。川傍峽中流。來去留佳句。千秋記勝遊。</text>
<title>甘露寺次金平章韻</title>,<text>海近潮還汐。長江澄不淸。鍾聲風引遠。月色夜深明。抱病懽情少。逢僧俗慮輕。平生遠遊意。甘露幸同名。</text>
<title>尹左相海原 斗壽 挽</title>,<text>國步重恢日。安危在廟堂。文謨綏反側。武略濟搶攘。天上中台折。人間元老亡。蒼蒼胡不憖。而使聖心傷。</text>
<title>贈通川守 二首</title>,<text>萬古楸池嶺。雄臨大海西。濤聲來郡舍。民物聚沙堤。地産魚鹽利。山多熊虎棲。奇觀叢石路。落照萬帆低。兩年空坐嘯。賴子佐疏慵。公廨營三宇。官糧儲千鍾。民間弊盡祛。僚席樂偏濃。別後長思處。南樓起暮鍾。</text>
<title>移寓後漫題 寧海時</title>,<text>古屋無墻壁。荒涼曠野中。那知禦魅客。來作主人翁。松樹連村暗。泉流與海通。最憐西嶺日。留照小窓紅。</text>
<title>任持平 叔英 挽</title>,<text>與才不與命。古語曾聞之。百世名長在。一時人盡悲。文星歸帝側。直道荷主知。未了彈文草。那堪薤露詞。</text>
<title>吳同知 百齡 挽</title>,<text>兄弟眞聯璧。同年擢桂科。機雲文譽早。軾轍直聲多。痛隕雙龍穴。悲傾兩鳳窠。長君尤悼甚。迎柩淚添波。</text>
<title>申玄翁夫人合葬挽</title>,<text>有美名家女。于歸君子儒。瑟琴諧契闊。蘭玉剩歡娛。未見沙堤路。先歸蘿帶區。佳城今更卜。褒贈再嗚呼。</text>
<title>次客亭韻</title>,<text>秋生猶酷暑。薄暮乍涼風。月色侵階上。蛩聲亂草中。擣衣憐戍婦。流火感衰翁。明發江湖去。垂綸睡短篷。</text>
<title>正月初五日。以雨多暇。與僚兄小飮至夜深。因和朴生韻。七言律詩</title>,<text>今來帥鎭把紅旗。往事傷心一奕碁。屬老西遷人似市。無船平渡水流澌。南邊三戶爭嘗膽。北學諸生解撰詩。雨洗妖氛驚雪萼。相携且莫負佳期。</text>
<title>寄松雲令大師</title>,<text>雲衲頃磨山水來。聊持羽扇靜風埃。四年鞍馬兵戈擾。一壑松蘿猿鶴哀。遮莫莊生譏數數。從敎庖子刃恢恢。知音唯有鴟夷客。靑眼何時共一咍。</text>
<title>重到八莒有感書奉</title>,<text>曾隨督府駐南營。十二將軍四萬兵。借筯自慙無遠略。開懷頗幸愜中情。旗升曉日風雷動。火擧黃昏宇宙明。擁節重來人事變。壯心空作不平鳴。</text>
<title>四月初六日午。憩晉州西石臺上。</title>,<text>頭流山下小郊邊。石自成臺江自淵。村掩落花舟子遠。浪浮琴鯉釣翁眠。三年奔走兵戈地。半日安閒洞府天。種樹主人今在否。竹疏松老不知年。</text>
<title>重過月波有感</title>,<text>繁華憶在八年前。承命玆亭敞錦筵。花爛紫薇紅襯席。江涵香桂碧連天。凄涼往事成陳迹。突兀高甍尙巋然。短髮搔來餘壯氣。一聲孤嘯捲腥煙。</text>
<title>自南海乘船抵閒山島</title>,<text>自經多亂歲三周。奉使南中得再遊。未吐埋輪張子憤。還登灑淚晉臣舟。除讐志切安鯨浪。宣澤才菲愧列侯。寄語龍驤金帶客。報恩寧可死前休。</text>
<title>南海次洪益城 聖民 韻</title>,<text>今日井蛙望大洋。欲尋波際恨無梁。三秋水却哭河伯。萬里遊還慕子長。老氏敎深爭座席。小兒嫌重愠憑床。是是非非俱已矣。爲緣何事苦忽忙。</text>
<title>十月十四日。再向閑山島。</title>,<text>再度乘舟絶大洋。臨波綸短恨鯨揚。三年戰伐滄溟動。萬骨沈埋島嶼傷。竝擧交鋒雖得策。淺謀挑敵奈非臧。千颿還向閒山泊。水底魚龍怕一場。</text>
<title>再次朴生韻</title>,<text>赤幟誰將發趙旗。揮毫百戰又圍碁。一枝梅動三更雨。十里江流萬壑澌。侍側螟蛉公子說。命騷奴僕錦囊詩。美人遙憶西方遠。中路無違昏以期。何能拔寨勇搴旗。要着仙人冷暖碁。日照園南梅欲綻。雁稀沙上水無澌。一壺車掛靑蓮酒。千首囊儲處士詩。莫怕前山看向夕。美人應不負佳期。</text>
<title>孤査亭次壁上韻</title>,<text>金沙境界小江濆。先輩凋零幾箇存。亭裏琴樽今底處。壁間詩句已難分。山回水轉疑無路。地少天多忽有雲。想得孤査潭上樂。令人惆悵倍思君。</text>
<title>岳堅營次都事李 惟諴 韻</title>,<text>逶迤粉堞間層巖。下有朱門擁檜杉。正合堂中杯灔灔。何須席上手摻摻。浪吟佳句時橫槊。倚醉狂言莫戒緘。雨後園林春意動。畫簷如聽燕呢喃。</text>
<title>次賓賢樓韻</title>,<text>今古興亡閱幾過。欲談須借辯懸河。新年戰骨招魂少。廢寺金仙感淚多。壯士豈知抽釰舞。將軍不解處容歌。繁華掃盡成荒戍。獨立臨風無奈何。</text>
<title>次都事韻</title>,<text>靑油無事臥蒲鞭。行看桃花點逝川。好客不來閒玉斝。殘陽未落怨啼鵑。竹籬短短圍茅屋。松籟泠泠響暝煙。賴有風流賢太守。紅粧時載艶陽天。</text>
<title>鳳棲亭</title>,<text>黃昏扶醉上高亭。桐在墻陰竹在庭。月盡枯梢橫院落。風敲寒韻響窓欞。嚴霜節後枝空老。兵火年來葉不靑。丹穴秖今留海岸。鳳飢何處影竛竮。</text>
<title>平海</title>,<text>木皮蓋屋數三村。傍海緣崖少平原。華館秪能觀北海。高山底處有東園。溪楊帶雨今初嫩。春日穿雲尙未溫。杯酒淸遊今老矣。耳邊偏厭怒濤喧。</text>
<title>除夕宿丘山驛</title>,<text>殘燈挑盡到三更。客子心中百感生。西路趨朝同二子。南營擊柝共千兵。五載光陰俱逆旅。百年歡樂已無情。吾衰不怕添霜鬢。自是悽然睡不成。</text>
<title>奉呈洪判書 汝諄○三首</title>,<text>轅門昔日虎牙閑。坐鎭山戎靜鐵關。授鉞干戈遷謫裏。收功樽俎笑談間。軍中號令嚴秦法。堂上威儀覩漢官。前歲偶從營府過。人言吏畏庶民歡。聊借浮生半日閒。垂鞭信馬訪柴關。人言十里花津外。家在千株松樹間。舊識尙書爲異爵。今知巡使是郞官。一時盛事須傳詠。愧乏纖歌可侑歡。大嶺之東事事閒。不如沙塞玉門關。梨花洛寺啼鵑處。楓樹西樓落照間。人有古心琴古曲。使爲仙伯府仙官。我公曾是靑油客。須與星郞各盡歡。</text>
<title>觀德堂次洪正郞韻 安州兵營</title>,<text>大陸風驅萬馬群。玄冥苛令劇商君。吟肩尙聳含綸客。隨指飜思負羽軍。路向晴川通北塞。營開細柳鎭西門。揚鑣自有酬恩地。行役寧辭夙夜勤。</text>
<title>鏡浦</title>,<text>曾辭玉陛御泠然。來伴群仙共醉眠。靑鳥廻遲玄圃月。紫鸞吹動鏡湖煙。四仙陳迹今何在。百歲人生最可憐。壺裏乾坤長不老。爭如日日敞華筵。</text>
<title>酬申景卓 活</title>,<text>嶺外相逢別有情。連鑣沙路馬蹄輕。湖邊藉草談仙境。臺上停杯聽海聲。水擊三千鱗化羽。風傳一曲鳳吹笙。與君要訪洪崖子。今夜聊眠古邊城。郵亭往復共三千。到處笙歌敞錦筵。作客聊爲開口笑。論心誰與對床眠。別時有約徒成障。好事如今喜得圓。大醉䭾歸風雪裏。狂歌一曲意悠然。</text>
<title>襄陽</title>,<text>襄陽佳麗古名府。壯觀爭傳河趙臺。白鷗無心驚忽去。黃鶴高飛招不來。蓬山東望正迢遞。落日西頹更低回。千秋長憶二公子。惟見海棠年年開。</text>
<title>失題</title>,<text>聞道聯翩控大邦。天兵東出賊垂降。仙遊行樂饒紅拂。戎節先驅有錦江。碧海波長天化一。紫簫聲徹鶴飛雙。菲才愧忝觀風使。佳句還羞夢筆杠。使華行李太蕭然。坐度孤城日似年。一歲風光酣野外。三春積雪滿山巓。芳樽時有開晴日。客恨難堪對逝川。賴有詩篇相往復。撚髭待到暮鍾傳。</text>
<title>全城府院君李 準 挽</title>,<text>華封善祝壽多男。崇貴人間是滿三。千佛名經曾早薦。兩朝勳業亦頻參。掉頭汶上終全節。啓手淵氷得免慚。隨世和光眞耆德。欲題哀輓獨難堪。</text>
<title>高山金察訪善餘挽</title>,<text>風儀端重富年華。人望方推雲路賖。妙句曾看吟白雪。高才正合掌黃麻。翰林聲價終郵吏。太史文章屬外家。地下有靈應慟哭。倚閭叵耐返喪車。</text>
<title>奉贐金學士景擇 尙容 朝天之行</title>,<text>十萬胡騎入雁門。漢家新喪上將軍。遼河白骨多於土。蓬海妖氛蔽似雲。到處兵戈方塞路。此時朝聘政須君。懸知觸物傷懷抱。遮莫金笳半夜聞。</text>
<title>戲呈詩社老先生</title>,<text>三椽茅屋暮江濱。官罷歸來似舊貧。雪蟄嬌兒增索飯。寒欺老妾便生嗔。六韜雄略空無敵。半世詩名只是賓。一斗香醪知有命。王弘虛負白衣人。</text>
<title>詠村燕</title>,<text>長恨當春獨後來。畫堂何處更徘徊。非忘舊主前時意。剩被新禽此日猜。擬托雕樑穿繡幕。却投村店困煙埃。風蒲已暗雛將老。還怕靑蛇去卽回。</text>
<title>奉和冥觀居士韻。兼呈禮曹參議。</title>,<text>盡室西來又向南。忽逢禪客剩懷慙。家留嶺外同鄕井。蓬轉天涯共麈談。憐我此時還就食。問余何日永抽簪。空門事業無多苦。雲在山頭月在潭。</text>
<title>失題</title>,<text>關路春風四牡騑。此時那得共君歸。仙山矗矗千峯露。玉節遙遙一逕微。天末鳥還滄海闊。日邊人斷白雲飛。逢僧莫問畸翁事。終歲彎弓臥鐵衣。</text>
<title>奉和金景仁韻</title>,<text>十萬天兵奏凱還。兩西奔走兩南閒。新藩玉節行將返。舊國金甌缺又完。紫海氛淸開鏡面。靑山雪盡露孱顔。中興日月方垂照。莫歎蹉跎作馬官。春雲釀雨擁重陰。作客芳辰恨轉深。强會群賢飛玉屑。那看脩竹傍瑤林。長安尙遠頻回首。細草初生更悼心。却憶太平行樂處。杏花園裏費追尋。千尋削壁壓狂瀾。却走平原做小灣。逝水悠悠長不盡。仙軺杳杳已難攀。曾年冠蓋幾經過。此日旌旗空往還。聞道橫橋今尙在。免敎嗔責老郵官。</text>
<title>江界</title>,<text>雄藩形勝抗龍庭。刁斗寢聲二百齡。水向西流歸鴨綠。山從北起與天靑。四州毳落行將遍。三衛豪酋勢莫寧。國步艱危無李郭。不知誰勒孟堅銘。</text>
<title>江界東軒和獨石韻</title>,<text>隨風柳絮舞狂顚。客路風光已半年。二水縈紆來護郭。群山環列遠浮天。每慙身擁三邊節。敢望腰纏十萬錢。只恨雄心猶未展。倚欄長嘯氣悠然。</text>
<title>和板上梧陰相公韻</title>,<text>四月高樓尙怯寒。賓筵難却酒杯寬。何勞玉塞行將遍。且喜金甌缺又完。八道城池誰得保。一方形勝獨占安。臨江忽憶龍灣事。說到當時鼻亦酸。</text>
<title>送尹季初朝天之行</title>,<text>流虹節値斗西杓。金氣行秋玉燭調。鳳闕九重同拜舞。鈞天一夢雜笙簫。日邊人返空聞語。江外公歸又賀朝。別後眼穿何處是。仙槎八月影層霄。傷心却憶亂離前。曉出西郊敞別筵。三疊陽關重執袂。一竿殘照已低煙。喧喧戲語南隣伴。戛戛鳴箏北里絃。此日異鄕看碧樹。丈夫垂淚亦悽然。</text>
<title>奉呈鶴巖主人</title>,<text>豪華氣槪厭淸貧。占斷江山作主人。流水桃花堪避世。淸樽綠酒剩娛賓。桑麻十里漫平野。紅粉三行擁綺茵。暗想風煙歸未得。雙旌又逐馬蹄塵。</text>
<title>失題</title>,<text>瑤京西望幾長亭。來拜松楸向北行。別恨盈腸方黯黯。雪花迷路又輕輕。邊城搪報連宵過。殘驛候人逐日迎。何日平胡尋去路。角巾微服返桑耕。</text>
<title>關西逢故人</title>,<text>二十年前同榻友。相逢關外浿江濱。憐君尙做專經業。顧我忝爲仗節人。半世榮枯知有命。一場歡謔豈無因。從今直向香山去。須戒華筵酒入唇。</text>
<title>謹步元韻。奉呈襄陽太守趙持世。緯韓</title>,<text>城外高亭枕大堤。蒼茫嶺海在東西。佳人厭見瑤臺鏡。遠客催飜碧玉蹄。寶刹地▣淸磬響。鎻金帳暖豔歌低。世間剩有楊州鶴。何苦歸尋隱者棲。</text>
