<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>與諸益同棲道峰書院。偶然乘興。行至飛瀑處。朴季肯 世堂 首拈留字韻。與金景能 萬增，趙元鎭 相鼎 共和。留題苔石。</title>,<text>飛瀑巖巒曲曲幽。短筇隨處爲遲留。斜陽物色如爭媚。欲得詞人一點頭。附元韻步入仙源境轉幽。每逢佳處挽吾留。雲巖萬疊溪千曲。歸路斜陽在嶺頭。</text>
<title>元鎭，景能先下來。獨與季肯。行行未已。至㝡高處。瀑流絶奇。比向所觀。頓覺一層加。與季肯欣然一笑。甚喜其獨來擅觀。却笑二友之先去。不得與於斯奇。遂次前韻。以記其興。欲以誇矜於二友也。</title>,<text>一曲巖流一倍幽。二人先去二人留。此間淸趣君何識。別有奇觀㝡上頭。</text>
<title>次南丈 汲 韻</title>,<text>十載丹心拱北辰。想看周道日維新。朝廷濟濟登多士。夫子高名自此伸。弄墨操毫自妙辰。句成蛇蚓語無新。鉛槧半世終何用。力學由來愧未伸。附元韻梯空須速上星辰。秋滿蟾宮桂自新。顧我一身嗟已老。志存題柱恐難伸。</text>
<title>負笈于安院寺。路中命舍弟呼韻。</title>,<text>一鞭行色萬山中。何處鍾聲落遠風。宿鳥投林人跡斷。正看新月欲生東。</text>
<title>夜雪乍霽。新月漏光。開戶有興。遂吟一絶。</title>,<text>海天雲色暮依微。正是江山雪亂飛。半夜開窓驚起視。月明巖壑散珠璣。</text>
<title>贈鄭典籍 期泰</title>,<text>燈光明滅夜將闌。閱罷靑緗口欲乾。遙羡直廬明月夜。玉蛆金椀不盡歡。</text>
<title>寒花只暫香 課製。代人。</title>,<text>萬木吟風落葉黃。客邊時序已秋霜。凄凉物色偏憐汝。滿塢寒花獨抱香。</text>
<title>過同仁堡大洞有詠 同仁。甲山堡鎭也。</title>,<text>山深日落噪寒鴉。萬木吟風夾路斜。忽有村狵來吠客。隔林知是小民家。</text>
<title>謫裏讀商書</title>,<text>藜羹粟飯養殘軀。晨起衣冠讀典謨。莫道書生無用處。一身都是一唐虞。</text>
<title>借燈油</title>,<text>旅舘風亭獨不眠。殘燈枯盡夜如年。囊螢映雪俱無賴。願借餘輝照枕邊。</text>
<title>八月二十四日。風雪大作。</title>,<text>秋晩邊城迫授衣。暮天風雪亂霏霏。窮途未遇綈袍惠。澤畔覊蹤底處依。</text>
<title>謫裏思君親感吟 二首</title>,<text>孤臣去國幾時歸。未死葵忱向日暉。延頸長安何處是。夢中猶着舊朝衣。眼冷松楸魂未歸。此生無計報春暉。門閭望斷王孫母。血淚斑斑濕滿衣。</text>
<title>感吟</title>,<text>老去那能詩律細。憂來其奈酒盃空。江山千里無歸使。迢遞鄕關信不通。</text>
<title>丙午臘月。趙嶷望 世煥。出宰此州 謫夷山時。千里塞外。十載相逢。驚喜无量。適値除夕。情懷甚惡。次高達夫韻。奉呈。</title>,<text>昔在銀臺數月眠。威顔咫尺語琅然。卽今血泣追愆日。謾祝岡陵億萬年。右戀君獨背殘燈倚枕眠。夢中哀淚覺猶然。非緣計較竆通事。爲是離庭已有年。右思嚴親遊子如何獨不眠。望雲時復淚潛然。九原草宿無人護。慟結幽明已五年。右哭亡母</text>
<title>寄呈甲山使君要和 二首</title>,<text>翫月南樓拚共遊。詠梅東閣許分愁。春來何處宜成醉。城下長江一帶流。楚澤春歸賦遠遊。九歌吟罷不禁愁。請君試問離騷恨。深淺何如東海流。</text>
<title>與李仲羽 䎘，趙嶷望。同出城外江上。盡醉口號。</title>,<text>隴水潺湲塞日黃。一樽官酒共傳觴。明粧左右笙歌動。還把他鄕作醉鄕。</text>
<title>李仲羽放還。夜與同宿。翌日將發。口號贈別。</title>,<text>客舘風淸夜向深。一燈相照兩人心。煩君數寄空中字。千里音書直萬金。</text>
<title>與仲羽別後。嶷望寄示一絶。步和。</title>,<text>天涯作別不禁愁。此後相逢未有由。萬疊關山應不隔。夢䰟猶自落南州。</text>
<title>贈別北靑張主簿</title>,<text>漠漠陰雲欲雨天。客行何事促歸鞭。一盃相屬臨岐別。北海東溟路幾千。</text>
<title>到襄陽。訪使君權悅卿 說 不遇。次前贈衣韻。留示。</title>,<text>路入空城獨自歸。暮天回首只斜暉。窮途罕見綈袍戀。厚意寧忘舊贈衣。附元韻 辛丑。編配于夷山時。悅卿手携紙衣一襲。且作一絶來別。憐君此去幾時歸。征馬遲遲帶落暉。遙望鬼門千里外。殷勤爲贈一寒友。</text>
<title>偶吟</title>,<text>虛川客作箕城客。北去南來捴一般。却憶向來邊地苦。海山物色有餘閒。虛川。甲山別號。</text>
<title>趙嶷望所寄書末有絶句。次其韻。答寄。</title>,<text>別後還驚歲已分。迢迢北樹與東雲。書來認得相思意。爲謝夷山趙使君。夷山箕海北東分。塞月何曾阻瘴雲。唯有兩心元不隔。君思我處我思君。</text>
<title>太守有駿馬吟贈</title>,<text>伏羲之世有龍駒。今也吾知已矣夫。太守得之誇向我。莫云天下其眞無。天門拜賜大宛駒。騎向關東是丈夫。我願因之西出塞。掃淸沙漠虜塵無。</text>
<title>九日逢友人會飮</title>,<text>舊友新朋醉一塲。海天風雨是重陽。不妨今日同歡樂。其奈孤雲隔太行。</text>
<title>次人韻</title>,<text>沙鷗出沒戱春江。飛去飛來自作雙。愛爾無心閒似我。忘機終日坐晴窓。江上羣峰影倒江。名區物色信無雙。蒲團宴坐塵緣息。風滿孤舟月滿窓。淡月流輝蘸碧江。閒人獨與水禽雙。漁燈遠近蘆烟外。何處笛聲來入窓。或登於山或泛江。扁舟一葉屐一雙。客來休問我去處。不在山房在篷窓。</text>
<title>贈別鄭美長</title>,<text>君向湖西我嶺東。去留心事一盃中。江風海月相思處。此恨悠悠豈有終。</text>
<title>李掌議斗精佩酒來訪。詩以謝之。</title>,<text>日午虛窓客夢驚。一壺從事見深情。避賢樂聖眞堪笑。牧隱曾稱混沌名。</text>
<title>醉後走筆。贈江原都事姜渭師。碩賓</title>,<text>風流亞使是吾宗。今日寧期此地逢。千里幾年勞夢寐。一尊相對得從容。</text>
<title>贈浩然亭主人黃命耉</title>,<text>浩然亭子擅繁華。菊帶殘香映白沙。最愛海天霜雪後。老松脩竹繞成家。占得名區閱歲華。春梅秋菊間明沙。閭閻近海皆蜑戶。誰識中藏處士家。</text>
<title>登屋後小岡</title>,<text>悄悄幽懷不自裁。一筇孤倚望鄕㙜。斜陽落盡還歸去。準擬明朝又再來。</text>
<title>春賀</title>,<text>平海城臨東海東。望洋亭外日先紅。春風亦自東方起。雨露應先及我躬。幾年流落客長沙。又見春歸苦憶家。但願天心均德澤。普將雷雨潤枯査。</text>
<title>二月夜吟</title>,<text>天涯楚澤寡知音。苔逕曾無過客尋。唯有越松亭畔月。獨臨窓外慰傷心。</text>
<title>凈泉湧壑</title>,<text>奇峰玉立聳崢嶸。巖罅靈泉徹底淸。日夜滔滔流不竭。孰知餘澤濟羣生。</text>
<title>禾巖倚空</title>,<text>倚天山骨立軒昴。俯視千巖勢欲僵。已遣六龍回日馭。恐穿河漢抉天章。</text>
<title>越松步月</title>,<text>桂魄流輝露欲溥。夜深松籟覺生寒。半空笙鶴飄然下。不許塵人指點看。</text>
<title>竹園棲禽</title>,<text>脩竹成林深復深。幽禽亦解愛淸陰。斜陽欲落歸飛盡。覽物偏傷遠客心。</text>
<title>枳林秋色</title>,<text>一林霜葉逐風零。萬顆金丸落地明。却愛輕盈携滿袖。任敎兒子闘相爭。</text>
<title>梅花春雨</title>,<text>萬事人間一念灰。短筇隨處只探梅。氷䰟帶雨淸香至。疑是佳人掩淚來。</text>
<title>九日</title>,<text>時危人事自多哀。秋晩乾坤客未廻。風起獨看黃葉下。日斜誰遣白衣來。抱病尙知吹帽節。登高直作望鄕臺。飄然斑白將奚適。萬事秋風酒一盃。</text>
<title>平海白巖寺口號</title>,<text>嶺海沉淪苦未歸。暮春乘興訪禪扉。幽禽故傍巖花語。似向騷人說是非。水複山重深復深。岩花澗草捴傷心。探春客子無多興。鳥響泉聲助苦吟。</text>
<title>平海邑人淸逸軒醉吟</title>,<text>竹邊梅萼倚窓開。踈影淸香共入盃。手折一枝無處寄。半天殘照獨歸來。</text>
<title>浩然亭主人黃湜。適得盆梅。邀余來翫。余新遭舍弟喪。未果。久廼往見。花已憔悴向衰。感而有作。</title>,<text>聞道寒梅趁臈開。病中持服不曾來。卽今憔悴還如我。爲向花前把一盃。</text>
<title>謝朴文彬送蟹醢</title>,<text>平生自信有剛膓。竄逐年來苦斷膓。膓斷卽今無一寸。羡他公子本無膓。</text>
<title>己酉二月二十一日。卽寒食也。官衙酒席醉吟。</title>,<text>呼酒東軒夜欲分。醉來詩思藹如雲。丹心一寸猶難折。北望何堪憶聖君。</text>
<title>贈人</title>,<text>庭梅早得雪中春。爲愛寒花竹外新。東風莫惜殷勤折。欲寄關西夢裏人。上使風流暖若春。雪中寒萼一宵新。氷魂不逐星軺去。別後探香有幾人。</text>
<title>澄波渡</title>,<text>巖花開盡一夜雨。春晴麗日澄波渡。渡口水生人語稀。蒼蒼山色但烟霧。</text>
<title>有懷</title>,<text>堂堂左海國奇男。尺八身邊劒尺三。長嘯一聲天地窄。陰山無北海無南。</text>
<title>贈麻田逆旅主人</title>,<text>夜入麻田郡北村。主人迎我笑談溫。爲將杯酒勤相送。却把殷懃謝厚恩。</text>
<title>閒中卽事</title>,<text>簾外風微鷰影斜。暗香知是滿園花。若爲報答春光好。却典烏衫向酒家。</text>
<title>漣城憶家</title>,<text>洛邸曾爲懷土客。漣城今作憶家人。可憐來往平生事。只爲妻孥不爲身。</text>
<title>癸丑三月。從弟玉汝呼韻。信口以對。</title>,<text>蘭亭脩稧屬佳辰。曲水流觴卽暮春。玆會千秋今可繼。淸和風日不全貧。</text>
<title>高山郵舘感吟</title>,<text>自斷此生休問天。身如駑馬任人鞭。宦遊遷謫何曾異。均是當年路八千。天涯客子未言歸。九月邊城迫授衣。遙想家人應念我。夜寒猶自上䲶機。</text>
<title>觀城試院與李掌令汝老 壽㬅 酬唱。觀城。卽利城。</title>,<text>秋晩關河鴈帶霜。朔吹凄緊午軒凉。人生百歲元如客。莫向風塵㤪老蒼。</text>
<title>汝老曾爲亞使時。洪原有所眄妓。今者嫌其年老有子。戱題云。灼灼墻頭一朶香。幾經風雨减年光。多情舊蝶猶回戀。何事行人戱路傍。 余卽次其韻。爲三絶以和之。</title>,<text>葉底殘紅尙舊香。倚墻猶自媚韶光。元來老蝶春情倦。不是行人戱路傍。一朶名花閬苑香。衰紅來襯繡衣光。若嫌過客爭攀折。何不移栽錦帳傍。篋裏猶存舊日香。多情長自惜年光。郞心似月今全缺。枉說成陰綠葉傍。</text>
<title>登樂民樓。與汝老共賦。</title>,<text>邊風蕭瑟海雲橫。大野蒼茫掌㨾平。萬歲橋頭千里別。眼中何物不關情。</text>
<title>與汝老別後。悄然有吟。</title>,<text>世多相別少相看。看別悠悠道路間。別後郵亭看去路。憐君行役幾時閑。</text>
<title>汝老還洛後。有書問。兼有兩絶句。次其韻遙寄。</title>,<text>初自觀城試院廻。故人書到眼雙開。披來更見新詩句。恰似尊前共把盃。雲山無限海無邊。消息中間兩渺然。覊宦由來同謫客。宜家靡室果誰賢。</text>
<title>用前韻。贈遷客。</title>,<text>天時否泰自環迴。人事由來有閉開。莫恨湘潭久憔悴。閒中須進眼前盃。南徼迢迢限北邊。相思千里意茫然。靑雲得路多新貴。公論人間恐後賢。</text>
<title>寄謝甲山諸君</title>,<text>一春三度見君書。千里烟波足鯉魚。漢水虛川知不隔。昔年何事信全疎。</text>
<title>贈遷客 四首</title>,<text>旅舘寒燈獨客愁。懷人一疾苦難瘳。遙憐澤畔行吟處。雪滿江湖月滿洲。憶曾遷謫十年中。疾病飢寒飽朔風。今日故人何異我。可憐喣沫愧謀忠。自憐行役枉勞神。歲暮天涯白髮新。非我負丞丞負我。萬重關塞一孤臣。靑雲得意彼何人。名利營營不顧身。可笑氷山何足恃。請看東海會揚塵。</text>
<title>詠鶴浦</title>,<text>世間無此好溪山。鶴浦遙連十島間。請看南陲與北塞。炎瘴風霜豈同般。</text>
<title>詩酒吟</title>,<text>百巵之酒百篇詩。詩一篇成酒一巵。酒病詩窮吾自任。詩情酒思有誰知。</text>
<title>有感</title>,<text>險阻艱難已備甞。十年雙鬢半成霜。傷心却憶當時事。老淚無端濕滿裳。</text>
<title>從兄再朞日</title>,<text>自哭吾兄歲再回。天時人事日相催。魂兮倘肯歸來否。草宿荒原首幾擡。</text>
<title>記夢 二首</title>,<text>夢隨鵷鷺拜重瞳。雲起蓬萊靉靆中。春鳥一聲䰟忽悸。半庭踈雨落梧桐。西望神京眼欲穿。隰苓采采不盈拳。美人消息今安否。悄倚虛窓夢日邊。</text>
<title>偶吟</title>,<text>微風乍動樹枝翻。起拓軒窓對遠村。峽酒官醪連日飮。今朝肺渴卧文園。</text>
<title>朔寧東軒。次涵虛亭韻。贈主倅安仲章。漢珪</title>,<text>淸江一曲抱城橫。丹葉粧林錦繡明。地勝官閒兼吏隱。暮年高卧惹詩情。岧嶢官閣壓江橫。壁上珠璣照眼明。二老當年留物色。古今天地一傷情。壁上。有徐四佳，洪涵虛亭二公之詩。</text>
<title>羽化亭。次崔周卿 後尙 韻。</title>,<text>駐馬呼船古渡頭。一生征役幾時休。淸波白鳥彼何物。閒去閒來烟雨秋。</text>
<title>秋夜燈下。呼兒命韻口號。</title>,<text>長檠小盞一枝燈。疑是金盤玉露承。窓外月明相掩映。箇中光景談如氷。</text>
<title>與從弟玉汝。往訪李監役子瞻 東望，子油 雲望 兄弟。路上逢小雨。使玉弟命韻。口占。</title>,<text>馬上吟詩不覺多。一篇纔就便忘過。聖朝亦解都無用。任却烟波着釣簑。</text>
<title>夢見仙人</title>,<text>天上五城十二樓。騎麟翳鳳鞭靑牛。星冠月佩羣仙會。碧桃春日白楡秋。</text>
<title>曉吟</title>,<text>春天將雨夜雲重。風力掀江水若舂。自是今年豐熟驗。不愁巖下伏乖龍。</text>
<title>醉吟 二首</title>,<text>醉來揮毫大於杠。擲地聲疑金玉撞。自是詞人誇自大。詩成還怕鬼窺窓。湍川石硯墨翻鴉。大醉揮毫字半斜。不有困窮安得此。十年詩酒憶長沙。</text>
<title>送李大叔 集成 之任石城</title>,<text>淡烟斜日媚秋容。海畔尖山露劒鋒。此去羡君爲傲吏。酒邊時肯記踈慵。</text>
<title>寄題交河柳松禾 晑 梅竹堂。次壁上諸人韻。</title>,<text>玉瘦瓊寒竹映梅。香侵几席影侵杯。孤山剡水偏宜夜。冐雪相尋也不猜。</text>
<title>送尹濂之任楊口</title>,<text>楓岳奇觀冠海東。十年塵土阻吟筇。預期蠟屐隨飛舃。同上毗盧第一峰。</text>
<title>衿川三聖寺。有僧善風水者。欲親見問之。迷失道。艱關山谷中有詠。</title>,<text>招提逈在白雲層。負笈髫齡試一登。草沒洞深無去處。欲尋歸路不逢僧。</text>
<title>平海黃生命河書至。詩以答之。</title>,<text>去歲秋風別意忙。萬重雲海路何長。忽驚遠札翩翩至。却憶霞岩共擧觴。霞岩在平海白岩山下。頗奇絶有勝致。前日數同醉于此。故云。悠悠別恨書難盡。聊寄相思兩絶詩。屈指秋科知不遠。也應迎笑展雙眉。</text>
<title>權國輔 柱 挽</title>,<text>我家兩世君三世。年歲差池捴十年。泉路想應修舊契。獨留衰白涕漣漣。</text>
<title>直宿禁中</title>,<text>禁林殘照暎朱闌。殿角微風動彩竿。夢罷黑甜無一事。起看烟縷翠凝團。</text>
<title>送平安都事權子久 恒</title>,<text>世事嗟嗟不忍言。郭南終日掩重門。炎風朔雪離懷惡。薩水關雲又送君。再昨送金子仰端川之行。昨日送李君瑞靈光之行。今又送君。故云。</text>
<title>爲亡弟遷厝。往在漣川。悽然有吟。</title>,<text>流年鼎鼎水悠悠。雨歇江城木落秋。獨卧不眠寒夜永。叫羣孤鴈一般愁。</text>
<title>送春川郡守</title>,<text>昭陽江水碧粼粼。花滿淸平洞裏春。不是泛舟應理屐。使君閑興十分新。何遜詩情水部名。澄江又屬謝宣城。春流一帶連淸漢。雙鯉來時倘寄聲。</text>
<title>次成僉正士翼 煕周 戚兄韻</title>,<text>一別風塵歲月飛。故人猶着舊麻衣。坡山夜雨連床話。分袂今朝悵獨歸。</text>
<title>大殿春帖子</title>,<text>雲擁蓬萊瑞色開。九重長御萬年盃。太平有象還無象。佳氣䓗蘢自去來。</text>
<title>大王大妃殿春帖子</title>,<text>淑氣迎春滿上陽。萬年盃動九霞香。東朝共獻南山壽。鳳曆應添鶴筭長。</text>
<title>大殿端午帖子</title>,<text>五雲垂曜接三堦。殿閣風薰景色佳。欲識太平眞氣象。午陰濃綠轉宮槐。</text>
<title>中宮殿端午帖子</title>,<text>端陽佳節麥風過。菖酒蘭湯淑氣多。坤德已應資化育。故敎時雨扇陽和。</text>
<title>余佐幕湖西。以敬差出廵。意外逢彈。韓山李道曾 禎來，達于 溭 叔侄。以湖南，海西亞使。連被臺評見罷。趙侍郞嶷望。慨然有詩寄示。却次以寄之。</title>,<text>逐逐紅塵混俗流。包羞忍向彀中遊。讀書至老終何用。可笑虛焚繼晷油。韓山才子儘淸流。脫屣名塲厭宦遊。遙望竹林春酒熟。碧天如水水如油。附元韻共是淸朝第一流。紅蓮幕下不能遊。晉山元與韓山並。今世何由望碧油。</text>
<title>次申參判叔弼 翼相 韻。題贈玲上人詩軸。</title>,<text>踏盡湖西千萬山。談山已自齒先寒。逢僧却說頭流勝。復欲將身老此間。</text>
<title>送人赴關東</title>,<text>朝辭丹闕五雲中。路指仙山渤澥東。想得吟鞭行到處。白沙如雪海棠紅。</text>
<title>柳大諫悠久 尙運 以冬至副使赴燕。歸路到牛家庄。先寄一絶。以報歸期。與申叔弼。各和以志喜。</title>,<text>夢裏丰姿想玉衡。飮氷行色暗關情。淸詩忽報仙槎返。催喚新篘一笑迎。附元韻每有思時還有夢。欲無言處豈無情。吾行不負桃花節。倘佩春醪郭外迎。</text>
<title>白川守李景畧 懏 寄書。餽以一壺酒。詩以謝之。</title>,<text>郭西風雨掩郊扃。午夢初回剝喙聲。千里書來驚起坐。一尊珍重故人情。</text>
<title>送沈伯涵 思泓 出宰丹陽</title>,<text>石門山勢斷還連。翠壁丹崖別有天。咫尺淸都應不隔。欲將衰白問羣仙。右詠石門巖竇泓澄百尺流。帆檣渾入此間收。化翁深意人誰識。萬事由來夜壑舟。右詠藏舟巖</text>
<title>送盈德縣令李公直 敬秀 之任</title>,<text>春風五馬去駸駸。正耐鶯花繞上林。想得淸心樓上月。一樽千里故人心。</text>
<title>癸亥六月晦日。得通川郡。閏月初三日。詣闕肅謝。是日。右揆淸城 金錫胄榻前啓遆。東銓李尙書仲羽。慨然作戱詩以唁之。次其韻奉答。</title>,<text>已將榮辱付苓通。運氣何論通不通。茅屋石田歸去好。澄江自與漢江通。澄江。卽澄波江。在漣川江名也。半世途窮窒不通。卽今休說郡名通。虛簷寂寂身仍病。却掃何人伴敬通。附元韻旣失京官又失通。兄家運氣幾時通。告身紅紙皆無用。一醉纔堪易一通。</text>
<title>報恩宰沈仲默 思沉 惠墨以謝詩之</title>,<text>故人書至意何長。十笏珍圭萬杵香。要使龍眠供繪事。眼前移得小金剛。小金剛。卽俗離山別名也。</text>
<title>庭梨未熟。隣友有借之者。摘送數十箇。以詩戱之。</title>,<text>一樹離離碧實團。未經霜露齒猶酸。老失口爽何堪喫。兒女啼爭最好看。</text>
<title>杏花命幼孫 柱天 呼韻口占</title>,<text>露臉輕匀似玉眞。一春光景最宜人。仙粧自是花王配。肯逐群芳作從臣。</text>
<title>漣庄偶吟</title>,<text>小逕苔荒客到稀。一春微雨掩柴扉。世間眞樂無人識。顔巷簞瓢我庶幾。江城春晩鴈飛稀。雨足郊園啓半扉。一枕黑甜遲日午。夢中榮辱已知幾。</text>
<title>爲甲山武人。謾成一絶。戱呈兵判李 䎘。</title>,<text>生長邊隅第一雄。文能記姓武閒弓。人才自是無南北。只在明公剪拂中。</text>
<title>悼亡作 丙寅</title>,<text>夜夜音容入夢頻。夢中那識夢非眞。覺來撫枕曾無見。祗是頹然一病身。</text>
<title>從弟輩。迭相呼韻。戱詠卽事。</title>,<text>佳山佳水境轉幽。野田春雨足來牟。閒居已占流匙滑。滿𤱶黃雲樂有秋。百年天地一閒氓。鸚鵡鸕鷀托死生。三萬六千容易過。醉中誰識昨今明。</text>
<title>玉汝公寶必欲困余。輒出強韻。卽走筆題之。</title>,<text>懶不梳頭又不冠。午眠初覺夕陽殘。兒童報道春光晩。却把漁竿釣水干。林泉有癖病難鍼。醉裏乾坤卽枕衾。除却閒眠無箇事。紅塵何者競浮沈。</text>
<title>戊辰正月日夜。上召對儒臣。講詩傳湛露章。仍宣醞後。出示御製云。湛然零露匪陽晞。厭厭含盃宜醉歸。令德令儀古有訓。作詩勸戎莫須違。 使諸臣和進。外朝諸臣。亦多和之者。余亦次之。</title>,<text>一堂和氣雪先晞。更挹天章奉玩歸。要識聖明申戒訓。對揚休命勉無違。訓一作義</text>
<title>晨起</title>,<text>遲遲鍾漏夜將分。晨起開尊酒氣醺。更卧擁衾眠一餉。已看初旭透重雲。</text>
<title>寄李中丞芳卿 國芳。借落幅紙。芳卿。以執義。監試。試罷後。</title>,<text>老鰥生涯信可憐。破窓虛壁夜如年。誰將紙帳防風力。要得披衾穩枕眠。</text>
