<title>鳴巖醉吟</title>,<text>樽酒尋秋日。休令報夕暉。晴沙與錦葉。照我綠蘿衣。</text>
<title>挽河主簿 沉</title>,<text>比舍同生長。交遊幾甲庚。門闈聯叔姪。對席却忘形。憂樂曾相討。悲歡亦共情。期頤常擬壽。雞夢奈催驚。</text>
<title>挽全節度 繼信</title>,<text>曾締潘楊好。相知歲月深。忘家是素節。死國卽公心。日域驚專對。堯天寵帶金。嗟吾衰病甚。愧負祖筵斟。</text>
<title>挽金通政 壽悅</title>,<text>好保田園樂。優遊七十春。謙恭趾美業。孝友自天眞。與物曾無競。何嘗見惡人。二郞榮以祿。餘慶此應臻。</text>
<title>敬次寒岡先生川谷書院誠正堂韻</title>,<text>誠齋依舊制新成。洞主開筵襍珮纓。珍重箇中名敎樂。此堂何有有遺經。</text>
<title>次金城主 昌一 韻</title>,<text>倻溪西畔小荒村。主老疎慵久閉門。何幸使君同社約。急將鋤劚理閒園。</text>
<title>又次 三首</title>,<text>一壑風烟三月暮。山花溪玉共悠然。閒談盃酒斜陽裏。誰識中藏箕𤃡天。軟綠殘紅滿眼春。醉中身作畵中身。江城何處眞源是。句漏元宜鍊液人。谷口春殘黃鳥稀。滿溪流玉雪霏霏。蕭山舊迹今猶是。肯許松關解放歸。</text>
<title>龍巖書院偶吟</title>,<text>偃盖危梢倒石屛。翠光寒影壓江淸。天公更爲飛春雪。糚點眞形盡不成。</text>
<title>贈河子淑 景新</title>,<text>煩君須莫恨無聊。草澤由來是寂寥。黃卷古人相對處。不妨長日等閒消。</text>
<title>偶吟</title>,<text>烟雨濛濛暝一山。半庭花落綠苔斑。田家最有豐年象。麥子新黃桑子閒。</text>
<title>山齋 五首</title>,<text>山齋新築合幽棲。溪路荊榛半剪除。可惜落花留不得。一春佳趣送無餘。半世悠悠賤丈夫。讀書猶自愧眞儒。林泉幸得淸幽樂。荷鍤何妨作酒奴。再疊勒勤石無心古丈夫。敝袍甘作十年儒。山南又得林泉勝。何羡三湘數鴈奴。昨夜山中新雨餘。瀉湍流玉盡難如。塵土十年仍滌盡。休言廬瀑落天諸。春山好處鳴溪玉。盤石蒼松會有時。新築幸今堪正宿。忍飢聊可轉忘飢。</text>
<title>澄潭</title>,<text>半畝澄泓鏡㨾成。蘸來山色轉分明。尋春此日無竆意。看取淸寒照膽淸。</text>
<title>老松 三首</title>,<text>老甲鱗鱗翠色新。亭亭一氣百年春。澹泊生涯緣底意。憶君還似慰吾人。再疊偃蹇虬龍老益新。蟠根蒼壁幾千春。生平不解干樑棟。寥落還宜冷落人。疎葉孤根石壁頭。婆娑一影足風流。落落長身雖自負。龍鍾猶可月千秋。</text>
<title>松風關</title>,<text>卜得誅茅歲月深。兩邊花木已成林。烟雲水石添幽趣。開眼無非灑俗襟。</text>
<title>白身巖</title>,<text>平生常恨我無知。白首猶曾不自欺。函丈幸同山水樂。藹然飛下祝融時。</text>
<title>陰崖 二首</title>,<text>盡日高吟坐石磯。亂紅爲幕綠爲扉。寒生計活都輸此。世利紛華孰作資。霽後蒼屛落照天。春光無限軋鳴泉。蕭山此日忘歸處。休報前村已夕烟。</text>
<title>贈鄭士孝 昌緖</title>,<text>霽後苔深洞路微。晩風暄日政遲遲。菁川客送高陽去。泉石淸遊倘再期。</text>
<title>嶧山齋偶吟 二首</title>,<text>茅茨南面半廳陽。嫋嫋霜風不甚凉。莫道主人敝袍久。滿園楓竹是衣裳。園林秋盡冷茅茨。一夜風霜萬木悲。賴有東臯楓樹晩。白鬚紅葉照相宜。</text>
<title>卽事</title>,<text>黃花楓葉滿東臯。翠竹蒼松供以敖。翫愒頹然唯主老。掇英時復泛香醪。</text>
<title>尤谷齋契會</title>,<text>盤面秋山紫翠堆。一灣流玉畫中迴。風流此日蘭亭事。眞率還由洛會來。</text>
<title>偶吟</title>,<text>落花時節好春風。芳草溪山畫㨾中。光景一年今日最。不妨聊作醉醒翁。</text>
<title>龍巖卽景</title>,<text>小舟撑出向何之。日暮烟波歸去遲。芳草春風山影裏。謾將閒棹好推移。</text>
<title>舟中次滄洲韻</title>,<text>薄暮長江漾細波。最憐烟樹點漁家。華甍不管他形勝。到處停舟興亦多。</text>
<title>偶吟</title>,<text>春雨成霖水滿塘。擁堤寒柳綠條長。蒼髥不作東風面。肯着韶華一分光。</text>
<title>送李玉山 起春 朴大菴 惺。敬次晦菴先生祝融峯韻。</title>,<text>斷蓬南北馬牛風。回首那堪惱別胷。柔櫓一聲江更闊。半天斜日亂山峯。</text>
<title>又次晦菴先生韻</title>,<text>十幅扁舟掠晩山。海雲千里渺茫間。今來始覺江湖大。坐領吳枋去復還。海雲臺名。吳枋舟名。</text>
<title>扶桑途中</title>,<text>羊膓秋峽馬玄黃。千里歸來客况凉。爲問金烏何戲劇。更敎風雪打衣裳。</text>
<title>杜鵑</title>,<text>千年蜀魄怨何如。啼血花枝染有餘。明月滿山春寂寂。不堪終夜聽歸歟。</text>
<title>贈金卓甫 大鼎</title>,<text>金山人作鄭山人。萬壑千峯絶四隣。芳草落花長夏日。避秦聊作葛天民。</text>
<title>養鸎雛</title>,<text>閒將羅捕兩雛鸎。委閉雕籠儘有情。莫道慇懃無處用。擬聞來夏喚求聲。</text>
<title>惜春</title>,<text>澹蕩春風欲暮天。千花落盡草如烟。一年好景歸何處。空望靑山獨悵然。</text>
<title>重陽雨</title>,<text>今年秋色屬重陽。楓晩溪山菊半香。好是登高佳節送。奈何陰雨苦侵觴。</text>
<title>海棠</title>,<text>碧砌紅花號海棠。南風繁萼一庭香。獨憐未入名園裏。公子不來空自傷。</text>
<title>讀歸去來辭</title>,<text>依然松菊在東臯。歸去來尋舊敝巢。有竹有書兼有酒。不妨長嘯寄遊遨。</text>
<title>苦旱</title>,<text>赫赫炎炎太旱乾。孰將祈澤濟艱難。關河赤地連千里。龍卧碧潭空自嘆。</text>
<title>喜雨 二首</title>,<text>焦乾赤地雨初來。坐見南阡百物開。莫道田家時已晩。倘逢秋日弄殘盃。三旬炎旱百苗枯。好雨今來喜得蘇。獨上高樓翹首望。田家從此也無虞。</text>
<title>雨後觀山</title>,<text>倚杖門前望遠山。霽光浮起碧孱顔。森羅萬景增新趣。贏得幽人一㨾閒。</text>
<title>逢萌客遼東</title>,<text>漢祚將移勢已竆。隻身無地效丹忠。飄然色擧君何處。不忍扁舟泛海東。</text>
<title>梅福隱吳市</title>,<text>九鼎潛移漢業空。却忘妻子隱吳中。莫言門卒投身苦。剩見千年凜凜風。</text>
<title>梅下獨酌</title>,<text>梅花如雪檻前開。浮動微香月下來。正好幽人無箇事。夜窓相對侑淸盃。</text>
<title>除夜 二首</title>,<text>光陰驚却擲梭然。亥子年時亥子傳。堪笑村童儺逐鬼。願得新歲似前年。頭上光陰又一春。年新添却鬢毛新。莫言戚戚嗟虛老。喜懼於今摠爲親。</text>
<title>卽事</title>,<text>溪外山顔秋意濃。晩風霜葉錦糚容。臨軒一望還堪恨。持酒持螯兩手空。</text>
<title>次暮軒精舍韻</title>,<text>茅茨蕭灑枕池塘。一脉伽倻活水長。待得波心魚呴靜。任他雲影共天光。</text>
<title>端陽</title>,<text>一年佳節屬端陽。白芍花開綠笋長。日午柴門無客子。自將孤寂慰盃觴。</text>
<title>尤谷偶吟</title>,<text>一生長願卧烟霞。虛度年今五十何。冊子工夫俱亦已。且將春酒送韶華。</text>
<title>聞杜鵑</title>,<text>月落河傾夜向分。鵑乎何事叫山雲。爾聲豈是多情者。來入愁人不欲聞。</text>
<title>尤谷齋講會。贈林樂翁 眞怤。○二首</title>,<text>千古丹靑垂煥炳。只將通變共優遊。沉吟塵蠧今何輔。莫向丌頭更我求。百邪閑去一誠明。然後可期學業成。及爾光陰方少壯。吾人有此好工程。</text>
<title>元朝自警</title>,<text>歲色維新德不新。此身長作舊時人。那能更着吾家業。勝似前年又去年。</text>
<title>次梧里李相公 元翼 韻</title>,<text>小邦偏荷眷重明。天將胷中萬甲兵。覩此威儀知一幸。不須憂亂願無生。附元韻二百年來賀聖明。閭閻知讀不知兵。一朝渤海翻天浪。八道黎民半死生。</text>
<title>遊白身巖</title>,<text>一山花木是心知。向我欣然似有期。此日淸和成勝會。十年前事感今時。</text>
<title>傷時吟 甲寅</title>,<text>元聖尙遭恐懼時。欲擠機穽豈無辭。從敎鬼蜮行胸臆。天日昭昭乃敢欺。</text>
<title>寓舍有感</title>,<text>平生心與跡相違。兼獨由來只係時。非獨非兼何物事。行裝不管世人知。</text>
<title>項羽吟</title>,<text>壯士天亡可奈何。夜深垓下楚歌多。拔山已矣今無力。始信強剛不足誇。</text>
<title>過宋家淵。憶故朴碧潼 天祺。</title>,<text>今年人事異前年。忍說浮生似冷烟。認得去秋同占地。不堪行過宋家淵。</text>
<title>挽鄭德渾 仁涵</title>,<text>曾同書榻又同遊。珍重情懷到白頭。宦道蹣跚仙馭促。可堪人事便長休。</text>
<title>挽曺宜寧 次石</title>,<text>繼述榮家孝可稱。佩銅三邑政賢能。相知卄載情何限。題誄今朝淚滿膺。</text>
<title>挽韓可遠 聲振</title>,<text>同鄕同榜又同遊。分義今垂五十秋。多少心懷何足說。不堪題挽送之幽。</text>
<title>龍巖書院新成</title>,<text>古寺荒墟架一堂。香川自此益馨香。山回大隱屛同立。水繞嚴陵瀨共長。縷縷江烟迷盡棟。飄飄巖雪撲寒床。新成况有廟庭在。風月無邊敬所嘗。</text>
<title>題李僉使 弘明 四美亭韻</title>,<text>金陵佳麗最南州。茅屋蕭然此壠頭。黃嶽倚雲分北立。鑑川流玉繞東流。功名利鈍看隍鹿。身世浮沉伴海鷗。如許主人如許地。笑他奔走覓公侯。</text>
<title>春晩</title>,<text>策杖行行坐壠頭。却驚春盡思悠悠。風光澹蕩韶華晩。野色蒼茫淑氣浮。花似錦圍糚遠峀。草如茵厚織芳洲。莫言美景開心目。翫愒還令𢞓客愁。</text>
<title>題慕先堂</title>,<text>尋君移卜步靑藜。一屋蕭條古洞西。庭院只看飛粉蝶。園林唯聽囀黃鸝。孤雲峽裏宜茅葺。四美亭墟奈草萋。猶幸主人能處順。遣懷時自撫琴書。</text>
<title>贈鄭輝遠 蘊</title>,<text>比年安否問如何。萬里天涯戀思多。論直不容寧有愧。言忠遭禍亦榮華。姓名自爾兒童誦。尺疏因成走卒歌。朝靜幾時蒙大赦。可憐慈母獨棲家。</text>
<title>次翠寒亭韻</title>,<text>蒼松綠水冷交將。斗覺幽居趣異常。氷泮春潭新月色。露凝秋葉晩風香。庭前最有梅撑雪。窓外兼看菊傲霜。想得主人寒計活。一亭相對侑淸觴。</text>
<title>挽東岡金先生</title>,<text>慟哭東岡作古人。此生何處見風神。淵源正學儀多士。謇諤忠言動紫宸。進退自宜無悔吝。竆通元不較甘辛。可憐湖外終遺恨。未復漁樵某水濱。</text>
<title>挽朴篁巖 齊仁</title>,<text>可惜篁巖又已空。不堪吾道轉孤竆。曾陪藩邸聲名大。晩佩銅符惠政隆。薰德鄕閭人善士。表儀山海院遺風。卽今忍說成陳跡。何處新阡閉我公。</text>
<title>挽李守而 大一</title>,<text>朱紫紛紛眩僞眞。精純吾獨見斯人。親仁美質元超衆。嫉惡剛膓亦寡倫。半世啚書堪自樂。一生蔬菜不爲貧。從前珍重相須意。說着那堪淚滿巾。</text>
<title>挽李日新 天慶</title>,<text>江城西畔德川東。梅竹園今失主翁。道骨曾霑千疊水。淸操猶襲一絲風。才庸每幸高明與。生晩常多長者從。衰病未能躳執紼。荒山何處閉儀容。</text>
<title>挽李善述 承</title>,<text>性質方嚴學就精。見公高義稱聲名。時危雪涕輸忠悃。親老承顔盡孝誠。半世靑山留雅賞。一生丹竃養神明。西原萬里催雞夢。旅櫬那堪哭古塋。</text>
<title>挽吳竹牖 澐</title>,<text>人間遐福似公誰。三達之尊世更儀。簪笏滿牀皆峻望。瑤環繞膝是英姿。偏承字惠曾多日。猥荷慇懃積幾時。仙馭從今長已矣。末由挽紼不勝悲。</text>
<title>挽李玉山</title>,<text>朱紫由來亂幾人。精純吾獨見公身。學因眞實常師古。道爲硏磨更友仁。半世幽貞堪自裕。一生寒素不爲貧。如今已矣重泉遠。遺響空餘小澗濱。</text>
<title>挽李善修 大約</title>,<text>從古浮生石火忙。天乎何忍此殲良。早年藝業屠龍手。晩歲功名主馬郞。才不用時生可惜。名將終世死猶光。白頭恨未臨君穴。底處荒山是北邙。</text>
<title>挽朴裕後 壽宗</title>,<text>頃日龍巖執豆籩。憶君遺跡摠依然。屋樑落月人何處。江𡵫殘花是去年。眞率不修還可尙。淸疎爲服亦云賢。從今已矣重泉遠。空望新阡鎖冷烟。</text>
<title>挽金汝仰 斗南</title>,<text>至行由來命不全。如何君又遽登仙。四期泣血人無間。半世藏修士共賢。師友一鄕敦信義。水雲千窟任聯翩。卽今已矣俱陳跡。西望新阡倍悵然。</text>
<title>挽崔舜輔 汝契</title>,<text>死別呑聲已半年。奈今靈櫬下重泉。儀容遠矣嗟何及。言笑依然在耳邊。師友一生湛爾樂。醉醒聊作酒中仙。天胡奪嗇仁人壽。老淚東風灑冷烟。</text>
<title>挽鄭士孝</title>,<text>蓮榜聯名四十秋。義交重與一門遊。石田數頃身如潤。破屋三間志自優。潦倒風霜堪歎惜。笑談盃酒亦風流。卽今老我平生恨。病未臨君下宅幽。</text>
<title>挽鄭主簿 有禮</title>,<text>一門三從弟兄連。交厚情深自少年。盃酒每同湛爾樂。笑談聊與任吾天。邇來衰病稀相見。風燭何知隔九泉。聞說佳城今已卜。不堪題挽涕漣漣。</text>
<title>挽李僉使 弘明</title>,<text>仡仡風流男子身。生涯閒遣百年春。亭堆書畫憐儒雅。跡浪禽魚擬逸民。談笑儘能傾俗耳。法言時復畏鄕人。薄官幸近承情好。題挽今朝淚滿巾。</text>
<title>偶吟</title>,<text>小屋溪原草樹荒。西風吹雨鶴棲凉。雲中屼山情遠。夜半潺湲水意長。落日深林鸎語滑。晩風烟陌鷰飛忙。從他說道儂無用。溝壑平生自不忘。</text>
<title>挽章[文緯 茅溪]</title>,<text>卓彼嶧山陽。閒居道味長。正論分舜蹠。篤學慕朱張。陳義三傳牘。訟寃再抗章。斯文今不幸。多士共悲傷。</text>
<title>挽章[李大期 雪壑]</title>,<text>早年知面晩知心。竊爲斯文望子深。昭雪守愚先血疏。推尊山海倡儒林。蓮峯霽月方尋樂。汾曲瑤琴遽輟音。九十阿孃堂上在。誰將養志繼曾參。</text>
<title>挽章[權濤 東溪]</title>,<text>孝友生知君子儒。早從私淑盡規模。剛金百鍊精神在。寶鏡初開査滓無。不向傍人同臭味。遂令平地生崎嶇。只今萬事渾如夢。怊悵新墳數尺高。</text>
<title>挽章[成汝信]</title>,<text>嶧陽亭畔小溪頭。曾見伊人卜築幽。窓外寒梅香影靜。庭邊脩竹翠陰稠。事親誠意追曾閔。志學工程慕孔周。六十四年成大夢。哀詞題了淚盈裯。</text>
<title>挽章[李重茂 柟溪]</title>,<text>澡身浴德修儒行。肯把榮枯𢞓主翁。歲匪龍蛇還不幸。悲纏士子曷維竆。可憐含視終天痛。只爲庭闈舞綵空。寂寞嶧陽那忍過。孤桐寒竹月明中。團欒春暮歡情話。怊悵今朝隔在亡。抱病未伸臨竁慟。朔風吹淚度南岡。</text>
<title>挽章[林眞怤]</title>,<text>小子生何晩。承顔只十春。同襟寧貌敬。連譜更心親。深悼斯文喪。偏驚鶴髮新。訛言不須卞。明證有蒼旻。</text>
<title>挽章[金頊]</title>,<text>出天誠孝感神人。暫就郵官實爲親。尺疏訟寃增士氣。數書明義秉彝倫。不知幾許眞工着。有是彌高德業純。蜮弩乘時爭射影。百年林下拋經綸。</text>
<title>挽章[李文龍]</title>,<text>平生學力信難誣。植正排邪與衆殊。義理關頭牢立脚。數書珍重大倫扶。世事悠悠一夢虛。寂然隨化返眞居。哀辭不忍成章處。堂上親年八十餘。</text>
<title>挽章[金受徽]</title>,<text>山海亭邊聳翠峯。淸明淑氣嶧陽通。水中秋月凝神思。座上春風動和容。事業平生期做遠。門屛今日摠成空。哀哀小子終安仰。承誨無緣泣道竆。</text>
<title>挽章[洪純愨]</title>,<text>好學初心老益新。矜莊終始撿斯身。平生不喜紛華事。鄕黨皆知正直人。無子年來還有子。愛親誠篤反違親。可憐朝暮門閭寂。鶴髮徒勞泣倚頻。</text>
<title>挽章[黃世烈]</title>,<text>世降誰能勇自修。似公須向古人求。靑年鴈㙮聲名早。白首林泉卜築幽。懷橘深誠追陸績。勞身至孝效仲由。從師學業期顔孟。樂道探源慕孔周。直氣堂堂撗北斗。風儀凜凜動南州。暫隨塵網官雖小。長對羣經學已優。方謂遐齡籌海屋。豈知飛旐泛山坵。闈中鶴髮呑聲慟。膝下麟泣血流。綵服空留萊舞處。寃魂應哭夜臺脩。靈輀遠指新阡路。寂寞松楸曉月愁。</text>
<title>挽章[趙敏德]</title>,<text>噫吁戲。仁不必壽兮賢不必貴。吾於文丈人兮見之。韙丈人正氣之得於天兮。學以斧藻兮無休時。剛方其內而坦夷其外兮。以之待親戚鄕黨兮向朋知。懷寶坵園而深藏不市兮。松晩愈茂兮玉不磷淄。世之人贏糧躍馬恐不及時兮。金膏翠羽兮釣仕射祿之是資。公獨尙志而樂道林泉兮。圖書左右兮水石生涯。十夫撓椎三人成虎而亦不乞火兮。所知者天命兮夫何所疑。修身養德而爲後生模楷兮。何一疾沈綿兮而竟至斯。小山叢桂連蜷芬馥已秋風兮。誰復攀援其長枝。西州門外有客哭而來兮。山摧樑折吾將安仰兮只益心悲。疇昔之警咳聲音諄諄在耳而不泯兮。有疑莫質有病莫砭兮若之何其。堂上耄期夜哭弔者不忍見之兮。夫孰知丈人平日不欲暫離膝下之孝思長些。大招一訣終天兮。已矣已矣。三千年化鶴兮日月何其遲。</text>
<title>挽章[趙彝德]</title>,<text>地下修文日。人間哭子時。潘輿猶昔在。老綵到今疑。谷濕摧蘭露。松傾住鶴枝。平生詩禮業。己巳作佳兒。</text>
<title>師友投贈</title>,<text>和尤谷山齋韻 趙穆 月川聞有名區興欲飛。每緣塵簿苦纏羈。春光九十將消盡。擬作明朝方外期。次尤谷山齋韻 河渾 暮軒風月情懷難狀處。雲山意思不竆時。丈夫能向此中老。其外何煩問飽飢。次陰崖韻 趙穆山花開落峽中天。噴玉鳴金響石泉。一樽談笑忘歸處。看取遙村起暮烟。次陰崖韻 河渾舞雽風暖浴沂天。花滿東臯水滿泉。剩得使君探勝景。夕陽糚點翠微烟。次陰崖韻 裴明遠 月汀紅綠爭榮雨後天。飛流瀑屑碎林泉。三盃酒罷靑山暮。狂興悠悠逐晩烟。次陰崖韻 河沉半山殘照暮春天。寂寞寒鳴石上泉。多被文君盃酒樂。醉來狂興惹靑烟。次陰崖韻 河景受秋山寂寂水潺湲。楓樹蒼藤好共攀。盡日消懷忘返處。一聲山鳥夕陽還。次陰崖韻 二首○裴亨遠 汀谷勝友淸溪畔。龍門此日攀。一盃秋興足。山外月重還。匹馬秋山裏。三盃日暮時。蕭蕭楓葉晩。多小更相思。次白身巖韻 曺應仁 陶村白身巖下會相知。猿鶴初盟果不欺。芳草莫嫌華盖晩。綠蔭猶勝艶陽時。和澄潭韻 朴而章 龍潭屋未成時詩已成。碧溪溪水十分淸。居然自作吾泉石。投老歸歟送此生。次澄潭韻 河渾雪瀑飛流鏡面成。天光雲影共來明。粼粼碧玉吟難得。還覺胷中一㨾淸。次老松韻 三首雪幹霜枝老更新。托根危壁幾經春。潺湲水石平生契。千古何曾見一人。蒼髯一老倚巖新。嘯雨吟風已百春。更有碧天雲裏月。共君孤影問何人。特地蒼崖百仞頭。蕭森生闊只寒流。踈枝踈葉踈吟處。雪月霜風任萬秋。次尤谷齋契會韻 金斗南 德灘九秋霜葉滿庭堆。七節飛湍抱石廻。主老藏修奇絶處。遊人不是等閒來。奉呈東臯閒居 金昌一杏花春雨數家村。知有高人不出門。老宰從君同結社。幸分梅竹與蓮園。</text>
