<title>題畫</title>,<text>寒鴉啼日夕。風浪急前灘。漁舟將早泊。何處賣魚還。</text>
<title>醉起</title>,<text>夢遊白玉京。彩雲履下生。蘧然忽自覺。醉倚花前楹。庭畔碧峀立。砌下淸流鳴。溪流拂晩風。上下啼嬌鸎。瑤琴曲未終。羲馭忽西傾。浩歌月明中。無人知此情。</text>
<title>次柳詩</title>,<text>春盡百花零。新綠滿林叢。靑山白雲起。踈雨隨東風。幽禽啼不盡。溪水流無窮。寂寥機自息。淸凈與誰同。座對百丈松。膝橫三尺桐。塵心漸消散。正氣連淸空。不習繁音妙。自得天和功。性情自怡悅。何必啓人聡。</text>
<title>獨步</title>,<text>幽人自無事。緩步靑山裏。林影滿蒼苔。花光暎綠水。獨立㗳無言。烟柳黃鸎起。</text>
<title>哭墓</title>,<text>父子恩何極。儀形隔此生。夢魂難會面。天地豈知情。漠漠追無路。茫茫哭有聲。昭明悽愴處。百世薦微誠。</text>
<title>次崔子謙 鳴吉 韻</title>,<text>守靜耽眞樂。何須哭道窮。方塘印霽月。踈竹爽光風。篤敬千邪息。覃思萬理通。昭昭吾道大。白日上天東。</text>
<title>次詩軸韻</title>,<text>石逕靑嵐濕。翩然駕鶴輈。雨晴山意嫰。林茂鳥聲幽。絶壁千尋立。飛川萬古流。潛龍何日起。吾欲共雲遊。</text>
<title>次齊山亭韻</title>,<text>獨登高閣上。身與白雲齊。遠水軒邊聒。危峯眼下低。雲迷關路北。日沒海天西。序屬三秋節。初聞暮鴈嘶。</text>
<title>遊南岳次韻 二首</title>,<text>二三方外客。同逐白雲遊。氷釋水流細。風暄春氣幽。山形矗萬古。月色明千秋。却恨歸程遠。呼兒鞭雪牛。南岳春初艶。呼朋藉草遊。興酣應却老。思遠洞窮幽。月色千巖晝。松聲萬壑秋。醉歸眞樂在。長嘯倒騎牛。</text>
<title>遊內隱山</title>,<text>藍輿出古寺。遙入洞天深。葉落千年樹。雲低萬仞岑。石奇森利戟。泉咽弄瑤琴。把酒觀眞境。悠然生隱心。</text>
<title>次李汝固 澤堂植 韻</title>,<text>共藉松根坐。蛟枝自欝森。山香知過麝。地異覺生蔘。怳若投仙府。悠然起隱心。何時逃世網。藜杖更相尋。</text>
<title>題詩軸</title>,<text>晩入新溪寺。僧稀佛宇深。水舂雲滿壑。天近雪埋岑。竹帶春餘色。松愁歲暮心。何由超世網。終老卧雲林。</text>
<title>登萬景㙜</title>,<text>携筇上絶頂。身在彩霞邊。海接三千界。山連九萬天。雪晴坤軸皓。雲散日輪鮮。從此淸都近。欣迎駕鶴仙。</text>
<title>贈山人</title>,<text>萬象能爲主。問子亦鉤玄。太極元無極。先天卽後天。硏幾知道積。觸理見心傳。莫喜桑門彦。低心學聖賢。</text>
<title>次李汝固贈山人韻</title>,<text>有物先天地。誰知是覺禪。吾窮萬理會。爾守一心傳。藏道還輕世。得魚可忘筌。如能磨慧劒。須斷念頭緣。</text>
<title>入牙山</title>,<text>獨卧牙城館。誰知遠客情。蟬依老樹咽。風過破荷鳴。憂國心如割。思家夢不成。悄然終永夕。山月滿窓明。</text>
<title>出自講筵會話</title>,<text>紫禁論思罷。西郊晩著鞭。一年離別恨。千里暮江天。細雨看烟峀。淸尊倚釣船。相逢無限興。憂國更悽然。</text>
<title>喜禰廟禮成</title>,<text>末學窺天小。君恩測海深。彜倫今有定。榮祿自無心。雲畫靑山色。鸎歌綠樹陰。忘機獨樂處。松露滴玄琴。</text>
<title>無題</title>,<text>家在楓巖下。幽居睡起遅。松陰滿地處。雲影出山時。獨咏人誰和。窮途我不悲。寂寥塵事少。琴韻靜中知。</text>
<title>楊口謫中</title>,<text>境僻塵緣斷。春芳我獨尋。雲生龍卧壑。風定鳥鳴林。花落關幽戶。川澄洗道心。無言忘物我。不覺日西沉。</text>
<title>寄龍安太守</title>,<text>連枕山房夜。出雲寒磬淸。從容醉後語。和暢客邊情。月冷千峯色。風鳴萬樹聲。憂時希道泰。已見一陽生。</text>
<title>移東峽</title>,<text>東磎初卜築。棲息度餘生。花亂風前雪。禽鳴雨後聲。䟽泉心可洗。鍊氣道難成。與子連床話。梅窓月轉明。</text>
<title>沙溪先生挽三十韻</title>,<text>道喪餘千載。先生尙典刑。天成會淑氣。時泰聚祥星。涵泳秋潭碧。嶄巖海岳靑。學詩庭對鯉。問禮蠃同螟。立雪龜岡夕。坐春栗墅亭。析微分細髮。窮遠駕奔霆。琢璞光傳寶。磨刀瑩發硎。宵眠徵夢想。晨寤喚心靈。守正嚴繩墨。䂓愆斬鐵釘。厚躬欽孔語。嗜古甲堯鉶。秀苗優成實。蘭幽早振馨。盍簪多士則。分竹一方寧。化雨霑枯草。仁風煽遠坰。淸光梧受月。生意草連庭。濁世煌明哲。危機保獨醒。日晴張鳳彩。天闊整鵬翎。密席伸忠膽。春㙜討聖經。龍珠暉澤國。龜玉鎭煕廷。拭鏡明行止。持衡辨渭涇。脫身天祿重。披髮虜氛腥。靜樂靑雲興。神凝活畫屛。鵷雛紆善慶。鶴骨得仁齡。卓軌推宗範。玄霜隕瑞蓂。鯫生咨失路。鯨浪賴揚舲。厚夜昭明燭。洪鍾觸寸筳。劇論人紀正。祗刻法言銘。留約趍松逕。睽期叩竹扃。天葩收簡牘。樑月見儀形。絃斷知音絶。心驚渙涕零。薤歌無限意。慘憺送雲輧。</text>
<title>哭鄭愡齋 名彦訥一號一蚩</title>,<text>老宿揚文彩。南維聚地靈。霧深斑豹蔚。天闊整鵬翎。負荷千匀重。舂容數寸筳。提要卄一史。硏理十三經。博雅傾先輩。貞姿擅典刑。高名驚末俗。華藻貢虞廷。歲暮瞻松翠。霜凝播菊馨。靑氊紹舊業。赤手抗奔霆。筮事通三易。扶顚練五丁。兵聲驚賊膽。重義衛圻坰。誰雪三韓恥。圖淸四野腥。蠅營咨點璧。志大返幽囹。衆哭開孤笑。羣咻抱獨醒。遅遅違古里。悴悴逐浮萍。迹躡鞭霆馭。行迷煽熱扃。甘貧心似逸。要達道還冥。世路無知己。陽春少解聆。涵今工不輟。茹古筆無停。綺語駭橫目。瓊葩阻玉楹。高詞憎達命。奇疾促遐齡。進退難循道。涓流孰辨涇。先難勤璞琢。速肖祝螟蛉。爝火增明日。小蠡測大溟。淸音如叩玉。醇味類含𨤍。隆棟悲摧折。誠山假永寧。加麻會俊傑。伸奠薦芝苓。宿草雖封墓。殘碑會勒銘。平生今永訣。薤露不堪聽。</text>
<title>眞觀寺瀑布聯句 持國張公維字。大容卽先生字。天章李公明漢字。道章李公昭漢字。</title>,<text>絶澗穿雲嶠。懸流瀉石矼。持國。 澄瀾漾小壑。遠派達滄江。大容。 濺沫飛瓊屑。分窪學酒缸。天章。 廬山非獨美。鈷鉧可成雙。道章。 瑞練千尋掛。狂鉦百面撞。持國。 響雷喧北岳。成雨遍東邦。色皓虹蟠地。波舂玉作淙。大容。 氣蒸陰壑霧。聲到夜禪窓。天章。 自是眞仙界。那容俗士跫。道章。 寺聞香象聚。潭得老龍降。暗洑搜林麓。驚湍壓嶺瀧。激凉堪爽骨。添韻欲塡腔。持國。 涉淺淸宜濯。窺深險可𢥠。日沉含拱璧。月照映金缸。大容。 注壑山根拆。衝崖地軸扛。天章。 擬尋稽水賈。堪託鹿門龐。道章。 閑躡窮巖邃。幽探太古厖。大容。 焚香觀衆妙。落筆掃羣哤。天章。 遅暮成幽築。依歸對佛幢。居然團險語。爲爾破胮肛。持國。</text>
<title>澄心㙜</title>,<text>玉佩鏘鳴風動處。流金蕩漾月明初。開心獨立蒼崖畔。塵慮如雲過太虗。</text>
<title>洗心㙜</title>,<text>人欲無端汚此心。渾如素服塵埃撲。淸源須似碧潭澄。一鑑開處明耳目。</text>
<title>書院</title>,<text>一間廟宇千秋享。百軸遺書萬世名。爲問求仁心法在。交修誠敬是功程。</text>
<title>次玄風板上韻</title>,<text>陌上薔薇嫰色新。淸香和雨襲閑人。固憐晩節孤芳秀。只恨流光已變春。</text>
<title>次簡易韻</title>,<text>曙色先騰萬國東。彩雲扶上火輪紅。誰知海底天機轉。陽氣循環大地中。</text>
<title>哭白沙祠宇</title>,<text>千里歸來血滿襟。仙蹤何處更相尋。至今滄海明秋月。應照先生未死心。</text>
<title>過玄直講</title>,<text>勝地都無一點塵。山容水色入秋新。靑衫晩拂烟霞路。白鶴先驚報主人。</text>
<title>次尹晦元韻</title>,<text>一笛春風萬里愁。飄然獨倚廣寒樓。箇中心事誰能會。孤月分明碧海頭。</text>
<title>入賓鉢</title>,<text>色則是空空則色。理無消滅氣盈虗。直看理氣分明處。始辨儒曇實與虗。</text>
<title>寄友人</title>,<text>淸江一帶菊花秋。冠岳寒雲雨後浮。別有風流無限興。月明長笛倚孤舟。</text>
<title>想思庵</title>,<text>廊廟江湖進退身。夭桃雪竹豈爲隣。飄然白鶴乘雲去。㙜下淸流不受塵。</text>
<title>訪友人</title>,<text>平湖南望水烟微。兩岸靑山霽月輝。一醉歸來溪路轉。滿空風露濕荷衣。</text>
<title>種蓮</title>,<text>雲影徘徊玉鑑空。柳絲飛動落花風。芙蓉一朶初移植。月色天香笑語中。</text>
<title>望天</title>,<text>遙瞻魏闕五雲間。時聽離鴻渭上還。數曲瑤琴無限意。一輪明月照千山。</text>
<title>送學子李善養之京</title>,<text>靑山霽後白雲生。獨倚孤松聽水聲。君去夕陽芳草路。林鸎啼盡別離情。</text>
<title>先忌行祭山所</title>,<text>天乎我何辜。人有父母我喪父母情奚如。天乎我何罪。人有兄弟我無兄弟誰同居。冥冥天意不可測。孑孑浮生可哀歟。生纔二歲失先子。襁褓呱呱痛未舒。哀哀天只未亡時。不進溢饘茹寒蔬。晨昏淚枯血繼之。斷髮枕塊廢櫛梳。時籲不肖斅義方。不使擧顔恭學書。弄雛申戒剪生物。矢不貳過期復初。蒼黃奔竄海寇中。母子全生兵刃餘。那知一朝軫慈憂。三尺微身困瘡疽。神明不悔禍重貽。漠漠英靈還太虗。劬勞恩義報末由。童子何知哀未攄。人生天理尙不泯。願將白麻纏衣裾。平生孤獨誰與儔。鞠育外家恩非踈。含哀茹苦逐日深。痛塡胷臆終難除。年年臘月再諱辰。致喪終身徒慘諸。欲死未死罔極情。如癡如狂但欷噓。今將薄奠薦荒塋。哭泣哀聲動郊墟。悲風爲我助蕭條。路人瞻聽行躊躇。陞堂豈舞老萊衣。破氷何求雙鯉魚。儀形音旨渺難接。只藏遺墨同瓊琚。人間榮達総無求。欲居塋下勤菑畬。朝攀松栢泄哀思。暮倚蓬窓看五車。食息不離怙恃傍。寤寐日日驚蘧蘧。堂存外孃不忍舍。未遂至願長趑趄。天乎天乎若有知。庶使父母遺魂夢感余。</text>
<title>遣愁</title>,<text>有才莫學梁甫吟。有志好棲烟霞林。川流自激環珮聲。松籟自鳴韶頀音。前山月出宿鳥驚。我捲踈簾彈玉琴。自得深趣不諧律。聽之偏覺心莊栗。遠山浮雲自卷舒。相對何愁有得失。</text>
<title>敎男女</title>,<text>我生五女男亦五。母有死生尊老父。娚妹才性総淑良。反哺資生深冀汝。長砥學行詔羣季。一家將成大賢五。敬吉怠凶昭若火。蹈禮明誠盡心否。</text>
<title>壬辰倡義行</title>,<text>妖星照夜白芒橫。獰飈震地黑氛腥。蠻猘飛鷁踔怒鯨。陰虹吐血赭重溟。兇燹㸌㸌玉輦行。殺氣漫漫天晦冥。凌烟遺裔控血誠。斗膽輪囷發霜硎。傑廈垂傾隻手擎。張拳雄呼鞭五丁。匡時仗義託血盟。報國輸忱照景星。魁梧鄭帥文武英。凜烈精忠髓骨銘。雄壇虎視指敎精。義旅熊咆傾耳聽。探機密樹大小㫌。荷戟潛環長短亭。猰㺄磨牙出重城。烈炎煽風爛前坰。猿臂彎弧霹靂鳴。鳥章掣電連輜輧。陰密藏兵鳥蛇程。縱橫排陣雲龍形。奸鋒急頓震雷轟。霜鋩環匝嚴拘囹。染齒爭祝几上生。禿頭催加腦後釘。刵耳椎髓亟塡坑。剝膚揚臭延變蓂。枯骴杈路逼霄崢。燐火連宵燦流螢。雄虺竄首凶膽驚。恠雀思巢愁鎩翎。貔貅整肅樂還營。義門燀爀殷奔霆。雲消關塞漢月明。笛弄梅花海天靑。黎氓競奮戀國情。賊囮先磔宣威靈。搶鏖騎踏臨野平。刳腹劌腸撑沙汀。羣烏曉噪啄食爭。積尸夜燒焰靑熒。端刺姜侯華岳晶。衋傷西望血淚零。協義披肝揀奇兵。示弱誘凶蹴石屛。揮矛奮挺孰爭衡。蹀血漂杵混濁涇。斑衣咋指暗呑聲。怵威癙憂牢閉扃。先隊籲旋密將迎。還輪夜脂催行鈴。金甌旣完劃塵淸。瑞雲䓗籠豐沛庭。褒功還歉賞典輕。培義誰張明國經。慶蔓雲仍應底成。金榜輝煌標名馨。拓實構詞植邦紘。播揚義風垂典刑。</text>
<title>哭白沙李相國五十韻</title>,<text>五百年來會間氣。文星鍾出萬人英。淸高標格勁金矢。洞澈心源揭水精。浩浩文濤江漢瀉。森森筆陣鬼神驚。雄扛九鼎騰天驥。健蹴三山奮海鯨。鳳振文祥儀聖世。麟彰休應踏瑤京。琪花早綻風雲會。瓊樹長濡雨露榮。龍德正中時向泰。鵬程縹緲道方亨。淸輝燭物寒奸膽。昭鑑知幾秉世衡。氛暗東溟瀰鱷臭。日華西塞奉龍行。天戈掃盪先輸策。國步蒼黃獨效誠。沐雨餐風砥壯節。枕戈甞膽練中兵。重恢宗社三韓業。特建王家萬里城。獨抗絲綸邦譖雪。旋司槐棘國憂平。垂紳布澤黎元靖。汗簡開聡聖學成。納約進言三接寵。臨機勇退一身輕。纔敷宏略優經世。却斂洪猷便濯纓。獨樂園中書萬軸。春明門外鬢千莖。窮玄洞見天機妙。守靜渾忘世慮嬰。日轂再昇鞏國紀。台星重煥整天紘。流奸蕩惡朝端穆。革弊恢公世道貞。捴攬權綱圖肅正。裁成機務協恢宏。備殷陰雨威稜赫。畫淨腥塵砥柱擎。蔘朮有儲調藥餌。苞苴無路凂簷楹。刃游盤錯推精鍊。扇蔽塵埃豈廓淸。鳶嚇先喧期鎩翼。鸞鳴初噦贊揚聲。欽明犴獄仁風煽。爬櫛軍兵義膽勍。得意春秋嚴載筆。牢辭帶礪謝調羹。禁林風雨中宵起。玉府琳琅道上橫。十里湖山行樂地。一天烟月退憂情。心懸魏闕寧稱遯。身荷鴻私詎戀生。未死老臣垂血淚。無涯危悃撼雷轟。恢張節義乾坤正。扶植綱常日月明。直暴丹衷思補衮。肯將華髮更求名。聖恩天覆論輕典。朝議波掀陷大阬。一片孤忠斜日烱。千山危棧朔飈獰。蕭條匹馬行裝淡。迢遞終南夢想縈。弘暢儒風荒俗化。精硏禮範道機呈。新陽佇見金雞唱。舊郭還驚白鶴鳴。霈澤有沾褒故秩。經邦無望泣遺氓。雲埋峻嶺回孤櫬。雨灑陰風濕素㫌。百歲榮華歸大夢。千秋名義表荒塋。鯫生曾被祁奚感。相國恒憐屈子醒。金石累刊賁窀穸。杖藜祗奉陟崢嶸。杞憂頻吐鏤肝語。蛾術時將抵掌爭。玉海淵澄照𡱝角。金聲淸徹韻鸞笙。從游只願窮玄旨。悵惘那知邁遠程。茹恨却傾山店酒。淸談愁伴夜窓檠。孤松落落寒猶翠。虐雪霶霶凍不晴。倜儻高懷非慘沮。送將吾黨爲怔營。士林悴憔宗盟失。哭爲公私涕淚傾。</text>
<title>大殿誕日。與前朝官等。會祝於官庭。</title>,<text>河淸千載聖人生。龍御靑雲化日明。倫極始扶人道定。妖氛纔凈泰階平。天廻令節陽初復。世著休徵運漸亨。華表鶴歸春色早。仁山鳳噦好音淸。羈臣未會呼山祝。血淚空添戀闕情。叨赴郡庭瞻望處。北辰環擁老星精。</text>
<title>謝氷翁印惠綱目</title>,<text>天開太極挺先民。筆法麟經覺後人。今古興亡昭一統。平生精力範千春。日星大義扶倫紀。鈇鉞嚴辭泣鬼神。汗簡圖貽傳世寶。開凾莊誦感推仁。</text>
<title>式聽松墓</title>,<text>粹然姿質玉溫溫。避世雲林卧逸民。孝感神明誠冠古。才兼翰墨亦超倫。靜持虗一磨新鑑。念斷英華絶點塵。倘使煕朝搜大隱。至今遺澤浹斯人。</text>
<title>入花潭</title>,<text>尋眞遙向花潭洞。馳上層巓一望賖。草沒荒㙜王氣索。山圍殘郭暮雲斜。蒼苔白石笙歌路。綠樹靑烟冠冕家。千載繁華如亂夢。儒先芳躅鎖丹霞。</text>
<title>入朴淵</title>,<text>岧嶤絶壁繞層巓。直注千尋掛大川。銀漢昭回添下土。玉龍騰躍上中天。雷霆觸處靑山動。環珮鳴時白石穿。造化何爲成此境。欲留奇迹會羣仙。</text>
<title>江西次都事韻</title>,<text>半畒淸池映畫樓。菖華展葉綠萍浮。瑤岑繞郭靑蓮秀。琪樹環庭翠幙幽。鈴閣薰風陶百里。金莖甘露滌千愁。胎仙一去雲無迹。天路茫茫素月流。</text>
<title>次百祥樓韻</title>,<text>駕鶴來臨白玉樓。山河佳景錦囊收。烟橫素練平郊外。雲吐氷輪遠峀頭。樹接長天浮大氣。江朝渤海濟孤舟。超然怳若登霄漢。不必游仙遍十洲。</text>
<title>次統軍亭韻</title>,<text>長河蕩漾雨初晴。萬里風烟集此亭。遙指窮荒分地勢。俯臨滄海接天形。人還千載雲中鶴。鰲戴三山水上萍。獨立飄然如羽化。芙蓉城裏伴仙丁。</text>
<title>過博川德安串</title>,<text>獨駕扁舟涉碧瀾。角聲飛動暮雲間。天低滄海疑無地。島出歸潮忽有山。日下遙空金柱遠。霞蒸大野錦紋斑。今憑逸足窮歡賞。斗覺恩波到處寬。</text>
<title>䓗秀山</title>,<text>羽盖歸來倚玉林。蒼茫殘日忽西沉。盤松倒壑驚蛟起。幽竇生風恠鳥吟。雲卷瑤岑抽萬點。屛環金鏡映千尋。灑然靈境非人世。將養神丹鍊道心。</text>
<title>別日本通信使</title>,<text>彩鳳銜綸辭魏闕。仁風從此煽東蠻。鸞㫌縹緲扶光外。龍劒飛騰斗極間。手截鯨頭淸四海。身登鰲背蹴三山。一心忠信終柔遠。百世留名仗節還。</text>
<title>次寄秋山</title>,<text>仙家遙住白雲中。駕鶴誰尋鍊道翁。榻掃靑嵐迎皓月。門搖碧柳飽光風。靜看細草庭前翠。却笑殘花雨後紅。獨抱琴書深得意。幽居淸興浩無窮。</text>
<title>次嘿好眞觀寺韻</title>,<text>尋眞迢遞入禪宮。白月心空憶遠公。袖掃浮塵迎灝氣。身登危石御冷風。天收暝靄千峯碧。日射飛流百丈紅。萬古地靈應有待。漢京形勝冠吾東。</text>
<title>二水亭 二首</title>,<text>誅茅勝地欲懸車。序屬淸明景物華。北岳三峯撑萬仞。南湖一帶繞千家。天低大海歸帆遠。地拆明沙落照斜。爲國先憂頭已白。更將琴鶴樂生涯。岑寂漁村絶俗紛。小亭迢遞軼浮雲。境連鯨海秦橋斷。江瀉龍門禹斧分。文送北山思遯世。身居南郭最憂君。潛心自得幽居趣。朝對書巢轉夕曛。</text>
<title>歸湖庄</title>,<text>退卧林園世慮休。春光將暮洞天幽。山花得雨紅初謝。溪柳迎風綠漸抽。安分躬耕眞有樂。忘機垂釣自無憂。經綸未試頭先白。坐對長川日夜流。</text>
<title>呈督運使</title>,<text>水雷台老丈人行。情札遙傳歸鴈忙。震風動地一松翠。虐雪摧山千樹僵。看梅得意弄三絶。汗竹潛心明五常。鴻名不讓振來世。日夜門前流大漳。</text>
<title>入聞慶</title>,<text>征衫曉拂過雲林。重入聞韶感恨深。百丈龍湫喧地軸。千盤鳥嶺接天心。風光荏苒猶朝夕。人事凄凉變古今。遠客幽懷人不識。獨憑危檻更悲吟。</text>
<title>陽山寺。次竹西韻。公先人楊浦先生讀易于陽山寺。課更硏究。得疾不起。故公入陽山述感。寺在聞慶。</title>,<text>欲訪先蹤有此行。溪流嗚咽古今聲。風光似會無窮恨。雲影如含不盡情。人事幾隨塵世變。悲懷時激淚痕橫。幸承詞伯靑瑤什。孤露微忱慰半生。</text>
<title>次東園韻</title>,<text>芰荷爲服席爲門。幽谷孤芳自遠聞。半月琴橫持志正。流霞尊㶑禮人勤。寒梅萬樹香凝雪。脩竹千竿勢拂雲。歲暮襟懷聊共託。幾耽佳景惱詩魂。</text>
<title>入金鰲書院</title>,<text>爲訪先賢遺澤在。鰲山深處敞層楹。千秋名義江河遠。萬古綱常日月明。苦竹寒叢霜裏秀。芳梅踈影雪中橫。至今人性終難泯。誰鼓餘風起後生。</text>
<title>次遼陽吟</title>,<text>征路迢迢滄海西。千層粉堞與雲齊。天山縹緲黃塵暗。華表依俙白鶴棲。大地雲翻揮玉節。晴空雷震動金鼙。男兒始遂平生志。回首家鄕月露凄。</text>
<title>次永川板上韻</title>,<text>天機動處少陽回。梅得春魂艶獨開。一水繞城蒼野闊。千山當檻暮雲來。心耽佳景成瑤什。興滌閑愁倒玉盃。王事驅馳家萬里。不堪歸思更徘徊。</text>
