<title>知行</title>,<text>聖門傳授訣。昭在簡編中。兩致知行力。方爲造道功。</text>
<title>七佛路中唫</title>,<text>九月尋眞路。秋粧錦繡光。淸風生腋下。扶杖上天王。</text>
<title>同李善元，呂上舍鳳擧遊別川。</title>,<text>昔聞名今來翫。別有山別有川。閒多年無主人。仁智後樂此川。</text>
<title>昆陽捿鳳寺</title>,<text>有寺名捿鳳。何年鳳下摟。鳳溪吼谷亂。鳳嶽與雲齊。錦葉秋光晩。金沙彗日低。遊筇休久住。歸路遠蟾西。</text>
<title>神興寺。次巡相金尙魯韻。</title>,<text>蕭灑神興寺。尤奇佛日菴。亞房眞可異。懸瀑亦非凡。雲岑瑤陛設。霜葉彩霞兼。千後崔仙迹。尙留洗耳巖。</text>
<title>藥師庵</title>,<text>憑欄擡雙眼。豁然宇宙寬。玉流喧澗曲。瓊嶂繞雲端。遊償眞堪樂。趍營正不關。森羅無限景。一一入詩斑。</text>
<title>元朝</title>,<text>而昔靑春子。如今白髮人。工程無寸進。疾病任叢臻。永抱蓼莪痛。不堪歲月新。平生無事業。身上愧儒紳。</text>
<title>除夕</title>,<text>衮衮玄機運。居然歲律窮。宿癡依舊狀。素業乏新功。身老千疴集。家貧四壁空。榮枯知有命。何必㤪蒼穹。</text>
<title>回甲年。伏次先君回甲韻。二首</title>,<text>六十一年事。㮙然七尺躬。迂踈窮到骨。悠泛學無功。衰鬂添霜白。殘燈伴壁紅。那堪桑海後。吾亦老爲翁。庚辰吾以降。今又庚辰春。十月胚胎苦。三年顧復煩。恩無報萬一。身竟沒埃塵。晨起呼燈坐。悄然百感新。</text>
<title>述懷 二首</title>,<text>聖賢嗟去遠。誰能復古淳。人心難測度。世味劇酸辛。名利非關我。儒冠恐誤身。如令早知此。投筆作農民。溪柳知時綠。庭梅未臈新。人情多冷暖。春意正氳氤。避謗猶遭謗。遠嗔亦被嗔。吾生眞不幸。何處可安身。</text>
<title>安分</title>,<text>飢寒那復恨。命定稟生初。寂歷三間屋。參差萬卷書。工夫心已懶。富貴意全踈。欹枕消長日。無人喚起余。</text>
<title>向元曉庵</title>,<text>努力躋攀去。崎嶇石路斜。林深鳴怪鳥。日暖散輕霞。軟碧千條柳。姸紅萬朶花。看看皆絶勝。疑是仙人家。</text>
<title>義相臺</title>,<text>庵在浮雲外。逈臨萬丈巖。風光驚俗眼。形勝最山南。屋老年幾百。客來月正三。偶然成好會。老少一堂咸。</text>
<title>登十翫亭感舊作 曾陪先君及宜咸老遊此。</title>,<text>愛此高亭好。遲留到夕陽。無情山嶷嶷。有美水洋洋。物色同今古。乾坤變海桑。當時陪賞事。回首已茫茫。</text>
<title>贈李生正宅 李生大人書賀吾婦善疫。又饋米。故感吟。</title>,<text>頹卧衡茅下。無人問所思。跫音驚午睡。玉樹暎踈籬。致慶傳情簡。知貧濟涸飢。慇懃相與意。遙指百年期。</text>
<title>次仲弟士直無名齋幽居韻</title>,<text>倚巖新卜築。兼有好江山。軒納烟郊色。窓開竹樹間。莫嫌長寂寞。正合養淸閒。架上詩書在。課兒日日看。</text>
<title>夢見先君。枕上感吟。</title>,<text>先君入我夢。彷彿平常時。豈識幽明隔。怳承警誨時。欠伸中夜起。怊悵感懷滋。死若如斯夢。陪歡早晩期。</text>
<title>享祀後拈得成字</title>,<text>天縱吾夫子。煌煌集大成。功垂今古永。道與日星明。陟降如臨地。衿紳奏假誠。千秋立人極。正路坦然平。</text>
<title>次李屹峰書堂韻 四首</title>,<text>登山聯竹杖。入室襲蘭芬。處世非無友。知心獨有君。俗情氷炭劇。人口是非紛。已覺同遊好。何時更會文。乾父坤爲母。人人各受中。英䧺如鳥過。富貴等花紅。誰保元初性。難回太古風。慇懃匡社老。幽抱與吾同。珍重匡山老。何時許賁臨。光陰催晼晩。衰病轉沉淫。高躅欽芝峀。顚狂笑竹林。愁來醒獨立。天地入長吟。地偏生亦晩。未作孔門狂。學淺難窺室。工踈尙面墻。君期元禮李。我愧直卿黃。麗澤相資處。欲磨鏡裏光。</text>
<title>祖妣安氏忌辰。賦此感懷。</title>,<text>祖妣無年逝。兒孫未降時。何曾膝上抱。未及眼前嬉。雖欲神精感。奈無髣想知。周旋祼薦地。徒覺悵懷滋。</text>
<title>生朝有感</title>,<text>如非吾父母。吾豈有吾身。欲識至誠愛。試思顧復辰。烏猶知反哺。草亦報三春。風樹終天痛。生朝倍一新。</text>
<title>夢與金九思堂退甫 樂行 從容叙話。枕上作。</title>,<text>我有金蘭友。平生道義期。山河千里路。雲樹十年思。夢寐精魂感。逢迎肚膽披。俄然蝴蝶散。眞面對何時。</text>
<title>王父忌辰感吟</title>,<text>時當霜露節。倍覺感懷滋。地下音容隔。人間歲月移。孱孫元不肖。遺緖正難持。筋力從年减。豆籩奉幾時。</text>
<title>述懷</title>,<text>我本狷狂士。平生慕古人。從師何所得。爲學竟無臻。轉眄韶顔老。省躬舊習因。朝聞夕可訓。三復已書紳。</text>
<title>夢見洛溪趙丈感吟</title>,<text>平生景仰意。不啻泰山尊。感應淸霄夢。叨陪舊日軒。怳蒙情眷眷。如聽語溫溫。莊蝶俄然散。悲懷枕上繁。</text>
<title>夢見先君與霽翁會話。感作。</title>,<text>夢裏多歡事。一筵會父師。依俙瞻德宇。彷彿聽溫辭。蝴蝶驚還散。羹墻慕愈滋。平生道義契。地下倘相隨。</text>
<title>贈李文仲 定山李侯彙晉長孫聖魯○三首</title>,<text>惜別難分手。臨行更挽衣。幾年今始見。千里又將歸。暝色生寒樹。雲容淡夕暉。殷侯衰暮意。斜日淚雙揮。千里湖西客。巴陵郡邸臨。滄桑卄載後。怊悵兩人心。對面憐衰鬂。聽言記舊音。掃塵提水意。逆旅暫開襟。迹斷囂塵久。爲尋遠客來。逢迎今夕語。雲樹卄年懷。喜極還無語。情深急把盃。斜陽催別馬。怊悵首頻回。</text>
<title>幽居卽事 四首</title>,<text>抽身避俗臼。斂跡入深山。巷僻尋常靜。家貧自在閒。臥聽氷澗響。坐數暮鴉還。陶令嗟云遠。淸標夢裏攀。幾年拋舊業。今日遂初盟。有意巖花笑。多情谷鳥迎。睡因無事穩。詩或不平鳴。何恨貧爲病。於焉得此生。柳岸春回日。雲窓夢罷初。結盟隨鹿豕。觀物翫鳶魚。抱膝吟新句。拭眸閱古書。多情林下鳥。相喚慰端居。山中塵事斷。終日掩柴荊。颯颯松濤轉。依依竹日明。烟霞無價點。風月有誰爭。寂寞入林意。端要遠市聲。</text>
<title>次南潤伯</title>,<text>乾坤造化囿。無物不同春。花發巖崖上。鳥鳴澗水濱。看看皆絶勝。步步摠淸新。遙望臺高處。名區覺有眞。</text>
<title>雲興寺</title>,<text>諸天遊翫客。三月暮春時。谷邃雲長鎖。山深路却疑。更鍾鳴夜半。高閣壓溪湄。二友情眷眷。名區共躡追。</text>
<title>贈朴元后 東厚</title>,<text>訓翁一去後。君獨典刑存。冐雨申勤訪。聊床鼎足蹲。唱酬消白日。談笑到黃昏。我有相䂓語。自珍守法門。</text>
<title>次朴紫臯</title>,<text>紫臯三逕闢。淸話五更深。自有敷腴色。元無冷煖心。峽中饒趣味。案上滿書琴。勝會誠難得。悄然爽我襟。</text>
<title>新豊次殷侯詩。贈別族人諸老。</title>,<text>俱是癃年老。那能有後期。誼敦來會日。情斷別歸時。門戶將安保。箕裘願好持。應知分手後。徒費夢中思。</text>
<title>爲善</title>,<text>爲善善日積。爲惡惡日長。操心心自在。放心心乃亡。贒愚從此判。趍向宜可詳。持敬與窮理。聖門第一方。</text>
<title>君子小人</title>,<text>闇然君子學。貼裏事無爲。的爾少人學。誇虛要有知。只緣殊向背。終致判安危。趍正莫他去。庶幾快樂時。</text>
<title>輓趙晦遠</title>,<text>善人多不壽。天意竟誰知。郁郁聯雙棣。悤悤折一枝。人間生幾日。泉下永歸時。入杵爭高下。空山落木悲。</text>
<title>挽安善若</title>,<text>送君吾豈忍。欲語淚先垂。入巷無人斂。看花失伴悲。凄凉鬢綠婦。愁絶髮黃兒。馬鬣封何處。人間萬事非。</text>
<title>挽趙无庵 埜</title>,<text>家聲尊一代。學業富三餘。渡灞垂韓淚。還山臥孟廬。圖書留屋壁。梅菊滿庭除。南極星光晦。儒林丈席虛。</text>
<title>挽趙友希舜</title>,<text>金昆與玉友。俱未享遐年。范淚重沾袂。牙琴更斷紘。誰云仁善報。終看禍殃偏。舅婦同時逝。雙㫌一路翩。</text>
<title>挽黃文瑞</title>,<text>嗟君兄及弟。次第遽何之。鱞曠身憔悴。艱辛命厄奇。凄凉舊墟曲。指點路人咨。氊業將誰托。人間萬事非。</text>
<title>挽李丈 垕榮</title>,<text>吾鄕有處士。芝谷卧斯翁。藹藹眞淳態。堂堂朴素風。世皆誇外貌。公獨抱深衷。父子同時逝。伊誰詰蒼穹。</text>
<title>挽黃四咸 戴○二首</title>,<text>宗誼兼交分。逢塲幾笑迎。秋堂同賞月。春澗共斑荊。高語霏瓊屑。淸標滌吝萌。宛然如昨日。誰道隔幽明。濁滓滔滔世。淸標脫俗姿。獨梧餘馥在。蘭玉典型持。</text>
<title>感槐亭。趙丈景相及諸益來訪。</title>,<text>易贊交情利斷金。如今此道罕于今。吾人不學雲翻覆。靈犀分明照兩襟。</text>
<title>道院咏懷 三首</title>,<text>岡老餘風水與長。齋堂因設講磨塲。遺篇三復相䂓勉。醫得膏冐是妙方。道林深邃道溪長。淇竹重靑琢玉塲。醫得年來孤陋病。律身元自有奇方。從容院宇講論長。不是尋常翰墨塲。明月中宵因佇立。美人遙望彼西方。</text>
<title>遊方丈山</title>,<text>新服旣成春又暮。詠歸淸興古今同。幼後長先儼有序。這中眞樂也無竆。</text>
<title>遊池亭上</title>,<text>水滿方塘不動風。鳥鳴花落任西東。這間森列知誰使。都是流行造化功。</text>
<title>敬次退溪先生文集韻</title>,<text>工夫正好到專一。人可不如鳥數飛。悠泛倘無眞實地。末梢難免小人歸。</text>
<title>遊伯夷山下雙岸溪</title>,<text>水有深源故活潑。不然安得十分淸。因玆幸覺眞機露。終日歡遊頓喚醒。</text>
<title>與諸友遊艅航山</title>,<text>艅航屹立際天高。極力躋攀不憚高。向上可期終有達。傍人莫歎仰彌高。</text>
<title>與盧明彦遊池亭</title>,<text>氣候溫凉午景晴。小塘如許十分淸。靜觀上下鳶魚動。始覺無心還有情。</text>
<title>與星山金晦甫。丹州權斐叟，趙益天，趙君一。勝山許綱同遊深源寺。</title>,<text>行行隨水訪深源。始覺千流自一源。中道莫言前進苦。直竆方可到眞源。</text>
<title>敬次商州李息山飮酒詩</title>,<text>秋山景物遠招客。蠟屐行行穿澗林。隨處留心隨處樂。陶然消却世情深。</text>
<title>歎世</title>,<text>世情時事實堪歎。行路危如涉大瀾。安得聖賢書萬卷。晴窓終日細心看。</text>
<title>靑谷寺。感老先生詩。</title>,<text>陶翁當日偶吟斯。記得遺詩感古事。蠟屐今來花雨樓。古人不見但三喟。</text>
<title>點檢近日。病在忿欲。吟兩絶以自警。</title>,<text>太陽氣質終難變。隨事暴剛汩性眞。用力宜從難克處。工夫深恒更因循。遏欲工夫不耐辛。隨時隨處害吾仁。倘能防窒如塡壑。畢境應須德日新。</text>
<title>敬閱先君遺集感歎</title>,<text>一辭先考八經春。每閱遺編愴感新。病伏無緣求狀錄。自憐吾死屬何人。</text>
<title>月夜。敬次老先生韻。</title>,<text>秋宵霽月最精神。照我虛堂病一身。安使此心如彼月。十分皎潔絶纖塵。</text>
<title>晬日感吟</title>,<text>生我父兮育我母。此身何處接容顔。元無寸草三春報。追悔今朝恨萬端。</text>
<title>過從祖姑母㫌閭感吟 曾王考七歲服喪。以孝行名。○二首</title>,<text>有是父兮有是女。父爲孝子女殉夫。短碑數尺山門屹。手以摩挲發歎吁。三從義重卽捐軀。何讓堂堂烈丈夫。此日門閭尋舊蹟。一回竪髮一興吁。</text>
<title>次浩然亭重修韻 江陽周汝兼仁甲。修其先祖二樂堂所築浩然亭。○二首</title>,<text>浩然歸臥某丘傍。二字佳名稱此堂。堙廢百年能肯搆。斯文一脉永垂長。遺亭垂刱聽琴傍。爲賀贒孫好肯堂。二樂淸風吹百世。山增嶷嶷水增長。</text>
<title>過皷山遺址感吟</title>,<text>卄年重到舊山阿。往事茫茫感淚多。舟子不知吾心緖。夕陽盡意唱漁歌。</text>
<title>冬至吟 二首</title>,<text>六陰之下一陽動。可見天心不暫移。萬戶千門從此闢。至誠無息果如斯。欲識天心無改移。請看冬至一陽滋。在人亦有這般意。迷復當於不遠爲。</text>
<title>立春 二首</title>,<text>二氣流行貞則元。乾坤次第闢千門。迎春最是祈天意。惟願年豐民俗敦。玄機衮衮屬新春。何物人間不共春。所願年豐兼道泰。萬民咸囿太平春。</text>
<title>李君雲帆父子善疫。是知孝感所致。慶賀。二首</title>,<text>吾行太晩到君門。慶賀䂓䂓日已昏。天報善人從可驗。不妨素面滿紅痕。孝子今看世德門。彩衣春色暎晨昏。至誠攸格寧無感。天意分明點好痕。</text>
<title>辛巳初一日</title>,<text>虛過六十二年春。回顧平生感慨新。千里從師那箇做。祗今謾作脫空人。</text>
<title>夷山齋吟。示諸友。</title>,<text>碧梧蒼檜已經春。一度來看一度新。不肖未修堂搆業。死將何說報先人。</text>
<title>巢鷰</title>,<text>貧病無端故舊踈。門前久斷往來車。慇懃惟有來巢鷰。不逐人情棄弊廬。</text>
<title>偶吟</title>,<text>公道人間秪白頭。頭邊歲月孰能留。莫將富貴輕貧賤。畢境都成土一丘。</text>
<title>幽居十景</title>,<text>玉蓬一朶望逾奇。誰錫其名曰伯夷。屹立雲端靑未了。千秋留作仰瞻資。右夷山秀色一片金輪出震方。俄看紅暈已西崗。男兒盛壯元無幾。請看林梢暮景忙。右方丈落照閒臥晴窓午枕舂。風傳雲外數聲鍾。聞來忽起淸遊興。雙眼迢迢掛碧峰。右蕭寺暮鍾野人職業在於農。夏畦鋤禾豈暫慵。數曲歌聲郊外發。萬民咸願樂年逢。右野外農笛樵兒相喚上嵯峨。爭唱風前數曲歌。山木迎斤將濯濯。雨餘萌孽亦無多。右艅岳樵歌烟外長郊十里長。綠莎靑草放牛羊。隔溪風雨呼相伴。橫笛歸來趁夕陽。右長郊牧笛閒居無事課農書。白屋生涯任澹如。夕露沾衣何足惜。草深幽逕荷歸鉏。右佳坪荷鋤荻花秋色滿江湖。閒釣蒼波巨口鱸。十里明沙乘興返。暮林歸鳥與之俱。右鼎湖垂釣峰頭欝欝秀孤松。亂剝風霜不改容。高節人間無與比。歲寒非汝我誰從。右冬嶺孤松玉立新叢繞小園。爽襟淸韻滿幽軒。非惟可免令人俗。更憶磋磨取興言。右小園綠竹</text>
<title>次李屹峰嵋江書院重修義助韻 許文正公妥靈之所</title>,<text>斯道沉淪我輩憂。誰傳嵋院議重修。此時此事猶增氣。扶正何嫌衆口咻。</text>
<title>嘆民飢寒</title>,<text>太急徵租倒廩囷。天寒白屋摠眉顰。何緣借得千間廈。大庇窮閭凍餒人。</text>
<title>苦寒有感而作</title>,<text>今年寒酷去年寒。雨雪霏霏大地寒。豈但竆廬羸體凍。玉宇高處亦應寒。</text>
<title>除夜吟</title>,<text>一點殘燈滅復明。弟兄相對到深更。晨鷄最是無情物。催報新年喔喔鳴。</text>
<title>元朝作</title>,<text>冉冉春光又一春。居然天地白頭人。宿癡未賣身先老。悄坐窮廬感慨新。</text>
<title>壬午正月。移于夷山齋。感舊作。</title>,<text>此地陪歡在昔時。溪山雲物正芳菲。俄然人代滄桑變。庭樹悲風感淚滋。</text>
<title>幽居雜咏 三首</title>,<text>頓覺殘年萬念空。榮枯都付彼蒼穹。莫言寂寞無師友。孔孟顔曾對卷中。伯夷山下閉門居。靜裏惟看古聖書。一壑一丘生計足。非關囊裏萬金儲。萬事悠悠一笑空。巖扉牢鎖臥雲中。有人來說塵消息。閉口無言送去鴻。</text>
<title>得梅樹植階前。感舊作。</title>,<text>氷姿玉骨最淸奇。王考當年托襟期。新植階前看吐蘂。孱孫今日感懷滋。</text>
<title>吾黃源於檜山。先人植檜而追本。故余增築培根。</title>,<text>粤自檜山實啓源。先人追本植前軒。慇懃增築培根意。共我雲孫萬葉蕃。</text>
<title>次仲弟士直韻</title>,<text>處世何能斷世緣。隨機安義可終年。人間禍福雖由命。謙益驕亡理亦然。</text>
<title>次仲弟士直無名齋韻</title>,<text>隱約自修勝有名。爲人嗤點摠由名。請君莫把無名揭。所謂無名亦有名。</text>
<title>次仲弟三身字韻</title>,<text>生於父母有吾身。血脉流通卽一身。若遣此身蒙累穢。非徒自辱辱親身。</text>
<title>吟贈趙生宅鎭，趙生鎭得，安生桂齡。</title>,<text>愛爾初年志業長。從師千里襲蘭香。鄒書垂訓君知否。必有事焉勿助忘。</text>
<title>安生聖源來留講魯論。適金泓來。呼韻唱酬。</title>,<text>兼旬病卧水雲間。愛爾重尋舊塾還。賴有金君同償月。團圓好做一霄閒。安生曾受業。故云重尋。</text>
<title>吟前韻贈聖源</title>,<text>浮世光陰一瞥間。東流無復向西還。男兒事業君知否。須趁靑年莫暫閒。</text>
<title>又吟聖源韻贈鎭得</title>,<text>男子身爲宇宙間。靑春一去更無還。惜陰須着孶孶力。編絶當時豈敢閒。</text>
<title>宿廣井李命見草堂</title>,<text>蕭瑟蘆花兩岸秋。興隨流水共悠悠。一燈樽酒相逢夕。寧把荒年作話頭。</text>
<title>贈坪舘諸益</title>,<text>佳辰携手日同行。詩在溪山步步停。筇指薇庵尋去意。招招惠好勝遊成。</text>
<title>贈李和叔 協</title>,<text>秋風乘興叩雲扉。霜落天空鴈欲飛。把酒論詩消永夜。唾成珠玉灑霏霏。</text>
<title>次極躔會韻 七首</title>,<text>淡然交契似蘭金。聲氣相求動輒尋。紫洞初成耆老會。衰遲恨未座中臨。高軒團聚拭靑眸。南極星光暎白頭。諧笑云云終夕樂。不關人世百年愁。四三耆老會華茵。俱是超然不俗人。櫝裏誰知藏美玉。明時謾作逸遺民。蒼顔白髮好團欒。萬事悠悠任等閒。豈獨香山專勝美。後人應說紫臯山。契合平生一片心。瑤絃白雪和高吟。德星應報贒人聚。何必顚狂慕竹林。輔仁在友會當文。德不終孤自有羣。願且交修君子業。百年天地共留芬。我被天工好事慳。蘭薰未襲一筵間。願言白髮還俱黑。歲歲年年勝會團。</text>
<title>家侄醮日吟贈 三首</title>,<text>泮氷佳節爾迎相。正是人家萬福原。倘識關雎深意味。修齊要道箇中存。老叔丁寧向汝言。吾家世德有深源。造端正是從今始。棄爾幼心敬謹存。摯別先須一敬持。存心要以古人期。驅車萬里軔初發。非復蒙蒙幼稚時。</text>
<title>次朴紫臯韻 二首</title>,<text>名以壺亭有底思。不忘先躅我曾知。天公剩借湖山景。無限風光盡屬斯。停雲無日不相思。此老心懷爾倘知。屹老尋常臯老訪。遊於斯又咏於斯。</text>
<title>次朴紫臯八景</title>,<text>腰鎌日日上崔嶢。後應前呼薄暮樵。夢做羲皇高臥客。隔林閒聽數聲謠。右猪嶺樵歌牛巖朝暮放村牛。篛笠兒童卧小洲。日暮歸來橫短笛。不知酬唱相齊謳。右牛巖牧笛一抹遙岑落照含。崢嶸霽色碧𣯶𣯶。箇中別有開襟處。望裏縱橫紫翠嵐。右蓬岳晴嵐十里蒼波望裏寒。蕭蕭帆影泝烟灘。篙工豈識滄洲趣。正好閒人取次看。右楓灘暮帆獰飈無改舊時顔。不受狂塵封泰山。隱几幽人留晩節。解憐霜雪滿枝間。右南山雪松雨中開蘂爲重陽。粲粲東籬盡意黃。得制頹齡何獨取。爲憐高節傲嚴霜。右東籬霜菊午枕高舂臥草廬。春盤好喫採園蔬。翛然閒趣超塵累。時把淵明月下鋤。右荇谷荷鋤細雨斜風景色新。簑衣篛笠小湖濱。夢通岐下知何日。垂白休辭把渭綸。右松湖垂綸</text>
<title>贈安友應璐 二首</title>,<text>崎嶇山路遠來尋。蕭寺靑燈照兩心。細展百封蕉葉盡。鍾聲已報五更深。含笑逢迎眼忽明。一床論討故人情。人雖唾面何須識。小不忍時大𥚁萌。</text>
<title>次新豐族人黃壽澄僉知慶宴韻</title>,<text>貂玉煌煌大耋身。却敎寒谷變陽春。光生門戶宜無恨。悲感偏深兩世親。其曾祖享壽。不受天爵。其父已歿。故元韻有此意。</text>
<title>次鄭隅谷遺墟亭韻</title>,<text>不仕新朝遯跡幽。堂堂義烈照千秋。柴桑古里餘松菊。曠感頻敎志士遊。刺之松葉不搖眶。烈氣貞心凜雪霜。扶植綱常垂萬世。明明星日可爭光。</text>
<title>夷山齋魁會値雨</title>,<text>庭梧蕭瑟届淸秋。賓主東南盡日遊。莫道坐中無管竹。溪鳴金石隔窓流。</text>
<title>因與李屹峰盤旋浪吟</title>,<text>蒼松綠竹又薇花。景物依然處士家。又有方塘開一鑑。天光雲影這中多。</text>
<title>和趙行儒 二首</title>,<text>昨聽南柯鵲報喜。俄然瓊韻此中傳。故人咫尺如相對。不覺晴窓罷曉眠。一朔携朋和白雪。靑眸今又爲君開。披衿相對論文處。呼酒慇懃勸一盃。</text>
<title>次李丈 子安 贈孫韻</title>,<text>天姿諄謹拔諸生。應得將來吉士名。王父高堂勤勉敎。丁寧期待不爲輕。</text>
<title>七月。坐鵲溪待趙友文翊。</title>,<text>晦翁思友咏寒蟬。尼父臨流歎逝川。後學千秋思體得。矇然還似管窺天。</text>
<title>敬次地主成侯 碩禧 韻</title>,<text>洋洋絃誦動州闉。儒化仁風日漸新。百里雖偏民社在。鳴琴方可試經綸。</text>
<title>登儉溪亭</title>,<text>潑潑游魚躍于潭。莊叟濠觀又此巖。兼有主人來把釣。偸閒半日做淸談。</text>
<title>登無盡亭</title>,<text>何日丹霄鳳彩藏。至今無盡舊風光。古人不見亭猶在。留得高名百世長。</text>
<title>謹次張丈 錫玄 韻</title>,<text>軒豁風儀長者人。一諧一笑摠天眞。故園歸旆今難挽。眷下鯫生悵恨新。</text>
<title>同柳元一遊深源</title>,<text>黃菊丹楓摠可憐。山中又是好風烟。遊筇步步皆堪賞。始覺人間別有天。</text>
<title>歎世</title>,<text>行世無非蜀道難。人間何處可偸閒。將身未入桃源界。謾把靑編閉戶看。</text>
<title>次黃巡相 仁儉 謁先墓韻</title>,<text>煌煌牙纛盛儀威。棠樹春風桂棹遲。洋溢榮光騰海國。金章來掃舊莎歸。</text>
<title>與院北諸友。次書院詩軸韻。</title>,<text>採薇高節舊西山。東國千秋一脉還。屹立雙峰靑未了。祗今留帶古祠顔。</text>
<title>過姑蘇。拜墓感吟。</title>,<text>白楊蕭瑟草離離。瞻拜荒原不耐悲。孤露百年風樹淚。謾添寒雨灑霏霏。</text>
<title>吟古硯 萬曆年間。安侯夢胤納古硯于鄕校。爲寫祝之具。而硯下面有皇明年號。有匪風之思。</title>,<text>古硯珍藏寫祝辭。皇明甲子尙留玆。非惟夐想安侯意。仍感風泉不耐悲。</text>
<title>自有匪風思感吟</title>,<text>北望神州發嘆三。手提長釰謾悲吟。久將玉帛朝讐羯。誰謂吾東有大男。</text>
<title>別士直季直兩弟</title>,<text>一堂兄弟作參商。堪斷衰年寸寸膓。欲往欲留心未快。暮天鴻鴈不成行。</text>
<title>冬只山贈李友 世勣</title>,<text>爲訪故人冬只山。淸高非復世人間。主人剩得巖捿樂。十里桑麻閒又閒。</text>
<title>贈趙天擧趙三彦</title>,<text>潦倒竆廬一病身。幾年離索鬼爲隣。分明記得前宵夢。浪迹溪山共故人。</text>
<title>挽趙聖信 柬○二首</title>,<text>翩翩雨翣入山門。忍葬斯人何處原。萬事悲歡同傳舍。百年氊業一螟孫。同病相憐已閱年。那知公逝在吾先。凄凉舊宅空無主。更有何人掃榻迎。</text>
<title>挽趙錫禹 龜世○三首</title>,<text>大笑先生肯有孫。風儀磊落典型存。如何天意慳仁壽。無復守氊是祖門。氷壺襟韻玉爲骨。儘是溫溫席上珍。脩夜不暘邀霽月。巴山從此寂無人。德器英才出等倫。吾儕倚望在儒珍。長途發軔身先逝。究竟地頭惜未臻。</text>
<title>挽李世德 二首</title>,<text>鸞驂雲外去茫茫。萬口咸嗟善士亡。儉里家聲因寂寞。冬山無語色凄凉。五十光陰隙駒忙。紫荊憔悴泣風霜。平生仁善寧無驗。庭下臭蘭郁郁香。</text>
