<title>詠史 十一歲作</title>,<text>楚王好賓客。宮中置香醴。如何隆準公。溲冠太無禮。</text>
<title>松山途中</title>,<text>蓐食趍東郭。川原亂不分。聞蜩過喬木。歇馬覽秋雲。小店居無築。遙僧去或羣。吾行眞自懶。矯首已西曛。</text>
<title>梨村市人養白鵝。賦十韻。</title>,<text>汝南先生雙白鵝。前時放飛雲水曲。石潭茅屋留高人。角巾布衣如孤鶴。不復把筆寫黃庭。高準潔毛空自憶。今年索居梨村中。市人養鵝花雪色。忽聞淸唳驚問人。有如古琴生水石。不知鵝家眞好鵝。得鵝恐飛繫其足。長安秋雨泥滿衣。意欲奮飛身在縛。水鴨家鷄得食喧。行牛走馬浮塵黑。先生有道長在市。亦能悲爾摧高翮。靑鞋布襪行將具。何時與爾歸川麓。</text>
<title>梨村僑居。次德哉寄示韻。丁酉</title>,<text>茆屋愁誰語。柴門懶不開。薄雲行見日。急雨過聞雷。藥褁參書帙。花時廢酒盃。將吾一札去。須汝百詩來。</text>
<title>病懷無憀。使人歌。或自誦詩以遣興。</title>,<text>雜坐高歌發。翛然思慮平。春燈萬戶靜。夜雨百花明。酒甕開新醱。茶壚換舊烹。西林獨棲鶴。聞我誦詩聲。</text>
<title>漫書長律。寄舍弟。</title>,<text>村家無事樂年豊。父老頻來笑語同。碁譜差能追李憨。酒箴眞不與楊雄。高山漠漠春雷下。稚柳靑靑夜雨中。疾病漸蘇猶養靜。深知詩律有全功。</text>
<title>敬次家大人江郊踏靑韻</title>,<text>洞裏天晴花滿柯。春城細雨夜中過。村旗獵獵風來院。澗草菲菲日在阿。引白向時稱我快。踏靑今歲問誰多。西湖物色還應早。留待登樓一醉哦。</text>
<title>移寓東西。惟琴劒相隨。爲之賦六韻。</title>,<text>久矣詩書廢。猶然琴劒從。琴身長似鶴。劒氣動如龍。絶倒荊卿拙。調停叔夜慵。遙星通閃閃。流水按溶溶。海內紛鉛鐵。人間咽皷鍾。知音眞不易。彈鋏且歸農。</text>
<title>贈別扶湖族翁</title>,<text>脩髯短褐扶餘叟。貧不窮愁老不癯。但是腹中無俗慮。從知心上有眞娛。汎湖白鶴留妻放。出郭黃牛喚子驅。春雨荷村三日飮。別來相憶月輪孤。</text>
<title>早起得開字</title>,<text>琴几淸泠曉夢回。雨聲初斷雜花開。黃鵝早與隣鷄唱。白蝶先於社鷰來。意氣貧堪處蝸屋。功名高不說麟㙜。兒童報我新茶熟。且拓閑窓盡數盃。</text>
<title>觀闘鷄</title>,<text>烏鷄側立白鷄行。睥睨多時忽復驚。頭尾竦來方躑躅。冠毛竪盡却崢嶸。強拳蹴急要先劫。勁翮張高敢獨迎。闘罷昂然猶意氣。村前日午又長鳴。</text>
<title>柴門</title>,<text>柴門無客鳥關關。春日彈琴市井間。花意未應於我薄。柳陰偏是與人閒。天機衮衮來蝴蝶。世事怱怱戰觸蠻。行酒賦詩殊不息。此中乘興有南山。</text>
<title>書適</title>,<text>年來蕭散任踈頑。一鶴一琴城市閒。詩欲味其無味處。名須才與不才間。塵中柳暎先生坐。意內花明太華山。何日騎驢從此去。白雲流水有柴關。</text>
<title>市中得魚大小十數頭。皆活放之水中。</title>,<text>以吾塵屋長時愁。送爾春渠萬里流。豈有校人欺子産。定敎濠水樂莊周。風雲衮衮通歸路。江海悠悠避釣舟。一種機心銷得盡。自家還欲隱滄洲。</text>
<title>漫書</title>,<text>深巷悄無客。小花閒對人。暄風點也服。細雨浩然巾。夜夢逢諸弟。朝書奉老親。遙憐故園柳。飛絮不禁春。</text>
<title>卽事</title>,<text>養痾七十有餘日。移屋二三遂晩春。明月半庭堆戶卧。碧桃花影滿琴身。</text>
<title>人家</title>,<text>人家三色桃。春至生華滋。兒童下躊躇。意欲攀高枝。老翁出籬來。嗔兒莫折花。兒折花尙可。翁奈風雨何。</text>
<title>立秋理菁圃</title>,<text>七月秋氣至。貧家飯靑菽。有田數頃餘。土瘠多荒石。春時種木綿。花晩遂不摘。斂蔓就藩籬。斫草耕蘿葍。播核或淺深。列畒紛斷續。書生少經濟。老圃猶可學。靑門種瓜人。問渠何所樂。</text>
<title>送兪子成 默基 從其尊府判書公赴燕</title>,<text>窮冬雪落遼河水。欲遣君行意若何。上國衣冠終斷絶。中原氣數極消磨。金繒左海無長策。薇蕨西山有短歌。爲問燕南誰擊筑。秪今寒日吊荊軻。</text>
<title>敬次梧灘集中與曾王父唱和詩數韻。呈舅氏求敎。</title>,<text>閑齋習靜恰盈旬。荒逕深扉遠俗人。藥褁於今聊守我。梅花之外更無賓。病堪不寐庚申夜。詩欲先題戊戌春。但有自家豪性在。興來呼酒莫嫌頻。其二儂居地僻朝慵起。是處身安午睡遅。文欲成家終濩落。詩因遇境或新奇。天寒鳥雀飛俱疾。歲晩松篁氣不衰。久厭俗人來敗意。獨憐幽月到如期。其三窮冬白屋擁壚深。蕭灑寒梅對好襟。濁酒一樽深淺酌。淸詩百首短長吟。風松自作無生話。雪竹元存不老心。時獨出門看皓月。浩歌相答復誰禁。其四支離佳句不須驚。病子於詩太着情。家在壺中身是隱。世同碁上手全生。柴荊歲暮常牢落。樹木年深更老成。最是別般眞意味。獨來山月徹簾明。</text>
<title>除夕。次簡齋韻。</title>,<text>殘漏丁東屢報更。孤琴寫意轉難平。星催歲色連天曙。燈犯春光徹夜明。酒事關心聊自酌。鷄聲到耳更堪驚。百年衮衮皆趍老。賢達其如白髮生。</text>
<title>又次劒南韻</title>,<text>濁酒朋樽短燭紅。曉風何事又吹東。春還草木陶甄裏。歲轉星河暗淡中。世事蒼茫看一馬。天時牢落送雙鴻。笑他賈島精神在。獨祭詩魔作老窮。</text>
<title>敬次家大人韻</title>,<text>高齋聞爆竹。悄坐思依然。舊歲惟今夜。殘星且曙天。梅花容緩酌。蠟燭對孤眠。西屋猶鳴杵。東家已有烟。</text>
<title>江上口號 戊戌</title>,<text>江風獵獵道袍寬。野日荒荒羸馬寒。幾處漁家朝飯後。人烟猶在卧牛山。</text>
<title>讀書有暇。次農巖集韻。與李生德養。</title>,<text>惠日融朝雪。春泥深沒屐。抱書不出家。食貧無甔石。簾戶起澄景。山光澹以碧。溪磵暖欲流。草茅稍相坼。擁褐被慵眠。簷煦已盈尺。李子日相隨。佳懷偶自適。玩道樂餘味。誦詩悅古色。圖書紛照眼。聊以寫岑寂。願言托深契。樂哉窮昕夕。</text>
<title>三月三日</title>,<text>洞裏村前日午。柳邊屋上鷄鳴。春風有酒相對。芳草無人獨行。</text>
<title>漫賦奉李兄 世臣</title>,<text>地僻茅齋靜。春寒花草稀。墻陰一鳥下。簷日衆蜂飛。盥櫛身全懶。詩書事不違。從來言語淺。默坐悟天機。</text>
<title>李兄有詩督和。強賦數首。</title>,<text>春雨細無聲。白鳩終日鳴。閉門楊柳暗。移席杏花明。酒欲忘機事。詩能道性情。堂中一榻在。多是待吾兄。其二林鳥皆春聲。村鷄亦午鳴。細花風處暖。斜雨日邊明。靜坐看天意。端居悟物情。眞機言外在。吾以問吾兄。其三高屋惟書聲。深村雙杵鳴。春風百草軟。朝日衆花明。欲辨忘眞意。無營罕世情。貧家偶有酒。那得使無兄。</text>
<title>書堂次老杜</title>,<text>蛺蝶飛春木。千家花氣中。扶踈槐澗日。簡淡竹堂風。斷岸耕田仄。幽蹊汲井通。東林歸意晩。靑桂已生叢。</text>
<title>送宜叔之洪川</title>,<text>送子折楊柳。春風吹遠遊。離心漢陽樹。歸興渼陰舟。雨纜投江店。烟花到郡樓。蓬萊自此去。尙可問丹丘。</text>
<title>將赴麟蹄。曉發楊根。</title>,<text>秋氣蕭蕭草木寒。宿雲初露下江干。逶迤度馬楊根狹。宛轉浮鷗斗尾寬。雪嶽在心忘遠道。華山回首憶長安。吾身漸與風塵隔。且置覊愁一醉歡。</text>
<title>洪川泛波亭。錄奉使君李丈 舟臣。</title>,<text>六曲欄干山四圍。畫樓迢遆振吾衣。靑靑野樹東南出。白白江雲早晩飛。隣郡報書兄弟近。訟庭移菊吏人稀。風流盡在君家事。每有巾車駕鹿歸。</text>
<title>宜叔送余于江亭。亭下有渭城柳數樹。</title>,<text>蒹葭遠水曉蒼蒼。游子登樓憶故鄕。秋日更堪離別意。渭城殘柳不能長。</text>
<title>麟蹄途中</title>,<text>客路幾時歇。我行猶向東。聞鷄茅店月。驅馬葛津風。赤葉明寒水。蒼山凈遠空。覊心白雲在。北望送歸鴻。</text>
<title>六如堂。次洪川使君韻。呈聘君。</title>,<text>秋色江聲滿古㙜。雨餘官路長莓苔。禽魚俗樸琴將化。鴈庭閒印不開。彭澤宦情聊采菊。楊州詩興且觀梅。齋居領得神仙術。時出前池洗藥來。</text>
<title>余初見合江亭。意欲賦詩。徑醉遂歸。再遊而有此詩。</title>,<text>盈盈瑞和川。瀰瀰麒麟水。蒼峯中截斷。曲折東南至。日夜流不息。峯盡遂相値。淵然本一氣。會合竟如始。漣漪石髮明。澹蕩林樾翠。雲霞麗空碧。亭觀有餘美。地逈駭俯矚。天淸曠遠視。幽顯自成境。造化初無意。今余有淸賞。樂與二三子。歡言飮華榱。觴酌亂行次。逍遙豈不適。歗咏方自恣。煕煕魚龞游。皎皎鴻鴈起。卽此萬理淸。終宴以懽喜。</text>
<title>與宜叔</title>,<text>麟蹄有雪嶽。李子乘驢來。千崖披赤葉。萬谷踏蒼苔。忻然見我笑。巾袂無塵埃。石路松風長。携妓上江㙜。江流日夜淸。白石紛縈廻。風灘激相聞。山木動崔嵬。遙林澹將夕。雨氣屢徘徊。谷深鷄犬踈。天虛鴻鴈哀。遠遊忽不樂。歸意遂相催。披衣據高筵。歌歗集樽罍。浮雲西北征。何由見蓬萊。終當理蠟屐。共聽寒溪雷。</text>
<title>入雪嶽馬上。賦古詩九韻。示宜叔。</title>,<text>孤松生絶壁。石路有長風。我馬行屢歇。幽處遂得窮。豈無僕夫疲。稍有林澗通。川原曠淸曙。墟里遇樵童。霜林果實懸。鳥雀澹依叢。來蹊欣獨顧。前境驟已逢。雪嶽流灝氣。浮雲朝夕同。神淸衆籟寂。已似聞山鍾。李生幅巾坐。此意聊與同。</text>
<title>白龍潭</title>,<text>仙人騎白龍。一去三千年。浮雲護空寂。古㙜石娟娟。靑天下照水。游戱萬象懸。神淸起攝衣。風珮爲泠然。坐中二三子。亦可稱神仙。</text>
<title>鶴巖</title>,<text>崢嶸絶磵西。蒼石秀風霰。白鶴棲千年。而今不可見。苔蘚尙皺疊。楓栝空老健。鵶鸛啾更集。鶗鴂鳴屢變。松深適自憇。泠風送餘善。幽尋起永慨。俛仰思已緬。白雲去冥冥。望之何由羡。</text>
<title>武陵村。居民堇二三家。緣山種粟。每秋向熟。麋鹿食之。耕者收其半。橡實亦爲鼯鼠所失云。</title>,<text>石田荒穢崦村孤。父老相迎顔色癯。蓬戶人烟通野鹿。橡林秋雨閙山鼯。</text>
<title>宿寂滅堂。聽覺炯說法。</title>,<text>鍾鳴萬木定。龍堂晦已寂。山僧道衣寬。蕭散棲形跡。逌然誦眞法。深韻轉胷臆。淵淵道氣生。亹亹澄慮積。竹麈未停扣。蓮漏稍聞滴。此意要問渠。一笑便自若。</text>
<title>白龍湫遇雨</title>,<text>沉沉積水湧深湫。龍卧千年時出游。靈氣滿空雲漸下。神功無跡雨初收。凉生世外林巒肅。潤及人間稻黍秋。南海封王眞戱劇。吾將鐫頌雪山頭。</text>
<title>五歲菴</title>,<text>籃輿直上白雲深。中谷歸風發磬音。千界超游孤佛氣。五年趺坐一僧心。山空落葉無行跡。川息寒松有定陰。自是禪家冥寂在。不曾麋鹿擾祇林。結句盖記異聞。</text>
<title>山民</title>,<text>父老相扶行路歌。今年明府不徵科。牛羊慣到官門宿。鷄犬稀逢里正過。新婦夜來舂黍足。大男朝去採蔘多。還嫌白髮都無事。坐負秋陽自織簑。</text>
<title>德山村</title>,<text>淸江東渡見黃花。近岸松籬踈復斜。野犢不覊歸里巷。峽人無訟到官家。低雲薄暮還成雨。遠水微明自起霞。欲去更逢漁父坐。簑衣掛肘爲行茶。</text>
<title>彌勒川夜汎</title>,<text>秋風嫋嫋溯長灘。秋意凄淸各整冠。山月欲生鴉鸛起。江雲初散斗牛寬。黃花一岸牽舟緩。紅樹千巖應笛寒。舞袖飄颻亭子近。移樽更倚碧欄干。其二雲木蒼蒼夕斂霞。麒麟洞狹月明多。行盃酒氣浮黃菊。走舸江聲滚白沙。醉妓不能成緩舞。書生頗解作長歌。跳魚起鶴遙參興。驅使風光自一家。</text>
<title>九日有懷舍弟</title>,<text>舍弟故園黃菊下。遙知獨立整衣冠。相思此夜一樽酒。鴻鴈南歸秋水寒。</text>
<title>峽中卽事</title>,<text>高林霜落水鴻過。塲圃參差有積禾。村戶養蜂秋稅少。峽人輕虎夜行多。官淸或判漁樵訟。野曠相聞杵臼歌。鑿井耕田他自得。使君爲政欲如何。</text>
<title>擬豔曲 己亥</title>,<text>十二逢君蘇少家。十三君去戍黃花。秪今相別不相見。他日見君知則那。其二蕩子西樓宿未歸。秋波流恨上蛾眉。含羞不道心中事。手打花前黃蝶兒。其三衰桃不及薺有花。女心傷悲空作歌。一種東風無意緖。也吹蝴蝶入西家。其四儂在江南歡在北。江南江北杳烟波。朝朝賽向江神道。歡到來時風日和。其五妾有紅羅七寶扇。逢郞笑語索題詩。春風暗入珠簾擧。凌亂楊花撲硯池。</text>
<title>鳥嶺 時余有達城之行。</title>,<text>此地失天險。當時舞虜酋。浮雲來鳥嶺。積水赴龍湫。堞壘風霜壞。關河歲月流。傷心廊廟策。皮幣尙南憂。</text>
<title>尙州雪中。舟渡洛東江。</title>,<text>水國猶鳴鴈。鄕書未可憑。嶺雲寒沮洳。江雪暮崩騰。過店頻逢酒。行舟且伐氷。微茫彼何岸。已見數家燈。</text>
<title>仁同道中</title>,<text>落月澹行色。鳴鷄聞野中。羣山朝智異。一水限仁同。旅鴈逢南雪。征人負北風。鄕音頗已慣。迎勞有村翁。</text>
<title>申壯節公忠烈祠 庚子</title>,<text>荒原堞壘漠然平。蔓草靑靑野鳥鳴。王者寄奴難浪死。將軍紀信自輕生。山河想像英雄氣。天地流傳壯節名。祠屋幽森松栢老。後人再拜爲風聲。</text>
<title>龍淵寺。贈天順上人。</title>,<text>孤落霞堪入畫。蹇驢斜日且吟詩。磬音搖落山皆應。佛意蒼茫僧獨知。繪壁土花龍虎變。金沙地勢斗牛垂。緣渠欲問安心法。要在無言靜坐時。師言十四入山。專心誦經。晩謂文字徒致紛思。遂棄經業。嘿然靜坐。不出山今二十年。便覺思慮起處。减得八九分云。此言頗有理故記之。</text>
<title>桐華寺上游菴</title>,<text>鳥道通幽處。龍堂鎖寂然。山春多秀木。石古有淸泉。衆偈僧喉老。孤光佛頂圓。金剛吾未讀。何事是眞緣。</text>
<title>入伽倻至武陵溪。次柳上舍 雲瑞 韻。</title>,<text>春潮無際白沙長。歇馬汀洲萬草芳。佳處極知無俗物。醉來休問是他鄕。褰篷水月通心淨。吹笛山風到面凉。自笑閑遊還役役。計程來日宿金堂。金堂寺名。</text>
<title>吹笛峯</title>,<text>紅流一曲武陵西。紅流洞名。 古石蒼藤散馬蹄。吹笛峯前來倚杖。白雲靑鶴夢中迷。</text>
<title>學士㙜古松</title>,<text>懸崖百尺老松奇。誰見仙人手種時。莫道瑤琴便寂寞。秪今遺韻在寒枝。</text>
<title>海印寺</title>,<text>空山落雨動神靈。肅肅松陰覆石扃。繡障一千彌勒佛。雕樓八萬大藏經。黃金寶塔眞珠綴。赤鐵香爐古畫銘。欲問慈莊求福意。故都無主草靑靑。</text>
<title>白蓮菴。次元旻上人韻。</title>,<text>上房鍾磬夕蒼蒼。一道藤林繫馬長。僧計淡將松葉飯。客心淸盡木犀香。</text>
<title>希朗㙜。朗師修行處也。老師愨公年七十九。顔䫉枯澹。宛似朗師塑像。甚可異也。</title>,<text>蘭若迢迢孤塔圓。僧居七十有餘年。少無妻子身依鶴。老食松花骨蛻蟬。去剪白雲縫短衲。坐䟽淸澗注丹田。從渠欲問楞嚴意。流水空花息世緣。</text>
<title>宿山影寮。贈潤上人。</title>,<text>攀林踏石上孱顔。僧磬迢迢出世間。法日高懸千佛界。慈雲長鎭八公山。松壇入定經聲寂。竹拂談空道氣閑。自是禪家冥寂在。却令遊子澹忘還。</text>
<title>拜洛濱書院</title>,<text>蒼苔寂寂有殘碑。此地雲烟萬古悲。山鳥自來林下語。東風花落六臣祠。</text>
<title>退溪硏經書院</title>,<text>出處溫公正。操存孟氏醇。經殘書院古。花發畫巖春。揖讓知鄕黨。絃歌在士民。悠悠觀逝意。塘水暗荊榛。院中有觀逝樓。樓下有方塘。而今已廢矣。</text>
<title>次聘君韻。送柳上舍歸山居。</title>,<text>江南山水尙牽情。撩亂春花滿郡城。一曲離歌將進酒。明朝怊悵送君行。</text>
<title>次韻寄德哉洞陰草堂</title>,<text>春風踏盡八公山。東郭雲烟懶不看。芳草綠陰牽遠夢。短牋淸牘破愁顔。棠花發後吾將去。楓嶽行前爾莫還。時德哉在永平親衙。而余新自達城來。與有楓嶽之約。 更續淮南招隱賦。石門叢桂要同攀。</text>
<title>夏夜小雨</title>,<text>燈懸蚊蚋尋明入。星動烏鴉帶暝歸。凉氣忽生欹枕外。卷簾踈雨響霏微。</text>
<title>九日</title>,<text>高齋睡起朝暾淺。老圃香來曉露深。酒不泛花何必飮。詩無起草但能吟。</text>
<title>江上對酒書懷</title>,<text>兩岸高低喬木影。中流欹側獨帆行。烟籬犬吠荒荒暗。露菊人稀寂寂明。天上有星應主酒。世間無地可藏名。江光徹底纖塵息。要遣吾心一㨾淸。</text>
<title>幽懷轉輾。夜不能寐。要李文遠 德弘。掬雪濡毫。各書一絶。可想此間情思也。士雅奉士靜。</title>,<text>西峯白雪擁寒天。却望長安意悄然。更欲將書與少弟。不堪離思近新年。</text>
<title>敬次曾王考集中韻。寄德哉。</title>,<text>白屋寒山少四隣。端居幽事劇淸新。林中積雪深無逕。松際孤烟遠有人。洛樹夢牽今夜月。驛梅詩寄故園春。書樓一榻猶懸壁。留待君來更拂塵。</text>
<title>洞陰縣齋。侍家大人。探韋蘓州古詩十韻賦之。却寄德哉。</title>,<text>趍庭在東郡。八月離京城。山深氷雪積。歲暮令心驚。溪巖舍晩肅。庭宇有餘淸。褰眺忻物曠。遂此幽賞情。雲烟晝每陰。星宿夜方晴。華樽美淸讌。承韻賦歌行。沈沈谷松響。冉冉燭花傾。琴書便長娛。軒冕實浮榮。言志各成章。嘉趣屢自形。余季不同此。悵望川盈盈。</text>
