<title>自嘲 丙午</title>,<text>文章眞富貴。經學大功名。誰信茅茨裏。剩留不世榮。</text>
<title>余性愛菊。乙卯秋。裁菊滿園。擬趁九秋一泛觴。其年八月。出宰峴山。居朞年。每思故園菊花。丙辰冬解歸。丁巳秋。又裁菊甚盛。八月復以京試官作湖左之役。又不見此花之開。此身勞碌。亦堪一嘆云爾。</title>,<text>今年八月又辭家。每到花時不見花。南下湖南九百里。秋光的的繞征車。</text>
<title>楚山舘滯雨。戲次板上韻。</title>,<text>朝別金城情黯黯。暮投山舘雨浪浪。愁人自有關心事。楚峽蒼蒼秋夜長。</text>
<title>錦城途中</title>,<text>官門草市早開塲。滿市村民着蔽陽。稻酒如油魚鮓賤。歸來扶醉唱漁郞。</text>
<title>完山客舍。有文谷金相公壽恒詩。辛丑年奉孝廟實錄往藏茂朱時。過路所詠也。今聞顯廟實錄匪久當到此府云。自辛丑距今未滿二十歲。而連有此役。則以兩先王盛德嵬烈。俱未享堯舜之壽。嗚呼痛哉。謹次其韻。以寓微臣感愴之懷云爾。</title>,<text>孝廟賓天廿載間。崇陵實錄又名山。堯年舜壽天終嗇。空使微臣涕暗潸。</text>
<title>靈巖訪文谷謫居。吟呈一絶。</title>,<text>湘浦驚鴻叫晩秋。九歌歌罷不勝愁。誰憐月出山頭月。夜夜淸光照玉樓。次韻趙學士詞伯枉過鵩舍。辱惠佳什。感佩之至。依韻奉謝。嘉橘幽蘭楚國秋。繡衣珍重問窮愁。殘星長笛催詩興。倚遍江南幾處樓。</text>
<title>西湖 靈巖</title>,<text>西湖樂事儘無窮。萬戶俱開花竹中。稻黍連雲魚蠏賤。逢人無不說年豐。</text>
<title>南平映翠樓。次鄭畸翁咏蓮韻。</title>,<text>千柄靑荷滿綠塘。一間華屋置中央。江南九月淸霜晩。風便時聞冉冉香。</text>
<title>酬汝和，貫之。二首○戊午</title>,<text>淸時豈敢歎棲遑。只是風塵萬事忙。惟有靑山最深處。歸歟端合理吾裝。初如井陘開門戰。却似滎陽卷入城。莫是劉鄩生妙計。閉營三日寂無聲。次韻 西坡看君落筆眞勁敵。笑我殘兵苦守城。自是兵家奇正在。不關低首慴威聲。次韻 明谷漢代條侯堅守壁。秦時王翦善攻城。兵家不必論攻守。制勝唯看實與聲。</text>
<title>呈北汀洪尙書處亮</title>,<text>公留京洛養沉痾。我向江湖理小窩。春盡北汀花鳥晩。想應淸夜夢烟波。</text>
<title>梨峴途中漫吟</title>,<text>宣仁門外漫天柳。梨峴宮前撲地花。詩翁醉後狂歌裏。不覺靑春白日斜。</text>
<title>鄭殿中，吳貫之報章沓至。戲次其韻。</title>,<text>瑕猶難攻况望堅。詩壘相持坐閱年。四面紛紛皆受敵。只愁老眼眩多拳。次韻 西坡學道初心晩益堅。沉潛墳典欲窮年。縱然吟哢資消遣。無意騷壇角老拳。</text>
<title>戲示崔汝和，吳貫之催和章。二首</title>,<text>南宮玉署摠遑遑。視草行香日日忙。獨我宦情輕似葉。纔辭宗正理歸裝。兩君詩思下灘船。老子詞源已竭泉。恐是宦情能敗意。故於衰朽讓先鞭。次韻 明谷殷書咄咄孔遑遑。凡聖千秋只管忙。差喜詩翁宦情薄。廣陵春水促歸裝。歸夢前宵月滿船。起來高詠撫龍泉。淹留總爲君恩重。不是江湖懶着鞭。</text>
<title>夜坐偶吟</title>,<text>坐到西峰月隱時。滿庭松影黑參差。道人此夜心中事。擾擾塵襟那得知。</text>
<title>戲題</title>,<text>文喜東坡詩樂天。呻吟聊可送殘年。平生西漢黃初意。回看初心更赧然。</text>
<title>病中偶觀白集。篇中往往說閑退之樂。極口津津。令人不覺企豔。此東坡之所以終身慕之而不得者也。盖坡翁與香山。杭州以前。出處偶相似。其後則苦樂天淵。然觀兩老行事。無非自取者。遂感而題篇。因起漫興以自警。五首</title>,<text>可笑坡翁錯料事。謾將出處擬香山。若自中書舍人去。晩年未必不優閑。坡翁鋒銳禍難辭。白老優游智可師。試問崢嶸元祐日。何如偃仰會昌時。香山比我眼差大。所望平生亦太奢。洛下分司柳枝舞。猶言孤寂發嘆嗟。山資所望至零星。穀僅充腸絲盖形。得此登時便休退。貧家活計慣曾經。廣陵江水碧於天。一棹春來興渺然。借問紅塵誰絆汝。歸期須趁落花前。</text>
<title>余自去歲。連辭玉堂不就。諸寺正亦屢除輒辭。親知皆以冗官之辭爲太過。室人尤以失祿爲悶。故戲題一絶。</title>,<text>親知驚恠僕僮嘆。皆道無端棄好官。我自心安飢亦樂。就中難解細君顔。</text>
<title>暮春有感</title>,<text>終南盡日斷人行。唯有泉流决决鳴。花落鳥啼春欲暮。就中愁殺老司成。</text>
<title>辭持平後戲題</title>,<text>三字銜兼知製敎。一條氷作右持平。拋來却向江湖去。唯有白鷗知我情。</text>
<title>沈大哉楫自湖南亞使移拜通判。戲題。丁巳</title>,<text>君從蓮幕移通判。我自薇垣轉副修。囚我玉堂緣底事。虛名眞箇是吾讐。</text>
<title>憶貫之試士湖南未還</title>,<text>江南使者幾時歸。驛路梅花已着枝。多少樓臺登眺處。也應和我舊題詩。</text>
<title>寄崔汝和</title>,<text>故人今直深嚴地。講席應知啓沃多。何似春江老漁父。滿船明月放狂歌。</text>
<title>贈吳貫之永興淑問之行 己未</title>,<text>烟花北路勝關西。多少行人到輒迷。若向歷陽聞一曲。雞林劍舞總筌蹄。</text>
<title>贈姜叔夏赴高山</title>,<text>淸時有味摠吾儕。勝地郵官亦可哉。光甫纔來君又往。翰林修撰太摧頹。</text>
<title>送尹攀龍攀佐嶺南幕 庚申</title>,<text>馹騎翩翩去若流。淸秋擬上嶺南樓。從知題板詩名重。眼底平看七十州。</text>
<title>挽周卿 三首</title>,<text>我亡我質竟何依。天喪吾身太半虧。知己縱云眞忝竊。頗窺俗子未曾窺。童稚相逢五十垂。未嘗甘壞見幾微。相知相許唯吾最。言行當年識者稀。思君氣像只堪吁。公相爲期碌碌輸。後死敢忘相傳約。奈吾衰病竟難摸。</text>
<title>挽崔楊根後寔 辛酉</title>,<text>纔哭周卿未一朞。奈何君又遽從之。君歸地下應相見。道我今如獨足夔。</text>
<title>送鄭丈淹赴龍安任所</title>,<text>貫之奉使汝和服。獨有詩翁時訪余。今朝又把一麾去。千里江南音信疎。</text>
<title>挽洪北汀 癸亥</title>,<text>氷淸玉潔似公誰。再長東銓雅望宜。最是從容全晩節。俗儒驅使也堪嗤。</text>
<title>挽趙光甫持謙 二首○乙丑</title>,<text>衆人皆蕢君爲屨。屨蕢從來孰卞之。是非畢竟終應定。鷗浦風烟管者誰。貫之每道君情事。再娶無兒命可休。寂寞堪憐身後計。名聲賴有世間留。</text>
<title>贈金秀才斯百錫胄 丙戌</title>,<text>足下在京日。吾遲求友生。到今不見面。伊昔習聞名。以我必爲恠。於君期盡情。他年西笑日。騎馬出東城。</text>
<title>馬溪寓興 癸巳</title>,<text>幽棲君得地。塵事不相關。松竹開三徑。茅茨築數間。供茶烹白雪。暖堗斫靑山。晩計須同做。燒丹服大還。</text>
<title>次安子厚垕詩卷韻</title>,<text>此日看君作。病夫幸取端。頗存澤風氣。不數島郊寒。驥子調金埒。蠙珠寫玉盤。相望衣帶水。離思倍難寬。</text>
<title>與周卿賦落花 丙申</title>,<text>忽忽韶光晩。庭花片片飛。辭枝雖未盡。着樹漸看稀。較爾吾差健。奈渠春已歸。居然多感慨。且復賞餘馡。</text>
<title>崔周卿以詩慰余喪兒。仍次其韻。丁酉</title>,<text>逬淚看君札。荊扉日暮時。誰知吾喪子。却羡爾無兒。那忍三年內。重遭兩度悲。寸腸今已斷。且莫記前詩。原韻契濶東城陌。沉憂度歲時。政罹文苑病。遙哭孟郊兒。惻愴抆吾涕。號咷想子悲。秋風時撼戶。默誦去年詩。</text>
<title>挽洪進士九成</title>,<text>脉脉西湖月。悠悠東郭春。契心曾此地。回首若前晨。抵死無何飮。論交有幾人。今朝淚已盡。不用更沾巾。</text>
<title>贈李從兄咸 戊戌</title>,<text>霽色終南雪。春心渭北梅。淸香侵閣夜。寒月遍樓臺。上客論霜劍。王孫動玉杯。長安逢季子。豪氣未全灰。</text>
<title>遊商巖懷周卿</title>,<text>獨往空山裏。放歌人不聞。水聲已淸我。月色應照君。側耳松邊籟。會心巖上雲。俱爲醉後態。俗物任紛紛。</text>
<title>病中聞笳有感 乙巳</title>,<text>隣笛倍激楚。病裏不堪聞。切切怨秋月。遙遙穿夜雲。調傳出入塞。葉有大中分。若向關山路。也應淚漢軍。</text>
<title>燈火稍可親 課製○戊申</title>,<text>秋氣侵虛幌。微涼繞小燈。道心淸似鶴。書眼烱如鷹。舊懶登時去。新勤逐夜增。添油仍到曉。更讀幾籤縢。</text>
<title>次性聰寄示韻 癸丑</title>,<text>竗法嗟登岸。虛名媿倚樓。雋詞驚捷敏。剛韻困投酬。感序蟬啼露。離聲鴈叫秋。拈花一聯偈。待爾散幽憂。</text>
<title>世子宮春帖子 甲寅</title>,<text>鶴籞春初動。祥光繞彩雲。靑陽換舊序。黃卷有新聞。正士須三接。工夫較十分。恭陳眞實語。桃祝哂虛文。</text>
<title>洛山寺次廵相韻 乙卯</title>,<text>寶刹聞名久。塵襟此日開。茫茫碧海濶。嫋嫋秋風來。白浪舂沙岸。紅曦射石臺。孤雲天畔起。極目思悠哉。</text>
<title>次弼卿韻 丙辰</title>,<text>流光忽忽去。諱日 顯廟再朞 又重來。大海無邊浪。孤臣不盡哀。鈴軒今日宦。鸞輅昔年陪。獨與臨瀛守。相看淚滿腮。</text>
<title>獵騎圍邊月 以下三首。課製居首。</title>,<text>磧雪黃昏後。平原獵打圍。將軍繡牌動。猛士短衣飛。響疊霜沾鼓。鏖酣月照旂。星槍貫雙虎。校罷載車歸。</text>
<title>輞川圖</title>,<text>晩計藍田下。溪山摠可娛。雲深竹裏舘。波浥水邊厨。境靜琴爲伴。心淸道與俱。菩提他日恨。寧不愧斯圖。</text>
<title>河梁送別</title>,<text>共事先皇帝。悠悠十九秋。風沙俱到此。宇宙更分留。都尉仍椎髻。栘中已白頭。陰山日欲暮。握手恨難休。</text>
<title>挽李南陽命聃 丁巳</title>,<text>曾從松丈座。早識我公賢。北里纔同閈。南陽忽起阡。循良三郡最。耆舊幾人全。遺慶諸郞在。家聲不索然。</text>
<title>憶峴山</title>,<text>平生得意處。月色峴山多。雪浪明洲渚。梨花照洛伽。翩翩愛娘舞。嫋嫋采雲歌。蠟炬迎歸路。山翁醉已駄。</text>
<title>早春睡起有感 戊午</title>,<text>茅屋春眠起。孤村聽晝舂。歸田眞有趣。處世苦無悰。草縷烟抽碧。梅條雪拆封。有時逢野老。竟日只談農。</text>
<title>過兪參判㯙江亭。醉後吟呈。丁酉</title>,<text>侍郞高閣傍江濱。簾外西山爽氣新。豈似敬通終落魄。還疑仲蔚是前身。掃除宦海關心事。占得滄洲滿眼春。爲問向來軒冕樂。如何沙渚伴漁人。</text>
<title>奉寄任鍾城有後 號萬休 丈 己亥</title>,<text>莫道邊頭詞客稀。靜翁姜丈此停騑。先生又負詩名去。二子應留物色歸。奚騎射鵰秋氣動。戍樓聞鴈朔雲飛。從知校獵陰山雪。不减寒松看月輝。</text>
<title>趙元鎭相鼎挽 庚子</title>,<text>華緘纔抵未踰時。馳往呼君君不知。文擬子安猶伯仲。才方長吉可塤箎。論文幾度靑門夜。贈我一篇春雨詩。惟有夢中樑月影。依然澹宕照襟期。</text>
<title>贈洪丈錫箕赴海州 甲辰</title>,<text>一紱龍鍾湖海邊。詩名十載已華顚。銅江佳句人爭誦。法浦淸詞世共傳。先子當時所畏也。後生今日最潸然。春來驛路梅如雪。回首西州眼欲穿。</text>
<title>送崔周卿佐嶺南幕 丁未</title>,<text>吾友行裝坐可徵。素知心事烱如氷。官醅縱慰離鄕客。營妓應疑入定僧。自是男兒腸似鐵。復兼羸病骨生稜。淸河豈久宣城幕。別緖愔愔不自勝。</text>
<title>戲題 戊申</title>,<text>鴻鵠飢呼鳥雀肥。古今此事最堪悲。誰知燕市千金骨。不直秦家五羖皮。捫蝨高談常見笑。屠龍亢藝亦云癡。廣津昨夜春波濶。欲理扁舟鬢已絲。</text>
<title>病裏偶吟呈周卿</title>,<text>一病彌留歲六周。鏡中勳業坐徒休。藥籠頻曬還多事。醫籍常披也遣愁。白髮侵頭生稍稍。靑陽回首去悠悠。年來始得天君靜。萬事方知不怨尤。</text>
<title>送任公輔相元佐關西幕</title>,<text>殘花撲地已成泥。欲唱離詞征馬嘶。乙密臺前春漠漠。大同江上草萋萋。魂留渭北愁如醉。路指關西夢亦迷。東望慈闈回首處。洛山迢遞白雲低。</text>
<title>次贈性聰寄韻 癸丑</title>,<text>夙昔維楊參趙州。至今十歲精神留。我慙曾呂以上客。師是支深之亞流。秋水涓涓底濯足。春花漠漠空回頭。當年惠遠失元亮。虛作廬山老比丘。</text>
<title>次南壺谷龍翼韻。仍寄性聰。</title>,<text>聰也相逢歲十周。壺翁愛我異凡儔。桑門復見支兼惠。蓮社曾容宗與劉。公已靜憑南郭几。我慚虛倚趙丞樓。相思嫋嫋秋風起。欲贈芳華不自由。</text>
<title>送任文仲奎赴伊川</title>,<text>仙區行色莫躕踟。此計君應爛熟思。除說在朝多臲。從知得邑最便宜。參茶濃煮還嫌苦。栢粥稀煎尙怕脂。但恐玉堂僚位缺。使君淸福不多時。</text>
<title>寄題楊口新構東軒</title>,<text>一髮頭陀碧似染。故人佩竹于其陰。咄嗟一屋斲輪手。髣髴兩京循吏心。山花灼灼照人眼。谿水泠泠淸我襟。衙罷庭空差耐寂。滿簾涼月撫玄琴。</text>
<title>孝宗大王遷葬挽</title>,<text>先王十載勵戎功。中道賓天恨未終。仙寢衣冠今日改。神州氛祲幾時空。人間暗灑英雄淚。天下長敎志士恫。敬誦宸章偏感慨。九連城外漫秋風。</text>
<title>任慶州有後丈挽</title>,<text>偉元之孝馬班文。塵世昂昂鶴出羣。千古藝垣留定價。貳卿官品較浮雲。下中公相非今日。賢達崎嶇自古云。想得廣陵江上月。淸光依舊照孤墳。家難當年最困心。人皆坦道我崎嶔。自憐身世同司馬。誰識行藏卽展禽。淸畏人知看苦節。文爲世法仰希音。一朝嶺海收精爽。祗有鯫生淚滿襟。</text>
<title>柳和順省吾挽 甲寅</title>,<text>家兄刺刺丈人奇。每道交承和順時。吏怵餘威無甚梗。民陶遺化易爲治。常嗟小縣才難展。更嗇遐期命止斯。賴有賢郞能做得。已將詞學耀門楣。</text>
<title>簡送任學士公輔赴龍岡</title>,<text>任子將行索贐章。離亭物色使人傷。萋萋芳草東君早。漠漠寒雲西塞長。紫禁幾年游鳳沼。靑春此日赴龍岡。誰憐潦倒銅樓客。獨抱殘經鬢欲霜。</text>
<title>次牙山板上東岳韻。示李使君光夏。乙卯</title>,<text>行子初從湖外迴。光陰冉冉客中催。山頭日暮雪猶在。浦口春寒花未開。鄕信杳茫憑片夢。病懷牢落托深杯。逢迎賴有風流守。携我同登海上臺。</text>
<title>次弼令韻 丙辰</title>,<text>東來冉冉已踰年。北望羣山翠接天。靑眼幸逢千里外。白頭同戀五雲邊。欝陵縹緲環銀海。蓬島微茫繞彩烟。理屐君今更何向。逍遙此地卽神仙。次韻 西坡嶺邑棲遑再閱年。恩書初下九重天。纔聞旌旆從關外。却訪柴荊叩雪邊。語到舊遊渾夢寐。閱來新什總雲烟。休思勾漏還丹服。玉署翺翔也是仙。</text>
<title>酒席次弼卿韻</title>,<text>休言浮世足嘲評。且看尊前妙技呈。暮境行裝同落拓。吾儕心事總分明。琴歌陶寫還無賴。詩酒賡酬却有情。白浪天風掀簸地。中宵相對旅魂驚。</text>
<title>籌邊樓 課製</title>,<text>劍外西南蕃詔連。高樓形勝控三邊。丹靑細寫關防險。籌策遙收笮僰烟。玉壘風雲迷檻外。牂江物色接簷前。華扁一揭羣羗慴。全蜀山河已帖然。</text>
<title>九日。次少陵韻呈弼卿。二首</title>,<text>嶺外逢秋秋思哀。附書京國幾時廻。殊方短日荒荒落。大海驚濤浩浩來。佳節祗悲催暮境。勝遊虛負上高臺。空齋吏退羈懷惡。强摘黃花泛酒杯。暮年州紱聖恩寬。佳節他鄕强自歡。旅客誰從嘲落帽。禿翁空自感歌冠。高臺蕭瑟菊花老。大海蒼茫秋氣寒。酬罷少陵詩上語。縱橫醉草與誰看。</text>
<title>贈別曺弟夏卿赴松禾 丁巳</title>,<text>海邑元非水土宜。此行誰復惜低垂。官居苦樂吾纔試。宦路升沉爾莫悲。群從比年無一健。老兄今日奈全衰。臨分爲贈安身策。勝瘴無如斷酒巵。</text>
<title>用前韻述懷</title>,<text>靜中惟有睡相宜。門巷寥寥綠柳垂。老境摧頹誰復惜。春光漫誕最堪悲。危途乍涉心神損。瘴邑新歸齒髮衰。眼底忘憂無過酒。病脾猶喜受殘巵。</text>
<title>次崔汝和示韻</title>,<text>疎慵不合處明時。禁苑何心借一枝。江上有田容放跡。世間無地可伸眉。常憂計拙眞成錯。每患名浮果受欺。看子詩篇能捷敏。老夫才退媿難追。</text>
<title>送李平昌日三赴任</title>,<text>末路浮名禍所輸。淸時吏隱儘堪娛。嗟余涉世無良策。羨子行身有坦途。爲問雪天馳十驛。何如春日駕雙鳧。一杯欲辦都門餞。無奈涔涔瘴疾紆。予自襄陽承召。冐雪踰嶺。故末聯云。</text>
<title>別崔生歸峴山</title>,<text>今朝忽送峴山人。却憶仙區淚滿巾。銀海千重一輪月。梨花萬樹十分春。平樓雲遏歌聲切。洛寺風翻舞袖新。惆悵勝遊難再續。不堪華髮滯紅塵。</text>
<title>寄梅澗。兼呈靑田李公殷相。</title>,<text>烟花兩府稱佳麗。較藝爭姸自古今。峴首淸歌仍妙舞。臨瀛寶瑟又瑤琴。當塲誰復分高下。入拍尤難辨淺深。想得周郞題品處。應將神解賞繁音。兩府每以絃歌競長。紛然不决。梅令輒徐言必待家兄來。可决優劣故云。</text>
<title>次趙光甫示韻</title>,<text>處世休嘆計謬悠。聯床且喜對靑眸。寬心頓覺心還穩。忘病能令病自瘳。已决此生辭宦海。更將吾道付滄洲。林泉自有無窮樂。不必棲棲浪作愁。原韻嶺外東南道路悠。同時赴洛會雙眸。恩除嚴譴俱休說。舊病新痾各未瘳。松月三更靑鶴洞。烟波一夢白鷗洲。聞君旅壁留題句。正似殘生歲暮愁。丙辰。公自峴山承召。而余自烏山被拿而來。丁巳。會宿於靑鶴洞。而余將返鷗浦故云。且聞公題詩黃庭旅壁以見志。不勝敬歎及之。</text>
<title>余於湖試過鎭安。主倅待我厚。觴於客舍甚樂也。要余以東軒客舍題詠。余諾之而來。旋直玉堂。連日進講。頓無休息之隙。每憶勝地遊宴之樂。秋花錦石。淸歌寶瑟。黯黯常在眯夢間。殆不能忘。而使君之托又不可負。故寄題一詩。以寓神往之懷云。</title>,<text>憶昨南遊最爛熳。華堂盛宴杳難攀。使君醉後堆杯案。小妓歌時解佩環。當日靑山看馬耳。今朝玉署侍龍顔。白頭禁直無歡趣。勝地空敎夢裏還。</text>
<title>病中時想江南舊遊戲題</title>,<text>勝宴初開夜欲分。妓粧薌澤暗氤氳。新詞壓倒狂通判。別曲誇張醉使君。銀燭淚粘桃葉袖。芳醪痕汚石榴裙。江南處處繁華地。自愧風流未有聞。</text>
<title>安岳妓仙香。少日以善歌擅名都下。因事放歸故郡矣。今以兩大妃進宴。被選都妓上京。訪余於鶴洞。容貌憔悴。歌響荒澁。頓無舊日妙音。恠問之則斂袂徐指其歌喉曰坐此放逐。淪落窮鄕。衣食艱窘。不復理其歌曲。仍悽咽不已。顧余與此有相類者。余亦坐於文字虛名。被絆玉堂。尙不得一麾以去。欝欝成病。吾視玉堂如牢囚。彼以故鄕爲竄謫。是亦一異事。豈非造化弄人處也。聲名之害。彼此一律。戲贈一詞。</title>,<text>我怨文詞君怨歌。聲名從古喜蹉跎。玉堂變作牢囚地。故里翻成竄逐科。貧賣舞衫嗟薄命。病祈州紱奈窮魔。我如出守君歸洛。君唱吾詞樂幾何。</text>
