<title>與安明彦，辛至叔 致復 登三角。歸路作。</title>,<text>回顧昨登處。駐筇靑澗隈。滿山烟霧裏。何處白雲㙜。</text>
<title>黔川。次李寬卿。二首</title>,<text>誰道王城近。心閒是亦仙。窓開十里野。門對一條川。岸柳春光嫩。山花落照姸。解令騷客醉。佳句答風烟。未滌氷甌筆。騷壇抱愧深。年同時幷去。病與懶相尋。何事西隣客。還推下里吟。逢人休說項。虛美本非心。</text>
<title>從兄出宰甑山。送之西郊。歸路與諸宗登北郭叙話。仲明 時哲，誠中 純行 各携壺而至。旣飮仲明携入白雲洞。竟夕團欒。得雲字同賦。</title>,<text>那知送兄處。歸路復携羣。下馬坐山郭。移樽入洞雲。淸風吹落屑。殘日照微醺。情話寬離抱。玆遊賴遇君。</text>
<title>白雲菴。與金得性，黃棖。呼韻同賦。二首</title>,<text>古寺因緣在。年年此會淸。靑春君可畏。白首我無成。霜落林光薄。溪虛雲氣生。傳茶僧磬後。牎外暮寒輕。深菴愜素性。數日不能回。故友留詩去。居僧獻酒來。月明齋皷動。風定嶺雲頹。敗意蒼頭報。門前縣稅催。</text>
<title>己未十月初一日。設泡應天寺。弄吟一律。要和諸友。兼示諸子侄。其昨。與英侄茂兒先到。諸益未及來會。故末句及之。</title>,<text>晩來秋雨霽。天爲我曹行。谷邃唯雲氣。山空但水聲。當堦老槐立。開戶飯鍾鳴。勝會期明日。飛書報友生。</text>
<title>次茅洲族兄 時保 韻</title>,<text>避喧從耳聵。佔𠌫歎眸昏。筆有龍蛇勢。詩無雕篆痕。行藏看世道。出入仗兒孫。別久音書斷。西湖夢北園。</text>
<title>次伯氏南大池韻</title>,<text>南池聞已久。今見果何如。水敵江流濶。亭收野色多。秋凉增客恨。荷盡但淸波。千里身難到。幽情付短哦。</text>
<title>次李一源 秉淵 贈伯氏韻</title>,<text>還家經月後。生色舊烟螺。在沼遊魚樂。梢林喜鵲過。胷呑湖海濶。詩貯錦囊多。最是連床勝。離憂後也歌。原韻西州千斛酒。滿滿酌紋螺。薄䆠雙鳧滯。淸風二阮過。大床雖傲甚。別榻見尊多。深有留君意。燈前子夜歌。</text>
<title>次圃陰集送仲氏農巖宰淸風 二首</title>,<text>勝界淸風府。烟光寒碧樓。吟鞭曾一過。世累負重遊。錦壁心常戀。江天夢自浮。白鷗應待我。盟約至今留。先生昔何歲。出宰卧江樓。詩得天然趣。人同造物遊。運機互剝復。世事有沉浮。龍潛漢水上。萬古名聲留。</text>
<title>無睡</title>,<text>寒齋睡獨覺。冬夜何遅遅。有月常疑曉。無鷄不辨時。負床方立膝。欹枕忽支頤。難做周公夢。甚矣此老衰。</text>
<title>贈景侄花山之行</title>,<text>推廣親親意。東歸遡本源。遺碑誰辨字。往事鳥無言。丹雘十年廟。靑衫卄代孫。龜亭今在否。爲我問金村。</text>
<title>次洪虞瑞 鳳祚 韻</title>,<text>野老心無係。杞憂猶自纏。薰蕕爭國是。玉石辨何年。鄷獄龍光欝。灞陵獵狗牽。詞人水調句。誰唱玉樓前。</text>
<title>彌勒院。與宋士深分路。馬上口占。</title>,<text>性拙少知己。交情子獨敦。晉秦曾結好。游夏復同門。一並招提寢。三同逆旅飡。人生有離合。分路獨銷魂。</text>
<title>追慕三先生書實行</title>,<text>早歲靑雲士。晩年聖學功。溫良程伯子。文藻歐陽公。萬理細分縷。羣書妙折衷。渼湖流可絶。夫子名無窮。右擬農巖氣像喬山拔。襟懷水月空。千山收眼目。萬理照玲瓏。高尙巢由後。詩文漢魏中。年高德彌卲。百代仰斯翁。右擬三淵淳正自天性。工夫敬義幷。盡心事乾父。講學有賢兄。詩似河南廢。名齊驃騎榮。平生盎粹貌。可驗其中誠。右擬圃陰</text>
<title>旣書三先生實行。又吟此詩。以示平昔慕仰之誠。今日痛悼之懷。且記自己工夫始勤終惰之由。</title>,<text>不先亦不後。幸我幷時生。好德心誠服。摳衣志在成。京鄕會合少。離索悔尤盈。今日誰依仰。餘生涕自橫。</text>
<title>挽吳鋏</title>,<text>自是名家後。遺風孝友傳。本宜膺景福。胡不享遐年。養未衣斑盡。婚纔種玉先。茫茫禍福理。吾欲問蒼天。</text>
<title>申晦谷伯謙 愈 遷葬挽 二首</title>,<text>皇天旣生傑。奪速又何爲。型範懷川老。升堂寒水師。擔來吾道重。扶得士風衰。倘假數旬壽。傳衣非子誰。節行傳來久。濠舟婦孺知。昭昭福善理。箇箇承家兒。將以扶吾道。如何盡短期。今時學問士。當日下風追。</text>
<title>自警</title>,<text>去日今已矣。來日足可惜。人生貴踐形。及壯須自勖。昔我志於學。斂跡謝塲屋。知者笑我迂。不知爭呵責。男兒志難奪。三復詠淇澳。至今五六年。未刮傍人目。罪過誠易知。着工未甚篤。衡門歲將改。顧年多慚恧。今我不努力。居然鬂雪白。當時嘲笑者。我終無以服。</text>
<title>別伯氏</title>,<text>來日霏春雪。歸去秀夏麥。伯也訝其遲。仲氏恨其速。哀哉自喪患。兄弟各南北。北來南思切。南歸北懷惡。此身南與北。別恨豈有極。京第舊湛樂。嗟嗟難更得。</text>
<title>挽族妹宋必休妻</title>,<text>峩峩三日峙。危路半入空。孤櫬向此中。丹旐拂曉風。章偟親戚情。嗟傷隣里心。送者擁道周。無人不沾襟。借問誰氏喪。見憐乃至此。本是名家女。禀質更粹美。濡染自幼𥠧。淸操異凡兒。及長歸令門。敬謹常自持。盡心事舅姑。推誠待妯娌。毁譽雖百至。不曾形怒喜。有善羞自衒。誰測胷海大。阿舅本整修。於人少許可。獨賞新婦賢。愛重故莫肩。一家諸父兄。景慕惟三淵。常恨女子身。不得躬負笈。却喜郞從遊。血願冀卒業。無心戀富貴。常自安窮乏。尋常語郞子。不願千鍾享。分明丈夫業。要在踐履上。家務是我職。方舟隨淺深。不將塵俗事。攬郞肄業心。以玆勸勉意。庶幾志業成。千秋斷機賢。靑史幷流名。酷哉彼癘鬼。爲禍一何偏。翻然大春樹。幷與紫荊顚。哀毁鑠其中。深墨驚視瞻。阿姑俄遘厲。涉旬疾益漸。竭誠躬調藥。煼煎癈寢食。只宜享遐壽。景福自天申。云何鬼不仁。殲此代其身。嗟哉湖上殯。竟孤戴星馳。冥冥九地下。至慟應結玆。臨纊一轉語。眷眷兩箇兒。乳稚復隨化。彼蒼胡忍斯。煌煌谷雲翁。淸德世所仰。方期後嗣昌。豈意今凋喪。余實袒免親。慷慨有餘咄。新詩記喆範。多慚詞語拙。何人能繼此。持以托彤管。路遠違執紼。臨風發浩歎。</text>
<title>李元禮 膺 來宿。呼韻同賦。</title>,<text>旅泊年來辭故林。追追兩地阻相尋。隋城郡北音塵絶。桐藪峯前別恨深。聯榻此宵曾不意。分裾今日更傷心。慇懃欲說懷中事。挑盡寒燈費苦吟。</text>
<title>和士修楓溪影堂韻</title>,<text>衰世三綱半墜零。扶持吾祖更亭亭。甘將性命殉宗社。留得名聲照汗靑。嶽色首山爭秀發。池光止水共泓渟。至今大節人欽仰。無愧瓣香祭遺形。</text>
<title>次柳雲卿寄示韻</title>,<text>光陰推不長春。一死浮生有一廵。名並關閩方事業。腐同草木足悲辛。文章殆類俳優輩。仕䆠終非高尙人。聞說君居寒水近。可能講道德爲隣。</text>
<title>與柳雲卿，柳士章，宋士深 造源 同入華陽洞。馬上呼韻。</title>,<text>蹔駐征鞭小溪東。晴林多意送淸風。連堤垂柳千絲碧。夾路嬌花萬點紅。幽夢幾多繞象外。此身今幸脫塵中。平生佳賞玆遊最。正賴諸君趣味同。</text>
<title>白石亭呼韻</title>,<text>背巖臨野誰家亭。倦馬征鞭爲少停。軒下綠流澄似鏡。簷前翠壁列如屛。嬌花暎日宜淸玩。啼鳥吟春靜可聽。諸伴且休歸意促。箇中塵慮十分醒。</text>
<title>華陽洞口</title>,<text>湖左名區說華陽。携筇深入路何長。奔泉觸石噴珠沫。層壁攙雲聳玉光。嶽色仍添花色好。松聲半雜水聲凉。先生舊里人心古。山草從來襲麝香。</text>
<title>尤菴先生舊宅有感</title>,<text>先生杖屨尋何處。寂寞春風掩小齋。落落長松看氣節。漪漪淸澗想襟懷。一床靑卷今誰主。數疊蒼巖空自佳。獨對女奴陳往事。謾揮哀淚立層階。</text>
<title>聞慶白雲臺</title>,<text>勝地風烟昔飽聞。探幽今日爲携羣。諸天花雨層林隔。兩地山川一峽分。峰削芙蓉靑矗矗。瀑噴烟霧白紛紛。澄潭盤石俱淸絶。呼韻賦詩對暮雲。</text>
<title>陪伯氏。與金益之，柳夢卿，柳文甫 昌瑞，柳士章，宋士深，舍侄景行。同作白馬船遊之行。至弓院遭雨留。以天雨蕭蕭滯茅屋。空山無以慰幽獨分韻。得幽字。</title>,<text>年來一念在淸幽。最愛滄江江上流。半月城高蘭寺外。扶蘓山枕錦江頭。浮生偶得偸閒日。天雨如何沮勝遊。滯卧郵亭前路遠。謾將詩句寫深愁。</text>
<title>次柳夢卿寄示韻</title>,<text>蠟屐遍尋湖嶺間。倦來閑學卧遊山。平壇寶沼當庭闢。翠竹紅荷滿目斑。百丈風塵人盡醉。一區烟月子惟閒。春深莫放桃花水。或恐遺蹤露世寰。</text>
<title>監穫</title>,<text>俗務驅人西復東。羸驂短褐日怱怱。桐林洞口行朝霧。飛鳥嶺頭立晩風。未取廛禾三百數。虛拋靑卷一旬工。堪羞汩汩生涯事。難笑千秋學稼翁。</text>
<title>奉別伯氏挈還京中</title>,<text>梁山風雨早年悲。荊樹餘存復幾枝。暮境相依惟伯仲。他鄕四顧少親知。百齡湛樂心常在。今日分違恨豈涯。天際一行羡彼鴈。朔雲湖雪輒飛隨。</text>
<title>興敎菴題詠 二首</title>,<text>流傳洞號舊書堂。修葺新齋計初長。坐享瓠烹知僭越。望深靑出不尋常。講鍾白日千林動。儒敎當時萬口香。九仞功誠可怕。近來肄業漸怠荒。九苞珍迹舊棲處。洞裏蕭然一小堂。山擁西南蒼翠合。地開東北碧流長。巖屛橫鎖金沙界。壇露滴添鉢水香。最是箇中淸絶景。烟花三月繞紅光。</text>
<title>次愼起甫韻</title>,<text>聞說安貧志獨殊。任他交讁起妻孥。吟風弄月携佳客。蒔藥栽花課小奴。放意林邱惟愛酒。無人塵世更知吾。屠龍晩計還多事。未必營生彼獨愚。</text>
<title>贈安賚予 碩曾</title>,<text>他鄕流落各浮萍。此地相逢四十秋。屈手共驚新白髮。披襟不改舊靑眸。林邱典籍吾何得。藝苑聲名子獨優。終日團圓仍秉燭。可堪明曉起離憂。</text>
<title>次圃陰集韻。示洪虞瑞。二首</title>,<text>雅性偏憐嶺上雲。閒情千古繼陶君。數間茅屋圖畫靜。一半華山伯仲分。已把簪纓看似夢。宜隨鹿豕與爲羣。傍人莫說塵寰事。傾奪紛紛不願聞。滚滚諸公泣瘴雲。鄕廬高卧少如君。逕通幽壑邱園邃。牎對荷塘野水分。臺閣舊稱鳴鳳侶。湖山新作白鷗羣。晩來好得書中趣。夜夜鷄聲床下聞。</text>
<title>復疊雲字。酬洪虞瑞見寄。三首</title>,<text>新詩八首若披雲。向道誠心始見君。操舍存亡應細察。公私義理揔宜分。光陰恰到知非歲。林壑須從講理羣。欲寄一言資警益。窮鄕晩學愧無聞。世情翻覆雨兼雲。交道于今獨有君。醇意寧隨車笠變。一心惟在正邪分。鸞坡栢府渾如夢。野叟林翁好作羣。病卧山村携手阻。音徽猶自市人聞。今看脚下起靑雲。弘濟艱難責在君。漢府金繒將用盡。唐家牛李各朋分。正宜黽勉扶衰弱。豈合恬嬉逐隊羣。故友平生心惓惓。蕘言且莫等閑聞。</text>
<title>呼韻。與茂兒同賦。</title>,<text>晩風蕭颯響枯枝。憀慄眞同宋玉悲。庭草霜寒蛩語斷。野塘波淺鷺絲垂。撫琴恨乏知己友。對景還成遣興詩。最是山家淸絶事。東籬花發酒盈巵。</text>
<title>贈景侄花山之行</title>,<text>不見福州吾已老。新詩送爾倍傷情。山川渺渺羸驂去。今古茫茫野鳥鳴。蕭瑟諸塋寒雪擁。荒凉遺址冷烟生。應知嶺外淳風在。宗黨歡迎似漢京。</text>
<title>寄洪虞瑞</title>,<text>去歲分携雪滿天。今朝相憶綠陰前。春衣定濕丹霞氣。詩筆好收翠壁烟。白鳥遙飛怊悵久。朱奴忽到信音傳。秋筇早晩尋君去。平野莽蒼隴麥連。</text>
<title>大雨</title>,<text>莫是神公幸我邦。旱天甘雨注盆缸。潢流奔壑喧千皷。濁浪漫郊漲小江。野堰擁薪防嚙圮。內庭連石作徒矼。窮儒喜甚憂旋切。屋漏床床又破牎。</text>
<title>丙辰除夜作 二首</title>,<text>早慕橫渠事乾天。求仁一念常懸懸。猥忝弟子三千列。虛得聲名四十年。未把利刀斬惡種。深慚濁浪沒丹田。今霄換歲多追悔。半壁孤燈獨未眠。孤露餘生怨結天。那堪再昨是弧懸。氓風喜遇新春節。病客愁迎舊巳年。志業蹉跎頻看鏡。生涯蕭瑟恨無田。羞同諸子守殘歲。獨背孤燈任醉眠。</text>
<title>巍巖三賢影堂韻</title>,<text>閩洛千秋吾道東。懷川去後有淸風。蟄龍久卧湖雲外。祥鳳初儀帳殿中。三老儀容難可忘。諸生景仰自無窮。影堂且倣滄州舊。隱暎靑襟錦樹楓。斐然諸子雪峩東。寒水齋前不盡風。麗澤浸灌同閈裏。一言明白五常中。俱隨運氣歸仙促。謾有生徒任道窮。九地英靈應有喜。新祠突兀依林楓。</text>
<title>次金爾玉 璞根</title>,<text>病骨乘秋氣少蘓。時時步屧一筇扶。迎賓北寺詩盈軸。收秫前郊酒滿壺。日午黃牛眠草岸。山深白鳥下庭除。多情最是金池友。每遇市人輒寄書。</text>
<title>七夕次金爾玉韻 二首</title>,<text>枝頭靈鵲噪初休。葛老書來剩破愁。節過三庚猶苦熱。梧飛一葉忽驚秋。不堪病枕蚊侵戶。何處凉簟風滿樓。咫尺仙庄携手阻。樽醪尙記梵宮遊。未逐宣尼浮海桴。閱來時變豈堪憂。平生尊仰惟淵老。晩來追遊有景尤。十里心馳氷嶺路。一封書到井梧秋。窮通有數君應識。五鬼休歎送更留。</text>
<title>陪伯氏。與李太素及景侄聯句。</title>,<text>臨流茅屋爽如秋。客子登斯醉興悠。太素。 亂後親朋欣握手。夜來情話却忘愁。仲益。 月高桐影移軒上。露濕蟲音繞砌頭。莊叔。 珍重山阿攀佳約。歲寒期子共淹留。景行。</text>
<title>挽人 二首</title>,<text>斯人淪沒最堪悲。揮淚非惟戚屬私。文藝早爲鄕里仰。襟懷自有故家䂓。壽慳花甲緣天聵。名止蓮科任數奇。最是九原堪慰處。庭前玉樹秀三枝。林泉何幸近幽庄。講戚殊方鴈接行。黃鳥悲吟吾自慰。靑冥歸駕子還忙。鄕人共惜良朋逝。老物偏傷旅迹凉。一髮西原含淚望。可堪其下翣㫌藏。</text>
<title>代成使君挽人</title>,<text>靈川家世耀軒車。在子仍看福祿遐。幾處春風回草野。暮年金帶映烏紗。霜蹄縱蹶天衢步。玉樹終輝月殿花。牢落人間餘舊客。可堪揮淚寫哀些。</text>
<title>挽徐谷城 行遠</title>,<text>當時非遇靑雲士。幾遣英豪老草萊。通敏奇材自天賦。謙恭美質賴栽培。早年蓮榜差伸志。暮境牛刀未展才。北里回頭風颯颯。願吹悲淚灑孤哀。</text>
<title>挽族兄副正 時保○二首</title>,<text>忠臣孝子舊家門。復有吾兄德業尊。同閈磨礱淵圃學。一床潛玩洛閩源。藍田危坐炎何懈。淸獻察心老愈勤。詞翰於公眞細事。齒牙那復借餘論。懿行令儀豈易得。農淵之外獨公尊。檢來詩禮平生業。無愧文忠四代孫。宗黨于今何所仰。典刑從此更無存。他時忍過楓溪宅。蕪沒吾先舊沼園。</text>
<title>挽孟宗大</title>,<text>上有老親兼有姑。歡娛猶記在京都。兩家孫子冠童合。卄載提携恩義殊。喪禍一身哀恨足。分違諸族眷情紆。搬移大麓心差喜。經過金村跡不孤。下榻殊鄕眞勝事。回頭往事更長吁。憐吾病薾頭渾雪。羡爾康寧鬂尙烏。遐壽只宜躋百禩。一疴胡遽就黃壚。仁風嬴得儒林賞。厚德未蒙神鬼扶。隣友巍翁與携手。羣從吏部爲先驅。應從地府呼寃枉。庶見瑤皇分善愚。勤護後昆應福慶。快令塵俗看嬴輸。餘生踽踽將安適。多少悲懷輸筆奴。</text>
