<title>題畫簇</title>,<text>遠岫日沈霧。寒江風起波。小溪穿柳去。隔岸有人家。</text>
<title>次贈朴生 弘遠。前縣監朴東命之子。時代父入防義州。</title>,<text>歲晏邊城殺氣高。登陴猛士各分曹。如今始信儒非腐。橫槊吟詩意益豪。</text>
<title>次贈吳生 仁信</title>,<text>生洪州人。少時。負笈從洪通津茂績學。洪公得罪後。生亦不參大論。以黨於茂績陷君不義。見削於四學。退歸其家。杜門自處。今歲簽軍。朝家令搜閒遊。本州以生應命。生不欲自卞。循例入防。病鶴投籠莫奮飛。群鷄空啄稻粱肥。男兒方寸須明白。此外寧論是與非。其二塞路茫茫塞月圓。窮冬朔雪滿胡天。南軍罷戍知何日。西路連兵已屢年。</text>
<title>西征歌</title>,<text>龍灣地接鳳凰城。萬里朝天往返程。自從驕虜中遮截。海路如今不易行。其二消憂獨上統軍亭。遠近山河內外城。在昔繁華稱勝地。卽今凋弊僅存名。其三三聲角罷出旗麾。猛士如雲狹路馳。折衝尊俎渾閒事。肯使狂胡敢朶頤。其四歲晏邊城殺氣昏。千軍裝束立轅門。輕裘緩帶居中吉。始覺書生氣像尊。其五風掣旌旂雪滿陴。肩輿巡視點軍牌。如今塞上嚴防守。從此胡兒可折箠。其六東北諸山祖白頭。鴨江源出向西流。淊淊萬古爲天塹。爲報胡鞭莫謾投。其七沿江一帶接穹廬。西自遼陽亦屬胡。朝家昔用羈縻計。烈士心腸幾鬱紆。其八一劍西巡遍塞垣。誓心天地答君恩。軍書閱盡明燈坐。氣壓胡雛百萬群。</text>
<title>昌城客館。次金北渚 瑬 韻。</title>,<text>長聞鼓角此那堪。胡馬居然恣牧南。莫道天山難可定。將軍魚服矢橫三。其二世間何事不關天。立大勳名豈偶然。卽今邊塞皆頗牧。莫道朝家不用賢。</text>
<title>望奉天臺山。憶韓道人。</title>,<text>道人名無畏。淸州人。殺人避仇。隱居此山。修鍊得道。往來香山。世多有見之者云。世間豪傑異凡夫。隱見雖殊與道俱。奉天臺迥塵寰隔。爲報韓公也在無。</text>
<title>皇城坪</title>,<text>世間萬事摠浮漚。今古英豪土一丘。纍纍叢塚依山麓。誰是幹粘與兀婁。</text>
<title>江界客館。次北渚韻。</title>,<text>漢家新數中興年。胡虜如何不畏天。靑瑣詞臣今出塞。誓將勳業勒燕然。</text>
<title>妙香山普賢寺。次靈煕軸上韻。</title>,<text>如如萬法摠歸空。定慧元來不二功。欲識無央眞色界。月沈西海水流東。其二一筇長擲水雲間。蹤跡飄然不可攀。入定幾年空色相。滿天花雨落瑤壇。</text>
<title>次崔御史贈房妓韻</title>,<text>莫道尋芳去較遲。風流隨處有深知。盈盈一水分牛女。無限新愁上翠眉。其二此生何日整憂端。誓海盟山血易乾。怊悵雪泥鴻迹遠。幾回明月出關山。</text>
<title>鏡湖堂。次外王父韻。</title>,<text>步下湖亭晩。移舟更促觴。機忘親白鳥。坐久密紅粧。逸興飛蓬海。歸心繞漢陽。餘歡猶未穩。落日照危檣。</text>
<title>雙溪寺。觀崔孤雲眞鑑禪師碑。</title>,<text>螭首壓龜趺。龍蛇字字紆。孤雲名學士。眞鑑聖浮屠。道德當時仗。文章後代無。摩挲一朗誦。胸次覺昭蘇。</text>
<title>翫山亭。次趙竹陰 希逸 韻。亭在定山。</title>,<text>傲吏非眞隱。官居似鹿門。小塘通曲水。老樹擁孤邨。嶂合雲蒸氣。庭空月印痕。客來無一事。隨意倒淸尊。</text>
<title>永保亭</title>,<text>遠客驅馳倦。登臨一破顏。休辭今夕醉。且樂片時閒。浪擺風掀海。林昏日隱山。寒聲出畫角。秋氣動江關。</text>
<title>贈僧。次趙竹陰韻。</title>,<text>懶慢抛鉛槧。慙渠遠索詩。斯心良已篤。一面豈嫌遲。臥閤淹新病。趨班隔舊儀。針羹倘可飮。從此照肝脾。</text>
<title>次竹陰韻</title>,<text>湖路分南北。雲山隔幾重。同爲相喣鮒。共作後凋松。望眼迷瓊樹。愁腸割劍峯。所嗟嬰斗粟。猶自滯雷封。</text>
<title>贈別</title>,<text>經年縻薄宦。歸計斷還不。驛路千峯夕。江城一葉秋。淸談猶亹亹。雅度自休休。更有明朝別。居然起片愁。</text>
<title>題笑兼堂</title>,<text>剗平開隙地。瀟灑起華堂。竹影交虛塢。泉聲咽小塘。詩盟東閣晩。醉興北窓涼。卽此同眞隱。何須羨退藏。</text>
<title>高達夫草堂。次任寬甫韻。</title>,<text>偶爾聯鑣出。來尋小隱居。邨醪供竹葉。野菜進芹蔬。世路行長澁。名場迹已疏。休辭今夕醉。爛熳任如如。</text>
<title>初到配所志懷 癸丑</title>,<text>投北恩猶貸。寧辭處濕卑。窮秋聞落木。古戍認殘陴。萬事何須問。餘生亦足悲。線衣空弊盡。長自淚垂絲。其二吁嗟投絶域。草草送年華。歸夢家千里。孤囚海一涯。蠻鄕秋到晩。蜒戶瘴來多。隣酒何嫌薄。呼兒強使賖。</text>
<title>元日</title>,<text>往事何須說。流年不可攀。酒多愁裏倒。家每夢中還。萬象生春氣。孤臣損暮顏。思親兼戀主。長自涕潺湲。其二嶺嶠殊風土。春來覺最先。憂愁長汩沒。節序易推遷。黯淡漁邨雨。微茫驛樹煙。居然看物色。太半入新年。</text>
<title>卞汝吉。次元日韻。見寄再疊前韻。</title>,<text>擾擾百年間。勞生寄觸蠻。病於春有約。身似水無還。醉眼看杯海。愁腸割劍山。邇來明鏡裏。斗覺減容顏。其二淳風今已死。古道邈難攀。夢斷家何在。春回客未還。柴荊存活計。鼓角動哀顏。何時歸舊隱。碧澗聽潺湲。其三年華欺病客。衰鬢識常先。漢水何時渡。湘潭此日遷。蠻鄕淹歲月。驛路老風煙。梅柳渾無賴。爭姸妙少年。</text>
<title>次韻李座首</title>,<text>採藥人何去。携藜客獨來。迎逢知有數。懷抱悵誰開。樹色千重合。溪流一道廻。淸幽堪寄傲。塵世孰相猜。</text>
<title>北面諸友置酒禾巖。遣舟相邀。仍赴會席上。次卞汝吉韻。</title>,<text>積雨欣初霽。登臺倚晩晴。雲霞分片片。鷗鷺戲輕輕。細酌何辭醉。高談不厭淸。新詩頗警我。投報媿瑤瓊。其二寄興煙霞外。勞生宇宙間。地窮天接海。林暝日沈山。凍雨蘇詩肺。長風爽醉顏。頹然相枕藉。入夜不知還。</text>
<title>寄竹兄</title>,<text>蠻鄕今五載。鴨塞更窮邊。兩地遙相望。雲山隔幾千。明時皆欲殺。同病最深憐。不盡西風淚。濡毫灑滿牋。</text>
<title>寄任茂叔 叔英</title>,<text>擾擾百年內。與君長別離。月樑頻入夢。雲樹幾興思。世道今如此。吾儕事可知。淮南叢桂長。歲暮以爲期。其二曩得數行書。故人猶記余。睽離今已久。棲息近何如。身世千憂裏。升沈一夢餘。耕巖他日約。莫使墮空虛。</text>
<title>次贈李子時 敏求</title>,<text>死生甘契闊。孤負百年身。邂逅還今夕。遭逢是故人。莊吟猶越曲。郢唱更傷春。歸夢迷長路。中宵每覓秦。其二壯志雖零落。當年早許身。逍遙適意客。惶恐泣名人。酒凸杯中綠。梅偸雪後春。今宵良宴會。猶可話歸秦。其三懷沙意惻惻。吾患有吾身。不謂朝中舊。來尋澤畔人。旅羈成白首。才命及靑春。歎拙思還緬。桃源豈必秦。</text>
<title>夢趙怡叔</title>,<text>神交不計遠。地近夢先知。握手遭逢處。披心款洽時。此生那易見。何日不相思。兩眼汪汪淚。臨風似散絲。其二面目雖難見。精魂或易從。分明今夜夢。髣髴舊時容。落月低寒幔。停雲逗遠峯。羈愁兼別恨。牢鎖不開封。</text>
<title>再疊李子時韻</title>,<text>入幕摩楯手。趨庭舞綵身。高才非我輩。積慶有斯人。別酒蠻江暮。歸鞭漢水春。添波送君淚。憑寄遠通秦。其二世路難容足。儒冠易誤身。多憂還此老。獨樂更何人。桂樹山中晩。桃花洞裏春。堪嗟魯連子。談笑辦強秦。其三故國千重嶺。餘生萬死身。丹心猶戀主。白髮太欺人。社宇蠻鄕月。楊花帝里春。中宵耿不寐。寤歎念京秦。其四宇宙千千事。浮休自在身。文園多病客。楚澤獨醒人。篴奏關山月。杯傾竹葉春。臨岐增悵望。君獨向西秦。</text>
<title>贈洪勉叔 茂績</title>,<text>瓊雷雖隔海。許望亦君恩。半夜天涯會。中流地界分。晨星還落落。逝水更沄沄。莫怪空相對。深情不在言。其二江上一杯酒。世間千斛愁。長風颯萬里。落月漾中流。座客皆時傑。幽囚獨我儔。相將凌浩蕩。端可記奇遊。</text>
<title>竹陰次前日夢見韻來再疊</title>,<text>別恨雖云苦。如今始熟知。窮冬愁病日。永夜夢歸時。往事徒增感。來詩更締思。深情牽不斷。還似藕中絲。其二長年勞夢想。何日更追從。自爾時相背。吾儕世孰容。危塗千仞壑。險嶺九疑峯。驛使催回信。題詩拭淚封。</text>
<title>竹陰次韻來再疊</title>,<text>世道今如許。吾儕事可知。百年同病日。三夜夢君時。斷雁無消息。啼鵑最怨思。愁纏那易解。亂緖似縈絲。其二避喧甘屛跡。悄悄與誰從。㬉逼桃杯面。春舒柳岸容。流光凋兩鬢。落景霽千峯。芳草王孫恨。年年換舊封。</text>
<title>田博士 闢 次前日贈洪勉叔韻寄來。復次。田闢。平壤人。謫居巨濟。</title>,<text>不識神仙表。常懷夢寐中。淸談雖莫接。麗付幸相通。觸目千愁集。回頭萬事空。魂歸招未得。楚樹本多楓。其二從遊良已慣。山鬼鬧門中。嶺嶠居誠僻。鄕關信不通。撥衰彈劍罷。排悶引杯空。楚俗今方驗。家人爨用楓。</text>
<title>再次</title>,<text>平生忠孝意。反在罪名中。客日身全老。何時命乃通。瘴江雲似墨。關路草連空。日暮秋風色。蕭蕭岸上楓。其二思親戀主恨。歲暮白雲中。一室殊方遠。三杯大道通。悠悠常引笑。咄咄只書空。玉露蕭森氣。凋傷楚峽楓。</text>
<title>田西亭復疊四首。更次二首。西亭。田闢別號。</title>,<text>險阻艱難事。偏嘗七載中。士窮當見節。儒腐孰稱通。處轍魚吹沫。銜蘆雁入空。慕君無限意。目極望宸楓。其二玉瓚雖云美。黃流亦在中。人情常不遠。天意邈難通。報效初心在。榮華一夢空。全年還可羨。老樹有靈楓。</text>
<title>挽卞汝吉</title>,<text>我始投荒徼。從遊有數君。年來相繼沒。老去此生存。學富身終困。名埋世莫聞。傳家多玉樹。餘慶在兒孫。</text>
<title>次石洲贈高達夫韻</title>,<text>餘生離順境。幾度送年華。萬事凋霜鬢。三杯纈眼花。逢迎欣握手。憔悴更懷沙。怊悵今朝別。翻同嶺海涯。其二行吟良踽踽。贏得鬢添華。臘酒仍浮蟻。寒梅已着花。風霜餘短褐。身世老長沙。昨夜三更夢。分明漢水涯。</text>
<title>次金去非贈高達夫韻。錄示。</title>,<text>嫩蕊憐紅綻。遙岑露翠微。人耽無事飮。鳥喚不如歸。弊褐風爭透。虛簷雪亂飛。壯心同櫪驥。歲暮轉依依。其二懶甚詩才退。愁多酒力微。今宵殘歲盡。故國幾時歸。淚向南雲灑。魂隨北雁飛。憐君同病意。末路幸相依。</text>
<title>漫成</title>,<text>囚山兼竄海。寂寞掩寒扉。跡似飛鴻去。身應化鶴歸。亂雲陰處重。殘月看來微。寸草心猶在。三春幾夕暉。</text>
<title>聞雁</title>,<text>病臥蠻江上。新秋一雁聲。炎涼能自識。節候更堪驚。避弋冥冥去。銜蘆肅肅征。吾家元在北。聞爾若爲情。</text>
<title>卽事</title>,<text>世事還今日。人生每歲時。形骸看漸變。骨肉悵相離。地盡孤臣遠。天長一雁遲。冥冥立春雨。梅柳弄新姿。</text>
<title>次羅生 萬甲 韻。贈洪勉叔。</title>,<text>瘴癘投荒徼。雲山隔故林。凄涼懷土望。寂寞濟時心。客路連天遠。春愁共海深。平生重然諾。不爲少黃金。其二湘潭多蕙草。楚岸盡楓林。旅枕三更夢。危樓萬里心。雨淫江路滑。潮落海門深。嶺外來才子。君詩可擲金。</text>
<title>與金去非訪友。道中作。</title>,<text>楚塞天連海。湘潭草又春。八年同病客。千里異鄕人。對面渾疑夢。論心更愴神。男兒事未了。努力保吾身。其二半日江頭話。衝泥促馬歸。身隨年漸老。心與事多違。野柳浮春色。林巒起夕霏。冥冥海天雨。濕重舊征衣。</text>
<title>次趙景觀 國賓 見寄韻</title>,<text>塵累吾差重。詩才子更多。同嗟千里遠。莫奈百年何。世路瞿塘峽。蠻江楚汨羅。潮回憑寄恨。記取淚添波。其二八載延危喘。君恩此亦多。窮愁殊有力。痛飮欲無何。涸轍魚相喣。寒門雀可羅。處身雖濁世。不忍更揚波。其三一入樊籠裏。駸駸歲月多。當年嘗自許。此意是誠何。暮岫遙抽筍。秋江淨熨羅。相思不相見。目極送廻波。</text>
<title>昌城客館。次北渚韻。</title>,<text>古戍何年設。邊塵此日驚。主憂臣更辱。人醉我還醒。勝算今言戰。卑詞昔請成。時危思報國。斗覺一身輕。</text>
<title>又次諸賢板上韻</title>,<text>旌旗翻日月。號令急風雷。欲草平戎檄。多慙倚馬才。高歌出塞曲。獨上望鄕臺。客意迷東北。關山起暮埃。</text>
<title>路上</title>,<text>早興緣底事。只爲念王程。古戍生煙淡。畬田霽雪明。江從胡地發。山向漢關橫。處處城樓角。唯聞出塞聲。</text>
<title>次渭原板上北渚韻</title>,<text>兵興已七載。幾日報除殘。遠路前頭水。孤城右背山。月篩簾影亂。風動角聲寒。早晩酬雄略。吾毛尙未斑。其二羸驂踏氷雪。處處動乾雷。古戍殘兵集。荒城倦客來。空懷憂世志。未試濟時才。寂寞憑欄處。愁腸日九回。</text>
<title>北渚作斑字韻三首。各懸一板。次韻足之。</title>,<text>歲暮羲輪疾。更闌蠟燭殘。嚴風時折木。苦月欲銜山。慣閱交情冷。偏嘗世味寒。所經殊物色。的的惱詩斑。</text>
<title>得家書</title>,<text>家書何日發。至夕到天西。馬上手纔接。燈前頭屢低。朝家依宿昔。骨肉且安棲。別後今三朔。看來意自迷。</text>
<title>題寺門樓</title>,<text>勝境聞名久。今朝理屐尋。洞門蒼檜合。巖徑白雲深。古寺閒僧定。高樓獨客吟。陶然萬慮靜。山月照塵襟。其二寺古僧居少。山深客到稀。流年何鼎鼎。落雪故飛飛。祖殿荒將廢。禪房靜可依。明春事幽討。更拂薜蘿衣</text>
<title>題澹澹亭 在殷山</title>,<text>廣野千山雪。高亭萬里風。客來關塞外。人在畫圖中。斷岸排雲上。長川繞郭東。天西奇絶處。不讓楚王宮。</text>
<title>次某觀棋韻</title>,<text>初疑相昵事親從。次見連橫勢亦同。走馬向邊知必敗。奇兵衝腹眞爲雄。欲窮孤姥七枰勝。可費九淵三日功。顧我才慙賭墅客。不如歸作蠹書蟲。</text>
<title>江陵客館東軒。次外王父韻。</title>,<text>倦遊霜鬢又新年。嶺外名區別有天。山勢北來靑未了。海氛東漲碧無邊。樓臺隱映含淸景。樹木微茫帶晩煙。我木前身香案吏。莫言今是玉堂仙。</text>
<title>鏡浦臺。贈同遊諸子。</title>,<text>千仞高臺俯碧潯。登臨灑落爽煩襟。離杯三酌客舟發。長篴一聲湖水深。物外遨遊今日興。世間乾沒百年心。十洲三島知何在。便欲乘風一往尋。</text>
<title>鏡湖堂。次外王父韻。</title>,<text>聯鑣出郭向湖頭。到處臺亭辦勝遊。白髮驚春心尙壯。淸歌侑酒興難收。波光瀲瀲開銀鏡。酒量輕輕棹玉舟。王事有程歡易極。淡煙斜日起離憂。</text>
<title>洪川客館。次外祖韻。贈主倅安君實。</title>,<text>四合峯巒聳碧空。驛亭斜日又春風。經年作客傷離索。到處逢人說病癃。傾蓋候迎多邑宰。採芝逃遁羨仙翁。只緣身世浮名絆。長路驅馳太促悤。</text>
<title>砥平客館。次外祖韻。</title>,<text>春來無處不耕耘。每每原田似綺分。一抹炊煙籠樹暗。數聲啼鳥隔林聞。有時獨酌邀明月。何事孤飛學片雲。投老江湖存宿約。此身爭奈訣吾君。</text>
<title>題龍巖寺 在靈巖月出山</title>,<text>巉巖石磴入雲高。理屐幽尋不厭勞。金碧輝煌開殿宇。松杉蒼翠擁廚庖。禪心潚灑欣初愜。世累纏綿覺已逃。爲報山靈須記憶。掛冠從此伴仙曹。</text>
<title>次郭景華 希泰 見贈韻</title>,<text>旅遊心事自荒涼。匹馬江南道路長。折柳章臺空寄恨。採蘭幽谷暗聞香。人生草草須行樂。世故營營太覺忙。芳迹易陳餘興在。至今回首夢蒼茫。</text>
<title>次楮島舅氏韻。寄林子厚 坤 。</title>,<text>憶曾經過訪林塘。萬里江南月在陽。避世甘爲龐子隱。逃時寧學楚人狂。一中賢聖尊前醉。雙吼雌雄匣裏藏。羨子生涯無局束。掛巾吾亦好還鄕。</text>
<title>次李應休 曇慶 韻</title>,<text>乞得餘生竄海邊。聖君恩重似皇天。居卑尙被名爲累。處困終期志益堅。澤畔憔枯漁父問。鏡中衰謝故人憐。愁來尙寐寧無覺。客夢猶歸鶴髮前。</text>
<title>固城卽事</title>,<text>縣城南面枕江濆。百里滄波接海門。擊鼓家家迎竹鬼。生香樹樹返梅魂。獵人吹火燒林藪。蜒子叉魚賣野邨。此處謫來淹日月。客懷愁絶更堪論。土俗例於冬日。豎一長竿賽神。家家迎祭。猶恐或後。</text>
<title>贈別李兄和伯</title>,<text>跫音空谷聞猶喜。況有親知千里來。花柳三春淹絶域。萍蓬今日把離杯。容顏從此邈難接。懷抱憑誰更好開。怊悵行塵攀不得。強扶衰病獨登臺。其二壯心寂寞着寒灰。澤畔行吟白髮催。春事已從愁裏過。好懷時向夢中開。萬里滄波鷗浩蕩。幾年華表鶴歸來。高臺落日望鄕邑。陟屺詩成無限哀。</text>
<title>盧友 克復 贈櫻一筐。作此謝之。</title>,<text>嶠南五月櫻初熟。箇箇赬珠萬顆匀。筐裏盛來光不定。喉中呑送味偏新。憶曾禁掖先嘗日。正是公朝進食辰。雖有朋知相贈餽。天涯對爾一傷神。</text>
<title>主倅祈雨于碧方山。邀與同往。仍到峯底寺。遭雨。固城縣令尹三樂。</title>,<text>捫蘿躡磴上危峯。歷盡崎嶇到梵宮。天近星辰看可摘。地連溟渤望難窮。旱乾喜得通宵雨。炎熱偏宜萬里風。半夜數聲淸磬發。此心還與境俱空。</text>
<title>挽崔水使 堈</title>,<text>穿楊妙藝早超倫。符彩酋酋一俊人。再握龍韜臨漲海。曾揮羽扇靜妖塵。全生共荷君恩大。異域偏知舊意新。同病纍臣猶未死。可堪今日淚盈巾。</text>
<title>次盧子厚 㙉 別舍弟德右韻 㙉受業於公</title>,<text>欲書投筆意茫然。送爾今朝向日邊。堪恨相從能幾月。未知重見更何年。孤身世上容無地。萬事人間命在天。怊悵行塵留不得。臨風淚灑瘴江煙。</text>
<title>南座首家席上贈歌姬連眞 姬故居晉陽。少時以歌擅名。老來流落。尙有舊聲。</title>,<text>燕舞鶯啼四月天。棠梨如雪柳如煙。尋芳不厭移斑杖。乘興何辭醉錦筵。誰遣佳人歌宛轉。更敎遊子意悽然。少年聲價渾無賴。頭白相逢共海堧。</text>
<title>次李子時見贈韻</title>,<text>文采風流第一人。憶曾蘭室笑談親。世情擾擾今非昔。交誼偲偲久益新。自是萍蓬偶相合。莫辭椒桂擣餘辛。三年病臥楓林下。桃李爭他帝里春。</text>
<title>次天朝漂風人薛萬春韻</title>,<text>異方風物屬淸秋。客子襟懷自不收。萬里望鄕俱失路。百年多病更窮愁。通言以譯情難盡。肆筆成章和寡儔。遠托興悲今視古。歸心付與水西流。其二兩地風煙接素秋。經過歷歷眼全收。支機石辨曾如許。破浪風乘不足愁。隨處行裝安所遇。向來僮僕是良儔。詞源正派君先泝。羞向餘波挹細流。</text>
<title>次某人韻</title>,<text>佩蘭衣蕙啜鉶藜。江水東流海燕西。是處成樓生白蜃。何來隔葉囀黃鸝。騷人欲採綠蘋晩。遊子不歸芳草萋。逆旅相逢同過客。且將身世付澆書。其二九 缺 元來是瘦藜。聖賢長對玉東西。閒中報客籠中鶴。靜裏歌兒葉裏鸝。有約雲山常滴滴。無媒徑草任萋萋。紅塵交絶今差久。不必勞勞更聘書。</text>
<title>次蠶頭亭韻</title>,<text>瀟灑林亭俯碧洋。登臨忘却戒垂堂。高秋落木無邊下。薄暮歸潮有底忙。千古江山今日勝。百年感慨此時長。由來簪盍誠爲幸。且向樽前盡一觴。其二蛙埳當年歎望洋。平生意氣尙堂堂。九秋勝景輸高賞。一霎淸風撥俗忙。落日啼鴉原樹鬧。斷霞歸雁海天長。劇知盛會應難再。取醉何辭倒玉觴。</text>
<title>次李子異題梁喬桐亭子韻 子異一作子時</title>,<text>投紱歸來臥此家。橘林海塢送生涯。休言北海時堪避。且惜西山日易斜。幾歲韜鈐馴虎豹。長年漁釣伴魚蝦。雄心寂寞流光晩。醉眼光搖水底花。</text>
<title>再疊家字韻</title>,<text>江南何處是君家。鷄足山前燕子涯。松徑苔痕長羃歷。竹窓梅影任橫斜。酒斟浮蟻時邀兔。詩掣奔鯨不數蝦。待到時淸猶偃臥。莫敎春浪泛桃花。</text>
<title>復次前韻。奉本倅。</title>,<text>蕭條古縣似閭家。吏隱如今地一涯。繞郭靑山排闥入。連邨綠竹壓籬斜。魯郊童子馴田雉。齊野蝗蟲變海蝦。政化已成公事少。但開東閤賞梅花。</text>
<title>又次一首自況</title>,<text>當年見笑大方家。秋水涇流美兩涯。謾有詩篇傷主棄。閒尋字學惡朋斜。跏趺坐處肩巢鳥。款段騎來背似蝦。玄牝谷神如不死。定敎空裏散天花。</text>
<title>次睦督運 大欽 題淸海堂韻</title>,<text>一身憔悴老孤城。堪笑浮名誤半生。春草幾年遊子恨。暮雲千里故人情。愁聞絶塞軍聲動。坐接深杯客興淸。莫道臨分無可贈。隋珠入把夜還明。</text>
