<title>白雲洞次李汝純 希音 韻 癸丑○寓榮川葛山時</title>,<text>境幽人不到。還與鹿爲羣。盡日時牕掩。方知臥白雲。</text>
<title>輓外舅金公 浤○乙丑</title>,<text>上世旣混茫。風氣質而樸。人心自無爲。天然去雕飾。世道日以降。俗尙漸巧黠。一一使機智。駸駸遂汩沒。公生百世下。乃能還其朴。稟受本分外。何曾加毫末。無慮又無思。陶然而自樂。不關事是非。焉知世榮辱。有時思解渴。牆頭送醪濁。快飮一大椀。醺醺耳自熱。俄然玉山頹。形骸任土木。神遊混沌世。夢入羲皇日。俛仰宇宙間。生涯聊自適。謂必享期頤。柰何嬰衰疾。小子陪杖屨。十有四歲月。余時作南行。適丁公疾革。意謂神明佑。那知便永訣。儀音杳如夢。古宅空寂寞。丹旌啓前路。薤露增悽惻。不忍寫哀詞。有淚泉下徹。</text>
<title>重過星山舊橋。感而有作。</title>,<text>少年爲客此曾過。百尺虹橋臥渡頭。十載重經消息斷。江花無語水空流。</text>
<title>丁卯春。自江都赴關東幕。過昭陽亭次板上韻。</title>,<text>羈絏經年不勝愁。東征今復近瀛洲。風塵滿目無歸日。魂夢長尋故國遊。</text>
<title>登召公臺</title>,<text>煙雨霏微暗碧空。三峯特立勢奇雄。誰將羽翼凌靑海。咫尺仙區若可通。</text>
<title>淸澗亭次板上韻</title>,<text>使蓋遙臨碧海畔。東來奇勝正無雙。憑欄不但遊觀富。斗覺靈臺洞八牕。</text>
<title>贈別申都事汝涉 楫</title>,<text>莫辭一盃酒。明朝難再持。孤燈耿不滅。心事兩相知。</text>
<title>丹陽奉別洪使君 霆</title>,<text>丹陽太守吾年友。芹泮相隨似鴈行。嶺嶠重重音信斷。那堪衰暮黯然情。</text>
<title>奉次仲氏歸去來曲</title>,<text>西江風浪起。無處可安泊。世俗好進取。邊幅競修飾。吾兄任自然。去留無繫著。勇退錢若水。無欲孟公綽。掉臂歸去來。天台數間屋。梅菊呈新態。煙霞增舊色。劬書恣探討。非爲媲靑白。俯仰天地間。嘯傲聊自樂。恨未共此味。悵望空躑躅。</text>
<title>輓李察訪 挺南</title>,<text>溫醇氣度自天眞。美質由來席上珍。蓮榜小成才未展。郵丞薄宦志何伸。流景駸駸纔七袠。佳城鬱鬱幾千春。缶川風月今無主。忍見瑤琴鎖綠塵。</text>
<title>輓趙司果 孝元</title>,<text>孝友傳家範。醇良稟自天。生涯任耕釣。身世老林泉。龜鶴宜長筭。龍蛇遽促年。承顔今已矣。題輓一潸然。</text>
<title>戊辰七月。以冬至使書狀官赴京。夜泊龜岸。次許都事春容 稷 寄葡萄韻。</title>,<text>風雨孤舟夜。心肝說得明。葡萄今更寄。終始荷深情。</text>
<title>舟過淸風。次主倅洪景澤  韻。</title>,<text>吾友撚髭子。相逢一笑開。臨分還惜別。離恨屬三盃。</text>
<title>宿驪州淸心樓</title>,<text>明月三更夜。鄕園萬里情。客心元愴別。何處杜鵑聲。</text>
<title>夜泊廣鹿島偶吟</title>,<text>淸淮瀲灩一湖水。可笑當年比汨羅。自媿平生仗忠信。那堪今日任風波。莫言舟楫顚危甚。未見魚龍出沒多。海上無由辦酒債。斜陽何處聽漁歌。</text>
<title>夜聞蟋蟀有感</title>,<text>化翁以爾鳴於秋。爾之稟性固如是。下土茫茫廣且大。胡爲來此孤舟裏。孤舟有客作遠遊。木道凌波千萬里。脊令分散各一方。羽斷鱗沈音信稀。閨中病婦坐長歎。稚子呼爺苦相思。爾聲喞喞何太苦。此地聞來寧不悲。爾自無心聽有心。輾轉中宵不得眠。吾當放爾海岸上。趯趯莫近愁人前。</text>
<title>泊平島憶仲氏</title>,<text>去歲江都怨別離。今年平島苦相思。天長海闊音書斷。排憫聊題一小詩。</text>
<title>次李學官 壽百 韻</title>,<text>浮海如今脫世塵。孤舟蕩漾入無邊。三洲十島饒奇勝。欲寫新詩句未圓。</text>
<title>九日泊沙門島有感</title>,<text>憶昔九月初九日。高堂獻酌祝南山。手折黃花揷滿頭。舞蹈永夕怡親顔。自謂百年內。歡樂長如斯。那知事大謬。永纏風樹悲。每歲値此日。悽然傷我情。今年充國价。越海朝神京。忽逢佳辰絶嶼中。秋光爛熳霜葉紅。山河雖異節物同。感念往事心忡忡。歡娛已矣難再得。東望家山恨不竆。</text>
<title>登鼉磯島。次上使宋公 克訒 韻。</title>,<text>水國逢重九。登高不勝愁。微茫臨碧海。迢遞望丹丘。累日淹孤嶼。何時放葉舟。遙憐籬下菊。爛熳故園秋。丹丘卽所居里</text>
<title>舟中憶金孝徵諸友</title>,<text>一別居然歲再周。故人消息鳳城秋。孤舟萬里朝天客。夜夜相思欲白頭。</text>
<title>萊州途中</title>,<text>平生自笑井觀天。眼闊滄溟似地仙。蓬島艤船超渤澥。東牟跨馬向幽燕。川原曠邈乾坤大。煙樹迷茫道路緜。斗覺胷中豪氣發。聊將巨筆寫新篇。</text>
<title>過晏平仲故里 在濰縣二十里舖</title>,<text>淸濰如練柳絲垂。平仲遺墟十里涯。功烈雖卑猶可取。狐裘節儉後人思。</text>
<title>過孔文擧甘棠牌門 在濰縣東十里</title>,<text>我愛孔文擧。高名千載流。棠陰留古蹟。憑軾且夷猶。</text>
<title>過伯夷廟 在濰縣西孤山上</title>,<text>當年玉立馬前爭。萬古綱常日月明。凜凜淸風猶豎髮。爲瞻神宇蹔停行。</text>
<title>過王裒故里 在靑州</title>,<text>華扁四字想斯人。孝子芳名萬古新。曾對蓼莪空起感。今過遺址更霑巾。</text>
<title>過細柳營 在景州十里</title>,<text>夕烽照甘泉。塞北煙塵驚。天子拊髀歎。推轂須豪英。將軍仗金鉞。列竈開新營。雄威破賊膽。號令迅風霆。天子自勞軍。前驅道路淸。都尉奉軍令。墨守堅壁壘。軍中有將軍。不知有天子。天子按轡行。玉節久夷猶。將軍請軍禮。擧手揖冕旒。至尊興歎美。灞棘眞兒戱。却胡不血刃。長城竟有恃。得君如彼專。際會眞千一。嗣皇胡不仁。覆盆未照日。嗟哉大理中。壯魄空飮血。細柳今猶在。靑靑雪中色。千秋客來吊。故壘寒曦薄。</text>
<title>過蕫子故里 在濟南府</title>,<text>下帷三載討遺經。對策丹墀道誼明。故里荒凉人不見。斜陽立馬更傷情。</text>
<title>過易水 二首</title>,<text>寒日沉西峀。悲風吹渡頭。悠悠不盡恨。英魄倘來遊。吾友鄭靜而。千載肝膽傾。來時一句語。寄我吊荊卿。</text>
<title>十月初八日達上京</title>,<text>航海梯山萬里程。聊將筐篚致丹誠。莫言跋涉重勞勩。天日欣瞻白玉京。</text>
<title>聞奴賊東搶。夜不能寐。</title>,<text>聞道東方兵馬起。重溟消息杳難憑。彷徨遶壁終宵立。戀闕思家涕滿膺。</text>
<title>十一日朝參。次上使韻。</title>,<text>曉入端門銀燭明。隨班賀拜幾賢英。微臣自幸天顔近。朝退猶聞劍佩聲。</text>
<title>連夜夢陪先君子。感而有作。</title>,<text>陟降精靈在左右。夢中依舊覿儀刑。幽明縱隔情何間。應慰孤兒滯上京。</text>
<title>冬至晝夢。被仲氏喚起。覺後吟成一律。</title>,<text>多病昏昏氣似灰。客中無處好懷開。南柯一枕遊魂遠。西日三竿急景催。雕朽却忘先聖戒。喚醒旋賴我兄來。蘧蘧未吐心中蘊。悵望東天恨不裁。</text>
<title>二十七日。參冬至賀班。用前韻。</title>,<text>吹葭六管動浮灰。南至佳辰閶闔開。日照金墀仙仗列。天回玉輦賀班催。衣冠蹈舞千官集。筐篚玄黃萬國來。賤价叨忝眞幸事。區區頌祝意難裁。</text>
<title>元日次上使韻 己巳</title>,<text>初秋作客又逢春。孤舘覊留我二人。對局疎燈爭道幾。題詩殘雪擧杯頻。世情自是分寒熱。交誼何嘗問故新。聊託忘年期歲暮。不須膠漆讓雷陳。</text>
<title>次老杜韻。奉呈上使令公。</title>,<text>孤館無人到。春來倍寂寥。音書迷故國。恩眷荷皇朝。路遠靑齊隔。雲深碧海遙。思歸歸未得。何必旅魂招。次韻旅館淹衰病。重門鎖寂寥。飄零身萬里。荏苒歲三朝。夢裏家鄕近。天涯客路遙。分華曾有約。終負故人招。</text>
<title>拈圃隱集中韻。奉呈上使令公。</title>,<text>牢鎖烏蠻館。重門深復深。孤燈長作伴。夜夜故鄕心。</text>
<title>初二日夜夢。拜旅軒先生。仍成一絶。</title>,<text>拜違函丈已經年。一念長懸洛水邊。玉色今宵承入夢。覺來東望倍依然。</text>
<title>仲春朢夜獨坐口占</title>,<text>朝天遠客幾時回。碧海茫茫鴈不來。明月寒牕鄕思苦。浮生半向此中催。</text>
<title>詠壺魚 華人造羊角燈。光如琉璃中藏雙鯉。動躍閃鑠。掛壁可觀。</title>,<text>一勺冰壺雙鯉魚。疑如靑石硯池魚。掛壁昭昭天理著。何須濠上翫鯈魚。</text>
<title>謁國子監</title>,<text>巍巍夫子廟。肅肅展吾誠。壇杏花初白。庭槐葉正靑。麗牲銘剝落。石鼓字分明。文獻徵猶在。斯遊冠一生。</text>
<title>往天壇</title>,<text>配極玄壇祕。登高紫籞長。雲霞迷繡戶。日月近雕梁。滿地蒼松影。飄空丹桂香。遠人祗對越。歸路已斜陽。</text>
<title>長相思</title>,<text>長相思長相思。無日無時不相思。夢見在我傍。夢覺各天涯。天涯萬里鱗羽斷。杳杳影響無因緣。長相思長相思。冬之夜猶不眠。以吾長相思。知爾長相思。夜闌更挑燈。離懷說向誰。人生莫作遠遊客。兩鬢蕭蕭如雪白。</text>
<title>謝陳 允中，韓 孔麒 兩序班。惠詩與扇。</title>,<text>溪藤湘竹摠堪珍。健筆新詩更有神。便覺淸風生兩腋。歸程萬里爽炎塵。</text>
<title>歸路登蓬萊閣</title>,<text>傑構巍然碧海頭。秦皇當日刱斯樓。波連河漢通眞界。地接蓬瀛認別區。一去仙童終不返。三神靈藥竟難求。登臨便覺塵襟爽。自詑男兒辦壯遊。</text>
<title>濟河縣値雨</title>,<text>行人愁遠道。欹枕夢難成。戀闕千行淚。思家一片情。空堦疎雨響。遠店曉雞聲。羸馬衝泥滑。誰憐使者行。</text>
<title>到大井店後口占 在河間府</title>,<text>趙北燕南縱遠眸。男兒何幸辦奇遊。朝來強醉城東酒。豪興猶堪滿九州。</text>
<title>到甑山縣。次板上韻。</title>,<text>葵藿微忱向太陽。夢魂常近御爐香。幾日天門祇肅命。趨班虎拜紫宸傍。</text>
<title>敬亭李公 民宬 輓</title>,<text>一夜文星隕海陲。此生無復聽箴規。蘭摧蕙槁香猶在。虎逝龍亡事可知。鶴洞煙霞誰主管。冰溪風月共凄悲。他年忍過西霞路。哭送丹旌涕自垂。</text>
<title>訪金孝徵不遇</title>,<text>空齋終日對寒梅。苦憶經年恨未裁。安得西湖鶴一隻。雲端喚起主人廻。</text>
<title>次李虞卿韻</title>,<text>苦雨淫淫晝掩扉。故人遺我一篇詩。慇懃寫出相思字。多少交情也自知。</text>
<title>元朝有感。次仲氏除夕韻。庚午</title>,<text>雞鳴而起獨無眠。莊誦鄒書更憮然。工夫默檢身心上。未覺今年勝去年。</text>
<title>寄洪無住 鎬○時洪公寓春陽</title>,<text>閒將甁水養叢榴。聊且逍遙慰客愁。咫尺思君君不見。春風獨上海山頭。</text>
<title>贈鄭靜而 復亨</title>,<text>五馬南來眼忽明。數宵聯枕不勝情。天風也解留人意。吹送簷端小雨聲。</text>
<title>輓權參判 泰一</title>,<text>妙齡簪笏上蓬瀛。踏盡靑雲滿地平。部竹初年留惠績。憇棠當日藉英名。島中接儐纔承命。客裏沈痾已隔生。千里松楸旅櫬返。不堪南望涕霑纓。</text>
<title>輓洪處士 璞</title>,<text>高臥林泉祕姓名。縹緗宿業任平生。情深苽葛同憂樂。路異雲山阻合幷。急景居然催噩夢。淸儀儵爾閉佳城。如今已作幽明別。題寄哀詞涕淚橫。</text>
<title>輓金持平 奉祖</title>,<text>八龍翹秀世稱英。厚德如公是乃兄。戴豸霜臺推直氣。割雞湖邑著仁聲。文星一夜淪精彩。旅魄三春返舊塋。可惜重泉埋玉日。謾敎吾輩淚霑纓。</text>
<title>次金仲亨 遇秋 韻</title>,<text>堪笑浮生迫暮齡。重逢更覺老多情。牕前積雪鬚兼白。壁畔殘燈眼共靑。把酒要須傾滿酌。臨歧且莫問前程。時危此別偏增感。西塞妖氛不盡晴。</text>
<title>次金松隱萬年松韻 二首</title>,<text>松隱栽松問幾時。蒼髥猶帶老龍姿。盤桓得意安龜縮。騰踏何心到鳳池。灑落遺風今不泯。淸疎餘韻晩愈奇。三槐古事君休說。百代遺芳此可知。却埽松陰謝世塵。一亭蒼翠滿園新。簞瓢自得顔淵樂。蓽戶猶甘原憲貧。興發詩情雲繞筆。凉生醉面露霑巾。經今百載晨如隔。凜凜淸風起後人。</text>
<title>輓李持平復初 性源</title>,<text>溫其如玉粹如金。雅望由來重士林。媿我浮生終寡偶。許君深契共知心。官纔三品才何展。年止中身理莫諶。天道茫茫無可問。斷絃那復續瑤琴。</text>
<title>登侍中臺 壬申○判鏡城時</title>,<text>鯨波萬里滄溟開。螺髻千重白岳來。遊子停驂看未了。日斜猶倚侍中臺。</text>
<title>高山館。次李芝峯 睟光 韻。</title>,<text>芝老詩名白日懸。渢渢意味儘無邊。祇今剩馥留人世。在昔仙踪飛上天。庭樹風高饒落葉。孤村日暮起炊煙。鮎竹功名良可笑。阸竆無悶慕前賢。</text>
<title>贈別鄭評事 斗卿</title>,<text>去歲送君菊花節。今年別我柳條時。菊黃未賦登高興。柳綠還添送客悲。元帥臺前誰勸酒。鬼門關外莫吟詩。年年一度長離別。休怪星星兩鬢絲。</text>
<title>登磨天嶺 六言</title>,<text>脚下千重雪嶺。眼前萬里滄溟。快若乘雲跨鳳。斯遊最冠平生。</text>
<title>渡夕陽橋</title>,<text>白岳連天起。成川入海遙。年年芳草路。人渡夕陽橋。</text>
<title>留城津</title>,<text>經年關外作羇遊。歸袂飄飄八月秋。千里鄕山何處是。強扶衰病獨登樓。</text>
<title>沃原阻雨。次板上韻。</title>,<text>客行關苦雨。虛館傍秋林。獨坐無人語。挑燈夜向深。</text>
<title>輓柳敎官 襑</title>,<text>厓老堦庭玉樹叢。溫醇雅度說吾公。鄕園屢忝芳樽會。京洛頻成逆旅逢。二豎偶嬰身不起。一官終薄命還竆。年年哭送南歸櫬。忍見丹旌遡晩風。</text>
<title>輓金察訪 允思</title>,<text>壯志當年欲掣鯨。薦書寥落晩登名。郵丞職事何嫌慢。野老生涯不厭淸。白首鴒原生死別。靑冥鶴馭後先行。雪山絮酒妨衰病。厚誼深慙范巨卿。</text>
<title>輓洪都事 善慶</title>,<text>華緖緜緜自益城。吾君令德稱家聲。性耽麴糱遺塵念。身臥林泉謝世榮。七袠添三宜鶴壽。八龍除二摠人英。如今親友凋零盡。欲寫哀詞淚滿纓。</text>
<title>輓蒼石李公 埈○乙亥</title>,<text>往年愚老逝。今年柳子亡。末學猶倚仗。先生幸康強。忠義是骨髓。道理爲肝腸。文章乃餘事。談笑軼班揚。靑雲騰踏早。經幄被寵光。遣懷詩千首。匡時疏萬言。片句關世敎。隻字皆至論。進難知退易。遂初返丘園。年高德彌卲。擧世推達尊。彼天不憗遺。德星遽沈淪。末疾竟難醫。易簀反元眞。斯文嗟已矣。旨訣傳無人。小子辱提奬。從遊廿餘春。台昔北征日。先生在洛辰。高駕枉敝館。敎語何周諄。瓊琚贈遠行。再拜遂佩紳。南還過三載。憂患互紛繽。門屛違一拜。此恨難重陳。音徽今永隔。無復坐上春。題詩堪痛哭。末路漸荊榛。</text>
<title>輓同知宗丈 之行</title>,<text>託契靑春到白頭。宗盟雖遠氣相求。有才不市嗟東野。無子傳家惜鄧攸。忽忽人間雞十里。茫茫華表鶴千秋。病夫杜戶違臨穴。題輓那堪涕泗流。</text>
<title>飛山松亭。祗候旅軒先生。</title>,<text>千仞松臺俯碧流。長郊十里騁雙眸。蒲輪消息無人問。立馬靑莎半日留。</text>
<title>敬次旅軒先生行中五言詩</title>,<text>召命自天降。先生不敢越。扶病冒炎熱。行行向九闕。蒲輪漢家始。養老周文作。聖恩雖欲報。氣力少壯別。尺疏告退歸。徽言多裨益。至誠豈不動。天意應密勿。進退關時運。行藏付命物。舟中幸陪遊。此樂豈易得。十句五言篇。乃是紀行錄。珍重出處義。莊誦永後日。</text>
<title>次張經叔 應一 韻却寄</title>,<text>雨後長江月色姸。扁舟上下興悠然。主人謾負良宵約。悵望南山洞裏天。</text>
<title>用前韻奉呈金梅園 光繼</title>,<text>月白江淸霽景姸。論懷終夜意超然。何時枕洛書齋下。共汎仙舟十里天。</text>
<title>次淸陰金相公 尙憲 贈別詩 丁丑</title>,<text>廣陵時事那堪說。回首東溟媿古人。相公詩句尤增感。駄病南歸淚滿巾。</text>
<title>輓金藏菴</title>,<text>八龍今代俊。公是第三人。雅性淸如水。高標迥出塵。子淵甘陋巷。原憲任長貧。冒祿誠非願。殘郵轉益辛。驅馳戎馬際。荏苒嶺湖春。旅館仍觀化。鄕山遽反眞。重泉嗟永閟。良覿杳無因。舊契今誰在。幽懷竟莫伸。廵簷憐短日。引領望寒旻。絮酒妨衰病。題詩淚滿巾。</text>
<title>輓崔完海 山輝</title>,<text>總丱相隨共業文。兩家情義倍慇懃。蘗冰素節無雙士。帶礪新盟不世勳。半世風塵音信斷。百年人事死生分。春堂永隔晨昏省。題輓那堪涕淚紛。</text>
<title>旅軒先生輓</title>,<text>門牆出入自成童。父母神明愛敬同。晦陶正脈傳江左。濂洛餘風振海東。典刑昭代人皆仰。開詔方來道益隆。攀轝此日終天痛。白首紛如未發蒙。</text>
<title>伊院次諸友贈別韻 戊寅○赴蔚珍時</title>,<text>百年膠漆寸心明。披對終宵話舊情。曲罷驪駒重惜別。行人臨發又停行。</text>
<title>登泣嶺</title>,<text>山從碧海畔。鬱起特嵯峨。行行到絶頂。極目天一涯。煩襟忽爽然。花鳥引興多。如何名以泣。我且浩浩歌。</text>
<title>登觀魚臺</title>,<text>丹陽東畔有高臺。眼際滄溟萬里開。勝景森羅吟不盡。且將豪興屬三盃。</text>
<title>季秋詠月</title>,<text>碧海陰雲捲。靑天素月明。鈴齋無一事。攲枕喚惺惺。</text>
<title>輓李上舍 時榦</title>,<text>哀哉吾友李孟堅。松柏之操雪月姿。蘭芝爲佩蕙爲裳。本之孝弟立根基。自從摳衣泗水上。聞所未聞知未知。言行相顧寡悔尤。於道固已窺涘涯。念昔初從大荒落。君我之鬚始生頤。金蘭託契情莫逆。幾年冰岳相追隨。春風溪上訪花柳。冬雪寒霜傾酒巵。連牀交衽日復日。切磋組織相箴規。顓蒙開發賴吾子。子非吾友眞吾師。雲龍上下期生死。不道人間有別離。那知分散斗南北。別時常多見時稀。川原浩浩兩無因。時致尺素瀉離思。閼逢之歲天禍我。酷罰相因逢百罹。君時匍匐至四五。感銘厚誼知不貲。悲歡離合苦無常。握手重逢未易期。年遇重光君在疚。我往弔之中心悲。終宵未展滿腔懷。愁聽寒雞鳴喔咿。惘然告別不忍別。豈料永訣在是時。君持憂服過悲哀。積毁沈綿餘一朞。中間收得十全功。意謂神明所扶持。如何將息失其方。病入膏肓終莫醫。幽音忽報海門秋。仰天長吁却然疑。病未診問喪未斂。九原他日將何辭。蒼黃策驢哭君廬。風月凄凉缶水湄。哀哀鶴髮與孤鸞。歲月漫漫將誰依。上帝福善而禍淫。此理於君殊參差。蒼蒼無信固如此。得非高高聽不卑。眼中吾老今已矣。海內親朋知有誰。落月滿梁見顔色。未死精魂儻來歸。情不可竆言有盡。和淚題輓更霑衣。</text>
<title>貢稅浦別金以直</title>,<text>仙槎館裏幸團圓。却憶從遊廿載前。情話匆匆還未了。不堪分手夕陽邊。</text>
<title>輓訒齋崔公 晛○庚辰</title>,<text>才傑當年第一人。玉堂金馬媚楓宸。君民志願存堯舜。獻替謨訏聳搢紳。有子有孫先夭折。無知無信彼蒼旻。迢迢仙馭歸何處。忍見荒原閉穸窀。</text>
<title>次蒼石韻贈別李子長 慶培</title>,<text>悲歡人世飽更餘。滚滚年光逝水如。一語慇懃重寄子。桑楡至樂在看書。</text>
<title>用前韻。慰金司書貫之 宗一 失火。</title>,<text>數歲長沙賦鵩餘。參元失火赭垣如。倚伏冥冥難可識。要須忍性學鄒書。</text>
<title>輓金溪巖 坽○辛巳</title>,<text>溫其如玉粹如金。山斗高名一世欽。軒冕儻來非素願。丘園棲息遂初心。忍聞天上催仙馭。無復人間領士林。秋水精神應不死。烏川月色古猶今。</text>
<title>輓柳應敎 穎○壬午</title>,<text>英姿雅望擅當時。至行平生我最知。衮衮悲歡猶石火。悠悠聚散各霜髭。半年荼毒沈痾積。五紀光陰大耋虧。有美賢郞能繼述。儻來餘慶此應推。</text>
<title>丹丘幽居 甲申</title>,<text>險阻艱難費幾年。晩來占築小溪邊。川流宛轉同朝海。山勢嵯峨共揷天。茅屋松門當職分。碧雲明月好因緣。風軒盡日疎簾捲。長對蒼巖意自然。</text>
<title>輓金梅園 丙戌</title>,<text>宣城文獻冠吾東。淑氣由來鍾我公。灑灑胷襟流素月。溫溫眉宇挹春風。操存旨訣追陶老。踐履工程襲後翁。尙喜脩齡猶未艾。豈知斯道便終竆。梅園寂寞淸芬歇。枕洛荒凉逝水空。道義交深吾仲氏。夤緣契遇我顓蒙。提撕懇懇逢迎際。勸勉諄諄往復中。十載睽離勞夢寐。三春違約歎衰癃。誰敎天上催仙馭。無復人間啓瞽矇。剛恨沈痾違執紼。荒詞寧盡此生恫。</text>
<title>輓睦監司 性善○丁亥</title>,<text>金榜聯名始見親。每欽風調出凡塵。經筵獻替優承渥。陜右旬宣大得民。纔喜福星臨嶺徼。忽驚仙馭駕飈輪。空留篋裏瓊琚句。披讀那堪淚滿巾。</text>
<title>輓兪參議 省曾</title>,<text>出入軒墀飽德馨。承顔如拜我先兄。詩書宿業三韓老。忠孝純誠一代英。木稼呈妖悲殄瘁。庭槐留慶耀恩榮。從今忍過西門路。題罷哀詞涕淚橫。</text>
<title>輓李紫巖 民寏○己丑</title>,<text>人間七十七年春。厚德如公世幾人。二品恩榮曾赫赫。八株蘭玉更振振。天涯凶報初疑夢。別後英姿似隔晨。耆舊卽今零落盡。不堪題輓涕霑巾。</text>
<title>次李壽翁 爾松 洛臯亭韻</title>,<text>龜厓南畔創新堂。蕭灑幽居夏月凉。隱几坐看山靄動。鉤簾吟對水流長。爭傳公擇藏書所。自學玄耼養性方。從此儻堅鷗鷺約。傍人錯道也無妨。</text>
<title>輓梧峯夫人 庚寅</title>,<text>宜家綏福履。爭慕壼儀賢。一德從三日。八旬又七年。風旌飄羽谷。雙劒會重泉。孝子攀號處。親朋涕淚漣。</text>
<title>甲午除夕</title>,<text>病臥漳濱老此身。歲除明日又新春。年年守歲成何事。自媿平生醉夢人。</text>
<title>輓柳監司 碩○乙未</title>,<text>灑灑風猷貌若心。堂堂論議聳儒林。烏臺鳳閣蜚英早。霖雨丹靑屬望深。誰遣姓名刊北籍。獨留聲譽重南金。涼涼末路知音少。欲寫哀詞涕淚淫。</text>
<title>輓張晩悔 慶遇</title>,<text>先生設敎有章程。雅飭如公一世英。揷架詩書專志業。盈庭蘭玉藉聲名。幾回函丈同趨夢。尙憶巖齋共把觥。白首人間惟我在。不堪梁月十分明。</text>
<title>丁酉冬至夜吟</title>,<text>灰飛半夜響春雷。動靜由來閉又開。默向邵窩探易理。循環萬古一元來。</text>
