<title>冬月 七歲作</title>,<text>一片團團月。高懸萬國燈。風力雖云壯。淸光滅不能。</text>
<title>故里有感</title>,<text>陰陰嶺日隱嶙峋。驅雪獰風怒似嗔。墟落改觀迷巷路。郊沙眩矚失川津。人歸故土飜成客。梅入寒天獨保春。倦倚南牕看夕鳥。簷棲未定更逡廵。</text>
<title>省墓有感</title>,<text>新年未覩鶻山岑。也想精靈戀我深。當日過庭言在耳。祗今登墓淚盈襟。光陰復屬劬勞日。雨露那堪怵惕心。最是黃昏多感目。慈烏啼送隔林音。</text>
<title>陪伯兄遊黑石寺。呈金興叔 應柱。</title>,<text>渥丹容貌少時同。世上誰云白髮公。山逕一筇飛步至。忽疑今日遇仙翁。</text>
<title>黑石寺冬雨 乙巳冬</title>,<text>冬序宜寒反作暄。峽天中夜雨飜盆。憑添一掬憂時淚。寄與前溪到海門。</text>
<title>次龍坪從兄韻。二首。</title>,<text>一巷分南北。相携日夕過。沙平無舊路。波汩有新河。鷄酒娛名節。桑麻話小窩。休言炎熱苦。此地晩凉多。山月窺簷至。溪風掠樹過。雨餘香䆉稏。秋逼爽星河。一歲流頭節。三楹容膝窩。前塘蛙又語。皷吹夜深多。</text>
<title>次宋政夫丈 敏道 韻</title>,<text>聞說春風生陋巷。肯將外物纍吾心。蕭然一室淸溪上。只有靑山無古今。</text>
<title>重尋白雲洞</title>,<text>嬴蹄夜踏竹溪潯。雪破殘痕路面深。菀彼翠寒臺上𡬾。依然辛巳歲中陰。因風飄轉枯蓬跡。得月翩𦒘瘦鶴心。爲是前贒遺馥在。不嫌頻向箇邊尋。</text>
<title>次豐基倅韻</title>,<text>祖傳孫又父傳兒。一夣箕裘屬刺髭。桂殿摘香花次第。萊庭飜影袖參差。百年是日恩殊渥。三世同朝事最奇。嘖嘖南州觀者舌。榮光許與野人知。靑氊長物是巍科。衮衮高軒賀者過。福驗庭槐培綠久。榮誇車橘載黃多。好看彩服相傳舞。愛聽華筵迭奏歌。白髮蒼顔仙地上。一團融洩釀春和。</text>
<title>送權晴沙 斗紀 戚兄赴關東蓮幕</title>,<text>金剛山在海之陬。也近扶桑枝上曦。勝槩東西南北最。層巒一萬二千奇。平生夢想惟玆地。夫子榮行適是時。臨別欲題贈別句。仙風忽自東方吹。</text>
<title>次興州倅蔡丈 成胤 文會席韻</title>,<text>爲賀贒侯美化隆。竹溪從此振文風。靑衿雲萃爭抽秘。姸醜難逃一鑑中。</text>
<title>送表從叔松沙李公 適意 之任慈仁</title>,<text>昨過松沙見散人。居閑一十有三春。封泥忽降猶疑夢。符竹俄分始覺眞。世界升沈都付命。人生離別足傷神。靑白髮還堪惜。誰識霜臺舊近臣。慈仁太守最風流。客滿離亭錯酒籌。枕上三刀初驗夢。嶠南千里却回輈。諧他晝錦平生願。分得宵衣聖主憂。歸郡祗宜圖報答。莫將風月謾遨遊。</text>
<title>枕流亭 亭在居昌。乙未莅官時。</title>,<text>名區幾處學繆流。一宦南來地更幽。觀德矢聲秋破鵠。望辰簾影夜登鉤。三年政瘼堪赬面。百里民憂欲白頭。怪鳥語簷衙吏退。暫敎官酒散覊愁。</text>
<title>題西溪草堂 堂在晉州芝所。朴公泰茂。號西溪。</title>,<text>雲水深深洄壑便。前林煙接遠村煙。湖山勝槩吟哦裏。贒聖遺謨理會邊。栗里移來黃菊砌。商顔粧得紫芝田。天公久秘名區意。應爲高人送老年。</text>
<title>鵝林館次申淸泉 維翰 韻</title>,<text>靑衫何處不蹉跎。尙憶春江一放歌。千里朔風驅馬至。八良氷雪聽鴻過。相逢郡閣梅花近。此去鄕山桂樹多。自古朙珠爭按釰。詩成擊節意如何。附原韻歲暮行裝任跌跎。一樽官閣聽悲歌。相看蒯鋏衝星在。遂有花簪帶月過。興盡棲烏城上滿。夣回飛鳥檻前多。高音忽變塲駒曲。如此風光奈別何。</text>
<title>次全殿中 近思 慶席韻 並序。在書卷。</title>,<text>終身慕合聖經穪。毁軼高連養魯曾。龜範自能占五福。鶴書初豈賭三徵。開罇南極祥躔動。虛席西樞寵秩膺。厚德種來堪食報。新恩更賀小郞承。三尊俱達犖巍穪。懿範東南耳染曾。至行躬修知性得。遐年天假見仁徵。筵歌奏慶懽騰頰。庭爵擎恩感溢膺。此事世間今始有。前應無壓後難承。</text>
<title>乙酉暮秋作西行。家兄追送昌樂郵軒。卽以一絶奉別。</title>,<text>離筵開處酒盈壺。兄向庭闈弟洛都。事主事親無二致。暫時分袂莫踟躕。</text>
<title>黃江上船</title>,<text>雨歇春波漲。中流一颿飛。微吟看水鳥。堅坐壓江妑。得岳俄相失。逢巖却復違。搖搖曾不住。何日到王畿。</text>
<title>江</title>,<text>混沌曾留血與膏。滄波日夜自滔滔。中心深濶容魚鱉。外面平虛負舳舠。一帶繞來多勝地。千秋孕出幾英豪。天將險阻貽東國。億萬洪基賴汝牢。</text>
<title>道中</title>,<text>早駕奇懷學遠遊。營營來去欲何求。詩人身世蹇驢背。男子行藏老釰頭。春夏秋經驚歲晏。東西南遍覺生浮。若敎荷簣門前過。應笑吾行苦未休。</text>
<title>過樓巖</title>,<text>矗矗奇巖自作樓。碧江千古抱村流。炊烟半濕寒波雨。捴是商人北去舟。</text>
<title>驪州道中</title>,<text>斜陽水邊家。桃花又杏花。可憐花下女。爲誰洴澼紗。</text>
<title>雙嶺</title>,<text>嶺南四萬良家子。丁丑年間此渰歿。行人莫飮西溪水。皆是當年健兒血。</text>
<title>渡江</title>,<text>倦馬遲遟入渡頭。晩江風急棹夫愁。中流莫歎波濤惡。宦海眞同此日舟。</text>
<title>裁家書。送奚還鄕。</title>,<text>匹馬重爲洛國遊。嶠南明日送蒼頭。一封歸札千重意。半是鄕情半客愁。送渠南指故山阿。度幾岡巒越幾波。堂上雙親應有問。莫言遊子苦顔多。</text>
<title>大殿春帖製進延祥詩。五律一首。七言絶一首。五言絶一首。</title>,<text>生生開槖鑰。渾似一元初。樓殿祥光動。乾坤沴氣除。聖恩春共洽。民力日應舒。大有秋來慶。行看國史書。藹藹千門淑氣新。爭傳荊俗綵爲人。聖心天意元無間。時是春和德是仁。天地陽和復。先敎御柳迎。太平春欲畵。靑意藹然生。</text>
<title>內殿春帖製進七律一首</title>,<text>頒慶仍當斗轉杓。一團和氣繞璇霄。兩宮疾損神應祐。八域春生沴自消。盤上新陽初入菜。盃中香藹半浮椒。卽知遇喜猶存戒。却趁鷄鳴報早朝。</text>
<title>堂后聯句</title>,<text>官銜共假起居郞。廳注書尹植士固。 苦味年來各飽嘗。上注書金始鑌休伯。 趁夕歸驂穿暮雪。趍晨束帶着寒霜。事變假注書李景說汝楫。 不才久竊睢盱地。無事仍成戱謔塲。休伯。 珍重諸公憐病懶。倩毫終日寫臺章。士固。</text>
<title>堂后次李內翰煕卿 縡 咏雪求和韻。五絶。</title>,<text>雪牕晨卜歲豊期。賀瑞詞臣競吐奇。禁樹亦知懽忭意。舞風花影亂參差。南州歸夢夜蘧然。坐釣寒江暮雪邊。曉起不禁餘興溢。行將拂袖返園田。雪花如席滿長安。一夜羣巒幻舊顔。點白試投鑪上火。子淵心學可移看。空碧如秋氣泬寥。曉風生𡬾響蕭蕭。禁川雪白羣仙過。步步瓊花落滿橋。回首南雲憶弊廬。雪溪梅信問何如。長安坐負巡簷興。謾把閑愁信筆書。</text>
<title>夜坐與洪內翰仲熊 禹瑞 聯句 元朝前二日</title>,<text>光陰倐忽劇奔霆。玉陛惟餘二葉蓂。休伯。 嶺外歸心君耿耿。鏡中華髮我星星。仲熊。 怕聽絳幘傳晨漏。愁對靑燈照夜欞。休伯。 萬事破除無過酒。也宜同醉不宜醒。仲熊。</text>
<title>除夜就枕口占</title>,<text>焉用裁燈守歲爲。客愁空惹寂寥時。不如爛熳終宵睡。送舊迎新揔莫知。</text>
<title>次李煕卿除夕求和韻</title>,<text>靑燈朙滅酒樽眠。強把新詞餞舊年。千里旅遊丹陛下。五更歸夣北堂前。紅潮漲面春生早。白雪當牕曙到先。吾輩惜陰天若解。斗杓應不向東旋。</text>
<title>次洪仲熊除夕求和韻</title>,<text>旅舘沉沉燭淚凋。忽驚時序欲元朝。梅花滿斛憐淸艶。竹葉盈杯慰寂寥。千里萍蓬凡幾日。一年蓂莢只今宵。男兒歲暮心猶壯。笑看秋蓮謾在腰。</text>
<title>奉命出廣州。過往十里。村名。</title>,<text>孤吟出國門。驅馬上平原。細雨春三月。千家往十村。綠沾溪柳淚。紅濕岸花痕。兩載淹京洛。今朝喜脫樊。</text>
<title>以南領府事 九萬 有旨。傳諭史官過平澤。</title>,<text>臘雪初消道路平。靑驄斜日入彭城。軒東樹老千枝暗。衙北岑高一點晴。梵室淸幽依斷麓。神泉觱發湧虛坑。逢人欲問洪公宅。髫皆知里號鯨。洪學士故宅</text>
<title>牙山道中</title>,<text>春陰蔽野雪花飄。飛馹翩翩過板橋。細麥滿田初坼甲。枯楊傍水欲生條。南來到處探佳境。北望移時憶聖朝。斗覺恩榮今日侈。載馳寧說道途遙。</text>
<title>發平澤</title>,<text>征馬騑騑返自湖。送迎隨處閙傳呼。白飛野雪花千片。綠漲官醪蟻一盃。過歸鴻聲齗續。平原殘麓勢縈紆。斜陽催向威州館。却喜前程近洛都。</text>
<title>烏山道中 時人日</title>,<text>啣命南來値孟春。忽驚今日又逢人。禮山晩過夕陽洞。詩境遙連金馬津。雪送寒花飄客袖。柳含靑意繞征輪。長程跋涉休言苦。隨處溪山興不貧。</text>
<title>炭巖曉行</title>,<text>曉出炭巖十里堤。官途遙指漢江西。風窺客鬢踈邊吹。雪補山肩缺處齊。催夜晨鷄勤打翼。踏泥征馬懶移蹄。天公似惜前程暗。故遣氷輪未遽低。</text>
<title>振威朝發</title>,<text>喫盡威城酒幾樽。醉來乘馬上平原。雨聲朝破前宵雪。草意春生去歲根。千里溪山看地勝。一旬游傲覺天恩。今行飽得南鄕興。他日知應惱夢魂。</text>
<title>伏次御製詩韻。二疊。</title>,<text>時幼學蘓德器上䟽請穪慶。上眎撝謙之意於批辭中。且曰。頃年禮判之陳請也。予有書懷四韻詩。今因此䟽出眎云云。詩曰。否德忝丕基。于今廿九稔。歲連痒稼穡。民屢奪糊飪。國事維其棘。天灾日又甚。休提穪慶說。但自夙宵懔。朝紳傳誦。多有和之者。小臣窃伏聞之。敬步焉。聖作我東方。垂衣今幾稔。恤民用賙賑。養士以烹飪。福慶於乎休。巽謙大抵甚。此心如勿忘。社稷寧憂懔。堯湯未免灾。聖代小豊稔。旰食勵精圖。賑飢巽火飪。慶來讓不居。治久憂愈甚。願勿放斯心。履氷恒懔懔。</text>
<title>陪東郊先農壇。有親臨祈雨吟。</title>,<text>湯日餘灾此日罹。絶嗟民事已愆期。聖心符古勤郊禱。天意殊前靳雨施。乍喜行雲浮御帳。却愁晴日照龍旗。茫茫一理乖相應。后稷神農亦我欺。</text>
<title>旱餘得雨</title>,<text>天垂銀竹漲前渠。正値君王渴望餘。恨不手移今日雨。注他親禱閟宮初。</text>
<title>四仙閣手擎重午御賜扇有感</title>,<text>仙閣輕搖御賜扇。此官雖假亦云榮。恩風隨手噓淸氣。旱毋弛炎退步行。</text>
<title>晝講入侍時有感</title>,<text>一卷春秋御案中。素王心法我王崇。回瞳照字開關鍵。移手披篇繹始終。瑞色玲瓏渾繞檻。玉音淸越半凝空。不知聖意能無懈。燕處宜加戒愼工。</text>
<title>貞陵祠寫感</title>,<text>黃鳥聲中客意驚。起看庭𡬾落殘英。殘英飛向虛枝繞。憐汝猶懷戀故情。</text>
<title>思美人</title>,<text>思美人。美人問何許。美人不在秦樓與楚臺。只在赤城傍，昆池渚。美人不着齊紈與越羅。只着靑霞衫，翠雲裘。璇窻玉簟影欲澈。月珮星囊光似流。麒麟不動紫烟上。桂花陰裡靈風生。朝携王母宴。瓊液杯中盈。夕喚安期遊。天棗袖裏春。平生交結揔是仙子徒。肯顧人間一詞人。思美人兮。不可見。一夢尋常飛玉都。依然如對美人面。覺來仰天天高高。欲往從之何由得。我無竹祖之靑牛。我無羡門之白鹿。美人或者借我以紫鸞一隻。可與騎鯨學生同翺翔。蓬萊方丈非我分。令人坐覺心飄然。碧海茫茫以千里。極目天際鯨波飜。思美人兮。未敢言。</text>
<title>古意</title>,<text>公昔在上都。玉皇香案吏。竊飮瓊液酒。頹卧花下睡。是時玉樓成。金碧繞彤雲。皇欲述其功。召公屬之文。公醉猶未醒。出入羲皇際。呼之不肯起。使星來相繼。日落始擡眼。崑崙小如拳。靑童左右扶。言至天陛前。仙風忽然吹。淸氣透錦膓。試展白繭面。乍揮紫電芒。開口吐寶唾。光焰長萬丈。日月爲低仰。河漢爭奔放。靑蓮李學士。閣筆滿面羞。皇帝動顔色。命掛楣上頭。神鬼互出沒。變化俄頃間。絢耀不可摹。岌嶪不可攀。氣稜紛排盪。楹檻忽頹碎。天怒迅雷霆。罪之靡容貸。流諸九萬里。大海之東瀕。出門拍手笑。域內無可人。頹然與世辭。象外飛雲筇。襟期底處托。明月毗盧峯。我欲觀其人。曉踏金剛路。仙厖倚扉吠。聲濕桃花雨。公乃屣履迎。引入於中軒。揖我就之坐。相對默無言。取琴彈一曲。認是太古音。願留就君住。無日不招尋。</text>
<title>次泮東蓮榜會韻</title>,<text>簪盍溪東一榜蓮。依然淸洞設筵年。相傳勝事曾探萼。共說仙郞夙報天。玉韻乘醺增一格。好風吹興餉羣贒。自憐門有揶揄鬼。不許尊前此袂聯。</text>
<title>除夜獨坐無聊。遂用覃字韻。走筆賦得七言排律五十九句。押字一依韻府羣玉。盖沒韻也。</title>,<text>斗轉參橫收萬籟。舌耕寒榻事硏覃。語圓成玉欽王質。歌竗停雲慕薛譚。風浪聲聽槽下馬。壁燈光照簡中蟫。生涯飽喫書帷苦。踪跡全踈相府潭。苜蓿赤憎堆客案。柴桑深恨阻歸驔。營堂願把忠爲礎。鑄釰要將信作鐔。室靜衿靈遊太極。坐趺風味似瞿曇。廁踪槐省慚微分。回首霜臺淚鬼參。歲月忽驚新莢曆。朋交猶憶舊篠驂。微衷星拱辰之北。大志鵬圖海以南。人抱桐絃心耿耿。鳥疑簷雪語喃喃。卽今廊廟誰梁棟。何處深岑老櫲楠。天地自難回盛世。溪山仍靳産奇男。朝章草草多文餙。世事紛紛已慣諳。朱閣美妹衣刺繡。蓽門寒士服懸䳺。瑟竽異好宜佗傺。箏篴爭聲太閙韽。薄宦縻軀淹旅邸。蘓醪知節自仙庵。少年志槩愁難展。往喆英華愧未含。氣激荊卿歌市肆。身竆范雎入崤凾。安能鬱鬱探經籍。却欲桓桓按甲䤴。材薄櫟樗非適用。恩深雨露謾叨涵。中原氣像愁流水。燕塞風雲暗岢嵐。仗義不聞豪傑倡。衣君徒識利名婪。灰寒已極誰噓火。葉食無餘更甚蠶。鳥放忍敎忘蔡養。嫗行尙惜舍蓍簪。臨江祖擊中流楫。貯竹陶謀異日鐕。唾手只緣王土窄。荷戈非必戰功貪。其人骨朽焉依仰。於史名留且賾探。酒破憂愁斟去愛。詩摹憤菀咏來耽。丈夫寶匣龍吟壯。皇帝威稜虎視眈。宇宙堪悲無慷慨。萍蓬更恨隔和湛。焫筠巷巷驅妖鬼。薦苾家家拜祖龕。習習韶風動城闕。輕輕暖候滿輿堪。弊衾淅瀝寒長透。覊緖紛紜亂不戡。殘漏曉鍾響隱隱。陳編故紙毛毿毿。斛邊梅萼播馨馥。井畔楊枝散䰐鬖。妄擬文章追屈宋。敢望勳烈比頗弇。蹉跎未脫毛囊穎。捭闔思捫猛蝨談。學道何當身遌老。問官爭奈世無郯。雍煕邈邈今云遠。衰亂駸駸是用餤。平地崢嶸危浪勢。朝廷閃爍利干錟。㐫歉連歲民黎困。氣血耗元國脉痰。行樂朱樓方得意。深憂漆室政如惔。匼阿事上無非佞。柔說臨民捴是甘。處▣勑兵麾冀釰。張盤鞭卒奪兒柑。當時操執堅於石。末路流波濁似泔。顧我七遭香案侍。承前再度短簦擔。冬衣須捷纔垂骼。月祿尋常不滿甔。足怵危途唯戒勑。耳聾浮議復垂儋。棲棲塵世東南北。冉冉年光二十三。久罷春庭老萊舞。誰培野畹楊公籃。附攀龍鳳思矯翼。採擷椒蘭佇實籃。性亢李膺曾友淑。節高安石早師聃。殘膏沾丐平生幸。素業荒蕪俯仰慙。墳典手披言繹緖。糟糠口嚼味知酣。封侯縱愧傅介子。降敵猶咍秦將邯。行復竪他詩壘幟。寧徒射彼陰山甝。懷珍且莫勤求售。胎玉還須怕剖蚶。夜半長歌歌竟泣。兒童拍掌笑愚憨。</text>
<title>金典籍商卿 命衡 求詩甚懇。臨別書贈。</title>,<text>一見如相識。重逢不待期。時推懷簡辨。人過項斯詩。密契靑生眼。深歡綠滿巵。乍分猶自惜。携手出門遲。</text>
<title>送商卿之任栗峯</title>,<text>手把疏麻贈子行。深盃仍酌故人情。年饑弊驛官賙急。親老高堂祿養榮。客袂晩分楊柳色。馬蹄春踏漢江聲。他時衆口成碑後。洛國應傅第一名。</text>
<title>追記去冬頒柑時次禁中唱酬韻</title>,<text>手把珍封拜且開。仙香馥郁播蘭臺。色從六五裳中得。影過三千海外來。試看禀形誠異物。方知造化亦多才。微臣竊欲榮君賜。遠寄春堂意莫裁。</text>
<title>伏次家親寄眎韻</title>,<text>珍封遠寄北堂邊。秋色含霜箇箇鮮。天貺解敎親意悅。此恩那報此生前。附原韻別界柑香自日邊。形如鵝卵色新鮮。嘗來不覺淸心骨。堂后天恩野老前。</text>
<title>上家兄</title>,<text>城南孤客獨悽然。回首東風又一年。浮梗去來江水上。征鴻齗續嶺雲邊。林聽恨雨蕭蕭過。壁對愁燈耿耿懸。讀罷斯干仍倚枕。夢中猶喜共衾眠。</text>
<title>次家兄寄眎韻</title>,<text>踈蹤猥近聖朙君。兩載衣君又食君。莫把新詩催拂袖。徘徊不忍永辭君。右別思愁聽宮漏響丁丁。是日那堪客裏經。遙想筵前申祝後。紫荊花影舞春庭。右春堂壽辰甲申年逐曉鐘除。今日居然乙酉初。默算北堂增鶴壽。微忱喜懼定何如。右元日附原韻別來無日不思君。每到中宵夢亦君。如此百年何耐過。願同耕報吾君。歲在涒灘月在丁。人間是日幾回經。樽前爲獻無疆祝。只恨遊人阻鯉庭。鷄鳴盥漱拜庭除。元日新溪雪下初。遙想端門朝賀後。望雲方寸亦紛如。</text>
<title>金城倅尹丈 東魯 將之任。設小酌。余在席末。以三疊詞。庸助驪駒之唱。</title>,<text>時命元難力。看公已白頭。潛郞仍旅恨。出宰又離愁。嶺嶠陰霪後。東南積水陬。有才無不適。行矣莫夷猶。瘴邑初非願。天恩豈是叨。懶懸腰後印。悔掛夢中刀。噴霧鯨波壯。連雲鳥嶺高。商飈吹客袂。臨別倍忉忉。膏轄將偏邑。盍簪乍小樓。雨寒汀柳晩。風急井梧秋。席上多南客。盤中揔海羞。臨分更勸酒。須酌庶民憂。</text>
<title>呈南典籍 國翰</title>,<text>萍踪千里少朋親。客榻追隨我二人。小斝幾傳江上月。短筇時對洛中春。宦途踏去多危險。世味嘗來飽苦辛。况是北堂萊衣隔。一般歸夣到鄕頻。</text>
<title>送張夢與 后相 之任梁山</title>,<text>男兒紅紙覔功名。三十年來此一城。偏憐皁盖同葵性。東向扶桑盡意傾。</text>
<title>城津頭贈孫僉使 命大</title>,<text>神鰲昂首海中天。十二瓊樓縹緲邊。近者玉皇應好武。蓬萊還有鐵衣仙。</text>
<title>甥君鄭子成 玉 新闡大科。喜甚。詩以賀之。</title>,<text>曾看大壑聳杉楠。忽報天衢走練驂。慶出善餘今果驗。才穪酷似我偏慚。初心豈在求溫飽。他日無忘困攝擔。努力爲時須自愛。聖王終不棄山南。</text>
<title>鐵呑詞送金直長士達  戚兄歸鄕</title>,<text>卽今西遊于秦弊裘者。幾箇鐵呑山之人。八月九月霜如雪。弊裘之人厭西秦。鐵呑山西監察歸。鐵呑山南正字去。繼有直長行李蹇一驢。山北白雲之深處。直長有家四壁徒。直長有米十斗止。萱花秋映鏡中絲。日午寒厨煙不起。拮据不以直長手。直長那能供瀡滫。自言今行日日急。不憚長途晨夜走。旣不顧承文院褒貶。又不恤內贍寺職任。孝哉其心傷哉貧。我來別君感偏深。我家何在鐵呑東。我父我母今倚門。君歸應問我歸日。請君莫作分明言。謂我來遄待我苦。謂我來遲思我深。但道遊子加餐飯。好於西省將綾被。送君之歸兮。我獨滯西秦。回首鐵呑兮心魂飛。嗚乎人間不能無離別。寧敎人送我歸兮。不願我送人歸。</text>
