<title>錦江舟中 與公牧宋興周，都事高仁紀。同泛錦江。</title>,<text>醉裏玄黃亂。人間是非多。吾將散髮去。寧逐范蠡舸。</text>
<title>鏡湖送權從事 淰</title>,<text>湖海秋風送客行。夕陽無際暮烟生。驪駒莫遽催歸御。且向尊前聽笛聲。</text>
<title>次兒輩黑岳寺韻</title>,<text>頭陀山上頭陀僧。自起鳴鐘點佛燈。無限世情消遣盡。坐看松雪白層層。</text>
<title>贈淸之</title>,<text>四圍山色雪崔嵬。三月春光苦未回。鸎燕不來花尙早。客懷無賴但呼盃。</text>
<title>贈太鑑</title>,<text>磨磚豈得成明鏡。車止鞭牛車更輕。了妄歸眞方大悟。河沙諸佛本無情。</text>
<title>卽事</title>,<text>小燈懸處一房寬。三子低頭共聚冠。足詑閨門無褻語。世間何者得玆歡。</text>
<title>倚雲樓</title>,<text>桐花滿樹覆墻頭。風遞濃香入畫樓。春盡海城鸎不至。隔簾惟見鳥將雛。鶯不至。一作民事寡。</text>
<title>述懷</title>,<text>官居冷落似村家。吏散苔庭鳥迹多。縱有淸尊無好况。黃堂誰與送年華。其二淸夜沉沉漏自遲。一尊相對强傳巵。無端忽憶高陽侶。夢入松京知不知。</text>
<title>次李汝固 植○附原韻</title>,<text>神京回首隔千山。歎息思君倚碧灣。最喜謫仙才力健。故敎詞賦動江關。其二老厭官居憶舊山。山窓正對蓼花灣。秋來倘遂歸田計。紅樹陰中晝掩關。其三人道臨瀛勝十洲。鏡湖雲物盪塵愁。斜陽無限懷君處。悵望天西獨倚樓。其四鏡湖形勝小瀛洲。尊酒何人慰客愁。遙想舊遊難會合。月明無賴下江樓。[附原韻]江陵一望海中洲。鰲背風流萬古愁。縱有神仙不可接。少留應爲鏡湖樓。飢飡欲陟採薇山。渴飮行尋洗耳灣。海錯一封三盥手。使君淸節冠東關。李汝固</text>
<title>憶大載</title>,<text>自嗟垂老到天涯。尊酒無由訴苦懷。死者已矣生亦別。不堪凉雨坐寒齋。</text>
<title>次使相韻 附原韻</title>,<text>湖海微茫漲素練。幾時蓬島更淸淺。羣仙不許驂鸞過。渺入秋空細於燕。一作冲破秋空看似燕。[附原韻]淸秋湖色凈如練。客子登臨興不淺。從古江陵佳麗地。佳人又出後飛燕。尹履之</text>
<title>衙罷卽事</title>,<text>衙罷無聊聚婦子。夜深尊酒話心腸。請看老我從前事。計活平生也未常。</text>
<title>宿上元寺</title>,<text>昨到中峰下上元。鐘鳴梵閣日初昏。三盃秋露看山月。林際烟沉僧不喧。</text>
<title>月精寺。候璿源錄郞廳。</title>,<text>重陽候客月精寺。借榻西廂閉戶停。白雨籠山人不到。隔窓簷溜聽淋鈴。</text>
<title>次趙竹陰怡叔 希逸 韻</title>,<text>高才何事賦閒居。合侍螭頭佩紫魚。惟有溟州老都護。非君伊好孰憐余。</text>
<title>苦寒</title>,<text>北風吹疾亂雲繁。野逕無人鳥不喧。膚粟鬚冰寒凜栗。城頭惟見凍烏蹲。</text>
<title>病中偶吟</title>,<text>溟州白首老都護。抱病竆秊憶故園。欲折梅花憑寄信。水村何處已還魂。</text>
<title>次蒼石李公 埈 韻</title>,<text>皁盖聯翩駐玉臺。海山生色氣佳哉。當筵强欲挑詩興。細酌流霞稱一盃。其二忍死湘潭鬂已星。長吟梁甫待時淸。歸來旋乞湖山勝。高卧黃堂祝聖明。</text>
<title>雪後卽事</title>,<text>玄陰釀雪雪如篩。塡壑埋崖勢最奇。雲散洞天斜景遍。晩山無數玉參差。</text>
<title>春雪</title>,<text>陽春無力銷新雪。山色如銀倚碧空。惟有墻頭小桃樹。獨含靑眼向東風。一作初陽力劣鏖新雪。</text>
<title>解綬</title>,<text>解綬東溟赴玉京。玲瓏金闕五雲生。孤舟更向巴陵去。回首華山也復情。</text>
<title>次雲喬壁上韻 附原韻</title>,<text>不才於世合沉淪。老作江州負海民。今日解將黃綬去。白頭楡社舊朝臣。[附原韻]明時何敢怨沉淪。自許疎慵附逸民。伶俜匹馬還鄕去。誰識金門舊侍臣。</text>
<title>肩輿</title>,<text>肩輿輿疾賃歸舟。一棹飄然下漢流。回首興王停泊處。晩山遮盡白雲浮。</text>
<title>夕陽</title>,<text>夕陽西下鋪平沙。沙上分明鳥篆加。知是蓼洲人去後。水禽無數唼殘花。</text>
<title>望丹邱</title>,<text>福河原上夕陽時。亂草平蕪細路疑。遙望丹邱山玉立。幽居不待問人知。</text>
<title>山雨</title>,<text>山雨霏微野水鳴。綠陰濃處小池淸。深村更有何人到。惟見荷珠盡日傾。</text>
<title>聞二宮人出</title>,<text>瀝膽隳肝上諫書。一心精白拜丹除。吾王明聖齊堯舜。却出雙鬟送故廬。</text>
<title>別柳生貴男</title>,<text>半天殘照雨脚斜。來訪東瀛處士家。解龜明日朝天去。此後相逢知幾何。</text>
<title>勸學門人</title>,<text>進學由來在勉强。須知篤實有輝光。更鞭逸驥臨衢路。未覺前程萬里長。</text>
<title>勉戒門人</title>,<text>希天希聖又希贒。士也工夫須十全。持敬自來爲學妙。問君曾已識其然。</text>
<title>春帖</title>,<text>一氣循環自不休。輕黃已着柳枝頭。孤臣亦被生成惠。好趁春風入帝州。</text>
<title>忝兒鄙富。欲去富字。戱成。</title>,<text>世業淸貧不足嗟。任敎勳貴事奢華。燈前最是堪誇處。學語新孫鄙富家。</text>
<title>醉後吟</title>,<text>醒來常怕醉時狂。準擬當筵不把觴。誰家有酒誇新釀。莫敎吳姬勸客嘗。</text>
<title>卽事</title>,<text>玄陰漠漠雨絲絲。秋色荒凉野草衰。日暮山頭巫鼓罷。亂鴉飛舞集叢祠。</text>
<title>贈野城太守</title>,<text>漠漠竆陰歲暮時。山村白雪靜如篩。遙知獵罷歸來晩。炮却熊蹯酌玉巵。</text>
<title>題四碧堂</title>,<text>寄迹囂塵外。蕭然一室寬。江聲欹枕聽。山色捲簾看。雲護松陰靜。苔承竹露寒。四時長逗翠。不覺歲行闌。</text>
<title>謫裏孤吟</title>,<text>何物非關數。南遷豈偶然。一心自無累。萬事且隨緣。或赴村翁社。時從太守筵。肯愁魚腹葬。天日赫高懸。</text>
<title>和呈沈重卿 詻</title>,<text>世路元多險。風烟此地閒。野禽馴砌下。松籟韻窓間。白髮愁全减。靑雲分未攀。嘯歌傳數爵。殘日隱西山。</text>
<title>和呈金子中 時讓</title>,<text>人世難容拙。竆途剩占閒。優遊詩酒裏。放浪海山間。逸軌那能及。高標未易攀。相思秋日晩。隱几看雲山。</text>
<title>和呈使君</title>,<text>游刃恢餘地。公庭吏務閒。應嫌闤闠裏。倘訪水雲間。皁盖如相過。華軺謂可攀。柴門終寂寞。怊悵對靑山。</text>
<title>贈金子中</title>,<text>命駕邀金子。仍同沈老閒。白雲依澗谷。紅日入林間。縱博爭多筭。裁詩和未攀。還悲失路處。鄕夢隔重山。</text>
<title>和金子中</title>,<text>俗子恒憑寵。高情貴得閒。共居人世內。誰出利名間。籠鶴無由脫。冥鴻未易攀。沉吟鏡水上。隱几看雲山。</text>
<title>除夕</title>,<text>元朝稱令節。貧病轉相仍。寂寞迎春酒。凄凉守歲燈。形容苦憔悴。髮鬂任鬅鬙。脉脉看窓曙。沉吟涕滿膺。</text>
<title>書懷</title>,<text>榮辱應關數。行藏豈在人。愛君如愛父。謀道不謀身。末路終顚沛。殊方飽酸辛。中宵拱北極。千里泣孤臣。</text>
<title>詠懷</title>,<text>老去將何待。還須賦遂初。經綸違宿志。江海卜新居。白髮醫難化。靑雲計漸踈。誰爲同我者。歲晩共樵漁。</text>
<title>步入葩串。見寺宇殘破。因步靑川壁上韻。贈李慶男。</title>,<text>步入華陽洞。招提憶遠公。雲烟朝暮變。水石古今同。聽法人何在。燒香院已空。靑牛幸有後。相與醉此中。</text>
<title>次唐詩韻</title>,<text>落景明幽壑。商聲動晩林。泉鳴內史玉。菊發舍人金。展席依蘭坂。移尊近竹陰。膏肓川石甚。無復有塵心。</text>
<title>謝主宰 曺挺立 見枉</title>,<text>虞翻罹擯斥。潘令寵行來。山氣薰歌席。湖光暎酒杯。生成蒙聖后。報答愧非才。眷顧偏相厚。淹留待月迴。</text>
<title>贈堅上人</title>,<text>支公棲隱處。宴坐度三春。問法傳禪訣。持經悟道眞。雲山爲伴侶。松月較精神。笑我人間世。身名孰可親。</text>
<title>衙居見黃菊</title>,<text>風雨重陽後。孤城傍海門。黃花餘老艶。紅葉露陳根。鼎鼎光陰促。悠悠俗務繁。相如正抱病。不敢近淸尊。</text>
<title>臨瀛有懷</title>,<text>寂寂荒城閉。寥寥廨舍偏。斜陽亂山雪。喬木數家烟。歸夢朝金闕。沉痾卧海堧。鐘聲又報暮。不覺淚泫然。</text>
<title>次營將 曺繼明 韻</title>,<text>三月溟州府。千山雪尙明。欲舒憐柳意。深酌慰交情。壯志輕諸葛。忠懷愧晏嬰。萬事吾將老。其如負此生。</text>
<title>折花揷甁。小酌仍賦。</title>,<text>三月江陵地。四圍山雪明。盃中足春意。甁裏滿紅情。戀闕心猶篤。思鄕夢未成。寧追秉燭飮。莫道酒尊傾。</text>
<title>偶吟</title>,<text>詭遇非吾志。何嗟世路難。長思謝袍笏。終擬鍊金丹。聖渥應須報。民憂庶可寬。沉吟不决意。聊以瀉團圝。</text>
<title>醉吟</title>,<text>柴門客競至。庭院雪初來。漠漠春塘絮。飄飄小苑梅。難乘灞水興。誰訪剡溪迴。妙曲知難續。巴人敢和哉。</text>
<title>病中春光已過。無聊書懷。</title>,<text>避病依鄕社。春光半已過。桃花彫粉頰。蕉葉展靑羅。洗鼎烹新餌。披方辨舊痾。何由幽興發。寂寞對醫和。</text>
<title>老病</title>,<text>老病倦行役。停驂曲水涯。靑蟲藏卷葉。黃鳥上高枝。漸喜家山近。何嗟嶺路危。從知歸有日。窓下弄忝兒。</text>
<title>挽宋宣傳</title>,<text>先輩風流遠。伊人邈不攀。龜卜移新兆。牛眠近舊山。欲知餘慶積。看取後人贒。他秊隴下過。回首起幽悁。</text>
<title>挽老儒</title>,<text>七耋雖云壽。無殊草露零。晩深羅隱恨。老誦伏生經。陰隧丹旌引。泉臺白日冥。持家惟一子。哭盡舊山靑。</text>
<title>挽鄭處士 基平</title>,<text>林棲爲處士。家世本公卿。有業課農圃。無心討利名。龍旌行不語。駒隙過堪驚。他日丘山路。擡頭更愴情。</text>
<title>挽洛城令</title>,<text>夙昔同閭閈。風流久益親。高秊超玉葉。嘉節換金鱗。玄隧長留夜。黃壚未有春。丹旌飄晩月。執紼爲傷神。</text>
<title>雲橋偶作</title>,<text>匹馬關東路。天涯望舊居。亂山秋雨後。傳舍暮烟初。孤坐愁無賴。長吟恨有餘。仍懷妻與子。回首欲題書。</text>
<title>題四碧堂</title>,<text>淪謫歸來已白頭。偶登江閣失千愁。山當席上螺鬟列。水到門前燕尾流。松下安碁金粉落。竹西傳爵翠濤浮。人間但有閒居足。富貴何須分外求。</text>
<title>次淸州板上韻</title>,<text>常愧虛聲未副名。每於臨事盡吾誠。夸言浮議知何益。懿筭弘圖恨未成。淺山斜日晴還媚。深樹鳴蟬晩更淸。天末有懷頻北望。曾倍黼座廁羣英。</text>
<title>次拱北樓韻</title>,<text>山樓粉堞壓空明。向夕登臨暑氣淸。鳳輦蹔停雙樹社。龍旌高拂錦江城。當時虎士皆瞋目。此日儒冠獨感情。天際美人迷遠朢。暮烟殘照客愁生。</text>
<title>次孤山令公 黃汝一 韻</title>,<text>訟庭岑寂宿埃塵。靑眼相逢意轉新。霜薄野城秋未老。烟寒水國鴈初賓。當筵別酒無多酌。有便傳書莫厭頻。宣室求贒如不及。肯敎夫子滯湘濱。</text>
<title>次太守七月旣朢韻</title>,<text>蘇仙文采豈終囚。月棹飄然楚水頭。詞賦祇今傳不朽。聲名從古與爭流。山迤赤壁擬眞境。歲紀玄又早秋。好事先贒餘範在。敎吹長笛爲淹留。其二常恨南冠作楚囚。蘭棹喜放碧波頭。名同赤壁疑眞境。人似東坡摠勝流。風月豈曾殊古昔。才名誰復暎春秋。就中物色知難寫。朋酒殷勤爲少留。</text>
<title>寧海蓮堂</title>,<text>勝節流頭自古聞。偶隨羣彥與斯文。雕欄畫閣當池面。翠盖紅粧漾水紋。籠鶴未舒千里翮。匣龍空吐九霄氛。千盃鯨吸愁難去。北朢神京對夕曛。</text>
<title>和呈沈重卿</title>,<text>十秊流落鏡湖濱。蝸室荒凉積素塵。開口不須論世事。詠懷聊欲擬詩人。汀蘭葉悴餘殘馥。江柳枝凋憶早春。惟幸與君成一醉。剩敎愁恨去吾身。</text>
<title>和呈使君</title>,<text>卧病漳南憶漢濱。十秊憔悴委泥塵。金章紫綬旣無分。濁酒瓦甌還可人。殘菊尙餘籬下艶。衰容難借鏡中春。從前寵辱皆由命。莫把閒辭慰老身。</text>
<title>贈金子中</title>,<text>同爲逐客瘴江濱。珂馬難期紫陌塵。此地可能無一會。他秊應復憶三人。膾成銀縷輕於雪。酒溢金罍氣似春。共說淸心贒太守。定嗟公務未抽身。</text>
<title>和金子中</title>,<text>莫嗟恩譴老湘濱。世上浮榮摠是塵。已識高才驚俗子。未應標格混凡人。黃卷靑編長送日。白山朱海幾經春。男兒事業終磊落。麟閣期君畫裏身。</text>
<title>別尹僉樞 英賢</title>,<text>妙齡華聞耳驚霆。白首相逢眼共靑。黃綬屢蒙過鵩舍。緋衣今復返龍庭。仍悲聚散同秋葉。不恨浮沉類海萍。臨別休嫌頻勸酒。古來偏忌別時醒。</text>
<title>次太守</title>,<text>秊華苒苒去何之。悲恨關心雪鬂危。春物已看花絮富。風光無賴燕鸎遲。竆途落魄眞堪笑。晩景功名豈可期。况聞老妹新喪逝。難禁零淚入金巵。一作淚添春酒溢深巵。</text>
<title>和姜任甫 弘重</title>,<text>寓居荒村類楚囚。共尋幽處破閒愁。風流未是羞前輩。尊酒堪誇此勝遊。世事已知無我奈。春光寧復爲君留。莫辭泛溢傳心爵。好會從來不易謀。其二單居散髮首如囚。世念成灰不受愁。寂寞好耽書史樂。逍遙寧羨汗漫遊。晩春花絮勤多請。落日亭臺爲少留。節物風光應未借。須敎後會待君謀。</text>
<title>次臨瀛館韻</title>,<text>積慶傳芳幾百秊。觀風七葉政由天。箕裘幸忝冠裳末。符印慚分嶺海邊。世德堪誇聯棨戟。棠陰猶逗舊風烟。但將家訓敦來後。何必區區强學仙。</text>
<title>贈友</title>,<text>世議紛紛屈大才。不應埋沒等蒿萊。精神華嶽峰頭隼。標格西湖雪後梅。逸翮久藏雲外用。淸香難禁月中來。棲遑嶺海君何恨。終擬功名到上台。</text>
<title>述懷</title>,<text>鬂邊華髮白垂垂。三歲江陵夢亦疲。衰病豈堪供世用。退休宜及早春時。黃堂絲竹非吾分。茅室詩書是素期。寄語兒曹課僕隷。巴庄垣屋可先治。</text>
<title>霜臺契帖</title>,<text>霜臺風采素稱嚴。古事流傳在視瞻。赫日不容揮竹箑。華筵無敢見靴尖。分司價重招人議。禁席私行負俗嫌。尊前職業還應勉。須把吾詩各自鍼。</text>
<title>贈友</title>,<text>落花飛絮散春光。見此懷君未敢忘。高義薄天誰得越。深情如海固難量。龎床一拜何曾洽。蕭寺重尋亦不妨。若破戱魔成後會。數盃相屬慰心腸。</text>
<title>東陽翁主挽</title>,<text>生長天家絶侈心。孝敦姑舅冠當今。豈惟淑行超閨秀。還敎嘉言服士林。錦帳尙留蘭麝澤。粧臺無復佩環音。龍輴哭送都門外。曉色迷茫月隱岑。</text>
<title>謫裏與諸贒唱和</title>,<text>少乏適俗韻。醒狂如中酒。學業坐空踈。才猷豈曾有。蹭蹬多拙爲。繁華那入手。長沙無好况。孰問安與否。繕性效瞿曇。達生用莊叟。惟君富文藻。格律森星斗。英名人所羨。偉器應自負。雲雷時作解。東坡寧久守。圖形側麟閣。不數羅池柳。寄語景春徒。儀秦果妾婦。右示金子中其二得與夫子交。醺如飮醇酒。才名我本輕。令譽君素有。鑾坡侍講臣。翰院修史手。都兪細氈上。幾回陳可否。身屈道不屈。時人擬山斗。托契貴在義。歲暮期無負。高情貫金石。外物那變守。愧乏霜雪操。戒余先秋柳。誰能爲蒯生。束縕迎逐婦。右和沈重卿其三華聲雖灌耳。未嘗接盃酒。山川又間之。紹介焉能有。西原幸相覿。蹔携淵明手。文章旣富艶。議論稱當否。今來宰野城。惠澤洽山叟。鑾刀非割鷄。幾歲踐台斗。鳴琴化自淸。邑人忍欺負。黃堂政多暇。應嫌吏卒守。爲問崔中丞。肯訪冉溪柳。叉魚可共煮。宿戒厨中婦。右上曺太守其四廢逐棄人事。沉痾因屛酒。所願在適志。塵念亦何有。遊心古書間。默坐但叉手。遇欣辨精微。感事究臧否。得意或忘食。未覺成老叟。祇恨富波瀾。安能酌升斗。功名付公等。宿學寧肯負。勉圖經濟策。密勿備戰守。往者金將軍。奮勇依大柳。乞降惟恐後。何誅有髯婦。右自詠</text>
<title>步前韻上太守</title>,<text>孤吟苦無和。幽趣付琴酒。悠悠時世間。石友誠寡有。對面九疑峯。雨雲翻覆手。滔滔者皆是。吁嗟誰獨否。君看衆星叢。落落但名斗。嶄然流輩中。儼如老成叟。旣謂我知子。寧容子我負。耿耿抱赤心。終當抵死守。寒城一悵朢。啄木響枯柳。吾今亦何恨。托之兒與婦。</text>
<title>挽李參奉 敬元 室內 排律</title>,<text>結縭歸右閥。賓敬慕鴻光。在饋寧踰節。能貧不厭糠。賣珠營粟帛。傭絍備滫嘗。哀訃才成髽。沉痾竟入肓。風燈三紀住。駒隙一朝忙。舊脂今留篋。殘膏尙暈裳。猶餘二室女。誰辨嫁時裝。</text>
<title>醉時吟</title>,<text>酒味無醇醨。攻愁各奏效。愚人太分別。淸濁以爲較。天涯逐臣懷。綺席富貴貌。憂樂雖異態。發興竟同趣。聖者亦不禁。百拜惟用酒。吾儕飽閒散。那妨終日醉。洪君本豪放。李子亦淸凈。酒戶有大小。淺深須勿競。只澆碨磊胷。不敎塵慮傡。自吾南遷後。已斷經世望。夜夜周公夢。彷彿如少壯。老矣何所施。中宵獨悵悵。</text>
<title>醉示學徒</title>,<text>天行固不息。剝盡還有復。治亂亦相乘。泰來於否極。君胡滯至理。謂余尙迷惑。貴人雖自貴。徙知取利祿。賤者人所賤。豈無致君術。吾聞孔子曰。使民時用節。方今黔首困。孰能試吾說。聖王倘復生。莫或反吾舌。苟有用我者。披肝獻天闕。</text>
<title>贈淸之</title>,<text>古調淡無味。今樂多繁聲。誰能嗜無味。所以多繁聲。伊我獨好古。喜君彈古調。一鼓滌鄙吝。再鼓蕩塵愁。悠然心腑淸。高興齊南山。仍之勸一盃。相與醉筵間。</text>
