<title>三月晦日。寄崔孤竹。</title>,<text>昨日不見君。今朝春亦去。獨坐雨聲中。煩襟亂如絮。</text>
<title>次平遠堂韻</title>,<text>政爲消憂地。還懸戀闕心。華山秋後見。秦月夜深臨。萬事憑危檻。孤懷借短琴。中宵拜北斗。愁倚寶刀吟。又聞道新堂勝。因之起別心。但敎詩遠到。誰使我同臨。海月分淸澗。山風動玉琴。琴中自成曲。恐是歲寒吟。</text>
<title>奉恩寺作</title>,<text>悵別臨江寺。登舟已夕暉。林鴉過祠盡。僧磬出花遅。城市自多事。歸來難定期。今宵有明月。迢遆寄相思。</text>
<title>遊金剛。題僧軸。</title>,<text>紅葉林中寺。遊人帶雨過。瀑妨秋夢少。窓受夜凉多。未負三生債。其如一宿何。春來花更發。誰着渡橋簑。</text>
<title>謾成</title>,<text>昨日今朝西復東。謾將身世學萍蓬。靑蛇久有三山計。金液難成九轉功。如作古人誰似可。借平斯世未爲䧺。殘年妙覺生涯處。盡在隣家酒甕中。</text>
<title>題僧軸</title>,<text>春日含情獨上㙜。微風時自柳間來。夢回京口空明月。書斷江南已落梅。靑嶂似愁無限積。白雲如醉有餘堆。山僧可笑支離者。更向樽前勸一盃</text>
<title>贈別</title>,<text>客路初逢似舊遊。祗緣君是在隣州。今朝此別還堪恨。明日他鄕各自愁。深樹亂鸎山北寺。夕陽微雨漢南樓。相思不見長相憶。鏡裡徒然白盡頭。</text>
<title>贈人</title>,<text>西出長安驛馬騰。臨歧一笑別親朋。三春客恨孤城月。萬里鄕心獨夜燈。梅發未逢江北使。詩成空寄嶺南僧。離人自是多愁思。行處高樓且莫登。</text>
<title>姜克仁江亭。次孫大年韻。</title>,<text>江水悠悠日夜流。客來重上去年舟。人間有淚沾雙袖。地下無書又一秋。野雨打殘荷葉老。晩風吹送笛聲幽。浮生未必長離別。老子如今已白頭。又夕陽西下大江流。處處烟波點小舟。獨去永羞沙渚鳥。重遊更酌菊花秋。賽神祭社家家醉。修網鉤針事事幽。我欲移居此中住。主人能乞北山頭。</text>
<title>次金子仰妓衣韻</title>,<text>餘香猶濕舊羅衣。一別無端歲再移。人入夢時銀漏斷。月沈山後畫簾垂。閑情暗向琴心道。細語空敎燕子知。此去西關非萬里。尺書何事到來遅。</text>
<title>寄林通判植</title>,<text>秋葉相思春草連。天時人事共推遷。書從古塞來千里。客到新正老一年。雪壓野梅依舊白。月臨關笛幾回圓。浮生未必長離別。會有爐峰變作川。</text>
<title>次金東郭士晦韻</title>,<text>舊隱初尋水上扉。孤猿罷哭鶴停飛。僧來岳寺分晴色。月到庭梅逞素輝。白首優游欣得便。靑雲器業笑全非。松醪盡醉頹然卧。一夜羲皇帶夢歸。</text>
<title>次梅月堂韻。示白仲悅。惟咸。</title>,<text>城市甁來撥宿紅。寒松戴雪翠童童。竹窓碁響前峰月。隣寺鍾聲小澗風。但吊淸時三月盡。不關朝鏡二毛同。君家氣習元來有。此日風流幸莫空。</text>
<title>甁梅</title>,<text>竹西松北不塵埃。皎皎寒梅此處開。可愛沈吟侵睡看。誰敎傷折揷甁來。殘香暫覺淸風度。羸影空憐素月回。爲是托生非遠地。孤根欲向太山培。</text>
<title>白馬江樓。次洪太古 迪 韻</title>,<text>扶蘇王氣久寥寥。有客行春駐短橈。丞相高名江共在。將軍一捷石應銷。叢祠小逕穿深竹。殘雨空城打晩潮。吹徹洞簫無限恨。老蛟波底淚雙凋。又山河如昨事何寥。賖酒前村暫輟橈。江上幾回春草綠。天涯隨處客魂銷。古㙜花落空飛鷰。小浦龍亡自起潮。延佇斜陽懷杳杳。撫余蘭佩恐先凋。</text>
<title>贈白仲悅</title>,<text>歸卧江潭計未踈。雲山迢遆美人居。一封貶罪誰相似。三逕盈樽愧或如。收網前溪雨過後。鳴琴高閣月生初。朋來自遠同心者。共說姜翁枉釣魚。</text>
<title>次奉恩寺僧軸韻</title>,<text>細雨輕簑背古城。夕陽行盡水邊程。風回上界傳香氣。花滿中㙜出梵聲。三浦商帆連寺落。二江春草向陵平。從今每欲懸燈宿。不厭山僧記姓名。</text>
<title>重遊奉恩寺</title>,<text>知名江寺客重過。依舊山前一路斜。百歲閑遊能有幾。當時淸伴已無多。舟中雲起廣陵樹。渡口潮通楊子波。明日應悲城市迹。夕陽空送漢南鴉。</text>
<title>次義州板上韻</title>,<text>東風乍起日西曛。客倚危亭思轉紛。彤管謾成靑瑣夢。鐵衣長濕玉關雲。隔河胡馬尋常到。對案遼山次第分。看取老臣何事業。平生未學枉要勳。又徙倚高樓日欲曛。塞關春思晩紛紛。陰風度水成寒雨。殺氣沉城作暝雲。天地幾多爭戰破。烟花今入酒盃分。遙憐李廣緣奇數。百戰還家未有勳。</text>
<title>次板上韻</title>,<text>去歲匡州事可傷。至今烽火被山崗。將軍擁塞師空老。聖主飛書字獨香。別有健兒誇膽略。莫敎驕子恣猖狂。靴尖亂蹙陰山雪。旗脚風翻百尺長。</text>
<title>還家後。次板上韻。</title>,<text>狂言一抗脫戎衣。來卧家山食舊薇。種竹澆花今日事。刻鍾銘鼎少年期。老妻酒甕元無恙。小弟漁竿且不違。高士傳中元亮老。九原如作與之歸。</text>
<title>次靑巖亭板上韻</title>,<text>靑巖亭上散幽衷。玉笛聲高亂嶂空。半世行藏三逕裡。百年天地一杯中。梧桐葉稚猶聞雨。菡萏香殘或借風。更與徵君期會好。滿園黃菊九秋窮。</text>
<title>萬竹亭。偶咏。</title>,<text>水落新亭睡望通。竹床藤枕僅能容。川華受月魚依藻。夜氣侵山鶴失松。欹處肯成塵世夢。踞來還斂水雲蹤。人生適意眞吾分。誰恨明時亦不逢。</text>
<title>復次東郭韻</title>,<text>故人東郭掩深扉。直北長安恨莫飛。蠻市孤烟靑苒苒。海門殘日下輝輝。少陵酒債尋常是。蘧瑗行年四十非。商略吾生多少事。渾如蜀鳥不如歸。</text>
<title>挽詞</title>,<text>匣裡靑萍秪自奇。南州徐子卽心知。乍驚幞被歸林壑。遽隔泉㙜有別離。藝苑遺篇眞爾雅。寢門衰涕豈吾私。想應雙目猶難暝。魚菽萱堂更侍誰。又文章當日近彤圍。拭目看君彩筆揮。傲吏風塵頻卧閣。神交山水幾齊徽。西州海晏長城壯。南紀星沉萬事非。矯首玄亭雲路暗。故人千里涕沾衣。</text>
<title>善竹橋</title>,<text>善竹橋邊秋色悲。行人到此爲躕踟。獨夫無道宜殲厥。義士扶忠可去之。大智聖明應有見。小臣狂惑窃生疑。敢將筆舌書哀懇。留贈諸君作別離。</text>
<title>遊松嶽贈孫順良</title>,<text>愛爾爲心有古風。處身醇謹待人忠。孤裝遠趁千山外。片語相親大道中。數日追遊情衮衮。一朝辭去意怱怱。却將名字臨分贈。我是三淸大笑翁。</text>
<title>贈別</title>,<text>天借文星臨玉帳。西州千里驛塵飛。威加楡塞霜凋早。恩遍龍灣凍合遅。永夜丹心懸魏闕。夕陽殘淚在斑衣。停盃爲問平生事。胡乃年年作別離。</text>
<title>次雙峰呈竹西韻</title>,<text>來卧雙峰已十秋。弊廬猶在足無憂。閑中只覺功名誤。醉裡寧知歲月遒。性愛竹松仍作癖。老將衰病自成讐。簞瓢陋巷無人過。窓外潺湲澗水流。又雪鬂霜鬚一老翁。松篁繞屋欝葱籠。吟詩久識陶公趣。嗜酒猶存白也風。末路悲歡將欲老。百年榮辱已成空。三椽草屋生涯足。一片柴扉掩嶺東。</text>
<title>寄李鵝溪 山海</title>,<text>淸夜沉沉獨坐時。洞房愁寂漏頻移。玉欄梧葉秋聲早。銀漢雲花月影遅。兩地音容憑夢裡。一年書信隔天涯。巴牋滿寫相思字。欲寄相思心暗知。又幽幌重簾坐暗更。玉簫吹徹彩雲橫。愁連楚水誰長短。恨比秦山莫重輕。兩腋羽翰天不借。三淸消息鶴無情。人言月墮雲中沒。我謂今宵却未生。又獨抱瑤琴泛玉繩。碧梧凄冷露華凝。鏡中容髮闌應减。天外音書逈莫憑。仙夢自通三島路。夜珠頻落九枝燈。丹誠到處知無礙。欲往蓬山恨未能。又寒燈悄悄掩西廂。獨坐空添幾瓣香。遙筭北程千里半。絶無南使一年將。螢穿露草光明滅。琴倚風簾韵短長。自是多愁易爲老。我生三十鬂如霜。又珍簟牙床白玉篇。月光初上井梧娟。碧空有路通秋鴈。紅樹無情憶晩蟬。却恨人生多聚散。且驚時序易推遷。今宵可作相思夢。魂夢非關道里千。又楚水秦江相背流。楚雲秦樹兩悠悠。人生百歲無多日。江漢相思又一秋。星散碧天瞻北極。月明長笛倚西樓。離愁何但消腸盡。膓盡還應白盡頭。又十二闌干六曲屛。卧看銀漢枕邊傾。脩篁繞砌傷心碧。缺月臨塘盡意明。相望久知非別地。曠懷還似隔他生。綵囊盛得秋波色。欲贈情人更有情。</text>
<title>次李淸江濟臣韻。寄權石洲鞸。</title>,<text>榮落紛紛不定時。關山此別豈長辭。一言悟主應天與。百戰無功是數奇。男子自來思道直。女兒休更念身危。孤城滿酌迎春酒。遠揖高風寄好詩。</text>
<title>追次靑溪精舍韻</title>,<text>洞合淸溪作一原。道人於此啓柴門。山從谷口初飛勢。水到亭前始發源。茶鼎月分孤鶴影。石床雲護老苔痕。移家整理生涯事。玉局瑤琴且小尊。</text>
<title>宿章仲亭 權松岩</title>,<text>小屋臨江結構新。客來同睡少風塵。一牛耕地有餘力。數口終年無苦貧。寧逐歲華容易老。每隨魚鳥自相親。頓令心地淸如水。天省郞官欲卜隣。</text>
<title>醉書歸來亭 在安東</title>,<text>江城秋晩苦思家。三逕其如夢裡何。晉米當年陶令少。漢憂千載賈生多。登臨不厭樽如海。覊滯空傷鬂似沙。指點重陽看菊處。碧峰東畔水西涯。</text>
<title>遊威鳳寺。示白仲悅。</title>,<text>靈嶽配老人。其名曰威鳳。雲嵐相吹噓。日月互迎送。松楠資棟樑。芝朮供王貢。以玆奇絶地。不意入吾弄。吾輩五六人。酸吟孟之凍。腐者人所嗤。誰擬明堂棟。空拳少無力。小兒何以控。聞道五陵陌。縱放黃金鞚。仰天一長笑。有蚊如聚甕。都輸一枝頭。飛入淸溪洞。人喜非吾喜。吾痛非人痛。吾痛人不知。坡山泣翁仲。吾輩此中人。玆言以爲諷。月出更好顔。良談憑夜夢。棄之勿復道。尊前唯一中。玆山高如君。於此欲折衷。但使直在我。莖薇壓周衆。醉卧山之中。萬孔徒喧閧。</text>
<title>大醉走次汝器古詩</title>,<text>大笑復大笑。吾師是痛飮。痛飮揮大筆。晴天橫螮蝀。世人棄我曹。笑我不我共。岐周文王逝。有耳不聞鳳。至今西山風。吹人毛髮竦。歷觀賢達人。丘墟卧翁仲。我聞蓬萊山。靈風滿玉洞。天地月長照。波光凝不動。紫鸞爲行具。玉霞爲厨用。安期爲我言。靑鳥爲我送。與君欲往之。將身試輕重。大笑復大笑。斯言亦如夢。</text>
<title>次僧軸</title>,<text>冬旱麥無苗。此雪當甘澍。皇天愛生民。豈是慳雨露。僧也山中人。眉目帶良晤。况我學農者。寧無賀世句。上元在明日。更占山月吐。人生在大醉。何關遇不遇。</text>
<title>東郊暮春</title>,<text>偶此東郊會。政値春暮時。掃堂開綺席。飛書喚歌兒。樽中綠酒滿。階上桃花披。豈獨節物佳。同心復在玆。不願萬鍾富。富者有所爲。不願五侯貴。人貴人賤之。不願富不願。貴我有一願。君不知與君日日醉花下。千秋萬歲與爲期。</text>
<title>我懷詞以隔千里兮。共明月爲韻。送許子新赴京。</title>,<text>我懷一人顔如玉。曉辭丹墀朝帝宅。上堂拜母母情劇。出門別兄兄淚滴。爲臣重義輕七尺。笑向幽燕恩愛隔。宮袍曾侍香案前。翩翩望若蓬萊仙。靑雲歧路妙少年。駿馬剩受珊瑚鞭。充君專對非偶然。腹收詩書卷三千。男兒弧矢四方志。纔解匏瓜已可喜。况奉九重聖主旨。拜壽千秋聖天子。君恩如許 缺 漢水。不道燕山千萬里。猶懷好音人不西。一點秪自憑靈犀。雲歸鳥盡望眼迷。落日正向雲龍低。秦霜夜飛秋氣凄。撫劒何日歸來兮。行行空弊手中縫。簡書關心常自恐。邊笳吹動薊兒縱。一曲聞來愁萬種。徒煩覊旅問賓從。喚得村醪誰與共。千秋華表令威名。萬古淸風孤竹城。徘徊不去最留情。遠遊到此酬平生。笑我百年困覊縈。螢雪苦守書窓明。有足不得逐君發。却羡卞和寧雙刖。星軺難挽意超忽。地遠天長歸路濶。歸路濶不可越。兩地相思一片月。</text>
<title>題信根詩軸</title>,<text>七祖門中雙樹法。三車書無孔笛倒。騎泥牛無憂無喜。同同同異一同同異。掩目閉耳收聽視。千百億身八萬界。歸來土木肩上巢。烏口穴蟻咄咄哉。俗子頭顱未滿一笑口。擾擾紛紛昏夜立貴門。不虞之譽求全毁。</text>
<title>春風倚棹闔閭城 十三歲魁湖試</title>,<text>孤帆初掛洞庭月。短棹晩輟吳江風。荒城木老野烏啼。廢殿春深花自紅。傷心遠憶闔閭初。覇業堂堂強且䧺。孱孫一醉越溪妖。高㙜逈與丹霄通。㙜中歌舞幾時休。散盡黃金猶未窮。洞房花露濕微重。燭光連雲燒半空。春花秋月年又年。自期歡樂長無終。耽歡半夜酒未醒。越兵已入吳王宮。登高請成計已晩。何不早察鴟夷忠。西施還逐子皮舟。五湖烟月迷西東。天荒地老富貴盡。遺恨付與扁舟翁。蘭逕蕭條入平野。風愁鬼泣迷榛叢。江流如㤪咽不流。山色無情今古同。荒淫亡國不須吊。一酹波神英烈公。</text>
